identifier,all_names,batting_style,bowling_style
ef618cab,['A Begg' 'Andrew Begg'],,
c109497d,['A Bengeri'],,
906ef9e5,['A Bhagwat'],,
3cc96a05,['A Bharwad'],,
59ec9638,['Abhijit Bhattacharya'],,
ef131544,['Abhijit Roy' 'Abhijit Singha Roy' 'Avijit Singha Roy'],,
0cb292b1,['Abhinav Raman'],,
18953b31,['ABHISHEK BHANDARI' 'Abhishek Bhandari'],,
22a2a635,['Abhishek Gupta'],,
8bf38500,['Abhishek Pandey'],,
ff9c2522,['Abhishek Thakuri'],,
bca46fdb,['Abhishek Yadav'],,
f9979b69,['Abid Mushtaq'],,
b51d654f,['A Bierwisch'],,
ad3b6e95,['Abishek Porel'],,
ee866f8d,['A Bisson'],,
4095f16b,['AB Kookna'],,
b6f61482,['A Bose'],,
eca0c288,['A Bramble'],,
6ddaee2d,['Abrar Bilal'],,
2d645c00,['A Bushell'],,
bc82e1b2,['AB Williams' 'Alvadon Williams' 'Basil Williams'],,
5e3f2522,['A Cassim'],,
8a6c2263,['AC Bannerman' 'Alec Bannerman' 'Alexander Bannerman'],,
f86ce673,['AC Douglas'],,
ef14c0ec,['AC Harris'],,
c144a09d,['A Chatterjee'],,
f52fbc63,['A Chaudary'],,
ffead9c2,['A Chaudhary'],,
e62b4c77,['A Chetty'],,
23c38aa6,['A Clark'],,
8c73cd16,['A Clark' 'Amy Clark'],,
749316d2,['AC Parore' 'Adam Parore'],,
ea5a4563,['A Crafford' 'Adriaan Crafford'],,
ddae3cd2,['AC Smith' 'Asha Smith'],,
964c881f,['AC Stockwell'],,
c32a41ba,['A Curr'],,
397462b9,['A Dagar'],,
0cabf6f4,['Adam Birss'],,
c3f4dc55,['AD Carr'],,
6926f6db,['AD Conwana'],,
045fe562,['AD Curtis' 'Andrew Curtis'],,
72b95896,['A Dennison'],,
6fda55cc,['A Deshmukh'],,
b62aea3c,['Adhip Pradhan'],,
b6b1155c,['Aditya'],,
9a2d95ac,['Aditya Kaushik'],,
b692049a,['AD Kamania'],,
bb2d4fc2,['AD Louisy'],,
05da443b,['A Akmal' 'Adnan Akmal'],,
ba42c0d7,['Adnan Butt'],,
45ec7a99,['Adnan Khan'],,
24382f7b,['Adnan Liaquat'],,
56ba45bd,['AD Ogilvie' 'David Ogilvie'],,
f68ea742,['A Dolin'],,
3687b435,['A Dolphin' 'Arthur Dolphin'],,
6506e13d,['A Dowse'],,
94b5ec3b,['Adriaan van den Dries'],,
df4a8cbf,['A Ducat' 'Andrew Ducat' 'Andy Ducat'],,
8efa0387,['AE Dick' 'Artie Dick'],,
2a5ca58b,['A Edwards' 'Amanda Edwards'],,
5249f9c4,['AE Isesele'],,
b05e45e4,['A Jones' 'AE Jones' 'Amy Jones'],,
17ca6573,['AE Knight' 'Albert Knight'],,
f48d5563,['A Elliott'],,
aac82442,['AE Moe'],,
27b89b93,['AE Ochse' 'Arthur Ochse'],,
e429a2e8,['Afaq Ahmed'],,
03d3dd8e,['A Buurman' 'AF Buurman'],,
4a8d1b14,['A Ferguson' 'Alejandro Ferguson'],,
7fc47de1,['Afia Amin'],,
b786b38f,['AFM Akhtaruddin'],,
c1c5bdb3,['AF Rae' 'Allan Rae'],,
7be2bafa,['A Freeman' 'Arsheena Freeman'],,
d60640f9,['A From-Hansen'],,
50930025,['A Zazai' 'Afsar Zazai'],,
ca4db40e,['AF Sattaur'],,
16da2745,['Afzalkhan Pathan'],,
746fd7bf,['Afzal Saleem'],,
ce79545f,['Afzal Virk'],,
37db06ef,['A Gajjar'],,
c10fd8f9,['Aman Desai'],,
36101309,['A Manepalli'],,
b672e825,['A Manousis'],,
340db614,['A Maregwede' 'Alester Maregwede'],,
140ac7ad,['Amari Ebbin'],,
f9dc404a,['Amar Naeem'],,
0c17f84a,['AM Baird'],,
e1e6299a,['Ambikeshwar Mishra'],,
39e599c8,['A McAuley' 'AP McAuley'],,
660a64d3,['A McDaid'],,
bc858d29,['AM Chakrapani'],,
2622742a,['AM Deshpande'],,
7e461a9c,['AM de Silva' 'Ashley de Silva'],,
6b950e3a,['A Hamza' 'Ameer Hamza'],,
ba19376c,['A Mehdi'],,
f336ff13,['A Mehrotra'],,
46c6cf85,['A Melville' 'Alan Melville'],,
83b8fa73,['AM Ewart'],,
a7c6ee8a,['A Mhletywa'],,
4fde9ae6,['Aminullah Tanha'],,
458c7f03,['Amir Shahzad'],,
3029417f,['A Mitchell' 'Arthur Mitchell'],,
cc36706f,['Amit Chopra'],,
5c9c0aa6,['Amit Parashar'],,
87e977df,['Amjad Gul'],,
748b7a38,['A Joshi' 'AM Joshi' 'Ashish Joshi'],,
7ed05554,['AM Killey'],,
9da1b1bc,['Ammar Zahir'],,
46d037eb,['Ammar Zuhdi Hazalan'],,
5913321a,['AM Muller' 'Mike Muller'],,
4edfc785,['A Modi'],,
7e8ffb67,['A Mpeka'],,
2475b98f,['AM Pereira' 'Anna-Marie Pereira'],,
7bcde3fe,['A Rossington' 'AM Rossington'],,
883e3818,['AM Saheba'],,
0d90c81c,['AM Smith'],,
cc6850ec,['AM Sodumo'],,
81d16701,['A Muoki'],,
a4571ba9,['A Mustafa'],,
6d9d2de7,['AN Aminou'],,
72b245dd,['A Haque' 'Anamul Haque'],,
6c4ca034,['Anantha Rajamani'],,
0bb03efc,['Ananya Sarma'],,
a2b73ae0,['A Natarajan'],,
ba0ebe56,['A Naudi'],,
00d07580,['Andrew Crozier'],,
32c53327,['Andrew Scotford'],,
c5c31367,['AN Hornby' 'Albert Hornby' 'Monkey Hornby'],,
4ba77c99,['A Nicholas'],,
abbe1d1d,['Anil Dalpat'],,
2892df67,['Anish Sahasrabudhe'],,
affbf093,['Anisur Rahman'],,
14f03b2f,['Anjum Awais'],,
691e535a,['Ankita Ved'],,
5b9705c4,['Ankit Maini' 'Ankit Rajan Maini'],,
77fb55bb,['Akash Annabathula' 'Annabathula Akash'],,
c9439c2e,['A Norgrove'],,
39431db7,['Anowarul Islam'],,
22993306,['A Nsensha'],,
3864f6bd,['Ansumana Jarju'],,
397cf8e4,['Anthony Hobson'],,
0dcd8fbd,['Anthony Glynn Roe' 'Anthony Roe'],,
7f929ebe,['AN Toube'],,
c8f5f961,['Anuj Rawat'],,
a3350945,['Anunay Narayan Singh' 'Anunay Singh'],,
7d914fa0,['Anwar Hossain'],,
4f2cf3ed,"[""A O'Neil"" ""AV O'Neil"" ""Annie O'Neil""]",,
7c6293d1,['A Orfila'],,
375322d1,['A Osei'],,
866d3ac8,['A Parima'],,
eaeaf575,['A Patel' 'Anisha Patel'],,
85119526,['A Patmore'],,
2ffea5f0,['AP Binns' 'Alfie Binns'],,
8ae09b92,['AP Chore'],,
9e5225be,['A Peters'],,
bc653e66,['APF Chapman' 'Percy Chapman'],,
8b054bba,['AP Gillespie'],,
772f226b,['Aphsal Ashraf'],,
de111f25,['Api Leka'],,
4ad7fc1b,['AP McLaren'],,
63d6f031,['AP Rajeevan'],,
22850fa3,['A Prateek Reddy'],,
8c9f0b43,['A Pratt'],,
46c5d4fb,['AP Rouse'],,
b6160c58,['AP Sheahan' 'Paul Sheahan'],,
855a210c,['A Tare' 'AP Tare' 'Aditya Tare'],,
7d8c58c4,['AP Venkata'],,
fad19fcf,['A P Yadav' 'AP Yadav' 'Akash Yadav '],,
3f4456f5,['AQM Yako'],,
1798078c,['A Randhawa'],,
838bc6ab,['A Raza'],,
f994f4ca,['A Raffaelo' 'AR Berenger'],,
3abd4fc8,['AR Butcher' 'Alan Butcher'],,
82bc5a94,['Archie Carter'],,
11515742,['AR Collins'],,
19845ff5,['Areeb Quadir'],,
95957b9e,['Arif Ansari'],,
f3a5c378,['Aritra Dutta'],,
033e9d59,['Arjun Vinod'],,
92673ce8,['A A Sinha' 'AA Sinha' 'Arkaprabha Sinha'],,
42d76b5b,['Armaan Khan'],,
5c861579,['AR Maddela'],,
701a0e45,['ARM Muir' 'Z Muir'],,
a8d48f69,['A Rosslee'],,
8ffe3c97,['AR Pitcher'],,
d4958d1b,['AR Richards' 'Alfred Richards'],,
1ae701d0,['AR Rohera'],,
cc65e4a4,['Arsalan Arif'],,
8e367d57,['Arshad Mazarzei'],,
f70c0c66,['Arslan Ahmed'],,
9e894c5a,['Arslan Anwar'],,
4b6f8814,['Arslan Khan' 'Arslan Z Khan'],,
1a6c82e7,['AR Tuffery'],,
5f2732f7,['Aryan Juyal'],,
f8b7dfc0,['Arya Pastika'],,
401e1673,['Arya Sethi'],,
e24f3d1f,['A Sanawar' 'Anthony Sanawar'],,
6376fb1e,['A Sandham' 'Andrew Sandham' 'Andy Sandham'],,
c6d92330,['A Sangare'],,
a5efce80,['A Sarma'],,
94b8d7dd,['A Saud'],,
d0316a9f,['AS Campbell'],,
99aec976,['A Scantlebury' 'Alisa Scantlebury'],,
fc3d382b,['Asfahan Khan' 'Asfan Khan'],,
88aaf2d7,['Asgarali Kassam'],,
fd98f8cc,['Asghar Ali'],,
1f1f823a,['Asghar Ali Bhatti'],,
2c8d0953,['AS Gorad'],,
5661ef90,['A Sharma' 'Aryansh Sharma'],,
a4d3be4d,['A Sheridan'],,
b81712f7,['Ashlee Gibbons'],,
68305b5c,['Ashraaf Karriem'],,
7fd98cd5,['Ashraf Ali'],,
4e9af8f6,['A Shreshta'],,
fe5f83da,['Ashton Taylor'],,
84d9c311,['Ashutosh Sharma'],,
5581a471,['Ashwini Govinda'],,
f0aadc22,['A Sibanda'],,
3ce127f2,['Asif Iqbal' 'Asif Iqbal (1)'],,
6e723897,['Asif Mahmood'],,
6b35790c,['Asif Yaqoob'],,
fcfffcd5,['AS Kyobe'],,
a7defe00,['Aslam Bareach'],,
31080a88,['Aslam Khan'],,
39ca91e4,['Asma Shifa'],,
967984d0,['A Sootaga'],,
71b1e668,['Assad Mehmood'],,
5a72b592,['A Stanley'],,
89c62cf5,['A Steenkamp'],,
3bcd9af3,['A Sulistianingsih'],,
cf9338c9,['A Surenkumar'],,
0a241272,['A Swart'],,
c057e647,['A Tagilala'],,
69d03465,['A Carey' 'AT Carey' 'Alex Carey'],,
d4e6fc0a,['AT Fletcher'],,
364345ce,['Atif Jamal'],,
85d6b3f8,['Atiq-Uz-Zaman' 'Atiq-uz-Zaman'],,
b1d7d7bc,['A Totre'],,
85b528e2,['AT Roberts' 'Alphonso Roberts'],,
1ea5598c,['A Turner' 'Alan Turner'],,
2f740219,['ATW Grout' 'Wally Grout'],,
9758077b,['Aucher Warner'],,
5950b933,['A Ueda'],,
ef27e290,['A Uwimbabazi'],,
ba7b21fd,['A Valthapa'],,
63af7f6e,['A van den Berg'],,
06209a4c,['A van Schoor'],,
bde6e9ef,['AV Jayaprakash'],,
30c917bf,['AV Lazarus'],,
a7c9f985,['AV Narvekar'],,
f9f857dc,['Awais Ahmed'],,
286d5990,['Awal Babu'],,
bcb85340,['A Ward' 'Albert Ward'],,
631913b9,['AW Briscoe' 'Arthur Briscoe' 'Dooley Briscoe'],,
e8915c11,['AW Kay'],,
55053e4b,['AW Louw'],,
a6bbe829,['A Wood' 'Arthur Wood'],,
21dac0f8,['AW Palm' 'Archibald Palm'],,
78369076,['AW Scotland' 'Sandy Scotland'],,
2f899a44,['A Rahman' 'Ayasha Rahman'],,
f41c1218,['A Yates' 'AB Yates' 'Amy Yates'],,
2efc430e,['AY Dandekar'],,
0f661b72,['Aye Min Than'],,
a4fd2009,['AY Gokhale'],,
90d95b82,['AY Harris' 'Anna Harris'],,
99bf1fb7,['A Yon'],,
d620b86a,['Azad KR'],,
ff1e08eb,['Azam Khalil'],,
ee8f1a6d,['Azam Khan'],,
dd8af149,['Azam Kham' 'Azam Khan' 'Mohammad Azam Khan'],,
880133fb,['Azam Mohammad'],,
94a8e387,['A Ziraba'],,
0daac1da,['Azlan Suiad'],,
eb6d2ef1,['AZM Dyili'],,
0e102c3b,['BAA Zammitt'],,
c65e0275,['Babar Ali'],,
3c1137ba,['Babar Hussain'],,
16f4b44d,['BA Barnett' 'Ben Barnett' 'Benjamin Barnett'],,
85e6ccde,['Babul Kumar'],,
ba1408ac,['B Adu'],,
7fca84b7,['B King' 'BA King'],,
adcc3906,['Bala Kailash'],,
313314bc,['BA Mantle'],,
3b5a9438,['BAM Heath'],,
d7fe80b4,"[""BA O'Brien""]",,
98571ce8,['Bashir Ahmed'],,
6e80042d,['Basiru Jaye'],,
c620f573,['Basu Karn'],,
7d85b1e9,['BA Viraliliu'],,
7872f00a,['BA Young' 'Bryan Young'],,
305c31f2,['BBA Geddes'],,
6ca1d545,['BB Bailey'],,
12e18174,['BB Cooper' 'Bransby Cooper'],,
564afdcf,['B Bezuidenhout' 'BM Bezuidenhout'],,
8a522c6c,['B Biza'],,
d2ba5f1a,['BBJ Griggs'],,
8603d942,['BB Pradhan'],,
21640462,['B Bugingo'],,
e9a44f08,['B Cachopa'],,
3ded0fd5,['BCN Joseph' 'Bernard Joseph'],,
57cb4044,['BC Sahin'],,
f7e8ee52,['BC Treloar'],,
d7327068,['BDA Westraadt'],,
cac638ae,['B Birkhead' 'BD Birkhead'],,
b3020075,['B de Leede'],,
8159d5fc,['B Guest' 'BD Guest'],,
6c5f9323,['BD Milburn' 'Barry Milburn'],,
aa361ce8,['BD Papworth'],,
25dcd237,['BD Schmulian'],,
8fe33b81,['BE Cloake'],,
14fb95ae,['Bede Sajowitz'],,
459fd041,['Beidas Tareq'],,
35cfc769,['Benjamin Constanzo' 'Benjamin Figueroa Constanzo'],,
b0b8fec6,['Berend du Plessis'],,
c768ff1b,['Bernard Perera'],,
20ccbb4c,['B Ess'],,
7d399085,['B Farrell'],,
efc0a862,['BF Bowden'],,
f49935eb,['BF Mailata'],,
2d45a2da,['B Gammon'],,
fd8ffc13,['BG Frost'],,
26457e41,['BG Jerling'],,
987a5841,['B Gurung'],,
cd4134fc,['B Hartong'],,
038ff851,['Bhavesh Seth'],,
7725cb8a,['B Heath'],,
00bcd434,['Bhiguraj Pathania'],,
54d9489d,['Bibek' 'Bibek Diyali'],,
a5fc18a7,['Bijeyata Kumari'],,
6b94cc0b,['Bikas Pati' 'Bikashswarup Pati'],,
ad4622c0,['Bilal Ahmed'],,
3cf06094,['Bilal Tahir'],,
2c14421f,['B Isaac'],,
d3cefce5,['Bismillah Khan'],,
cae815a0,['Bismillah Shinwari'],,
5b658677,['BJ Davidson' 'Brett Davidson'],,
524a3a82,['BJ Debenham'],,
b0c772ee,['B Haddin' 'BJ Haddin' 'Brad Haddin'],,
f05d1564,['BJ Holt' 'BJH Holt' 'Baxter Holt'],,
ad9a3160,['BJJ Wells'],,
da48380d,['BJM Scott'],,
fb73b0ee,['BJ Muir'],,
b77d2322,['B Joseph' 'Brian Joseph'],,
3e04e05a,['BJ Peverall'],,
27af6414,['B Rohrer' 'BJ Rohrer'],,
928670cc,['B J Watling' 'BJ Watling'],,
036b8660,['BKB Corbin'],,
dcabd6bc,['BKEL Milantha'],,
c3ea1c10,['BK Mehta'],,
b17a1d5a,['BL Aldridge'],,
aa0c5e01,['B Leephatthana'],,
2fdcecae,['B Lekau'],,
740a5494,['B Leo' 'Branden Leo'],,
3aad4933,['B Likavu'],,
52d1dbc8,['B Mooney' 'BL Mooney' 'Beth Mooney'],,
02888e6b,['B Luitel'],,
d4320277,['BL Wiggins'],,
1e481de4,['B Madimabe'],,
f46bef25,['B Manikandan'],,
06cbeba1,['B Manuel'],,
47c66d8a,['B Masauko'],,
862e4e77,['BM Davis'],,
3b5f511b,['BM Laird' 'Bruce Laird'],,
f12d65ee,['BM Perry'],,
1d8a3ca6,['B Namsrai'],,
4b8cf39c,['BN French' 'Bruce French'],,
e54d6bd3,['BN Harrison'],,
d4e39566,['B Nikitaras'],,
04119c26,['BN Jarman' 'Barry Jarman'],,
6fb07db4,['B Ntshebe'],,
ca38de66,['Bonny Chingangbam'],,
3c370b92,['Bosco Tuyizere'],,
77ea6ec3,['B Palekar'],,
c982ad6f,['B Phelenyane'],,
7f50b306,['B Pierre'],,
7bb1331e,['BP Jele'],,
848487cf,['B Popli' 'Bharat Popli'],,
92ad5353,['B Ramani'],,
4d1cc284,['B Rawal'],,
cbebf805,['BR Doctrove'],,
b187e4ae,['B Reddy' 'Bharat Reddy' 'Bharath Reddy'],,
751a026b,['BR Farrell'],,
1a8550f7,['BR Hartland' 'Blair Hartland'],,
05e452c9,['Brian Taylor'],,
c76cdfd7,['Bri Olewale'],,
c2dd89ea,['BR Sharath'],,
3d7e7eac,['BS Bhatti'],,
e70a8240,['B Schilperoord'],,
17967cc0,['B Sly'],,
328bda1e,['B Songa'],,
163b7ef5,['B S Sharma' 'BS Sharma' 'Bharat Sharma'],,
3a6cbb8e,['B Tau'],,
da63ea2c,['BT Capel'],,
fd770945,['B Foakes' 'BT Foakes' 'Ben Foakes'],,
0bf06c6d,['BV Arya'],,
1d89c232,['BV Save'],,
90b3169e,['B Zaigham'],,
b06b3029,['CA Best' 'Carlisle Best'],,
24ffb29f,['CAE Hill'],,
f758a37b,['CA Greloni' 'Catalina Greloni'],,
12e8b697,['CAG Russell' 'Charles Russell' 'Jack Russell'],,
c56819b2,['CAJ Brodrick'],,
4f91427c,['Cakacaka Cokovaki'],,
bbff906c,['C Walton' 'CAK Walton' 'Chadwick Walton'],,
03850014,['C Alfred' 'Colin Alfred'],,
a8fd2b20,['CA McElwee'],,
e94e4d8d,['CA Merry' 'Cyril Merry'],,
543b2173,['CA Moses'],,
e304926f,['CA Numungu'],,
a68ad345,['Capil Rampersad'],,
26a360d2,['CA Polosak'],,
f1b721b9,['CAR Duckworth' 'Chris Duckworth' 'Christopher Duckworth'],,
1a2a130b,['CA Saville' 'Clifford Saville'],,
c5e415aa,['CA Wakim'],,
682e9514,['Archie Wiles' 'CA Wiles' 'Charles Wiles'],,
d28b53ea,['C Bannerman' 'Charles Bannerman'],,
0fa92a21,['C Bayraktar'],,
d5ac41d8,['CB Gaffaney'],,
a80ad5d7,['CB Jennings' 'Claude Jennings'],,
75b42f71,['C Black' 'Cory Black'],,
b3179e21,['CB Ondoa'],,
53e855df,['C Brooks' 'Carl Brooks'],,
d8c6111c,['C Burgess'],,
1e25b5bf,['C Carter'],,
a7e221c3,['C Cato'],,
ef4f539a,['C Chete'],,
bb0aac11,['C Chukwuonye'],,
30048047,['CC McDonald' 'Colin McDonald'],,
59e2c4ec,['CC Passailaigue' 'Charles Passailaigue' 'Clarence Passailaigue'],,
76b93b1c,['C Creswell' 'Charles Creswell'],,
9b671b41,['C Crowe'],,
463cd7cb,['CD Cumming' 'Craig Cumming'],,
3a72e521,['CD Elly'],,
4af9f5d4,['CD Fletcher'],,
9a06679d,['CD Hartley'],,
115167f6,['C Diarra'],,
c0215bbd,['CD Isaacs'],,
73b14f21,['CD Kibuge'],,
a2a0fa9a,['C Dougherty'],,
efdee934,['CD Shekleton'],,
7b5c6c0b,['C Wallace' 'CD Wallace'],,
1ce9b927,['CD Wright'],,
a072f223,['C Edwards'],,
ad90e4b8,['CE Mack'],,
7db50b62,['CEM Wilson' 'Clem Wilson' 'Clement Wilson'],,
ef9acbcc,['C Esterhuizen' 'Carolyn Esterhuizen'],,
14ee7716,['CFH Prince' 'Charles Prince'],,
a71b8a74,['CF Jackson'],,
24fd039c,['CFK van Wyk' 'Kruger van Wyk'],,
7d8b691a,['C Fletcher'],,
8a9e3cd0,['C Forbes'],,
f25cebec,['C Fortuin'],,
8f6b3a8b,['CF Walters' 'Cyril Walters'],,
b795e2a9,['CF Wright'],,
d178e57e,['C George'],,
662d4c23,['CG Fichardt' 'Charles Fichardt'],,
fcbd6eb8,['CG Heaphy'],,
25f41078,['C Gibson'],,
876ed858,['C Grant'],,
db3e90af,['CG Rowe' 'Charles Rowe' 'Gordon Rowe'],,
f39013c1,['Chabungbam Ishworjit' 'Ishworjit'],,
f53fa89c,['Chado Om'],,
f0c86c2d,['Chanderpal Saini'],,
4e1b7998,['Chare Smith'],,
8de34db0,['Charles Kariuki'],,
