identifier,all_names,batting_style,bowling_style
9414a81c,['AI Chudasama'],Right hand Bat,Right arm Offbreak
6d60ece6,['Aijaz Ali'],Right hand Bat,Right arm Medium
6de66e5e,['AI Kallicharran' 'Alvin Kallicharran'],Left hand Bat,Right arm Offbreak
6762a445,['A Ikuzwe' 'Alice Ikuzwe'],Right hand Bat,Right arm Medium
9341736f,['AI MacKinlay' 'Andrew MacKinlay'],Right hand Bat,Right arm Fast
774e65b3,['Aimal Khan'],Right hand Bat,Right arm Medium
c736a96b,['A Anwer' 'Aiman Anwer' 'Aimen Anwar'],Right hand Bat,Right arm Medium
4c7744de,['Ainna Hamizah Hashim'],Right hand Bat,Right arm Medium
1bada9da,['Ainool Hafizs'],Right hand Bat,Right arm Medium
f5e5f1c7,['A Iqbal'],Left hand Bat,Left arm Orthodox
fb0d68b4,['AI Ross' 'Alex Ross'],Right hand Bat,Right arm Offbreak
f3614f32,['AISD Kainoco'],Right hand Bat,Right arm Medium
9c7e9140,['Aisha Rahman'],Right hand Bat,Right arm Medium
659fc11f,['Aishath Meesa Rameez'],Right hand Bat,Right arm Medium
a926442f,['AI Shields'],Right hand Bat,Right arm Medium
ea3a41e0,['Aishwary Marya' 'Aishwary Mourya' 'Aishwarya Mourya'],Right hand Bat,Right arm Medium
2cd18a73,['Aisya Eleesa'],Right hand Bat,Right arm Medium
b1e94e99,['AI Taylor' 'Alistair Taylor' 'Scotch Taylor'],Right hand Bat,Right arm Legbreak
5441db8c,['A Cheema' 'Aizaz Cheema'],Right hand Bat,Right arm Medium
f6c2659d,['A Khan' 'Aizaz Khan'],Right hand Bat,Right arm Medium
de966ed3,['A Jackson' 'Archibald Jackson' 'Archie Jackson'],Right hand Bat,Right arm Offbreak
70d117de,['A Jacobs'],Left hand Bat,Right arm Offbreak
7923cca0,['A Jadeja' 'AD Jadeja' 'Ajay Jadeja'],Right hand Bat,Right arm Medium
88867cac,['AJA Gray'],Right hand Bat,Right arm Legbreak
8d1dad51,['A Javid'],Right hand Bat,Right arm Medium
9d7ad127,['Ajay Dev Goud'],Right hand Bat,Right arm Medium
ea02d56d,['Ajay Kumar' 'Mallireddy Ajay Kumar'],Right hand Bat,Right arm Medium
31ee319e,['Ajay Mandal'],Left hand Bat,Left arm Orthodox
700edf8d,['Ajay' 'Ajay Pradhan'],Right hand Bat,Left arm Orthodox
10636efb,['A S Sarkar' 'AS Sarkar' 'Ajay Sarkar'],Right hand Bat,Right arm Medium
752e972f,['Ajay Yadav'],Right hand Bat,Right arm Medium
29b6bcd4,['Ajaz Patel'],Left hand Bat,Left arm Orthodox
49299473,['AJ Ball'],Right hand Bat,Left arm Fast
ac021051,['AJ Bell' 'Alexander Bell' 'Sandy Bell'],Right hand Bat,Right arm Fast
3cf83487,['AJ Bichel' 'Andy Bichel'],Right hand Bat,Right arm Fast
b9164a9b,['A Blackwell' 'AJ Blackwell'],Right hand Bat,Right arm Medium
ea27a674,['A Blake' 'AJ Blake' 'Blake'],Left hand Bat,Right arm Medium
e65422a7,['AJ Bookal'],Left hand Bat,Left arm Medium
4347a4ae,['AJ Burger'],Right hand Bat,Right arm Legbreak
0d2bc909,['AJ Clarke'],Left hand Bat,Right arm Medium
0c8836b6,['AJ Crosthwaite'],Right hand Bat,Right arm Legbreak
a1abb3a2,['AJ Drummond'],Right hand Bat,Right arm Offbreak
798053cf,['AJ Evans' 'Alfred Evans' 'John Evans'],Right hand Bat,Right arm Medium
b8d490fd,['A Finch' 'AJ Finch' 'Aaron Finch'],Right hand Bat,Left arm Orthodox
83a361a3,['AJ Fothergill' 'Arnold Fothergill'],Left hand Bat,Left arm Medium
29e81708,['AJ Green'],Right hand Bat,Right arm Medium
f64ff7e7,['A Gregory' 'AJ Gregory'],Right hand Bat,Right arm Fast
6b0c3a20,['AJ Hall' 'Andrew Hall'],Right hand Bat,Right arm Fast
1db5e9db,['AJ Harris'],Right hand Bat,Right arm Medium
a4af518c,['AJ Harrison'],Right hand Bat,Right arm Medium
57330536,['AJ Hickey'],Left hand Bat,Right arm Offbreak
7ad8bc50,['AJ Hollioake' 'Adam Hollioake'],Right hand Bat,Right arm Medium
104e88a4,['A Hose' 'AJ Hose'],Right hand Bat,Right arm Medium
4d7f517e,['A Hosein' 'AJ Hosein' 'Akeal Hosein' 'Hosein'],Left hand Bat,Left arm Orthodox
a7c7802a,['AJ Ireland'],Right hand Bat,Right arm Medium
ca753f5d,['A Kenealy' 'AJ Kenealy'],Right hand Bat,Right arm Medium
e02bc2bc,['AJ Lamb' 'Allan Lamb'],Right hand Bat,Right arm Medium
b501ed14,['AJ Leonard'],Right hand Bat,Right arm Medium
88e3b60a,['AJL Hill' 'Arthur Hill'],Right hand Bat,Right arm Fast
e7f06080,['AJ Macleod'],Right hand Bat,Right arm Offbreak
6a315fb5,['AJ Malan'],Right hand Bat,Right arm Fast
de3acffe,['AJ McKay' 'Andrew McKay'],Right hand Bat,Left arm Fast
4ba2c04d,['AJ Nair' 'Arjun Nair'],Right hand Bat,Right arm Offbreak
a28a7fba,['A Johnson'],Right hand Bat,Right arm Offbreak
6a28ef18,['AJ Parr-Thomson'],Right hand Bat,Right arm Medium
647a48da,['AJ Pienaar'],Right hand Bat,Left arm Orthodox
dd349f0d,['AJ Pithey' 'Tony Pithey'],Right hand Bat,Right arm Offbreak
685d3f80,['AJ Pycroft' 'Andrew Pycroft'],Right hand Bat,Right arm Offbreak
48f177f5,['AJ Redmond' 'Aaron Redmond'],Right hand Bat,Right arm Legbreak
ce470ca0,['AJ Robson'],Right hand Bat,Right arm Legbreak
9dd29a71,['AJ Rout'],Right hand Bat,Right arm Medium
dc4165c8,['AJ Shantry'],Left hand Bat,Left arm Medium
62c713bf,['AJ Staal'],Right hand Bat,Right arm Legbreak
a8ce3491,['AJ Stewart' 'Alec Stewart'],Right hand Bat,Right arm Medium
b68d14a9,['A Strauss' 'AJ Strauss' 'Andrew Strauss'],Left hand Bat,Left arm Medium
f9d218a7,['AJ Swann' 'Alec Swann'],Right hand Bat,Right arm Offbreak
5470b05f,['AJ Traicos' 'Athanasios Traicos' 'John Traicos'],Right hand Bat,Right arm Offbreak
1d622276,['AJ Tudor' 'Alex Tudor'],Right hand Bat,Right arm Fast
ff1e12a0,['A Turner' 'AJ Turner' 'Ashton Turner'],Right hand Bat,Right arm Offbreak
7c7d63a2,['A Tye' 'AJ Tye' 'Andrew Tye' 'Tye'],Right hand Bat,Right arm Medium
dd91c1a5,['AJ Watkins' 'Allan Watkins'],Left hand Bat,Left arm Medium
14fa5b79,['AJ Webbe' 'Alexander Webbe'],Right hand Bat,Right arm Fast
948ac8c2,['AJW McIntyre' 'Arthur McIntyre'],Right hand Bat,Right arm Legbreak
e3a82282,['AJY Hopkins' 'Albert Hopkins' 'Bert Hopkins'],Right hand Bat,Right arm Fast
fcc21ace,['A Kamboj'],Right hand Bat,Right arm Medium
5f77f4ec,['A Kansonkho'],Right hand Bat,Right arm Medium
90255fab,['A Kapil'],Right hand Bat,Right arm Fast
2835af2a,['A Kapoor'],Right hand Bat,Right arm Medium
e1492aed,['A Karmacharya'],Right hand Bat,Right arm Medium
357f5314,['A Karn'],Right hand Bat,Left arm Medium
a5735bd3,['A Karvelas'],Right hand Bat,Right arm Medium
fb59e5bc,['Akash Babu'],Right hand Bat,Right arm Legbreak
c2ce55cb,['Akash Bhandari'],Right hand Bat,Right arm Legbreak
0f60513c,['Akash Choudhary' 'Akash Kumar'],Right hand Bat,Right arm Medium
0a67aec0,['Akash Deep'],Right hand Bat,Right arm Fast
8799dc6d,['Akash Luitel'],Left hand Bat,Left arm Medium
4bd09374,['Akash Madhwal' 'Madhwal A'],Right hand Bat,Right arm Medium
f691e227,['Akash Pandey'],Left hand Bat,Left arm Orthodox
f992200b,['Akash P' 'Akash Parkar'],Right hand Bat,Right arm Medium
f4271f06,['Akash Raj'],Right hand Bat,Right arm Medium
bb3ccb17,['Akash Sengupta'],Right hand Bat,Right arm Medium
b483905d,['A M Singh' 'Akash Singh'],Right hand Bat,Left arm Medium
3d930abb,['Akash Sudan'],Left hand Bat,Right arm Medium
35ccfdd4,['A P Vashisht' 'AP Vashisht' 'Akash Vasisht'],Left hand Bat,Left arm Orthodox
53d0b0dc,['A Kaul'],Right hand Bat,Right arm Medium
6113433c,['Akbar Khan' 'Akbar Khan (2)'],Right hand Bat,Right arm Medium
1a772306,['Akbar-ur-Rehman'],Right hand Bat,Right arm Legbreak
a8e87c2a,['AK Burrows'],Left hand Bat,Right arm Medium
1501688a,['A K Chahal' 'AK Chahal' 'Ajit Chahal'],Right hand Bat,Right arm Medium
8b806dd0,['AK Davidson' 'Alan Davidson'],Left hand Bat,Left arm Fast
fc487dfa,['AKD Gray'],Right hand Bat,Right arm Offbreak
822ddd34,['A Keefe'],Right hand Bat,Right arm Medium
77bf0483,['Akeem Jordan'],Right hand Bat,Right arm Fast
2fff8b43,['AK Gokoel'],Right hand Bat,Right arm Medium
141ee9a0,['AK Gonerara'],Right hand Bat,Right arm Medium
0d518f89,['A Khaka' 'Khaka'],Right hand Bat,Right arm Medium
e27cff77,['A Khan' 'Amjad Khan'],Right hand Bat,Right arm Fast
78ba5d1b,['AK Heal'],Left hand Bat,Left arm Orthodox
2deb4082,['A Kheterpal'],Right hand Bat,Right arm Medium
c06c25fd,['Akhil Anil'],Left hand Bat,Right arm Offbreak
2b203501,['Akhil Arjunan'],Right hand Bat,Right arm Legbreak
0c0eb448,['Akhil Rajput'],Left hand Bat,Right arm Offbreak
29859e71,['Akhtar Ahmad'],Right hand Bat,Right arm Offbreak
99d7d5b7,['Akif Javed'],Right hand Bat,Left arm Medium
83558266,['A King' 'Alana King' 'King'],Right hand Bat,Right arm Legbreak
d953bf92,['A Kirschbaum' 'Alan Kirschbaum'],Right hand Bat,Right arm Offbreak
34c205b1,['A Kitayama'],Left hand Bat,Right arm Medium
63a1874a,['A Kitchen' 'AK Kitchen'],Right hand Bat,Left arm Orthodox
883c7de9,['AK Kuruppuarachchi' 'Ajith Kuruppuarachchi' 'Kosala Kuruppuarachchi'],Right hand Bat,Left arm Fast
f888a374,['AK Maguire'],Right hand Bat,Left arm Orthodox
6a26221c,['A Markram' 'AK Markram' 'Aiden Markram'],Right hand Bat,Right arm Offbreak
4e11e004,['AK Mitra'],Right hand Bat,Right arm Offbreak
d55474ac,['AK Mohan'],Right hand Bat,Right arm Offbreak
93f72fdc,['AK Muslar'],Right hand Bat,Right arm Medium
eb9082b2,['A Kohli'],Left hand Bat,Right arm Offbreak
b225693c,['Akoijam Singh' 'Akoijam Tenyson Singh' 'Tenyson'],Right hand Bat,Right arm Medium
8595cc08,['A Kone'],Right hand Bat,Right arm Medium
c8ad0749,['AK Perera'],Right hand Bat,Left arm Orthodox
badd245f,['A Peters' 'AK Peters'],Left hand Bat,Left arm Medium
fbc5b9e2,['Akram Khan'],Right hand Bat,Right arm Medium
ca63d208,['Akram Raza'],Right hand Bat,Right arm Offbreak
dd3df124,['Akramullah Malikzada'],Right hand Bat,Right arm Medium
8f559207,['A Kripal Singh'],Right hand Bat,Right arm Medium
13598ebc,['A Krishna'],Right hand Bat,Right arm Legbreak
a7f2c013,['AK Roy' 'Ambar Roy'],Left hand Bat,Right arm Medium
a6f2b2ef,['AK Russell'],Right hand Bat,Right arm Legbreak
5b1d6583,['A Sah' 'AK Sah'],Right hand Bat,Right arm Offbreak
92cadfe2,['A K Sarkar' 'AK Sarkar' 'Abhijit Sarkar'],Right hand Bat,Right arm Medium
b5481420,['AK Sengupta' 'Apoorva Sengupta'],Right hand Bat,Right arm Legbreak
f5cc6d0e,['AK Sharma' 'Ajay Sharma'],Right hand Bat,Left arm Orthodox
d8d67045,['Akshat Raghuwanshi'],Right hand Bat,Right arm Offbreak
f0f5b2aa,['Akshay Chandran'],Left hand Bat,Left arm Orthodox
cd626284,['Akshay Jain' 'S Akshay Jain'],Right hand Bat,Left arm Orthodox
e1e7f950,['A K Karnewar' 'AK Karnewar' 'Akshay Karnewar'],Left hand Bat,Left arm Orthodox
ec9fc54b,['A A Wakhare' 'AA Wakhare' 'Akshay Wakhare'],Right hand Bat,Right arm Offbreak
02e831e0,['AK Shukla'],Right hand Bat,Right arm Medium
88256fe1,['Aks Swadhin'],Right hand Bat,Right arm Fast
0c2730df,['A Kumble' 'Anil Kumble'],Right hand Bat,Right arm Legbreak
c7a9a971,['A Kuruvilla' 'Abey Kuruvilla'],Right hand Bat,Right arm Fast
ec256d9d,['AKV Tyrone' 'AKV Tyronne'],Right hand Bat,Right arm Offbreak
1b068ee9,['A Lambert'],Left hand Bat,Left arm Orthodox
353265e7,['Alamgir Kabir'],Right hand Bat,Right arm Medium
ec72efc5,['Al-Amin'],Right hand Bat,Right arm Offbreak
3f5f39cd,['Al-Amin Hossain'],Right hand Bat,Right arm Medium
90830f8d,['Alam Nakash'],Right hand Bat,Left arm Medium
dcad62ac,['A Landage'],Left hand Bat,Right arm Medium
ba0a8d88,['A Lanning' 'AJ Lanning' 'Anna Lanning'],Right hand Bat,Right arm Offbreak
6a0a1bfb,['AL Apte' 'Arvind Apte'],Right hand Bat,Right arm Medium
e5fa3d24,['Alastair Bressington'],Left hand Bat,Right arm Medium
721032ec,['Alauddin Babu'],Right hand Bat,Right arm Medium
c968b533,['Alawi Shukri'],Left hand Bat,Right arm Offbreak
a796e302,['AL Casime'],Right hand Bat,Right arm Fast
f5efe5e0,['AL Dodson'],Left hand Bat,Right arm offbreak
1757bedf,['A Learoyd' 'Anika Learoyd'],Right hand Bat,Right arm Legbreak
69a0b944,['A le Breton'],Right hand Bat,Right arm Medium
795ff893,['AL Edgar'],Right hand Bat,Right arm Medium
f02778d1,['Aleem Dar'],Right hand Bat,Right arm Legbreak
97f2faf0,['Aleena Khan'],Right hand Bat,Right arm Offbreak
13f21a98,['Alexandros Karvelas'],Right hand Bat,Right arm Offbreak
ea6ec2d9,['Alex Carthew'],Right hand Bat,Right arm Offbreak
8e519e52,['Alex J Jones'],Right hand Bat,Left arm Fast
5df49485,['ALF de Mel' 'Ashantha de Mel'],Right hand Bat,Right arm Medium
029c4618,['AL Fekete' 'Andrew Fekete' 'Fekete'],Right hand Bat,Right arm Fast
05786298,['AE Hall' 'Alf Hall' 'Alfred Hall'],Left hand Bat,Left arm Fast
668d33d5,['AL Hassett' 'Arthur Hassett'],Right hand Bat,Right arm Medium
f874c5a7,['AL Hodgkinson'],Right hand Bat,Right arm Legbreak
1066a976,['A Hughes' 'AL Hughes' 'Hughes'],Right hand Bat,Right arm Medium
ffe659ae,['Ali Abbas'],Right hand Bat,Right arm Medium
818aef9a,['Ali Abdulla Popalzae'],Right hand Bat,Right arm Medium
1342d8d8,['Ali Arman'],Right hand Bat,Right arm Offbreak
6ee6aeca,['Ali Asad'],Right hand Bat,Right arm Fast
9fd1e950,['Ali Bushahri'],Right hand Bat,Right arm Medium
596982e6,['Ali Dawood'],Right hand Bat,Right arm Medium
5845b99b,['Ali Farasat'],Right hand Bat,Right arm Offbreak
cae17490,['Ali Hasan'],Left hand Bat,Left arm Medium
84ebbb1a,['Ali Hussain Rizvi' 'Ali Rizvi'],Right hand Bat,Right arm Legbreak
adb2f841,['Ali Ivan'],Right hand Bat,Right arm Offbreak
b0eaaac6,['Ali Khan'],Right hand Bat,Right arm Fast
692c7070,['A Khan' 'Ali Khan' 'Ali Shamsher Khan'],Right hand Bat,Right arm Medium
0e9b0f64,['Ali Majid'],Right hand Bat,Right arm Offbreak
a138f597,['Ali Masood'],Right hand Bat,Right arm Medium
d29ea7d7,['Alimuddin'],Right hand Bat,Right arm Legbreak
3c89fc88,['Ali Naqvi' 'Syed Ali U Naqvi'],Right hand Bat,Right arm Offbreak
f5715b48,['Ali Naseer'],Left hand Bat,Right arm Medium
e0b7a243,['Alisa Mohammed'],Right hand Bat,Right arm Offbreak
7873a628,['Ali Shafiq'],Right hand Bat,Right arm Medium
45d38a84,['Al Islam'],Right hand Bat,Right arm Offbreak
3498a188,['A Littlejohns'],Right hand Bat,Right arm Medium
89e17934,['Ali Waqar'],Right hand Bat,Right arm Medium
4b55733f,['A Waqas' 'Ali Waqas'],Left hand Bat,Right arm Offbreak
026e1314,['Ali Yalmaz'],Right hand Bat,Right arm Medium
2904b4b6,['A Riaz' 'Aliya Riaz'],Right hand Bat,Right arm Medium
04ed04d2,['Ali Zaheer'],Left hand Bat,Right arm Legbreak
71de54c3,['Alkandari Abdulrahman'],Right hand Bat,Right arm Medium
6f4ee143,['AL Kane'],Right hand Bat,Right arm Medium
ce18f6f6,['AL Kerrison'],Right hand Bat,Right arm Offbreak
56c9550d,['AL Logie' 'Gus Logie'],Right hand Bat,Right arm Offbreak
a156f06e,['AL MacDonald'],Left hand Bat,Right arm Medium
7e8cd083,['AL Mangue'],Right hand Bat,Right arm Medium
4e6970be,['AL Mann' 'Anthony Mann' 'Tony Mann'],Left hand Bat,Right arm Legbreak
9dc1f62b,['Almas Akram'],Left hand Bat,Left arm Medium
be47cb63,['Al Maseera Jahangir'],Right hand Bat,Right arm Offbreak
8291f939,['A Menaria' 'AL Menaria' 'Ashok Menaria'],Left hand Bat,Left arm Orthodox
83ea85f6,['AL Ndhlovu'],Right hand Bat,Right arm Offbreak
08aae164,['AL Nicholls'],Right hand Bat,Right arm Medium
8c90747d,['AL Ochse' 'Arthur Ochse'],Right hand Bat,Right arm Fast
54279e23,['Alok Kapali'],Right hand Bat,Right arm Legbreak
47f75983,['Alok Chandra Sahoo' 'Alok Sahoo'],Right hand Bat,Right arm Medium
9b05c1c1,['AL Olliver'],Right hand Bat,Right arm Medium
5eecae5d,['A Louw'],Right hand Bat,Right arm Offbreak
b5897bf7,['AL Padmore' 'Albert Padmore'],Right hand Bat,Right arm Offbreak
ab6b1c45,['A Phehlukwayo' 'AL Phehlukwayo' 'Andile Phehlukwayo' 'Phehlukwayo'],Left hand Bat,Right arm Medium
fdd414ab,['Al Sahariar' 'Al Sahariar Rokon'],Right hand Bat,Right arm Legbreak
d12ec7b3,['AL Seddon'],Right hand Bat,Right arm Medium
49f6d023,['AL Stephen'],Right hand Bat,Right arm Medium
96a0ff3f,['AL Thomas'],Right hand Bat,Right arm Medium
1e3117d5,['AL Thomson' 'Alan Thomson' 'Froggy Thomson'],Right hand Bat,Right arm Fast
e0df3345,['AL Tiwari'],Right hand Bat,Right arm Medium
b6ecef93,['AL Valentine' 'Alf Valentine' 'Alfred Valentine'],Right hand Bat,Left arm Orthodox
6f5df0ad,['AL Wadekar' 'Ajit Wadekar'],Left hand Bat,Left arm Medium
d395e33c,['AL Watkins'],Left hand Bat,Right arm Offbreak
70b8fd28,['A Lyth' 'Adam Lyth'],Left hand Bat,Right arm Offbreak
651fd5cd,['A Lyttelton' 'Alfred Lyttelton'],Right hand Bat,Right arm offbreak
c6a1b1bb,['A Butt' 'Amad Butt'],Right hand Bat,Right arm Fast
3fbafad4,['AMA Dewar'],Right hand Bat,Right arm Legbreak
d6a2f3a5,['A Magdalenic'],Right hand Bat,Right arm Medium
3ec513ea,['A Maheshwari'],Right hand Bat,Left arm Medium
9001b45c,['A Makesh'],Right hand Bat,Right arm Legbreak
98affc04,['A Makri'],Right hand Bat,Right arm Medium
e3434f95,['AM Ali'],Right hand Bat,Right arm Offbreak
734cded2,['Amalin Sorfina'],Right hand Bat,Right arm Offbreak
dd8ba405,['AM Amla'],Right hand Bat,Right arm Legbreak
5147ad5b,['Aman Ali'],Right hand Bat,Left arm Fast
eebc0141,['A Manatos'],Left hand Bat,Left arm Medium
