,match_id,date,batter,batter_runs,balls_faced,wicket_type,won,innings,wickets_fallen,bowling_team,batting_team,venue,toss_winner,runs_remain,net_run_rate,final_team_total,first_ball,current_team_total,is_powerplay,strike_rate,out,last_ball,Left arm Fast,Left arm Orthodox,Left arm Wrist spin,Right arm Fast,Right arm Legbreak,Right arm Offbreak,recent_form
8092,India_West Indies_2023-08-13,2023-08-13,YBK Jaiswal,5,4,caught and bowled,0.0,1,0,West Indies,India,Central Broward Regional Park Stadium,1,-1.0,-1.25,165,1,0,True,125.0,True,5,12.0,30.0,26.0,103.0,30.0,37.0,42.5
229,New Zealand_Sri Lanka_2016-01-07,2016-01-07,TAM Siriwardana,42,30,caught,0.0,2,4,New Zealand,Sri Lanka,Bay Oval,1,29.0,-0.1500000000000003,179,31,42,False,140.0,True,102,39.0,0.0,0.0,68.0,48.0,28.0,0.0
4214,New Zealand_Australia_2018-02-16,2018-02-16,AT Carey,1,1,0,1.0,2,5,New Zealand,Australia,Eden Park,0,-2.0,0.8588495575221238,245,112,239,False,100.0,False,113,0.0,0.0,0.0,13.0,0.0,0.0,2.5
1685,South Africa_England_2020-02-16,2020-02-16,JC Buttler,57,29,caught,1.0,2,0,South Africa,England,SuperSport Park,0,116.0,0.6913043478260867,226,1,0,True,196.55,True,57,0.0,6.0,19.0,189.0,25.0,4.0,8.5
962,New Zealand_South Africa_2017-02-17,2017-02-17,Q de Kock,0,4,caught,1.0,1,0,New Zealand,South Africa,Eden Park,0,-1.0,3.9,185,1,0,True,0.0,True,16,62.0,24.0,0.0,94.0,23.0,0.0,0.0
3472,West Indies_Australia_2021-07-10,2021-07-10,ADS Fletcher,9,7,bowled,1.0,1,0,Australia,West Indies,Daren Sammy National Cricket Stadium,0,-1.0,2.8000000000000007,196,1,0,True,128.57,True,16,43.0,50.0,0.0,105.0,50.0,2.0,32.5
531,Pakistan_New Zealand_2018-10-31,2018-10-31,GD Phillips,12,15,bowled,0.0,2,0,Pakistan,New Zealand,Sheikh Zayed Stadium,0,98.0,-0.1000000000000005,146,1,1,True,80.0,True,36,19.0,46.0,0.0,110.0,49.0,18.0,0.0
9524,India_Sri Lanka_2009-12-12,2009-12-12,G Gambhir,21,18,run out,1.0,2,0,Sri Lanka,India,Punjab Cricket Association IS Bindra Stadium,0,148.0,0.7086956521739118,211,1,0,True,116.67,True,36,20.0,43.0,0.0,154.0,0.0,35.0,55.0
6710,England_West Indies_2023-12-19,2023-12-19,BA King,0,1,caught,0.0,2,1,England,West Indies,Brian Lara Stadium,1,267.0,-3.75,192,1,0,True,0.0,True,1,33.0,48.0,0.0,89.0,44.0,6.0,37.333333333333336
4422,Sri Lanka_Pakistan_2015-08-01,2015-08-01,Ahmed Shehzad,7,8,bowled,1.0,2,0,Sri Lanka,Pakistan,R. Premadasa Stadium,0,161.0,0.4000000000000003,174,1,1,True,87.5,True,14,69.0,19.0,0.0,72.0,36.0,42.0,46.0
5805,India_Sri Lanka_2021-07-28,2021-07-28,DM de Silva,40,34,0,1.0,2,3,India,Sri Lanka,R. Premadasa Stadium,1,-1.0,0.1627118644067797,133,56,55,False,117.65,False,118,11.0,0.0,17.0,32.0,43.0,30.0,9.0
8653,South Africa_India_2006-12-01,2006-12-01,CK Langeveldt,0,1,0,0.0,1,9,India,South Africa,New Wanderers Stadium,1,-1.0,-0.1033613445378156,126,119,124,False,0.0,False,120,0.0,1.0,,0.0,,2.0,0.0
4476,Pakistan_South Africa_2013-11-13,2013-11-13,Mohammad Hafeez,0,2,caught,0.0,1,2,South Africa,Pakistan,Dubai International Cricket Stadium,1,-1.0,-1.9275862068965512,98,11,4,True,0.0,True,12,63.0,6.0,0.0,46.0,41.0,36.0,0.0
626,New Zealand_Australia_2021-02-22,2021-02-22,KS Williamson,12,13,caught,1.0,1,1,Australia,New Zealand,Hagley Oval,0,-1.0,2.6499999999999995,184,4,0,True,92.31,True,24,42.0,35.0,0.0,102.0,43.0,8.0,0.0
8345,England_Pakistan_2010-09-05,2010-09-05,PD Collingwood,4,4,bowled,1.0,2,2,Pakistan,England,Sophia Gardens,1,71.0,1.214563106796116,129,37,43,False,100.0,True,48,25.0,24.0,0.0,37.0,24.0,42.0,0.0
69,West Indies_Australia_2021-07-16,2021-07-16,AJ Finch,34,23,caught,0.0,2,0,West Indies,Australia,Daren Sammy National Cricket Stadium,0,104.0,-0.7999999999999989,183,1,0,True,147.83,True,56,48.0,18.0,0.0,103.0,71.0,18.0,23.25
9175,West Indies_Australia_2012-03-30,2012-03-30,SR Watson,0,2,caught,0.0,2,0,West Indies,Australia,Kensington Oval,0,159.0,-0.7000000000000002,146,1,0,True,0.0,True,6,0.0,30.0,0.0,159.0,0.0,48.0,69.0
8828,Pakistan_Sri Lanka_2009-06-21,2009-06-21,ST Jayasuriya,17,10,bowled,0.0,1,0,Pakistan,Sri Lanka,Lord's,1,-1.0,-0.5464285714285708,138,1,0,True,170.0,True,23,46.0,12.0,,74.0,24.0,72.0,26.6
7526,India_Australia_2023-11-26,2023-11-26,RD Gaikwad,58,42,caught,1.0,1,0,Australia,India,Greenfield International Stadium,0,-1.0,2.2,235,1,0,True,138.1,True,116,22.0,24.0,0.0,118.0,73.0,16.0,0.0
8167,India_Australia_2007-10-20,2007-10-20,AC Gilchrist,12,5,bowled,0.0,1,0,India,Australia,Brabourne Stadium,1,-1.0,-0.8926605504587144,166,1,0,True,240.0,True,5,62.0,37.0,0.0,117.0,0.0,24.0,26.5
3203,Australia_West Indies_2021-07-14,2021-07-14,AD Russell,24,13,0,0.0,2,5,Australia,West Indies,Daren Sammy National Cricket Stadium,0,4.0,-0.1999999999999993,185,93,132,False,184.62,False,120,28.0,12.0,0.0,6.0,0.0,0.0,18.0
4447,England_Pakistan_2010-05-06,2010-05-06,Mohammad Hafeez,18,14,caught,0.0,1,1,England,Pakistan,Kensington Oval,0,-1.0,-0.3935897435897439,147,30,33,True,128.57,True,63,28.0,24.0,0.0,60.0,24.0,52.0,12.0
6359,India_Sri Lanka_2020-01-10,2020-01-10,PWH de Silva,0,2,run out,0.0,2,6,India,Sri Lanka,Maharashtra Cricket Association Stadium,1,91.0,-3.9,123,82,110,False,0.0,True,83,0.0,0.0,6.0,36.0,6.0,6.0,16.0
6123,New Zealand_India_2019-02-06,2019-02-06,KK Ahmed,1,1,bowled,0.0,2,9,New Zealand,India,Sky Stadium,1,80.0,-3.999999999999999,139,114,138,False,100.0,True,116,6.0,,,2.0,,,0.0
534,West Indies_New Zealand_2020-11-27,2020-11-27,GD Phillips,22,7,bowled,1.0,2,2,West Indies,New Zealand,Eden Park,1,118.0,0.4239130434782598,179,24,34,True,314.29,True,33,12.0,19.0,0.0,123.0,0.0,0.0,0.0
9790,India_South Africa_2009-06-16,2009-06-16,YK Pathan,0,2,caught,0.0,2,4,South Africa,India,Trent Bridge,0,61.0,-0.5999999999999996,118,78,68,False,0.0,True,81,12.0,28.0,,19.0,0.0,24.0,32.0
174,Sri Lanka_India_2017-12-24,2017-12-24,N Dickwella,1,6,caught,0.0,1,0,India,Sri Lanka,Wankhede Stadium,0,-1.0,-0.4396551724137936,135,1,0,True,16.67,True,11,25.0,0.0,24.0,147.0,0.0,48.0,19.0
1510,India_South Africa_2015-10-05,2015-10-05,DA Miller,10,8,0,1.0,2,4,India,South Africa,Barabati Stadium,1,-4.0,0.9922330097087376,96,88,77,False,125.0,False,103,0.0,9.0,0.0,18.0,3.0,7.0,0.0
7414,England_Australia_2022-10-09,2022-10-09,HC Brook,12,10,caught,1.0,1,2,Australia,England,Perth Stadium,0,-1.0,0.4000000000000003,208,89,166,False,120.0,True,104,26.0,0.0,,34.0,0.0,6.0,39.66666666666666
9268,England_Australia_2005-06-13,2005-06-13,J Lewis,0,0,caught,1.0,1,7,Australia,England,The Rose Bowl,1,-1.0,4.999999999999999,179,119,179,False,0.0,True,120,,,,0.0,0.0,,0.0
7507,Sri Lanka_Australia_2022-06-08,2022-06-08,C Karunaratne,0,2,caught,0.0,1,7,Australia,Sri Lanka,R. Premadasa Stadium,0,-1.0,-0.8654205607476637,124,115,121,False,0.0,True,118,0.0,0.0,0.0,4.0,0.0,0.0,1.0
134,Australia_West Indies_2021-07-12,2021-07-12,MC Henriques,33,29,caught,0.0,1,3,West Indies,Australia,Daren Sammy National Cricket Stadium,1,-1.0,-2.523033707865168,141,68,79,False,113.79,True,117,21.0,6.0,0.0,37.0,17.0,0.0,17.5
13,South Africa_Australia_2014-03-14,2014-03-14,AJ Finch,39,27,caught,1.0,2,0,South Africa,Australia,SuperSport Park,1,61.0,2.2,129,1,0,True,144.44,True,49,68.0,0.0,24.0,62.0,24.0,37.0,5.0
5305,India_New Zealand_2017-11-01,2017-11-01,HM Nicholls,6,7,run out,0.0,2,5,India,New Zealand,Arun Jaitley Stadium,1,108.0,-2.6499999999999995,149,79,85,False,85.71,True,88,19.0,6.0,0.0,42.0,17.0,,0.0
2990,Australia_India_2007-09-22,2007-09-22,RG Sharma,8,5,0,1.0,1,4,Australia,India,Kingsmead,1,-1.0,0.75,188,106,156,False,160.0,False,120,19.0,2.0,0.0,6.0,0.0,2.0,50.0
5235,Australia_West Indies_2024-02-09,2024-02-09,A Zampa,4,1,0,1.0,1,7,West Indies,Australia,Bellerive Oval,0,-1.0,0.5500000000000007,213,120,213,False,400.0,False,120,0.0,0.0,0.0,2.0,0.0,0.0,0.0
6499,New Zealand_Pakistan_2024-01-17,2024-01-17,Iftikhar Ahmed,1,4,run out,0.0,2,4,New Zealand,Pakistan,University Oval,1,103.0,-2.25,179,79,116,False,25.0,True,85,6.0,18.0,0.0,54.0,6.0,0.0,14.0
10135,Australia_Pakistan_2010-02-05,2010-02-05,TR Birt,1,2,bowled,1.0,1,4,Pakistan,Australia,Melbourne Cricket Ground,1,-1.0,0.0999999999999996,127,66,78,False,50.0,True,67,18.0,0.0,0.0,35.0,19.0,31.0,0.0
5420,New Zealand_Sri Lanka_2019-01-11,2019-01-11,S Samarawickrama,0,1,bowled,0.0,2,0,New Zealand,Sri Lanka,Eden Park,1,168.0,-1.7499999999999991,144,1,4,True,0.0,True,5,0.0,19.0,29.0,155.0,25.0,0.0,0.0
9876,England_West Indies_2011-09-25,2011-09-25,GP Swann,0,2,run out,0.0,2,8,West Indies,England,The Oval,1,25.0,-1.25,88,90,84,False,0.0,True,100,0.0,0.0,,28.0,4.0,0.0,0.0
6805,New Zealand_West Indies_2022-08-14,2022-08-14,JDS Neesham,6,6,caught,0.0,1,5,West Indies,New Zealand,Sabina Park,1,-1.0,-0.6447368421052628,145,103,122,False,100.0,True,115,8.0,0.0,,22.0,0.0,0.0,21.0
5391,Australia_Sri Lanka_2019-10-27,2019-10-27,MD Gunathilaka,11,13,caught,0.0,2,0,Australia,Sri Lanka,Adelaide Oval,1,220.0,-6.7,99,1,0,True,84.62,True,21,24.0,24.0,25.0,132.0,42.0,0.0,26.666666666666668
977,South Africa_West Indies_2021-06-26,2021-06-26,Q de Kock,37,24,caught,0.0,1,0,West Indies,South Africa,National Cricket Stadium,0,-1.0,-2.7333333333333325,160,1,0,True,154.17,True,40,25.0,34.0,27.0,109.0,0.0,16.0,0.0
9700,South Africa_Australia_2014-03-14,2014-03-14,BJ Hodge,11,5,0,1.0,2,4,South Africa,Australia,SuperSport Park,1,-1.0,2.2,129,80,108,False,220.0,False,90,13.0,0.0,4.0,24.0,4.0,6.0,21.0
4045,India_New Zealand_2021-11-21,2021-11-21,MJ Guptill,51,36,caught,0.0,2,0,India,New Zealand,Eden Gardens,0,115.0,-3.65,111,1,0,True,141.67,True,63,26.0,44.0,0.0,113.0,48.0,0.0,28.285714285714285
6386,New Zealand_Sri Lanka_2022-10-29,2022-10-29,PWH de Silva,4,6,caught,0.0,2,6,New Zealand,Sri Lanka,Sydney Cricket Ground,0,103.0,-3.25,102,61,59,False,66.67,True,70,7.0,11.0,0.0,62.0,27.0,18.0,1.0
9720,South Africa_New Zealand_2007-09-19,2007-09-19,NL McCullum,1,4,run out,0.0,1,5,South Africa,New Zealand,Kingsmead,0,-1.0,-0.5934782608695652,153,98,131,False,25.0,True,101,0.0,6.0,,38.0,0.0,0.0,0.0
8037,New Zealand_India_2023-01-29,2023-01-29,RA Tripathi,13,18,caught,1.0,2,1,New Zealand,India,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,0,49.0,0.1424369747899163,101,24,17,True,72.22,True,64,12.0,25.0,24.0,32.0,34.0,75.0,13.333333333333334
5591,Sri Lanka_Australia_2011-08-06,2011-08-06,LD Chandimal,11,11,hit wicket,1.0,1,1,Australia,Sri Lanka,Pallekele International Cricket Stadium,0,-1.0,1.75,198,13,13,True,100.0,True,33,25.0,31.0,0.0,115.0,12.0,43.0,0.0
4383,Pakistan_South Africa_2012-09-28,2012-09-28,Kamran Akmal,1,6,bowled,1.0,2,2,South Africa,Pakistan,R. Premadasa Stadium,0,96.0,0.2652542372881346,136,21,30,True,16.67,True,38,0.0,28.0,0.0,77.0,25.0,72.0,19.25
2396,West Indies_Pakistan_2017-04-02,2017-04-02,SP Narine,9,9,bowled,0.0,1,7,Pakistan,West Indies,Queen's Park Oval,0,-1.0,-0.4842105263157892,124,93,84,False,100.0,True,114,18.0,0.0,,21.0,3.0,6.0,5.0
1241,England_Sri Lanka_2016-07-05,2016-07-05,JJ Roy,0,3,bowled,1.0,2,0,Sri Lanka,England,The Rose Bowl,0,140.0,1.2285714285714278,144,1,0,True,0.0,True,3,31.0,24.0,0.0,106.0,49.0,21.0,0.0
4462,Sri Lanka_Pakistan_2012-06-03,2012-06-03,Mohammad Hafeez,24,34,caught,1.0,1,0,Sri Lanka,Pakistan,Mahinda Rajapaksa International Cricket Stadium,1,-1.0,1.1499999999999997,122,1,1,True,70.59,True,61,49.0,0.0,0.0,103.0,49.0,42.0,0.0
8761,India_Pakistan_2016-02-27,2016-02-27,Shahid Afridi,2,2,run out,0.0,1,5,India,Pakistan,Shere Bangla National Stadium,0,-1.0,-1.3338709677419347,83,44,36,False,100.0,True,48,35.0,31.0,,33.0,0.0,19.0,0.0
5123,West Indies_Pakistan_2013-07-28,2013-07-28,Umar Amin,7,6,caught and bowled,1.0,1,1,West Indies,Pakistan,Arnos Vale Ground,1,-1.0,0.5499999999999998,135,25,24,True,116.67,True,37,13.0,24.0,,65.0,30.0,59.0,47.0
4795,India_South Africa_2019-09-22,2019-09-22,S Dhawan,36,25,caught,0.0,1,0,South Africa,India,M. Chinnaswamy Stadium,1,-1.0,-1.616831683168317,134,1,4,True,144.0,True,44,25.0,55.0,24.0,103.0,0.0,24.0,40.0
3237,England_West Indies_2012-06-24,2012-06-24,DJ Bravo,54,36,0,0.0,1,3,England,West Indies,Trent Bridge,1,-1.0,-0.1966101694915245,172,39,30,False,150.0,False,120,0.0,24.0,0.0,93.0,0.0,50.0,0.0
8300,England_West Indies_2009-06-15,2009-06-15,KP Pietersen,31,19,caught,0.0,1,1,West Indies,England,The Oval,1,-1.0,-1.7899999999999991,161,10,9,True,163.16,True,47,4.0,24.0,0.0,84.0,6.0,37.0,41.0
9993,New Zealand_India_2009-02-27,2009-02-27,NT Broom,5,3,caught,1.0,2,4,India,New Zealand,Sky Stadium,1,15.0,0.0499999999999998,150,106,126,False,166.67,True,112,9.0,6.0,,15.0,0.0,0.0,36.0
8483,New Zealand_Pakistan_2012-09-23,2012-09-23,KD Mills,0,1,0,0.0,2,8,Pakistan,New Zealand,Pallekele International Cricket Stadium,0,13.0,-0.6500000000000004,164,118,164,False,0.0,False,120,0.0,0.0,,1.0,0.0,1.0,0.0
1200,New Zealand_South Africa_2017-02-17,2017-02-17,CH Morris,9,7,0,1.0,1,5,New Zealand,South Africa,Eden Park,0,-1.0,3.9,185,110,172,False,128.57,False,120,4.0,0.0,0.0,6.0,0.0,0.0,0.0
7474,Sri Lanka_Afghanistan_2022-08-27,2022-08-27,KIC Asalanka,0,1,lbw,0.0,1,2,Afghanistan,Sri Lanka,Dubai International Cricket Stadium,0,-1.0,-5.176229508196721,105,6,3,True,0.0,True,6,18.0,0.0,0.0,39.0,43.0,75.0,0.0
8808,Australia_England_2014-01-29,2014-01-29,TT Bresnan,11,14,bowled,0.0,2,6,Australia,England,Bellerive Oval,0,66.0,-0.6500000000000004,200,71,101,False,78.57,True,99,0.0,8.0,,77.0,19.0,0.0,0.0
1255,England_India_2018-07-03,2018-07-03,JJ Roy,30,20,bowled,0.0,1,0,India,England,Old Trafford,0,-1.0,-0.9409090909090904,159,1,0,True,150.0,True,30,26.0,0.0,24.0,126.0,49.0,14.0,44.0
9117,West Indies_England_2014-03-11,2014-03-11,DR Smith,30,16,caught,1.0,2,0,England,West Indies,Kensington Oval,0,104.0,0.6300884955752224,155,1,0,True,187.5,True,27,24.0,12.0,0.0,140.0,24.0,36.0,27.0
6665,Australia_India_2020-12-08,2020-12-08,Washington Sundar,7,6,caught,0.0,2,5,Australia,India,Sydney Cricket Ground,1,22.0,-0.6000000000000014,174,104,148,False,116.67,True,116,9.0,0.0,0.0,18.0,3.0,0.0,7.0
2802,New Zealand_India_2020-01-24,2020-01-24,MK Pandey,14,12,0,1.0,2,4,New Zealand,India,Eden Park,1,-1.0,0.5868421052631572,204,81,142,False,116.67,False,114,0.0,6.0,0.0,52.0,16.0,0.0,31.0
2021,West Indies_England_2022-01-30,2022-01-30,AU Rashid,0,1,caught,0.0,2,8,West Indies,England,Kensington Oval,0,17.0,-0.8499999999999996,162,117,162,False,0.0,True,118,0.0,0.0,0.0,5.0,0.0,0.0,8.333333333333334
8274,England_Pakistan_2006-08-28,2006-08-28,ME Trescothick,53,36,caught,0.0,1,0,Pakistan,England,County Ground,1,-1.0,-1.0990654205607475,144,1,1,True,147.22,True,86,0.0,19.0,,179.0,26.0,14.0,0.0
67,Australia_West Indies_2021-07-12,2021-07-12,AJ Finch,30,31,caught,0.0,1,0,West Indies,Australia,Daren Sammy National Cricket Stadium,1,-1.0,-2.523033707865168,141,1,4,True,96.77,True,71,49.0,24.0,0.0,90.0,43.0,6.0,5.0
8781,Australia_Pakistan_2010-05-14,2010-05-14,Abdul Razzaq,12,7,run out,0.0,1,4,Australia,Pakistan,Daren Sammy National Cricket Stadium,0,-1.0,-0.382773109243697,191,103,151,False,171.43,True,118,8.0,0.0,0.0,7.0,0.0,15.0,12.75
4736,England_Pakistan_2019-05-05,2019-05-05,Hasan Ali,0,0,0,0.0,1,6,England,Pakistan,Sophia Gardens,1,-1.0,-0.4017241379310352,173,119,169,False,0.0,False,120,0.0,0.0,,0.0,0.0,0.0,0.0
1018,New Zealand_South Africa_2014-03-24,2014-03-24,F du Plessis,13,8,caught,1.0,1,1,New Zealand,South Africa,Zahur Ahmed Chowdhury Stadium,0,-1.0,0.0999999999999996,170,19,18,True,162.5,True,30,52.0,0.0,0.0,85.0,26.0,42.0,16.0
4533,India_West Indies_2019-12-11,2019-12-11,JO Holder,8,5,caught,0.0,2,4,India,West Indies,Wankhede Stadium,1,137.0,-3.35,173,58,91,False,160.0,True,67,13.0,0.0,13.0,82.0,12.0,7.0,14.333333333333334
3240,England_West Indies_2012-09-27,2012-09-27,DJ Bravo,11,8,0,1.0,1,3,England,West Indies,Pallekele International Cricket Stadium,1,-1.0,0.75,179,92,132,False,137.5,False,120,0.0,6.0,0.0,30.0,0.0,13.0,27.0
3141,West Indies_England_2014-03-13,2014-03-13,J Charles,4,3,caught and bowled,0.0,2,1,England,West Indies,Kensington Oval,0,161.0,-0.25,160,1,0,True,133.33,True,9,44.0,24.0,0.0,105.0,0.0,61.0,0.0
8086,Afghanistan_India_2024-01-11,2024-01-11,Tilak Varma,26,22,caught,1.0,2,1,Afghanistan,India,Punjab Cricket Association IS Bindra Stadium,1,86.0,1.185714285714285,159,3,1,True,118.18,True,52,42.0,24.0,0.0,89.0,18.0,56.0,14.5
1966,England_Pakistan_2021-07-18,2021-07-18,TK Curran,9,7,caught,1.0,1,5,Pakistan,England,Headingley,0,-1.0,2.25,200,90,154,False,128.57,True,104,11.0,0.0,,40.0,3.0,0.0,1.0
6176,India_Sri Lanka_2016-02-12,2016-02-12,CAK Rajitha,3,7,0,0.0,2,9,India,Sri Lanka,JSCA International Stadium Complex,1,69.0,-3.450000000000001,127,109,120,False,42.86,False,120,0.0,0.0,0.0,23.0,0.0,0.0,0.0
1896,South Africa_England_2021-11-06,2021-11-06,DJ Malan,33,26,caught,0.0,2,3,South Africa,England,Sharjah Cricket Stadium,1,44.0,-0.5,179,39,60,False,126.92,True,98,0.0,0.0,22.0,104.0,24.0,18.0,7.0
3560,India_Pakistan_2007-09-24,2007-09-24,Shoaib Malik,8,17,caught,0.0,2,3,India,Pakistan,New Wanderers Stadium,0,81.0,-0.25,152,35,53,False,47.06,True,69,39.0,0.0,0.0,70.0,24.0,43.0,38.75
2865,India_New Zealand_2023-02-01,2023-02-01,HH Pandya,30,17,caught,1.0,1,3,New Zealand,India,Narendra Modi Stadium,1,-1.0,8.399999999999999,234,76,129,False,176.47,True,115,12.0,6.0,0.0,30.0,0.0,0.0,16.2
8545,Australia_South Africa_2006-01-09,2006-01-09,JH Kallis,15,13,run out,0.0,2,4,Australia,South Africa,Brisbane Cricket Ground,0,117.0,-4.749999999999999,114,63,57,False,115.38,True,84,0.0,0.0,0.0,83.0,0.0,24.0,0.0
6330,England_Sri Lanka_2021-11-01,2021-11-01,PBB Rajapaksa,26,18,caught,0.0,2,3,England,Sri Lanka,Sharjah Cricket Stadium,1,87.0,-1.3000000000000007,137,32,35,False,144.44,True,65,10.0,0.0,0.0,84.0,32.0,48.0,16.5
6828,England_West Indies_2022-01-22,2022-01-22,T Banton,4,5,caught,0.0,1,0,West Indies,England,Kensington Oval,0,-1.0,-0.9082524271844656,103,1,0,True,80.0,True,11,37.0,61.0,,84.0,24.0,6.0,0.0
9887,New Zealand_India_2009-02-25,2009-02-25,JD Ryder,1,4,lbw,1.0,2,0,India,New Zealand,AMI Stadium,1,160.0,0.714159292035399,166,1,0,True,25.0,True,7,43.0,33.0,,112.0,0.0,54.0,0.0
8244,Australia_England_2007-01-09,2007-01-09,RT Ponting,47,26,caught,1.0,1,1,England,Australia,Sydney Cricket Ground,1,-1.0,3.850000000000001,221,21,28,True,180.77,True,79,6.0,24.0,18.0,134.0,12.0,6.0,0.0
4633,Pakistan_Sri Lanka_2019-10-05,2019-10-05,Imad Wasim,7,5,caught,0.0,2,5,Sri Lanka,Pakistan,Gaddafi Stadium,1,80.0,-3.2,101,81,77,False,140.0,True,88,22.0,0.0,0.0,34.0,10.0,0.0,0.0
9638,India_Pakistan_2007-09-14,2007-09-14,Yasir Arafat,12,5,run out,-1.0,2,6,India,Pakistan,Kingsmead,1,0.0,0.0,141,107,109,False,240.0,True,120,0.0,0.0,0.0,24.0,0.0,0.0,0.0
9203,India_Australia_2016-03-27,2016-03-27,SR Watson,18,16,0,0.0,1,4,India,Australia,Punjab Cricket Association IS Bindra Stadium,1,-1.0,-0.4000000000000003,160,78,101,False,112.5,False,120,14.0,8.0,0.0,49.0,0.0,0.0,27.0
9428,New Zealand_West Indies_2012-10-01,2012-10-01,DJG Sammy,11,12,caught,-1.0,1,6,New Zealand,West Indies,Pallekele International Cricket Stadium,0,-1.0,0.0,139,81,102,False,91.67,True,102,0.0,4.0,,50.0,0.0,25.0,5.666666666666667
5732,West Indies_New Zealand_2014-07-05,2014-07-05,D Ramdin,1,1,run out,0.0,1,6,New Zealand,West Indies,Windsor Park,0,-1.0,-0.4666666666666668,132,102,129,False,100.0,True,108,0.0,0.0,0.0,1.0,0.0,0.0,0.0
8590,South Africa_India_2007-09-20,2007-09-20,JM Kemp,5,12,run out,0.0,2,2,India,South Africa,Kingsmead,0,123.0,-1.8500000000000003,116,11,12,True,41.67,True,34,48.0,0.0,,161.0,0.0,24.0,52.0
8933,New Zealand_Sri Lanka_2014-03-31,2014-03-31,TM Dilshan,8,10,caught,1.0,1,0,New Zealand,Sri Lanka,Zahur Ahmed Chowdhury Stadium,0,-1.0,2.079032258064516,119,1,1,True,80.0,True,21,70.0,21.0,,92.0,0.0,30.0,27.5
2916,South Africa_England_2022-07-28,2022-07-28,MM Ali,28,17,caught,0.0,2,2,South Africa,England,Sophia Gardens,1,119.0,-2.8999999999999995,149,35,52,False,164.71,True,62,25.0,21.0,25.0,67.0,18.0,6.0,30.75
6937,Afghanistan_Pakistan_2022-09-07,2022-09-07,Najibullah Zadran,10,11,caught,0.0,1,3,Pakistan,Afghanistan,Sharjah Cricket Stadium,0,-1.0,-0.3258620689655176,129,69,79,False,90.91,True,84,27.0,3.0,0.0,36.0,24.0,9.0,9.5
6020,Sri Lanka_West Indies_2020-03-04,2020-03-04,WIA Fernando,7,5,caught,0.0,2,0,West Indies,Sri Lanka,Pallekele International Cricket Stadium,0,180.0,-1.25,171,1,4,True,140.0,True,9,33.0,0.0,26.0,165.0,25.0,0.0,0.0
2818,India_New Zealand_2017-11-07,2017-11-07,HH Pandya,14,10,0,1.0,1,4,New Zealand,India,Greenfield International Stadium,0,-1.0,0.75,67,35,49,False,140.0,False,48,6.0,6.0,0.0,14.0,2.0,0.0,8.666666666666666
2569,West Indies_India_2018-11-04,2018-11-04,KL Rahul,16,22,caught,1.0,2,1,West Indies,India,Eden Gardens,1,64.0,0.7182242990654206,110,7,7,True,72.73,True,45,20.0,56.0,24.0,112.0,0.0,0.0,0.0
8310,Australia_England_2011-01-14,2011-01-14,KP Pietersen,1,2,caught,0.0,2,1,Australia,England,Melbourne Cricket Ground,0,85.0,-0.1999999999999993,143,45,61,False,50.0,True,47,16.0,30.0,0.0,65.0,0.0,42.0,25.0
10575,South Africa_New Zealand_2015-08-16,2015-08-16,AM Phangiso,2,5,caught,0.0,2,6,New Zealand,South Africa,SuperSport Park,0,54.0,-1.5999999999999996,145,95,116,False,40.0,True,102,12.0,0.0,0.0,39.0,1.0,,0.0
3570,New Zealand_Pakistan_2009-11-12,2009-11-12,Shoaib Malik,6,7,caught and bowled,1.0,1,3,New Zealand,Pakistan,Dubai International Cricket Stadium,0,-1.0,1.9959459459459463,161,69,93,False,85.71,True,89,0.0,0.0,0.0,38.0,39.0,20.0,0.0
5295,South Africa_New Zealand_2015-08-14,2015-08-14,TWM Latham,12,10,caught,0.0,1,5,South Africa,New Zealand,Kingsmead,0,-1.0,-0.9733644859813096,151,94,126,False,120.0,True,115,6.0,3.0,,29.0,0.0,3.0,0.0
4063,New Zealand_India_2009-02-25,2009-02-25,LRPL Taylor,31,20,bowled,1.0,2,2,India,New Zealand,AMI Stadium,1,56.0,0.714159292035399,166,41,56,False,155.0,True,80,18.0,29.0,0.0,61.0,0.0,50.0,0.0
10576,South Africa_West Indies_2016-03-25,2016-03-25,AM Phangiso,4,5,run out,0.0,1,7,West Indies,South Africa,Vidarbha Cricket Association Stadium,0,-1.0,-0.1542372881355929,122,105,112,False,80.0,True,120,0.0,0.0,0.0,25.0,0.0,,0.0
757,New Zealand_England_2019-11-03,2019-11-03,C de Grandhomme,28,12,bowled,1.0,1,2,England,New Zealand,Sky Stadium,0,-1.0,1.0500000000000007,176,40,58,False,233.33,True,61,12.0,18.0,0.0,86.0,46.0,0.0,19.0
2114,South Africa_West Indies_2015-01-11,2015-01-11,CH Gayle,90,41,caught,1.0,2,0,South Africa,West Indies,New Wanderers Stadium,1,60.0,0.6568965517241381,236,1,4,True,219.51,True,82,19.0,30.0,0.0,160.0,25.0,6.0,77.0
3286,Sri Lanka_West Indies_2009-06-19,2009-06-19,LMP Simmons,0,2,bowled,0.0,2,1,Sri Lanka,West Indies,The Oval,1,157.0,-2.8500000000000005,101,3,1,True,0.0,True,4,19.0,24.0,0.0,118.0,0.0,71.0,37.5
