,match_id,date,batter,batter_runs,balls_faced,wicket_type,won,innings,wickets_fallen,bowling_team,batting_team,venue,toss_winner,runs_remain,net_run_rate,final_team_total,first_ball,current_team_total,is_powerplay,strike_rate,out,last_ball,Left arm Fast,Left arm Orthodox,Left arm Wrist spin,Right arm Fast,Right arm Legbreak,Right arm Offbreak,recent_form
7788,Pakistan_New Zealand_2022-10-11,2022-10-11,Mohammad Nawaz,0,1,caught,0.0,1,7,New Zealand,Pakistan,Hagley Oval,1,-1.0,-1.6030927835051545,130,116,128,False,0.0,True,116,0.0,0.0,0.0,5.0,0.0,0.0,8.375
2595,India_New Zealand_2021-10-31,2021-10-31,KL Rahul,18,16,caught,0.0,1,0,New Zealand,India,Dubai International Cricket Stadium,0,-1.0,-2.155172413793103,110,1,0,True,112.5,True,35,24.0,36.0,0.0,105.0,49.0,0.0,3.0
8328,England_India_2007-09-19,2007-09-19,PD Collingwood,28,20,bowled,0.0,2,2,India,England,Kingsmead,0,48.0,-0.9000000000000004,200,64,97,False,140.0,True,107,28.0,0.0,0.0,78.0,0.0,14.0,7.0
5635,India_Sri Lanka_2022-02-24,2022-02-24,LD Chandimal,10,9,stumped,0.0,2,3,India,Sri Lanka,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,1,148.0,-3.1,137,43,37,False,111.11,True,56,0.0,29.0,0.0,80.0,31.0,19.0,17.75
5203,West Indies_Australia_2021-07-10,2021-07-10,DT Christian,9,10,bowled,0.0,2,5,West Indies,Australia,Daren Sammy National Cricket Stadium,1,72.0,-2.8000000000000007,140,91,112,False,90.0,True,103,19.0,0.0,0.0,35.0,6.0,2.0,10.0
9491,England_New Zealand_2012-09-29,2012-09-29,LJ Wright,76,43,caught,1.0,2,1,New Zealand,England,Pallekele International Cricket Stadium,0,6.0,0.511504424778761,149,24,22,True,176.74,True,110,6.0,31.0,,109.0,0.0,49.0,4.0
2780,New Zealand_India_2019-02-10,2019-02-10,MS Dhoni,2,4,caught,0.0,2,4,New Zealand,India,Seddon Park,1,67.0,-0.1999999999999993,208,85,142,False,50.0,True,92,11.0,8.0,0.0,56.0,0.0,0.0,29.5
9388,England_West Indies_2009-06-15,2009-06-15,SCJ Broad,10,2,0,0.0,1,6,West Indies,England,The Oval,1,-1.0,-1.7899999999999991,161,118,151,False,500.0,False,120,0.0,2.0,,0.0,0.0,0.0,6.0
973,South Africa_Australia_2020-02-26,2020-02-26,Q de Kock,5,3,bowled,0.0,2,0,Australia,South Africa,Newlands Cricket Ground,1,187.0,-4.8500000000000005,96,1,1,True,166.67,True,4,17.0,24.0,24.0,143.0,18.0,0.0,40.6
7026,Afghanistan_Pakistan_2021-10-29,2021-10-29,Karim Janat,15,16,caught,0.0,1,3,Pakistan,Afghanistan,Dubai International Cricket Stadium,1,-1.0,-0.4394736842105269,147,28,33,True,93.75,True,55,14.0,12.0,0.0,91.0,49.0,22.0,0.0
