venue,total_mean,total_std,first_bat_won_ratio,number_of_matches,host
Old Trafford,164.28571428571428,29.46022338518094,0.42857142857142855,7,England
Pallekele International Cricket Stadium,168.71428571428572,35.31708797872078,0.6666666666666666,14,Sri Lanka
Perth Stadium,143.2,41.38477981094016,0.2,5,Australia
Providence Stadium,149.25,11.086778913041726,0.25,4,West Indies
Punjab Cricket Association IS Bindra Stadium,174.66666666666666,22.92305971432842,0.3333333333333333,6,India
Queen's Park Oval,137.25,15.966109941581472,0.5,4,West Indies
R. Premadasa Stadium,147.74193548387098,28.92630606896945,0.41935483870967744,31,Sri Lanka
Rajiv Gandhi International Cricket Stadium,196.5,14.849242404917497,0.0,2,India
Rangiri Dambulla International Stadium,173.5,19.091883092036785,1.0,2,Sri Lanka
Riverside Ground,157.0,34.88074922742725,0.5,4,England
Sabina Park,183.75,28.97556441785618,0.5,4,West Indies
Saurashtra Cricket Association Stadium,208.33333333333334,17.214335111567145,0.6666666666666666,3,India
Sawai Mansingh Stadium,164.0,,0.0,1,India
Saxton Oval,183.5,4.949747468305833,1.0,2,New Zealand
Seddon Park,184.71428571428572,17.37540681264073,0.5714285714285714,7,New Zealand
Shaheed Veer Narayan Singh International Stadium,174.0,,1.0,1,India
Sharjah Cricket Stadium,150.0,20.5621010599598,0.4,6,UAE
Sheikh Zayed Stadium,131.42857142857142,17.89652799527646,0.42857142857142855,7,Pakistan
Shere Bangla National Stadium,145.0,27.025913490574187,0.2727272727272727,11,Bangladesh
Sir Vivian Richards Stadium,128.0,11.313708498984761,1.0,2,West Indies
Sky Stadium,163.73333333333332,33.85149641483829,0.35714285714285715,15,New Zealand
Sophia Gardens,146.66666666666666,37.908662158755575,0.3333333333333333,6,England
St George's Park,143.75,58.05959581900882,0.5,4,South Africa
Stadium Australia,170.33333333333334,25.00666577801474,0.6666666666666666,3,Australia
SuperSport Park,177.83333333333334,44.81037488093239,0.5,12,South Africa
Sydney Cricket Ground,168.33333333333334,28.240464045829867,0.5,15,Australia
The Oval,165.4,28.472989149562636,0.6,10,England
The Rose Bowl,168.33333333333334,19.96246477767713,0.6666666666666666,9,England
Trent Bridge,181.5,29.350103431309595,0.625,8,England
University Oval,182.5,58.68986283848344,0.5,2,New Zealand
Vidarbha Cricket Association Stadium,138.25,53.64311077233808,0.5,4,India
WACA Ground,133.0,,0.0,1,Australia
Wankhede Stadium,179.5,31.322515863193367,0.16666666666666666,6,India
Warner Park Sporting Complex,130.33333333333334,55.895736271502265,0.3333333333333333,3,West Indies
Windsor Park,165.0,,1.0,1,West Indies
Zahur Ahmed Chowdhury Stadium,168.5,27.03146314944864,0.6666666666666666,6,Bangladesh
Zayed Cricket Stadium,159.0,26.944387170614963,0.25,4,UAE
Zhejiang University of Technology Cricket Field,115.5,0.7071067811865476,0.5,2,China
