,batter,bowler,non_striker,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,over,review,wicket_type,player_out,fielder,extra_type,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,won,final_team_total
50,RA Tripathi,IS Sodhi,Shubman Gill,0,0,0,87,,44,23,2,2,8,,caught,RA Tripathi,LH Ferguson,-,bat,India,1,"Narendra Modi Stadium, Ahmedabad",2023,02,India_New Zealand_2023-02-01,India,India,New Zealand,True,234
51,SA Yadav,IS Sodhi,Shubman Gill,1,0,1,88,,1,1,2,3,8,,0,,,-,bat,India,1,"Narendra Modi Stadium, Ahmedabad",2023,02,India_New Zealand_2023-02-01,India,India,New Zealand,True,234
52,Shubman Gill,IS Sodhi,SA Yadav,1,0,1,89,,40,26,2,4,8,,0,,,-,bat,India,1,"Narendra Modi Stadium, Ahmedabad",2023,02,India_New Zealand_2023-02-01,India,India,New Zealand,True,234
53,SA Yadav,IS Sodhi,Shubman Gill,4,0,4,93,,5,2,2,5,8,,0,,,-,bat,India,1,"Narendra Modi Stadium, Ahmedabad",2023,02,India_New Zealand_2023-02-01,India,India,New Zealand,True,234
54,SA Yadav,IS Sodhi,Shubman Gill,1,0,1,94,,6,3,2,6,8,,0,,,-,bat,India,1,"Narendra Modi Stadium, Ahmedabad",2023,02,India_New Zealand_2023-02-01,India,India,New Zealand,True,234
55,SA Yadav,MJ Santner,Shubman Gill,1,0,1,95,,7,4,2,1,9,,0,,,-,bat,India,1,"Narendra Modi Stadium, Ahmedabad",2023,02,India_New Zealand_2023-02-01,India,India,New Zealand,True,234
56,Shubman Gill,MJ Santner,SA Yadav,1,0,1,96,,41,27,2,2,9,,0,,,-,bat,India,1,"Narendra Modi Stadium, Ahmedabad",2023,02,India_New Zealand_2023-02-01,India,India,New Zealand,True,234
57,SA Yadav,MJ Santner,Shubman Gill,0,1,1,97,,7,5,2,3,9,,0,,,byes,bat,India,1,"Narendra Modi Stadium, Ahmedabad",2023,02,India_New Zealand_2023-02-01,India,India,New Zealand,True,234
58,Shubman Gill,MJ Santner,SA Yadav,4,0,4,101,,45,28,2,4,9,,0,,,-,bat,India,1,"Narendra Modi Stadium, Ahmedabad",2023,02,India_New Zealand_2023-02-01,India,India,New Zealand,True,234
59,Shubman Gill,MJ Santner,SA Yadav,0,0,0,101,,45,29,2,5,9,,0,,,-,bat,India,1,"Narendra Modi Stadium, Ahmedabad",2023,02,India_New Zealand_2023-02-01,India,India,New Zealand,True,234
60,Shubman Gill,MJ Santner,SA Yadav,1,0,1,102,,46,30,2,6,9,,0,,,-,bat,India,1,"Narendra Modi Stadium, Ahmedabad",2023,02,India_New Zealand_2023-02-01,India,India,New Zealand,True,234
61,Shubman Gill,IS Sodhi,SA Yadav,0,0,0,102,,46,31,2,1,10,,0,,,-,bat,India,1,"Narendra Modi Stadium, Ahmedabad",2023,02,India_New Zealand_2023-02-01,India,India,New Zealand,True,234
62,Shubman Gill,IS Sodhi,SA Yadav,1,0,1,103,,47,32,2,2,10,,0,,,-,bat,India,1,"Narendra Modi Stadium, Ahmedabad",2023,02,India_New Zealand_2023-02-01,India,India,New Zealand,True,234
63,SA Yadav,IS Sodhi,Shubman Gill,0,0,0,103,,7,6,2,3,10,,0,,,-,bat,India,1,"Narendra Modi Stadium, Ahmedabad",2023,02,India_New Zealand_2023-02-01,India,India,New Zealand,True,234
64,SA Yadav,IS Sodhi,Shubman Gill,6,0,6,109,,13,7,2,4,10,,0,,,-,bat,India,1,"Narendra Modi Stadium, Ahmedabad",2023,02,India_New Zealand_2023-02-01,India,India,New Zealand,True,234
65,SA Yadav,IS Sodhi,Shubman Gill,2,0,2,111,,15,8,2,5,10,,0,,,-,bat,India,1,"Narendra Modi Stadium, Ahmedabad",2023,02,India_New Zealand_2023-02-01,India,India,New Zealand,True,234
66,SA Yadav,IS Sodhi,Shubman Gill,1,0,1,112,,16,9,2,6,10,,0,,,-,bat,India,1,"Narendra Modi Stadium, Ahmedabad",2023,02,India_New Zealand_2023-02-01,India,India,New Zealand,True,234
67,SA Yadav,MJ Santner,Shubman Gill,1,0,1,113,,17,10,2,1,11,,0,,,-,bat,India,1,"Narendra Modi Stadium, Ahmedabad",2023,02,India_New Zealand_2023-02-01,India,India,New Zealand,True,234
68,Shubman Gill,MJ Santner,SA Yadav,0,0,0,113,,47,33,2,2,11,,0,,,-,bat,India,1,"Narendra Modi Stadium, Ahmedabad",2023,02,India_New Zealand_2023-02-01,India,India,New Zealand,True,234
69,Shubman Gill,MJ Santner,SA Yadav,2,0,2,115,,49,34,2,3,11,,0,,,-,bat,India,1,"Narendra Modi Stadium, Ahmedabad",2023,02,India_New Zealand_2023-02-01,India,India,New Zealand,True,234
70,Shubman Gill,MJ Santner,SA Yadav,1,0,1,116,,50,35,2,4,11,,0,,,-,bat,India,1,"Narendra Modi Stadium, Ahmedabad",2023,02,India_New Zealand_2023-02-01,India,India,New Zealand,True,234
71,SA Yadav,MJ Santner,Shubman Gill,1,0,1,117,,18,11,2,5,11,,0,,,-,bat,India,1,"Narendra Modi Stadium, Ahmedabad",2023,02,India_New Zealand_2023-02-01,India,India,New Zealand,True,234
72,Shubman Gill,MJ Santner,SA Yadav,1,0,1,118,,51,36,2,6,11,,0,,,-,bat,India,1,"Narendra Modi Stadium, Ahmedabad",2023,02,India_New Zealand_2023-02-01,India,India,New Zealand,True,234
73,Shubman Gill,BM Tickner,SA Yadav,1,0,1,119,,52,37,2,1,12,,0,,,-,bat,India,1,"Narendra Modi Stadium, Ahmedabad",2023,02,India_New Zealand_2023-02-01,India,India,New Zealand,True,234
74,SA Yadav,BM Tickner,Shubman Gill,6,0,6,125,,24,12,2,2,12,,0,,,-,bat,India,1,"Narendra Modi Stadium, Ahmedabad",2023,02,India_New Zealand_2023-02-01,India,India,New Zealand,True,234
75,SA Yadav,BM Tickner,Shubman Gill,0,0,0,125,,24,13,3,3,12,,caught,SA Yadav,MG Bracewell,-,bat,India,1,"Narendra Modi Stadium, Ahmedabad",2023,02,India_New Zealand_2023-02-01,India,India,New Zealand,True,234
76,HH Pandya,BM Tickner,Shubman Gill,4,0,4,129,,4,1,3,4,12,,0,,,-,bat,India,1,"Narendra Modi Stadium, Ahmedabad",2023,02,India_New Zealand_2023-02-01,India,India,New Zealand,True,234
77,HH Pandya,BM Tickner,Shubman Gill,1,0,1,130,,5,2,3,5,12,,0,,,-,bat,India,1,"Narendra Modi Stadium, Ahmedabad",2023,02,India_New Zealand_2023-02-01,India,India,New Zealand,True,234
78,Shubman Gill,BM Tickner,HH Pandya,1,0,1,131,,53,38,3,6,12,,0,,,-,bat,India,1,"Narendra Modi Stadium, Ahmedabad",2023,02,India_New Zealand_2023-02-01,India,India,New Zealand,True,234
79,Shubman Gill,LH Ferguson,HH Pandya,1,0,1,132,,54,39,3,1,13,,0,,,-,bat,India,1,"Narendra Modi Stadium, Ahmedabad",2023,02,India_New Zealand_2023-02-01,India,India,New Zealand,True,234
80,HH Pandya,LH Ferguson,Shubman Gill,1,0,1,133,,6,3,3,2,13,,0,,,-,bat,India,1,"Narendra Modi Stadium, Ahmedabad",2023,02,India_New Zealand_2023-02-01,India,India,New Zealand,True,234
81,Shubman Gill,LH Ferguson,HH Pandya,6,0,6,139,,60,40,3,3,13,,0,,,-,bat,India,1,"Narendra Modi Stadium, Ahmedabad",2023,02,India_New Zealand_2023-02-01,India,India,New Zealand,True,234
82,Shubman Gill,LH Ferguson,HH Pandya,1,0,1,140,,61,41,3,4,13,,0,,,-,bat,India,1,"Narendra Modi Stadium, Ahmedabad",2023,02,India_New Zealand_2023-02-01,India,India,New Zealand,True,234
83,HH Pandya,LH Ferguson,Shubman Gill,0,0,0,140,,6,4,3,5,13,,0,,,-,bat,India,1,"Narendra Modi Stadium, Ahmedabad",2023,02,India_New Zealand_2023-02-01,India,India,New Zealand,True,234
84,HH Pandya,LH Ferguson,Shubman Gill,4,0,4,144,,10,5,3,6,13,,0,,,-,bat,India,1,"Narendra Modi Stadium, Ahmedabad",2023,02,India_New Zealand_2023-02-01,India,India,New Zealand,True,234
85,Shubman Gill,MJ Santner,HH Pandya,1,0,1,145,,62,42,3,1,14,,0,,,-,bat,India,1,"Narendra Modi Stadium, Ahmedabad",2023,02,India_New Zealand_2023-02-01,India,India,New Zealand,True,234
86,HH Pandya,MJ Santner,Shubman Gill,4,0,4,149,,14,6,3,2,14,,0,,,-,bat,India,1,"Narendra Modi Stadium, Ahmedabad",2023,02,India_New Zealand_2023-02-01,India,India,New Zealand,True,234
87,HH Pandya,MJ Santner,Shubman Gill,1,0,1,150,,15,7,3,3,14,,0,,,-,bat,India,1,"Narendra Modi Stadium, Ahmedabad",2023,02,India_New Zealand_2023-02-01,India,India,New Zealand,True,234
88,Shubman Gill,MJ Santner,HH Pandya,1,0,1,151,,63,43,3,4,14,,0,,,-,bat,India,1,"Narendra Modi Stadium, Ahmedabad",2023,02,India_New Zealand_2023-02-01,India,India,New Zealand,True,234
89,HH Pandya,MJ Santner,Shubman Gill,1,0,1,152,,16,8,3,5,14,,0,,,-,bat,India,1,"Narendra Modi Stadium, Ahmedabad",2023,02,India_New Zealand_2023-02-01,India,India,New Zealand,True,234
90,Shubman Gill,MJ Santner,HH Pandya,4,0,4,156,,67,44,3,6,14,,0,,,-,bat,India,1,"Narendra Modi Stadium, Ahmedabad",2023,02,India_New Zealand_2023-02-01,India,India,New Zealand,True,234
91,HH Pandya,BG Lister,Shubman Gill,1,0,1,157,,17,9,3,1,15,,0,,,-,bat,India,1,"Narendra Modi Stadium, Ahmedabad",2023,02,India_New Zealand_2023-02-01,India,India,New Zealand,True,234
92,Shubman Gill,BG Lister,HH Pandya,0,0,0,157,,67,45,3,2,15,,0,,,-,bat,India,1,"Narendra Modi Stadium, Ahmedabad",2023,02,India_New Zealand_2023-02-01,India,India,New Zealand,True,234
93,Shubman Gill,BG Lister,HH Pandya,6,0,6,163,,73,46,3,3,15,,0,,,-,bat,India,1,"Narendra Modi Stadium, Ahmedabad",2023,02,India_New Zealand_2023-02-01,India,India,New Zealand,True,234
94,Shubman Gill,BG Lister,HH Pandya,6,0,6,169,,79,47,3,4,15,,0,,,-,bat,India,1,"Narendra Modi Stadium, Ahmedabad",2023,02,India_New Zealand_2023-02-01,India,India,New Zealand,True,234
95,Shubman Gill,BG Lister,HH Pandya,1,0,1,170,,80,48,3,5,15,,0,,,-,bat,India,1,"Narendra Modi Stadium, Ahmedabad",2023,02,India_New Zealand_2023-02-01,India,India,New Zealand,True,234
96,HH Pandya,BG Lister,Shubman Gill,0,0,0,170,,17,10,3,6,15,,0,,,-,bat,India,1,"Narendra Modi Stadium, Ahmedabad",2023,02,India_New Zealand_2023-02-01,India,India,New Zealand,True,234
97,Shubman Gill,BM Tickner,HH Pandya,6,0,6,176,,86,49,3,1,16,,0,,,-,bat,India,1,"Narendra Modi Stadium, Ahmedabad",2023,02,India_New Zealand_2023-02-01,India,India,New Zealand,True,234
98,Shubman Gill,BM Tickner,HH Pandya,4,0,4,180,,90,50,3,2,16,,0,,,-,bat,India,1,"Narendra Modi Stadium, Ahmedabad",2023,02,India_New Zealand_2023-02-01,India,India,New Zealand,True,234
99,Shubman Gill,BM Tickner,HH Pandya,0,1,1,181,,90,51,3,3,16,,0,,,wides,bat,India,1,"Narendra Modi Stadium, Ahmedabad",2023,02,India_New Zealand_2023-02-01,India,India,New Zealand,True,234
100,Shubman Gill,BM Tickner,HH Pandya,0,0,0,181,,90,52,3,4,16,,0,,,-,bat,India,1,"Narendra Modi Stadium, Ahmedabad",2023,02,India_New Zealand_2023-02-01,India,India,New Zealand,True,234
101,Shubman Gill,BM Tickner,HH Pandya,6,0,6,187,,96,53,3,5,16,,0,,,-,bat,India,1,"Narendra Modi Stadium, Ahmedabad",2023,02,India_New Zealand_2023-02-01,India,India,New Zealand,True,234
102,Shubman Gill,BM Tickner,HH Pandya,1,0,1,188,,97,54,3,6,16,,0,,,-,bat,India,1,"Narendra Modi Stadium, Ahmedabad",2023,02,India_New Zealand_2023-02-01,India,India,New Zealand,True,234
103,HH Pandya,BM Tickner,Shubman Gill,0,1,1,189,,17,11,3,7,16,,0,,,wides,bat,India,1,"Narendra Modi Stadium, Ahmedabad",2023,02,India_New Zealand_2023-02-01,India,India,New Zealand,True,234
104,HH Pandya,BM Tickner,Shubman Gill,4,0,4,193,,21,12,3,8,16,,0,,,-,bat,India,1,"Narendra Modi Stadium, Ahmedabad",2023,02,India_New Zealand_2023-02-01,India,India,New Zealand,True,234
105,Shubman Gill,LH Ferguson,HH Pandya,4,0,4,197,,101,55,3,1,17,,0,,,-,bat,India,1,"Narendra Modi Stadium, Ahmedabad",2023,02,India_New Zealand_2023-02-01,India,India,New Zealand,True,234
106,Shubman Gill,LH Ferguson,HH Pandya,6,0,6,203,,107,56,3,2,17,,0,,,-,bat,India,1,"Narendra Modi Stadium, Ahmedabad",2023,02,India_New Zealand_2023-02-01,India,India,New Zealand,True,234
107,Shubman Gill,LH Ferguson,HH Pandya,1,0,1,204,,108,57,3,3,17,,0,,,-,bat,India,1,"Narendra Modi Stadium, Ahmedabad",2023,02,India_New Zealand_2023-02-01,India,India,New Zealand,True,234
108,HH Pandya,LH Ferguson,Shubman Gill,0,0,0,204,,21,13,3,4,17,,0,,,-,bat,India,1,"Narendra Modi Stadium, Ahmedabad",2023,02,India_New Zealand_2023-02-01,India,India,New Zealand,True,234
109,HH Pandya,LH Ferguson,Shubman Gill,6,0,6,210,,27,14,3,5,17,,0,,,-,bat,India,1,"Narendra Modi Stadium, Ahmedabad",2023,02,India_New Zealand_2023-02-01,India,India,New Zealand,True,234
110,HH Pandya,LH Ferguson,Shubman Gill,1,0,1,211,,28,15,3,6,17,,0,,,-,bat,India,1,"Narendra Modi Stadium, Ahmedabad",2023,02,India_New Zealand_2023-02-01,India,India,New Zealand,True,234
111,HH Pandya,BG Lister,Shubman Gill,1,0,1,212,,29,16,3,1,18,,0,,,-,bat,India,1,"Narendra Modi Stadium, Ahmedabad",2023,02,India_New Zealand_2023-02-01,India,India,New Zealand,True,234
112,Shubman Gill,BG Lister,HH Pandya,4,0,4,216,,112,58,3,2,18,,0,,,-,bat,India,1,"Narendra Modi Stadium, Ahmedabad",2023,02,India_New Zealand_2023-02-01,India,India,New Zealand,True,234
113,Shubman Gill,BG Lister,HH Pandya,1,0,1,217,,113,59,3,3,18,,0,,,-,bat,India,1,"Narendra Modi Stadium, Ahmedabad",2023,02,India_New Zealand_2023-02-01,India,India,New Zealand,True,234
114,HH Pandya,BG Lister,Shubman Gill,1,0,1,218,,30,17,3,4,18,,0,,,-,bat,India,1,"Narendra Modi Stadium, Ahmedabad",2023,02,India_New Zealand_2023-02-01,India,India,New Zealand,True,234
115,Shubman Gill,BG Lister,HH Pandya,4,0,4,222,,117,60,3,5,18,,0,,,-,bat,India,1,"Narendra Modi Stadium, Ahmedabad",2023,02,India_New Zealand_2023-02-01,India,India,New Zealand,True,234
116,Shubman Gill,BG Lister,HH Pandya,6,0,6,228,,123,61,3,6,18,,0,,,-,bat,India,1,"Narendra Modi Stadium, Ahmedabad",2023,02,India_New Zealand_2023-02-01,India,India,New Zealand,True,234
117,HH Pandya,DJ Mitchell,Shubman Gill,0,0,0,228,,30,18,4,1,19,,caught,HH Pandya,MG Bracewell,-,bat,India,1,"Narendra Modi Stadium, Ahmedabad",2023,02,India_New Zealand_2023-02-01,India,India,New Zealand,True,234
118,DJ Hooda,DJ Mitchell,Shubman Gill,1,0,1,229,,1,1,4,2,19,,0,,,-,bat,India,1,"Narendra Modi Stadium, Ahmedabad",2023,02,India_New Zealand_2023-02-01,India,India,New Zealand,True,234
119,Shubman Gill,DJ Mitchell,DJ Hooda,2,0,2,231,,125,62,4,3,19,,0,,,-,bat,India,1,"Narendra Modi Stadium, Ahmedabad",2023,02,India_New Zealand_2023-02-01,India,India,New Zealand,True,234
