,batter,bowler,non_striker,extras,review,runs_by_bat,extra_runs,total,team_total,batter_runs,balls_faced,delivery,extra_type,wicket_type,player_out,fielder,over,toss_decision,toss_winner,innings,venue,date,batting_team,bowling_team
67,KD Karthik,K Pierre,MK Pandey,,,0,0,0,56,8,11,4,-,0,,,11,field,India,2,Eden Gardens,2018-11-04,India,West Indies
68,KD Karthik,K Pierre,MK Pandey,,,0,0,0,56,8,12,5,-,0,,,11,field,India,2,Eden Gardens,2018-11-04,India,West Indies
69,KD Karthik,K Pierre,MK Pandey,,,1,0,1,57,9,13,6,-,0,,,11,field,India,2,Eden Gardens,2018-11-04,India,West Indies
70,KD Karthik,KA Pollard,MK Pandey,,,4,0,4,61,13,14,1,-,0,,,12,field,India,2,Eden Gardens,2018-11-04,India,West Indies
71,KD Karthik,KA Pollard,MK Pandey,,,0,0,0,61,13,15,2,-,0,,,12,field,India,2,Eden Gardens,2018-11-04,India,West Indies
72,KD Karthik,KA Pollard,MK Pandey,,,0,0,0,61,13,16,3,-,0,,,12,field,India,2,Eden Gardens,2018-11-04,India,West Indies
73,KD Karthik,KA Pollard,MK Pandey,,,0,0,0,61,13,17,4,-,0,,,12,field,India,2,Eden Gardens,2018-11-04,India,West Indies
74,KD Karthik,KA Pollard,MK Pandey,,,4,0,4,65,17,18,5,-,0,,,12,field,India,2,Eden Gardens,2018-11-04,India,West Indies
75,KD Karthik,KA Pollard,MK Pandey,,,4,0,4,69,21,19,6,-,0,,,12,field,India,2,Eden Gardens,2018-11-04,India,West Indies
76,MK Pandey,K Pierre,KD Karthik,,,1,0,1,70,10,15,1,-,0,,,13,field,India,2,Eden Gardens,2018-11-04,India,West Indies
77,KD Karthik,K Pierre,MK Pandey,,,1,0,1,71,22,20,2,-,0,,,13,field,India,2,Eden Gardens,2018-11-04,India,West Indies
78,MK Pandey,K Pierre,KD Karthik,,,0,0,0,71,10,16,3,-,0,,,13,field,India,2,Eden Gardens,2018-11-04,India,West Indies
79,MK Pandey,K Pierre,KD Karthik,,,2,0,2,73,12,17,4,-,0,,,13,field,India,2,Eden Gardens,2018-11-04,India,West Indies
80,MK Pandey,K Pierre,KD Karthik,,,0,0,0,73,12,18,5,-,0,,,13,field,India,2,Eden Gardens,2018-11-04,India,West Indies
81,MK Pandey,K Pierre,KD Karthik,,,0,0,0,73,12,19,6,-,0,,,13,field,India,2,Eden Gardens,2018-11-04,India,West Indies
82,KD Karthik,CR Brathwaite,MK Pandey,,,0,0,0,73,22,21,1,-,0,,,14,field,India,2,Eden Gardens,2018-11-04,India,West Indies
83,KD Karthik,CR Brathwaite,MK Pandey,,,0,0,0,73,22,22,2,-,0,,,14,field,India,2,Eden Gardens,2018-11-04,India,West Indies
84,KD Karthik,CR Brathwaite,MK Pandey,,,1,0,1,74,23,23,3,-,0,,,14,field,India,2,Eden Gardens,2018-11-04,India,West Indies
85,MK Pandey,CR Brathwaite,KD Karthik,,,0,0,0,74,12,20,4,-,0,,,14,field,India,2,Eden Gardens,2018-11-04,India,West Indies
86,MK Pandey,CR Brathwaite,KD Karthik,,,4,0,4,78,16,21,5,-,0,,,14,field,India,2,Eden Gardens,2018-11-04,India,West Indies
87,MK Pandey,CR Brathwaite,KD Karthik,,,2,0,2,80,18,22,6,-,0,,,14,field,India,2,Eden Gardens,2018-11-04,India,West Indies
88,KD Karthik,K Pierre,MK Pandey,,,1,0,1,81,24,24,1,-,0,,,15,field,India,2,Eden Gardens,2018-11-04,India,West Indies
89,MK Pandey,K Pierre,KD Karthik,,,1,0,1,82,19,23,2,-,0,,,15,field,India,2,Eden Gardens,2018-11-04,India,West Indies
90,KD Karthik,K Pierre,MK Pandey,,,0,0,0,82,24,25,3,-,0,,,15,field,India,2,Eden Gardens,2018-11-04,India,West Indies
91,KD Karthik,K Pierre,MK Pandey,,,1,0,1,83,25,26,4,-,0,,,15,field,India,2,Eden Gardens,2018-11-04,India,West Indies
92,MK Pandey,K Pierre,KD Karthik,,,0,0,0,83,19,24,5,-,0,,,15,field,India,2,Eden Gardens,2018-11-04,India,West Indies
93,MK Pandey,K Pierre,KD Karthik,,,0,0,0,83,19,25,6,-,caught and bowled,MK Pandey,,15,field,India,2,Eden Gardens,2018-11-04,India,West Indies
94,KD Karthik,FA Allen,KH Pandya,,,1,0,1,84,26,27,1,-,0,,,16,field,India,2,Eden Gardens,2018-11-04,India,West Indies
95,KH Pandya,FA Allen,KD Karthik,,,1,0,1,85,1,1,2,-,0,,,16,field,India,2,Eden Gardens,2018-11-04,India,West Indies
96,KD Karthik,FA Allen,KH Pandya,,,2,0,2,87,28,28,3,-,0,,,16,field,India,2,Eden Gardens,2018-11-04,India,West Indies
97,KD Karthik,FA Allen,KH Pandya,,,1,0,1,88,29,29,4,-,0,,,16,field,India,2,Eden Gardens,2018-11-04,India,West Indies
98,KH Pandya,FA Allen,KD Karthik,,,2,0,2,90,3,2,5,-,0,,,16,field,India,2,Eden Gardens,2018-11-04,India,West Indies
99,KH Pandya,FA Allen,KD Karthik,,,4,0,4,94,7,3,6,-,0,,,16,field,India,2,Eden Gardens,2018-11-04,India,West Indies
100,KD Karthik,K Pierre,KH Pandya,,"{'by': 'West Indies', 'batter': 'KD Karthik', 'decision': 'struck down'}",0,0,0,94,29,30,1,-,0,,,17,field,India,2,Eden Gardens,2018-11-04,India,West Indies
101,KD Karthik,K Pierre,KH Pandya,,,0,0,0,94,29,31,2,-,0,,,17,field,India,2,Eden Gardens,2018-11-04,India,West Indies
102,KD Karthik,K Pierre,KH Pandya,,,1,0,1,95,30,32,3,-,0,,,17,field,India,2,Eden Gardens,2018-11-04,India,West Indies
103,KH Pandya,K Pierre,KD Karthik,,,4,0,4,99,11,4,4,-,0,,,17,field,India,2,Eden Gardens,2018-11-04,India,West Indies
104,KH Pandya,K Pierre,KD Karthik,,,1,0,1,100,12,5,5,-,0,,,17,field,India,2,Eden Gardens,2018-11-04,India,West Indies
105,KD Karthik,K Pierre,KH Pandya,,,0,0,0,100,30,33,6,-,0,,,17,field,India,2,Eden Gardens,2018-11-04,India,West Indies
106,KH Pandya,KMA Paul,KD Karthik,,,1,0,1,101,13,6,1,-,0,,,18,field,India,2,Eden Gardens,2018-11-04,India,West Indies
107,KD Karthik,KMA Paul,KH Pandya,,,1,0,1,102,31,34,2,-,0,,,18,field,India,2,Eden Gardens,2018-11-04,India,West Indies
108,KH Pandya,KMA Paul,KD Karthik,,,2,0,2,104,15,7,3,-,0,,,18,field,India,2,Eden Gardens,2018-11-04,India,West Indies
109,KH Pandya,KMA Paul,KD Karthik,,,4,0,4,108,19,8,4,-,0,,,18,field,India,2,Eden Gardens,2018-11-04,India,West Indies
110,KH Pandya,KMA Paul,KD Karthik,,,2,0,2,110,21,9,5,-,0,,,18,field,India,2,Eden Gardens,2018-11-04,India,West Indies
