,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,batter_runs,balls_faced,delivery,extra_type,over,wicket_type,toss_decision,toss_winner,innings,venue,date,winning_team,batting_team,bowling_team
21,HM Amla,KM Jarvis,RE Levi,1,0,1,32,12,10,1,-,4,0,field,South Africa,2,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",2012-09-20,South Africa,South Africa,Zimbabwe
22,RE Levi,KM Jarvis,HM Amla,1,0,1,33,11,13,2,-,4,0,field,South Africa,2,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",2012-09-20,South Africa,South Africa,Zimbabwe
23,HM Amla,KM Jarvis,RE Levi,0,0,0,33,12,11,3,-,4,0,field,South Africa,2,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",2012-09-20,South Africa,South Africa,Zimbabwe
24,HM Amla,KM Jarvis,RE Levi,0,0,0,33,12,12,4,-,4,0,field,South Africa,2,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",2012-09-20,South Africa,South Africa,Zimbabwe
25,HM Amla,KM Jarvis,RE Levi,0,1,1,34,12,13,5,legbyes,4,0,field,South Africa,2,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",2012-09-20,South Africa,South Africa,Zimbabwe
26,RE Levi,KM Jarvis,HM Amla,4,0,4,38,15,14,6,-,4,0,field,South Africa,2,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",2012-09-20,South Africa,South Africa,Zimbabwe
27,HM Amla,RW Price,RE Levi,0,0,0,38,12,14,1,-,5,0,field,South Africa,2,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",2012-09-20,South Africa,South Africa,Zimbabwe
28,HM Amla,RW Price,RE Levi,1,0,1,39,13,15,2,-,5,0,field,South Africa,2,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",2012-09-20,South Africa,South Africa,Zimbabwe
29,RE Levi,RW Price,HM Amla,0,0,0,39,15,15,3,-,5,0,field,South Africa,2,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",2012-09-20,South Africa,South Africa,Zimbabwe
30,RE Levi,RW Price,HM Amla,1,0,1,40,16,16,4,-,5,0,field,South Africa,2,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",2012-09-20,South Africa,South Africa,Zimbabwe
31,HM Amla,RW Price,RE Levi,0,0,0,40,13,16,5,-,5,0,field,South Africa,2,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",2012-09-20,South Africa,South Africa,Zimbabwe
32,HM Amla,RW Price,RE Levi,4,0,4,44,17,17,6,-,5,0,field,South Africa,2,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",2012-09-20,South Africa,South Africa,Zimbabwe
33,RE Levi,BV Vitori,HM Amla,1,0,1,45,17,17,1,-,6,0,field,South Africa,2,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",2012-09-20,South Africa,South Africa,Zimbabwe
34,HM Amla,BV Vitori,RE Levi,1,0,1,46,18,18,2,-,6,0,field,South Africa,2,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",2012-09-20,South Africa,South Africa,Zimbabwe
35,RE Levi,BV Vitori,HM Amla,4,0,4,50,21,18,3,-,6,0,field,South Africa,2,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",2012-09-20,South Africa,South Africa,Zimbabwe
36,RE Levi,BV Vitori,HM Amla,0,0,0,50,21,19,4,-,6,0,field,South Africa,2,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",2012-09-20,South Africa,South Africa,Zimbabwe
