,batter,bowler,non_striker,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,over,extra_type,replacements,wicket_type,player_out,fielder,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,won,final_team_total
38,HM Amla,Mohammad Hafeez,F du Plessis,1,0,1,46,,11,16,1,2,6,-,,0,,,bat,South Africa,1,Dubai International Cricket Stadium,2013,11,Pakistan_South Africa_2013-11-15,South Africa,South Africa,Pakistan,True,150
39,F du Plessis,Mohammad Hafeez,HM Amla,0,0,0,46,,3,4,1,3,6,-,,0,,,bat,South Africa,1,Dubai International Cricket Stadium,2013,11,Pakistan_South Africa_2013-11-15,South Africa,South Africa,Pakistan,True,150
40,F du Plessis,Mohammad Hafeez,HM Amla,1,0,1,47,,4,5,1,4,6,-,,0,,,bat,South Africa,1,Dubai International Cricket Stadium,2013,11,Pakistan_South Africa_2013-11-15,South Africa,South Africa,Pakistan,True,150
41,HM Amla,Mohammad Hafeez,F du Plessis,1,0,1,48,,12,17,1,5,6,-,,0,,,bat,South Africa,1,Dubai International Cricket Stadium,2013,11,Pakistan_South Africa_2013-11-15,South Africa,South Africa,Pakistan,True,150
42,F du Plessis,Mohammad Hafeez,HM Amla,1,0,1,49,,5,6,1,6,6,-,,0,,,bat,South Africa,1,Dubai International Cricket Stadium,2013,11,Pakistan_South Africa_2013-11-15,South Africa,South Africa,Pakistan,True,150
43,F du Plessis,Shahid Afridi,HM Amla,1,0,1,50,,6,7,1,1,7,-,,0,,,bat,South Africa,1,Dubai International Cricket Stadium,2013,11,Pakistan_South Africa_2013-11-15,South Africa,South Africa,Pakistan,True,150
44,HM Amla,Shahid Afridi,F du Plessis,4,0,4,54,,16,18,1,2,7,-,,0,,,bat,South Africa,1,Dubai International Cricket Stadium,2013,11,Pakistan_South Africa_2013-11-15,South Africa,South Africa,Pakistan,True,150
45,HM Amla,Shahid Afridi,F du Plessis,0,0,0,54,,16,19,1,3,7,-,,0,,,bat,South Africa,1,Dubai International Cricket Stadium,2013,11,Pakistan_South Africa_2013-11-15,South Africa,South Africa,Pakistan,True,150
46,HM Amla,Shahid Afridi,F du Plessis,4,0,4,58,,20,20,1,4,7,-,,0,,,bat,South Africa,1,Dubai International Cricket Stadium,2013,11,Pakistan_South Africa_2013-11-15,South Africa,South Africa,Pakistan,True,150
47,HM Amla,Shahid Afridi,F du Plessis,1,0,1,59,,21,21,1,5,7,-,,0,,,bat,South Africa,1,Dubai International Cricket Stadium,2013,11,Pakistan_South Africa_2013-11-15,South Africa,South Africa,Pakistan,True,150
48,F du Plessis,Shahid Afridi,HM Amla,1,0,1,60,,7,8,1,6,7,-,,0,,,bat,South Africa,1,Dubai International Cricket Stadium,2013,11,Pakistan_South Africa_2013-11-15,South Africa,South Africa,Pakistan,True,150
49,F du Plessis,Mohammad Hafeez,HM Amla,0,0,0,60,,7,9,1,1,8,-,,0,,,bat,South Africa,1,Dubai International Cricket Stadium,2013,11,Pakistan_South Africa_2013-11-15,South Africa,South Africa,Pakistan,True,150
50,F du Plessis,Mohammad Hafeez,HM Amla,0,0,0,60,,7,10,1,2,8,-,,0,,,bat,South Africa,1,Dubai International Cricket Stadium,2013,11,Pakistan_South Africa_2013-11-15,South Africa,South Africa,Pakistan,True,150
51,F du Plessis,Mohammad Hafeez,HM Amla,1,0,1,61,,8,11,1,3,8,-,,0,,,bat,South Africa,1,Dubai International Cricket Stadium,2013,11,Pakistan_South Africa_2013-11-15,South Africa,South Africa,Pakistan,True,150
52,HM Amla,Mohammad Hafeez,F du Plessis,0,0,0,61,,21,22,1,4,8,-,,0,,,bat,South Africa,1,Dubai International Cricket Stadium,2013,11,Pakistan_South Africa_2013-11-15,South Africa,South Africa,Pakistan,True,150
53,HM Amla,Mohammad Hafeez,F du Plessis,0,0,0,61,,21,23,1,5,8,-,,0,,,bat,South Africa,1,Dubai International Cricket Stadium,2013,11,Pakistan_South Africa_2013-11-15,South Africa,South Africa,Pakistan,True,150
54,HM Amla,Mohammad Hafeez,F du Plessis,1,0,1,62,,22,24,1,6,8,-,,0,,,bat,South Africa,1,Dubai International Cricket Stadium,2013,11,Pakistan_South Africa_2013-11-15,South Africa,South Africa,Pakistan,True,150
55,HM Amla,Shahid Afridi,F du Plessis,0,0,0,62,,22,25,1,1,9,-,,0,,,bat,South Africa,1,Dubai International Cricket Stadium,2013,11,Pakistan_South Africa_2013-11-15,South Africa,South Africa,Pakistan,True,150
56,HM Amla,Shahid Afridi,F du Plessis,0,0,0,62,,22,26,1,2,9,-,,0,,,bat,South Africa,1,Dubai International Cricket Stadium,2013,11,Pakistan_South Africa_2013-11-15,South Africa,South Africa,Pakistan,True,150
57,HM Amla,Shahid Afridi,F du Plessis,2,0,2,64,,24,27,1,3,9,-,,0,,,bat,South Africa,1,Dubai International Cricket Stadium,2013,11,Pakistan_South Africa_2013-11-15,South Africa,South Africa,Pakistan,True,150
58,HM Amla,Shahid Afridi,F du Plessis,1,0,1,65,,25,28,1,4,9,-,,0,,,bat,South Africa,1,Dubai International Cricket Stadium,2013,11,Pakistan_South Africa_2013-11-15,South Africa,South Africa,Pakistan,True,150
59,F du Plessis,Shahid Afridi,HM Amla,1,0,1,66,,9,12,1,5,9,-,,0,,,bat,South Africa,1,Dubai International Cricket Stadium,2013,11,Pakistan_South Africa_2013-11-15,South Africa,South Africa,Pakistan,True,150
60,HM Amla,Shahid Afridi,F du Plessis,1,0,1,67,,26,29,1,6,9,-,,0,,,bat,South Africa,1,Dubai International Cricket Stadium,2013,11,Pakistan_South Africa_2013-11-15,South Africa,South Africa,Pakistan,True,150
61,HM Amla,Mohammad Hafeez,F du Plessis,1,0,1,68,,27,30,1,1,10,-,,0,,,bat,South Africa,1,Dubai International Cricket Stadium,2013,11,Pakistan_South Africa_2013-11-15,South Africa,South Africa,Pakistan,True,150
62,F du Plessis,Mohammad Hafeez,HM Amla,0,0,0,68,,9,13,1,2,10,-,,0,,,bat,South Africa,1,Dubai International Cricket Stadium,2013,11,Pakistan_South Africa_2013-11-15,South Africa,South Africa,Pakistan,True,150
63,F du Plessis,Mohammad Hafeez,HM Amla,1,0,1,69,,10,14,1,3,10,-,,0,,,bat,South Africa,1,Dubai International Cricket Stadium,2013,11,Pakistan_South Africa_2013-11-15,South Africa,South Africa,Pakistan,True,150
64,HM Amla,Mohammad Hafeez,F du Plessis,2,0,2,71,,29,31,1,4,10,-,,0,,,bat,South Africa,1,Dubai International Cricket Stadium,2013,11,Pakistan_South Africa_2013-11-15,South Africa,South Africa,Pakistan,True,150
65,HM Amla,Mohammad Hafeez,F du Plessis,0,0,0,71,,29,32,1,5,10,-,,0,,,bat,South Africa,1,Dubai International Cricket Stadium,2013,11,Pakistan_South Africa_2013-11-15,South Africa,South Africa,Pakistan,True,150
66,HM Amla,Mohammad Hafeez,F du Plessis,6,0,6,77,,35,33,1,6,10,-,,0,,,bat,South Africa,1,Dubai International Cricket Stadium,2013,11,Pakistan_South Africa_2013-11-15,South Africa,South Africa,Pakistan,True,150
67,F du Plessis,Shahid Afridi,HM Amla,2,0,2,79,,12,15,1,1,11,-,,0,,,bat,South Africa,1,Dubai International Cricket Stadium,2013,11,Pakistan_South Africa_2013-11-15,South Africa,South Africa,Pakistan,True,150
68,F du Plessis,Shahid Afridi,HM Amla,0,0,0,79,,12,16,1,2,11,-,,0,,,bat,South Africa,1,Dubai International Cricket Stadium,2013,11,Pakistan_South Africa_2013-11-15,South Africa,South Africa,Pakistan,True,150
69,F du Plessis,Shahid Afridi,HM Amla,4,0,4,83,,16,17,1,3,11,-,,0,,,bat,South Africa,1,Dubai International Cricket Stadium,2013,11,Pakistan_South Africa_2013-11-15,South Africa,South Africa,Pakistan,True,150
70,F du Plessis,Shahid Afridi,HM Amla,1,0,1,84,,17,18,1,4,11,-,,0,,,bat,South Africa,1,Dubai International Cricket Stadium,2013,11,Pakistan_South Africa_2013-11-15,South Africa,South Africa,Pakistan,True,150
71,HM Amla,Shahid Afridi,F du Plessis,1,0,1,85,,36,34,1,5,11,-,,0,,,bat,South Africa,1,Dubai International Cricket Stadium,2013,11,Pakistan_South Africa_2013-11-15,South Africa,South Africa,Pakistan,True,150
72,F du Plessis,Shahid Afridi,HM Amla,6,0,6,91,,23,19,1,6,11,-,,0,,,bat,South Africa,1,Dubai International Cricket Stadium,2013,11,Pakistan_South Africa_2013-11-15,South Africa,South Africa,Pakistan,True,150
73,HM Amla,Saeed Ajmal,F du Plessis,1,0,1,92,,37,35,1,1,12,-,,0,,,bat,South Africa,1,Dubai International Cricket Stadium,2013,11,Pakistan_South Africa_2013-11-15,South Africa,South Africa,Pakistan,True,150
74,F du Plessis,Saeed Ajmal,HM Amla,0,0,0,92,,23,20,1,2,12,-,,0,,,bat,South Africa,1,Dubai International Cricket Stadium,2013,11,Pakistan_South Africa_2013-11-15,South Africa,South Africa,Pakistan,True,150
75,F du Plessis,Saeed Ajmal,HM Amla,1,0,1,93,,24,21,1,3,12,-,,0,,,bat,South Africa,1,Dubai International Cricket Stadium,2013,11,Pakistan_South Africa_2013-11-15,South Africa,South Africa,Pakistan,True,150
76,HM Amla,Saeed Ajmal,F du Plessis,1,0,1,94,,38,36,1,4,12,-,,0,,,bat,South Africa,1,Dubai International Cricket Stadium,2013,11,Pakistan_South Africa_2013-11-15,South Africa,South Africa,Pakistan,True,150
77,F du Plessis,Saeed Ajmal,HM Amla,6,0,6,100,,30,22,1,5,12,-,,0,,,bat,South Africa,1,Dubai International Cricket Stadium,2013,11,Pakistan_South Africa_2013-11-15,South Africa,South Africa,Pakistan,True,150
78,F du Plessis,Saeed Ajmal,HM Amla,1,0,1,101,,31,23,1,6,12,-,,0,,,bat,South Africa,1,Dubai International Cricket Stadium,2013,11,Pakistan_South Africa_2013-11-15,South Africa,South Africa,Pakistan,True,150
79,F du Plessis,Shoaib Malik,HM Amla,1,0,1,102,,32,24,1,1,13,-,,0,,,bat,South Africa,1,Dubai International Cricket Stadium,2013,11,Pakistan_South Africa_2013-11-15,South Africa,South Africa,Pakistan,True,150
80,HM Amla,Shoaib Malik,F du Plessis,6,0,6,108,,44,37,1,2,13,-,,0,,,bat,South Africa,1,Dubai International Cricket Stadium,2013,11,Pakistan_South Africa_2013-11-15,South Africa,South Africa,Pakistan,True,150
81,HM Amla,Shoaib Malik,F du Plessis,1,0,1,109,,45,38,1,3,13,-,,0,,,bat,South Africa,1,Dubai International Cricket Stadium,2013,11,Pakistan_South Africa_2013-11-15,South Africa,South Africa,Pakistan,True,150
82,F du Plessis,Shoaib Malik,HM Amla,1,0,1,110,,33,25,1,4,13,-,,0,,,bat,South Africa,1,Dubai International Cricket Stadium,2013,11,Pakistan_South Africa_2013-11-15,South Africa,South Africa,Pakistan,True,150
83,HM Amla,Shoaib Malik,F du Plessis,1,0,1,111,,46,39,1,5,13,-,,0,,,bat,South Africa,1,Dubai International Cricket Stadium,2013,11,Pakistan_South Africa_2013-11-15,South Africa,South Africa,Pakistan,True,150
84,F du Plessis,Shoaib Malik,HM Amla,1,0,1,112,,34,26,1,6,13,-,,0,,,bat,South Africa,1,Dubai International Cricket Stadium,2013,11,Pakistan_South Africa_2013-11-15,South Africa,South Africa,Pakistan,True,150
85,F du Plessis,Saeed Ajmal,HM Amla,0,0,0,112,,34,27,1,1,14,-,,0,,,bat,South Africa,1,Dubai International Cricket Stadium,2013,11,Pakistan_South Africa_2013-11-15,South Africa,South Africa,Pakistan,True,150
86,F du Plessis,Saeed Ajmal,HM Amla,1,0,1,113,,35,28,1,2,14,-,,0,,,bat,South Africa,1,Dubai International Cricket Stadium,2013,11,Pakistan_South Africa_2013-11-15,South Africa,South Africa,Pakistan,True,150
87,HM Amla,Saeed Ajmal,F du Plessis,2,0,2,115,,48,40,1,3,14,-,,0,,,bat,South Africa,1,Dubai International Cricket Stadium,2013,11,Pakistan_South Africa_2013-11-15,South Africa,South Africa,Pakistan,True,150
88,HM Amla,Saeed Ajmal,F du Plessis,0,0,0,115,,48,41,2,4,14,-,,caught,HM Amla,Shoaib Malik,bat,South Africa,1,Dubai International Cricket Stadium,2013,11,Pakistan_South Africa_2013-11-15,South Africa,South Africa,Pakistan,True,150
89,F du Plessis,Saeed Ajmal,AB de Villiers,0,0,0,115,,35,29,2,5,14,-,,0,,,bat,South Africa,1,Dubai International Cricket Stadium,2013,11,Pakistan_South Africa_2013-11-15,South Africa,South Africa,Pakistan,True,150
90,F du Plessis,Saeed Ajmal,AB de Villiers,0,0,0,115,,35,30,2,6,14,-,,0,,,bat,South Africa,1,Dubai International Cricket Stadium,2013,11,Pakistan_South Africa_2013-11-15,South Africa,South Africa,Pakistan,True,150
91,AB de Villiers,Mohammad Hafeez,F du Plessis,0,1,1,116,,0,1,2,1,15,wides,,0,,,bat,South Africa,1,Dubai International Cricket Stadium,2013,11,Pakistan_South Africa_2013-11-15,South Africa,South Africa,Pakistan,True,150
92,AB de Villiers,Mohammad Hafeez,F du Plessis,0,1,1,117,,0,2,2,2,15,legbyes,,0,,,bat,South Africa,1,Dubai International Cricket Stadium,2013,11,Pakistan_South Africa_2013-11-15,South Africa,South Africa,Pakistan,True,150
93,F du Plessis,Mohammad Hafeez,AB de Villiers,1,0,1,118,,36,31,2,3,15,-,,0,,,bat,South Africa,1,Dubai International Cricket Stadium,2013,11,Pakistan_South Africa_2013-11-15,South Africa,South Africa,Pakistan,True,150
94,AB de Villiers,Mohammad Hafeez,F du Plessis,0,0,0,118,,0,3,2,4,15,-,,0,,,bat,South Africa,1,Dubai International Cricket Stadium,2013,11,Pakistan_South Africa_2013-11-15,South Africa,South Africa,Pakistan,True,150
95,AB de Villiers,Mohammad Hafeez,F du Plessis,1,0,1,119,,1,4,2,5,15,-,,0,,,bat,South Africa,1,Dubai International Cricket Stadium,2013,11,Pakistan_South Africa_2013-11-15,South Africa,South Africa,Pakistan,True,150
96,F du Plessis,Mohammad Hafeez,AB de Villiers,1,0,1,120,,37,32,2,6,15,-,,0,,,bat,South Africa,1,Dubai International Cricket Stadium,2013,11,Pakistan_South Africa_2013-11-15,South Africa,South Africa,Pakistan,True,150
97,AB de Villiers,Mohammad Hafeez,F du Plessis,0,0,0,120,,1,5,2,7,15,-,,0,,,bat,South Africa,1,Dubai International Cricket Stadium,2013,11,Pakistan_South Africa_2013-11-15,South Africa,South Africa,Pakistan,True,150
98,F du Plessis,Shahid Afridi,AB de Villiers,0,0,0,120,,37,33,2,1,16,-,,0,,,bat,South Africa,1,Dubai International Cricket Stadium,2013,11,Pakistan_South Africa_2013-11-15,South Africa,South Africa,Pakistan,True,150
99,F du Plessis,Shahid Afridi,AB de Villiers,0,0,0,120,,37,34,2,2,16,-,,0,,,bat,South Africa,1,Dubai International Cricket Stadium,2013,11,Pakistan_South Africa_2013-11-15,South Africa,South Africa,Pakistan,True,150
100,F du Plessis,Shahid Afridi,AB de Villiers,2,0,2,122,,39,35,2,3,16,-,,0,,,bat,South Africa,1,Dubai International Cricket Stadium,2013,11,Pakistan_South Africa_2013-11-15,South Africa,South Africa,Pakistan,True,150
101,F du Plessis,Shahid Afridi,AB de Villiers,0,1,1,123,,39,36,2,4,16,wides,,0,,,bat,South Africa,1,Dubai International Cricket Stadium,2013,11,Pakistan_South Africa_2013-11-15,South Africa,South Africa,Pakistan,True,150
102,F du Plessis,Shahid Afridi,AB de Villiers,6,0,6,129,,45,37,2,5,16,-,,0,,,bat,South Africa,1,Dubai International Cricket Stadium,2013,11,Pakistan_South Africa_2013-11-15,South Africa,South Africa,Pakistan,True,150
103,F du Plessis,Shahid Afridi,AB de Villiers,2,0,2,131,,47,38,2,6,16,-,,0,,,bat,South Africa,1,Dubai International Cricket Stadium,2013,11,Pakistan_South Africa_2013-11-15,South Africa,South Africa,Pakistan,True,150
104,F du Plessis,Shahid Afridi,AB de Villiers,2,0,2,133,,49,39,2,7,16,-,,0,,,bat,South Africa,1,Dubai International Cricket Stadium,2013,11,Pakistan_South Africa_2013-11-15,South Africa,South Africa,Pakistan,True,150
105,AB de Villiers,Sohail Tanvir,F du Plessis,4,0,4,137,,5,6,2,1,17,-,,0,,,bat,South Africa,1,Dubai International Cricket Stadium,2013,11,Pakistan_South Africa_2013-11-15,South Africa,South Africa,Pakistan,True,150
106,AB de Villiers,Sohail Tanvir,F du Plessis,0,0,0,137,,5,7,3,2,17,-,,caught,AB de Villiers,Nasir Jamshed,bat,South Africa,1,Dubai International Cricket Stadium,2013,11,Pakistan_South Africa_2013-11-15,South Africa,South Africa,Pakistan,True,150
107,F du Plessis,Sohail Tanvir,DA Miller,0,0,0,137,,49,40,3,3,17,-,,0,,,bat,South Africa,1,Dubai International Cricket Stadium,2013,11,Pakistan_South Africa_2013-11-15,South Africa,South Africa,Pakistan,True,150
108,F du Plessis,Sohail Tanvir,DA Miller,1,0,1,138,,50,41,3,4,17,-,,0,,,bat,South Africa,1,Dubai International Cricket Stadium,2013,11,Pakistan_South Africa_2013-11-15,South Africa,South Africa,Pakistan,True,150
109,DA Miller,Sohail Tanvir,F du Plessis,1,0,1,139,,1,1,3,5,17,-,,0,,,bat,South Africa,1,Dubai International Cricket Stadium,2013,11,Pakistan_South Africa_2013-11-15,South Africa,South Africa,Pakistan,True,150
110,F du Plessis,Sohail Tanvir,DA Miller,1,0,1,140,,51,42,3,6,17,-,,0,,,bat,South Africa,1,Dubai International Cricket Stadium,2013,11,Pakistan_South Africa_2013-11-15,South Africa,South Africa,Pakistan,True,150
111,F du Plessis,Saeed Ajmal,DA Miller,1,0,1,141,,52,43,3,1,18,-,,0,,,bat,South Africa,1,Dubai International Cricket Stadium,2013,11,Pakistan_South Africa_2013-11-15,South Africa,South Africa,Pakistan,True,150
112,DA Miller,Saeed Ajmal,F du Plessis,1,0,1,142,,2,2,3,2,18,-,,0,,,bat,South Africa,1,Dubai International Cricket Stadium,2013,11,Pakistan_South Africa_2013-11-15,South Africa,South Africa,Pakistan,True,150
