,batter,bowler,non_striker,review,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,extra_type,delivery,wicket_type,player_out,fielder,over,replacements,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,won,final_team_total,batter_type,non_striker_type,bowler_type
100,N Pooran,HV Patel,R Shepherd,,0,0,0,134,50,54,42,6,-,6.0,0,,,15,,field,West Indies,2,"Eden Gardens, Kolkata",2022,02,India_West Indies_2022-02-20,India,West Indies,India,False,167,Left hand Bat,Right hand Bat,Right arm Medium
101,R Shepherd,Avesh Khan,N Pooran,,1,0,1,135,49,17,12,6,-,1.0,0,,,16,,field,West Indies,2,"Eden Gardens, Kolkata",2022,02,India_West Indies_2022-02-20,India,West Indies,India,False,167,Right hand Bat,Left hand Bat,Right arm Fast
102,N Pooran,Avesh Khan,R Shepherd,,2,0,2,137,47,56,43,6,-,2.0,0,,,16,,field,West Indies,2,"Eden Gardens, Kolkata",2022,02,India_West Indies_2022-02-20,India,West Indies,India,False,167,Left hand Bat,Right hand Bat,Right arm Fast
103,N Pooran,Avesh Khan,R Shepherd,,4,0,4,141,43,60,44,6,-,3.0,0,,,16,,field,West Indies,2,"Eden Gardens, Kolkata",2022,02,India_West Indies_2022-02-20,India,West Indies,India,False,167,Left hand Bat,Right hand Bat,Right arm Fast
104,N Pooran,Avesh Khan,R Shepherd,,0,0,0,141,43,60,45,6,-,4.0,0,,,16,,field,West Indies,2,"Eden Gardens, Kolkata",2022,02,India_West Indies_2022-02-20,India,West Indies,India,False,167,Left hand Bat,Right hand Bat,Right arm Fast
105,N Pooran,Avesh Khan,R Shepherd,,1,0,1,142,42,61,46,6,-,5.0,0,,,16,,field,West Indies,2,"Eden Gardens, Kolkata",2022,02,India_West Indies_2022-02-20,India,West Indies,India,False,167,Left hand Bat,Right hand Bat,Right arm Fast
106,R Shepherd,Avesh Khan,N Pooran,,6,0,6,148,36,23,13,6,-,6.0,0,,,16,,field,West Indies,2,"Eden Gardens, Kolkata",2022,02,India_West Indies_2022-02-20,India,West Indies,India,False,167,Right hand Bat,Left hand Bat,Right arm Fast
107,N Pooran,SN Thakur,R Shepherd,,0,0,0,148,36,61,47,7,-,1.0,caught,N Pooran,Ishan Kishan,17,,field,West Indies,2,"Eden Gardens, Kolkata",2022,02,India_West Indies_2022-02-20,India,West Indies,India,False,167,Left hand Bat,Right hand Bat,Right arm Medium
108,R Shepherd,SN Thakur,FA Allen,,4,0,4,152,32,27,14,7,-,2.0,0,,,17,,field,West Indies,2,"Eden Gardens, Kolkata",2022,02,India_West Indies_2022-02-20,India,West Indies,India,False,167,Right hand Bat,Right hand Bat,Right arm Medium
109,R Shepherd,SN Thakur,FA Allen,,0,0,0,152,32,27,15,7,-,3.0,0,,,17,,field,West Indies,2,"Eden Gardens, Kolkata",2022,02,India_West Indies_2022-02-20,India,West Indies,India,False,167,Right hand Bat,Right hand Bat,Right arm Medium
110,R Shepherd,SN Thakur,FA Allen,,0,0,0,152,32,27,16,7,-,4.0,0,,,17,,field,West Indies,2,"Eden Gardens, Kolkata",2022,02,India_West Indies_2022-02-20,India,West Indies,India,False,167,Right hand Bat,Right hand Bat,Right arm Medium
111,R Shepherd,SN Thakur,FA Allen,,0,1,1,153,31,27,16,7,wides,4.0,0,,,17,,field,West Indies,2,"Eden Gardens, Kolkata",2022,02,India_West Indies_2022-02-20,India,West Indies,India,False,167,Right hand Bat,Right hand Bat,Right arm Medium
112,R Shepherd,SN Thakur,FA Allen,,0,0,0,153,31,27,17,7,-,5.0,0,,,17,,field,West Indies,2,"Eden Gardens, Kolkata",2022,02,India_West Indies_2022-02-20,India,West Indies,India,False,167,Right hand Bat,Right hand Bat,Right arm Medium
113,R Shepherd,SN Thakur,FA Allen,,1,0,1,154,30,28,18,7,-,6.0,0,,,17,,field,West Indies,2,"Eden Gardens, Kolkata",2022,02,India_West Indies_2022-02-20,India,West Indies,India,False,167,Right hand Bat,Right hand Bat,Right arm Medium
114,R Shepherd,HV Patel,FA Allen,"{'by': 'India', 'umpire': 'KN Ananthapadmanabhan', 'batter': 'R Shepherd', 'decision': 'struck down', 'umpires_call': True}",0,2,2,156,28,28,19,7,legbyes,1.0,0,,,18,,field,West Indies,2,"Eden Gardens, Kolkata",2022,02,India_West Indies_2022-02-20,India,West Indies,India,False,167,Right hand Bat,Right hand Bat,Right arm Medium
115,R Shepherd,HV Patel,FA Allen,,1,0,1,157,27,29,20,7,-,2.0,0,,,18,,field,West Indies,2,"Eden Gardens, Kolkata",2022,02,India_West Indies_2022-02-20,India,West Indies,India,False,167,Right hand Bat,Right hand Bat,Right arm Medium
116,FA Allen,HV Patel,R Shepherd,,0,0,0,157,27,0,1,7,-,3.0,0,,,18,,field,West Indies,2,"Eden Gardens, Kolkata",2022,02,India_West Indies_2022-02-20,India,West Indies,India,False,167,Right hand Bat,Right hand Bat,Right arm Medium
117,FA Allen,HV Patel,R Shepherd,,1,0,1,158,26,1,2,7,-,4.0,0,,,18,,field,West Indies,2,"Eden Gardens, Kolkata",2022,02,India_West Indies_2022-02-20,India,West Indies,India,False,167,Right hand Bat,Right hand Bat,Right arm Medium
118,R Shepherd,HV Patel,FA Allen,,0,0,0,158,26,29,21,8,-,5.0,caught,R Shepherd,RG Sharma,18,,field,West Indies,2,"Eden Gardens, Kolkata",2022,02,India_West Indies_2022-02-20,India,West Indies,India,False,167,Right hand Bat,Right hand Bat,Right arm Medium
119,FA Allen,HV Patel,DC Drakes,,4,0,4,162,22,5,3,8,-,6.0,0,,,18,,field,West Indies,2,"Eden Gardens, Kolkata",2022,02,India_West Indies_2022-02-20,India,West Indies,India,False,167,Right hand Bat,Left hand Bat,Right arm Medium
120,DC Drakes,SN Thakur,FA Allen,,0,0,0,162,22,0,1,8,-,1.0,0,,,19,,field,West Indies,2,"Eden Gardens, Kolkata",2022,02,India_West Indies_2022-02-20,India,West Indies,India,False,167,Left hand Bat,Right hand Bat,Right arm Medium
121,DC Drakes,SN Thakur,FA Allen,,4,0,4,166,18,4,2,8,-,2.0,0,,,19,,field,West Indies,2,"Eden Gardens, Kolkata",2022,02,India_West Indies_2022-02-20,India,West Indies,India,False,167,Left hand Bat,Right hand Bat,Right arm Medium
122,DC Drakes,SN Thakur,FA Allen,,0,0,0,166,18,4,3,9,-,3.0,caught,DC Drakes,RG Sharma,19,,field,West Indies,2,"Eden Gardens, Kolkata",2022,02,India_West Indies_2022-02-20,India,West Indies,India,False,167,Left hand Bat,Right hand Bat,Right arm Medium
123,HR Walsh,SN Thakur,FA Allen,,0,1,1,167,17,0,0,9,wides,3.0,0,,,19,,field,West Indies,2,"Eden Gardens, Kolkata",2022,02,India_West Indies_2022-02-20,India,West Indies,India,False,167,Left hand Bat,Right hand Bat,Right arm Medium
124,HR Walsh,SN Thakur,FA Allen,,0,0,0,167,17,0,1,9,-,4.0,0,,,19,,field,West Indies,2,"Eden Gardens, Kolkata",2022,02,India_West Indies_2022-02-20,India,West Indies,India,False,167,Left hand Bat,Right hand Bat,Right arm Medium
125,HR Walsh,SN Thakur,FA Allen,,0,0,0,167,17,0,2,9,-,5.0,0,,,19,,field,West Indies,2,"Eden Gardens, Kolkata",2022,02,India_West Indies_2022-02-20,India,West Indies,India,False,167,Left hand Bat,Right hand Bat,Right arm Medium
126,HR Walsh,SN Thakur,FA Allen,,0,0,0,167,17,0,3,9,-,6.0,0,,,19,,field,West Indies,2,"Eden Gardens, Kolkata",2022,02,India_West Indies_2022-02-20,India,West Indies,India,False,167,Left hand Bat,Right hand Bat,Right arm Medium
