,batter,bowler,non_striker,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,extra_type,over,wicket_type,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,final_team_total
36,PJ Ingram,Shakib Al Hasan,BB McCullum,4,0,4,49,29,17,17,0,6,-,5,0,bat,Bangladesh,2,Seddon Park,2010,02,New Zealand_Bangladesh_2010-02-03,New Zealand,New Zealand,Bangladesh,79
37,BB McCullum,Shahadat Hossain,PJ Ingram,4,0,4,53,25,33,21,0,1,-,6,0,bat,Bangladesh,2,Seddon Park,2010,02,New Zealand_Bangladesh_2010-02-03,New Zealand,New Zealand,Bangladesh,79
38,BB McCullum,Shahadat Hossain,PJ Ingram,6,0,6,59,19,39,22,0,2,-,6,0,bat,Bangladesh,2,Seddon Park,2010,02,New Zealand_Bangladesh_2010-02-03,New Zealand,New Zealand,Bangladesh,79
39,BB McCullum,Shahadat Hossain,PJ Ingram,1,0,1,60,18,40,23,0,3,-,6,0,bat,Bangladesh,2,Seddon Park,2010,02,New Zealand_Bangladesh_2010-02-03,New Zealand,New Zealand,Bangladesh,79
40,PJ Ingram,Shahadat Hossain,BB McCullum,0,0,0,60,18,17,18,0,4,-,6,0,bat,Bangladesh,2,Seddon Park,2010,02,New Zealand_Bangladesh_2010-02-03,New Zealand,New Zealand,Bangladesh,79
41,PJ Ingram,Shahadat Hossain,BB McCullum,2,0,2,62,16,19,19,0,5,-,6,0,bat,Bangladesh,2,Seddon Park,2010,02,New Zealand_Bangladesh_2010-02-03,New Zealand,New Zealand,Bangladesh,79
42,PJ Ingram,Shahadat Hossain,BB McCullum,0,0,0,62,16,19,20,0,6,-,6,0,bat,Bangladesh,2,Seddon Park,2010,02,New Zealand_Bangladesh_2010-02-03,New Zealand,New Zealand,Bangladesh,79
43,BB McCullum,Shakib Al Hasan,PJ Ingram,1,0,1,63,15,41,24,0,1,-,7,0,bat,Bangladesh,2,Seddon Park,2010,02,New Zealand_Bangladesh_2010-02-03,New Zealand,New Zealand,Bangladesh,79
44,PJ Ingram,Shakib Al Hasan,BB McCullum,0,0,0,63,15,19,21,0,2,-,7,0,bat,Bangladesh,2,Seddon Park,2010,02,New Zealand_Bangladesh_2010-02-03,New Zealand,New Zealand,Bangladesh,79
45,PJ Ingram,Shakib Al Hasan,BB McCullum,1,0,1,64,14,20,22,0,3,-,7,0,bat,Bangladesh,2,Seddon Park,2010,02,New Zealand_Bangladesh_2010-02-03,New Zealand,New Zealand,Bangladesh,79
46,BB McCullum,Shakib Al Hasan,PJ Ingram,6,0,6,70,8,47,25,0,4,-,7,0,bat,Bangladesh,2,Seddon Park,2010,02,New Zealand_Bangladesh_2010-02-03,New Zealand,New Zealand,Bangladesh,79
47,BB McCullum,Shakib Al Hasan,PJ Ingram,1,0,1,71,7,48,26,0,5,-,7,0,bat,Bangladesh,2,Seddon Park,2010,02,New Zealand_Bangladesh_2010-02-03,New Zealand,New Zealand,Bangladesh,79
48,PJ Ingram,Shakib Al Hasan,BB McCullum,0,0,0,71,7,20,23,0,6,-,7,0,bat,Bangladesh,2,Seddon Park,2010,02,New Zealand_Bangladesh_2010-02-03,New Zealand,New Zealand,Bangladesh,79
49,BB McCullum,Aftab Ahmed,PJ Ingram,4,0,4,75,3,52,27,0,1,-,8,0,bat,Bangladesh,2,Seddon Park,2010,02,New Zealand_Bangladesh_2010-02-03,New Zealand,New Zealand,Bangladesh,79
50,BB McCullum,Aftab Ahmed,PJ Ingram,4,0,4,79,-1,56,28,0,2,-,8,0,bat,Bangladesh,2,Seddon Park,2010,02,New Zealand_Bangladesh_2010-02-03,New Zealand,New Zealand,Bangladesh,79
