,batter,bowler,non_striker,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,over,extra_type,review,wicket_type,player_out,fielder,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,won,final_team_total
10,RR Hendricks,FA Allen,Q de Kock,4,0,4,15,,9,7,0,5,1,-,,0,,,field,West Indies,1,"National Cricket Stadium, St George's, Grenada",2021,06,South Africa_West Indies_2021-06-27,South Africa,South Africa,West Indies,True,166
11,RR Hendricks,FA Allen,Q de Kock,0,0,0,15,,9,8,0,6,1,-,,0,,,field,West Indies,1,"National Cricket Stadium, St George's, Grenada",2021,06,South Africa_West Indies_2021-06-27,South Africa,South Africa,West Indies,True,166
12,Q de Kock,JO Holder,RR Hendricks,0,0,0,15,,2,5,0,1,2,-,,0,,,field,West Indies,1,"National Cricket Stadium, St George's, Grenada",2021,06,South Africa_West Indies_2021-06-27,South Africa,South Africa,West Indies,True,166
13,Q de Kock,JO Holder,RR Hendricks,4,0,4,19,,6,6,0,2,2,-,,0,,,field,West Indies,1,"National Cricket Stadium, St George's, Grenada",2021,06,South Africa_West Indies_2021-06-27,South Africa,South Africa,West Indies,True,166
14,Q de Kock,JO Holder,RR Hendricks,6,0,6,25,,12,7,0,3,2,-,,0,,,field,West Indies,1,"National Cricket Stadium, St George's, Grenada",2021,06,South Africa_West Indies_2021-06-27,South Africa,South Africa,West Indies,True,166
15,Q de Kock,JO Holder,RR Hendricks,4,0,4,29,,16,8,0,4,2,-,,0,,,field,West Indies,1,"National Cricket Stadium, St George's, Grenada",2021,06,South Africa_West Indies_2021-06-27,South Africa,South Africa,West Indies,True,166
16,Q de Kock,JO Holder,RR Hendricks,0,0,0,29,,16,9,0,5,2,-,,0,,,field,West Indies,1,"National Cricket Stadium, St George's, Grenada",2021,06,South Africa_West Indies_2021-06-27,South Africa,South Africa,West Indies,True,166
17,Q de Kock,JO Holder,RR Hendricks,0,0,0,29,,16,10,0,6,2,-,,0,,,field,West Indies,1,"National Cricket Stadium, St George's, Grenada",2021,06,South Africa_West Indies_2021-06-27,South Africa,South Africa,West Indies,True,166
18,RR Hendricks,FA Allen,Q de Kock,6,0,6,35,,15,9,0,1,3,-,,0,,,field,West Indies,1,"National Cricket Stadium, St George's, Grenada",2021,06,South Africa_West Indies_2021-06-27,South Africa,South Africa,West Indies,True,166
19,RR Hendricks,FA Allen,Q de Kock,4,0,4,39,,19,10,0,2,3,-,,0,,,field,West Indies,1,"National Cricket Stadium, St George's, Grenada",2021,06,South Africa_West Indies_2021-06-27,South Africa,South Africa,West Indies,True,166
20,RR Hendricks,FA Allen,Q de Kock,0,0,0,39,,19,11,0,3,3,-,,0,,,field,West Indies,1,"National Cricket Stadium, St George's, Grenada",2021,06,South Africa_West Indies_2021-06-27,South Africa,South Africa,West Indies,True,166
21,RR Hendricks,FA Allen,Q de Kock,4,0,4,43,,23,12,0,4,3,-,,0,,,field,West Indies,1,"National Cricket Stadium, St George's, Grenada",2021,06,South Africa_West Indies_2021-06-27,South Africa,South Africa,West Indies,True,166
22,RR Hendricks,FA Allen,Q de Kock,0,0,0,43,,23,13,0,5,3,-,,0,,,field,West Indies,1,"National Cricket Stadium, St George's, Grenada",2021,06,South Africa_West Indies_2021-06-27,South Africa,South Africa,West Indies,True,166
23,RR Hendricks,FA Allen,Q de Kock,0,4,4,47,,23,14,0,6,3,legbyes,,0,,,field,West Indies,1,"National Cricket Stadium, St George's, Grenada",2021,06,South Africa_West Indies_2021-06-27,South Africa,South Africa,West Indies,True,166
24,Q de Kock,AD Russell,RR Hendricks,0,0,0,47,,16,11,0,1,4,-,,0,,,field,West Indies,1,"National Cricket Stadium, St George's, Grenada",2021,06,South Africa_West Indies_2021-06-27,South Africa,South Africa,West Indies,True,166
25,Q de Kock,AD Russell,RR Hendricks,0,0,0,47,,16,12,0,2,4,-,,0,,,field,West Indies,1,"National Cricket Stadium, St George's, Grenada",2021,06,South Africa_West Indies_2021-06-27,South Africa,South Africa,West Indies,True,166
26,Q de Kock,AD Russell,RR Hendricks,6,0,6,53,,22,13,0,3,4,-,,0,,,field,West Indies,1,"National Cricket Stadium, St George's, Grenada",2021,06,South Africa_West Indies_2021-06-27,South Africa,South Africa,West Indies,True,166
27,Q de Kock,AD Russell,RR Hendricks,0,0,0,53,,22,14,0,4,4,-,,0,,,field,West Indies,1,"National Cricket Stadium, St George's, Grenada",2021,06,South Africa_West Indies_2021-06-27,South Africa,South Africa,West Indies,True,166
28,Q de Kock,AD Russell,RR Hendricks,1,0,1,54,,23,15,0,5,4,-,,0,,,field,West Indies,1,"National Cricket Stadium, St George's, Grenada",2021,06,South Africa_West Indies_2021-06-27,South Africa,South Africa,West Indies,True,166
29,RR Hendricks,AD Russell,Q de Kock,4,0,4,58,,27,15,0,6,4,-,,0,,,field,West Indies,1,"National Cricket Stadium, St George's, Grenada",2021,06,South Africa_West Indies_2021-06-27,South Africa,South Africa,West Indies,True,166
30,Q de Kock,OC McCoy,RR Hendricks,1,0,1,59,,24,16,0,1,5,-,,0,,,field,West Indies,1,"National Cricket Stadium, St George's, Grenada",2021,06,South Africa_West Indies_2021-06-27,South Africa,South Africa,West Indies,True,166
31,RR Hendricks,OC McCoy,Q de Kock,2,0,2,61,,29,16,0,2,5,-,,0,,,field,West Indies,1,"National Cricket Stadium, St George's, Grenada",2021,06,South Africa_West Indies_2021-06-27,South Africa,South Africa,West Indies,True,166
32,RR Hendricks,OC McCoy,Q de Kock,0,0,0,61,,29,17,0,3,5,-,,0,,,field,West Indies,1,"National Cricket Stadium, St George's, Grenada",2021,06,South Africa_West Indies_2021-06-27,South Africa,South Africa,West Indies,True,166
33,RR Hendricks,OC McCoy,Q de Kock,0,1,1,62,,29,18,0,4,5,wides,,0,,,field,West Indies,1,"National Cricket Stadium, St George's, Grenada",2021,06,South Africa_West Indies_2021-06-27,South Africa,South Africa,West Indies,True,166
34,RR Hendricks,OC McCoy,Q de Kock,4,0,4,66,,33,19,0,5,5,-,,0,,,field,West Indies,1,"National Cricket Stadium, St George's, Grenada",2021,06,South Africa_West Indies_2021-06-27,South Africa,South Africa,West Indies,True,166
35,RR Hendricks,OC McCoy,Q de Kock,0,1,1,67,,33,20,0,6,5,wides,,0,,,field,West Indies,1,"National Cricket Stadium, St George's, Grenada",2021,06,South Africa_West Indies_2021-06-27,South Africa,South Africa,West Indies,True,166
36,RR Hendricks,OC McCoy,Q de Kock,1,0,1,68,,34,21,0,7,5,-,,0,,,field,West Indies,1,"National Cricket Stadium, St George's, Grenada",2021,06,South Africa_West Indies_2021-06-27,South Africa,South Africa,West Indies,True,166
37,Q de Kock,OC McCoy,RR Hendricks,0,1,1,69,,24,17,0,8,5,legbyes,,0,,,field,West Indies,1,"National Cricket Stadium, St George's, Grenada",2021,06,South Africa_West Indies_2021-06-27,South Africa,South Africa,West Indies,True,166
38,Q de Kock,K Sinclair,RR Hendricks,1,0,1,70,,25,18,0,1,6,-,,0,,,field,West Indies,1,"National Cricket Stadium, St George's, Grenada",2021,06,South Africa_West Indies_2021-06-27,South Africa,South Africa,West Indies,True,166
39,RR Hendricks,K Sinclair,Q de Kock,1,0,1,71,,35,22,0,2,6,-,,0,,,field,West Indies,1,"National Cricket Stadium, St George's, Grenada",2021,06,South Africa_West Indies_2021-06-27,South Africa,South Africa,West Indies,True,166
40,Q de Kock,K Sinclair,RR Hendricks,1,0,1,72,,26,19,0,3,6,-,,0,,,field,West Indies,1,"National Cricket Stadium, St George's, Grenada",2021,06,South Africa_West Indies_2021-06-27,South Africa,South Africa,West Indies,True,166
41,RR Hendricks,K Sinclair,Q de Kock,1,0,1,73,,36,23,0,4,6,-,,0,,,field,West Indies,1,"National Cricket Stadium, St George's, Grenada",2021,06,South Africa_West Indies_2021-06-27,South Africa,South Africa,West Indies,True,166
42,Q de Kock,K Sinclair,RR Hendricks,0,0,0,73,,26,20,1,5,6,-,"{'by': 'West Indies', 'umpire': 'GO Brathwaite', 'batter': 'Q de Kock', 'decision': 'upheld'}",caught,Q de Kock,N Pooran,field,West Indies,1,"National Cricket Stadium, St George's, Grenada",2021,06,South Africa_West Indies_2021-06-27,South Africa,South Africa,West Indies,True,166
43,T Bavuma,K Sinclair,RR Hendricks,4,0,4,77,,4,1,1,6,6,-,,0,,,field,West Indies,1,"National Cricket Stadium, St George's, Grenada",2021,06,South Africa_West Indies_2021-06-27,South Africa,South Africa,West Indies,True,166
44,RR Hendricks,FA Allen,T Bavuma,1,0,1,78,,37,24,1,1,7,-,,0,,,field,West Indies,1,"National Cricket Stadium, St George's, Grenada",2021,06,South Africa_West Indies_2021-06-27,South Africa,South Africa,West Indies,True,166
45,T Bavuma,FA Allen,RR Hendricks,1,0,1,79,,5,2,1,2,7,-,,0,,,field,West Indies,1,"National Cricket Stadium, St George's, Grenada",2021,06,South Africa_West Indies_2021-06-27,South Africa,South Africa,West Indies,True,166
46,RR Hendricks,FA Allen,T Bavuma,0,0,0,79,,37,25,1,3,7,-,,0,,,field,West Indies,1,"National Cricket Stadium, St George's, Grenada",2021,06,South Africa_West Indies_2021-06-27,South Africa,South Africa,West Indies,True,166
47,RR Hendricks,FA Allen,T Bavuma,1,0,1,80,,38,26,1,4,7,-,,0,,,field,West Indies,1,"National Cricket Stadium, St George's, Grenada",2021,06,South Africa_West Indies_2021-06-27,South Africa,South Africa,West Indies,True,166
48,T Bavuma,FA Allen,RR Hendricks,0,0,0,80,,5,3,1,5,7,-,,0,,,field,West Indies,1,"National Cricket Stadium, St George's, Grenada",2021,06,South Africa_West Indies_2021-06-27,South Africa,South Africa,West Indies,True,166
49,T Bavuma,FA Allen,RR Hendricks,1,0,1,81,,6,4,1,6,7,-,,0,,,field,West Indies,1,"National Cricket Stadium, St George's, Grenada",2021,06,South Africa_West Indies_2021-06-27,South Africa,South Africa,West Indies,True,166
50,T Bavuma,K Sinclair,RR Hendricks,1,0,1,82,,7,5,1,1,8,-,,0,,,field,West Indies,1,"National Cricket Stadium, St George's, Grenada",2021,06,South Africa_West Indies_2021-06-27,South Africa,South Africa,West Indies,True,166
51,RR Hendricks,K Sinclair,T Bavuma,0,0,0,82,,38,27,1,2,8,-,,0,,,field,West Indies,1,"National Cricket Stadium, St George's, Grenada",2021,06,South Africa_West Indies_2021-06-27,South Africa,South Africa,West Indies,True,166
52,RR Hendricks,K Sinclair,T Bavuma,1,0,1,83,,39,28,1,3,8,-,,0,,,field,West Indies,1,"National Cricket Stadium, St George's, Grenada",2021,06,South Africa_West Indies_2021-06-27,South Africa,South Africa,West Indies,True,166
53,T Bavuma,K Sinclair,RR Hendricks,1,0,1,84,,8,6,1,4,8,-,,0,,,field,West Indies,1,"National Cricket Stadium, St George's, Grenada",2021,06,South Africa_West Indies_2021-06-27,South Africa,South Africa,West Indies,True,166
54,RR Hendricks,K Sinclair,T Bavuma,1,0,1,85,,40,29,1,5,8,-,,0,,,field,West Indies,1,"National Cricket Stadium, St George's, Grenada",2021,06,South Africa_West Indies_2021-06-27,South Africa,South Africa,West Indies,True,166
55,T Bavuma,K Sinclair,RR Hendricks,1,0,1,86,,9,7,1,6,8,-,,0,,,field,West Indies,1,"National Cricket Stadium, St George's, Grenada",2021,06,South Africa_West Indies_2021-06-27,South Africa,South Africa,West Indies,True,166
56,T Bavuma,FA Allen,RR Hendricks,1,0,1,87,,10,8,1,1,9,-,,0,,,field,West Indies,1,"National Cricket Stadium, St George's, Grenada",2021,06,South Africa_West Indies_2021-06-27,South Africa,South Africa,West Indies,True,166
57,RR Hendricks,FA Allen,T Bavuma,1,0,1,88,,41,30,1,2,9,-,,0,,,field,West Indies,1,"National Cricket Stadium, St George's, Grenada",2021,06,South Africa_West Indies_2021-06-27,South Africa,South Africa,West Indies,True,166
58,T Bavuma,FA Allen,RR Hendricks,4,0,4,92,,14,9,1,3,9,-,,0,,,field,West Indies,1,"National Cricket Stadium, St George's, Grenada",2021,06,South Africa_West Indies_2021-06-27,South Africa,South Africa,West Indies,True,166
59,T Bavuma,FA Allen,RR Hendricks,1,0,1,93,,15,10,1,4,9,-,,0,,,field,West Indies,1,"National Cricket Stadium, St George's, Grenada",2021,06,South Africa_West Indies_2021-06-27,South Africa,South Africa,West Indies,True,166
60,RR Hendricks,FA Allen,T Bavuma,1,0,1,94,,42,31,1,5,9,-,,0,,,field,West Indies,1,"National Cricket Stadium, St George's, Grenada",2021,06,South Africa_West Indies_2021-06-27,South Africa,South Africa,West Indies,True,166
61,T Bavuma,FA Allen,RR Hendricks,1,0,1,95,,16,11,1,6,9,-,,0,,,field,West Indies,1,"National Cricket Stadium, St George's, Grenada",2021,06,South Africa_West Indies_2021-06-27,South Africa,South Africa,West Indies,True,166
62,T Bavuma,K Sinclair,RR Hendricks,0,1,1,96,,16,12,1,1,10,legbyes,,0,,,field,West Indies,1,"National Cricket Stadium, St George's, Grenada",2021,06,South Africa_West Indies_2021-06-27,South Africa,South Africa,West Indies,True,166
63,RR Hendricks,K Sinclair,T Bavuma,0,0,0,96,,42,32,2,2,10,-,"{'by': 'South Africa', 'umpire': 'GO Brathwaite', 'batter': 'RR Hendricks', 'decision': 'struck down', 'umpires_call': True}",lbw,RR Hendricks,,field,West Indies,1,"National Cricket Stadium, St George's, Grenada",2021,06,South Africa_West Indies_2021-06-27,South Africa,South Africa,West Indies,True,166
64,DA Miller,K Sinclair,T Bavuma,1,0,1,97,,1,1,2,3,10,-,,0,,,field,West Indies,1,"National Cricket Stadium, St George's, Grenada",2021,06,South Africa_West Indies_2021-06-27,South Africa,South Africa,West Indies,True,166
65,T Bavuma,K Sinclair,DA Miller,4,0,4,101,,20,13,2,4,10,-,,0,,,field,West Indies,1,"National Cricket Stadium, St George's, Grenada",2021,06,South Africa_West Indies_2021-06-27,South Africa,South Africa,West Indies,True,166
66,T Bavuma,K Sinclair,DA Miller,1,0,1,102,,21,14,2,5,10,-,,0,,,field,West Indies,1,"National Cricket Stadium, St George's, Grenada",2021,06,South Africa_West Indies_2021-06-27,South Africa,South Africa,West Indies,True,166
67,DA Miller,K Sinclair,T Bavuma,1,0,1,103,,2,2,2,6,10,-,,0,,,field,West Indies,1,"National Cricket Stadium, St George's, Grenada",2021,06,South Africa_West Indies_2021-06-27,South Africa,South Africa,West Indies,True,166
68,DA Miller,JO Holder,T Bavuma,1,0,1,104,,3,3,2,1,11,-,,0,,,field,West Indies,1,"National Cricket Stadium, St George's, Grenada",2021,06,South Africa_West Indies_2021-06-27,South Africa,South Africa,West Indies,True,166
69,T Bavuma,JO Holder,DA Miller,0,0,0,104,,21,15,2,2,11,-,,0,,,field,West Indies,1,"National Cricket Stadium, St George's, Grenada",2021,06,South Africa_West Indies_2021-06-27,South Africa,South Africa,West Indies,True,166
70,T Bavuma,JO Holder,DA Miller,1,0,1,105,,22,16,2,3,11,-,,0,,,field,West Indies,1,"National Cricket Stadium, St George's, Grenada",2021,06,South Africa_West Indies_2021-06-27,South Africa,South Africa,West Indies,True,166
71,DA Miller,JO Holder,T Bavuma,0,0,0,105,,3,4,2,4,11,-,,0,,,field,West Indies,1,"National Cricket Stadium, St George's, Grenada",2021,06,South Africa_West Indies_2021-06-27,South Africa,South Africa,West Indies,True,166
72,DA Miller,JO Holder,T Bavuma,4,0,4,109,,7,5,2,5,11,-,,0,,,field,West Indies,1,"National Cricket Stadium, St George's, Grenada",2021,06,South Africa_West Indies_2021-06-27,South Africa,South Africa,West Indies,True,166
73,DA Miller,JO Holder,T Bavuma,1,0,1,110,,8,6,2,6,11,-,,0,,,field,West Indies,1,"National Cricket Stadium, St George's, Grenada",2021,06,South Africa_West Indies_2021-06-27,South Africa,South Africa,West Indies,True,166
74,DA Miller,DJ Bravo,T Bavuma,0,1,1,111,,8,7,2,1,12,wides,,0,,,field,West Indies,1,"National Cricket Stadium, St George's, Grenada",2021,06,South Africa_West Indies_2021-06-27,South Africa,South Africa,West Indies,True,166
75,DA Miller,DJ Bravo,T Bavuma,1,0,1,112,,9,8,2,2,12,-,,0,,,field,West Indies,1,"National Cricket Stadium, St George's, Grenada",2021,06,South Africa_West Indies_2021-06-27,South Africa,South Africa,West Indies,True,166
76,T Bavuma,DJ Bravo,DA Miller,6,0,6,118,,28,17,2,3,12,-,,0,,,field,West Indies,1,"National Cricket Stadium, St George's, Grenada",2021,06,South Africa_West Indies_2021-06-27,South Africa,South Africa,West Indies,True,166
77,T Bavuma,DJ Bravo,DA Miller,1,0,1,119,,29,18,2,4,12,-,,0,,,field,West Indies,1,"National Cricket Stadium, St George's, Grenada",2021,06,South Africa_West Indies_2021-06-27,South Africa,South Africa,West Indies,True,166
78,DA Miller,DJ Bravo,T Bavuma,1,0,1,120,,10,9,2,5,12,-,,0,,,field,West Indies,1,"National Cricket Stadium, St George's, Grenada",2021,06,South Africa_West Indies_2021-06-27,South Africa,South Africa,West Indies,True,166
79,T Bavuma,DJ Bravo,DA Miller,1,0,1,121,,30,19,2,6,12,-,,0,,,field,West Indies,1,"National Cricket Stadium, St George's, Grenada",2021,06,South Africa_West Indies_2021-06-27,South Africa,South Africa,West Indies,True,166
80,DA Miller,DJ Bravo,T Bavuma,1,0,1,122,,11,10,2,7,12,-,,0,,,field,West Indies,1,"National Cricket Stadium, St George's, Grenada",2021,06,South Africa_West Indies_2021-06-27,South Africa,South Africa,West Indies,True,166
81,DA Miller,OC McCoy,T Bavuma,0,0,0,122,,11,11,3,1,13,-,,caught,DA Miller,ADS Fletcher,field,West Indies,1,"National Cricket Stadium, St George's, Grenada",2021,06,South Africa_West Indies_2021-06-27,South Africa,South Africa,West Indies,True,166
82,T Bavuma,OC McCoy,HE van der Dussen,0,0,0,122,,30,20,3,2,13,-,,0,,,field,West Indies,1,"National Cricket Stadium, St George's, Grenada",2021,06,South Africa_West Indies_2021-06-27,South Africa,South Africa,West Indies,True,166
83,T Bavuma,OC McCoy,HE van der Dussen,4,0,4,126,,34,21,3,3,13,-,,0,,,field,West Indies,1,"National Cricket Stadium, St George's, Grenada",2021,06,South Africa_West Indies_2021-06-27,South Africa,South Africa,West Indies,True,166
84,T Bavuma,OC McCoy,HE van der Dussen,0,0,0,126,,34,22,3,4,13,-,,0,,,field,West Indies,1,"National Cricket Stadium, St George's, Grenada",2021,06,South Africa_West Indies_2021-06-27,South Africa,South Africa,West Indies,True,166
85,T Bavuma,OC McCoy,HE van der Dussen,1,0,1,127,,35,23,3,5,13,-,,0,,,field,West Indies,1,"National Cricket Stadium, St George's, Grenada",2021,06,South Africa_West Indies_2021-06-27,South Africa,South Africa,West Indies,True,166
86,HE van der Dussen,OC McCoy,T Bavuma,0,0,0,127,,0,1,3,6,13,-,,0,,,field,West Indies,1,"National Cricket Stadium, St George's, Grenada",2021,06,South Africa_West Indies_2021-06-27,South Africa,South Africa,West Indies,True,166
87,T Bavuma,DJ Bravo,HE van der Dussen,0,5,5,132,,35,24,3,1,14,wides,,0,,,field,West Indies,1,"National Cricket Stadium, St George's, Grenada",2021,06,South Africa_West Indies_2021-06-27,South Africa,South Africa,West Indies,True,166
88,T Bavuma,DJ Bravo,HE van der Dussen,1,0,1,133,,36,25,3,2,14,-,,0,,,field,West Indies,1,"National Cricket Stadium, St George's, Grenada",2021,06,South Africa_West Indies_2021-06-27,South Africa,South Africa,West Indies,True,166
89,HE van der Dussen,DJ Bravo,T Bavuma,0,1,1,134,,0,2,3,3,14,wides,,0,,,field,West Indies,1,"National Cricket Stadium, St George's, Grenada",2021,06,South Africa_West Indies_2021-06-27,South Africa,South Africa,West Indies,True,166
90,HE van der Dussen,DJ Bravo,T Bavuma,1,0,1,135,,1,3,3,4,14,-,,0,,,field,West Indies,1,"National Cricket Stadium, St George's, Grenada",2021,06,South Africa_West Indies_2021-06-27,South Africa,South Africa,West Indies,True,166
91,T Bavuma,DJ Bravo,HE van der Dussen,1,0,1,136,,37,26,3,5,14,-,,0,,,field,West Indies,1,"National Cricket Stadium, St George's, Grenada",2021,06,South Africa_West Indies_2021-06-27,South Africa,South Africa,West Indies,True,166
92,HE van der Dussen,DJ Bravo,T Bavuma,1,0,1,137,,2,4,3,6,14,-,,0,,,field,West Indies,1,"National Cricket Stadium, St George's, Grenada",2021,06,South Africa_West Indies_2021-06-27,South Africa,South Africa,West Indies,True,166
93,T Bavuma,DJ Bravo,HE van der Dussen,0,0,0,137,,37,27,3,7,14,-,,0,,,field,West Indies,1,"National Cricket Stadium, St George's, Grenada",2021,06,South Africa_West Indies_2021-06-27,South Africa,South Africa,West Indies,True,166
94,T Bavuma,DJ Bravo,HE van der Dussen,1,0,1,138,,38,28,3,8,14,-,,0,,,field,West Indies,1,"National Cricket Stadium, St George's, Grenada",2021,06,South Africa_West Indies_2021-06-27,South Africa,South Africa,West Indies,True,166
95,T Bavuma,AD Russell,HE van der Dussen,1,0,1,139,,39,29,3,1,15,-,,0,,,field,West Indies,1,"National Cricket Stadium, St George's, Grenada",2021,06,South Africa_West Indies_2021-06-27,South Africa,South Africa,West Indies,True,166
96,HE van der Dussen,AD Russell,T Bavuma,0,0,0,139,,2,5,4,2,15,-,,bowled,HE van der Dussen,,field,West Indies,1,"National Cricket Stadium, St George's, Grenada",2021,06,South Africa_West Indies_2021-06-27,South Africa,South Africa,West Indies,True,166
97,H Klaasen,AD Russell,T Bavuma,1,0,1,140,,1,1,4,3,15,-,,0,,,field,West Indies,1,"National Cricket Stadium, St George's, Grenada",2021,06,South Africa_West Indies_2021-06-27,South Africa,South Africa,West Indies,True,166
98,T Bavuma,AD Russell,H Klaasen,4,0,4,144,,43,30,4,4,15,-,,0,,,field,West Indies,1,"National Cricket Stadium, St George's, Grenada",2021,06,South Africa_West Indies_2021-06-27,South Africa,South Africa,West Indies,True,166
99,T Bavuma,AD Russell,H Klaasen,1,0,1,145,,44,31,4,5,15,-,,0,,,field,West Indies,1,"National Cricket Stadium, St George's, Grenada",2021,06,South Africa_West Indies_2021-06-27,South Africa,South Africa,West Indies,True,166
100,H Klaasen,AD Russell,T Bavuma,0,0,0,145,,1,2,4,6,15,-,,0,,,field,West Indies,1,"National Cricket Stadium, St George's, Grenada",2021,06,South Africa_West Indies_2021-06-27,South Africa,South Africa,West Indies,True,166
101,T Bavuma,JO Holder,H Klaasen,1,0,1,146,,45,32,4,1,16,-,,0,,,field,West Indies,1,"National Cricket Stadium, St George's, Grenada",2021,06,South Africa_West Indies_2021-06-27,South Africa,South Africa,West Indies,True,166
102,H Klaasen,JO Holder,T Bavuma,1,0,1,147,,2,3,4,2,16,-,,0,,,field,West Indies,1,"National Cricket Stadium, St George's, Grenada",2021,06,South Africa_West Indies_2021-06-27,South Africa,South Africa,West Indies,True,166
103,T Bavuma,JO Holder,H Klaasen,1,0,1,148,,46,33,4,3,16,-,,0,,,field,West Indies,1,"National Cricket Stadium, St George's, Grenada",2021,06,South Africa_West Indies_2021-06-27,South Africa,South Africa,West Indies,True,166
104,H Klaasen,JO Holder,T Bavuma,1,0,1,149,,3,4,4,4,16,-,,0,,,field,West Indies,1,"National Cricket Stadium, St George's, Grenada",2021,06,South Africa_West Indies_2021-06-27,South Africa,South Africa,West Indies,True,166
105,T Bavuma,JO Holder,H Klaasen,0,0,0,149,,46,34,5,5,16,-,,bowled,T Bavuma,,field,West Indies,1,"National Cricket Stadium, St George's, Grenada",2021,06,South Africa_West Indies_2021-06-27,South Africa,South Africa,West Indies,True,166
106,GF Linde,JO Holder,H Klaasen,1,0,1,150,,1,1,5,6,16,-,,0,,,field,West Indies,1,"National Cricket Stadium, St George's, Grenada",2021,06,South Africa_West Indies_2021-06-27,South Africa,South Africa,West Indies,True,166
107,GF Linde,OC McCoy,H Klaasen,2,0,2,152,,3,2,5,1,17,-,,0,,,field,West Indies,1,"National Cricket Stadium, St George's, Grenada",2021,06,South Africa_West Indies_2021-06-27,South Africa,South Africa,West Indies,True,166
108,GF Linde,OC McCoy,H Klaasen,0,0,0,152,,3,3,6,2,17,-,"{'by': 'West Indies', 'umpire': 'N Duguid', 'batter': 'GF Linde', 'decision': 'upheld'}",lbw,GF Linde,,field,West Indies,1,"National Cricket Stadium, St George's, Grenada",2021,06,South Africa_West Indies_2021-06-27,South Africa,South Africa,West Indies,True,166
109,K Rabada,OC McCoy,H Klaasen,1,0,1,153,,1,1,6,3,17,-,,0,,,field,West Indies,1,"National Cricket Stadium, St George's, Grenada",2021,06,South Africa_West Indies_2021-06-27,South Africa,South Africa,West Indies,True,166
110,H Klaasen,OC McCoy,K Rabada,2,0,2,155,,5,5,6,4,17,-,,0,,,field,West Indies,1,"National Cricket Stadium, St George's, Grenada",2021,06,South Africa_West Indies_2021-06-27,South Africa,South Africa,West Indies,True,166
111,H Klaasen,OC McCoy,K Rabada,1,0,1,156,,6,6,6,5,17,-,,0,,,field,West Indies,1,"National Cricket Stadium, St George's, Grenada",2021,06,South Africa_West Indies_2021-06-27,South Africa,South Africa,West Indies,True,166
