,batter,bowler,non_striker,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,over,wicket_type,player_out,fielder,extra_type,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,final_team_final
31,DPMD Jayawardene,MG Johnson,LD Chandimal,4,0,4,49,149,39,21,1,2,6,0,,,-,bat,Sri Lanka,1,Pallekele International Cricket Stadium,2011,08,Sri Lanka_Australia_2011-08-08,Sri Lanka,Sri Lanka,Australia,157
32,DPMD Jayawardene,MG Johnson,LD Chandimal,4,0,4,53,145,43,22,1,3,6,0,,,-,bat,Sri Lanka,1,Pallekele International Cricket Stadium,2011,08,Sri Lanka_Australia_2011-08-08,Sri Lanka,Sri Lanka,Australia,157
33,DPMD Jayawardene,MG Johnson,LD Chandimal,0,0,0,53,145,43,23,1,4,6,0,,,-,bat,Sri Lanka,1,Pallekele International Cricket Stadium,2011,08,Sri Lanka_Australia_2011-08-08,Sri Lanka,Sri Lanka,Australia,157
34,DPMD Jayawardene,MG Johnson,LD Chandimal,1,0,1,54,144,44,24,1,5,6,0,,,-,bat,Sri Lanka,1,Pallekele International Cricket Stadium,2011,08,Sri Lanka_Australia_2011-08-08,Sri Lanka,Sri Lanka,Australia,157
35,LD Chandimal,MG Johnson,DPMD Jayawardene,0,0,0,54,144,6,6,1,6,6,0,,,-,bat,Sri Lanka,1,Pallekele International Cricket Stadium,2011,08,Sri Lanka_Australia_2011-08-08,Sri Lanka,Sri Lanka,Australia,157
36,DPMD Jayawardene,SNJ O'Keefe,LD Chandimal,2,0,2,56,142,46,25,1,1,7,0,,,-,bat,Sri Lanka,1,Pallekele International Cricket Stadium,2011,08,Sri Lanka_Australia_2011-08-08,Sri Lanka,Sri Lanka,Australia,157
37,DPMD Jayawardene,SNJ O'Keefe,LD Chandimal,0,0,0,56,142,46,26,1,2,7,0,,,-,bat,Sri Lanka,1,Pallekele International Cricket Stadium,2011,08,Sri Lanka_Australia_2011-08-08,Sri Lanka,Sri Lanka,Australia,157
38,DPMD Jayawardene,SNJ O'Keefe,LD Chandimal,0,0,0,56,142,46,27,1,3,7,0,,,-,bat,Sri Lanka,1,Pallekele International Cricket Stadium,2011,08,Sri Lanka_Australia_2011-08-08,Sri Lanka,Sri Lanka,Australia,157
39,DPMD Jayawardene,SNJ O'Keefe,LD Chandimal,1,0,1,57,141,47,28,1,4,7,0,,,-,bat,Sri Lanka,1,Pallekele International Cricket Stadium,2011,08,Sri Lanka_Australia_2011-08-08,Sri Lanka,Sri Lanka,Australia,157
40,LD Chandimal,SNJ O'Keefe,DPMD Jayawardene,1,0,1,58,140,7,7,1,5,7,0,,,-,bat,Sri Lanka,1,Pallekele International Cricket Stadium,2011,08,Sri Lanka_Australia_2011-08-08,Sri Lanka,Sri Lanka,Australia,157
