,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,batter_runs,balls_faced,delivery,wicket_type,player_out,fielder,over,extras,extra_type,replacements,toss_decision,toss_winner,innings,venue,date,batting_team,bowling_team
36,PBB Rajapaksa,LS Livingstone,WIA Fernando,1,0,1,41,6,5,1,0,,,7,,-,,field,Sri Lanka,2,Sharjah Cricket Stadium,2021-11-01,Sri Lanka,England
37,WIA Fernando,LS Livingstone,PBB Rajapaksa,1,0,1,42,7,7,2,0,,,7,,-,,field,Sri Lanka,2,Sharjah Cricket Stadium,2021-11-01,Sri Lanka,England
38,PBB Rajapaksa,LS Livingstone,WIA Fernando,6,0,6,48,12,6,3,0,,,7,,-,,field,Sri Lanka,2,Sharjah Cricket Stadium,2021-11-01,Sri Lanka,England
39,PBB Rajapaksa,LS Livingstone,WIA Fernando,0,0,0,48,12,7,4,0,,,7,,-,,field,Sri Lanka,2,Sharjah Cricket Stadium,2021-11-01,Sri Lanka,England
40,PBB Rajapaksa,LS Livingstone,WIA Fernando,1,0,1,49,13,8,5,0,,,7,,-,,field,Sri Lanka,2,Sharjah Cricket Stadium,2021-11-01,Sri Lanka,England
41,WIA Fernando,LS Livingstone,PBB Rajapaksa,1,0,1,50,8,8,6,0,,,7,,-,,field,Sri Lanka,2,Sharjah Cricket Stadium,2021-11-01,Sri Lanka,England
42,WIA Fernando,AU Rashid,PBB Rajapaksa,0,0,0,50,8,9,1,0,,,8,,-,,field,Sri Lanka,2,Sharjah Cricket Stadium,2021-11-01,Sri Lanka,England
43,WIA Fernando,AU Rashid,PBB Rajapaksa,1,0,1,51,9,10,2,0,,,8,,-,,field,Sri Lanka,2,Sharjah Cricket Stadium,2021-11-01,Sri Lanka,England
44,PBB Rajapaksa,AU Rashid,WIA Fernando,0,0,0,51,13,9,3,0,,,8,,-,,field,Sri Lanka,2,Sharjah Cricket Stadium,2021-11-01,Sri Lanka,England
45,PBB Rajapaksa,AU Rashid,WIA Fernando,1,0,1,52,14,10,4,0,,,8,,-,,field,Sri Lanka,2,Sharjah Cricket Stadium,2021-11-01,Sri Lanka,England
46,WIA Fernando,AU Rashid,PBB Rajapaksa,0,0,0,52,9,11,5,0,,,8,,-,,field,Sri Lanka,2,Sharjah Cricket Stadium,2021-11-01,Sri Lanka,England
47,WIA Fernando,AU Rashid,PBB Rajapaksa,2,0,2,54,11,12,6,0,,,8,,-,,field,Sri Lanka,2,Sharjah Cricket Stadium,2021-11-01,Sri Lanka,England
48,PBB Rajapaksa,CJ Jordan,WIA Fernando,1,0,1,55,15,11,1,0,,,9,,-,,field,Sri Lanka,2,Sharjah Cricket Stadium,2021-11-01,Sri Lanka,England
49,WIA Fernando,CJ Jordan,PBB Rajapaksa,2,0,2,57,13,13,2,0,,,9,,-,,field,Sri Lanka,2,Sharjah Cricket Stadium,2021-11-01,Sri Lanka,England
50,WIA Fernando,CJ Jordan,PBB Rajapaksa,0,0,0,57,13,14,3,lbw,WIA Fernando,,9,,-,,field,Sri Lanka,2,Sharjah Cricket Stadium,2021-11-01,Sri Lanka,England
51,MD Shanaka,CJ Jordan,PBB Rajapaksa,0,0,0,57,0,1,4,0,,,9,,-,,field,Sri Lanka,2,Sharjah Cricket Stadium,2021-11-01,Sri Lanka,England
52,MD Shanaka,CJ Jordan,PBB Rajapaksa,0,0,0,57,0,2,5,0,,,9,,-,,field,Sri Lanka,2,Sharjah Cricket Stadium,2021-11-01,Sri Lanka,England
53,MD Shanaka,CJ Jordan,PBB Rajapaksa,1,0,1,58,1,3,6,0,,,9,,-,,field,Sri Lanka,2,Sharjah Cricket Stadium,2021-11-01,Sri Lanka,England
54,MD Shanaka,TS Mills,PBB Rajapaksa,1,0,1,59,2,4,1,0,,,10,,-,,field,Sri Lanka,2,Sharjah Cricket Stadium,2021-11-01,Sri Lanka,England
55,PBB Rajapaksa,TS Mills,MD Shanaka,0,1,1,60,15,12,2,0,,,10,{'legbyes': 1},legbyes,,field,Sri Lanka,2,Sharjah Cricket Stadium,2021-11-01,Sri Lanka,England
56,MD Shanaka,TS Mills,PBB Rajapaksa,0,0,0,60,2,5,3,0,,,10,,-,,field,Sri Lanka,2,Sharjah Cricket Stadium,2021-11-01,Sri Lanka,England
57,MD Shanaka,TS Mills,PBB Rajapaksa,4,0,4,64,6,6,4,0,,,10,,-,,field,Sri Lanka,2,Sharjah Cricket Stadium,2021-11-01,Sri Lanka,England
58,MD Shanaka,TS Mills,PBB Rajapaksa,1,0,1,65,7,7,5,0,,,10,,-,,field,Sri Lanka,2,Sharjah Cricket Stadium,2021-11-01,Sri Lanka,England
59,PBB Rajapaksa,TS Mills,MD Shanaka,1,0,1,66,16,13,6,0,,,10,,-,,field,Sri Lanka,2,Sharjah Cricket Stadium,2021-11-01,Sri Lanka,England
60,PBB Rajapaksa,CR Woakes,MD Shanaka,0,0,0,66,16,14,1,0,,,11,,-,,field,Sri Lanka,2,Sharjah Cricket Stadium,2021-11-01,Sri Lanka,England
61,PBB Rajapaksa,CR Woakes,MD Shanaka,0,0,0,66,16,15,2,0,,,11,,-,,field,Sri Lanka,2,Sharjah Cricket Stadium,2021-11-01,Sri Lanka,England
62,PBB Rajapaksa,CR Woakes,MD Shanaka,6,0,6,72,22,16,3,0,,,11,,-,,field,Sri Lanka,2,Sharjah Cricket Stadium,2021-11-01,Sri Lanka,England
63,PBB Rajapaksa,CR Woakes,MD Shanaka,4,0,4,76,26,17,4,0,,,11,,-,,field,Sri Lanka,2,Sharjah Cricket Stadium,2021-11-01,Sri Lanka,England
64,PBB Rajapaksa,CR Woakes,MD Shanaka,0,0,0,76,26,18,5,caught,PBB Rajapaksa,JJ Roy,11,,-,,field,Sri Lanka,2,Sharjah Cricket Stadium,2021-11-01,Sri Lanka,England
65,PWH de Silva,CR Woakes,MD Shanaka,1,0,1,77,1,1,6,0,,,11,,-,,field,Sri Lanka,2,Sharjah Cricket Stadium,2021-11-01,Sri Lanka,England
66,PWH de Silva,AU Rashid,MD Shanaka,1,0,1,78,2,2,1,0,,,12,,-,,field,Sri Lanka,2,Sharjah Cricket Stadium,2021-11-01,Sri Lanka,England
67,MD Shanaka,AU Rashid,PWH de Silva,0,0,0,78,7,8,2,0,,,12,,-,,field,Sri Lanka,2,Sharjah Cricket Stadium,2021-11-01,Sri Lanka,England
68,MD Shanaka,AU Rashid,PWH de Silva,1,0,1,79,8,9,3,0,,,12,,-,,field,Sri Lanka,2,Sharjah Cricket Stadium,2021-11-01,Sri Lanka,England
69,PWH de Silva,AU Rashid,MD Shanaka,2,0,2,81,4,3,4,0,,,12,,-,,field,Sri Lanka,2,Sharjah Cricket Stadium,2021-11-01,Sri Lanka,England
70,PWH de Silva,AU Rashid,MD Shanaka,0,0,0,81,4,4,5,0,,,12,,-,,field,Sri Lanka,2,Sharjah Cricket Stadium,2021-11-01,Sri Lanka,England
71,PWH de Silva,AU Rashid,MD Shanaka,1,0,1,82,5,5,6,0,,,12,,-,,field,Sri Lanka,2,Sharjah Cricket Stadium,2021-11-01,Sri Lanka,England
72,PWH de Silva,LS Livingstone,MD Shanaka,4,0,4,86,9,6,1,0,,,13,,-,,field,Sri Lanka,2,Sharjah Cricket Stadium,2021-11-01,Sri Lanka,England
73,PWH de Silva,LS Livingstone,MD Shanaka,1,0,1,87,10,7,2,0,,,13,,-,,field,Sri Lanka,2,Sharjah Cricket Stadium,2021-11-01,Sri Lanka,England
74,MD Shanaka,LS Livingstone,PWH de Silva,1,0,1,88,9,10,3,0,,,13,,-,,field,Sri Lanka,2,Sharjah Cricket Stadium,2021-11-01,Sri Lanka,England
75,PWH de Silva,LS Livingstone,MD Shanaka,1,0,1,89,11,8,4,0,,,13,,-,,field,Sri Lanka,2,Sharjah Cricket Stadium,2021-11-01,Sri Lanka,England
76,MD Shanaka,LS Livingstone,PWH de Silva,0,0,0,89,9,11,5,0,,,13,,-,,field,Sri Lanka,2,Sharjah Cricket Stadium,2021-11-01,Sri Lanka,England
77,MD Shanaka,LS Livingstone,PWH de Silva,0,0,0,89,9,12,6,0,,,13,,-,,field,Sri Lanka,2,Sharjah Cricket Stadium,2021-11-01,Sri Lanka,England
78,PWH de Silva,TS Mills,MD Shanaka,6,0,6,95,17,9,1,0,,,14,,-,,field,Sri Lanka,2,Sharjah Cricket Stadium,2021-11-01,Sri Lanka,England
79,PWH de Silva,TS Mills,MD Shanaka,1,0,1,96,18,10,2,0,,,14,,-,,field,Sri Lanka,2,Sharjah Cricket Stadium,2021-11-01,Sri Lanka,England
80,MD Shanaka,TS Mills,PWH de Silva,0,1,1,97,9,13,3,0,,,14,{'wides': 1},wides,,field,Sri Lanka,2,Sharjah Cricket Stadium,2021-11-01,Sri Lanka,England
81,MD Shanaka,TS Mills,PWH de Silva,4,0,4,101,13,14,4,0,,,14,,-,,field,Sri Lanka,2,Sharjah Cricket Stadium,2021-11-01,Sri Lanka,England
82,MD Shanaka,CR Woakes,PWH de Silva,1,0,1,102,14,15,5,0,,,14,,-,"{'role': [{'in': 'CR Woakes', 'out': 'TS Mills', 'reason': 'injury', 'role': 'bowler'}]}",field,Sri Lanka,2,Sharjah Cricket Stadium,2021-11-01,Sri Lanka,England
83,PWH de Silva,CR Woakes,MD Shanaka,1,0,1,103,19,11,6,0,,,14,,-,,field,Sri Lanka,2,Sharjah Cricket Stadium,2021-11-01,Sri Lanka,England
84,MD Shanaka,CR Woakes,PWH de Silva,0,0,0,103,14,16,7,0,,,14,,-,,field,Sri Lanka,2,Sharjah Cricket Stadium,2021-11-01,Sri Lanka,England
85,PWH de Silva,LS Livingstone,MD Shanaka,1,0,1,104,20,12,1,0,,,15,,-,,field,Sri Lanka,2,Sharjah Cricket Stadium,2021-11-01,Sri Lanka,England
86,MD Shanaka,LS Livingstone,PWH de Silva,0,0,0,104,14,17,2,0,,,15,,-,,field,Sri Lanka,2,Sharjah Cricket Stadium,2021-11-01,Sri Lanka,England
87,MD Shanaka,LS Livingstone,PWH de Silva,1,0,1,105,15,18,3,0,,,15,,-,,field,Sri Lanka,2,Sharjah Cricket Stadium,2021-11-01,Sri Lanka,England
88,PWH de Silva,LS Livingstone,MD Shanaka,1,0,1,106,21,13,4,0,,,15,,-,,field,Sri Lanka,2,Sharjah Cricket Stadium,2021-11-01,Sri Lanka,England
89,MD Shanaka,LS Livingstone,PWH de Silva,6,0,6,112,21,19,5,0,,,15,,-,,field,Sri Lanka,2,Sharjah Cricket Stadium,2021-11-01,Sri Lanka,England
90,MD Shanaka,LS Livingstone,PWH de Silva,1,0,1,113,22,20,6,0,,,15,,-,,field,Sri Lanka,2,Sharjah Cricket Stadium,2021-11-01,Sri Lanka,England
91,MD Shanaka,CJ Jordan,PWH de Silva,1,0,1,114,23,21,1,0,,,16,,-,,field,Sri Lanka,2,Sharjah Cricket Stadium,2021-11-01,Sri Lanka,England
92,PWH de Silva,CJ Jordan,MD Shanaka,1,0,1,115,22,14,2,0,,,16,,-,,field,Sri Lanka,2,Sharjah Cricket Stadium,2021-11-01,Sri Lanka,England
93,MD Shanaka,CJ Jordan,PWH de Silva,1,0,1,116,24,22,3,0,,,16,,-,,field,Sri Lanka,2,Sharjah Cricket Stadium,2021-11-01,Sri Lanka,England
94,PWH de Silva,CJ Jordan,MD Shanaka,2,0,2,118,24,15,4,0,,,16,,-,,field,Sri Lanka,2,Sharjah Cricket Stadium,2021-11-01,Sri Lanka,England
95,PWH de Silva,CJ Jordan,MD Shanaka,4,0,4,122,28,16,5,0,,,16,,-,,field,Sri Lanka,2,Sharjah Cricket Stadium,2021-11-01,Sri Lanka,England
96,PWH de Silva,CJ Jordan,MD Shanaka,1,0,1,123,29,17,6,0,,,16,,-,,field,Sri Lanka,2,Sharjah Cricket Stadium,2021-11-01,Sri Lanka,England
97,PWH de Silva,LS Livingstone,MD Shanaka,0,0,0,123,29,18,1,0,,,17,,-,,field,Sri Lanka,2,Sharjah Cricket Stadium,2021-11-01,Sri Lanka,England
98,PWH de Silva,LS Livingstone,MD Shanaka,1,0,1,124,30,19,2,0,,,17,,-,,field,Sri Lanka,2,Sharjah Cricket Stadium,2021-11-01,Sri Lanka,England
99,MD Shanaka,LS Livingstone,PWH de Silva,1,0,1,125,25,23,3,0,,,17,,-,,field,Sri Lanka,2,Sharjah Cricket Stadium,2021-11-01,Sri Lanka,England
100,PWH de Silva,LS Livingstone,MD Shanaka,4,0,4,129,34,20,4,0,,,17,,-,,field,Sri Lanka,2,Sharjah Cricket Stadium,2021-11-01,Sri Lanka,England
101,PWH de Silva,LS Livingstone,MD Shanaka,0,0,0,129,34,21,5,caught,PWH de Silva,SW Billings,17,,-,,field,Sri Lanka,2,Sharjah Cricket Stadium,2021-11-01,Sri Lanka,England
102,MD Shanaka,LS Livingstone,C Karunaratne,1,0,1,130,26,24,6,0,,,17,,-,,field,Sri Lanka,2,Sharjah Cricket Stadium,2021-11-01,Sri Lanka,England
103,MD Shanaka,CJ Jordan,C Karunaratne,0,0,0,130,26,25,1,0,,,18,,-,,field,Sri Lanka,2,Sharjah Cricket Stadium,2021-11-01,Sri Lanka,England
104,MD Shanaka,CJ Jordan,C Karunaratne,0,0,0,130,26,26,2,run out,MD Shanaka,JC Buttler,18,,-,,field,Sri Lanka,2,Sharjah Cricket Stadium,2021-11-01,Sri Lanka,England
105,PVD Chameera,CJ Jordan,C Karunaratne,0,0,0,130,0,1,3,0,,,18,,-,,field,Sri Lanka,2,Sharjah Cricket Stadium,2021-11-01,Sri Lanka,England
106,PVD Chameera,CJ Jordan,C Karunaratne,0,0,0,130,0,2,4,0,,,18,,-,,field,Sri Lanka,2,Sharjah Cricket Stadium,2021-11-01,Sri Lanka,England
107,PVD Chameera,CJ Jordan,C Karunaratne,4,0,4,134,4,3,5,0,,,18,,-,,field,Sri Lanka,2,Sharjah Cricket Stadium,2021-11-01,Sri Lanka,England
108,PVD Chameera,CJ Jordan,C Karunaratne,0,0,0,134,4,4,6,caught,PVD Chameera,DJ Malan,18,,-,,field,Sri Lanka,2,Sharjah Cricket Stadium,2021-11-01,Sri Lanka,England
109,C Karunaratne,MM Ali,M Theekshana,0,0,0,134,0,1,1,0,,,19,,-,,field,Sri Lanka,2,Sharjah Cricket Stadium,2021-11-01,Sri Lanka,England
110,C Karunaratne,MM Ali,M Theekshana,0,0,0,134,0,2,2,caught,C Karunaratne,JJ Roy,19,,-,,field,Sri Lanka,2,Sharjah Cricket Stadium,2021-11-01,Sri Lanka,England
111,CBRLS Kumara,MM Ali,M Theekshana,0,0,0,134,0,1,3,0,,,19,,-,,field,Sri Lanka,2,Sharjah Cricket Stadium,2021-11-01,Sri Lanka,England
112,CBRLS Kumara,MM Ali,M Theekshana,1,0,1,135,1,2,4,0,,,19,,-,,field,Sri Lanka,2,Sharjah Cricket Stadium,2021-11-01,Sri Lanka,England
113,M Theekshana,MM Ali,CBRLS Kumara,2,0,2,137,2,1,5,0,,,19,,-,,field,Sri Lanka,2,Sharjah Cricket Stadium,2021-11-01,Sri Lanka,England
114,M Theekshana,MM Ali,CBRLS Kumara,0,0,0,137,2,2,6,caught,M Theekshana,CJ Jordan,19,,-,,field,Sri Lanka,2,Sharjah Cricket Stadium,2021-11-01,Sri Lanka,England
