,batter,bowler,extras,non_striker,runs_by_bat,extra_runs,total,team_total,batter_runs,balls_faced,delivery,extra_type,over,wicket_type,toss_decision,toss_winner,innings,venue,date,batting_team,bowling_team
66,BB McCullum,KM Jarvis,,MJ Guptill,2,0,2,78,45,35,3,-,11,0,field,New Zealand,2,Harare Sports Club,2011-10-15,New Zealand,Zimbabwe
67,BB McCullum,KM Jarvis,,MJ Guptill,4,0,4,82,49,36,4,-,11,0,field,New Zealand,2,Harare Sports Club,2011-10-15,New Zealand,Zimbabwe
68,BB McCullum,KM Jarvis,,MJ Guptill,0,0,0,82,49,37,5,-,11,0,field,New Zealand,2,Harare Sports Club,2011-10-15,New Zealand,Zimbabwe
69,BB McCullum,KM Jarvis,,MJ Guptill,2,0,2,84,51,38,6,-,11,0,field,New Zealand,2,Harare Sports Club,2011-10-15,New Zealand,Zimbabwe
70,BB McCullum,KM Jarvis,,MJ Guptill,6,0,6,90,57,39,7,-,11,0,field,New Zealand,2,Harare Sports Club,2011-10-15,New Zealand,Zimbabwe
71,MJ Guptill,CJ Chibhabha,,BB McCullum,4,0,4,94,31,33,1,-,12,0,field,New Zealand,2,Harare Sports Club,2011-10-15,New Zealand,Zimbabwe
72,MJ Guptill,CJ Chibhabha,,BB McCullum,1,0,1,95,32,34,2,-,12,0,field,New Zealand,2,Harare Sports Club,2011-10-15,New Zealand,Zimbabwe
73,BB McCullum,CJ Chibhabha,,MJ Guptill,6,0,6,101,63,40,3,-,12,0,field,New Zealand,2,Harare Sports Club,2011-10-15,New Zealand,Zimbabwe
74,BB McCullum,CJ Chibhabha,,MJ Guptill,6,0,6,107,69,41,4,-,12,0,field,New Zealand,2,Harare Sports Club,2011-10-15,New Zealand,Zimbabwe
75,BB McCullum,CJ Chibhabha,,MJ Guptill,2,0,2,109,71,42,5,-,12,0,field,New Zealand,2,Harare Sports Club,2011-10-15,New Zealand,Zimbabwe
76,BB McCullum,CJ Chibhabha,,MJ Guptill,1,0,1,110,72,43,6,-,12,0,field,New Zealand,2,Harare Sports Club,2011-10-15,New Zealand,Zimbabwe
77,BB McCullum,H Masakadza,,MJ Guptill,1,0,1,111,73,44,1,-,13,0,field,New Zealand,2,Harare Sports Club,2011-10-15,New Zealand,Zimbabwe
78,MJ Guptill,H Masakadza,,BB McCullum,0,0,0,111,32,35,2,-,13,0,field,New Zealand,2,Harare Sports Club,2011-10-15,New Zealand,Zimbabwe
79,MJ Guptill,H Masakadza,,BB McCullum,6,0,6,117,38,36,3,-,13,0,field,New Zealand,2,Harare Sports Club,2011-10-15,New Zealand,Zimbabwe
80,MJ Guptill,H Masakadza,,BB McCullum,1,0,1,118,39,37,4,-,13,0,field,New Zealand,2,Harare Sports Club,2011-10-15,New Zealand,Zimbabwe
81,BB McCullum,H Masakadza,,MJ Guptill,0,0,0,118,73,45,5,-,13,0,field,New Zealand,2,Harare Sports Club,2011-10-15,New Zealand,Zimbabwe
82,BB McCullum,H Masakadza,,MJ Guptill,2,0,2,120,75,46,6,-,13,0,field,New Zealand,2,Harare Sports Club,2011-10-15,New Zealand,Zimbabwe
83,MJ Guptill,RW Price,,BB McCullum,0,0,0,120,39,38,1,-,14,0,field,New Zealand,2,Harare Sports Club,2011-10-15,New Zealand,Zimbabwe
84,MJ Guptill,RW Price,,BB McCullum,1,0,1,121,40,39,2,-,14,0,field,New Zealand,2,Harare Sports Club,2011-10-15,New Zealand,Zimbabwe
85,BB McCullum,RW Price,,MJ Guptill,6,0,6,127,81,47,3,-,14,0,field,New Zealand,2,Harare Sports Club,2011-10-15,New Zealand,Zimbabwe
