,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,batter_runs,balls_faced,delivery,over,wicket_type,player_out,fielder,review,extras,extra_type,toss_decision,toss_winner,innings,venue,date,batting_team,bowling_team
42,MR Marsh,Shoriful Islam,MC Henriques,4,0,4,38,15,14,1,8,0,,,,,-,bat,Australia,1,"Shere Bangla National Stadium, Mirpur",2021-08-04,Australia,Bangladesh
43,MR Marsh,Shoriful Islam,MC Henriques,1,0,1,39,16,15,2,8,0,,,,,-,bat,Australia,1,"Shere Bangla National Stadium, Mirpur",2021-08-04,Australia,Bangladesh
44,MC Henriques,Shoriful Islam,MR Marsh,1,0,1,40,3,5,3,8,0,,,,,-,bat,Australia,1,"Shere Bangla National Stadium, Mirpur",2021-08-04,Australia,Bangladesh
45,MR Marsh,Shoriful Islam,MC Henriques,0,0,0,40,16,16,4,8,0,,,,,-,bat,Australia,1,"Shere Bangla National Stadium, Mirpur",2021-08-04,Australia,Bangladesh
46,MR Marsh,Shoriful Islam,MC Henriques,2,0,2,42,18,17,5,8,0,,,,,-,bat,Australia,1,"Shere Bangla National Stadium, Mirpur",2021-08-04,Australia,Bangladesh
47,MR Marsh,Shoriful Islam,MC Henriques,1,0,1,43,19,18,6,8,0,,,,,-,bat,Australia,1,"Shere Bangla National Stadium, Mirpur",2021-08-04,Australia,Bangladesh
48,MR Marsh,Nasum Ahmed,MC Henriques,1,0,1,44,20,19,1,9,0,,,,,-,bat,Australia,1,"Shere Bangla National Stadium, Mirpur",2021-08-04,Australia,Bangladesh
49,MC Henriques,Nasum Ahmed,MR Marsh,0,0,0,44,3,6,2,9,0,,,,,-,bat,Australia,1,"Shere Bangla National Stadium, Mirpur",2021-08-04,Australia,Bangladesh
50,MC Henriques,Nasum Ahmed,MR Marsh,1,0,1,45,4,7,3,9,0,,,,,-,bat,Australia,1,"Shere Bangla National Stadium, Mirpur",2021-08-04,Australia,Bangladesh
51,MR Marsh,Nasum Ahmed,MC Henriques,0,0,0,45,20,20,4,9,0,,,,,-,bat,Australia,1,"Shere Bangla National Stadium, Mirpur",2021-08-04,Australia,Bangladesh
52,MR Marsh,Nasum Ahmed,MC Henriques,1,0,1,46,21,21,5,9,0,,,,,-,bat,Australia,1,"Shere Bangla National Stadium, Mirpur",2021-08-04,Australia,Bangladesh
53,MC Henriques,Nasum Ahmed,MR Marsh,0,0,0,46,4,8,6,9,0,,,,,-,bat,Australia,1,"Shere Bangla National Stadium, Mirpur",2021-08-04,Australia,Bangladesh
54,MR Marsh,Soumya Sarkar,MC Henriques,1,0,1,47,22,22,1,10,0,,,,,-,bat,Australia,1,"Shere Bangla National Stadium, Mirpur",2021-08-04,Australia,Bangladesh
55,MC Henriques,Soumya Sarkar,MR Marsh,1,0,1,48,5,9,2,10,0,,,,,-,bat,Australia,1,"Shere Bangla National Stadium, Mirpur",2021-08-04,Australia,Bangladesh
56,MR Marsh,Soumya Sarkar,MC Henriques,0,0,0,48,22,23,3,10,0,,,,,-,bat,Australia,1,"Shere Bangla National Stadium, Mirpur",2021-08-04,Australia,Bangladesh
57,MR Marsh,Soumya Sarkar,MC Henriques,4,0,4,52,26,24,4,10,0,,,,,-,bat,Australia,1,"Shere Bangla National Stadium, Mirpur",2021-08-04,Australia,Bangladesh
58,MR Marsh,Soumya Sarkar,MC Henriques,0,0,0,52,26,25,5,10,0,,,,,-,bat,Australia,1,"Shere Bangla National Stadium, Mirpur",2021-08-04,Australia,Bangladesh
59,MR Marsh,Soumya Sarkar,MC Henriques,1,0,1,53,27,26,6,10,0,,,,,-,bat,Australia,1,"Shere Bangla National Stadium, Mirpur",2021-08-04,Australia,Bangladesh
60,MR Marsh,Nasum Ahmed,MC Henriques,1,0,1,54,28,27,1,11,0,,,,,-,bat,Australia,1,"Shere Bangla National Stadium, Mirpur",2021-08-04,Australia,Bangladesh
61,MC Henriques,Nasum Ahmed,MR Marsh,6,0,6,60,11,10,2,11,0,,,,,-,bat,Australia,1,"Shere Bangla National Stadium, Mirpur",2021-08-04,Australia,Bangladesh
62,MC Henriques,Nasum Ahmed,MR Marsh,0,0,0,60,11,11,3,11,0,,,,,-,bat,Australia,1,"Shere Bangla National Stadium, Mirpur",2021-08-04,Australia,Bangladesh
63,MC Henriques,Nasum Ahmed,MR Marsh,1,0,1,61,12,12,4,11,0,,,,,-,bat,Australia,1,"Shere Bangla National Stadium, Mirpur",2021-08-04,Australia,Bangladesh
64,MR Marsh,Nasum Ahmed,MC Henriques,1,0,1,62,29,28,5,11,0,,,,,-,bat,Australia,1,"Shere Bangla National Stadium, Mirpur",2021-08-04,Australia,Bangladesh
65,MC Henriques,Nasum Ahmed,MR Marsh,0,0,0,62,12,13,6,11,0,,,,,-,bat,Australia,1,"Shere Bangla National Stadium, Mirpur",2021-08-04,Australia,Bangladesh
66,MR Marsh,Mustafizur Rahman,MC Henriques,0,0,0,62,29,29,1,12,0,,,,,-,bat,Australia,1,"Shere Bangla National Stadium, Mirpur",2021-08-04,Australia,Bangladesh
67,MR Marsh,Mustafizur Rahman,MC Henriques,1,0,1,63,30,30,2,12,0,,,,,-,bat,Australia,1,"Shere Bangla National Stadium, Mirpur",2021-08-04,Australia,Bangladesh
68,MC Henriques,Mustafizur Rahman,MR Marsh,1,0,1,64,13,14,3,12,0,,,,,-,bat,Australia,1,"Shere Bangla National Stadium, Mirpur",2021-08-04,Australia,Bangladesh
69,MR Marsh,Mustafizur Rahman,MC Henriques,1,0,1,65,31,31,4,12,0,,,,,-,bat,Australia,1,"Shere Bangla National Stadium, Mirpur",2021-08-04,Australia,Bangladesh
70,MC Henriques,Mustafizur Rahman,MR Marsh,1,0,1,66,14,15,5,12,0,,,,,-,bat,Australia,1,"Shere Bangla National Stadium, Mirpur",2021-08-04,Australia,Bangladesh
71,MR Marsh,Mustafizur Rahman,MC Henriques,1,0,1,67,32,32,6,12,0,,,,,-,bat,Australia,1,"Shere Bangla National Stadium, Mirpur",2021-08-04,Australia,Bangladesh
72,MR Marsh,Shakib Al Hasan,MC Henriques,1,0,1,68,33,33,1,13,0,,,,,-,bat,Australia,1,"Shere Bangla National Stadium, Mirpur",2021-08-04,Australia,Bangladesh
73,MC Henriques,Shakib Al Hasan,MR Marsh,4,0,4,72,18,16,2,13,0,,,,,-,bat,Australia,1,"Shere Bangla National Stadium, Mirpur",2021-08-04,Australia,Bangladesh
74,MC Henriques,Shakib Al Hasan,MR Marsh,1,0,1,73,19,17,3,13,0,,,,,-,bat,Australia,1,"Shere Bangla National Stadium, Mirpur",2021-08-04,Australia,Bangladesh
75,MR Marsh,Shakib Al Hasan,MC Henriques,2,0,2,75,35,34,4,13,0,,,,,-,bat,Australia,1,"Shere Bangla National Stadium, Mirpur",2021-08-04,Australia,Bangladesh
76,MR Marsh,Shakib Al Hasan,MC Henriques,1,0,1,76,36,35,5,13,0,,,,,-,bat,Australia,1,"Shere Bangla National Stadium, Mirpur",2021-08-04,Australia,Bangladesh
77,MC Henriques,Shakib Al Hasan,MR Marsh,1,0,1,77,20,18,6,13,0,,,,,-,bat,Australia,1,"Shere Bangla National Stadium, Mirpur",2021-08-04,Australia,Bangladesh
78,MC Henriques,Shoriful Islam,MR Marsh,0,0,0,77,20,19,1,14,0,,,,,-,bat,Australia,1,"Shere Bangla National Stadium, Mirpur",2021-08-04,Australia,Bangladesh
79,MC Henriques,Shoriful Islam,MR Marsh,0,0,0,77,20,20,2,14,0,,,,,-,bat,Australia,1,"Shere Bangla National Stadium, Mirpur",2021-08-04,Australia,Bangladesh
80,MC Henriques,Shoriful Islam,MR Marsh,4,0,4,81,24,21,3,14,0,,,,,-,bat,Australia,1,"Shere Bangla National Stadium, Mirpur",2021-08-04,Australia,Bangladesh
81,MC Henriques,Shoriful Islam,MR Marsh,2,0,2,83,26,22,4,14,0,,,,,-,bat,Australia,1,"Shere Bangla National Stadium, Mirpur",2021-08-04,Australia,Bangladesh
82,MC Henriques,Shoriful Islam,MR Marsh,0,0,0,83,26,23,5,14,0,,,,,-,bat,Australia,1,"Shere Bangla National Stadium, Mirpur",2021-08-04,Australia,Bangladesh
83,MC Henriques,Shoriful Islam,MR Marsh,4,0,4,87,30,24,6,14,0,,,,,-,bat,Australia,1,"Shere Bangla National Stadium, Mirpur",2021-08-04,Australia,Bangladesh
84,MR Marsh,Shakib Al Hasan,MC Henriques,1,0,1,88,37,36,1,15,0,,,,,-,bat,Australia,1,"Shere Bangla National Stadium, Mirpur",2021-08-04,Australia,Bangladesh
85,MC Henriques,Shakib Al Hasan,MR Marsh,0,0,0,88,30,25,2,15,bowled,MC Henriques,,,,-,bat,Australia,1,"Shere Bangla National Stadium, Mirpur",2021-08-04,Australia,Bangladesh
86,MS Wade,Shakib Al Hasan,MR Marsh,0,0,0,88,0,1,3,15,0,,,,,-,bat,Australia,1,"Shere Bangla National Stadium, Mirpur",2021-08-04,Australia,Bangladesh
87,MS Wade,Shakib Al Hasan,MR Marsh,0,0,0,88,0,2,4,15,0,,,,,-,bat,Australia,1,"Shere Bangla National Stadium, Mirpur",2021-08-04,Australia,Bangladesh
88,MS Wade,Shakib Al Hasan,MR Marsh,1,0,1,89,1,3,5,15,0,,,,,-,bat,Australia,1,"Shere Bangla National Stadium, Mirpur",2021-08-04,Australia,Bangladesh
89,MR Marsh,Shakib Al Hasan,MS Wade,1,0,1,90,38,37,6,15,0,,,,,-,bat,Australia,1,"Shere Bangla National Stadium, Mirpur",2021-08-04,Australia,Bangladesh
90,MR Marsh,Mahedi Hasan,MS Wade,4,0,4,94,42,38,1,16,0,,,,,-,bat,Australia,1,"Shere Bangla National Stadium, Mirpur",2021-08-04,Australia,Bangladesh
91,MR Marsh,Mahedi Hasan,MS Wade,1,0,1,95,43,39,2,16,0,,,,,-,bat,Australia,1,"Shere Bangla National Stadium, Mirpur",2021-08-04,Australia,Bangladesh
92,MS Wade,Mahedi Hasan,MR Marsh,1,0,1,96,2,4,3,16,0,,,,,-,bat,Australia,1,"Shere Bangla National Stadium, Mirpur",2021-08-04,Australia,Bangladesh
93,MR Marsh,Mahedi Hasan,MS Wade,1,0,1,97,44,40,4,16,0,,,,,-,bat,Australia,1,"Shere Bangla National Stadium, Mirpur",2021-08-04,Australia,Bangladesh
94,MS Wade,Mahedi Hasan,MR Marsh,1,0,1,98,3,5,5,16,0,,,,,-,bat,Australia,1,"Shere Bangla National Stadium, Mirpur",2021-08-04,Australia,Bangladesh
95,MR Marsh,Mahedi Hasan,MS Wade,1,0,1,99,45,41,6,16,0,,,,,-,bat,Australia,1,"Shere Bangla National Stadium, Mirpur",2021-08-04,Australia,Bangladesh
96,MR Marsh,Shoriful Islam,MS Wade,0,0,0,99,45,42,1,17,caught,MR Marsh,Nurul Hasan,,,-,bat,Australia,1,"Shere Bangla National Stadium, Mirpur",2021-08-04,Australia,Bangladesh
97,AJ Turner,Shoriful Islam,MS Wade,1,0,1,100,1,1,2,17,0,,,,,-,bat,Australia,1,"Shere Bangla National Stadium, Mirpur",2021-08-04,Australia,Bangladesh
98,MS Wade,Shoriful Islam,AJ Turner,1,0,1,101,4,6,3,17,0,,,,,-,bat,Australia,1,"Shere Bangla National Stadium, Mirpur",2021-08-04,Australia,Bangladesh
99,AJ Turner,Shoriful Islam,MS Wade,0,0,0,101,1,2,4,17,0,,,,,-,bat,Australia,1,"Shere Bangla National Stadium, Mirpur",2021-08-04,Australia,Bangladesh
100,AJ Turner,Shoriful Islam,MS Wade,0,0,0,101,1,3,5,17,0,,,,,-,bat,Australia,1,"Shere Bangla National Stadium, Mirpur",2021-08-04,Australia,Bangladesh
101,AJ Turner,Shoriful Islam,MS Wade,1,0,1,102,2,4,6,17,0,,,,,-,bat,Australia,1,"Shere Bangla National Stadium, Mirpur",2021-08-04,Australia,Bangladesh
102,AJ Turner,Mustafizur Rahman,MS Wade,0,0,0,102,2,5,1,18,0,,,,,-,bat,Australia,1,"Shere Bangla National Stadium, Mirpur",2021-08-04,Australia,Bangladesh
103,AJ Turner,Mustafizur Rahman,MS Wade,1,0,1,103,3,6,2,18,0,,,,,-,bat,Australia,1,"Shere Bangla National Stadium, Mirpur",2021-08-04,Australia,Bangladesh
104,MS Wade,Mustafizur Rahman,AJ Turner,0,0,0,103,4,7,3,18,bowled,MS Wade,,,,-,bat,Australia,1,"Shere Bangla National Stadium, Mirpur",2021-08-04,Australia,Bangladesh
105,AC Agar,Mustafizur Rahman,AJ Turner,0,0,0,103,0,1,4,18,caught,AC Agar,Nurul Hasan,,,-,bat,Australia,1,"Shere Bangla National Stadium, Mirpur",2021-08-04,Australia,Bangladesh
106,MA Starc,Mustafizur Rahman,AJ Turner,0,1,1,104,0,1,5,18,0,,,,{'wides': 1},wides,bat,Australia,1,"Shere Bangla National Stadium, Mirpur",2021-08-04,Australia,Bangladesh
107,MA Starc,Mustafizur Rahman,AJ Turner,0,0,0,104,0,2,6,18,0,,,,,-,bat,Australia,1,"Shere Bangla National Stadium, Mirpur",2021-08-04,Australia,Bangladesh
108,MA Starc,Mustafizur Rahman,AJ Turner,1,0,1,105,1,3,7,18,0,,,,,-,bat,Australia,1,"Shere Bangla National Stadium, Mirpur",2021-08-04,Australia,Bangladesh
109,MA Starc,Shoriful Islam,AJ Turner,1,0,1,106,2,4,1,19,0,,,,,-,bat,Australia,1,"Shere Bangla National Stadium, Mirpur",2021-08-04,Australia,Bangladesh
110,AJ Turner,Shoriful Islam,MA Starc,0,0,0,106,3,7,2,19,caught,AJ Turner,Mahmudullah,,,-,bat,Australia,1,"Shere Bangla National Stadium, Mirpur",2021-08-04,Australia,Bangladesh
111,MA Starc,Shoriful Islam,AJ Tye,2,0,2,108,4,5,3,19,0,,,,,-,bat,Australia,1,"Shere Bangla National Stadium, Mirpur",2021-08-04,Australia,Bangladesh
112,MA Starc,Shoriful Islam,AJ Tye,0,0,0,108,4,6,4,19,0,,,,,-,bat,Australia,1,"Shere Bangla National Stadium, Mirpur",2021-08-04,Australia,Bangladesh
113,MA Starc,Shoriful Islam,AJ Tye,1,0,1,109,5,7,5,19,0,,,,,-,bat,Australia,1,"Shere Bangla National Stadium, Mirpur",2021-08-04,Australia,Bangladesh
114,AJ Tye,Shoriful Islam,MA Starc,1,0,1,110,1,1,6,19,0,,,,,-,bat,Australia,1,"Shere Bangla National Stadium, Mirpur",2021-08-04,Australia,Bangladesh
115,AJ Tye,Mustafizur Rahman,MA Starc,2,0,2,112,3,2,1,20,0,,,,,-,bat,Australia,1,"Shere Bangla National Stadium, Mirpur",2021-08-04,Australia,Bangladesh
116,AJ Tye,Mustafizur Rahman,MA Starc,0,1,1,113,3,3,2,20,0,,,,{'legbyes': 1},legbyes,bat,Australia,1,"Shere Bangla National Stadium, Mirpur",2021-08-04,Australia,Bangladesh
117,MA Starc,Mustafizur Rahman,AJ Tye,4,0,4,117,9,8,3,20,0,,,,,-,bat,Australia,1,"Shere Bangla National Stadium, Mirpur",2021-08-04,Australia,Bangladesh
118,MA Starc,Mustafizur Rahman,AJ Tye,0,0,0,117,9,9,4,20,0,,,,,-,bat,Australia,1,"Shere Bangla National Stadium, Mirpur",2021-08-04,Australia,Bangladesh
119,MA Starc,Mustafizur Rahman,AJ Tye,2,0,2,119,11,10,5,20,0,,,,,-,bat,Australia,1,"Shere Bangla National Stadium, Mirpur",2021-08-04,Australia,Bangladesh
120,MA Starc,Mustafizur Rahman,AJ Tye,2,0,2,121,13,11,6,20,0,,,,,-,bat,Australia,1,"Shere Bangla National Stadium, Mirpur",2021-08-04,Australia,Bangladesh
