,batter,bowler,non_striker,review,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,extra_type,over,wicket_type,player_out,fielder,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,final_team_total
12,W Madhevere,AJ Hosein,RW Chakabva,,0,0,0,27,126,7,5,0,6,-,1,0,,,bat,West Indies,2,"Bellerive Oval, Hobart",2022,10,West Indies_Zimbabwe_2022-10-19,West Indies,Zimbabwe,West Indies,122
13,W Madhevere,AJ Hosein,RW Chakabva,,2,0,2,29,124,9,6,0,7,-,1,0,,,bat,West Indies,2,"Bellerive Oval, Hobart",2022,10,West Indies_Zimbabwe_2022-10-19,West Indies,Zimbabwe,West Indies,122
14,RW Chakabva,AS Joseph,W Madhevere,,0,0,0,29,124,13,9,0,1,-,2,0,,,bat,West Indies,2,"Bellerive Oval, Hobart",2022,10,West Indies_Zimbabwe_2022-10-19,West Indies,Zimbabwe,West Indies,122
15,RW Chakabva,AS Joseph,W Madhevere,,0,0,0,29,124,13,10,1,2,-,2,bowled,RW Chakabva,,bat,West Indies,2,"Bellerive Oval, Hobart",2022,10,West Indies_Zimbabwe_2022-10-19,West Indies,Zimbabwe,West Indies,122
16,T Munyonga,AS Joseph,W Madhevere,,0,0,0,29,124,0,1,1,3,-,2,0,,,bat,West Indies,2,"Bellerive Oval, Hobart",2022,10,West Indies_Zimbabwe_2022-10-19,West Indies,Zimbabwe,West Indies,122
17,T Munyonga,AS Joseph,W Madhevere,,1,0,1,30,123,1,2,1,4,-,2,0,,,bat,West Indies,2,"Bellerive Oval, Hobart",2022,10,West Indies_Zimbabwe_2022-10-19,West Indies,Zimbabwe,West Indies,122
18,W Madhevere,AS Joseph,T Munyonga,,0,0,0,30,123,9,7,1,5,-,2,0,,,bat,West Indies,2,"Bellerive Oval, Hobart",2022,10,West Indies_Zimbabwe_2022-10-19,West Indies,Zimbabwe,West Indies,122
19,W Madhevere,AS Joseph,T Munyonga,,0,0,0,30,123,9,8,1,6,-,2,0,,,bat,West Indies,2,"Bellerive Oval, Hobart",2022,10,West Indies_Zimbabwe_2022-10-19,West Indies,Zimbabwe,West Indies,122
20,T Munyonga,OC McCoy,W Madhevere,,1,0,1,31,122,2,3,1,1,-,3,0,,,bat,West Indies,2,"Bellerive Oval, Hobart",2022,10,West Indies_Zimbabwe_2022-10-19,West Indies,Zimbabwe,West Indies,122
21,W Madhevere,OC McCoy,T Munyonga,,0,0,0,31,122,9,9,1,2,-,3,0,,,bat,West Indies,2,"Bellerive Oval, Hobart",2022,10,West Indies_Zimbabwe_2022-10-19,West Indies,Zimbabwe,West Indies,122
22,W Madhevere,OC McCoy,T Munyonga,,4,0,4,35,118,13,10,1,3,-,3,0,,,bat,West Indies,2,"Bellerive Oval, Hobart",2022,10,West Indies_Zimbabwe_2022-10-19,West Indies,Zimbabwe,West Indies,122
23,W Madhevere,OC McCoy,T Munyonga,,1,0,1,36,117,14,11,1,4,-,3,0,,,bat,West Indies,2,"Bellerive Oval, Hobart",2022,10,West Indies_Zimbabwe_2022-10-19,West Indies,Zimbabwe,West Indies,122
24,T Munyonga,OC McCoy,W Madhevere,,0,0,0,36,117,2,4,1,5,-,3,0,,,bat,West Indies,2,"Bellerive Oval, Hobart",2022,10,West Indies_Zimbabwe_2022-10-19,West Indies,Zimbabwe,West Indies,122
25,T Munyonga,OC McCoy,W Madhevere,,0,0,0,36,117,2,5,1,6,-,3,0,,,bat,West Indies,2,"Bellerive Oval, Hobart",2022,10,West Indies_Zimbabwe_2022-10-19,West Indies,Zimbabwe,West Indies,122
26,W Madhevere,AS Joseph,T Munyonga,,4,0,4,40,113,18,12,1,1,-,4,0,,,bat,West Indies,2,"Bellerive Oval, Hobart",2022,10,West Indies_Zimbabwe_2022-10-19,West Indies,Zimbabwe,West Indies,122
27,W Madhevere,AS Joseph,T Munyonga,,0,0,0,40,113,18,13,1,2,-,4,0,,,bat,West Indies,2,"Bellerive Oval, Hobart",2022,10,West Indies_Zimbabwe_2022-10-19,West Indies,Zimbabwe,West Indies,122
28,W Madhevere,AS Joseph,T Munyonga,,6,0,6,46,107,24,14,1,3,-,4,0,,,bat,West Indies,2,"Bellerive Oval, Hobart",2022,10,West Indies_Zimbabwe_2022-10-19,West Indies,Zimbabwe,West Indies,122
29,W Madhevere,AS Joseph,T Munyonga,,1,0,1,47,106,25,15,1,4,-,4,0,,,bat,West Indies,2,"Bellerive Oval, Hobart",2022,10,West Indies_Zimbabwe_2022-10-19,West Indies,Zimbabwe,West Indies,122
30,T Munyonga,AS Joseph,W Madhevere,,0,0,0,47,106,2,6,2,5,-,4,bowled,T Munyonga,,bat,West Indies,2,"Bellerive Oval, Hobart",2022,10,West Indies_Zimbabwe_2022-10-19,West Indies,Zimbabwe,West Indies,122
31,SC Williams,AS Joseph,W Madhevere,,1,0,1,48,105,1,1,2,6,-,4,0,,,bat,West Indies,2,"Bellerive Oval, Hobart",2022,10,West Indies_Zimbabwe_2022-10-19,West Indies,Zimbabwe,West Indies,122
32,SC Williams,OC McCoy,W Madhevere,,0,0,0,48,105,1,2,3,1,-,5,caught,SC Williams,N Pooran,bat,West Indies,2,"Bellerive Oval, Hobart",2022,10,West Indies_Zimbabwe_2022-10-19,West Indies,Zimbabwe,West Indies,122
33,Sikandar Raza,OC McCoy,W Madhevere,,4,0,4,52,101,4,1,3,2,-,5,0,,,bat,West Indies,2,"Bellerive Oval, Hobart",2022,10,West Indies_Zimbabwe_2022-10-19,West Indies,Zimbabwe,West Indies,122
34,Sikandar Raza,OC McCoy,W Madhevere,,1,0,1,53,100,5,2,3,3,-,5,0,,,bat,West Indies,2,"Bellerive Oval, Hobart",2022,10,West Indies_Zimbabwe_2022-10-19,West Indies,Zimbabwe,West Indies,122
35,W Madhevere,OC McCoy,Sikandar Raza,,2,0,2,55,98,27,16,3,4,-,5,0,,,bat,West Indies,2,"Bellerive Oval, Hobart",2022,10,West Indies_Zimbabwe_2022-10-19,West Indies,Zimbabwe,West Indies,122
36,W Madhevere,OC McCoy,Sikandar Raza,,0,0,0,55,98,27,17,3,5,-,5,0,,,bat,West Indies,2,"Bellerive Oval, Hobart",2022,10,West Indies_Zimbabwe_2022-10-19,West Indies,Zimbabwe,West Indies,122
37,W Madhevere,OC McCoy,Sikandar Raza,,0,0,0,55,98,27,18,3,6,-,5,0,,,bat,West Indies,2,"Bellerive Oval, Hobart",2022,10,West Indies_Zimbabwe_2022-10-19,West Indies,Zimbabwe,West Indies,122
38,Sikandar Raza,JO Holder,W Madhevere,,0,0,0,55,98,5,3,3,1,-,6,0,,,bat,West Indies,2,"Bellerive Oval, Hobart",2022,10,West Indies_Zimbabwe_2022-10-19,West Indies,Zimbabwe,West Indies,122
39,Sikandar Raza,JO Holder,W Madhevere,,2,0,2,57,96,7,4,3,2,-,6,0,,,bat,West Indies,2,"Bellerive Oval, Hobart",2022,10,West Indies_Zimbabwe_2022-10-19,West Indies,Zimbabwe,West Indies,122
40,Sikandar Raza,JO Holder,W Madhevere,,0,0,0,57,96,7,5,3,3,-,6,0,,,bat,West Indies,2,"Bellerive Oval, Hobart",2022,10,West Indies_Zimbabwe_2022-10-19,West Indies,Zimbabwe,West Indies,122
41,Sikandar Raza,JO Holder,W Madhevere,,1,0,1,58,95,8,6,3,4,-,6,0,,,bat,West Indies,2,"Bellerive Oval, Hobart",2022,10,West Indies_Zimbabwe_2022-10-19,West Indies,Zimbabwe,West Indies,122
42,W Madhevere,JO Holder,Sikandar Raza,,0,0,0,58,95,27,19,4,5,-,6,caught,W Madhevere,E Lewis,bat,West Indies,2,"Bellerive Oval, Hobart",2022,10,West Indies_Zimbabwe_2022-10-19,West Indies,Zimbabwe,West Indies,122
43,M Shumba,JO Holder,Sikandar Raza,,0,0,0,58,95,0,1,4,6,-,6,0,,,bat,West Indies,2,"Bellerive Oval, Hobart",2022,10,West Indies_Zimbabwe_2022-10-19,West Indies,Zimbabwe,West Indies,122
44,Sikandar Raza,OF Smith,M Shumba,,6,0,6,64,89,14,7,4,1,-,7,0,,,bat,West Indies,2,"Bellerive Oval, Hobart",2022,10,West Indies_Zimbabwe_2022-10-19,West Indies,Zimbabwe,West Indies,122
45,Sikandar Raza,OF Smith,M Shumba,,0,0,0,64,89,14,8,5,2,-,7,caught,Sikandar Raza,R Powell,bat,West Indies,2,"Bellerive Oval, Hobart",2022,10,West Indies_Zimbabwe_2022-10-19,West Indies,Zimbabwe,West Indies,122
46,RP Burl,OF Smith,M Shumba,,0,0,0,64,89,0,1,5,3,-,7,0,,,bat,West Indies,2,"Bellerive Oval, Hobart",2022,10,West Indies_Zimbabwe_2022-10-19,West Indies,Zimbabwe,West Indies,122
47,RP Burl,OF Smith,M Shumba,,0,1,1,65,88,0,2,5,4,wides,7,0,,,bat,West Indies,2,"Bellerive Oval, Hobart",2022,10,West Indies_Zimbabwe_2022-10-19,West Indies,Zimbabwe,West Indies,122
48,RP Burl,OF Smith,M Shumba,,0,0,0,65,88,0,3,5,5,-,7,0,,,bat,West Indies,2,"Bellerive Oval, Hobart",2022,10,West Indies_Zimbabwe_2022-10-19,West Indies,Zimbabwe,West Indies,122
49,RP Burl,OF Smith,M Shumba,,0,0,0,65,88,0,4,5,6,-,7,0,,,bat,West Indies,2,"Bellerive Oval, Hobart",2022,10,West Indies_Zimbabwe_2022-10-19,West Indies,Zimbabwe,West Indies,122
50,RP Burl,OF Smith,M Shumba,,1,0,1,66,87,1,5,5,7,-,7,0,,,bat,West Indies,2,"Bellerive Oval, Hobart",2022,10,West Indies_Zimbabwe_2022-10-19,West Indies,Zimbabwe,West Indies,122
51,RP Burl,JO Holder,M Shumba,,1,0,1,67,86,2,6,5,1,-,8,0,,,bat,West Indies,2,"Bellerive Oval, Hobart",2022,10,West Indies_Zimbabwe_2022-10-19,West Indies,Zimbabwe,West Indies,122
52,M Shumba,JO Holder,RP Burl,,0,0,0,67,86,0,2,5,2,-,8,0,,,bat,West Indies,2,"Bellerive Oval, Hobart",2022,10,West Indies_Zimbabwe_2022-10-19,West Indies,Zimbabwe,West Indies,122
53,M Shumba,JO Holder,RP Burl,,1,0,1,68,85,1,3,5,3,-,8,0,,,bat,West Indies,2,"Bellerive Oval, Hobart",2022,10,West Indies_Zimbabwe_2022-10-19,West Indies,Zimbabwe,West Indies,122
54,RP Burl,JO Holder,M Shumba,,4,0,4,72,81,6,7,5,4,-,8,0,,,bat,West Indies,2,"Bellerive Oval, Hobart",2022,10,West Indies_Zimbabwe_2022-10-19,West Indies,Zimbabwe,West Indies,122
55,RP Burl,JO Holder,M Shumba,,0,0,0,72,81,6,8,5,5,-,8,0,,,bat,West Indies,2,"Bellerive Oval, Hobart",2022,10,West Indies_Zimbabwe_2022-10-19,West Indies,Zimbabwe,West Indies,122
56,RP Burl,JO Holder,M Shumba,,0,0,0,72,81,6,9,5,6,-,8,0,,,bat,West Indies,2,"Bellerive Oval, Hobart",2022,10,West Indies_Zimbabwe_2022-10-19,West Indies,Zimbabwe,West Indies,122
57,M Shumba,OF Smith,RP Burl,,0,0,0,72,81,1,4,5,1,-,9,0,,,bat,West Indies,2,"Bellerive Oval, Hobart",2022,10,West Indies_Zimbabwe_2022-10-19,West Indies,Zimbabwe,West Indies,122
58,M Shumba,OF Smith,RP Burl,,0,0,0,72,81,1,5,5,2,-,9,0,,,bat,West Indies,2,"Bellerive Oval, Hobart",2022,10,West Indies_Zimbabwe_2022-10-19,West Indies,Zimbabwe,West Indies,122
59,M Shumba,OF Smith,RP Burl,,1,0,1,73,80,2,6,5,3,-,9,0,,,bat,West Indies,2,"Bellerive Oval, Hobart",2022,10,West Indies_Zimbabwe_2022-10-19,West Indies,Zimbabwe,West Indies,122
60,RP Burl,OF Smith,M Shumba,,0,0,0,73,80,6,10,5,4,-,9,0,,,bat,West Indies,2,"Bellerive Oval, Hobart",2022,10,West Indies_Zimbabwe_2022-10-19,West Indies,Zimbabwe,West Indies,122
61,RP Burl,OF Smith,M Shumba,,4,0,4,77,76,10,11,5,5,-,9,0,,,bat,West Indies,2,"Bellerive Oval, Hobart",2022,10,West Indies_Zimbabwe_2022-10-19,West Indies,Zimbabwe,West Indies,122
62,RP Burl,OF Smith,M Shumba,,1,0,1,78,75,11,12,5,6,-,9,0,,,bat,West Indies,2,"Bellerive Oval, Hobart",2022,10,West Indies_Zimbabwe_2022-10-19,West Indies,Zimbabwe,West Indies,122
63,RP Burl,AJ Hosein,M Shumba,,1,0,1,79,74,12,13,5,1,-,10,0,,,bat,West Indies,2,"Bellerive Oval, Hobart",2022,10,West Indies_Zimbabwe_2022-10-19,West Indies,Zimbabwe,West Indies,122
64,M Shumba,AJ Hosein,RP Burl,,0,0,0,79,74,2,7,5,2,-,10,0,,,bat,West Indies,2,"Bellerive Oval, Hobart",2022,10,West Indies_Zimbabwe_2022-10-19,West Indies,Zimbabwe,West Indies,122
65,M Shumba,AJ Hosein,RP Burl,,0,0,0,79,74,2,8,5,3,-,10,0,,,bat,West Indies,2,"Bellerive Oval, Hobart",2022,10,West Indies_Zimbabwe_2022-10-19,West Indies,Zimbabwe,West Indies,122
66,M Shumba,AJ Hosein,RP Burl,,0,0,0,79,74,2,9,6,4,-,10,caught,M Shumba,SSJ Brooks,bat,West Indies,2,"Bellerive Oval, Hobart",2022,10,West Indies_Zimbabwe_2022-10-19,West Indies,Zimbabwe,West Indies,122
67,LM Jongwe,AJ Hosein,RP Burl,,1,0,1,80,73,1,1,6,5,-,10,0,,,bat,West Indies,2,"Bellerive Oval, Hobart",2022,10,West Indies_Zimbabwe_2022-10-19,West Indies,Zimbabwe,West Indies,122
68,RP Burl,AJ Hosein,LM Jongwe,,0,1,1,81,72,12,14,6,6,wides,10,0,,,bat,West Indies,2,"Bellerive Oval, Hobart",2022,10,West Indies_Zimbabwe_2022-10-19,West Indies,Zimbabwe,West Indies,122
69,RP Burl,AJ Hosein,LM Jongwe,,0,0,0,81,72,12,15,6,7,-,10,0,,,bat,West Indies,2,"Bellerive Oval, Hobart",2022,10,West Indies_Zimbabwe_2022-10-19,West Indies,Zimbabwe,West Indies,122
70,LM Jongwe,OC McCoy,RP Burl,,1,0,1,82,71,2,2,6,1,-,11,0,,,bat,West Indies,2,"Bellerive Oval, Hobart",2022,10,West Indies_Zimbabwe_2022-10-19,West Indies,Zimbabwe,West Indies,122
71,RP Burl,OC McCoy,LM Jongwe,,0,0,0,82,71,12,16,6,2,-,11,0,,,bat,West Indies,2,"Bellerive Oval, Hobart",2022,10,West Indies_Zimbabwe_2022-10-19,West Indies,Zimbabwe,West Indies,122
72,RP Burl,OC McCoy,LM Jongwe,,0,1,1,83,70,12,17,6,3,legbyes,11,0,,,bat,West Indies,2,"Bellerive Oval, Hobart",2022,10,West Indies_Zimbabwe_2022-10-19,West Indies,Zimbabwe,West Indies,122
73,LM Jongwe,OC McCoy,RP Burl,,1,0,1,84,69,3,3,6,4,-,11,0,,,bat,West Indies,2,"Bellerive Oval, Hobart",2022,10,West Indies_Zimbabwe_2022-10-19,West Indies,Zimbabwe,West Indies,122
74,RP Burl,OC McCoy,LM Jongwe,,4,0,4,88,65,16,18,6,5,-,11,0,,,bat,West Indies,2,"Bellerive Oval, Hobart",2022,10,West Indies_Zimbabwe_2022-10-19,West Indies,Zimbabwe,West Indies,122
75,RP Burl,OC McCoy,LM Jongwe,,0,0,0,88,65,16,19,6,6,-,11,0,,,bat,West Indies,2,"Bellerive Oval, Hobart",2022,10,West Indies_Zimbabwe_2022-10-19,West Indies,Zimbabwe,West Indies,122
76,LM Jongwe,AJ Hosein,RP Burl,,0,0,0,88,65,3,4,6,1,-,12,0,,,bat,West Indies,2,"Bellerive Oval, Hobart",2022,10,West Indies_Zimbabwe_2022-10-19,West Indies,Zimbabwe,West Indies,122
77,LM Jongwe,AJ Hosein,RP Burl,,0,0,0,88,65,3,5,6,2,-,12,0,,,bat,West Indies,2,"Bellerive Oval, Hobart",2022,10,West Indies_Zimbabwe_2022-10-19,West Indies,Zimbabwe,West Indies,122
78,LM Jongwe,AJ Hosein,RP Burl,,1,0,1,89,64,4,6,6,3,-,12,0,,,bat,West Indies,2,"Bellerive Oval, Hobart",2022,10,West Indies_Zimbabwe_2022-10-19,West Indies,Zimbabwe,West Indies,122
79,RP Burl,AJ Hosein,LM Jongwe,,1,0,1,90,63,17,20,6,4,-,12,0,,,bat,West Indies,2,"Bellerive Oval, Hobart",2022,10,West Indies_Zimbabwe_2022-10-19,West Indies,Zimbabwe,West Indies,122
80,LM Jongwe,AJ Hosein,RP Burl,,0,0,0,90,63,4,7,6,5,-,12,0,,,bat,West Indies,2,"Bellerive Oval, Hobart",2022,10,West Indies_Zimbabwe_2022-10-19,West Indies,Zimbabwe,West Indies,122
81,LM Jongwe,AJ Hosein,RP Burl,,1,0,1,91,62,5,8,6,6,-,12,0,,,bat,West Indies,2,"Bellerive Oval, Hobart",2022,10,West Indies_Zimbabwe_2022-10-19,West Indies,Zimbabwe,West Indies,122
82,LM Jongwe,JO Holder,RP Burl,,0,0,0,91,62,5,9,6,1,-,13,0,,,bat,West Indies,2,"Bellerive Oval, Hobart",2022,10,West Indies_Zimbabwe_2022-10-19,West Indies,Zimbabwe,West Indies,122
83,LM Jongwe,JO Holder,RP Burl,,1,0,1,92,61,6,10,6,2,-,13,0,,,bat,West Indies,2,"Bellerive Oval, Hobart",2022,10,West Indies_Zimbabwe_2022-10-19,West Indies,Zimbabwe,West Indies,122
84,RP Burl,JO Holder,LM Jongwe,"{'by': 'Zimbabwe', 'umpire': 'P Wilson', 'batter': 'RP Burl', 'decision': 'struck down'}",0,0,0,92,61,17,21,7,3,-,13,lbw,RP Burl,,bat,West Indies,2,"Bellerive Oval, Hobart",2022,10,West Indies_Zimbabwe_2022-10-19,West Indies,Zimbabwe,West Indies,122
85,R Ngarava,JO Holder,LM Jongwe,"{'by': 'West Indies', 'umpire': 'P Wilson', 'batter': 'R Ngarava', 'decision': 'struck down'}",0,0,0,92,61,0,1,7,4,-,13,0,,,bat,West Indies,2,"Bellerive Oval, Hobart",2022,10,West Indies_Zimbabwe_2022-10-19,West Indies,Zimbabwe,West Indies,122
86,R Ngarava,JO Holder,LM Jongwe,,1,0,1,93,60,1,2,7,5,-,13,0,,,bat,West Indies,2,"Bellerive Oval, Hobart",2022,10,West Indies_Zimbabwe_2022-10-19,West Indies,Zimbabwe,West Indies,122
87,LM Jongwe,JO Holder,R Ngarava,,1,0,1,94,59,7,11,7,6,-,13,0,,,bat,West Indies,2,"Bellerive Oval, Hobart",2022,10,West Indies_Zimbabwe_2022-10-19,West Indies,Zimbabwe,West Indies,122
88,LM Jongwe,AJ Hosein,R Ngarava,,6,0,6,100,53,13,12,7,1,-,14,0,,,bat,West Indies,2,"Bellerive Oval, Hobart",2022,10,West Indies_Zimbabwe_2022-10-19,West Indies,Zimbabwe,West Indies,122
89,LM Jongwe,AJ Hosein,R Ngarava,,0,0,0,100,53,13,13,7,2,-,14,0,,,bat,West Indies,2,"Bellerive Oval, Hobart",2022,10,West Indies_Zimbabwe_2022-10-19,West Indies,Zimbabwe,West Indies,122
90,LM Jongwe,AJ Hosein,R Ngarava,,0,0,0,100,53,13,14,7,3,-,14,0,,,bat,West Indies,2,"Bellerive Oval, Hobart",2022,10,West Indies_Zimbabwe_2022-10-19,West Indies,Zimbabwe,West Indies,122
91,LM Jongwe,AJ Hosein,R Ngarava,,0,0,0,100,53,13,15,7,4,-,14,0,,,bat,West Indies,2,"Bellerive Oval, Hobart",2022,10,West Indies_Zimbabwe_2022-10-19,West Indies,Zimbabwe,West Indies,122
92,LM Jongwe,AJ Hosein,R Ngarava,,1,0,1,101,52,14,16,7,5,-,14,0,,,bat,West Indies,2,"Bellerive Oval, Hobart",2022,10,West Indies_Zimbabwe_2022-10-19,West Indies,Zimbabwe,West Indies,122
93,R Ngarava,AJ Hosein,LM Jongwe,,1,0,1,102,51,2,3,7,6,-,14,0,,,bat,West Indies,2,"Bellerive Oval, Hobart",2022,10,West Indies_Zimbabwe_2022-10-19,West Indies,Zimbabwe,West Indies,122
94,R Ngarava,AS Joseph,LM Jongwe,,0,0,0,102,51,2,4,7,1,-,15,0,,,bat,West Indies,2,"Bellerive Oval, Hobart",2022,10,West Indies_Zimbabwe_2022-10-19,West Indies,Zimbabwe,West Indies,122
95,R Ngarava,AS Joseph,LM Jongwe,,0,0,0,102,51,2,5,7,2,-,15,0,,,bat,West Indies,2,"Bellerive Oval, Hobart",2022,10,West Indies_Zimbabwe_2022-10-19,West Indies,Zimbabwe,West Indies,122
96,R Ngarava,AS Joseph,LM Jongwe,,0,0,0,102,51,2,6,8,3,-,15,bowled,R Ngarava,,bat,West Indies,2,"Bellerive Oval, Hobart",2022,10,West Indies_Zimbabwe_2022-10-19,West Indies,Zimbabwe,West Indies,122
97,TL Chatara,AS Joseph,LM Jongwe,,0,0,0,102,51,0,1,8,4,-,15,0,,,bat,West Indies,2,"Bellerive Oval, Hobart",2022,10,West Indies_Zimbabwe_2022-10-19,West Indies,Zimbabwe,West Indies,122
98,TL Chatara,AS Joseph,LM Jongwe,,0,0,0,102,51,0,2,8,5,-,15,0,,,bat,West Indies,2,"Bellerive Oval, Hobart",2022,10,West Indies_Zimbabwe_2022-10-19,West Indies,Zimbabwe,West Indies,122
99,TL Chatara,AS Joseph,LM Jongwe,,1,0,1,103,50,1,3,8,6,-,15,0,,,bat,West Indies,2,"Bellerive Oval, Hobart",2022,10,West Indies_Zimbabwe_2022-10-19,West Indies,Zimbabwe,West Indies,122
100,TL Chatara,OF Smith,LM Jongwe,,1,0,1,104,49,2,4,8,1,-,16,0,,,bat,West Indies,2,"Bellerive Oval, Hobart",2022,10,West Indies_Zimbabwe_2022-10-19,West Indies,Zimbabwe,West Indies,122
101,LM Jongwe,OF Smith,TL Chatara,,4,1,5,109,44,18,17,8,2,noballs,16,0,,,bat,West Indies,2,"Bellerive Oval, Hobart",2022,10,West Indies_Zimbabwe_2022-10-19,West Indies,Zimbabwe,West Indies,122
102,LM Jongwe,OF Smith,TL Chatara,,2,0,2,111,42,20,18,8,3,-,16,0,,,bat,West Indies,2,"Bellerive Oval, Hobart",2022,10,West Indies_Zimbabwe_2022-10-19,West Indies,Zimbabwe,West Indies,122
103,LM Jongwe,OF Smith,TL Chatara,,4,0,4,115,38,24,19,8,4,-,16,0,,,bat,West Indies,2,"Bellerive Oval, Hobart",2022,10,West Indies_Zimbabwe_2022-10-19,West Indies,Zimbabwe,West Indies,122
104,LM Jongwe,OF Smith,TL Chatara,,4,0,4,119,34,28,20,8,5,-,16,0,,,bat,West Indies,2,"Bellerive Oval, Hobart",2022,10,West Indies_Zimbabwe_2022-10-19,West Indies,Zimbabwe,West Indies,122
105,LM Jongwe,OF Smith,TL Chatara,,1,0,1,120,33,29,21,8,6,-,16,0,,,bat,West Indies,2,"Bellerive Oval, Hobart",2022,10,West Indies_Zimbabwe_2022-10-19,West Indies,Zimbabwe,West Indies,122
106,TL Chatara,OF Smith,LM Jongwe,,0,0,0,120,33,2,5,8,7,-,16,0,,,bat,West Indies,2,"Bellerive Oval, Hobart",2022,10,West Indies_Zimbabwe_2022-10-19,West Indies,Zimbabwe,West Indies,122
107,LM Jongwe,AS Joseph,TL Chatara,,0,0,0,120,33,29,22,9,1,-,17,bowled,LM Jongwe,,bat,West Indies,2,"Bellerive Oval, Hobart",2022,10,West Indies_Zimbabwe_2022-10-19,West Indies,Zimbabwe,West Indies,122
108,B Muzarabani,AS Joseph,TL Chatara,,0,0,0,120,33,0,1,9,2,-,17,0,,,bat,West Indies,2,"Bellerive Oval, Hobart",2022,10,West Indies_Zimbabwe_2022-10-19,West Indies,Zimbabwe,West Indies,122
109,B Muzarabani,AS Joseph,TL Chatara,,0,0,0,120,33,0,2,9,3,-,17,0,,,bat,West Indies,2,"Bellerive Oval, Hobart",2022,10,West Indies_Zimbabwe_2022-10-19,West Indies,Zimbabwe,West Indies,122
110,B Muzarabani,AS Joseph,TL Chatara,,0,0,0,120,33,0,3,9,4,-,17,0,,,bat,West Indies,2,"Bellerive Oval, Hobart",2022,10,West Indies_Zimbabwe_2022-10-19,West Indies,Zimbabwe,West Indies,122
