,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,batter_runs,balls_faced,delivery,extra_type,over,wicket_type,toss_decision,toss_winner,innings,venue,date,batting_team,bowling_team
62,AD Hales,Arshdeep Singh,JC Buttler,1,0,1,98,57,32,6,-,10,0,field,England,2,Adelaide Oval,2022-11-10,England,India
63,AD Hales,HH Pandya,JC Buttler,6,0,6,104,63,33,1,-,11,0,field,England,2,Adelaide Oval,2022-11-10,England,India
64,AD Hales,HH Pandya,JC Buttler,2,0,2,106,65,34,2,-,11,0,field,England,2,Adelaide Oval,2022-11-10,England,India
65,AD Hales,HH Pandya,JC Buttler,0,0,0,106,65,35,3,-,11,0,field,England,2,Adelaide Oval,2022-11-10,England,India
66,AD Hales,HH Pandya,JC Buttler,1,0,1,107,66,36,4,-,11,0,field,England,2,Adelaide Oval,2022-11-10,England,India
67,JC Buttler,HH Pandya,AD Hales,1,0,1,108,38,32,5,-,11,0,field,England,2,Adelaide Oval,2022-11-10,England,India
68,AD Hales,HH Pandya,JC Buttler,0,0,0,108,66,37,6,-,11,0,field,England,2,Adelaide Oval,2022-11-10,England,India
69,JC Buttler,R Ashwin,AD Hales,1,0,1,109,39,33,1,-,12,0,field,England,2,Adelaide Oval,2022-11-10,England,India
70,AD Hales,R Ashwin,JC Buttler,1,0,1,110,67,38,2,-,12,0,field,England,2,Adelaide Oval,2022-11-10,England,India
71,JC Buttler,R Ashwin,AD Hales,2,0,2,112,41,34,3,-,12,0,field,England,2,Adelaide Oval,2022-11-10,England,India
72,JC Buttler,R Ashwin,AD Hales,1,0,1,113,42,35,4,-,12,0,field,England,2,Adelaide Oval,2022-11-10,England,India
73,AD Hales,R Ashwin,JC Buttler,6,0,6,119,73,39,5,-,12,0,field,England,2,Adelaide Oval,2022-11-10,England,India
74,AD Hales,R Ashwin,JC Buttler,4,0,4,123,77,40,6,-,12,0,field,England,2,Adelaide Oval,2022-11-10,England,India
75,JC Buttler,HH Pandya,AD Hales,2,0,2,125,44,36,1,-,13,0,field,England,2,Adelaide Oval,2022-11-10,England,India
76,JC Buttler,HH Pandya,AD Hales,1,0,1,126,45,37,2,-,13,0,field,England,2,Adelaide Oval,2022-11-10,England,India
77,AD Hales,HH Pandya,JC Buttler,3,0,3,129,80,41,3,-,13,0,field,England,2,Adelaide Oval,2022-11-10,England,India
78,JC Buttler,HH Pandya,AD Hales,4,0,4,133,49,38,4,-,13,0,field,England,2,Adelaide Oval,2022-11-10,England,India
79,JC Buttler,HH Pandya,AD Hales,6,0,6,139,55,39,5,-,13,0,field,England,2,Adelaide Oval,2022-11-10,England,India
80,JC Buttler,HH Pandya,AD Hales,1,0,1,140,56,40,6,-,13,0,field,England,2,Adelaide Oval,2022-11-10,England,India
81,JC Buttler,Mohammed Shami,AD Hales,0,0,0,140,56,41,1,-,14,0,field,England,2,Adelaide Oval,2022-11-10,England,India
82,JC Buttler,Mohammed Shami,AD Hales,0,0,0,140,56,42,2,-,14,0,field,England,2,Adelaide Oval,2022-11-10,England,India
83,JC Buttler,Mohammed Shami,AD Hales,4,0,4,144,60,43,3,-,14,0,field,England,2,Adelaide Oval,2022-11-10,England,India
84,JC Buttler,Mohammed Shami,AD Hales,0,0,0,144,60,44,4,-,14,0,field,England,2,Adelaide Oval,2022-11-10,England,India
85,JC Buttler,Mohammed Shami,AD Hales,6,0,6,150,66,45,5,-,14,0,field,England,2,Adelaide Oval,2022-11-10,England,India
86,JC Buttler,Mohammed Shami,AD Hales,4,0,4,154,70,46,6,-,14,0,field,England,2,Adelaide Oval,2022-11-10,England,India
87,AD Hales,AR Patel,JC Buttler,1,0,1,155,81,42,1,-,15,0,field,England,2,Adelaide Oval,2022-11-10,England,India
88,JC Buttler,AR Patel,AD Hales,0,0,0,155,70,47,2,-,15,0,field,England,2,Adelaide Oval,2022-11-10,England,India
89,JC Buttler,AR Patel,AD Hales,1,0,1,156,71,48,3,-,15,0,field,England,2,Adelaide Oval,2022-11-10,England,India
90,AD Hales,AR Patel,JC Buttler,0,0,0,156,81,43,4,-,15,0,field,England,2,Adelaide Oval,2022-11-10,England,India
91,AD Hales,AR Patel,JC Buttler,0,0,0,156,81,44,5,-,15,0,field,England,2,Adelaide Oval,2022-11-10,England,India
92,AD Hales,AR Patel,JC Buttler,0,0,0,156,81,45,6,-,15,0,field,England,2,Adelaide Oval,2022-11-10,England,India
93,JC Buttler,Mohammed Shami,AD Hales,2,0,2,158,73,49,1,-,16,0,field,England,2,Adelaide Oval,2022-11-10,England,India
94,JC Buttler,Mohammed Shami,AD Hales,0,0,0,158,73,50,2,-,16,0,field,England,2,Adelaide Oval,2022-11-10,England,India
95,JC Buttler,Mohammed Shami,AD Hales,1,0,1,159,74,51,3,-,16,0,field,England,2,Adelaide Oval,2022-11-10,England,India
96,AD Hales,Mohammed Shami,JC Buttler,4,0,4,163,85,46,4,-,16,0,field,England,2,Adelaide Oval,2022-11-10,England,India
97,AD Hales,Mohammed Shami,JC Buttler,1,0,1,164,86,47,5,-,16,0,field,England,2,Adelaide Oval,2022-11-10,England,India
98,JC Buttler,Mohammed Shami,AD Hales,6,0,6,170,80,52,6,-,16,0,field,England,2,Adelaide Oval,2022-11-10,England,India
