,batter,bowler,non_striker,review,extras,runs_by_bat,extra_runs,total,team_total,batter_runs,balls_faced,delivery,extra_type,over,wicket_type,player_out,fielder,toss_decision,toss_winner,innings,venue,date,batting_team,bowling_team
40,DJ Malan,GJ Maxwell,JC Buttler,,,1,0,1,46,13,14,3,-,7,0,,,bat,Australia,2,The Rose Bowl,2020-09-06,England,Australia
41,JC Buttler,GJ Maxwell,DJ Malan,,,2,0,2,48,20,17,4,-,7,0,,,bat,Australia,2,The Rose Bowl,2020-09-06,England,Australia
42,JC Buttler,GJ Maxwell,DJ Malan,,,0,0,0,48,20,18,5,-,7,0,,,bat,Australia,2,The Rose Bowl,2020-09-06,England,Australia
43,JC Buttler,GJ Maxwell,DJ Malan,,,1,0,1,49,21,19,6,-,7,0,,,bat,Australia,2,The Rose Bowl,2020-09-06,England,Australia
44,JC Buttler,A Zampa,DJ Malan,,,0,0,0,49,21,20,1,-,8,0,,,bat,Australia,2,The Rose Bowl,2020-09-06,England,Australia
45,JC Buttler,A Zampa,DJ Malan,,,1,0,1,50,22,21,2,-,8,0,,,bat,Australia,2,The Rose Bowl,2020-09-06,England,Australia
46,DJ Malan,A Zampa,JC Buttler,,,1,0,1,51,14,15,3,-,8,0,,,bat,Australia,2,The Rose Bowl,2020-09-06,England,Australia
47,JC Buttler,A Zampa,DJ Malan,,,1,0,1,52,23,22,4,-,8,0,,,bat,Australia,2,The Rose Bowl,2020-09-06,England,Australia
48,DJ Malan,A Zampa,JC Buttler,,,0,0,0,52,14,16,5,-,8,0,,,bat,Australia,2,The Rose Bowl,2020-09-06,England,Australia
49,DJ Malan,A Zampa,JC Buttler,,,1,0,1,53,15,17,6,-,8,0,,,bat,Australia,2,The Rose Bowl,2020-09-06,England,Australia
50,DJ Malan,GJ Maxwell,JC Buttler,,,4,0,4,57,19,18,1,-,9,0,,,bat,Australia,2,The Rose Bowl,2020-09-06,England,Australia
51,DJ Malan,GJ Maxwell,JC Buttler,,,4,0,4,61,23,19,2,-,9,0,,,bat,Australia,2,The Rose Bowl,2020-09-06,England,Australia
52,DJ Malan,GJ Maxwell,JC Buttler,,,0,0,0,61,23,20,3,-,9,0,,,bat,Australia,2,The Rose Bowl,2020-09-06,England,Australia
53,DJ Malan,GJ Maxwell,JC Buttler,,,1,0,1,62,24,21,4,-,9,0,,,bat,Australia,2,The Rose Bowl,2020-09-06,England,Australia
54,JC Buttler,GJ Maxwell,DJ Malan,,,1,0,1,63,24,23,5,-,9,0,,,bat,Australia,2,The Rose Bowl,2020-09-06,England,Australia
55,DJ Malan,GJ Maxwell,JC Buttler,,,1,0,1,64,25,22,6,-,9,0,,,bat,Australia,2,The Rose Bowl,2020-09-06,England,Australia
56,DJ Malan,A Zampa,JC Buttler,,,4,0,4,68,29,23,1,-,10,0,,,bat,Australia,2,The Rose Bowl,2020-09-06,England,Australia
57,DJ Malan,A Zampa,JC Buttler,,,4,0,4,72,33,24,2,-,10,0,,,bat,Australia,2,The Rose Bowl,2020-09-06,England,Australia
58,DJ Malan,A Zampa,JC Buttler,,,1,0,1,73,34,25,3,-,10,0,,,bat,Australia,2,The Rose Bowl,2020-09-06,England,Australia
59,JC Buttler,A Zampa,DJ Malan,,,1,0,1,74,25,24,4,-,10,0,,,bat,Australia,2,The Rose Bowl,2020-09-06,England,Australia
60,DJ Malan,A Zampa,JC Buttler,,,0,0,0,74,34,26,5,-,10,0,,,bat,Australia,2,The Rose Bowl,2020-09-06,England,Australia
61,DJ Malan,A Zampa,JC Buttler,,,0,0,0,74,34,27,6,-,10,0,,,bat,Australia,2,The Rose Bowl,2020-09-06,England,Australia
62,JC Buttler,KW Richardson,DJ Malan,,,1,0,1,75,26,25,1,-,11,0,,,bat,Australia,2,The Rose Bowl,2020-09-06,England,Australia
63,DJ Malan,KW Richardson,JC Buttler,,,1,0,1,76,35,28,2,-,11,0,,,bat,Australia,2,The Rose Bowl,2020-09-06,England,Australia
64,JC Buttler,KW Richardson,DJ Malan,,,2,0,2,78,28,26,3,-,11,0,,,bat,Australia,2,The Rose Bowl,2020-09-06,England,Australia
65,JC Buttler,KW Richardson,DJ Malan,,,2,0,2,80,30,27,4,-,11,0,,,bat,Australia,2,The Rose Bowl,2020-09-06,England,Australia
66,JC Buttler,KW Richardson,DJ Malan,,,4,0,4,84,34,28,5,-,11,0,,,bat,Australia,2,The Rose Bowl,2020-09-06,England,Australia
67,JC Buttler,KW Richardson,DJ Malan,,,2,0,2,86,36,29,6,-,11,0,,,bat,Australia,2,The Rose Bowl,2020-09-06,England,Australia
68,DJ Malan,AC Agar,JC Buttler,,,1,0,1,87,36,29,1,-,12,0,,,bat,Australia,2,The Rose Bowl,2020-09-06,England,Australia
69,JC Buttler,AC Agar,DJ Malan,,,4,0,4,91,40,30,2,-,12,0,,,bat,Australia,2,The Rose Bowl,2020-09-06,England,Australia
70,JC Buttler,AC Agar,DJ Malan,,,1,0,1,92,41,31,3,-,12,0,,,bat,Australia,2,The Rose Bowl,2020-09-06,England,Australia
71,DJ Malan,AC Agar,JC Buttler,,,0,0,0,92,36,30,4,-,12,0,,,bat,Australia,2,The Rose Bowl,2020-09-06,England,Australia
72,DJ Malan,AC Agar,JC Buttler,,,1,0,1,93,37,31,5,-,12,0,,,bat,Australia,2,The Rose Bowl,2020-09-06,England,Australia
73,JC Buttler,AC Agar,DJ Malan,,,1,0,1,94,42,32,6,-,12,0,,,bat,Australia,2,The Rose Bowl,2020-09-06,England,Australia
74,JC Buttler,PJ Cummins,DJ Malan,,,1,0,1,95,43,33,1,-,13,0,,,bat,Australia,2,The Rose Bowl,2020-09-06,England,Australia
75,DJ Malan,PJ Cummins,JC Buttler,,,4,0,4,99,41,32,2,-,13,0,,,bat,Australia,2,The Rose Bowl,2020-09-06,England,Australia
76,DJ Malan,PJ Cummins,JC Buttler,,,1,0,1,100,42,33,3,-,13,0,,,bat,Australia,2,The Rose Bowl,2020-09-06,England,Australia
77,JC Buttler,PJ Cummins,DJ Malan,,,0,0,0,100,43,34,4,-,13,0,,,bat,Australia,2,The Rose Bowl,2020-09-06,England,Australia
78,JC Buttler,PJ Cummins,DJ Malan,,,4,0,4,104,47,35,5,-,13,0,,,bat,Australia,2,The Rose Bowl,2020-09-06,England,Australia
79,JC Buttler,PJ Cummins,DJ Malan,,,1,0,1,105,48,36,6,-,13,0,,,bat,Australia,2,The Rose Bowl,2020-09-06,England,Australia
80,JC Buttler,AC Agar,DJ Malan,,,1,0,1,106,49,37,1,-,14,0,,,bat,Australia,2,The Rose Bowl,2020-09-06,England,Australia
81,DJ Malan,AC Agar,JC Buttler,,,0,0,0,106,42,34,2,-,14,caught,DJ Malan,MP Stoinis,bat,Australia,2,The Rose Bowl,2020-09-06,England,Australia
82,JC Buttler,AC Agar,T Banton,,,4,0,4,110,53,38,3,-,14,0,,,bat,Australia,2,The Rose Bowl,2020-09-06,England,Australia
83,JC Buttler,AC Agar,T Banton,,,4,0,4,114,57,39,4,-,14,0,,,bat,Australia,2,The Rose Bowl,2020-09-06,England,Australia
84,JC Buttler,AC Agar,T Banton,,,1,0,1,115,58,40,5,-,14,0,,,bat,Australia,2,The Rose Bowl,2020-09-06,England,Australia
85,T Banton,AC Agar,JC Buttler,,,0,0,0,115,0,1,6,-,14,0,,,bat,Australia,2,The Rose Bowl,2020-09-06,England,Australia
86,JC Buttler,MA Starc,T Banton,,,2,0,2,117,60,41,1,-,15,0,,,bat,Australia,2,The Rose Bowl,2020-09-06,England,Australia
87,JC Buttler,MA Starc,T Banton,,,0,0,0,117,60,42,2,-,15,0,,,bat,Australia,2,The Rose Bowl,2020-09-06,England,Australia
88,JC Buttler,MA Starc,T Banton,,,0,0,0,117,60,43,3,-,15,0,,,bat,Australia,2,The Rose Bowl,2020-09-06,England,Australia
89,JC Buttler,MA Starc,T Banton,,{'wides': 1},0,1,1,118,60,44,4,wides,15,0,,,bat,Australia,2,The Rose Bowl,2020-09-06,England,Australia
90,JC Buttler,MA Starc,T Banton,,{'legbyes': 1},0,1,1,119,60,45,5,legbyes,15,0,,,bat,Australia,2,The Rose Bowl,2020-09-06,England,Australia
91,T Banton,MA Starc,JC Buttler,,,2,0,2,121,2,2,6,-,15,0,,,bat,Australia,2,The Rose Bowl,2020-09-06,England,Australia
92,T Banton,MA Starc,JC Buttler,,,0,0,0,121,2,3,7,-,15,0,,,bat,Australia,2,The Rose Bowl,2020-09-06,England,Australia
93,JC Buttler,AC Agar,T Banton,,,1,0,1,122,61,46,1,-,16,0,,,bat,Australia,2,The Rose Bowl,2020-09-06,England,Australia
94,T Banton,AC Agar,JC Buttler,,,0,0,0,122,2,4,2,-,16,caught,T Banton,PJ Cummins,bat,Australia,2,The Rose Bowl,2020-09-06,England,Australia
95,EJG Morgan,AC Agar,JC Buttler,,,1,0,1,123,1,1,3,-,16,0,,,bat,Australia,2,The Rose Bowl,2020-09-06,England,Australia
96,JC Buttler,AC Agar,EJG Morgan,,,1,0,1,124,62,47,4,-,16,0,,,bat,Australia,2,The Rose Bowl,2020-09-06,England,Australia
97,EJG Morgan,AC Agar,JC Buttler,,,1,0,1,125,2,2,5,-,16,0,,,bat,Australia,2,The Rose Bowl,2020-09-06,England,Australia
98,JC Buttler,AC Agar,EJG Morgan,,,0,0,0,125,62,48,6,-,16,0,,,bat,Australia,2,The Rose Bowl,2020-09-06,England,Australia
99,EJG Morgan,A Zampa,JC Buttler,,,1,0,1,126,3,3,1,-,17,0,,,bat,Australia,2,The Rose Bowl,2020-09-06,England,Australia
100,JC Buttler,A Zampa,EJG Morgan,,,4,0,4,130,66,49,2,-,17,0,,,bat,Australia,2,The Rose Bowl,2020-09-06,England,Australia
101,JC Buttler,A Zampa,EJG Morgan,,,1,0,1,131,67,50,3,-,17,0,,,bat,Australia,2,The Rose Bowl,2020-09-06,England,Australia
102,EJG Morgan,A Zampa,JC Buttler,,,4,0,4,135,7,4,4,-,17,0,,,bat,Australia,2,The Rose Bowl,2020-09-06,England,Australia
103,EJG Morgan,A Zampa,JC Buttler,"{'by': 'Australia', 'umpire': 'M Burns', 'batter': 'EJG Morgan', 'decision': 'struck down'}",,0,0,0,135,7,5,5,-,17,0,,,bat,Australia,2,The Rose Bowl,2020-09-06,England,Australia
104,EJG Morgan,A Zampa,JC Buttler,,,0,0,0,135,7,6,6,-,17,caught,EJG Morgan,GJ Maxwell,bat,Australia,2,The Rose Bowl,2020-09-06,England,Australia
