,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,over,wicket_type,player_out,fielder,extra_type,review,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team
43,DM de Silva,AC Agar,P Nissanka,4,0,4,43,36,11,9,1,6,7,0,,,-,,field,Australia,1,Perth Stadium,2022,10,Sri Lanka_Australia_2022-10-25,Australia,Sri Lanka,Australia
44,P Nissanka,MP Stoinis,DM de Silva,1,0,1,44,35,20,30,1,1,8,0,,,-,,field,Australia,1,Perth Stadium,2022,10,Sri Lanka_Australia_2022-10-25,Australia,Sri Lanka,Australia
45,DM de Silva,MP Stoinis,P Nissanka,2,0,2,46,33,13,10,1,2,8,0,,,-,,field,Australia,1,Perth Stadium,2022,10,Sri Lanka_Australia_2022-10-25,Australia,Sri Lanka,Australia
46,DM de Silva,MP Stoinis,P Nissanka,1,0,1,47,32,14,11,1,3,8,0,,,-,,field,Australia,1,Perth Stadium,2022,10,Sri Lanka_Australia_2022-10-25,Australia,Sri Lanka,Australia
47,P Nissanka,MP Stoinis,DM de Silva,1,0,1,48,31,21,31,1,4,8,0,,,-,,field,Australia,1,Perth Stadium,2022,10,Sri Lanka_Australia_2022-10-25,Australia,Sri Lanka,Australia
48,DM de Silva,MP Stoinis,P Nissanka,1,0,1,49,30,15,12,1,5,8,0,,,-,,field,Australia,1,Perth Stadium,2022,10,Sri Lanka_Australia_2022-10-25,Australia,Sri Lanka,Australia
49,P Nissanka,MP Stoinis,DM de Silva,1,0,1,50,29,22,32,1,6,8,0,,,-,,field,Australia,1,Perth Stadium,2022,10,Sri Lanka_Australia_2022-10-25,Australia,Sri Lanka,Australia
50,P Nissanka,AC Agar,DM de Silva,2,0,2,52,27,24,33,1,1,9,0,,,-,,field,Australia,1,Perth Stadium,2022,10,Sri Lanka_Australia_2022-10-25,Australia,Sri Lanka,Australia
51,P Nissanka,AC Agar,DM de Silva,0,0,0,52,27,24,34,1,2,9,0,,,-,,field,Australia,1,Perth Stadium,2022,10,Sri Lanka_Australia_2022-10-25,Australia,Sri Lanka,Australia
52,P Nissanka,AC Agar,DM de Silva,2,0,2,54,25,26,35,1,3,9,0,,,-,,field,Australia,1,Perth Stadium,2022,10,Sri Lanka_Australia_2022-10-25,Australia,Sri Lanka,Australia
