,batter,bowler,non_striker,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,extra_type,delivery,over,wicket_type,player_out,fielder,replacements,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,won,final_team_total,batter_type,non_striker_type,bowler_type
33,CH Gayle,JDP Oram,J Charles,0,1,1,33,,8,16,1,wides,1.0,5,0,,,,field,New Zealand,1,Central Broward Regional Park Stadium Turf Ground,2012,06,New Zealand_West Indies_2012-06-30,West Indies,West Indies,New Zealand,True,209,Left hand Bat,,Right arm Fast
34,CH Gayle,JDP Oram,J Charles,0,1,1,34,,8,17,1,wides,1.0,5,0,,,,field,New Zealand,1,Central Broward Regional Park Stadium Turf Ground,2012,06,New Zealand_West Indies_2012-06-30,West Indies,West Indies,New Zealand,True,209,Left hand Bat,,Right arm Fast
35,CH Gayle,JDP Oram,J Charles,1,0,1,35,,9,18,1,-,2.0,5,0,,,,field,New Zealand,1,Central Broward Regional Park Stadium Turf Ground,2012,06,New Zealand_West Indies_2012-06-30,West Indies,West Indies,New Zealand,True,209,Left hand Bat,,Right arm Fast
36,J Charles,JDP Oram,CH Gayle,4,0,4,39,,8,6,1,-,3.0,5,0,,,,field,New Zealand,1,Central Broward Regional Park Stadium Turf Ground,2012,06,New Zealand_West Indies_2012-06-30,West Indies,West Indies,New Zealand,True,209,,Left hand Bat,Right arm Fast
37,J Charles,JDP Oram,CH Gayle,0,0,0,39,,8,7,1,-,4.0,5,0,,,,field,New Zealand,1,Central Broward Regional Park Stadium Turf Ground,2012,06,New Zealand_West Indies_2012-06-30,West Indies,West Indies,New Zealand,True,209,,Left hand Bat,Right arm Fast
38,J Charles,JDP Oram,CH Gayle,0,0,0,39,,8,8,1,-,5.0,5,0,,,,field,New Zealand,1,Central Broward Regional Park Stadium Turf Ground,2012,06,New Zealand_West Indies_2012-06-30,West Indies,West Indies,New Zealand,True,209,,Left hand Bat,Right arm Fast
39,J Charles,JDP Oram,CH Gayle,4,0,4,43,,12,9,1,-,6.0,5,0,,,,field,New Zealand,1,Central Broward Regional Park Stadium Turf Ground,2012,06,New Zealand_West Indies_2012-06-30,West Indies,West Indies,New Zealand,True,209,,Left hand Bat,Right arm Fast
40,CH Gayle,NL McCullum,J Charles,1,0,1,44,,10,19,1,-,1.0,6,0,,,,field,New Zealand,1,Central Broward Regional Park Stadium Turf Ground,2012,06,New Zealand_West Indies_2012-06-30,West Indies,West Indies,New Zealand,True,209,Left hand Bat,,Right arm Offbreak
41,J Charles,NL McCullum,CH Gayle,1,0,1,45,,13,10,1,-,2.0,6,0,,,,field,New Zealand,1,Central Broward Regional Park Stadium Turf Ground,2012,06,New Zealand_West Indies_2012-06-30,West Indies,West Indies,New Zealand,True,209,,Left hand Bat,Right arm Offbreak
42,CH Gayle,NL McCullum,J Charles,0,0,0,45,,10,20,1,-,3.0,6,0,,,,field,New Zealand,1,Central Broward Regional Park Stadium Turf Ground,2012,06,New Zealand_West Indies_2012-06-30,West Indies,West Indies,New Zealand,True,209,Left hand Bat,,Right arm Offbreak
43,CH Gayle,NL McCullum,J Charles,0,0,0,45,,10,21,1,-,4.0,6,0,,,,field,New Zealand,1,Central Broward Regional Park Stadium Turf Ground,2012,06,New Zealand_West Indies_2012-06-30,West Indies,West Indies,New Zealand,True,209,Left hand Bat,,Right arm Offbreak
44,CH Gayle,NL McCullum,J Charles,1,0,1,46,,11,22,1,-,5.0,6,0,,,,field,New Zealand,1,Central Broward Regional Park Stadium Turf Ground,2012,06,New Zealand_West Indies_2012-06-30,West Indies,West Indies,New Zealand,True,209,Left hand Bat,,Right arm Offbreak
45,J Charles,NL McCullum,CH Gayle,0,0,0,46,,13,11,1,-,6.0,6,0,,,,field,New Zealand,1,Central Broward Regional Park Stadium Turf Ground,2012,06,New Zealand_West Indies_2012-06-30,West Indies,West Indies,New Zealand,True,209,,Left hand Bat,Right arm Offbreak
46,CH Gayle,RM Hira,J Charles,0,1,1,47,,11,23,1,wides,0.0,7,0,,,,field,New Zealand,1,Central Broward Regional Park Stadium Turf Ground,2012,06,New Zealand_West Indies_2012-06-30,West Indies,West Indies,New Zealand,True,209,Left hand Bat,,Left arm Orthodox
47,CH Gayle,RM Hira,J Charles,1,0,1,48,,12,24,1,-,1.0,7,0,,,,field,New Zealand,1,Central Broward Regional Park Stadium Turf Ground,2012,06,New Zealand_West Indies_2012-06-30,West Indies,West Indies,New Zealand,True,209,Left hand Bat,,Left arm Orthodox
48,J Charles,RM Hira,CH Gayle,0,0,0,48,,13,12,1,-,2.0,7,0,,,,field,New Zealand,1,Central Broward Regional Park Stadium Turf Ground,2012,06,New Zealand_West Indies_2012-06-30,West Indies,West Indies,New Zealand,True,209,,Left hand Bat,Left arm Orthodox
49,J Charles,RM Hira,CH Gayle,1,0,1,49,,14,13,1,-,3.0,7,0,,,,field,New Zealand,1,Central Broward Regional Park Stadium Turf Ground,2012,06,New Zealand_West Indies_2012-06-30,West Indies,West Indies,New Zealand,True,209,,Left hand Bat,Left arm Orthodox
50,CH Gayle,RM Hira,J Charles,1,0,1,50,,13,25,1,-,4.0,7,0,,,,field,New Zealand,1,Central Broward Regional Park Stadium Turf Ground,2012,06,New Zealand_West Indies_2012-06-30,West Indies,West Indies,New Zealand,True,209,Left hand Bat,,Left arm Orthodox
51,J Charles,RM Hira,CH Gayle,1,0,1,51,,15,14,1,-,5.0,7,0,,,,field,New Zealand,1,Central Broward Regional Park Stadium Turf Ground,2012,06,New Zealand_West Indies_2012-06-30,West Indies,West Indies,New Zealand,True,209,,Left hand Bat,Left arm Orthodox
52,CH Gayle,RM Hira,J Charles,2,0,2,53,,15,26,1,-,6.0,7,0,,,,field,New Zealand,1,Central Broward Regional Park Stadium Turf Ground,2012,06,New Zealand_West Indies_2012-06-30,West Indies,West Indies,New Zealand,True,209,Left hand Bat,,Left arm Orthodox
53,J Charles,NL McCullum,CH Gayle,0,1,1,54,,15,15,1,legbyes,1.0,8,0,,,,field,New Zealand,1,Central Broward Regional Park Stadium Turf Ground,2012,06,New Zealand_West Indies_2012-06-30,West Indies,West Indies,New Zealand,True,209,,Left hand Bat,Right arm Offbreak
54,CH Gayle,NL McCullum,J Charles,1,0,1,55,,16,27,1,-,2.0,8,0,,,,field,New Zealand,1,Central Broward Regional Park Stadium Turf Ground,2012,06,New Zealand_West Indies_2012-06-30,West Indies,West Indies,New Zealand,True,209,Left hand Bat,,Right arm Offbreak
55,J Charles,NL McCullum,CH Gayle,2,0,2,57,,17,16,1,-,3.0,8,0,,,,field,New Zealand,1,Central Broward Regional Park Stadium Turf Ground,2012,06,New Zealand_West Indies_2012-06-30,West Indies,West Indies,New Zealand,True,209,,Left hand Bat,Right arm Offbreak
56,J Charles,NL McCullum,CH Gayle,0,0,0,57,,17,17,1,-,4.0,8,0,,,,field,New Zealand,1,Central Broward Regional Park Stadium Turf Ground,2012,06,New Zealand_West Indies_2012-06-30,West Indies,West Indies,New Zealand,True,209,,Left hand Bat,Right arm Offbreak
57,J Charles,NL McCullum,CH Gayle,1,0,1,58,,18,18,1,-,5.0,8,0,,,,field,New Zealand,1,Central Broward Regional Park Stadium Turf Ground,2012,06,New Zealand_West Indies_2012-06-30,West Indies,West Indies,New Zealand,True,209,,Left hand Bat,Right arm Offbreak
58,CH Gayle,NL McCullum,J Charles,1,0,1,59,,17,28,1,-,6.0,8,0,,,,field,New Zealand,1,Central Broward Regional Park Stadium Turf Ground,2012,06,New Zealand_West Indies_2012-06-30,West Indies,West Indies,New Zealand,True,209,Left hand Bat,,Right arm Offbreak
59,CH Gayle,RM Hira,J Charles,4,0,4,63,,21,29,1,-,1.0,9,0,,,,field,New Zealand,1,Central Broward Regional Park Stadium Turf Ground,2012,06,New Zealand_West Indies_2012-06-30,West Indies,West Indies,New Zealand,True,209,Left hand Bat,,Left arm Orthodox
60,CH Gayle,RM Hira,J Charles,0,0,0,63,,21,30,1,-,2.0,9,0,,,,field,New Zealand,1,Central Broward Regional Park Stadium Turf Ground,2012,06,New Zealand_West Indies_2012-06-30,West Indies,West Indies,New Zealand,True,209,Left hand Bat,,Left arm Orthodox
61,CH Gayle,RM Hira,J Charles,1,0,1,64,,22,31,1,-,3.0,9,0,,,,field,New Zealand,1,Central Broward Regional Park Stadium Turf Ground,2012,06,New Zealand_West Indies_2012-06-30,West Indies,West Indies,New Zealand,True,209,Left hand Bat,,Left arm Orthodox
62,J Charles,RM Hira,CH Gayle,1,0,1,65,,19,19,1,-,4.0,9,0,,,,field,New Zealand,1,Central Broward Regional Park Stadium Turf Ground,2012,06,New Zealand_West Indies_2012-06-30,West Indies,West Indies,New Zealand,True,209,,Left hand Bat,Left arm Orthodox
63,CH Gayle,RM Hira,J Charles,0,0,0,65,,22,32,1,-,5.0,9,0,,,,field,New Zealand,1,Central Broward Regional Park Stadium Turf Ground,2012,06,New Zealand_West Indies_2012-06-30,West Indies,West Indies,New Zealand,True,209,Left hand Bat,,Left arm Orthodox
64,CH Gayle,RM Hira,J Charles,0,2,2,67,,22,33,1,wides,5.0,9,0,,,,field,New Zealand,1,Central Broward Regional Park Stadium Turf Ground,2012,06,New Zealand_West Indies_2012-06-30,West Indies,West Indies,New Zealand,True,209,Left hand Bat,,Left arm Orthodox
65,J Charles,RM Hira,CH Gayle,0,0,0,67,,19,20,1,-,6.0,9,0,,,,field,New Zealand,1,Central Broward Regional Park Stadium Turf Ground,2012,06,New Zealand_West Indies_2012-06-30,West Indies,West Indies,New Zealand,True,209,,Left hand Bat,Left arm Orthodox
66,CH Gayle,NL McCullum,J Charles,4,0,4,71,,26,34,1,-,1.0,10,0,,,,field,New Zealand,1,Central Broward Regional Park Stadium Turf Ground,2012,06,New Zealand_West Indies_2012-06-30,West Indies,West Indies,New Zealand,True,209,Left hand Bat,,Right arm Offbreak
67,CH Gayle,NL McCullum,J Charles,4,0,4,75,,30,35,1,-,2.0,10,0,,,,field,New Zealand,1,Central Broward Regional Park Stadium Turf Ground,2012,06,New Zealand_West Indies_2012-06-30,West Indies,West Indies,New Zealand,True,209,Left hand Bat,,Right arm Offbreak
68,CH Gayle,NL McCullum,J Charles,1,0,1,76,,31,36,1,-,3.0,10,0,,,,field,New Zealand,1,Central Broward Regional Park Stadium Turf Ground,2012,06,New Zealand_West Indies_2012-06-30,West Indies,West Indies,New Zealand,True,209,Left hand Bat,,Right arm Offbreak
69,J Charles,NL McCullum,CH Gayle,0,1,1,77,,19,21,1,byes,4.0,10,0,,,,field,New Zealand,1,Central Broward Regional Park Stadium Turf Ground,2012,06,New Zealand_West Indies_2012-06-30,West Indies,West Indies,New Zealand,True,209,,Left hand Bat,Right arm Offbreak
70,CH Gayle,NL McCullum,J Charles,1,0,1,78,,32,37,1,-,5.0,10,0,,,,field,New Zealand,1,Central Broward Regional Park Stadium Turf Ground,2012,06,New Zealand_West Indies_2012-06-30,West Indies,West Indies,New Zealand,True,209,Left hand Bat,,Right arm Offbreak
71,J Charles,NL McCullum,CH Gayle,0,0,0,78,,19,22,1,-,6.0,10,0,,,,field,New Zealand,1,Central Broward Regional Park Stadium Turf Ground,2012,06,New Zealand_West Indies_2012-06-30,West Indies,West Indies,New Zealand,True,209,,Left hand Bat,Right arm Offbreak
72,CH Gayle,RM Hira,J Charles,6,0,6,84,,38,38,1,-,1.0,11,0,,,,field,New Zealand,1,Central Broward Regional Park Stadium Turf Ground,2012,06,New Zealand_West Indies_2012-06-30,West Indies,West Indies,New Zealand,True,209,Left hand Bat,,Left arm Orthodox
73,CH Gayle,RM Hira,J Charles,1,0,1,85,,39,39,1,-,2.0,11,0,,,,field,New Zealand,1,Central Broward Regional Park Stadium Turf Ground,2012,06,New Zealand_West Indies_2012-06-30,West Indies,West Indies,New Zealand,True,209,Left hand Bat,,Left arm Orthodox
74,J Charles,KS Williamson,CH Gayle,0,0,0,85,,19,23,1,-,3.0,11,0,,,"{'role': [{'in': 'KS Williamson', 'reason': 'injury', 'role': 'bowler'}]}",field,New Zealand,1,Central Broward Regional Park Stadium Turf Ground,2012,06,New Zealand_West Indies_2012-06-30,West Indies,West Indies,New Zealand,True,209,,Left hand Bat,Right arm Offbreak
75,J Charles,KS Williamson,CH Gayle,0,0,0,85,,19,24,1,-,4.0,11,0,,,,field,New Zealand,1,Central Broward Regional Park Stadium Turf Ground,2012,06,New Zealand_West Indies_2012-06-30,West Indies,West Indies,New Zealand,True,209,,Left hand Bat,Right arm Offbreak
76,J Charles,KS Williamson,CH Gayle,1,0,1,86,,20,25,1,-,5.0,11,0,,,,field,New Zealand,1,Central Broward Regional Park Stadium Turf Ground,2012,06,New Zealand_West Indies_2012-06-30,West Indies,West Indies,New Zealand,True,209,,Left hand Bat,Right arm Offbreak
77,CH Gayle,KS Williamson,J Charles,0,2,2,88,,39,40,1,wides,5.0,11,0,,,,field,New Zealand,1,Central Broward Regional Park Stadium Turf Ground,2012,06,New Zealand_West Indies_2012-06-30,West Indies,West Indies,New Zealand,True,209,Left hand Bat,,Right arm Offbreak
78,J Charles,KS Williamson,CH Gayle,2,0,2,90,,22,26,1,-,6.0,11,0,,,,field,New Zealand,1,Central Broward Regional Park Stadium Turf Ground,2012,06,New Zealand_West Indies_2012-06-30,West Indies,West Indies,New Zealand,True,209,,Left hand Bat,Right arm Offbreak
79,CH Gayle,RJ Nicol,J Charles,0,1,1,91,,39,41,1,legbyes,1.0,12,0,,,,field,New Zealand,1,Central Broward Regional Park Stadium Turf Ground,2012,06,New Zealand_West Indies_2012-06-30,West Indies,West Indies,New Zealand,True,209,Left hand Bat,,Right arm Medium
80,J Charles,RJ Nicol,CH Gayle,1,0,1,92,,23,27,1,-,2.0,12,0,,,,field,New Zealand,1,Central Broward Regional Park Stadium Turf Ground,2012,06,New Zealand_West Indies_2012-06-30,West Indies,West Indies,New Zealand,True,209,,Left hand Bat,Right arm Medium
81,CH Gayle,RJ Nicol,J Charles,6,0,6,98,,45,42,1,-,3.0,12,0,,,,field,New Zealand,1,Central Broward Regional Park Stadium Turf Ground,2012,06,New Zealand_West Indies_2012-06-30,West Indies,West Indies,New Zealand,True,209,Left hand Bat,,Right arm Medium
82,CH Gayle,RJ Nicol,J Charles,1,0,1,99,,46,43,1,-,4.0,12,0,,,,field,New Zealand,1,Central Broward Regional Park Stadium Turf Ground,2012,06,New Zealand_West Indies_2012-06-30,West Indies,West Indies,New Zealand,True,209,Left hand Bat,,Right arm Medium
83,J Charles,RJ Nicol,CH Gayle,1,0,1,100,,24,28,1,-,5.0,12,0,,,,field,New Zealand,1,Central Broward Regional Park Stadium Turf Ground,2012,06,New Zealand_West Indies_2012-06-30,West Indies,West Indies,New Zealand,True,209,,Left hand Bat,Right arm Medium
84,CH Gayle,RJ Nicol,J Charles,0,1,1,101,,46,44,1,wides,5.0,12,0,,,,field,New Zealand,1,Central Broward Regional Park Stadium Turf Ground,2012,06,New Zealand_West Indies_2012-06-30,West Indies,West Indies,New Zealand,True,209,Left hand Bat,,Right arm Medium
85,CH Gayle,RJ Nicol,J Charles,0,0,0,101,,46,45,1,-,6.0,12,0,,,,field,New Zealand,1,Central Broward Regional Park Stadium Turf Ground,2012,06,New Zealand_West Indies_2012-06-30,West Indies,West Indies,New Zealand,True,209,Left hand Bat,,Right arm Medium
86,J Charles,KS Williamson,CH Gayle,0,0,0,101,,24,29,2,-,1.0,13,caught,J Charles,JDP Oram,,field,New Zealand,1,Central Broward Regional Park Stadium Turf Ground,2012,06,New Zealand_West Indies_2012-06-30,West Indies,West Indies,New Zealand,True,209,,Left hand Bat,Right arm Offbreak
87,CH Gayle,KS Williamson,KA Pollard,1,0,1,102,,47,46,2,-,2.0,13,0,,,,field,New Zealand,1,Central Broward Regional Park Stadium Turf Ground,2012,06,New Zealand_West Indies_2012-06-30,West Indies,West Indies,New Zealand,True,209,Left hand Bat,Right hand Bat,Right arm Offbreak
88,KA Pollard,KS Williamson,CH Gayle,6,0,6,108,,6,1,2,-,3.0,13,0,,,,field,New Zealand,1,Central Broward Regional Park Stadium Turf Ground,2012,06,New Zealand_West Indies_2012-06-30,West Indies,West Indies,New Zealand,True,209,Right hand Bat,Left hand Bat,Right arm Offbreak
89,KA Pollard,KS Williamson,CH Gayle,2,0,2,110,,8,2,2,-,4.0,13,0,,,,field,New Zealand,1,Central Broward Regional Park Stadium Turf Ground,2012,06,New Zealand_West Indies_2012-06-30,West Indies,West Indies,New Zealand,True,209,Right hand Bat,Left hand Bat,Right arm Offbreak
90,KA Pollard,KS Williamson,CH Gayle,6,0,6,116,,14,3,2,-,5.0,13,0,,,,field,New Zealand,1,Central Broward Regional Park Stadium Turf Ground,2012,06,New Zealand_West Indies_2012-06-30,West Indies,West Indies,New Zealand,True,209,Right hand Bat,Left hand Bat,Right arm Offbreak
91,KA Pollard,KS Williamson,CH Gayle,1,0,1,117,,15,4,2,-,6.0,13,0,,,,field,New Zealand,1,Central Broward Regional Park Stadium Turf Ground,2012,06,New Zealand_West Indies_2012-06-30,West Indies,West Indies,New Zealand,True,209,Right hand Bat,Left hand Bat,Right arm Offbreak
92,KA Pollard,RJ Nicol,CH Gayle,0,1,1,118,,15,5,2,wides,0.0,14,0,,,,field,New Zealand,1,Central Broward Regional Park Stadium Turf Ground,2012,06,New Zealand_West Indies_2012-06-30,West Indies,West Indies,New Zealand,True,209,Right hand Bat,Left hand Bat,Right arm Medium
