,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,over,extra_type,wicket_type,player_out,fielder,review,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,team_final
21,Rahmanullah Gurbaz,AM Fernando,Hazratullah,1,0,1,39,144,28,11,0,4,4,-,0,,,,field,Sri Lanka,1,Sharjah Cricket Stadium,2022,09,Afghanistan_Sri Lanka_2022-09-03,Sri Lanka,Afghanistan,Sri Lanka,175
22,Hazratullah,AM Fernando,Rahmanullah Gurbaz,0,0,0,39,144,11,12,0,5,4,-,0,,,,field,Sri Lanka,1,Sharjah Cricket Stadium,2022,09,Afghanistan_Sri Lanka_2022-09-03,Sri Lanka,Afghanistan,Sri Lanka,175
23,Hazratullah,AM Fernando,Rahmanullah Gurbaz,1,0,1,40,143,12,13,0,6,4,-,0,,,,field,Sri Lanka,1,Sharjah Cricket Stadium,2022,09,Afghanistan_Sri Lanka_2022-09-03,Sri Lanka,Afghanistan,Sri Lanka,175
24,Hazratullah,D Madushanka,Rahmanullah Gurbaz,0,0,0,40,143,12,14,0,1,5,-,0,,,,field,Sri Lanka,1,Sharjah Cricket Stadium,2022,09,Afghanistan_Sri Lanka_2022-09-03,Sri Lanka,Afghanistan,Sri Lanka,175
25,Hazratullah,D Madushanka,Rahmanullah Gurbaz,0,1,1,41,142,12,15,0,2,5,legbyes,0,,,,field,Sri Lanka,1,Sharjah Cricket Stadium,2022,09,Afghanistan_Sri Lanka_2022-09-03,Sri Lanka,Afghanistan,Sri Lanka,175
26,Rahmanullah Gurbaz,D Madushanka,Hazratullah,4,0,4,45,138,32,12,0,3,5,-,0,,,,field,Sri Lanka,1,Sharjah Cricket Stadium,2022,09,Afghanistan_Sri Lanka_2022-09-03,Sri Lanka,Afghanistan,Sri Lanka,175
27,Rahmanullah Gurbaz,D Madushanka,Hazratullah,1,0,1,46,137,33,13,0,4,5,-,0,,,,field,Sri Lanka,1,Sharjah Cricket Stadium,2022,09,Afghanistan_Sri Lanka_2022-09-03,Sri Lanka,Afghanistan,Sri Lanka,175
28,Hazratullah,D Madushanka,Rahmanullah Gurbaz,0,0,0,46,137,12,16,1,5,5,-,bowled,Hazratullah,,,field,Sri Lanka,1,Sharjah Cricket Stadium,2022,09,Afghanistan_Sri Lanka_2022-09-03,Sri Lanka,Afghanistan,Sri Lanka,175
29,Ibrahim Zadran,D Madushanka,Rahmanullah Gurbaz,0,0,0,46,137,0,1,1,6,5,-,0,,,,field,Sri Lanka,1,Sharjah Cricket Stadium,2022,09,Afghanistan_Sri Lanka_2022-09-03,Sri Lanka,Afghanistan,Sri Lanka,175
30,Rahmanullah Gurbaz,PWH de Silva,Ibrahim Zadran,1,0,1,47,136,34,14,1,1,6,-,0,,,,field,Sri Lanka,1,Sharjah Cricket Stadium,2022,09,Afghanistan_Sri Lanka_2022-09-03,Sri Lanka,Afghanistan,Sri Lanka,175
31,Ibrahim Zadran,PWH de Silva,Rahmanullah Gurbaz,2,0,2,49,134,2,2,1,2,6,-,0,,,,field,Sri Lanka,1,Sharjah Cricket Stadium,2022,09,Afghanistan_Sri Lanka_2022-09-03,Sri Lanka,Afghanistan,Sri Lanka,175
32,Ibrahim Zadran,PWH de Silva,Rahmanullah Gurbaz,0,0,0,49,134,2,3,1,3,6,-,0,,,,field,Sri Lanka,1,Sharjah Cricket Stadium,2022,09,Afghanistan_Sri Lanka_2022-09-03,Sri Lanka,Afghanistan,Sri Lanka,175
33,Ibrahim Zadran,PWH de Silva,Rahmanullah Gurbaz,0,0,0,49,134,2,4,1,4,6,-,0,,,,field,Sri Lanka,1,Sharjah Cricket Stadium,2022,09,Afghanistan_Sri Lanka_2022-09-03,Sri Lanka,Afghanistan,Sri Lanka,175
34,Ibrahim Zadran,PWH de Silva,Rahmanullah Gurbaz,0,0,0,49,134,2,5,1,5,6,-,0,,,,field,Sri Lanka,1,Sharjah Cricket Stadium,2022,09,Afghanistan_Sri Lanka_2022-09-03,Sri Lanka,Afghanistan,Sri Lanka,175
35,Ibrahim Zadran,PWH de Silva,Rahmanullah Gurbaz,0,0,0,49,134,2,6,1,6,6,-,0,,,,field,Sri Lanka,1,Sharjah Cricket Stadium,2022,09,Afghanistan_Sri Lanka_2022-09-03,Sri Lanka,Afghanistan,Sri Lanka,175
36,Rahmanullah Gurbaz,D Madushanka,Ibrahim Zadran,4,0,4,53,130,38,15,1,1,7,-,0,,,,field,Sri Lanka,1,Sharjah Cricket Stadium,2022,09,Afghanistan_Sri Lanka_2022-09-03,Sri Lanka,Afghanistan,Sri Lanka,175
37,Rahmanullah Gurbaz,D Madushanka,Ibrahim Zadran,1,0,1,54,129,39,16,1,2,7,-,0,,,,field,Sri Lanka,1,Sharjah Cricket Stadium,2022,09,Afghanistan_Sri Lanka_2022-09-03,Sri Lanka,Afghanistan,Sri Lanka,175
38,Ibrahim Zadran,D Madushanka,Rahmanullah Gurbaz,1,0,1,55,128,3,7,1,3,7,-,0,,,,field,Sri Lanka,1,Sharjah Cricket Stadium,2022,09,Afghanistan_Sri Lanka_2022-09-03,Sri Lanka,Afghanistan,Sri Lanka,175
39,Rahmanullah Gurbaz,D Madushanka,Ibrahim Zadran,1,0,1,56,127,40,17,1,4,7,-,0,,,,field,Sri Lanka,1,Sharjah Cricket Stadium,2022,09,Afghanistan_Sri Lanka_2022-09-03,Sri Lanka,Afghanistan,Sri Lanka,175
