,batter,bowler,non_striker,extras,runs_by_bat,extra_runs,total,team_total,batter_runs,balls_faced,delivery,extra_type,over,wicket_type,player_out,fielder,review,toss_decision,toss_winner,innings,venue,date,batting_team,bowling_team
20,BKG Mendis,Mujeeb Ur Rahman,P Nissanka,,6,0,6,29,11,8,2,-,4,0,,,,field,Sri Lanka,2,Sharjah Cricket Stadium,2022-09-03,Sri Lanka,Afghanistan
21,BKG Mendis,Mujeeb Ur Rahman,P Nissanka,,0,0,0,29,11,9,3,-,4,0,,,,field,Sri Lanka,2,Sharjah Cricket Stadium,2022-09-03,Sri Lanka,Afghanistan
22,BKG Mendis,Mujeeb Ur Rahman,P Nissanka,,1,0,1,30,12,10,4,-,4,0,,,,field,Sri Lanka,2,Sharjah Cricket Stadium,2022-09-03,Sri Lanka,Afghanistan
23,P Nissanka,Mujeeb Ur Rahman,BKG Mendis,,0,0,0,30,17,14,5,-,4,0,,,,field,Sri Lanka,2,Sharjah Cricket Stadium,2022-09-03,Sri Lanka,Afghanistan
24,P Nissanka,Mujeeb Ur Rahman,BKG Mendis,,1,0,1,31,18,15,6,-,4,0,,,,field,Sri Lanka,2,Sharjah Cricket Stadium,2022-09-03,Sri Lanka,Afghanistan
25,P Nissanka,Naveen-ul-Haq,BKG Mendis,{'legbyes': 1},0,1,1,32,18,16,1,legbyes,5,0,,,,field,Sri Lanka,2,Sharjah Cricket Stadium,2022-09-03,Sri Lanka,Afghanistan
26,BKG Mendis,Naveen-ul-Haq,P Nissanka,,2,0,2,34,14,11,2,-,5,0,,,,field,Sri Lanka,2,Sharjah Cricket Stadium,2022-09-03,Sri Lanka,Afghanistan
27,BKG Mendis,Naveen-ul-Haq,P Nissanka,,0,0,0,34,14,12,3,-,5,0,,,,field,Sri Lanka,2,Sharjah Cricket Stadium,2022-09-03,Sri Lanka,Afghanistan
28,BKG Mendis,Naveen-ul-Haq,P Nissanka,,4,0,4,38,18,13,4,-,5,0,,,,field,Sri Lanka,2,Sharjah Cricket Stadium,2022-09-03,Sri Lanka,Afghanistan
29,BKG Mendis,Naveen-ul-Haq,P Nissanka,,1,0,1,39,19,14,5,-,5,0,,,,field,Sri Lanka,2,Sharjah Cricket Stadium,2022-09-03,Sri Lanka,Afghanistan
30,P Nissanka,Naveen-ul-Haq,BKG Mendis,,1,0,1,40,19,17,6,-,5,0,,,,field,Sri Lanka,2,Sharjah Cricket Stadium,2022-09-03,Sri Lanka,Afghanistan
31,P Nissanka,Rashid Khan,BKG Mendis,,2,0,2,42,21,18,1,-,6,0,,,,field,Sri Lanka,2,Sharjah Cricket Stadium,2022-09-03,Sri Lanka,Afghanistan
32,P Nissanka,Rashid Khan,BKG Mendis,,1,0,1,43,22,19,2,-,6,0,,,,field,Sri Lanka,2,Sharjah Cricket Stadium,2022-09-03,Sri Lanka,Afghanistan
33,BKG Mendis,Rashid Khan,P Nissanka,,1,0,1,44,20,15,3,-,6,0,,,,field,Sri Lanka,2,Sharjah Cricket Stadium,2022-09-03,Sri Lanka,Afghanistan
34,P Nissanka,Rashid Khan,BKG Mendis,,1,0,1,45,23,20,4,-,6,0,,,,field,Sri Lanka,2,Sharjah Cricket Stadium,2022-09-03,Sri Lanka,Afghanistan
35,BKG Mendis,Rashid Khan,P Nissanka,,6,0,6,51,26,16,5,-,6,0,,,,field,Sri Lanka,2,Sharjah Cricket Stadium,2022-09-03,Sri Lanka,Afghanistan
36,BKG Mendis,Rashid Khan,P Nissanka,,6,0,6,57,32,17,6,-,6,0,,,,field,Sri Lanka,2,Sharjah Cricket Stadium,2022-09-03,Sri Lanka,Afghanistan
37,P Nissanka,Naveen-ul-Haq,BKG Mendis,,1,0,1,58,24,21,1,-,7,0,,,,field,Sri Lanka,2,Sharjah Cricket Stadium,2022-09-03,Sri Lanka,Afghanistan
38,BKG Mendis,Naveen-ul-Haq,P Nissanka,,4,0,4,62,36,18,2,-,7,0,,,,field,Sri Lanka,2,Sharjah Cricket Stadium,2022-09-03,Sri Lanka,Afghanistan
39,BKG Mendis,Naveen-ul-Haq,P Nissanka,,0,0,0,62,36,19,3,-,7,caught,BKG Mendis,Ibrahim Zadran,,field,Sri Lanka,2,Sharjah Cricket Stadium,2022-09-03,Sri Lanka,Afghanistan
40,KIC Asalanka,Naveen-ul-Haq,P Nissanka,,0,0,0,62,0,1,4,-,7,0,,,,field,Sri Lanka,2,Sharjah Cricket Stadium,2022-09-03,Sri Lanka,Afghanistan
41,KIC Asalanka,Naveen-ul-Haq,P Nissanka,{'wides': 1},0,1,1,63,0,2,5,wides,7,0,,,,field,Sri Lanka,2,Sharjah Cricket Stadium,2022-09-03,Sri Lanka,Afghanistan
42,KIC Asalanka,Naveen-ul-Haq,P Nissanka,,1,0,1,64,1,3,6,-,7,0,,,,field,Sri Lanka,2,Sharjah Cricket Stadium,2022-09-03,Sri Lanka,Afghanistan
43,P Nissanka,Naveen-ul-Haq,KIC Asalanka,,0,0,0,64,24,22,7,-,7,0,,,,field,Sri Lanka,2,Sharjah Cricket Stadium,2022-09-03,Sri Lanka,Afghanistan
44,KIC Asalanka,Mohammad Nabi,P Nissanka,,1,0,1,65,2,4,1,-,8,0,,,,field,Sri Lanka,2,Sharjah Cricket Stadium,2022-09-03,Sri Lanka,Afghanistan
45,P Nissanka,Mohammad Nabi,KIC Asalanka,,2,0,2,67,26,23,2,-,8,0,,,,field,Sri Lanka,2,Sharjah Cricket Stadium,2022-09-03,Sri Lanka,Afghanistan
46,P Nissanka,Mohammad Nabi,KIC Asalanka,,1,0,1,68,27,24,3,-,8,0,,,,field,Sri Lanka,2,Sharjah Cricket Stadium,2022-09-03,Sri Lanka,Afghanistan
47,KIC Asalanka,Mohammad Nabi,P Nissanka,,1,0,1,69,3,5,4,-,8,0,,,,field,Sri Lanka,2,Sharjah Cricket Stadium,2022-09-03,Sri Lanka,Afghanistan
48,P Nissanka,Mohammad Nabi,KIC Asalanka,,1,0,1,70,28,25,5,-,8,0,,,,field,Sri Lanka,2,Sharjah Cricket Stadium,2022-09-03,Sri Lanka,Afghanistan
49,KIC Asalanka,Mohammad Nabi,P Nissanka,,1,0,1,71,4,6,6,-,8,0,,,,field,Sri Lanka,2,Sharjah Cricket Stadium,2022-09-03,Sri Lanka,Afghanistan
50,KIC Asalanka,Mujeeb Ur Rahman,P Nissanka,,1,0,1,72,5,7,1,-,9,0,,,,field,Sri Lanka,2,Sharjah Cricket Stadium,2022-09-03,Sri Lanka,Afghanistan
51,P Nissanka,Mujeeb Ur Rahman,KIC Asalanka,,6,0,6,78,34,26,2,-,9,0,,,,field,Sri Lanka,2,Sharjah Cricket Stadium,2022-09-03,Sri Lanka,Afghanistan
52,P Nissanka,Mujeeb Ur Rahman,KIC Asalanka,,1,0,1,79,35,27,3,-,9,0,,,,field,Sri Lanka,2,Sharjah Cricket Stadium,2022-09-03,Sri Lanka,Afghanistan
53,KIC Asalanka,Mujeeb Ur Rahman,P Nissanka,,1,0,1,80,6,8,4,-,9,0,,,,field,Sri Lanka,2,Sharjah Cricket Stadium,2022-09-03,Sri Lanka,Afghanistan
54,P Nissanka,Mujeeb Ur Rahman,KIC Asalanka,,0,0,0,80,35,28,5,-,9,0,,,,field,Sri Lanka,2,Sharjah Cricket Stadium,2022-09-03,Sri Lanka,Afghanistan
55,P Nissanka,Mujeeb Ur Rahman,KIC Asalanka,,0,0,0,80,35,29,6,-,9,caught,P Nissanka,Rahmanullah Gurbaz,,field,Sri Lanka,2,Sharjah Cricket Stadium,2022-09-03,Sri Lanka,Afghanistan
56,KIC Asalanka,Mohammad Nabi,MD Gunathilaka,,1,0,1,81,7,9,1,-,10,0,,,,field,Sri Lanka,2,Sharjah Cricket Stadium,2022-09-03,Sri Lanka,Afghanistan
57,MD Gunathilaka,Mohammad Nabi,KIC Asalanka,,0,0,0,81,0,1,2,-,10,0,,,,field,Sri Lanka,2,Sharjah Cricket Stadium,2022-09-03,Sri Lanka,Afghanistan
58,MD Gunathilaka,Mohammad Nabi,KIC Asalanka,,1,0,1,82,1,2,3,-,10,0,,,,field,Sri Lanka,2,Sharjah Cricket Stadium,2022-09-03,Sri Lanka,Afghanistan
59,KIC Asalanka,Mohammad Nabi,MD Gunathilaka,,0,0,0,82,7,10,4,-,10,0,,,,field,Sri Lanka,2,Sharjah Cricket Stadium,2022-09-03,Sri Lanka,Afghanistan
60,KIC Asalanka,Mohammad Nabi,MD Gunathilaka,,0,0,0,82,7,11,5,-,10,0,,,,field,Sri Lanka,2,Sharjah Cricket Stadium,2022-09-03,Sri Lanka,Afghanistan
61,KIC Asalanka,Mohammad Nabi,MD Gunathilaka,,0,0,0,82,7,12,6,-,10,0,,,,field,Sri Lanka,2,Sharjah Cricket Stadium,2022-09-03,Sri Lanka,Afghanistan
62,MD Gunathilaka,Rashid Khan,KIC Asalanka,,2,0,2,84,3,3,1,-,11,0,,,,field,Sri Lanka,2,Sharjah Cricket Stadium,2022-09-03,Sri Lanka,Afghanistan
63,MD Gunathilaka,Rashid Khan,KIC Asalanka,,1,0,1,85,4,4,2,-,11,0,,,,field,Sri Lanka,2,Sharjah Cricket Stadium,2022-09-03,Sri Lanka,Afghanistan
64,KIC Asalanka,Rashid Khan,MD Gunathilaka,,0,0,0,85,7,13,3,-,11,0,,,,field,Sri Lanka,2,Sharjah Cricket Stadium,2022-09-03,Sri Lanka,Afghanistan
65,KIC Asalanka,Rashid Khan,MD Gunathilaka,,1,0,1,86,8,14,4,-,11,0,,,,field,Sri Lanka,2,Sharjah Cricket Stadium,2022-09-03,Sri Lanka,Afghanistan
66,MD Gunathilaka,Rashid Khan,KIC Asalanka,,0,0,0,86,4,5,5,-,11,0,,,,field,Sri Lanka,2,Sharjah Cricket Stadium,2022-09-03,Sri Lanka,Afghanistan
67,MD Gunathilaka,Rashid Khan,KIC Asalanka,{'legbyes': 1},0,1,1,87,4,6,6,legbyes,11,0,,,,field,Sri Lanka,2,Sharjah Cricket Stadium,2022-09-03,Sri Lanka,Afghanistan
68,MD Gunathilaka,Mohammad Nabi,KIC Asalanka,,6,0,6,93,10,7,1,-,12,0,,,,field,Sri Lanka,2,Sharjah Cricket Stadium,2022-09-03,Sri Lanka,Afghanistan
69,MD Gunathilaka,Mohammad Nabi,KIC Asalanka,,1,0,1,94,11,8,2,-,12,0,,,,field,Sri Lanka,2,Sharjah Cricket Stadium,2022-09-03,Sri Lanka,Afghanistan
70,KIC Asalanka,Mohammad Nabi,MD Gunathilaka,,0,0,0,94,8,15,3,-,12,bowled,KIC Asalanka,,,field,Sri Lanka,2,Sharjah Cricket Stadium,2022-09-03,Sri Lanka,Afghanistan
71,MD Shanaka,Mohammad Nabi,MD Gunathilaka,,1,0,1,95,1,1,4,-,12,0,,,,field,Sri Lanka,2,Sharjah Cricket Stadium,2022-09-03,Sri Lanka,Afghanistan
72,MD Gunathilaka,Mohammad Nabi,MD Shanaka,,2,0,2,97,13,9,5,-,12,0,,,,field,Sri Lanka,2,Sharjah Cricket Stadium,2022-09-03,Sri Lanka,Afghanistan
73,MD Gunathilaka,Mohammad Nabi,MD Shanaka,,4,0,4,101,17,10,6,-,12,0,,,,field,Sri Lanka,2,Sharjah Cricket Stadium,2022-09-03,Sri Lanka,Afghanistan
74,MD Shanaka,Rashid Khan,MD Gunathilaka,,0,0,0,101,1,2,1,-,13,0,,,"{'by': 'Sri Lanka', 'umpire': 'Gazi Sohel', 'batter': 'MD Shanaka', 'decision': 'upheld'}",field,Sri Lanka,2,Sharjah Cricket Stadium,2022-09-03,Sri Lanka,Afghanistan
75,MD Shanaka,Rashid Khan,MD Gunathilaka,,4,0,4,105,5,3,2,-,13,0,,,,field,Sri Lanka,2,Sharjah Cricket Stadium,2022-09-03,Sri Lanka,Afghanistan
76,MD Shanaka,Rashid Khan,MD Gunathilaka,,1,0,1,106,6,4,3,-,13,0,,,,field,Sri Lanka,2,Sharjah Cricket Stadium,2022-09-03,Sri Lanka,Afghanistan
77,MD Gunathilaka,Rashid Khan,MD Shanaka,,1,0,1,107,18,11,4,-,13,0,,,,field,Sri Lanka,2,Sharjah Cricket Stadium,2022-09-03,Sri Lanka,Afghanistan
78,MD Shanaka,Rashid Khan,MD Gunathilaka,,1,0,1,108,7,5,5,-,13,0,,,,field,Sri Lanka,2,Sharjah Cricket Stadium,2022-09-03,Sri Lanka,Afghanistan
79,MD Gunathilaka,Rashid Khan,MD Shanaka,,0,0,0,108,18,12,6,-,13,0,,,,field,Sri Lanka,2,Sharjah Cricket Stadium,2022-09-03,Sri Lanka,Afghanistan
80,MD Shanaka,Mohammad Nabi,MD Gunathilaka,,1,0,1,109,8,6,1,-,14,0,,,,field,Sri Lanka,2,Sharjah Cricket Stadium,2022-09-03,Sri Lanka,Afghanistan
81,MD Gunathilaka,Mohammad Nabi,MD Shanaka,,1,0,1,110,19,13,2,-,14,0,,,,field,Sri Lanka,2,Sharjah Cricket Stadium,2022-09-03,Sri Lanka,Afghanistan
82,MD Shanaka,Mohammad Nabi,MD Gunathilaka,,1,0,1,111,9,7,3,-,14,0,,,,field,Sri Lanka,2,Sharjah Cricket Stadium,2022-09-03,Sri Lanka,Afghanistan
83,MD Gunathilaka,Mohammad Nabi,MD Shanaka,,6,0,6,117,25,14,4,-,14,0,,,,field,Sri Lanka,2,Sharjah Cricket Stadium,2022-09-03,Sri Lanka,Afghanistan
84,MD Gunathilaka,Mohammad Nabi,MD Shanaka,,1,0,1,118,26,15,5,-,14,0,,,,field,Sri Lanka,2,Sharjah Cricket Stadium,2022-09-03,Sri Lanka,Afghanistan
85,MD Shanaka,Mohammad Nabi,MD Gunathilaka,,1,0,1,119,10,8,6,-,14,0,,,,field,Sri Lanka,2,Sharjah Cricket Stadium,2022-09-03,Sri Lanka,Afghanistan
86,MD Shanaka,Mujeeb Ur Rahman,MD Gunathilaka,,0,0,0,119,10,9,1,-,15,caught,MD Shanaka,Najibullah Zadran,,field,Sri Lanka,2,Sharjah Cricket Stadium,2022-09-03,Sri Lanka,Afghanistan
87,PBB Rajapaksa,Mujeeb Ur Rahman,MD Gunathilaka,,1,0,1,120,1,1,2,-,15,0,,,,field,Sri Lanka,2,Sharjah Cricket Stadium,2022-09-03,Sri Lanka,Afghanistan
88,MD Gunathilaka,Mujeeb Ur Rahman,PBB Rajapaksa,{'wides': 1},0,1,1,121,26,16,3,wides,15,0,,,,field,Sri Lanka,2,Sharjah Cricket Stadium,2022-09-03,Sri Lanka,Afghanistan
89,MD Gunathilaka,Mujeeb Ur Rahman,PBB Rajapaksa,,1,0,1,122,27,17,4,-,15,0,,,,field,Sri Lanka,2,Sharjah Cricket Stadium,2022-09-03,Sri Lanka,Afghanistan
90,PBB Rajapaksa,Mujeeb Ur Rahman,MD Gunathilaka,,0,0,0,122,1,2,5,-,15,0,,,,field,Sri Lanka,2,Sharjah Cricket Stadium,2022-09-03,Sri Lanka,Afghanistan
91,PBB Rajapaksa,Mujeeb Ur Rahman,MD Gunathilaka,,4,0,4,126,5,3,6,-,15,0,,,,field,Sri Lanka,2,Sharjah Cricket Stadium,2022-09-03,Sri Lanka,Afghanistan
92,PBB Rajapaksa,Mujeeb Ur Rahman,MD Gunathilaka,,1,0,1,127,6,4,7,-,15,0,,,,field,Sri Lanka,2,Sharjah Cricket Stadium,2022-09-03,Sri Lanka,Afghanistan
93,PBB Rajapaksa,Naveen-ul-Haq,MD Gunathilaka,,4,0,4,131,10,5,1,-,16,0,,,,field,Sri Lanka,2,Sharjah Cricket Stadium,2022-09-03,Sri Lanka,Afghanistan
94,PBB Rajapaksa,Naveen-ul-Haq,MD Gunathilaka,,4,0,4,135,14,6,2,-,16,0,,,,field,Sri Lanka,2,Sharjah Cricket Stadium,2022-09-03,Sri Lanka,Afghanistan
95,PBB Rajapaksa,Naveen-ul-Haq,MD Gunathilaka,,6,0,6,141,20,7,3,-,16,0,,,,field,Sri Lanka,2,Sharjah Cricket Stadium,2022-09-03,Sri Lanka,Afghanistan
96,PBB Rajapaksa,Naveen-ul-Haq,MD Gunathilaka,,1,0,1,142,21,8,4,-,16,0,,,,field,Sri Lanka,2,Sharjah Cricket Stadium,2022-09-03,Sri Lanka,Afghanistan
97,MD Gunathilaka,Naveen-ul-Haq,PBB Rajapaksa,,1,0,1,143,28,18,5,-,16,0,,,,field,Sri Lanka,2,Sharjah Cricket Stadium,2022-09-03,Sri Lanka,Afghanistan
98,PBB Rajapaksa,Naveen-ul-Haq,MD Gunathilaka,,2,0,2,145,23,9,6,-,16,0,,,,field,Sri Lanka,2,Sharjah Cricket Stadium,2022-09-03,Sri Lanka,Afghanistan
99,MD Gunathilaka,Rashid Khan,PBB Rajapaksa,,4,0,4,149,32,19,1,-,17,0,,,,field,Sri Lanka,2,Sharjah Cricket Stadium,2022-09-03,Sri Lanka,Afghanistan
100,MD Gunathilaka,Rashid Khan,PBB Rajapaksa,,1,0,1,150,33,20,2,-,17,0,,,,field,Sri Lanka,2,Sharjah Cricket Stadium,2022-09-03,Sri Lanka,Afghanistan
101,PBB Rajapaksa,Rashid Khan,MD Gunathilaka,,1,0,1,151,24,10,3,-,17,0,,,,field,Sri Lanka,2,Sharjah Cricket Stadium,2022-09-03,Sri Lanka,Afghanistan
102,MD Gunathilaka,Rashid Khan,PBB Rajapaksa,,0,0,0,151,33,21,4,-,17,bowled,MD Gunathilaka,,,field,Sri Lanka,2,Sharjah Cricket Stadium,2022-09-03,Sri Lanka,Afghanistan
103,PWH de Silva,Rashid Khan,PBB Rajapaksa,,4,0,4,155,4,1,5,-,17,0,,,,field,Sri Lanka,2,Sharjah Cricket Stadium,2022-09-03,Sri Lanka,Afghanistan
104,PWH de Silva,Rashid Khan,PBB Rajapaksa,,1,0,1,156,5,2,6,-,17,0,,,,field,Sri Lanka,2,Sharjah Cricket Stadium,2022-09-03,Sri Lanka,Afghanistan
105,PWH de Silva,Fazalhaq Farooqi,PBB Rajapaksa,,1,0,1,157,6,3,1,-,18,0,,,,field,Sri Lanka,2,Sharjah Cricket Stadium,2022-09-03,Sri Lanka,Afghanistan
106,PBB Rajapaksa,Fazalhaq Farooqi,PWH de Silva,,1,0,1,158,25,11,2,-,18,0,,,,field,Sri Lanka,2,Sharjah Cricket Stadium,2022-09-03,Sri Lanka,Afghanistan
107,PWH de Silva,Fazalhaq Farooqi,PBB Rajapaksa,,4,0,4,162,10,4,3,-,18,0,,,,field,Sri Lanka,2,Sharjah Cricket Stadium,2022-09-03,Sri Lanka,Afghanistan
108,PWH de Silva,Fazalhaq Farooqi,PBB Rajapaksa,,0,0,0,162,10,5,4,-,18,0,,,,field,Sri Lanka,2,Sharjah Cricket Stadium,2022-09-03,Sri Lanka,Afghanistan
109,PWH de Silva,Fazalhaq Farooqi,PBB Rajapaksa,,4,0,4,166,14,6,5,-,18,0,,,,field,Sri Lanka,2,Sharjah Cricket Stadium,2022-09-03,Sri Lanka,Afghanistan
110,PWH de Silva,Fazalhaq Farooqi,PBB Rajapaksa,,2,0,2,168,16,7,6,-,18,0,,,,field,Sri Lanka,2,Sharjah Cricket Stadium,2022-09-03,Sri Lanka,Afghanistan
111,PBB Rajapaksa,Naveen-ul-Haq,PWH de Silva,,4,0,4,172,29,12,1,-,19,0,,,,field,Sri Lanka,2,Sharjah Cricket Stadium,2022-09-03,Sri Lanka,Afghanistan
112,PBB Rajapaksa,Naveen-ul-Haq,PWH de Silva,,2,0,2,174,31,13,2,-,19,0,,,,field,Sri Lanka,2,Sharjah Cricket Stadium,2022-09-03,Sri Lanka,Afghanistan
113,PBB Rajapaksa,Naveen-ul-Haq,PWH de Silva,,0,0,0,174,31,14,3,-,19,bowled,PBB Rajapaksa,,,field,Sri Lanka,2,Sharjah Cricket Stadium,2022-09-03,Sri Lanka,Afghanistan
114,C Karunaratne,Naveen-ul-Haq,PWH de Silva,,1,0,1,175,1,1,4,-,19,0,,,,field,Sri Lanka,2,Sharjah Cricket Stadium,2022-09-03,Sri Lanka,Afghanistan
115,PWH de Silva,Naveen-ul-Haq,C Karunaratne,,0,0,0,175,16,8,5,-,19,0,,,,field,Sri Lanka,2,Sharjah Cricket Stadium,2022-09-03,Sri Lanka,Afghanistan
116,PWH de Silva,Naveen-ul-Haq,C Karunaratne,,0,0,0,175,16,9,6,-,19,0,,,,field,Sri Lanka,2,Sharjah Cricket Stadium,2022-09-03,Sri Lanka,Afghanistan
117,C Karunaratne,Fazalhaq Farooqi,PWH de Silva,,4,0,4,179,5,2,1,-,20,0,,,,field,Sri Lanka,2,Sharjah Cricket Stadium,2022-09-03,Sri Lanka,Afghanistan
