,batter,bowler,non_striker,review,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,over,extra_type,wicket_type,player_out,fielder,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,won,final_team_total
25,Mohammad Rizwan,Arshdeep Singh,Fakhar Zaman,,0,0,0,23,,7,13,1,6,3,-,0,,,field,India,1,Dubai International Cricket Stadium,2022,08,Pakistan_India_2022-08-28,India,Pakistan,India,False,147
26,Fakhar Zaman,HH Pandya,Mohammad Rizwan,,4,0,4,27,,8,3,1,1,4,-,0,,,field,India,1,Dubai International Cricket Stadium,2022,08,Pakistan_India_2022-08-28,India,Pakistan,India,False,147
27,Fakhar Zaman,HH Pandya,Mohammad Rizwan,,1,0,1,28,,9,4,1,2,4,-,0,,,field,India,1,Dubai International Cricket Stadium,2022,08,Pakistan_India_2022-08-28,India,Pakistan,India,False,147
28,Mohammad Rizwan,HH Pandya,Fakhar Zaman,,0,0,0,28,,7,14,1,3,4,-,0,,,field,India,1,Dubai International Cricket Stadium,2022,08,Pakistan_India_2022-08-28,India,Pakistan,India,False,147
29,Mohammad Rizwan,HH Pandya,Fakhar Zaman,,2,0,2,30,,9,15,1,4,4,-,0,,,field,India,1,Dubai International Cricket Stadium,2022,08,Pakistan_India_2022-08-28,India,Pakistan,India,False,147
30,Mohammad Rizwan,HH Pandya,Fakhar Zaman,,0,0,0,30,,9,16,1,5,4,-,0,,,field,India,1,Dubai International Cricket Stadium,2022,08,Pakistan_India_2022-08-28,India,Pakistan,India,False,147
31,Mohammad Rizwan,HH Pandya,Fakhar Zaman,,0,0,0,30,,9,17,1,6,4,-,0,,,field,India,1,Dubai International Cricket Stadium,2022,08,Pakistan_India_2022-08-28,India,Pakistan,India,False,147
32,Fakhar Zaman,Avesh Khan,Mohammad Rizwan,,1,0,1,31,,10,5,1,1,5,-,0,,,field,India,1,Dubai International Cricket Stadium,2022,08,Pakistan_India_2022-08-28,India,Pakistan,India,False,147
33,Mohammad Rizwan,Avesh Khan,Fakhar Zaman,,6,0,6,37,,15,18,1,2,5,-,0,,,field,India,1,Dubai International Cricket Stadium,2022,08,Pakistan_India_2022-08-28,India,Pakistan,India,False,147
34,Mohammad Rizwan,Avesh Khan,Fakhar Zaman,,4,0,4,41,,19,19,1,3,5,-,0,,,field,India,1,Dubai International Cricket Stadium,2022,08,Pakistan_India_2022-08-28,India,Pakistan,India,False,147
35,Mohammad Rizwan,Avesh Khan,Fakhar Zaman,,1,0,1,42,,20,20,1,4,5,-,0,,,field,India,1,Dubai International Cricket Stadium,2022,08,Pakistan_India_2022-08-28,India,Pakistan,India,False,147
36,Fakhar Zaman,Avesh Khan,Mohammad Rizwan,,0,0,0,42,,10,6,2,5,5,-,caught,Fakhar Zaman,KD Karthik,field,India,1,Dubai International Cricket Stadium,2022,08,Pakistan_India_2022-08-28,India,Pakistan,India,False,147
37,Iftikhar Ahmed,Avesh Khan,Mohammad Rizwan,,1,0,1,43,,1,1,2,6,5,-,0,,,field,India,1,Dubai International Cricket Stadium,2022,08,Pakistan_India_2022-08-28,India,Pakistan,India,False,147
38,Iftikhar Ahmed,HH Pandya,Mohammad Rizwan,,1,0,1,44,,2,2,2,1,6,-,0,,,field,India,1,Dubai International Cricket Stadium,2022,08,Pakistan_India_2022-08-28,India,Pakistan,India,False,147
39,Mohammad Rizwan,HH Pandya,Iftikhar Ahmed,,1,0,1,45,,21,21,2,2,6,-,0,,,field,India,1,Dubai International Cricket Stadium,2022,08,Pakistan_India_2022-08-28,India,Pakistan,India,False,147
40,Iftikhar Ahmed,HH Pandya,Mohammad Rizwan,,0,0,0,45,,2,3,2,3,6,-,0,,,field,India,1,Dubai International Cricket Stadium,2022,08,Pakistan_India_2022-08-28,India,Pakistan,India,False,147
41,Iftikhar Ahmed,HH Pandya,Mohammad Rizwan,,4,0,4,49,,6,4,2,4,6,-,0,,,field,India,1,Dubai International Cricket Stadium,2022,08,Pakistan_India_2022-08-28,India,Pakistan,India,False,147
42,Iftikhar Ahmed,HH Pandya,Mohammad Rizwan,,1,0,1,50,,7,5,2,5,6,-,0,,,field,India,1,Dubai International Cricket Stadium,2022,08,Pakistan_India_2022-08-28,India,Pakistan,India,False,147
43,Mohammad Rizwan,HH Pandya,Iftikhar Ahmed,,1,0,1,51,,22,22,2,6,6,-,0,,,field,India,1,Dubai International Cricket Stadium,2022,08,Pakistan_India_2022-08-28,India,Pakistan,India,False,147
44,Mohammad Rizwan,YS Chahal,Iftikhar Ahmed,,0,0,0,51,,22,23,2,1,7,-,0,,,field,India,1,Dubai International Cricket Stadium,2022,08,Pakistan_India_2022-08-28,India,Pakistan,India,False,147
45,Mohammad Rizwan,YS Chahal,Iftikhar Ahmed,,1,0,1,52,,23,24,2,2,7,-,0,,,field,India,1,Dubai International Cricket Stadium,2022,08,Pakistan_India_2022-08-28,India,Pakistan,India,False,147
46,Iftikhar Ahmed,YS Chahal,Mohammad Rizwan,,4,0,4,56,,11,6,2,3,7,-,0,,,field,India,1,Dubai International Cricket Stadium,2022,08,Pakistan_India_2022-08-28,India,Pakistan,India,False,147
47,Iftikhar Ahmed,YS Chahal,Mohammad Rizwan,,1,0,1,57,,12,7,2,4,7,-,0,,,field,India,1,Dubai International Cricket Stadium,2022,08,Pakistan_India_2022-08-28,India,Pakistan,India,False,147
48,Mohammad Rizwan,YS Chahal,Iftikhar Ahmed,,1,0,1,58,,24,25,2,5,7,-,0,,,field,India,1,Dubai International Cricket Stadium,2022,08,Pakistan_India_2022-08-28,India,Pakistan,India,False,147
49,Iftikhar Ahmed,YS Chahal,Mohammad Rizwan,,1,0,1,59,,13,8,2,6,7,-,0,,,field,India,1,Dubai International Cricket Stadium,2022,08,Pakistan_India_2022-08-28,India,Pakistan,India,False,147
50,Iftikhar Ahmed,RA Jadeja,Mohammad Rizwan,,0,0,0,59,,13,9,2,1,8,-,0,,,field,India,1,Dubai International Cricket Stadium,2022,08,Pakistan_India_2022-08-28,India,Pakistan,India,False,147
51,Iftikhar Ahmed,RA Jadeja,Mohammad Rizwan,,1,0,1,60,,14,10,2,2,8,-,0,,,field,India,1,Dubai International Cricket Stadium,2022,08,Pakistan_India_2022-08-28,India,Pakistan,India,False,147
52,Mohammad Rizwan,RA Jadeja,Iftikhar Ahmed,,1,0,1,61,,25,26,2,3,8,-,0,,,field,India,1,Dubai International Cricket Stadium,2022,08,Pakistan_India_2022-08-28,India,Pakistan,India,False,147
53,Iftikhar Ahmed,RA Jadeja,Mohammad Rizwan,,0,1,1,62,,14,11,2,4,8,byes,0,,,field,India,1,Dubai International Cricket Stadium,2022,08,Pakistan_India_2022-08-28,India,Pakistan,India,False,147
54,Mohammad Rizwan,RA Jadeja,Iftikhar Ahmed,,0,0,0,62,,25,27,2,5,8,-,0,,,field,India,1,Dubai International Cricket Stadium,2022,08,Pakistan_India_2022-08-28,India,Pakistan,India,False,147
55,Mohammad Rizwan,RA Jadeja,Iftikhar Ahmed,,1,0,1,63,,26,28,2,6,8,-,0,,,field,India,1,Dubai International Cricket Stadium,2022,08,Pakistan_India_2022-08-28,India,Pakistan,India,False,147
56,Mohammad Rizwan,YS Chahal,Iftikhar Ahmed,,1,0,1,64,,27,29,2,1,9,-,0,,,field,India,1,Dubai International Cricket Stadium,2022,08,Pakistan_India_2022-08-28,India,Pakistan,India,False,147
57,Iftikhar Ahmed,YS Chahal,Mohammad Rizwan,,0,0,0,64,,14,12,2,2,9,-,0,,,field,India,1,Dubai International Cricket Stadium,2022,08,Pakistan_India_2022-08-28,India,Pakistan,India,False,147
58,Iftikhar Ahmed,YS Chahal,Mohammad Rizwan,,1,0,1,65,,15,13,2,3,9,-,0,,,field,India,1,Dubai International Cricket Stadium,2022,08,Pakistan_India_2022-08-28,India,Pakistan,India,False,147
59,Mohammad Rizwan,YS Chahal,Iftikhar Ahmed,,1,0,1,66,,28,30,2,4,9,-,0,,,field,India,1,Dubai International Cricket Stadium,2022,08,Pakistan_India_2022-08-28,India,Pakistan,India,False,147
60,Iftikhar Ahmed,YS Chahal,Mohammad Rizwan,,1,0,1,67,,16,14,2,5,9,-,0,,,field,India,1,Dubai International Cricket Stadium,2022,08,Pakistan_India_2022-08-28,India,Pakistan,India,False,147
61,Mohammad Rizwan,YS Chahal,Iftikhar Ahmed,,1,0,1,68,,29,31,2,6,9,-,0,,,field,India,1,Dubai International Cricket Stadium,2022,08,Pakistan_India_2022-08-28,India,Pakistan,India,False,147
62,Mohammad Rizwan,RA Jadeja,Iftikhar Ahmed,,4,0,4,72,,33,32,2,1,10,-,0,,,field,India,1,Dubai International Cricket Stadium,2022,08,Pakistan_India_2022-08-28,India,Pakistan,India,False,147
63,Mohammad Rizwan,RA Jadeja,Iftikhar Ahmed,,1,0,1,73,,34,33,2,2,10,-,0,,,field,India,1,Dubai International Cricket Stadium,2022,08,Pakistan_India_2022-08-28,India,Pakistan,India,False,147
64,Iftikhar Ahmed,RA Jadeja,Mohammad Rizwan,,1,0,1,74,,17,15,2,3,10,-,0,,,field,India,1,Dubai International Cricket Stadium,2022,08,Pakistan_India_2022-08-28,India,Pakistan,India,False,147
65,Mohammad Rizwan,RA Jadeja,Iftikhar Ahmed,,0,0,0,74,,34,34,2,4,10,-,0,,,field,India,1,Dubai International Cricket Stadium,2022,08,Pakistan_India_2022-08-28,India,Pakistan,India,False,147
66,Mohammad Rizwan,RA Jadeja,Iftikhar Ahmed,,1,0,1,75,,35,35,2,5,10,-,0,,,field,India,1,Dubai International Cricket Stadium,2022,08,Pakistan_India_2022-08-28,India,Pakistan,India,False,147
67,Iftikhar Ahmed,RA Jadeja,Mohammad Rizwan,,1,0,1,76,,18,16,2,6,10,-,0,,,field,India,1,Dubai International Cricket Stadium,2022,08,Pakistan_India_2022-08-28,India,Pakistan,India,False,147
68,Iftikhar Ahmed,YS Chahal,Mohammad Rizwan,,2,0,2,78,,20,17,2,1,11,-,0,,,field,India,1,Dubai International Cricket Stadium,2022,08,Pakistan_India_2022-08-28,India,Pakistan,India,False,147
69,Iftikhar Ahmed,YS Chahal,Mohammad Rizwan,,1,0,1,79,,21,18,2,2,11,-,0,,,field,India,1,Dubai International Cricket Stadium,2022,08,Pakistan_India_2022-08-28,India,Pakistan,India,False,147
70,Mohammad Rizwan,YS Chahal,Iftikhar Ahmed,,1,0,1,80,,36,36,2,3,11,-,0,,,field,India,1,Dubai International Cricket Stadium,2022,08,Pakistan_India_2022-08-28,India,Pakistan,India,False,147
71,Iftikhar Ahmed,YS Chahal,Mohammad Rizwan,,6,0,6,86,,27,19,2,4,11,-,0,,,field,India,1,Dubai International Cricket Stadium,2022,08,Pakistan_India_2022-08-28,India,Pakistan,India,False,147
72,Iftikhar Ahmed,YS Chahal,Mohammad Rizwan,,0,0,0,86,,27,20,2,5,11,-,0,,,field,India,1,Dubai International Cricket Stadium,2022,08,Pakistan_India_2022-08-28,India,Pakistan,India,False,147
73,Iftikhar Ahmed,YS Chahal,Mohammad Rizwan,,1,0,1,87,,28,21,2,6,11,-,0,,,field,India,1,Dubai International Cricket Stadium,2022,08,Pakistan_India_2022-08-28,India,Pakistan,India,False,147
74,Iftikhar Ahmed,HH Pandya,Mohammad Rizwan,,0,0,0,87,,28,22,3,1,12,-,caught,Iftikhar Ahmed,KD Karthik,field,India,1,Dubai International Cricket Stadium,2022,08,Pakistan_India_2022-08-28,India,Pakistan,India,False,147
75,Khushdil Shah,HH Pandya,Mohammad Rizwan,,0,0,0,87,,0,1,3,2,12,-,0,,,field,India,1,Dubai International Cricket Stadium,2022,08,Pakistan_India_2022-08-28,India,Pakistan,India,False,147
76,Khushdil Shah,HH Pandya,Mohammad Rizwan,,0,0,0,87,,0,2,3,3,12,-,0,,,field,India,1,Dubai International Cricket Stadium,2022,08,Pakistan_India_2022-08-28,India,Pakistan,India,False,147
77,Khushdil Shah,HH Pandya,Mohammad Rizwan,,1,0,1,88,,1,3,3,4,12,-,0,,,field,India,1,Dubai International Cricket Stadium,2022,08,Pakistan_India_2022-08-28,India,Pakistan,India,False,147
78,Mohammad Rizwan,HH Pandya,Khushdil Shah,,0,0,0,88,,36,37,3,5,12,-,0,,,field,India,1,Dubai International Cricket Stadium,2022,08,Pakistan_India_2022-08-28,India,Pakistan,India,False,147
79,Mohammad Rizwan,HH Pandya,Khushdil Shah,,2,0,2,90,,38,38,3,6,12,-,0,,,field,India,1,Dubai International Cricket Stadium,2022,08,Pakistan_India_2022-08-28,India,Pakistan,India,False,147
80,Khushdil Shah,Avesh Khan,Mohammad Rizwan,,0,0,0,90,,1,4,3,1,13,-,0,,,field,India,1,Dubai International Cricket Stadium,2022,08,Pakistan_India_2022-08-28,India,Pakistan,India,False,147
81,Khushdil Shah,Avesh Khan,Mohammad Rizwan,,0,0,0,90,,1,5,3,2,13,-,0,,,field,India,1,Dubai International Cricket Stadium,2022,08,Pakistan_India_2022-08-28,India,Pakistan,India,False,147
82,Khushdil Shah,Avesh Khan,Mohammad Rizwan,,1,0,1,91,,2,6,3,3,13,-,0,,,field,India,1,Dubai International Cricket Stadium,2022,08,Pakistan_India_2022-08-28,India,Pakistan,India,False,147
83,Mohammad Rizwan,Avesh Khan,Khushdil Shah,,4,0,4,95,,42,39,3,4,13,-,0,,,field,India,1,Dubai International Cricket Stadium,2022,08,Pakistan_India_2022-08-28,India,Pakistan,India,False,147
84,Mohammad Rizwan,Avesh Khan,Khushdil Shah,,0,0,0,95,,42,40,3,5,13,-,0,,,field,India,1,Dubai International Cricket Stadium,2022,08,Pakistan_India_2022-08-28,India,Pakistan,India,False,147
85,Mohammad Rizwan,Avesh Khan,Khushdil Shah,,1,0,1,96,,43,41,3,6,13,-,0,,,field,India,1,Dubai International Cricket Stadium,2022,08,Pakistan_India_2022-08-28,India,Pakistan,India,False,147
86,Mohammad Rizwan,HH Pandya,Khushdil Shah,,0,0,0,96,,43,42,4,1,14,-,caught,Mohammad Rizwan,Avesh Khan,field,India,1,Dubai International Cricket Stadium,2022,08,Pakistan_India_2022-08-28,India,Pakistan,India,False,147
87,Shadab Khan,HH Pandya,Khushdil Shah,,1,0,1,97,,1,1,4,2,14,-,0,,,field,India,1,Dubai International Cricket Stadium,2022,08,Pakistan_India_2022-08-28,India,Pakistan,India,False,147
88,Khushdil Shah,HH Pandya,Shadab Khan,,0,0,0,97,,2,7,5,3,14,-,caught,Khushdil Shah,RA Jadeja,field,India,1,Dubai International Cricket Stadium,2022,08,Pakistan_India_2022-08-28,India,Pakistan,India,False,147
89,Shadab Khan,HH Pandya,Asif Ali,,0,1,1,98,,1,2,5,4,14,wides,0,,,field,India,1,Dubai International Cricket Stadium,2022,08,Pakistan_India_2022-08-28,India,Pakistan,India,False,147
90,Shadab Khan,HH Pandya,Asif Ali,,0,1,1,99,,1,3,5,5,14,wides,0,,,field,India,1,Dubai International Cricket Stadium,2022,08,Pakistan_India_2022-08-28,India,Pakistan,India,False,147
91,Shadab Khan,HH Pandya,Asif Ali,,1,0,1,100,,2,4,5,6,14,-,0,,,field,India,1,Dubai International Cricket Stadium,2022,08,Pakistan_India_2022-08-28,India,Pakistan,India,False,147
92,Asif Ali,HH Pandya,Shadab Khan,,2,0,2,102,,2,1,5,7,14,-,0,,,field,India,1,Dubai International Cricket Stadium,2022,08,Pakistan_India_2022-08-28,India,Pakistan,India,False,147
93,Asif Ali,HH Pandya,Shadab Khan,,1,0,1,103,,3,2,5,8,14,-,0,,,field,India,1,Dubai International Cricket Stadium,2022,08,Pakistan_India_2022-08-28,India,Pakistan,India,False,147
94,Asif Ali,YS Chahal,Shadab Khan,,1,0,1,104,,4,3,5,1,15,-,0,,,field,India,1,Dubai International Cricket Stadium,2022,08,Pakistan_India_2022-08-28,India,Pakistan,India,False,147
95,Shadab Khan,YS Chahal,Asif Ali,,1,0,1,105,,3,5,5,2,15,-,0,,,field,India,1,Dubai International Cricket Stadium,2022,08,Pakistan_India_2022-08-28,India,Pakistan,India,False,147
96,Asif Ali,YS Chahal,Shadab Khan,,3,0,3,108,,7,4,5,3,15,-,0,,,field,India,1,Dubai International Cricket Stadium,2022,08,Pakistan_India_2022-08-28,India,Pakistan,India,False,147
97,Shadab Khan,YS Chahal,Asif Ali,,1,0,1,109,,4,6,5,4,15,-,0,,,field,India,1,Dubai International Cricket Stadium,2022,08,Pakistan_India_2022-08-28,India,Pakistan,India,False,147
98,Asif Ali,YS Chahal,Shadab Khan,,2,0,2,111,,9,5,5,5,15,-,0,,,field,India,1,Dubai International Cricket Stadium,2022,08,Pakistan_India_2022-08-28,India,Pakistan,India,False,147
99,Asif Ali,YS Chahal,Shadab Khan,,0,0,0,111,,9,6,5,6,15,-,0,,,field,India,1,Dubai International Cricket Stadium,2022,08,Pakistan_India_2022-08-28,India,Pakistan,India,False,147
100,Shadab Khan,B Kumar,Asif Ali,,0,0,0,111,,4,7,5,1,16,-,0,,,field,India,1,Dubai International Cricket Stadium,2022,08,Pakistan_India_2022-08-28,India,Pakistan,India,False,147
101,Shadab Khan,B Kumar,Asif Ali,,1,0,1,112,,5,8,5,2,16,-,0,,,field,India,1,Dubai International Cricket Stadium,2022,08,Pakistan_India_2022-08-28,India,Pakistan,India,False,147
102,Asif Ali,B Kumar,Shadab Khan,,0,0,0,112,,9,7,6,3,16,-,caught,Asif Ali,SA Yadav,field,India,1,Dubai International Cricket Stadium,2022,08,Pakistan_India_2022-08-28,India,Pakistan,India,False,147
103,Shadab Khan,B Kumar,Mohammad Nawaz,,1,0,1,113,,6,9,6,4,16,-,0,,,field,India,1,Dubai International Cricket Stadium,2022,08,Pakistan_India_2022-08-28,India,Pakistan,India,False,147
104,Mohammad Nawaz,B Kumar,Shadab Khan,,0,0,0,113,,0,1,6,5,16,-,0,,,field,India,1,Dubai International Cricket Stadium,2022,08,Pakistan_India_2022-08-28,India,Pakistan,India,False,147
105,Mohammad Nawaz,B Kumar,Shadab Khan,,1,0,1,114,,1,2,6,6,16,-,0,,,field,India,1,Dubai International Cricket Stadium,2022,08,Pakistan_India_2022-08-28,India,Pakistan,India,False,147
106,Mohammad Nawaz,Arshdeep Singh,Shadab Khan,,0,0,0,114,,1,3,7,1,17,-,caught,Mohammad Nawaz,KD Karthik,field,India,1,Dubai International Cricket Stadium,2022,08,Pakistan_India_2022-08-28,India,Pakistan,India,False,147
107,Haris Rauf,Arshdeep Singh,Shadab Khan,,2,0,2,116,,2,1,7,2,17,-,0,,,field,India,1,Dubai International Cricket Stadium,2022,08,Pakistan_India_2022-08-28,India,Pakistan,India,False,147
108,Haris Rauf,Arshdeep Singh,Shadab Khan,,4,0,4,120,,6,2,7,3,17,-,0,,,field,India,1,Dubai International Cricket Stadium,2022,08,Pakistan_India_2022-08-28,India,Pakistan,India,False,147
109,Haris Rauf,Arshdeep Singh,Shadab Khan,,0,0,0,120,,6,3,7,4,17,-,0,,,field,India,1,Dubai International Cricket Stadium,2022,08,Pakistan_India_2022-08-28,India,Pakistan,India,False,147
110,Haris Rauf,Arshdeep Singh,Shadab Khan,,0,0,0,120,,6,4,7,5,17,-,0,,,field,India,1,Dubai International Cricket Stadium,2022,08,Pakistan_India_2022-08-28,India,Pakistan,India,False,147
111,Haris Rauf,Arshdeep Singh,Shadab Khan,,4,0,4,124,,10,5,7,6,17,-,0,,,field,India,1,Dubai International Cricket Stadium,2022,08,Pakistan_India_2022-08-28,India,Pakistan,India,False,147
112,Shadab Khan,B Kumar,Haris Rauf,,4,0,4,128,,10,10,7,1,18,-,0,,,field,India,1,Dubai International Cricket Stadium,2022,08,Pakistan_India_2022-08-28,India,Pakistan,India,False,147
113,Shadab Khan,B Kumar,Haris Rauf,"{'by': 'Pakistan', 'umpire': 'RSA Palliyaguruge', 'batter': 'Shadab Khan', 'decision': 'struck down'}",0,0,0,128,,10,11,8,2,18,-,lbw,Shadab Khan,,field,India,1,Dubai International Cricket Stadium,2022,08,Pakistan_India_2022-08-28,India,Pakistan,India,False,147
114,Naseem Shah,B Kumar,Haris Rauf,"{'by': 'Pakistan', 'umpire': 'RSA Palliyaguruge', 'batter': 'Naseem Shah', 'decision': 'struck down', 'umpires_call': True}",0,0,0,128,,0,1,9,3,18,-,lbw,Naseem Shah,,field,India,1,Dubai International Cricket Stadium,2022,08,Pakistan_India_2022-08-28,India,Pakistan,India,False,147
115,Shahnawaz Dhani,B Kumar,Haris Rauf,,0,0,0,128,,0,1,9,4,18,-,0,,,field,India,1,Dubai International Cricket Stadium,2022,08,Pakistan_India_2022-08-28,India,Pakistan,India,False,147
116,Shahnawaz Dhani,B Kumar,Haris Rauf,,6,0,6,134,,6,2,9,5,18,-,0,,,field,India,1,Dubai International Cricket Stadium,2022,08,Pakistan_India_2022-08-28,India,Pakistan,India,False,147
117,Shahnawaz Dhani,B Kumar,Haris Rauf,,2,0,2,136,,8,3,9,6,18,-,0,,,field,India,1,Dubai International Cricket Stadium,2022,08,Pakistan_India_2022-08-28,India,Pakistan,India,False,147
118,Haris Rauf,Arshdeep Singh,Shahnawaz Dhani,,0,0,0,136,,10,6,9,1,19,-,0,,,field,India,1,Dubai International Cricket Stadium,2022,08,Pakistan_India_2022-08-28,India,Pakistan,India,False,147
119,Haris Rauf,Arshdeep Singh,Shahnawaz Dhani,,3,0,3,139,,13,7,9,2,19,-,0,,,field,India,1,Dubai International Cricket Stadium,2022,08,Pakistan_India_2022-08-28,India,Pakistan,India,False,147
120,Shahnawaz Dhani,Arshdeep Singh,Haris Rauf,,2,0,2,141,,10,4,9,3,19,-,0,,,field,India,1,Dubai International Cricket Stadium,2022,08,Pakistan_India_2022-08-28,India,Pakistan,India,False,147
