,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,wicket_type,player_out,fielder,over,review,extra_type,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,team_final
36,Babar Azam,AC Agar,Mohammad Rizwan,1,0,1,39,103,18,13,2,1,0,,,7,,-,field,Australia,1,Sydney Cricket Ground,2019,11,Australia_Pakistan_2019-11-03,no result,Pakistan,Australia,107
37,Mohammad Rizwan,AC Agar,Babar Azam,1,0,1,40,102,18,18,2,2,0,,,7,,-,field,Australia,1,Sydney Cricket Ground,2019,11,Australia_Pakistan_2019-11-03,no result,Pakistan,Australia,107
38,Babar Azam,AC Agar,Mohammad Rizwan,0,0,0,40,102,18,14,2,3,0,,,7,,-,field,Australia,1,Sydney Cricket Ground,2019,11,Australia_Pakistan_2019-11-03,no result,Pakistan,Australia,107
39,Babar Azam,AC Agar,Mohammad Rizwan,1,0,1,41,101,19,15,2,4,0,,,7,,-,field,Australia,1,Sydney Cricket Ground,2019,11,Australia_Pakistan_2019-11-03,no result,Pakistan,Australia,107
40,Mohammad Rizwan,AC Agar,Babar Azam,2,0,2,43,99,20,19,2,5,0,,,7,,-,field,Australia,1,Sydney Cricket Ground,2019,11,Australia_Pakistan_2019-11-03,no result,Pakistan,Australia,107
41,Mohammad Rizwan,AC Agar,Babar Azam,1,0,1,44,98,21,20,2,6,0,,,7,,-,field,Australia,1,Sydney Cricket Ground,2019,11,Australia_Pakistan_2019-11-03,no result,Pakistan,Australia,107
42,Mohammad Rizwan,PJ Cummins,Babar Azam,2,0,2,46,96,23,21,2,1,0,,,8,,-,field,Australia,1,Sydney Cricket Ground,2019,11,Australia_Pakistan_2019-11-03,no result,Pakistan,Australia,107
43,Mohammad Rizwan,PJ Cummins,Babar Azam,1,0,1,47,95,24,22,2,2,0,,,8,,-,field,Australia,1,Sydney Cricket Ground,2019,11,Australia_Pakistan_2019-11-03,no result,Pakistan,Australia,107
44,Mohammad Rizwan,PJ Cummins,Babar Azam,1,0,1,48,94,25,23,2,3,0,,,8,,-,field,Australia,1,Sydney Cricket Ground,2019,11,Australia_Pakistan_2019-11-03,no result,Pakistan,Australia,107
45,Babar Azam,PJ Cummins,Mohammad Rizwan,1,0,1,49,93,20,16,2,4,0,,,8,,-,field,Australia,1,Sydney Cricket Ground,2019,11,Australia_Pakistan_2019-11-03,no result,Pakistan,Australia,107
46,Mohammad Rizwan,PJ Cummins,Babar Azam,0,0,0,49,93,25,24,2,5,0,,,8,,-,field,Australia,1,Sydney Cricket Ground,2019,11,Australia_Pakistan_2019-11-03,no result,Pakistan,Australia,107
47,Mohammad Rizwan,PJ Cummins,Babar Azam,1,0,1,50,92,26,25,2,6,0,,,8,,-,field,Australia,1,Sydney Cricket Ground,2019,11,Australia_Pakistan_2019-11-03,no result,Pakistan,Australia,107
48,Mohammad Rizwan,AC Agar,Babar Azam,1,0,1,51,91,27,26,2,1,0,,,9,,-,field,Australia,1,Sydney Cricket Ground,2019,11,Australia_Pakistan_2019-11-03,no result,Pakistan,Australia,107
49,Babar Azam,AC Agar,Mohammad Rizwan,6,0,6,57,85,26,17,2,2,0,,,9,,-,field,Australia,1,Sydney Cricket Ground,2019,11,Australia_Pakistan_2019-11-03,no result,Pakistan,Australia,107
50,Babar Azam,AC Agar,Mohammad Rizwan,1,0,1,58,84,27,18,2,3,0,,,9,,-,field,Australia,1,Sydney Cricket Ground,2019,11,Australia_Pakistan_2019-11-03,no result,Pakistan,Australia,107
51,Mohammad Rizwan,AC Agar,Babar Azam,0,0,0,58,84,27,27,2,4,0,,,9,,-,field,Australia,1,Sydney Cricket Ground,2019,11,Australia_Pakistan_2019-11-03,no result,Pakistan,Australia,107
52,Mohammad Rizwan,AC Agar,Babar Azam,1,0,1,59,83,28,28,2,5,0,,,9,,-,field,Australia,1,Sydney Cricket Ground,2019,11,Australia_Pakistan_2019-11-03,no result,Pakistan,Australia,107
53,Babar Azam,AC Agar,Mohammad Rizwan,0,0,0,59,83,27,19,2,6,0,,,9,,-,field,Australia,1,Sydney Cricket Ground,2019,11,Australia_Pakistan_2019-11-03,no result,Pakistan,Australia,107
54,Mohammad Rizwan,A Zampa,Babar Azam,1,0,1,60,82,29,29,2,1,0,,,10,,-,field,Australia,1,Sydney Cricket Ground,2019,11,Australia_Pakistan_2019-11-03,no result,Pakistan,Australia,107
55,Babar Azam,A Zampa,Mohammad Rizwan,2,0,2,62,80,29,20,2,2,0,,,10,,-,field,Australia,1,Sydney Cricket Ground,2019,11,Australia_Pakistan_2019-11-03,no result,Pakistan,Australia,107
56,Babar Azam,A Zampa,Mohammad Rizwan,1,0,1,63,79,30,21,2,3,0,,,10,,-,field,Australia,1,Sydney Cricket Ground,2019,11,Australia_Pakistan_2019-11-03,no result,Pakistan,Australia,107
57,Mohammad Rizwan,A Zampa,Babar Azam,0,0,0,63,79,29,30,2,4,0,,,10,,-,field,Australia,1,Sydney Cricket Ground,2019,11,Australia_Pakistan_2019-11-03,no result,Pakistan,Australia,107
58,Mohammad Rizwan,A Zampa,Babar Azam,1,0,1,64,78,30,31,2,5,0,,,10,,-,field,Australia,1,Sydney Cricket Ground,2019,11,Australia_Pakistan_2019-11-03,no result,Pakistan,Australia,107
59,Babar Azam,A Zampa,Mohammad Rizwan,0,0,0,64,78,30,22,2,6,0,,,10,,-,field,Australia,1,Sydney Cricket Ground,2019,11,Australia_Pakistan_2019-11-03,no result,Pakistan,Australia,107
60,Mohammad Rizwan,AC Agar,Babar Azam,1,0,1,65,77,31,32,2,1,0,,,11,,-,field,Australia,1,Sydney Cricket Ground,2019,11,Australia_Pakistan_2019-11-03,no result,Pakistan,Australia,107
61,Babar Azam,AC Agar,Mohammad Rizwan,4,0,4,69,73,34,23,2,2,0,,,11,,-,field,Australia,1,Sydney Cricket Ground,2019,11,Australia_Pakistan_2019-11-03,no result,Pakistan,Australia,107
62,Babar Azam,AC Agar,Mohammad Rizwan,1,0,1,70,72,35,24,2,3,0,,,11,,-,field,Australia,1,Sydney Cricket Ground,2019,11,Australia_Pakistan_2019-11-03,no result,Pakistan,Australia,107
63,Mohammad Rizwan,AC Agar,Babar Azam,0,0,0,70,72,31,33,3,4,caught,Mohammad Rizwan,PJ Cummins,11,,-,field,Australia,1,Sydney Cricket Ground,2019,11,Australia_Pakistan_2019-11-03,no result,Pakistan,Australia,107
64,Babar Azam,AC Agar,Asif Ali,1,0,1,71,71,36,25,3,5,0,,,11,,-,field,Australia,1,Sydney Cricket Ground,2019,11,Australia_Pakistan_2019-11-03,no result,Pakistan,Australia,107
65,Asif Ali,AC Agar,Babar Azam,1,0,1,72,70,1,1,3,6,0,,,11,,-,field,Australia,1,Sydney Cricket Ground,2019,11,Australia_Pakistan_2019-11-03,no result,Pakistan,Australia,107
66,Asif Ali,PJ Cummins,Babar Azam,0,0,0,72,70,1,2,3,1,0,,,12,,-,field,Australia,1,Sydney Cricket Ground,2019,11,Australia_Pakistan_2019-11-03,no result,Pakistan,Australia,107
67,Asif Ali,PJ Cummins,Babar Azam,0,0,0,72,70,1,3,3,2,0,,,12,,-,field,Australia,1,Sydney Cricket Ground,2019,11,Australia_Pakistan_2019-11-03,no result,Pakistan,Australia,107
68,Asif Ali,PJ Cummins,Babar Azam,1,0,1,73,69,2,4,3,3,0,,,12,,-,field,Australia,1,Sydney Cricket Ground,2019,11,Australia_Pakistan_2019-11-03,no result,Pakistan,Australia,107
69,Babar Azam,PJ Cummins,Asif Ali,1,0,1,74,68,37,26,3,4,0,,,12,,-,field,Australia,1,Sydney Cricket Ground,2019,11,Australia_Pakistan_2019-11-03,no result,Pakistan,Australia,107
70,Asif Ali,PJ Cummins,Babar Azam,1,0,1,75,67,3,5,3,5,0,,,12,,-,field,Australia,1,Sydney Cricket Ground,2019,11,Australia_Pakistan_2019-11-03,no result,Pakistan,Australia,107
71,Babar Azam,PJ Cummins,Asif Ali,1,0,1,76,66,38,27,3,6,0,,,12,,-,field,Australia,1,Sydney Cricket Ground,2019,11,Australia_Pakistan_2019-11-03,no result,Pakistan,Australia,107
72,Babar Azam,A Zampa,Asif Ali,4,0,4,80,62,42,28,3,1,0,,,13,,-,field,Australia,1,Sydney Cricket Ground,2019,11,Australia_Pakistan_2019-11-03,no result,Pakistan,Australia,107
73,Babar Azam,A Zampa,Asif Ali,1,0,1,81,61,43,29,3,2,0,,,13,,-,field,Australia,1,Sydney Cricket Ground,2019,11,Australia_Pakistan_2019-11-03,no result,Pakistan,Australia,107
74,Asif Ali,A Zampa,Babar Azam,6,0,6,87,55,9,6,3,3,0,,,13,,-,field,Australia,1,Sydney Cricket Ground,2019,11,Australia_Pakistan_2019-11-03,no result,Pakistan,Australia,107
75,Asif Ali,A Zampa,Babar Azam,1,0,1,88,54,10,7,3,4,0,,,13,,-,field,Australia,1,Sydney Cricket Ground,2019,11,Australia_Pakistan_2019-11-03,no result,Pakistan,Australia,107
76,Babar Azam,A Zampa,Asif Ali,0,0,0,88,54,43,30,3,5,0,,,13,,-,field,Australia,1,Sydney Cricket Ground,2019,11,Australia_Pakistan_2019-11-03,no result,Pakistan,Australia,107
77,Babar Azam,A Zampa,Asif Ali,1,0,1,89,53,44,31,3,6,0,,,13,,-,field,Australia,1,Sydney Cricket Ground,2019,11,Australia_Pakistan_2019-11-03,no result,Pakistan,Australia,107
78,Babar Azam,KW Richardson,Asif Ali,1,0,1,90,52,45,32,3,1,0,,,14,,-,field,Australia,1,Sydney Cricket Ground,2019,11,Australia_Pakistan_2019-11-03,no result,Pakistan,Australia,107
79,Asif Ali,KW Richardson,Babar Azam,0,0,0,90,52,10,8,3,2,0,,,14,,-,field,Australia,1,Sydney Cricket Ground,2019,11,Australia_Pakistan_2019-11-03,no result,Pakistan,Australia,107
80,Asif Ali,KW Richardson,Babar Azam,1,0,1,91,51,11,9,3,3,0,,,14,,-,field,Australia,1,Sydney Cricket Ground,2019,11,Australia_Pakistan_2019-11-03,no result,Pakistan,Australia,107
81,Babar Azam,KW Richardson,Asif Ali,1,0,1,92,50,46,33,3,4,0,,,14,,-,field,Australia,1,Sydney Cricket Ground,2019,11,Australia_Pakistan_2019-11-03,no result,Pakistan,Australia,107
82,Asif Ali,KW Richardson,Babar Azam,0,0,0,92,50,11,10,4,5,caught,Asif Ali,AC Agar,14,,-,field,Australia,1,Sydney Cricket Ground,2019,11,Australia_Pakistan_2019-11-03,no result,Pakistan,Australia,107
83,Babar Azam,KW Richardson,Imad Wasim,4,0,4,96,46,50,34,4,6,0,,,14,,-,field,Australia,1,Sydney Cricket Ground,2019,11,Australia_Pakistan_2019-11-03,no result,Pakistan,Australia,107
84,Imad Wasim,MA Starc,Babar Azam,0,0,0,96,46,0,1,5,1,caught,Imad Wasim,SPD Smith,15,,-,field,Australia,1,Sydney Cricket Ground,2019,11,Australia_Pakistan_2019-11-03,no result,Pakistan,Australia,107
85,Babar Azam,MA Starc,Iftikhar Ahmed,0,1,1,97,45,50,35,5,2,0,,,15,"{'by': 'Australia', 'umpire': 'P Wilson', 'batter': 'Babar Azam', 'decision': 'struck down'}",legbyes,field,Australia,1,Sydney Cricket Ground,2019,11,Australia_Pakistan_2019-11-03,no result,Pakistan,Australia,107
86,Iftikhar Ahmed,MA Starc,Babar Azam,1,0,1,98,44,1,1,5,3,0,,,15,,-,field,Australia,1,Sydney Cricket Ground,2019,11,Australia_Pakistan_2019-11-03,no result,Pakistan,Australia,107
87,Babar Azam,MA Starc,Iftikhar Ahmed,6,0,6,104,38,56,36,5,4,0,,,15,,-,field,Australia,1,Sydney Cricket Ground,2019,11,Australia_Pakistan_2019-11-03,no result,Pakistan,Australia,107
88,Babar Azam,MA Starc,Iftikhar Ahmed,2,0,2,106,36,58,37,5,5,0,,,15,,-,field,Australia,1,Sydney Cricket Ground,2019,11,Australia_Pakistan_2019-11-03,no result,Pakistan,Australia,107
89,Babar Azam,MA Starc,Iftikhar Ahmed,1,0,1,107,35,59,38,5,6,0,,,15,,-,field,Australia,1,Sydney Cricket Ground,2019,11,Australia_Pakistan_2019-11-03,no result,Pakistan,Australia,107
