,batter,bowler,non_striker,review,runs_by_bat,extra_runs,total,team_total,batter_runs,balls_faced,delivery,extra_type,wicket_type,player_out,fielder,over,toss_decision,toss_winner,innings,venue,date,batting_team,bowling_team
52,KIC Asalanka,JDS Neesham,MDKJ Perera,,1,0,1,84,14,11,6,-,0,,,8,field,New Zealand,1,"Eden Park, Auckland",2023-04-02,Sri Lanka,New Zealand
53,KIC Asalanka,IS Sodhi,MDKJ Perera,,6,0,6,90,20,12,1,-,0,,,9,field,New Zealand,1,"Eden Park, Auckland",2023-04-02,Sri Lanka,New Zealand
54,KIC Asalanka,IS Sodhi,MDKJ Perera,,1,0,1,91,21,13,2,-,0,,,9,field,New Zealand,1,"Eden Park, Auckland",2023-04-02,Sri Lanka,New Zealand
55,MDKJ Perera,IS Sodhi,KIC Asalanka,,1,0,1,92,25,22,3,-,0,,,9,field,New Zealand,1,"Eden Park, Auckland",2023-04-02,Sri Lanka,New Zealand
56,KIC Asalanka,IS Sodhi,MDKJ Perera,,0,0,0,92,21,14,4,-,0,,,9,field,New Zealand,1,"Eden Park, Auckland",2023-04-02,Sri Lanka,New Zealand
57,KIC Asalanka,IS Sodhi,MDKJ Perera,,0,0,0,92,21,15,5,-,0,,,9,field,New Zealand,1,"Eden Park, Auckland",2023-04-02,Sri Lanka,New Zealand
58,KIC Asalanka,IS Sodhi,MDKJ Perera,,2,0,2,94,23,16,6,-,0,,,9,field,New Zealand,1,"Eden Park, Auckland",2023-04-02,Sri Lanka,New Zealand
59,MDKJ Perera,HB Shipley,KIC Asalanka,,1,0,1,95,26,23,1,-,0,,,10,field,New Zealand,1,"Eden Park, Auckland",2023-04-02,Sri Lanka,New Zealand
60,KIC Asalanka,HB Shipley,MDKJ Perera,,1,0,1,96,24,17,2,-,0,,,10,field,New Zealand,1,"Eden Park, Auckland",2023-04-02,Sri Lanka,New Zealand
61,MDKJ Perera,HB Shipley,KIC Asalanka,,1,0,1,97,27,24,3,-,0,,,10,field,New Zealand,1,"Eden Park, Auckland",2023-04-02,Sri Lanka,New Zealand
62,KIC Asalanka,HB Shipley,MDKJ Perera,,0,0,0,97,24,18,4,-,0,,,10,field,New Zealand,1,"Eden Park, Auckland",2023-04-02,Sri Lanka,New Zealand
63,KIC Asalanka,HB Shipley,MDKJ Perera,,1,0,1,98,25,19,5,-,0,,,10,field,New Zealand,1,"Eden Park, Auckland",2023-04-02,Sri Lanka,New Zealand
64,MDKJ Perera,HB Shipley,KIC Asalanka,,0,1,1,99,27,25,6,legbyes,0,,,10,field,New Zealand,1,"Eden Park, Auckland",2023-04-02,Sri Lanka,New Zealand
65,MDKJ Perera,IS Sodhi,KIC Asalanka,,6,0,6,105,33,26,1,-,0,,,11,field,New Zealand,1,"Eden Park, Auckland",2023-04-02,Sri Lanka,New Zealand
66,MDKJ Perera,IS Sodhi,KIC Asalanka,,0,0,0,105,33,27,2,-,0,,,11,field,New Zealand,1,"Eden Park, Auckland",2023-04-02,Sri Lanka,New Zealand
67,MDKJ Perera,IS Sodhi,KIC Asalanka,,0,1,1,106,33,28,3,wides,0,,,11,field,New Zealand,1,"Eden Park, Auckland",2023-04-02,Sri Lanka,New Zealand
68,MDKJ Perera,IS Sodhi,KIC Asalanka,,1,0,1,107,34,29,4,-,0,,,11,field,New Zealand,1,"Eden Park, Auckland",2023-04-02,Sri Lanka,New Zealand
69,KIC Asalanka,IS Sodhi,MDKJ Perera,,1,0,1,108,26,20,5,-,0,,,11,field,New Zealand,1,"Eden Park, Auckland",2023-04-02,Sri Lanka,New Zealand
70,MDKJ Perera,IS Sodhi,KIC Asalanka,,1,0,1,109,35,30,6,-,0,,,11,field,New Zealand,1,"Eden Park, Auckland",2023-04-02,Sri Lanka,New Zealand
71,KIC Asalanka,IS Sodhi,MDKJ Perera,,1,0,1,110,27,21,7,-,0,,,11,field,New Zealand,1,"Eden Park, Auckland",2023-04-02,Sri Lanka,New Zealand
72,KIC Asalanka,JDS Neesham,MDKJ Perera,,6,0,6,116,33,22,1,-,0,,,12,field,New Zealand,1,"Eden Park, Auckland",2023-04-02,Sri Lanka,New Zealand
73,KIC Asalanka,JDS Neesham,MDKJ Perera,,1,0,1,117,34,23,2,-,0,,,12,field,New Zealand,1,"Eden Park, Auckland",2023-04-02,Sri Lanka,New Zealand
74,MDKJ Perera,JDS Neesham,KIC Asalanka,,1,0,1,118,36,31,3,-,0,,,12,field,New Zealand,1,"Eden Park, Auckland",2023-04-02,Sri Lanka,New Zealand
75,KIC Asalanka,JDS Neesham,MDKJ Perera,,1,0,1,119,35,24,4,-,0,,,12,field,New Zealand,1,"Eden Park, Auckland",2023-04-02,Sri Lanka,New Zealand
76,MDKJ Perera,JDS Neesham,KIC Asalanka,,1,0,1,120,37,32,5,-,0,,,12,field,New Zealand,1,"Eden Park, Auckland",2023-04-02,Sri Lanka,New Zealand
77,KIC Asalanka,JDS Neesham,MDKJ Perera,,0,0,0,120,35,25,6,-,0,,,12,field,New Zealand,1,"Eden Park, Auckland",2023-04-02,Sri Lanka,New Zealand
78,MDKJ Perera,AF Milne,KIC Asalanka,,0,1,1,121,37,33,1,wides,0,,,13,field,New Zealand,1,"Eden Park, Auckland",2023-04-02,Sri Lanka,New Zealand
79,MDKJ Perera,AF Milne,KIC Asalanka,,1,0,1,122,38,34,2,-,0,,,13,field,New Zealand,1,"Eden Park, Auckland",2023-04-02,Sri Lanka,New Zealand
80,KIC Asalanka,AF Milne,MDKJ Perera,,6,0,6,128,41,26,3,-,0,,,13,field,New Zealand,1,"Eden Park, Auckland",2023-04-02,Sri Lanka,New Zealand
81,KIC Asalanka,AF Milne,MDKJ Perera,,1,0,1,129,42,27,4,-,0,,,13,field,New Zealand,1,"Eden Park, Auckland",2023-04-02,Sri Lanka,New Zealand
82,MDKJ Perera,AF Milne,KIC Asalanka,,1,0,1,130,39,35,5,-,0,,,13,field,New Zealand,1,"Eden Park, Auckland",2023-04-02,Sri Lanka,New Zealand
83,KIC Asalanka,AF Milne,MDKJ Perera,,2,0,2,132,44,28,6,-,0,,,13,field,New Zealand,1,"Eden Park, Auckland",2023-04-02,Sri Lanka,New Zealand
84,KIC Asalanka,AF Milne,MDKJ Perera,,1,0,1,133,45,29,7,-,0,,,13,field,New Zealand,1,"Eden Park, Auckland",2023-04-02,Sri Lanka,New Zealand
85,KIC Asalanka,BG Lister,MDKJ Perera,,1,0,1,134,46,30,1,-,0,,,14,field,New Zealand,1,"Eden Park, Auckland",2023-04-02,Sri Lanka,New Zealand
86,MDKJ Perera,BG Lister,KIC Asalanka,,0,1,1,135,39,36,2,legbyes,0,,,14,field,New Zealand,1,"Eden Park, Auckland",2023-04-02,Sri Lanka,New Zealand
87,KIC Asalanka,BG Lister,MDKJ Perera,,0,1,1,136,46,31,3,wides,0,,,14,field,New Zealand,1,"Eden Park, Auckland",2023-04-02,Sri Lanka,New Zealand
88,KIC Asalanka,BG Lister,MDKJ Perera,,0,0,0,136,46,32,4,-,0,,,14,field,New Zealand,1,"Eden Park, Auckland",2023-04-02,Sri Lanka,New Zealand
89,KIC Asalanka,BG Lister,MDKJ Perera,,4,0,4,140,50,33,5,-,0,,,14,field,New Zealand,1,"Eden Park, Auckland",2023-04-02,Sri Lanka,New Zealand
90,KIC Asalanka,BG Lister,MDKJ Perera,,1,0,1,141,51,34,6,-,0,,,14,field,New Zealand,1,"Eden Park, Auckland",2023-04-02,Sri Lanka,New Zealand
91,MDKJ Perera,BG Lister,KIC Asalanka,,0,1,1,142,39,37,7,wides,0,,,14,field,New Zealand,1,"Eden Park, Auckland",2023-04-02,Sri Lanka,New Zealand
92,MDKJ Perera,BG Lister,KIC Asalanka,,1,0,1,143,40,38,8,-,0,,,14,field,New Zealand,1,"Eden Park, Auckland",2023-04-02,Sri Lanka,New Zealand
93,MDKJ Perera,IS Sodhi,KIC Asalanka,,4,0,4,147,44,39,1,-,0,,,15,field,New Zealand,1,"Eden Park, Auckland",2023-04-02,Sri Lanka,New Zealand
94,MDKJ Perera,IS Sodhi,KIC Asalanka,,1,0,1,148,45,40,2,-,0,,,15,field,New Zealand,1,"Eden Park, Auckland",2023-04-02,Sri Lanka,New Zealand
95,KIC Asalanka,IS Sodhi,MDKJ Perera,,1,0,1,149,52,35,3,-,0,,,15,field,New Zealand,1,"Eden Park, Auckland",2023-04-02,Sri Lanka,New Zealand
96,MDKJ Perera,IS Sodhi,KIC Asalanka,,0,0,0,149,45,41,4,-,0,,,15,field,New Zealand,1,"Eden Park, Auckland",2023-04-02,Sri Lanka,New Zealand
