,batter,bowler,non_striker,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,extra_type,wicket_type,player_out,fielder,over,review,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,final_team_total
53,RG Sharma,AU Rashid,KL Rahul,1,0,1,83,76,26,24,1,3,-,0,,,8,,field,India,2,Old Trafford,2018,07,England_India_2018-07-03,India,India,England,163
54,KL Rahul,AU Rashid,RG Sharma,1,0,1,84,75,49,27,1,4,-,0,,,8,,field,India,2,Old Trafford,2018,07,England_India_2018-07-03,India,India,England,163
55,RG Sharma,AU Rashid,KL Rahul,1,0,1,85,74,27,25,1,5,-,0,,,8,,field,India,2,Old Trafford,2018,07,England_India_2018-07-03,India,India,England,163
56,KL Rahul,AU Rashid,RG Sharma,4,0,4,89,70,53,28,1,6,-,0,,,8,,field,India,2,Old Trafford,2018,07,England_India_2018-07-03,India,India,England,163
57,RG Sharma,MM Ali,KL Rahul,1,0,1,90,69,28,26,1,1,-,0,,,9,,field,India,2,Old Trafford,2018,07,England_India_2018-07-03,India,India,England,163
58,KL Rahul,MM Ali,RG Sharma,1,0,1,91,68,54,29,1,2,-,0,,,9,,field,India,2,Old Trafford,2018,07,England_India_2018-07-03,India,India,England,163
59,RG Sharma,MM Ali,KL Rahul,1,0,1,92,67,29,27,1,3,-,0,,,9,,field,India,2,Old Trafford,2018,07,England_India_2018-07-03,India,India,England,163
60,KL Rahul,MM Ali,RG Sharma,4,0,4,96,63,58,30,1,4,-,0,,,9,,field,India,2,Old Trafford,2018,07,England_India_2018-07-03,India,India,England,163
61,KL Rahul,MM Ali,RG Sharma,6,0,6,102,57,64,31,1,5,-,0,,,9,,field,India,2,Old Trafford,2018,07,England_India_2018-07-03,India,India,England,163
62,KL Rahul,MM Ali,RG Sharma,1,0,1,103,56,65,32,1,6,-,0,,,9,,field,India,2,Old Trafford,2018,07,England_India_2018-07-03,India,India,England,163
63,KL Rahul,LE Plunkett,RG Sharma,0,0,0,103,56,65,33,1,1,-,0,,,10,,field,India,2,Old Trafford,2018,07,England_India_2018-07-03,India,India,England,163
64,KL Rahul,LE Plunkett,RG Sharma,6,0,6,109,50,71,34,1,2,-,0,,,10,,field,India,2,Old Trafford,2018,07,England_India_2018-07-03,India,India,England,163
65,KL Rahul,LE Plunkett,RG Sharma,4,0,4,113,46,75,35,1,3,-,0,,,10,,field,India,2,Old Trafford,2018,07,England_India_2018-07-03,India,India,England,163
66,KL Rahul,LE Plunkett,RG Sharma,4,0,4,117,42,79,36,1,4,-,0,,,10,,field,India,2,Old Trafford,2018,07,England_India_2018-07-03,India,India,England,163
67,KL Rahul,LE Plunkett,RG Sharma,0,0,0,117,42,79,37,1,5,-,0,,,10,,field,India,2,Old Trafford,2018,07,England_India_2018-07-03,India,India,England,163
68,KL Rahul,LE Plunkett,RG Sharma,6,0,6,123,36,85,38,1,6,-,0,,,10,,field,India,2,Old Trafford,2018,07,England_India_2018-07-03,India,India,England,163
69,RG Sharma,CJ Jordan,KL Rahul,1,0,1,124,35,30,28,1,1,-,0,,,11,,field,India,2,Old Trafford,2018,07,England_India_2018-07-03,India,India,England,163
70,KL Rahul,CJ Jordan,RG Sharma,0,0,0,124,35,85,39,1,2,-,0,,,11,,field,India,2,Old Trafford,2018,07,England_India_2018-07-03,India,India,England,163
71,KL Rahul,CJ Jordan,RG Sharma,0,0,0,124,35,85,40,1,3,-,0,,,11,,field,India,2,Old Trafford,2018,07,England_India_2018-07-03,India,India,England,163
72,KL Rahul,CJ Jordan,RG Sharma,2,0,2,126,33,87,41,1,4,-,0,,,11,,field,India,2,Old Trafford,2018,07,England_India_2018-07-03,India,India,England,163
73,KL Rahul,CJ Jordan,RG Sharma,1,0,1,127,32,88,42,1,5,-,0,,,11,,field,India,2,Old Trafford,2018,07,England_India_2018-07-03,India,India,England,163
74,RG Sharma,CJ Jordan,KL Rahul,1,0,1,128,31,31,29,1,6,-,0,,,11,,field,India,2,Old Trafford,2018,07,England_India_2018-07-03,India,India,England,163
75,RG Sharma,AU Rashid,KL Rahul,0,0,0,128,31,31,30,1,1,-,0,,,12,,field,India,2,Old Trafford,2018,07,England_India_2018-07-03,India,India,England,163
76,RG Sharma,AU Rashid,KL Rahul,1,0,1,129,30,32,31,1,2,-,0,,,12,,field,India,2,Old Trafford,2018,07,England_India_2018-07-03,India,India,England,163
77,KL Rahul,AU Rashid,RG Sharma,1,0,1,130,29,89,43,1,3,-,0,,,12,,field,India,2,Old Trafford,2018,07,England_India_2018-07-03,India,India,England,163
78,RG Sharma,AU Rashid,KL Rahul,0,0,0,130,29,32,32,2,4,-,caught,RG Sharma,EJG Morgan,12,,field,India,2,Old Trafford,2018,07,England_India_2018-07-03,India,India,England,163
79,V Kohli,AU Rashid,KL Rahul,1,0,1,131,28,1,1,2,5,-,0,,,12,,field,India,2,Old Trafford,2018,07,England_India_2018-07-03,India,India,England,163
80,KL Rahul,AU Rashid,V Kohli,0,0,0,131,28,89,44,2,6,-,0,,,12,,field,India,2,Old Trafford,2018,07,England_India_2018-07-03,India,India,England,163
81,V Kohli,CJ Jordan,KL Rahul,0,0,0,131,28,1,2,2,1,-,0,,,13,,field,India,2,Old Trafford,2018,07,England_India_2018-07-03,India,India,England,163
82,V Kohli,CJ Jordan,KL Rahul,1,0,1,132,27,2,3,2,2,-,0,,,13,,field,India,2,Old Trafford,2018,07,England_India_2018-07-03,India,India,England,163
83,KL Rahul,CJ Jordan,V Kohli,0,0,0,132,27,89,45,2,3,-,0,,,13,"{'by': 'England', 'batter': 'KL Rahul', 'decision': 'struck down'}",field,India,2,Old Trafford,2018,07,England_India_2018-07-03,India,India,England,163
84,KL Rahul,CJ Jordan,V Kohli,1,0,1,133,26,90,46,2,4,-,0,,,13,,field,India,2,Old Trafford,2018,07,England_India_2018-07-03,India,India,England,163
85,V Kohli,CJ Jordan,KL Rahul,0,0,0,133,26,2,4,2,5,-,0,,,13,,field,India,2,Old Trafford,2018,07,England_India_2018-07-03,India,India,England,163
86,V Kohli,CJ Jordan,KL Rahul,1,0,1,134,25,3,5,2,6,-,0,,,13,,field,India,2,Old Trafford,2018,07,England_India_2018-07-03,India,India,England,163
87,V Kohli,AU Rashid,KL Rahul,0,0,0,134,25,3,6,2,1,-,0,,,14,,field,India,2,Old Trafford,2018,07,England_India_2018-07-03,India,India,England,163
88,V Kohli,AU Rashid,KL Rahul,1,0,1,135,24,4,7,2,2,-,0,,,14,,field,India,2,Old Trafford,2018,07,England_India_2018-07-03,India,India,England,163
89,KL Rahul,AU Rashid,V Kohli,1,0,1,136,23,91,47,2,3,-,0,,,14,,field,India,2,Old Trafford,2018,07,England_India_2018-07-03,India,India,England,163
90,V Kohli,AU Rashid,KL Rahul,0,0,0,136,23,4,8,2,4,-,0,,,14,,field,India,2,Old Trafford,2018,07,England_India_2018-07-03,India,India,England,163
91,V Kohli,AU Rashid,KL Rahul,0,0,0,136,23,4,9,2,5,-,0,,,14,,field,India,2,Old Trafford,2018,07,England_India_2018-07-03,India,India,England,163
92,V Kohli,AU Rashid,KL Rahul,1,0,1,137,22,5,10,2,6,-,0,,,14,,field,India,2,Old Trafford,2018,07,England_India_2018-07-03,India,India,England,163
93,V Kohli,DJ Willey,KL Rahul,1,0,1,138,21,6,11,2,1,-,0,,,15,,field,India,2,Old Trafford,2018,07,England_India_2018-07-03,India,India,England,163
94,KL Rahul,DJ Willey,V Kohli,1,0,1,139,20,92,48,2,2,-,0,,,15,,field,India,2,Old Trafford,2018,07,England_India_2018-07-03,India,India,England,163
95,V Kohli,DJ Willey,KL Rahul,1,0,1,140,19,7,12,2,3,-,0,,,15,,field,India,2,Old Trafford,2018,07,England_India_2018-07-03,India,India,England,163
96,KL Rahul,DJ Willey,V Kohli,0,0,0,140,19,92,49,2,4,-,0,,,15,,field,India,2,Old Trafford,2018,07,England_India_2018-07-03,India,India,England,163
97,KL Rahul,DJ Willey,V Kohli,1,0,1,141,18,93,50,2,5,-,0,,,15,,field,India,2,Old Trafford,2018,07,England_India_2018-07-03,India,India,England,163
98,V Kohli,DJ Willey,KL Rahul,1,0,1,142,17,8,13,2,6,-,0,,,15,,field,India,2,Old Trafford,2018,07,England_India_2018-07-03,India,India,England,163
99,V Kohli,LE Plunkett,KL Rahul,0,0,0,142,17,8,14,2,1,-,0,,,16,,field,India,2,Old Trafford,2018,07,England_India_2018-07-03,India,India,England,163
100,V Kohli,LE Plunkett,KL Rahul,1,0,1,143,16,9,15,2,2,-,0,,,16,,field,India,2,Old Trafford,2018,07,England_India_2018-07-03,India,India,England,163
101,KL Rahul,LE Plunkett,V Kohli,1,0,1,144,15,94,51,2,3,-,0,,,16,,field,India,2,Old Trafford,2018,07,England_India_2018-07-03,India,India,England,163
102,V Kohli,LE Plunkett,KL Rahul,0,0,0,144,15,9,16,2,4,-,0,,,16,,field,India,2,Old Trafford,2018,07,England_India_2018-07-03,India,India,England,163
103,V Kohli,LE Plunkett,KL Rahul,0,1,1,145,14,9,17,2,5,wides,0,,,16,,field,India,2,Old Trafford,2018,07,England_India_2018-07-03,India,India,England,163
104,V Kohli,LE Plunkett,KL Rahul,0,0,0,145,14,9,18,2,6,-,0,,,16,,field,India,2,Old Trafford,2018,07,England_India_2018-07-03,India,India,England,163
105,V Kohli,LE Plunkett,KL Rahul,1,0,1,146,13,10,19,2,7,-,0,,,16,,field,India,2,Old Trafford,2018,07,England_India_2018-07-03,India,India,England,163
106,V Kohli,DJ Willey,KL Rahul,1,0,1,147,12,11,20,2,1,-,0,,,17,,field,India,2,Old Trafford,2018,07,England_India_2018-07-03,India,India,England,163
107,KL Rahul,DJ Willey,V Kohli,4,0,4,151,8,98,52,2,2,-,0,,,17,,field,India,2,Old Trafford,2018,07,England_India_2018-07-03,India,India,England,163
108,KL Rahul,DJ Willey,V Kohli,1,0,1,152,7,99,53,2,3,-,0,,,17,,field,India,2,Old Trafford,2018,07,England_India_2018-07-03,India,India,England,163
109,V Kohli,DJ Willey,KL Rahul,2,0,2,154,5,13,21,2,4,-,0,,,17,,field,India,2,Old Trafford,2018,07,England_India_2018-07-03,India,India,England,163
110,V Kohli,DJ Willey,KL Rahul,1,0,1,155,4,14,22,2,5,-,0,,,17,,field,India,2,Old Trafford,2018,07,England_India_2018-07-03,India,India,England,163
111,KL Rahul,DJ Willey,V Kohli,1,0,1,156,3,100,54,2,6,-,0,,,17,,field,India,2,Old Trafford,2018,07,England_India_2018-07-03,India,India,England,163
112,KL Rahul,MM Ali,V Kohli,1,0,1,157,2,101,55,2,1,-,0,,,18,,field,India,2,Old Trafford,2018,07,England_India_2018-07-03,India,India,England,163
113,V Kohli,MM Ali,KL Rahul,6,0,6,163,-4,20,23,2,2,-,0,,,18,,field,India,2,Old Trafford,2018,07,England_India_2018-07-03,India,India,England,163
