,batter,bowler,non_striker,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,extra_type,over,review,wicket_type,player_out,fielder,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,final_team_final
17,TM Head,LH Ferguson,MR Marsh,0,0,0,33,182,16,8,1,5,-,3,,0,,,field,New Zealand,1,"Eden Park, Auckland",2024,02,Australia_New Zealand_2024-02-23,Australia,Australia,New Zealand,174
18,TM Head,LH Ferguson,MR Marsh,1,0,1,34,181,17,9,1,6,-,3,,0,,,field,New Zealand,1,"Eden Park, Auckland",2024,02,Australia_New Zealand_2024-02-23,Australia,Australia,New Zealand,174
19,TM Head,AF Milne,MR Marsh,6,0,6,40,175,23,10,1,1,-,4,,0,,,field,New Zealand,1,"Eden Park, Auckland",2024,02,Australia_New Zealand_2024-02-23,Australia,Australia,New Zealand,174
20,TM Head,AF Milne,MR Marsh,1,0,1,41,174,24,11,1,2,-,4,,0,,,field,New Zealand,1,"Eden Park, Auckland",2024,02,Australia_New Zealand_2024-02-23,Australia,Australia,New Zealand,174
21,MR Marsh,AF Milne,TM Head,1,0,1,42,173,1,3,1,3,-,4,,0,,,field,New Zealand,1,"Eden Park, Auckland",2024,02,Australia_New Zealand_2024-02-23,Australia,Australia,New Zealand,174
22,TM Head,AF Milne,MR Marsh,4,0,4,46,169,28,12,1,4,-,4,,0,,,field,New Zealand,1,"Eden Park, Auckland",2024,02,Australia_New Zealand_2024-02-23,Australia,Australia,New Zealand,174
23,TM Head,AF Milne,MR Marsh,0,0,0,46,169,28,13,1,5,-,4,,0,,,field,New Zealand,1,"Eden Park, Auckland",2024,02,Australia_New Zealand_2024-02-23,Australia,Australia,New Zealand,174
24,TM Head,AF Milne,MR Marsh,6,0,6,52,163,34,14,1,6,-,4,,0,,,field,New Zealand,1,"Eden Park, Auckland",2024,02,Australia_New Zealand_2024-02-23,Australia,Australia,New Zealand,174
25,MR Marsh,LH Ferguson,TM Head,1,0,1,53,162,2,4,1,1,-,5,,0,,,field,New Zealand,1,"Eden Park, Auckland",2024,02,Australia_New Zealand_2024-02-23,Australia,Australia,New Zealand,174
26,TM Head,LH Ferguson,MR Marsh,0,0,0,53,162,34,15,1,2,-,5,,0,,,field,New Zealand,1,"Eden Park, Auckland",2024,02,Australia_New Zealand_2024-02-23,Australia,Australia,New Zealand,174
27,TM Head,LH Ferguson,MR Marsh,0,0,0,53,162,34,16,1,3,-,5,,0,,,field,New Zealand,1,"Eden Park, Auckland",2024,02,Australia_New Zealand_2024-02-23,Australia,Australia,New Zealand,174
28,TM Head,LH Ferguson,MR Marsh,2,0,2,55,160,36,17,1,4,-,5,,0,,,field,New Zealand,1,"Eden Park, Auckland",2024,02,Australia_New Zealand_2024-02-23,Australia,Australia,New Zealand,174
29,TM Head,LH Ferguson,MR Marsh,1,0,1,56,159,37,18,1,5,-,5,,0,,,field,New Zealand,1,"Eden Park, Auckland",2024,02,Australia_New Zealand_2024-02-23,Australia,Australia,New Zealand,174
30,MR Marsh,LH Ferguson,TM Head,2,0,2,58,157,4,5,1,6,-,5,,0,,,field,New Zealand,1,"Eden Park, Auckland",2024,02,Australia_New Zealand_2024-02-23,Australia,Australia,New Zealand,174
31,TM Head,TA Boult,MR Marsh,6,0,6,64,151,43,19,1,1,-,6,,0,,,field,New Zealand,1,"Eden Park, Auckland",2024,02,Australia_New Zealand_2024-02-23,Australia,Australia,New Zealand,174
32,TM Head,TA Boult,MR Marsh,1,0,1,65,150,44,20,1,2,-,6,,0,,,field,New Zealand,1,"Eden Park, Auckland",2024,02,Australia_New Zealand_2024-02-23,Australia,Australia,New Zealand,174
33,MR Marsh,TA Boult,TM Head,0,0,0,65,150,4,6,1,3,-,6,,0,,,field,New Zealand,1,"Eden Park, Auckland",2024,02,Australia_New Zealand_2024-02-23,Australia,Australia,New Zealand,174
34,MR Marsh,TA Boult,TM Head,1,0,1,66,149,5,7,1,4,-,6,,0,,,field,New Zealand,1,"Eden Park, Auckland",2024,02,Australia_New Zealand_2024-02-23,Australia,Australia,New Zealand,174
35,TM Head,TA Boult,MR Marsh,0,5,5,71,144,44,21,1,5,wides,6,,0,,,field,New Zealand,1,"Eden Park, Auckland",2024,02,Australia_New Zealand_2024-02-23,Australia,Australia,New Zealand,174
36,TM Head,TA Boult,MR Marsh,1,0,1,72,143,45,22,1,6,-,6,,0,,,field,New Zealand,1,"Eden Park, Auckland",2024,02,Australia_New Zealand_2024-02-23,Australia,Australia,New Zealand,174
37,MR Marsh,TA Boult,TM Head,0,1,1,73,142,5,8,1,7,wides,6,,0,,,field,New Zealand,1,"Eden Park, Auckland",2024,02,Australia_New Zealand_2024-02-23,Australia,Australia,New Zealand,174
38,MR Marsh,TA Boult,TM Head,1,0,1,74,141,6,9,1,8,-,6,,0,,,field,New Zealand,1,"Eden Park, Auckland",2024,02,Australia_New Zealand_2024-02-23,Australia,Australia,New Zealand,174
39,MR Marsh,BV Sears,TM Head,6,0,6,80,135,12,10,1,1,-,7,,0,,,field,New Zealand,1,"Eden Park, Auckland",2024,02,Australia_New Zealand_2024-02-23,Australia,Australia,New Zealand,174
40,MR Marsh,BV Sears,TM Head,4,0,4,84,131,16,11,1,2,-,7,,0,,,field,New Zealand,1,"Eden Park, Auckland",2024,02,Australia_New Zealand_2024-02-23,Australia,Australia,New Zealand,174
41,MR Marsh,BV Sears,TM Head,1,0,1,85,130,17,12,1,3,-,7,,0,,,field,New Zealand,1,"Eden Park, Auckland",2024,02,Australia_New Zealand_2024-02-23,Australia,Australia,New Zealand,174
42,TM Head,BV Sears,MR Marsh,0,0,0,85,130,45,23,2,4,-,7,,bowled,TM Head,,field,New Zealand,1,"Eden Park, Auckland",2024,02,Australia_New Zealand_2024-02-23,Australia,Australia,New Zealand,174
43,GJ Maxwell,BV Sears,MR Marsh,0,0,0,85,130,0,1,2,5,-,7,,0,,,field,New Zealand,1,"Eden Park, Auckland",2024,02,Australia_New Zealand_2024-02-23,Australia,Australia,New Zealand,174
44,GJ Maxwell,BV Sears,MR Marsh,0,0,0,85,130,0,2,2,6,-,7,,0,,,field,New Zealand,1,"Eden Park, Auckland",2024,02,Australia_New Zealand_2024-02-23,Australia,Australia,New Zealand,174
45,MR Marsh,MJ Santner,GJ Maxwell,1,0,1,86,129,18,13,2,1,-,8,,0,,,field,New Zealand,1,"Eden Park, Auckland",2024,02,Australia_New Zealand_2024-02-23,Australia,Australia,New Zealand,174
46,GJ Maxwell,MJ Santner,MR Marsh,0,2,2,88,127,0,3,2,2,wides,8,,0,,,field,New Zealand,1,"Eden Park, Auckland",2024,02,Australia_New Zealand_2024-02-23,Australia,Australia,New Zealand,174
47,MR Marsh,MJ Santner,GJ Maxwell,6,0,6,94,121,24,14,2,3,-,8,,0,,,field,New Zealand,1,"Eden Park, Auckland",2024,02,Australia_New Zealand_2024-02-23,Australia,Australia,New Zealand,174
48,MR Marsh,MJ Santner,GJ Maxwell,0,0,0,94,121,24,15,2,4,-,8,,0,,,field,New Zealand,1,"Eden Park, Auckland",2024,02,Australia_New Zealand_2024-02-23,Australia,Australia,New Zealand,174
49,MR Marsh,MJ Santner,GJ Maxwell,0,1,1,95,120,24,16,2,5,wides,8,,0,,,field,New Zealand,1,"Eden Park, Auckland",2024,02,Australia_New Zealand_2024-02-23,Australia,Australia,New Zealand,174
50,MR Marsh,MJ Santner,GJ Maxwell,0,0,0,95,120,24,17,2,6,-,8,,0,,,field,New Zealand,1,"Eden Park, Auckland",2024,02,Australia_New Zealand_2024-02-23,Australia,Australia,New Zealand,174
51,MR Marsh,MJ Santner,GJ Maxwell,0,1,1,96,119,24,18,2,7,wides,8,,0,,,field,New Zealand,1,"Eden Park, Auckland",2024,02,Australia_New Zealand_2024-02-23,Australia,Australia,New Zealand,174
52,MR Marsh,MJ Santner,GJ Maxwell,1,0,1,97,118,25,19,2,8,-,8,,0,,,field,New Zealand,1,"Eden Park, Auckland",2024,02,Australia_New Zealand_2024-02-23,Australia,Australia,New Zealand,174
53,GJ Maxwell,MJ Santner,MR Marsh,6,0,6,103,112,6,4,2,9,-,8,,0,,,field,New Zealand,1,"Eden Park, Auckland",2024,02,Australia_New Zealand_2024-02-23,Australia,Australia,New Zealand,174
54,MR Marsh,BV Sears,GJ Maxwell,0,0,0,103,112,25,20,2,1,-,9,,0,,,field,New Zealand,1,"Eden Park, Auckland",2024,02,Australia_New Zealand_2024-02-23,Australia,Australia,New Zealand,174
55,MR Marsh,BV Sears,GJ Maxwell,0,0,0,103,112,25,21,2,2,-,9,,0,,,field,New Zealand,1,"Eden Park, Auckland",2024,02,Australia_New Zealand_2024-02-23,Australia,Australia,New Zealand,174
56,MR Marsh,BV Sears,GJ Maxwell,0,0,0,103,112,25,22,2,3,-,9,,0,,,field,New Zealand,1,"Eden Park, Auckland",2024,02,Australia_New Zealand_2024-02-23,Australia,Australia,New Zealand,174
57,MR Marsh,BV Sears,GJ Maxwell,1,0,1,104,111,26,23,2,4,-,9,,0,,,field,New Zealand,1,"Eden Park, Auckland",2024,02,Australia_New Zealand_2024-02-23,Australia,Australia,New Zealand,174
58,GJ Maxwell,BV Sears,MR Marsh,0,0,0,104,111,6,5,3,5,-,9,,caught,GJ Maxwell,TA Boult,field,New Zealand,1,"Eden Park, Auckland",2024,02,Australia_New Zealand_2024-02-23,Australia,Australia,New Zealand,174
59,JP Inglis,BV Sears,MR Marsh,4,0,4,108,107,4,1,3,6,-,9,,0,,,field,New Zealand,1,"Eden Park, Auckland",2024,02,Australia_New Zealand_2024-02-23,Australia,Australia,New Zealand,174
60,MR Marsh,MJ Santner,JP Inglis,0,0,0,108,107,26,24,4,1,-,10,,caught,MR Marsh,TA Boult,field,New Zealand,1,"Eden Park, Auckland",2024,02,Australia_New Zealand_2024-02-23,Australia,Australia,New Zealand,174
61,TH David,MJ Santner,JP Inglis,0,0,0,108,107,0,1,4,2,-,10,,0,,,field,New Zealand,1,"Eden Park, Auckland",2024,02,Australia_New Zealand_2024-02-23,Australia,Australia,New Zealand,174
62,TH David,MJ Santner,JP Inglis,0,0,0,108,107,0,2,4,3,-,10,,0,,,field,New Zealand,1,"Eden Park, Auckland",2024,02,Australia_New Zealand_2024-02-23,Australia,Australia,New Zealand,174
63,TH David,MJ Santner,JP Inglis,1,0,1,109,106,1,3,4,4,-,10,,0,,,field,New Zealand,1,"Eden Park, Auckland",2024,02,Australia_New Zealand_2024-02-23,Australia,Australia,New Zealand,174
64,JP Inglis,MJ Santner,TH David,0,1,1,110,105,4,2,4,5,wides,10,,0,,,field,New Zealand,1,"Eden Park, Auckland",2024,02,Australia_New Zealand_2024-02-23,Australia,Australia,New Zealand,174
65,JP Inglis,MJ Santner,TH David,1,0,1,111,104,5,3,4,6,-,10,,0,,,field,New Zealand,1,"Eden Park, Auckland",2024,02,Australia_New Zealand_2024-02-23,Australia,Australia,New Zealand,174
66,TH David,MJ Santner,JP Inglis,4,0,4,115,100,5,4,4,7,-,10,,0,,,field,New Zealand,1,"Eden Park, Auckland",2024,02,Australia_New Zealand_2024-02-23,Australia,Australia,New Zealand,174
67,JP Inglis,LH Ferguson,TH David,0,0,0,115,100,5,4,5,1,-,11,,caught,JP Inglis,MS Chapman,field,New Zealand,1,"Eden Park, Auckland",2024,02,Australia_New Zealand_2024-02-23,Australia,Australia,New Zealand,174
68,MS Wade,LH Ferguson,TH David,1,0,1,116,99,1,1,5,2,-,11,,0,,,field,New Zealand,1,"Eden Park, Auckland",2024,02,Australia_New Zealand_2024-02-23,Australia,Australia,New Zealand,174
69,TH David,LH Ferguson,MS Wade,0,0,0,116,99,5,5,5,3,-,11,,0,,,field,New Zealand,1,"Eden Park, Auckland",2024,02,Australia_New Zealand_2024-02-23,Australia,Australia,New Zealand,174
70,TH David,LH Ferguson,MS Wade,0,0,0,116,99,5,6,5,4,-,11,,0,,,field,New Zealand,1,"Eden Park, Auckland",2024,02,Australia_New Zealand_2024-02-23,Australia,Australia,New Zealand,174
71,TH David,LH Ferguson,MS Wade,1,0,1,117,98,6,7,5,5,-,11,,0,,,field,New Zealand,1,"Eden Park, Auckland",2024,02,Australia_New Zealand_2024-02-23,Australia,Australia,New Zealand,174
72,MS Wade,LH Ferguson,TH David,0,0,0,117,98,1,2,5,6,-,11,,0,,,field,New Zealand,1,"Eden Park, Auckland",2024,02,Australia_New Zealand_2024-02-23,Australia,Australia,New Zealand,174
73,TH David,MJ Santner,MS Wade,4,0,4,121,94,10,8,5,1,-,12,,0,,,field,New Zealand,1,"Eden Park, Auckland",2024,02,Australia_New Zealand_2024-02-23,Australia,Australia,New Zealand,174
74,TH David,MJ Santner,MS Wade,1,0,1,122,93,11,9,5,2,-,12,,0,,,field,New Zealand,1,"Eden Park, Auckland",2024,02,Australia_New Zealand_2024-02-23,Australia,Australia,New Zealand,174
75,MS Wade,MJ Santner,TH David,0,0,0,122,93,1,3,6,3,-,12,,caught and bowled,MS Wade,,field,New Zealand,1,"Eden Park, Auckland",2024,02,Australia_New Zealand_2024-02-23,Australia,Australia,New Zealand,174
76,PJ Cummins,MJ Santner,TH David,0,0,0,122,93,0,1,6,4,-,12,,0,,,field,New Zealand,1,"Eden Park, Auckland",2024,02,Australia_New Zealand_2024-02-23,Australia,Australia,New Zealand,174
77,PJ Cummins,MJ Santner,TH David,0,0,0,122,93,0,2,6,5,-,12,,0,,,field,New Zealand,1,"Eden Park, Auckland",2024,02,Australia_New Zealand_2024-02-23,Australia,Australia,New Zealand,174
78,PJ Cummins,MJ Santner,TH David,1,0,1,123,92,1,3,6,6,-,12,,0,,,field,New Zealand,1,"Eden Park, Auckland",2024,02,Australia_New Zealand_2024-02-23,Australia,Australia,New Zealand,174
79,PJ Cummins,TA Boult,TH David,4,0,4,127,88,5,4,6,1,-,13,,0,,,field,New Zealand,1,"Eden Park, Auckland",2024,02,Australia_New Zealand_2024-02-23,Australia,Australia,New Zealand,174
80,PJ Cummins,TA Boult,TH David,1,0,1,128,87,6,5,6,2,-,13,,0,,,field,New Zealand,1,"Eden Park, Auckland",2024,02,Australia_New Zealand_2024-02-23,Australia,Australia,New Zealand,174
81,TH David,TA Boult,PJ Cummins,4,0,4,132,83,15,10,6,3,-,13,,0,,,field,New Zealand,1,"Eden Park, Auckland",2024,02,Australia_New Zealand_2024-02-23,Australia,Australia,New Zealand,174
82,TH David,TA Boult,PJ Cummins,0,0,0,132,83,15,11,6,4,-,13,,0,,,field,New Zealand,1,"Eden Park, Auckland",2024,02,Australia_New Zealand_2024-02-23,Australia,Australia,New Zealand,174
83,TH David,TA Boult,PJ Cummins,0,0,0,132,83,15,12,6,5,-,13,,0,,,field,New Zealand,1,"Eden Park, Auckland",2024,02,Australia_New Zealand_2024-02-23,Australia,Australia,New Zealand,174
84,TH David,TA Boult,PJ Cummins,1,0,1,133,82,16,13,6,6,-,13,,0,,,field,New Zealand,1,"Eden Park, Auckland",2024,02,Australia_New Zealand_2024-02-23,Australia,Australia,New Zealand,174
85,TH David,BV Sears,PJ Cummins,0,4,4,137,78,16,14,6,1,legbyes,14,,0,,,field,New Zealand,1,"Eden Park, Auckland",2024,02,Australia_New Zealand_2024-02-23,Australia,Australia,New Zealand,174
86,TH David,BV Sears,PJ Cummins,0,0,0,137,78,16,15,6,2,-,14,,0,,,field,New Zealand,1,"Eden Park, Auckland",2024,02,Australia_New Zealand_2024-02-23,Australia,Australia,New Zealand,174
87,TH David,BV Sears,PJ Cummins,0,0,0,137,78,16,16,6,3,-,14,,0,,,field,New Zealand,1,"Eden Park, Auckland",2024,02,Australia_New Zealand_2024-02-23,Australia,Australia,New Zealand,174
88,TH David,BV Sears,PJ Cummins,1,0,1,138,77,17,17,6,4,-,14,,0,,,field,New Zealand,1,"Eden Park, Auckland",2024,02,Australia_New Zealand_2024-02-23,Australia,Australia,New Zealand,174
89,PJ Cummins,BV Sears,TH David,0,0,0,138,77,6,6,6,5,-,14,,0,,,field,New Zealand,1,"Eden Park, Auckland",2024,02,Australia_New Zealand_2024-02-23,Australia,Australia,New Zealand,174
90,PJ Cummins,BV Sears,TH David,0,0,0,138,77,6,7,6,6,-,14,,0,,,field,New Zealand,1,"Eden Park, Auckland",2024,02,Australia_New Zealand_2024-02-23,Australia,Australia,New Zealand,174
91,TH David,AF Milne,PJ Cummins,0,0,0,138,77,17,18,6,1,-,15,,0,,,field,New Zealand,1,"Eden Park, Auckland",2024,02,Australia_New Zealand_2024-02-23,Australia,Australia,New Zealand,174
92,TH David,AF Milne,PJ Cummins,0,0,0,138,77,17,19,7,2,-,15,,caught,TH David,MJ Santner,field,New Zealand,1,"Eden Park, Auckland",2024,02,Australia_New Zealand_2024-02-23,Australia,Australia,New Zealand,174
93,NT Ellis,AF Milne,PJ Cummins,0,0,0,138,77,0,1,7,3,-,15,,0,,,field,New Zealand,1,"Eden Park, Auckland",2024,02,Australia_New Zealand_2024-02-23,Australia,Australia,New Zealand,174
94,NT Ellis,AF Milne,PJ Cummins,0,0,0,138,77,0,2,7,4,-,15,,0,,,field,New Zealand,1,"Eden Park, Auckland",2024,02,Australia_New Zealand_2024-02-23,Australia,Australia,New Zealand,174
95,NT Ellis,AF Milne,PJ Cummins,0,0,0,138,77,0,3,7,5,-,15,,0,,,field,New Zealand,1,"Eden Park, Auckland",2024,02,Australia_New Zealand_2024-02-23,Australia,Australia,New Zealand,174
96,NT Ellis,AF Milne,PJ Cummins,2,0,2,140,75,2,4,7,6,-,15,,0,,,field,New Zealand,1,"Eden Park, Auckland",2024,02,Australia_New Zealand_2024-02-23,Australia,Australia,New Zealand,174
97,PJ Cummins,MJ Santner,NT Ellis,0,0,0,140,75,6,8,7,1,-,16,,0,,,field,New Zealand,1,"Eden Park, Auckland",2024,02,Australia_New Zealand_2024-02-23,Australia,Australia,New Zealand,174
98,PJ Cummins,MJ Santner,NT Ellis,1,0,1,141,74,7,9,7,2,-,16,,0,,,field,New Zealand,1,"Eden Park, Auckland",2024,02,Australia_New Zealand_2024-02-23,Australia,Australia,New Zealand,174
99,NT Ellis,MJ Santner,PJ Cummins,0,0,0,141,74,2,5,7,3,-,16,,0,,,field,New Zealand,1,"Eden Park, Auckland",2024,02,Australia_New Zealand_2024-02-23,Australia,Australia,New Zealand,174
100,NT Ellis,MJ Santner,PJ Cummins,1,0,1,142,73,3,6,7,4,-,16,,0,,,field,New Zealand,1,"Eden Park, Auckland",2024,02,Australia_New Zealand_2024-02-23,Australia,Australia,New Zealand,174
101,PJ Cummins,MJ Santner,NT Ellis,1,0,1,143,72,8,10,7,5,-,16,,0,,,field,New Zealand,1,"Eden Park, Auckland",2024,02,Australia_New Zealand_2024-02-23,Australia,Australia,New Zealand,174
102,NT Ellis,MJ Santner,PJ Cummins,1,0,1,144,71,4,7,7,6,-,16,,0,,,field,New Zealand,1,"Eden Park, Auckland",2024,02,Australia_New Zealand_2024-02-23,Australia,Australia,New Zealand,174
103,NT Ellis,TA Boult,PJ Cummins,0,0,0,144,71,4,8,7,1,-,17,,0,,,field,New Zealand,1,"Eden Park, Auckland",2024,02,Australia_New Zealand_2024-02-23,Australia,Australia,New Zealand,174
104,NT Ellis,TA Boult,PJ Cummins,1,0,1,145,70,5,9,7,2,-,17,,0,,,field,New Zealand,1,"Eden Park, Auckland",2024,02,Australia_New Zealand_2024-02-23,Australia,Australia,New Zealand,174
105,PJ Cummins,TA Boult,NT Ellis,4,0,4,149,66,12,11,7,3,-,17,,0,,,field,New Zealand,1,"Eden Park, Auckland",2024,02,Australia_New Zealand_2024-02-23,Australia,Australia,New Zealand,174
106,PJ Cummins,TA Boult,NT Ellis,1,0,1,150,65,13,12,7,4,-,17,,0,,,field,New Zealand,1,"Eden Park, Auckland",2024,02,Australia_New Zealand_2024-02-23,Australia,Australia,New Zealand,174
107,NT Ellis,TA Boult,PJ Cummins,1,0,1,151,64,6,10,7,5,-,17,,0,,,field,New Zealand,1,"Eden Park, Auckland",2024,02,Australia_New Zealand_2024-02-23,Australia,Australia,New Zealand,174
108,PJ Cummins,TA Boult,NT Ellis,0,0,0,151,64,13,13,7,6,-,17,,0,,,field,New Zealand,1,"Eden Park, Auckland",2024,02,Australia_New Zealand_2024-02-23,Australia,Australia,New Zealand,174
109,NT Ellis,BV Sears,PJ Cummins,1,0,1,152,63,7,11,7,1,-,18,,0,,,field,New Zealand,1,"Eden Park, Auckland",2024,02,Australia_New Zealand_2024-02-23,Australia,Australia,New Zealand,174
110,PJ Cummins,BV Sears,NT Ellis,4,0,4,156,59,17,14,7,2,-,18,,0,,,field,New Zealand,1,"Eden Park, Auckland",2024,02,Australia_New Zealand_2024-02-23,Australia,Australia,New Zealand,174
111,PJ Cummins,BV Sears,NT Ellis,4,0,4,160,55,21,15,7,3,-,18,,0,,,field,New Zealand,1,"Eden Park, Auckland",2024,02,Australia_New Zealand_2024-02-23,Australia,Australia,New Zealand,174
112,PJ Cummins,BV Sears,NT Ellis,1,0,1,161,54,22,16,7,4,-,18,,0,,,field,New Zealand,1,"Eden Park, Auckland",2024,02,Australia_New Zealand_2024-02-23,Australia,Australia,New Zealand,174
113,NT Ellis,BV Sears,PJ Cummins,1,0,1,162,53,8,12,7,5,-,18,,0,,,field,New Zealand,1,"Eden Park, Auckland",2024,02,Australia_New Zealand_2024-02-23,Australia,Australia,New Zealand,174
114,PJ Cummins,BV Sears,NT Ellis,1,0,1,163,52,23,17,7,6,-,18,,0,,,field,New Zealand,1,"Eden Park, Auckland",2024,02,Australia_New Zealand_2024-02-23,Australia,Australia,New Zealand,174
115,PJ Cummins,AF Milne,NT Ellis,0,1,1,164,51,23,18,7,1,noballs,19,,0,,,field,New Zealand,1,"Eden Park, Auckland",2024,02,Australia_New Zealand_2024-02-23,Australia,Australia,New Zealand,174
116,PJ Cummins,AF Milne,NT Ellis,1,0,1,165,50,24,19,7,2,-,19,,0,,,field,New Zealand,1,"Eden Park, Auckland",2024,02,Australia_New Zealand_2024-02-23,Australia,Australia,New Zealand,174
117,NT Ellis,AF Milne,PJ Cummins,1,0,1,166,49,9,13,7,3,-,19,,0,,,field,New Zealand,1,"Eden Park, Auckland",2024,02,Australia_New Zealand_2024-02-23,Australia,Australia,New Zealand,174
118,PJ Cummins,AF Milne,NT Ellis,0,0,0,166,49,24,20,7,4,-,19,,0,,,field,New Zealand,1,"Eden Park, Auckland",2024,02,Australia_New Zealand_2024-02-23,Australia,Australia,New Zealand,174
119,PJ Cummins,AF Milne,NT Ellis,0,1,1,167,48,24,21,7,5,wides,19,,0,,,field,New Zealand,1,"Eden Park, Auckland",2024,02,Australia_New Zealand_2024-02-23,Australia,Australia,New Zealand,174
120,PJ Cummins,AF Milne,NT Ellis,4,0,4,171,44,28,22,7,6,-,19,,0,,,field,New Zealand,1,"Eden Park, Auckland",2024,02,Australia_New Zealand_2024-02-23,Australia,Australia,New Zealand,174
121,PJ Cummins,AF Milne,NT Ellis,0,0,0,171,44,28,23,8,7,-,19,,caught,PJ Cummins,LH Ferguson,field,New Zealand,1,"Eden Park, Auckland",2024,02,Australia_New Zealand_2024-02-23,Australia,Australia,New Zealand,174
122,A Zampa,AF Milne,NT Ellis,0,0,0,171,44,0,1,8,8,-,19,,0,,,field,New Zealand,1,"Eden Park, Auckland",2024,02,Australia_New Zealand_2024-02-23,Australia,Australia,New Zealand,174
123,NT Ellis,LH Ferguson,A Zampa,1,0,1,172,43,10,14,8,1,-,20,,0,,,field,New Zealand,1,"Eden Park, Auckland",2024,02,Australia_New Zealand_2024-02-23,Australia,Australia,New Zealand,174
