,batter,bowler,non_striker,review,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,extra_type,over,replacements,wicket_type,player_out,fielder,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,final_team_total
47,Jaker Ali,M Theekshana,Mahedi Hasan,,0,0,0,31,143,3,10,5,4,-,7,,0,,,field,Bangladesh,2,Sylhet International Cricket Stadium,2024,03,Sri Lanka_Bangladesh_2024-03-09,Sri Lanka,Bangladesh,Sri Lanka,146
48,Jaker Ali,M Theekshana,Mahedi Hasan,,0,0,0,31,143,3,11,5,5,-,7,,0,,,field,Bangladesh,2,Sylhet International Cricket Stadium,2024,03,Sri Lanka_Bangladesh_2024-03-09,Sri Lanka,Bangladesh,Sri Lanka,146
49,Jaker Ali,M Theekshana,Mahedi Hasan,,1,0,1,32,142,4,12,5,6,-,7,,0,,,field,Bangladesh,2,Sylhet International Cricket Stadium,2024,03,Sri Lanka_Bangladesh_2024-03-09,Sri Lanka,Bangladesh,Sri Lanka,146
50,Jaker Ali,PWH de Silva,Mahedi Hasan,"{'by': 'Bangladesh', 'umpire': 'Sharfuddoula', 'batter': 'Jaker Ali', 'decision': 'struck down', 'type': 'wicket'}",0,0,0,32,142,4,13,6,1,-,8,,lbw,Jaker Ali,,field,Bangladesh,2,Sylhet International Cricket Stadium,2024,03,Sri Lanka_Bangladesh_2024-03-09,Sri Lanka,Bangladesh,Sri Lanka,146
51,Rishad Hossain,PWH de Silva,Mahedi Hasan,,0,0,0,32,142,0,1,6,2,-,8,,0,,,field,Bangladesh,2,Sylhet International Cricket Stadium,2024,03,Sri Lanka_Bangladesh_2024-03-09,Sri Lanka,Bangladesh,Sri Lanka,146
52,Rishad Hossain,PWH de Silva,Mahedi Hasan,,3,0,3,35,139,3,2,6,3,-,8,,0,,,field,Bangladesh,2,Sylhet International Cricket Stadium,2024,03,Sri Lanka_Bangladesh_2024-03-09,Sri Lanka,Bangladesh,Sri Lanka,146
53,Mahedi Hasan,PWH de Silva,Rishad Hossain,,1,0,1,36,138,6,8,6,4,-,8,,0,,,field,Bangladesh,2,Sylhet International Cricket Stadium,2024,03,Sri Lanka_Bangladesh_2024-03-09,Sri Lanka,Bangladesh,Sri Lanka,146
54,Rishad Hossain,PWH de Silva,Mahedi Hasan,,0,0,0,36,138,3,3,6,5,-,8,,0,,,field,Bangladesh,2,Sylhet International Cricket Stadium,2024,03,Sri Lanka_Bangladesh_2024-03-09,Sri Lanka,Bangladesh,Sri Lanka,146
55,Rishad Hossain,PWH de Silva,Mahedi Hasan,,1,0,1,37,137,4,4,6,6,-,8,,0,,,field,Bangladesh,2,Sylhet International Cricket Stadium,2024,03,Sri Lanka_Bangladesh_2024-03-09,Sri Lanka,Bangladesh,Sri Lanka,146
56,Rishad Hossain,N Thushara,Mahedi Hasan,,0,0,0,37,137,4,5,6,1,-,9,,0,,,field,Bangladesh,2,Sylhet International Cricket Stadium,2024,03,Sri Lanka_Bangladesh_2024-03-09,Sri Lanka,Bangladesh,Sri Lanka,146
