,batter,bowler,non_striker,review,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,extra_type,delivery,over,wicket_type,player_out,fielder,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,won,final_team_total
49,KIC Asalanka,Umran Malik,DM de Silva,,1,0,1,59,169,7,6,3,-,2.0,7,0,,,bat,India,2,"Saurashtra Cricket Association Stadium, Rajkot",2023,01,India_Sri Lanka_2023-01-07,India,Sri Lanka,India,False,137
50,DM de Silva,Umran Malik,KIC Asalanka,,1,0,1,60,168,7,5,3,-,3.0,7,0,,,bat,India,2,"Saurashtra Cricket Association Stadium, Rajkot",2023,01,India_Sri Lanka_2023-01-07,India,Sri Lanka,India,False,137
51,KIC Asalanka,Umran Malik,DM de Silva,,1,0,1,61,167,8,7,3,-,4.0,7,0,,,bat,India,2,"Saurashtra Cricket Association Stadium, Rajkot",2023,01,India_Sri Lanka_2023-01-07,India,Sri Lanka,India,False,137
52,DM de Silva,Umran Malik,KIC Asalanka,,0,1,1,62,166,7,6,3,wides,4.0,7,0,,,bat,India,2,"Saurashtra Cricket Association Stadium, Rajkot",2023,01,India_Sri Lanka_2023-01-07,India,Sri Lanka,India,False,137
53,DM de Silva,Umran Malik,KIC Asalanka,,0,1,1,63,165,7,7,3,wides,4.0,7,0,,,bat,India,2,"Saurashtra Cricket Association Stadium, Rajkot",2023,01,India_Sri Lanka_2023-01-07,India,Sri Lanka,India,False,137
54,DM de Silva,Umran Malik,KIC Asalanka,,4,0,4,67,161,11,8,3,-,5.0,7,0,,,bat,India,2,"Saurashtra Cricket Association Stadium, Rajkot",2023,01,India_Sri Lanka_2023-01-07,India,Sri Lanka,India,False,137
55,DM de Silva,Umran Malik,KIC Asalanka,,1,1,2,69,159,12,9,3,noballs,5.0,7,0,,,bat,India,2,"Saurashtra Cricket Association Stadium, Rajkot",2023,01,India_Sri Lanka_2023-01-07,India,Sri Lanka,India,False,137
56,KIC Asalanka,Umran Malik,DM de Silva,,4,0,4,73,155,12,8,3,-,6.0,7,0,,,bat,India,2,"Saurashtra Cricket Association Stadium, Rajkot",2023,01,India_Sri Lanka_2023-01-07,India,Sri Lanka,India,False,137
57,DM de Silva,AR Patel,KIC Asalanka,,1,0,1,74,154,13,10,3,-,1.0,8,0,,,bat,India,2,"Saurashtra Cricket Association Stadium, Rajkot",2023,01,India_Sri Lanka_2023-01-07,India,Sri Lanka,India,False,137
58,KIC Asalanka,AR Patel,DM de Silva,,6,0,6,80,148,18,9,3,-,2.0,8,0,,,bat,India,2,"Saurashtra Cricket Association Stadium, Rajkot",2023,01,India_Sri Lanka_2023-01-07,India,Sri Lanka,India,False,137
59,KIC Asalanka,AR Patel,DM de Silva,,0,0,0,80,148,18,10,3,-,3.0,8,0,,,bat,India,2,"Saurashtra Cricket Association Stadium, Rajkot",2023,01,India_Sri Lanka_2023-01-07,India,Sri Lanka,India,False,137
60,KIC Asalanka,AR Patel,DM de Silva,,0,1,1,81,147,18,11,3,wides,3.0,8,0,,,bat,India,2,"Saurashtra Cricket Association Stadium, Rajkot",2023,01,India_Sri Lanka_2023-01-07,India,Sri Lanka,India,False,137
61,KIC Asalanka,AR Patel,DM de Silva,,1,0,1,82,146,19,12,3,-,4.0,8,0,,,bat,India,2,"Saurashtra Cricket Association Stadium, Rajkot",2023,01,India_Sri Lanka_2023-01-07,India,Sri Lanka,India,False,137
62,DM de Silva,AR Patel,KIC Asalanka,,1,0,1,83,145,14,11,3,-,5.0,8,0,,,bat,India,2,"Saurashtra Cricket Association Stadium, Rajkot",2023,01,India_Sri Lanka_2023-01-07,India,Sri Lanka,India,False,137
63,KIC Asalanka,AR Patel,DM de Silva,,0,0,0,83,145,19,13,3,-,6.0,8,0,,,bat,India,2,"Saurashtra Cricket Association Stadium, Rajkot",2023,01,India_Sri Lanka_2023-01-07,India,Sri Lanka,India,False,137
64,DM de Silva,YS Chahal,KIC Asalanka,,1,0,1,84,144,15,12,3,-,1.0,9,0,,,bat,India,2,"Saurashtra Cricket Association Stadium, Rajkot",2023,01,India_Sri Lanka_2023-01-07,India,Sri Lanka,India,False,137
65,KIC Asalanka,YS Chahal,DM de Silva,,0,0,0,84,144,19,14,3,-,2.0,9,0,,,bat,India,2,"Saurashtra Cricket Association Stadium, Rajkot",2023,01,India_Sri Lanka_2023-01-07,India,Sri Lanka,India,False,137
66,KIC Asalanka,YS Chahal,DM de Silva,,0,0,0,84,144,19,15,4,-,3.0,9,caught,KIC Asalanka,Shivam Mavi,bat,India,2,"Saurashtra Cricket Association Stadium, Rajkot",2023,01,India_Sri Lanka_2023-01-07,India,Sri Lanka,India,False,137
67,MD Shanaka,YS Chahal,DM de Silva,,1,0,1,85,143,1,1,4,-,4.0,9,0,,,bat,India,2,"Saurashtra Cricket Association Stadium, Rajkot",2023,01,India_Sri Lanka_2023-01-07,India,Sri Lanka,India,False,137
68,DM de Silva,YS Chahal,MD Shanaka,,0,0,0,85,143,15,13,4,-,5.0,9,0,,,bat,India,2,"Saurashtra Cricket Association Stadium, Rajkot",2023,01,India_Sri Lanka_2023-01-07,India,Sri Lanka,India,False,137
69,DM de Silva,YS Chahal,MD Shanaka,,6,0,6,91,137,21,14,4,-,6.0,9,0,,,bat,India,2,"Saurashtra Cricket Association Stadium, Rajkot",2023,01,India_Sri Lanka_2023-01-07,India,Sri Lanka,India,False,137
70,MD Shanaka,AR Patel,DM de Silva,,0,0,0,91,137,1,2,4,-,1.0,10,0,,,bat,India,2,"Saurashtra Cricket Association Stadium, Rajkot",2023,01,India_Sri Lanka_2023-01-07,India,Sri Lanka,India,False,137
71,MD Shanaka,AR Patel,DM de Silva,,1,0,1,92,136,2,3,4,-,2.0,10,0,,,bat,India,2,"Saurashtra Cricket Association Stadium, Rajkot",2023,01,India_Sri Lanka_2023-01-07,India,Sri Lanka,India,False,137
72,DM de Silva,AR Patel,MD Shanaka,,1,0,1,93,135,22,15,4,-,3.0,10,0,,,bat,India,2,"Saurashtra Cricket Association Stadium, Rajkot",2023,01,India_Sri Lanka_2023-01-07,India,Sri Lanka,India,False,137
73,MD Shanaka,AR Patel,DM de Silva,,0,0,0,93,135,2,4,4,-,4.0,10,0,,,bat,India,2,"Saurashtra Cricket Association Stadium, Rajkot",2023,01,India_Sri Lanka_2023-01-07,India,Sri Lanka,India,False,137
74,MD Shanaka,AR Patel,DM de Silva,,1,0,1,94,134,3,5,4,-,5.0,10,0,,,bat,India,2,"Saurashtra Cricket Association Stadium, Rajkot",2023,01,India_Sri Lanka_2023-01-07,India,Sri Lanka,India,False,137
75,DM de Silva,AR Patel,MD Shanaka,,0,0,0,94,134,22,16,4,-,6.0,10,0,,,bat,India,2,"Saurashtra Cricket Association Stadium, Rajkot",2023,01,India_Sri Lanka_2023-01-07,India,Sri Lanka,India,False,137
76,MD Shanaka,YS Chahal,DM de Silva,,1,0,1,95,133,4,6,4,-,1.0,11,0,,,bat,India,2,"Saurashtra Cricket Association Stadium, Rajkot",2023,01,India_Sri Lanka_2023-01-07,India,Sri Lanka,India,False,137
77,DM de Silva,YS Chahal,MD Shanaka,,0,1,1,96,132,22,17,4,wides,1.0,11,0,,,bat,India,2,"Saurashtra Cricket Association Stadium, Rajkot",2023,01,India_Sri Lanka_2023-01-07,India,Sri Lanka,India,False,137
78,DM de Silva,YS Chahal,MD Shanaka,,0,0,0,96,132,22,18,5,-,2.0,11,caught,DM de Silva,Shubman Gill,bat,India,2,"Saurashtra Cricket Association Stadium, Rajkot",2023,01,India_Sri Lanka_2023-01-07,India,Sri Lanka,India,False,137
79,PWH de Silva,YS Chahal,MD Shanaka,,2,0,2,98,130,2,1,5,-,3.0,11,0,,,bat,India,2,"Saurashtra Cricket Association Stadium, Rajkot",2023,01,India_Sri Lanka_2023-01-07,India,Sri Lanka,India,False,137
80,PWH de Silva,YS Chahal,MD Shanaka,,1,0,1,99,129,3,2,5,-,4.0,11,0,,,bat,India,2,"Saurashtra Cricket Association Stadium, Rajkot",2023,01,India_Sri Lanka_2023-01-07,India,Sri Lanka,India,False,137
81,MD Shanaka,YS Chahal,PWH de Silva,,1,0,1,100,128,5,7,5,-,5.0,11,0,,,bat,India,2,"Saurashtra Cricket Association Stadium, Rajkot",2023,01,India_Sri Lanka_2023-01-07,India,Sri Lanka,India,False,137
82,PWH de Silva,YS Chahal,MD Shanaka,,1,0,1,101,127,4,3,5,-,6.0,11,0,,,bat,India,2,"Saurashtra Cricket Association Stadium, Rajkot",2023,01,India_Sri Lanka_2023-01-07,India,Sri Lanka,India,False,137
83,PWH de Silva,Umran Malik,MD Shanaka,,1,0,1,102,126,5,4,5,-,1.0,12,0,,,bat,India,2,"Saurashtra Cricket Association Stadium, Rajkot",2023,01,India_Sri Lanka_2023-01-07,India,Sri Lanka,India,False,137
84,MD Shanaka,Umran Malik,PWH de Silva,,1,0,1,103,125,6,8,5,-,2.0,12,0,,,bat,India,2,"Saurashtra Cricket Association Stadium, Rajkot",2023,01,India_Sri Lanka_2023-01-07,India,Sri Lanka,India,False,137
85,PWH de Silva,Umran Malik,MD Shanaka,,0,0,0,103,125,5,5,5,-,3.0,12,0,,,bat,India,2,"Saurashtra Cricket Association Stadium, Rajkot",2023,01,India_Sri Lanka_2023-01-07,India,Sri Lanka,India,False,137
86,PWH de Silva,Umran Malik,MD Shanaka,,0,0,0,103,125,5,6,5,-,4.0,12,0,,,bat,India,2,"Saurashtra Cricket Association Stadium, Rajkot",2023,01,India_Sri Lanka_2023-01-07,India,Sri Lanka,India,False,137
87,PWH de Silva,Umran Malik,MD Shanaka,,4,0,4,107,121,9,7,5,-,5.0,12,0,,,bat,India,2,"Saurashtra Cricket Association Stadium, Rajkot",2023,01,India_Sri Lanka_2023-01-07,India,Sri Lanka,India,False,137
88,PWH de Silva,Umran Malik,MD Shanaka,,0,0,0,107,121,9,8,6,-,6.0,12,caught,PWH de Silva,DJ Hooda,bat,India,2,"Saurashtra Cricket Association Stadium, Rajkot",2023,01,India_Sri Lanka_2023-01-07,India,Sri Lanka,India,False,137
89,MD Shanaka,YS Chahal,C Karunaratne,,2,0,2,109,119,8,9,6,-,1.0,13,0,,,bat,India,2,"Saurashtra Cricket Association Stadium, Rajkot",2023,01,India_Sri Lanka_2023-01-07,India,Sri Lanka,India,False,137
90,MD Shanaka,YS Chahal,C Karunaratne,,6,0,6,115,113,14,10,6,-,2.0,13,0,,,bat,India,2,"Saurashtra Cricket Association Stadium, Rajkot",2023,01,India_Sri Lanka_2023-01-07,India,Sri Lanka,India,False,137
91,MD Shanaka,YS Chahal,C Karunaratne,,0,0,0,115,113,14,11,6,-,3.0,13,0,,,bat,India,2,"Saurashtra Cricket Association Stadium, Rajkot",2023,01,India_Sri Lanka_2023-01-07,India,Sri Lanka,India,False,137
92,MD Shanaka,YS Chahal,C Karunaratne,,6,0,6,121,107,20,12,6,-,4.0,13,0,,,bat,India,2,"Saurashtra Cricket Association Stadium, Rajkot",2023,01,India_Sri Lanka_2023-01-07,India,Sri Lanka,India,False,137
93,MD Shanaka,YS Chahal,C Karunaratne,,0,0,0,121,107,20,13,6,-,5.0,13,0,,,bat,India,2,"Saurashtra Cricket Association Stadium, Rajkot",2023,01,India_Sri Lanka_2023-01-07,India,Sri Lanka,India,False,137
94,MD Shanaka,YS Chahal,C Karunaratne,,1,0,1,122,106,21,14,6,-,6.0,13,0,,,bat,India,2,"Saurashtra Cricket Association Stadium, Rajkot",2023,01,India_Sri Lanka_2023-01-07,India,Sri Lanka,India,False,137
95,MD Shanaka,HH Pandya,C Karunaratne,,1,0,1,123,105,22,15,6,-,1.0,14,0,,,bat,India,2,"Saurashtra Cricket Association Stadium, Rajkot",2023,01,India_Sri Lanka_2023-01-07,India,Sri Lanka,India,False,137
96,C Karunaratne,HH Pandya,MD Shanaka,,0,0,0,123,105,0,1,6,-,2.0,14,0,,,bat,India,2,"Saurashtra Cricket Association Stadium, Rajkot",2023,01,India_Sri Lanka_2023-01-07,India,Sri Lanka,India,False,137
97,C Karunaratne,HH Pandya,MD Shanaka,"{'by': 'Sri Lanka', 'umpire': 'Nitin Menon', 'batter': 'C Karunaratne', 'decision': 'struck down'}",0,0,0,123,105,0,2,7,-,3.0,14,lbw,C Karunaratne,,bat,India,2,"Saurashtra Cricket Association Stadium, Rajkot",2023,01,India_Sri Lanka_2023-01-07,India,Sri Lanka,India,False,137
98,M Theekshana,HH Pandya,MD Shanaka,,0,0,0,123,105,0,1,7,-,4.0,14,0,,,bat,India,2,"Saurashtra Cricket Association Stadium, Rajkot",2023,01,India_Sri Lanka_2023-01-07,India,Sri Lanka,India,False,137
99,M Theekshana,HH Pandya,MD Shanaka,,0,0,0,123,105,0,2,7,-,5.0,14,0,,,bat,India,2,"Saurashtra Cricket Association Stadium, Rajkot",2023,01,India_Sri Lanka_2023-01-07,India,Sri Lanka,India,False,137
100,M Theekshana,HH Pandya,MD Shanaka,,2,0,2,125,103,2,3,7,-,6.0,14,0,,,bat,India,2,"Saurashtra Cricket Association Stadium, Rajkot",2023,01,India_Sri Lanka_2023-01-07,India,Sri Lanka,India,False,137
101,MD Shanaka,Umran Malik,M Theekshana,,1,0,1,126,102,23,16,7,-,1.0,15,0,,,bat,India,2,"Saurashtra Cricket Association Stadium, Rajkot",2023,01,India_Sri Lanka_2023-01-07,India,Sri Lanka,India,False,137
102,M Theekshana,Umran Malik,MD Shanaka,,0,1,1,127,101,2,4,7,wides,1.0,15,0,,,bat,India,2,"Saurashtra Cricket Association Stadium, Rajkot",2023,01,India_Sri Lanka_2023-01-07,India,Sri Lanka,India,False,137
103,M Theekshana,Umran Malik,MD Shanaka,,0,0,0,127,101,2,5,7,-,2.0,15,0,,,bat,India,2,"Saurashtra Cricket Association Stadium, Rajkot",2023,01,India_Sri Lanka_2023-01-07,India,Sri Lanka,India,False,137
104,M Theekshana,Umran Malik,MD Shanaka,,0,0,0,127,101,2,6,8,-,3.0,15,bowled,M Theekshana,,bat,India,2,"Saurashtra Cricket Association Stadium, Rajkot",2023,01,India_Sri Lanka_2023-01-07,India,Sri Lanka,India,False,137
105,CAK Rajitha,Umran Malik,MD Shanaka,,4,0,4,131,97,4,1,8,-,4.0,15,0,,,bat,India,2,"Saurashtra Cricket Association Stadium, Rajkot",2023,01,India_Sri Lanka_2023-01-07,India,Sri Lanka,India,False,137
106,CAK Rajitha,Umran Malik,MD Shanaka,,4,0,4,135,93,8,2,8,-,5.0,15,0,,,bat,India,2,"Saurashtra Cricket Association Stadium, Rajkot",2023,01,India_Sri Lanka_2023-01-07,India,Sri Lanka,India,False,137
107,CAK Rajitha,Umran Malik,MD Shanaka,,0,0,0,135,93,8,3,8,-,6.0,15,0,,,bat,India,2,"Saurashtra Cricket Association Stadium, Rajkot",2023,01,India_Sri Lanka_2023-01-07,India,Sri Lanka,India,False,137
108,MD Shanaka,Arshdeep Singh,CAK Rajitha,,0,0,0,135,93,23,17,9,-,1.0,16,caught,MD Shanaka,AR Patel,bat,India,2,"Saurashtra Cricket Association Stadium, Rajkot",2023,01,India_Sri Lanka_2023-01-07,India,Sri Lanka,India,False,137
