,batter,bowler,non_striker,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,over,extra_type,wicket_type,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,won,final_team_total
55,AD Hales,NL McCullum,MJ Lumb,1,0,1,86,53,43,32,0,1,9,-,0,field,England,2,Westpac Stadium,2013,02,New Zealand_England_2013-02-15,England,England,New Zealand,True,143
56,MJ Lumb,NL McCullum,AD Hales,1,0,1,87,52,34,25,0,2,9,-,0,field,England,2,Westpac Stadium,2013,02,New Zealand_England_2013-02-15,England,England,New Zealand,True,143
57,AD Hales,NL McCullum,MJ Lumb,0,0,0,87,52,43,33,0,3,9,-,0,field,England,2,Westpac Stadium,2013,02,New Zealand_England_2013-02-15,England,England,New Zealand,True,143
58,AD Hales,NL McCullum,MJ Lumb,4,0,4,91,48,47,34,0,4,9,-,0,field,England,2,Westpac Stadium,2013,02,New Zealand_England_2013-02-15,England,England,New Zealand,True,143
59,AD Hales,NL McCullum,MJ Lumb,1,0,1,92,47,48,35,0,5,9,-,0,field,England,2,Westpac Stadium,2013,02,New Zealand_England_2013-02-15,England,England,New Zealand,True,143
60,MJ Lumb,NL McCullum,AD Hales,1,0,1,93,46,35,26,0,6,9,-,0,field,England,2,Westpac Stadium,2013,02,New Zealand_England_2013-02-15,England,England,New Zealand,True,143
61,MJ Lumb,MJ McClenaghan,AD Hales,0,0,0,93,46,35,27,0,1,10,-,0,field,England,2,Westpac Stadium,2013,02,New Zealand_England_2013-02-15,England,England,New Zealand,True,143
62,MJ Lumb,MJ McClenaghan,AD Hales,1,0,1,94,45,36,28,0,2,10,-,0,field,England,2,Westpac Stadium,2013,02,New Zealand_England_2013-02-15,England,England,New Zealand,True,143
63,AD Hales,MJ McClenaghan,MJ Lumb,6,0,6,100,39,54,36,0,3,10,-,0,field,England,2,Westpac Stadium,2013,02,New Zealand_England_2013-02-15,England,England,New Zealand,True,143
64,AD Hales,MJ McClenaghan,MJ Lumb,4,0,4,104,35,58,37,0,4,10,-,0,field,England,2,Westpac Stadium,2013,02,New Zealand_England_2013-02-15,England,England,New Zealand,True,143
65,AD Hales,MJ McClenaghan,MJ Lumb,6,0,6,110,29,64,38,0,5,10,-,0,field,England,2,Westpac Stadium,2013,02,New Zealand_England_2013-02-15,England,England,New Zealand,True,143
66,AD Hales,MJ McClenaghan,MJ Lumb,6,0,6,116,23,70,39,0,6,10,-,0,field,England,2,Westpac Stadium,2013,02,New Zealand_England_2013-02-15,England,England,New Zealand,True,143
67,MJ Lumb,NL McCullum,AD Hales,0,0,0,116,23,36,29,0,1,11,-,0,field,England,2,Westpac Stadium,2013,02,New Zealand_England_2013-02-15,England,England,New Zealand,True,143
68,MJ Lumb,NL McCullum,AD Hales,2,0,2,118,21,38,30,0,2,11,-,0,field,England,2,Westpac Stadium,2013,02,New Zealand_England_2013-02-15,England,England,New Zealand,True,143
69,MJ Lumb,NL McCullum,AD Hales,2,0,2,120,19,40,31,0,3,11,-,0,field,England,2,Westpac Stadium,2013,02,New Zealand_England_2013-02-15,England,England,New Zealand,True,143
70,MJ Lumb,NL McCullum,AD Hales,6,0,6,126,13,46,32,0,4,11,-,0,field,England,2,Westpac Stadium,2013,02,New Zealand_England_2013-02-15,England,England,New Zealand,True,143
71,MJ Lumb,NL McCullum,AD Hales,1,0,1,127,12,47,33,0,5,11,-,0,field,England,2,Westpac Stadium,2013,02,New Zealand_England_2013-02-15,England,England,New Zealand,True,143
72,AD Hales,NL McCullum,MJ Lumb,1,0,1,128,11,71,40,0,6,11,-,0,field,England,2,Westpac Stadium,2013,02,New Zealand_England_2013-02-15,England,England,New Zealand,True,143
73,AD Hales,IG Butler,MJ Lumb,4,0,4,132,7,75,41,0,1,12,-,0,field,England,2,Westpac Stadium,2013,02,New Zealand_England_2013-02-15,England,England,New Zealand,True,143
74,AD Hales,IG Butler,MJ Lumb,4,0,4,136,3,79,42,0,2,12,-,0,field,England,2,Westpac Stadium,2013,02,New Zealand_England_2013-02-15,England,England,New Zealand,True,143
75,AD Hales,IG Butler,MJ Lumb,1,0,1,137,2,80,43,0,3,12,-,0,field,England,2,Westpac Stadium,2013,02,New Zealand_England_2013-02-15,England,England,New Zealand,True,143
76,MJ Lumb,IG Butler,AD Hales,6,0,6,143,-4,53,34,0,4,12,-,0,field,England,2,Westpac Stadium,2013,02,New Zealand_England_2013-02-15,England,England,New Zealand,True,143
