,batter,bowler,non_striker,replacements,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,extra_type,over,wicket_type,player_out,fielder,review,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,final_team_final
44,DJM Short,YS Chahal,AJ Finch,,1,0,1,56,105,19,20,0,3,-,8,0,,,,field,Australia,2,Manuka Oval,2020,12,India_Australia_2020-12-04,India,Australia,India,150
45,AJ Finch,YS Chahal,DJM Short,,0,0,0,56,105,35,26,1,4,-,8,caught,AJ Finch,HH Pandya,,field,Australia,2,Manuka Oval,2020,12,India_Australia_2020-12-04,India,Australia,India,150
46,SPD Smith,YS Chahal,DJM Short,,1,0,1,57,104,1,1,1,5,-,8,0,,,,field,Australia,2,Manuka Oval,2020,12,India_Australia_2020-12-04,India,Australia,India,150
47,DJM Short,YS Chahal,SPD Smith,,1,0,1,58,103,20,21,1,6,-,8,0,,,,field,Australia,2,Manuka Oval,2020,12,India_Australia_2020-12-04,India,Australia,India,150
48,DJM Short,DL Chahar,SPD Smith,,1,0,1,59,102,21,22,1,1,-,9,0,,,,field,Australia,2,Manuka Oval,2020,12,India_Australia_2020-12-04,India,Australia,India,150
49,SPD Smith,DL Chahar,DJM Short,,1,0,1,60,101,2,2,1,2,-,9,0,,,,field,Australia,2,Manuka Oval,2020,12,India_Australia_2020-12-04,India,Australia,India,150
50,DJM Short,DL Chahar,SPD Smith,,1,0,1,61,100,22,23,1,3,-,9,0,,,,field,Australia,2,Manuka Oval,2020,12,India_Australia_2020-12-04,India,Australia,India,150
51,SPD Smith,DL Chahar,DJM Short,,0,0,0,61,100,2,3,1,4,-,9,0,,,,field,Australia,2,Manuka Oval,2020,12,India_Australia_2020-12-04,India,Australia,India,150
52,SPD Smith,DL Chahar,DJM Short,,6,0,6,67,94,8,4,1,5,-,9,0,,,,field,Australia,2,Manuka Oval,2020,12,India_Australia_2020-12-04,India,Australia,India,150
53,SPD Smith,DL Chahar,DJM Short,,1,0,1,68,93,9,5,1,6,-,9,0,,,,field,Australia,2,Manuka Oval,2020,12,India_Australia_2020-12-04,India,Australia,India,150
54,SPD Smith,YS Chahal,DJM Short,,1,0,1,69,92,10,6,1,1,-,10,0,,,,field,Australia,2,Manuka Oval,2020,12,India_Australia_2020-12-04,India,Australia,India,150
55,DJM Short,YS Chahal,SPD Smith,,1,0,1,70,91,23,24,1,2,-,10,0,,,,field,Australia,2,Manuka Oval,2020,12,India_Australia_2020-12-04,India,Australia,India,150
56,SPD Smith,YS Chahal,DJM Short,,2,0,2,72,89,12,7,1,3,-,10,0,,,,field,Australia,2,Manuka Oval,2020,12,India_Australia_2020-12-04,India,Australia,India,150
57,SPD Smith,YS Chahal,DJM Short,,0,0,0,72,89,12,8,1,4,-,10,0,,,,field,Australia,2,Manuka Oval,2020,12,India_Australia_2020-12-04,India,Australia,India,150
58,SPD Smith,YS Chahal,DJM Short,,0,0,0,72,89,12,9,2,5,-,10,caught,SPD Smith,SV Samson,,field,Australia,2,Manuka Oval,2020,12,India_Australia_2020-12-04,India,Australia,India,150
59,GJ Maxwell,YS Chahal,DJM Short,,2,0,2,74,87,2,1,2,6,-,10,0,,,,field,Australia,2,Manuka Oval,2020,12,India_Australia_2020-12-04,India,Australia,India,150
60,DJM Short,T Natarajan,GJ Maxwell,,1,0,1,75,86,24,25,2,1,-,11,0,,,,field,Australia,2,Manuka Oval,2020,12,India_Australia_2020-12-04,India,Australia,India,150
61,GJ Maxwell,T Natarajan,DJM Short,,0,0,0,75,86,2,2,2,2,-,11,0,,,,field,Australia,2,Manuka Oval,2020,12,India_Australia_2020-12-04,India,Australia,India,150
62,GJ Maxwell,T Natarajan,DJM Short,,0,0,0,75,86,2,3,3,3,-,11,lbw,GJ Maxwell,,"{'by': 'India', 'umpire': 'SAJ Craig', 'batter': 'GJ Maxwell', 'decision': 'upheld'}",field,Australia,2,Manuka Oval,2020,12,India_Australia_2020-12-04,India,Australia,India,150
63,MC Henriques,T Natarajan,DJM Short,,1,0,1,76,85,1,1,3,4,-,11,0,,,,field,Australia,2,Manuka Oval,2020,12,India_Australia_2020-12-04,India,Australia,India,150
64,DJM Short,T Natarajan,MC Henriques,,2,0,2,78,83,26,26,3,5,-,11,0,,,,field,Australia,2,Manuka Oval,2020,12,India_Australia_2020-12-04,India,Australia,India,150
65,DJM Short,T Natarajan,MC Henriques,,1,0,1,79,82,27,27,3,6,-,11,0,,,,field,Australia,2,Manuka Oval,2020,12,India_Australia_2020-12-04,India,Australia,India,150
66,DJM Short,Washington Sundar,MC Henriques,,1,0,1,80,81,28,28,3,1,-,12,0,,,,field,Australia,2,Manuka Oval,2020,12,India_Australia_2020-12-04,India,Australia,India,150
67,MC Henriques,Washington Sundar,DJM Short,,1,0,1,81,80,2,2,3,2,-,12,0,,,,field,Australia,2,Manuka Oval,2020,12,India_Australia_2020-12-04,India,Australia,India,150
68,DJM Short,Washington Sundar,MC Henriques,,1,0,1,82,79,29,29,3,3,-,12,0,,,,field,Australia,2,Manuka Oval,2020,12,India_Australia_2020-12-04,India,Australia,India,150
69,MC Henriques,Washington Sundar,DJM Short,,1,0,1,83,78,3,3,3,4,-,12,0,,,,field,Australia,2,Manuka Oval,2020,12,India_Australia_2020-12-04,India,Australia,India,150
70,DJM Short,Washington Sundar,MC Henriques,,0,1,1,84,77,29,30,3,5,legbyes,12,0,,,,field,Australia,2,Manuka Oval,2020,12,India_Australia_2020-12-04,India,Australia,India,150
71,MC Henriques,Washington Sundar,DJM Short,,0,1,1,85,76,3,4,3,6,legbyes,12,0,,,,field,Australia,2,Manuka Oval,2020,12,India_Australia_2020-12-04,India,Australia,India,150
72,MC Henriques,Mohammed Shami,DJM Short,,6,0,6,91,70,9,5,3,1,-,13,0,,,,field,Australia,2,Manuka Oval,2020,12,India_Australia_2020-12-04,India,Australia,India,150
73,MC Henriques,Mohammed Shami,DJM Short,,1,0,1,92,69,10,6,3,2,-,13,0,,,,field,Australia,2,Manuka Oval,2020,12,India_Australia_2020-12-04,India,Australia,India,150
74,DJM Short,Mohammed Shami,MC Henriques,,0,0,0,92,69,29,31,3,3,-,13,0,,,,field,Australia,2,Manuka Oval,2020,12,India_Australia_2020-12-04,India,Australia,India,150
75,DJM Short,Mohammed Shami,MC Henriques,,1,0,1,93,68,30,32,3,4,-,13,0,,,,field,Australia,2,Manuka Oval,2020,12,India_Australia_2020-12-04,India,Australia,India,150
76,MC Henriques,Mohammed Shami,DJM Short,,1,0,1,94,67,11,7,3,5,-,13,0,,,,field,Australia,2,Manuka Oval,2020,12,India_Australia_2020-12-04,India,Australia,India,150
77,DJM Short,Mohammed Shami,MC Henriques,,1,0,1,95,66,31,33,3,6,-,13,0,,,,field,Australia,2,Manuka Oval,2020,12,India_Australia_2020-12-04,India,Australia,India,150
78,DJM Short,YS Chahal,MC Henriques,,1,0,1,96,65,32,34,3,1,-,14,0,,,,field,Australia,2,Manuka Oval,2020,12,India_Australia_2020-12-04,India,Australia,India,150
79,MC Henriques,YS Chahal,DJM Short,,0,0,0,96,65,11,8,3,2,-,14,0,,,,field,Australia,2,Manuka Oval,2020,12,India_Australia_2020-12-04,India,Australia,India,150
80,MC Henriques,YS Chahal,DJM Short,,4,0,4,100,61,15,9,3,3,-,14,0,,,,field,Australia,2,Manuka Oval,2020,12,India_Australia_2020-12-04,India,Australia,India,150
81,MC Henriques,YS Chahal,DJM Short,,2,0,2,102,59,17,10,3,4,-,14,0,,,,field,Australia,2,Manuka Oval,2020,12,India_Australia_2020-12-04,India,Australia,India,150
82,MC Henriques,YS Chahal,DJM Short,,1,0,1,103,58,18,11,3,5,-,14,0,,,,field,Australia,2,Manuka Oval,2020,12,India_Australia_2020-12-04,India,Australia,India,150
83,DJM Short,YS Chahal,MC Henriques,,0,1,1,104,57,32,35,3,6,wides,14,0,,,,field,Australia,2,Manuka Oval,2020,12,India_Australia_2020-12-04,India,Australia,India,150
84,DJM Short,YS Chahal,MC Henriques,,0,0,0,104,57,32,36,3,7,-,14,0,,,,field,Australia,2,Manuka Oval,2020,12,India_Australia_2020-12-04,India,Australia,India,150
85,MC Henriques,T Natarajan,DJM Short,,1,0,1,105,56,19,12,3,1,-,15,0,,,,field,Australia,2,Manuka Oval,2020,12,India_Australia_2020-12-04,India,Australia,India,150
86,DJM Short,T Natarajan,MC Henriques,,1,0,1,106,55,33,37,3,2,-,15,0,,,,field,Australia,2,Manuka Oval,2020,12,India_Australia_2020-12-04,India,Australia,India,150
87,MC Henriques,T Natarajan,DJM Short,,5,0,5,111,50,24,13,3,3,-,15,0,,,,field,Australia,2,Manuka Oval,2020,12,India_Australia_2020-12-04,India,Australia,India,150
88,DJM Short,T Natarajan,MC Henriques,,1,0,1,112,49,34,38,3,4,-,15,0,,,,field,Australia,2,Manuka Oval,2020,12,India_Australia_2020-12-04,India,Australia,India,150
89,MC Henriques,T Natarajan,DJM Short,,1,0,1,113,48,25,14,3,5,-,15,0,,,,field,Australia,2,Manuka Oval,2020,12,India_Australia_2020-12-04,India,Australia,India,150
90,DJM Short,T Natarajan,MC Henriques,,0,0,0,113,48,34,39,4,6,-,15,caught,DJM Short,HH Pandya,,field,Australia,2,Manuka Oval,2020,12,India_Australia_2020-12-04,India,Australia,India,150
91,MS Wade,Washington Sundar,MC Henriques,,0,0,0,113,48,0,1,4,1,-,16,0,,,,field,Australia,2,Manuka Oval,2020,12,India_Australia_2020-12-04,India,Australia,India,150
92,MS Wade,Washington Sundar,MC Henriques,,0,0,0,113,48,0,2,4,2,-,16,0,,,,field,Australia,2,Manuka Oval,2020,12,India_Australia_2020-12-04,India,Australia,India,150
93,MS Wade,Washington Sundar,MC Henriques,,2,0,2,115,46,2,3,4,3,-,16,0,,,,field,Australia,2,Manuka Oval,2020,12,India_Australia_2020-12-04,India,Australia,India,150
94,MS Wade,Washington Sundar,MC Henriques,,0,0,0,115,46,2,4,4,4,-,16,0,,,,field,Australia,2,Manuka Oval,2020,12,India_Australia_2020-12-04,India,Australia,India,150
95,MS Wade,Washington Sundar,MC Henriques,,1,0,1,116,45,3,5,4,5,-,16,0,,,,field,Australia,2,Manuka Oval,2020,12,India_Australia_2020-12-04,India,Australia,India,150
96,MC Henriques,Washington Sundar,MS Wade,,0,0,0,116,45,25,15,4,6,-,16,0,,,,field,Australia,2,Manuka Oval,2020,12,India_Australia_2020-12-04,India,Australia,India,150
97,MS Wade,YS Chahal,MC Henriques,,2,0,2,118,43,5,6,4,1,-,17,0,,,,field,Australia,2,Manuka Oval,2020,12,India_Australia_2020-12-04,India,Australia,India,150
98,MS Wade,YS Chahal,MC Henriques,,1,0,1,119,42,6,7,4,2,-,17,0,,,,field,Australia,2,Manuka Oval,2020,12,India_Australia_2020-12-04,India,Australia,India,150
99,MC Henriques,YS Chahal,MS Wade,,1,0,1,120,41,26,16,4,3,-,17,0,,,,field,Australia,2,Manuka Oval,2020,12,India_Australia_2020-12-04,India,Australia,India,150
100,MS Wade,YS Chahal,MC Henriques,,1,0,1,121,40,7,8,4,4,-,17,0,,,,field,Australia,2,Manuka Oval,2020,12,India_Australia_2020-12-04,India,Australia,India,150
101,MC Henriques,YS Chahal,MS Wade,,1,0,1,122,39,27,17,4,5,-,17,0,,,,field,Australia,2,Manuka Oval,2020,12,India_Australia_2020-12-04,India,Australia,India,150
102,MS Wade,YS Chahal,MC Henriques,,0,0,0,122,39,7,9,5,6,-,17,caught,MS Wade,V Kohli,,field,Australia,2,Manuka Oval,2020,12,India_Australia_2020-12-04,India,Australia,India,150
103,MC Henriques,DL Chahar,SA Abbott,,1,0,1,123,38,28,18,5,1,-,18,0,,,,field,Australia,2,Manuka Oval,2020,12,India_Australia_2020-12-04,India,Australia,India,150
104,SA Abbott,DL Chahar,MC Henriques,,1,0,1,124,37,1,1,5,2,-,18,0,,,,field,Australia,2,Manuka Oval,2020,12,India_Australia_2020-12-04,India,Australia,India,150
105,MC Henriques,DL Chahar,SA Abbott,,2,0,2,126,35,30,19,5,3,-,18,0,,,,field,Australia,2,Manuka Oval,2020,12,India_Australia_2020-12-04,India,Australia,India,150
106,MC Henriques,DL Chahar,SA Abbott,,0,0,0,126,35,30,20,6,4,-,18,lbw,MC Henriques,,"{'by': 'Australia', 'umpire': 'RJ Tucker', 'batter': 'MC Henriques', 'decision': 'struck down'}",field,Australia,2,Manuka Oval,2020,12,India_Australia_2020-12-04,India,Australia,India,150
107,MA Starc,DL Chahar,SA Abbott,,1,0,1,127,34,1,1,6,5,-,18,0,,,,field,Australia,2,Manuka Oval,2020,12,India_Australia_2020-12-04,India,Australia,India,150
108,SA Abbott,DL Chahar,MA Starc,,0,0,0,127,34,1,2,6,6,-,18,0,,,,field,Australia,2,Manuka Oval,2020,12,India_Australia_2020-12-04,India,Australia,India,150
109,MA Starc,T Natarajan,SA Abbott,,0,0,0,127,34,1,2,7,1,-,19,bowled,MA Starc,,,field,Australia,2,Manuka Oval,2020,12,India_Australia_2020-12-04,India,Australia,India,150
110,MJ Swepson,T Natarajan,SA Abbott,,0,0,0,127,34,0,1,7,2,-,19,0,,,,field,Australia,2,Manuka Oval,2020,12,India_Australia_2020-12-04,India,Australia,India,150
111,MJ Swepson,T Natarajan,SA Abbott,,1,0,1,128,33,1,2,7,3,-,19,0,,,,field,Australia,2,Manuka Oval,2020,12,India_Australia_2020-12-04,India,Australia,India,150
112,SA Abbott,T Natarajan,MJ Swepson,,0,0,0,128,33,1,3,7,4,-,19,0,,,,field,Australia,2,Manuka Oval,2020,12,India_Australia_2020-12-04,India,Australia,India,150
113,SA Abbott,T Natarajan,MJ Swepson,,6,0,6,134,27,7,4,7,5,-,19,0,,,,field,Australia,2,Manuka Oval,2020,12,India_Australia_2020-12-04,India,Australia,India,150
114,SA Abbott,T Natarajan,MJ Swepson,,1,0,1,135,26,8,5,7,6,-,19,0,,,,field,Australia,2,Manuka Oval,2020,12,India_Australia_2020-12-04,India,Australia,India,150
115,SA Abbott,Mohammed Shami,MJ Swepson,,3,0,3,138,23,11,6,7,1,-,20,0,,,,field,Australia,2,Manuka Oval,2020,12,India_Australia_2020-12-04,India,Australia,India,150
116,MJ Swepson,Mohammed Shami,SA Abbott,,1,0,1,139,22,2,3,7,2,-,20,0,,,,field,Australia,2,Manuka Oval,2020,12,India_Australia_2020-12-04,India,Australia,India,150
117,SA Abbott,Mohammed Shami,MJ Swepson,,0,0,0,139,22,11,7,7,3,-,20,0,,,,field,Australia,2,Manuka Oval,2020,12,India_Australia_2020-12-04,India,Australia,India,150
118,SA Abbott,Mohammed Shami,MJ Swepson,,1,0,1,140,21,12,8,7,4,-,20,0,,,,field,Australia,2,Manuka Oval,2020,12,India_Australia_2020-12-04,India,Australia,India,150
119,MJ Swepson,Mohammed Shami,SA Abbott,,6,0,6,146,15,8,4,7,5,-,20,0,,,,field,Australia,2,Manuka Oval,2020,12,India_Australia_2020-12-04,India,Australia,India,150
120,MJ Swepson,Mohammed Shami,SA Abbott,,4,0,4,150,11,12,5,7,6,-,20,0,,,,field,Australia,2,Manuka Oval,2020,12,India_Australia_2020-12-04,India,Australia,India,150
