,batter,bowler,non_striker,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,extra_type,over,review,wicket_type,player_out,fielder,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,final_team_final
24,RG Sharma,SS Cottrell,V Kohli,0,0,0,19,138,2,9,1,5,-,4,,0,,,field,West Indies,1,"Eden Gardens, Kolkata",2022,02,India_West Indies_2022-02-18,India,India,West Indies,186
25,RG Sharma,SS Cottrell,V Kohli,4,0,4,23,134,6,10,1,6,-,4,,0,,,field,West Indies,1,"Eden Gardens, Kolkata",2022,02,India_West Indies_2022-02-18,India,India,West Indies,186
26,RG Sharma,SS Cottrell,V Kohli,0,0,0,23,134,6,11,1,7,-,4,,0,,,field,West Indies,1,"Eden Gardens, Kolkata",2022,02,India_West Indies_2022-02-18,India,India,West Indies,186
27,V Kohli,JO Holder,RG Sharma,4,0,4,27,130,12,7,1,1,-,5,,0,,,field,West Indies,1,"Eden Gardens, Kolkata",2022,02,India_West Indies_2022-02-18,India,India,West Indies,186
28,V Kohli,JO Holder,RG Sharma,1,0,1,28,129,13,8,1,2,-,5,,0,,,field,West Indies,1,"Eden Gardens, Kolkata",2022,02,India_West Indies_2022-02-18,India,India,West Indies,186
29,RG Sharma,JO Holder,V Kohli,1,0,1,29,128,7,12,1,3,-,5,,0,,,field,West Indies,1,"Eden Gardens, Kolkata",2022,02,India_West Indies_2022-02-18,India,India,West Indies,186
30,V Kohli,JO Holder,RG Sharma,1,0,1,30,127,14,9,1,4,-,5,,0,,,field,West Indies,1,"Eden Gardens, Kolkata",2022,02,India_West Indies_2022-02-18,India,India,West Indies,186
31,RG Sharma,JO Holder,V Kohli,4,0,4,34,123,11,13,1,5,-,5,,0,,,field,West Indies,1,"Eden Gardens, Kolkata",2022,02,India_West Indies_2022-02-18,India,India,West Indies,186
32,RG Sharma,JO Holder,V Kohli,0,0,0,34,123,11,14,1,6,-,5,,0,,,field,West Indies,1,"Eden Gardens, Kolkata",2022,02,India_West Indies_2022-02-18,India,India,West Indies,186
33,V Kohli,R Shepherd,RG Sharma,0,0,0,34,123,14,10,1,1,-,6,,0,,,field,West Indies,1,"Eden Gardens, Kolkata",2022,02,India_West Indies_2022-02-18,India,India,West Indies,186
34,V Kohli,R Shepherd,RG Sharma,4,0,4,38,119,18,11,1,2,-,6,,0,,,field,West Indies,1,"Eden Gardens, Kolkata",2022,02,India_West Indies_2022-02-18,India,India,West Indies,186
35,V Kohli,R Shepherd,RG Sharma,4,0,4,42,115,22,12,1,3,-,6,,0,,,field,West Indies,1,"Eden Gardens, Kolkata",2022,02,India_West Indies_2022-02-18,India,India,West Indies,186
36,V Kohli,R Shepherd,RG Sharma,0,0,0,42,115,22,13,1,4,-,6,,0,,,field,West Indies,1,"Eden Gardens, Kolkata",2022,02,India_West Indies_2022-02-18,India,India,West Indies,186
37,V Kohli,R Shepherd,RG Sharma,1,0,1,43,114,23,14,1,5,-,6,,0,,,field,West Indies,1,"Eden Gardens, Kolkata",2022,02,India_West Indies_2022-02-18,India,India,West Indies,186
38,RG Sharma,R Shepherd,V Kohli,6,0,6,49,108,17,15,1,6,-,6,,0,,,field,West Indies,1,"Eden Gardens, Kolkata",2022,02,India_West Indies_2022-02-18,India,India,West Indies,186
39,V Kohli,AJ Hosein,RG Sharma,4,0,4,53,104,27,15,1,1,-,7,,0,,,field,West Indies,1,"Eden Gardens, Kolkata",2022,02,India_West Indies_2022-02-18,India,India,West Indies,186
40,V Kohli,AJ Hosein,RG Sharma,0,0,0,53,104,27,16,1,2,-,7,,0,,,field,West Indies,1,"Eden Gardens, Kolkata",2022,02,India_West Indies_2022-02-18,India,India,West Indies,186
41,V Kohli,AJ Hosein,RG Sharma,1,0,1,54,103,28,17,1,3,-,7,,0,,,field,West Indies,1,"Eden Gardens, Kolkata",2022,02,India_West Indies_2022-02-18,India,India,West Indies,186
42,RG Sharma,AJ Hosein,V Kohli,1,0,1,55,102,18,16,1,4,-,7,,0,,,field,West Indies,1,"Eden Gardens, Kolkata",2022,02,India_West Indies_2022-02-18,India,India,West Indies,186
43,V Kohli,AJ Hosein,RG Sharma,1,0,1,56,101,29,18,1,5,-,7,,0,,,field,West Indies,1,"Eden Gardens, Kolkata",2022,02,India_West Indies_2022-02-18,India,India,West Indies,186
44,RG Sharma,AJ Hosein,V Kohli,0,0,0,56,101,18,17,1,6,-,7,,0,,,field,West Indies,1,"Eden Gardens, Kolkata",2022,02,India_West Indies_2022-02-18,India,India,West Indies,186
45,V Kohli,RL Chase,RG Sharma,1,0,1,57,100,30,19,1,1,-,8,,0,,,field,West Indies,1,"Eden Gardens, Kolkata",2022,02,India_West Indies_2022-02-18,India,India,West Indies,186
46,RG Sharma,RL Chase,V Kohli,1,0,1,58,99,19,18,1,2,-,8,,0,,,field,West Indies,1,"Eden Gardens, Kolkata",2022,02,India_West Indies_2022-02-18,India,India,West Indies,186
47,V Kohli,RL Chase,RG Sharma,0,0,0,58,99,30,20,1,3,-,8,,0,,,field,West Indies,1,"Eden Gardens, Kolkata",2022,02,India_West Indies_2022-02-18,India,India,West Indies,186
48,V Kohli,RL Chase,RG Sharma,1,0,1,59,98,31,21,1,4,-,8,,0,,,field,West Indies,1,"Eden Gardens, Kolkata",2022,02,India_West Indies_2022-02-18,India,India,West Indies,186
49,RG Sharma,RL Chase,V Kohli,0,0,0,59,98,19,19,2,5,-,8,,caught,RG Sharma,BA King,field,West Indies,1,"Eden Gardens, Kolkata",2022,02,India_West Indies_2022-02-18,India,India,West Indies,186
50,V Kohli,RL Chase,SA Yadav,1,0,1,60,97,32,22,2,6,-,8,,0,,,field,West Indies,1,"Eden Gardens, Kolkata",2022,02,India_West Indies_2022-02-18,India,India,West Indies,186
51,V Kohli,AJ Hosein,SA Yadav,1,0,1,61,96,33,23,2,1,-,9,,0,,,field,West Indies,1,"Eden Gardens, Kolkata",2022,02,India_West Indies_2022-02-18,India,India,West Indies,186
52,SA Yadav,AJ Hosein,V Kohli,4,0,4,65,92,4,1,2,2,-,9,,0,,,field,West Indies,1,"Eden Gardens, Kolkata",2022,02,India_West Indies_2022-02-18,India,India,West Indies,186
53,SA Yadav,AJ Hosein,V Kohli,0,0,0,65,92,4,2,2,3,-,9,,0,,,field,West Indies,1,"Eden Gardens, Kolkata",2022,02,India_West Indies_2022-02-18,India,India,West Indies,186
54,SA Yadav,AJ Hosein,V Kohli,1,0,1,66,91,5,3,2,4,-,9,,0,,,field,West Indies,1,"Eden Gardens, Kolkata",2022,02,India_West Indies_2022-02-18,India,India,West Indies,186
55,V Kohli,AJ Hosein,SA Yadav,1,0,1,67,90,34,24,2,5,-,9,,0,,,field,West Indies,1,"Eden Gardens, Kolkata",2022,02,India_West Indies_2022-02-18,India,India,West Indies,186
56,SA Yadav,AJ Hosein,V Kohli,2,0,2,69,88,7,4,2,6,-,9,,0,,,field,West Indies,1,"Eden Gardens, Kolkata",2022,02,India_West Indies_2022-02-18,India,India,West Indies,186
57,V Kohli,RL Chase,SA Yadav,1,0,1,70,87,35,25,2,1,-,10,,0,,,field,West Indies,1,"Eden Gardens, Kolkata",2022,02,India_West Indies_2022-02-18,India,India,West Indies,186
58,SA Yadav,RL Chase,V Kohli,1,0,1,71,86,8,5,2,2,-,10,,0,,,field,West Indies,1,"Eden Gardens, Kolkata",2022,02,India_West Indies_2022-02-18,India,India,West Indies,186
59,V Kohli,RL Chase,SA Yadav,0,0,0,71,86,35,26,2,3,-,10,,0,,,field,West Indies,1,"Eden Gardens, Kolkata",2022,02,India_West Indies_2022-02-18,India,India,West Indies,186
60,V Kohli,RL Chase,SA Yadav,1,0,1,72,85,36,27,2,4,-,10,,0,,,field,West Indies,1,"Eden Gardens, Kolkata",2022,02,India_West Indies_2022-02-18,India,India,West Indies,186
61,SA Yadav,RL Chase,V Kohli,0,0,0,72,85,8,6,3,5,-,10,,caught and bowled,SA Yadav,,field,West Indies,1,"Eden Gardens, Kolkata",2022,02,India_West Indies_2022-02-18,India,India,West Indies,186
62,RR Pant,RL Chase,V Kohli,4,0,4,76,81,4,1,3,6,-,10,,0,,,field,West Indies,1,"Eden Gardens, Kolkata",2022,02,India_West Indies_2022-02-18,India,India,West Indies,186
63,V Kohli,JO Holder,RR Pant,1,0,1,77,80,37,28,3,1,-,11,,0,,,field,West Indies,1,"Eden Gardens, Kolkata",2022,02,India_West Indies_2022-02-18,India,India,West Indies,186
64,RR Pant,JO Holder,V Kohli,0,0,0,77,80,4,2,3,2,-,11,,0,,,field,West Indies,1,"Eden Gardens, Kolkata",2022,02,India_West Indies_2022-02-18,India,India,West Indies,186
65,RR Pant,JO Holder,V Kohli,0,1,1,78,79,4,3,3,3,legbyes,11,,0,,,field,West Indies,1,"Eden Gardens, Kolkata",2022,02,India_West Indies_2022-02-18,India,India,West Indies,186
66,V Kohli,JO Holder,RR Pant,1,0,1,79,78,38,29,3,4,-,11,,0,,,field,West Indies,1,"Eden Gardens, Kolkata",2022,02,India_West Indies_2022-02-18,India,India,West Indies,186
67,RR Pant,JO Holder,V Kohli,4,0,4,83,74,8,4,3,5,-,11,,0,,,field,West Indies,1,"Eden Gardens, Kolkata",2022,02,India_West Indies_2022-02-18,India,India,West Indies,186
68,RR Pant,JO Holder,V Kohli,2,0,2,85,72,10,5,3,6,-,11,,0,,,field,West Indies,1,"Eden Gardens, Kolkata",2022,02,India_West Indies_2022-02-18,India,India,West Indies,186
69,V Kohli,RL Chase,RR Pant,0,0,0,85,72,38,30,3,1,-,12,,0,,,field,West Indies,1,"Eden Gardens, Kolkata",2022,02,India_West Indies_2022-02-18,India,India,West Indies,186
70,V Kohli,RL Chase,RR Pant,1,0,1,86,71,39,31,3,2,-,12,,0,,,field,West Indies,1,"Eden Gardens, Kolkata",2022,02,India_West Indies_2022-02-18,India,India,West Indies,186
71,RR Pant,RL Chase,V Kohli,1,0,1,87,70,11,6,3,3,-,12,,0,,,field,West Indies,1,"Eden Gardens, Kolkata",2022,02,India_West Indies_2022-02-18,India,India,West Indies,186
72,V Kohli,RL Chase,RR Pant,0,0,0,87,70,39,32,3,4,-,12,,0,,,field,West Indies,1,"Eden Gardens, Kolkata",2022,02,India_West Indies_2022-02-18,India,India,West Indies,186
73,V Kohli,RL Chase,RR Pant,0,1,1,88,69,39,33,3,5,legbyes,12,,0,,,field,West Indies,1,"Eden Gardens, Kolkata",2022,02,India_West Indies_2022-02-18,India,India,West Indies,186
74,RR Pant,RL Chase,V Kohli,0,0,0,88,69,11,7,3,6,-,12,,0,,,field,West Indies,1,"Eden Gardens, Kolkata",2022,02,India_West Indies_2022-02-18,India,India,West Indies,186
75,V Kohli,OF Smith,RR Pant,2,0,2,90,67,41,34,3,1,-,13,,0,,,field,West Indies,1,"Eden Gardens, Kolkata",2022,02,India_West Indies_2022-02-18,India,India,West Indies,186
76,V Kohli,OF Smith,RR Pant,4,0,4,94,63,45,35,3,2,-,13,,0,,,field,West Indies,1,"Eden Gardens, Kolkata",2022,02,India_West Indies_2022-02-18,India,India,West Indies,186
77,V Kohli,OF Smith,RR Pant,0,1,1,95,62,45,36,3,3,wides,13,,0,,,field,West Indies,1,"Eden Gardens, Kolkata",2022,02,India_West Indies_2022-02-18,India,India,West Indies,186
78,V Kohli,OF Smith,RR Pant,1,0,1,96,61,46,37,3,4,-,13,,0,,,field,West Indies,1,"Eden Gardens, Kolkata",2022,02,India_West Indies_2022-02-18,India,India,West Indies,186
79,RR Pant,OF Smith,V Kohli,1,0,1,97,60,12,8,3,5,-,13,,0,,,field,West Indies,1,"Eden Gardens, Kolkata",2022,02,India_West Indies_2022-02-18,India,India,West Indies,186
80,V Kohli,OF Smith,RR Pant,0,1,1,98,59,46,38,3,6,wides,13,,0,,,field,West Indies,1,"Eden Gardens, Kolkata",2022,02,India_West Indies_2022-02-18,India,India,West Indies,186
81,V Kohli,OF Smith,RR Pant,0,0,0,98,59,46,39,3,7,-,13,,0,,,field,West Indies,1,"Eden Gardens, Kolkata",2022,02,India_West Indies_2022-02-18,India,India,West Indies,186
82,V Kohli,OF Smith,RR Pant,0,0,0,98,59,46,40,3,8,-,13,,0,,,field,West Indies,1,"Eden Gardens, Kolkata",2022,02,India_West Indies_2022-02-18,India,India,West Indies,186
83,RR Pant,RL Chase,V Kohli,1,0,1,99,58,13,9,3,1,-,14,,0,,,field,West Indies,1,"Eden Gardens, Kolkata",2022,02,India_West Indies_2022-02-18,India,India,West Indies,186
84,V Kohli,RL Chase,RR Pant,6,0,6,105,52,52,41,3,2,-,14,,0,,,field,West Indies,1,"Eden Gardens, Kolkata",2022,02,India_West Indies_2022-02-18,India,India,West Indies,186
85,V Kohli,RL Chase,RR Pant,0,1,1,106,51,52,42,3,3,wides,14,,0,,,field,West Indies,1,"Eden Gardens, Kolkata",2022,02,India_West Indies_2022-02-18,India,India,West Indies,186
86,V Kohli,RL Chase,RR Pant,0,0,0,106,51,52,43,3,4,-,14,,0,,,field,West Indies,1,"Eden Gardens, Kolkata",2022,02,India_West Indies_2022-02-18,India,India,West Indies,186
87,V Kohli,RL Chase,RR Pant,0,0,0,106,51,52,44,4,5,-,14,,bowled,V Kohli,,field,West Indies,1,"Eden Gardens, Kolkata",2022,02,India_West Indies_2022-02-18,India,India,West Indies,186
88,VR Iyer,RL Chase,RR Pant,4,0,4,110,47,4,1,4,6,-,14,,0,,,field,West Indies,1,"Eden Gardens, Kolkata",2022,02,India_West Indies_2022-02-18,India,India,West Indies,186
89,VR Iyer,RL Chase,RR Pant,0,0,0,110,47,4,2,4,7,-,14,,0,,,field,West Indies,1,"Eden Gardens, Kolkata",2022,02,India_West Indies_2022-02-18,India,India,West Indies,186
90,RR Pant,KA Pollard,VR Iyer,4,0,4,114,43,17,10,4,1,-,15,,0,,,field,West Indies,1,"Eden Gardens, Kolkata",2022,02,India_West Indies_2022-02-18,India,India,West Indies,186
91,RR Pant,KA Pollard,VR Iyer,1,0,1,115,42,18,11,4,2,-,15,,0,,,field,West Indies,1,"Eden Gardens, Kolkata",2022,02,India_West Indies_2022-02-18,India,India,West Indies,186
92,VR Iyer,KA Pollard,RR Pant,1,0,1,116,41,5,3,4,3,-,15,,0,,,field,West Indies,1,"Eden Gardens, Kolkata",2022,02,India_West Indies_2022-02-18,India,India,West Indies,186
93,RR Pant,KA Pollard,VR Iyer,0,0,0,116,41,18,12,4,4,-,15,,0,,,field,West Indies,1,"Eden Gardens, Kolkata",2022,02,India_West Indies_2022-02-18,India,India,West Indies,186
94,RR Pant,KA Pollard,VR Iyer,4,0,4,120,37,22,13,4,5,-,15,,0,,,field,West Indies,1,"Eden Gardens, Kolkata",2022,02,India_West Indies_2022-02-18,India,India,West Indies,186
95,RR Pant,KA Pollard,VR Iyer,4,0,4,124,33,26,14,4,6,-,15,,0,,,field,West Indies,1,"Eden Gardens, Kolkata",2022,02,India_West Indies_2022-02-18,India,India,West Indies,186
96,VR Iyer,SS Cottrell,RR Pant,1,0,1,125,32,6,4,4,1,-,16,,0,,,field,West Indies,1,"Eden Gardens, Kolkata",2022,02,India_West Indies_2022-02-18,India,India,West Indies,186
97,RR Pant,SS Cottrell,VR Iyer,1,0,1,126,31,27,15,4,2,-,16,,0,,,field,West Indies,1,"Eden Gardens, Kolkata",2022,02,India_West Indies_2022-02-18,India,India,West Indies,186
98,VR Iyer,SS Cottrell,RR Pant,4,0,4,130,27,10,5,4,3,-,16,,0,,,field,West Indies,1,"Eden Gardens, Kolkata",2022,02,India_West Indies_2022-02-18,India,India,West Indies,186
99,VR Iyer,SS Cottrell,RR Pant,4,0,4,134,23,14,6,4,4,-,16,,0,,,field,West Indies,1,"Eden Gardens, Kolkata",2022,02,India_West Indies_2022-02-18,India,India,West Indies,186
100,VR Iyer,SS Cottrell,RR Pant,1,0,1,135,22,15,7,4,5,-,16,,0,,,field,West Indies,1,"Eden Gardens, Kolkata",2022,02,India_West Indies_2022-02-18,India,India,West Indies,186
101,RR Pant,SS Cottrell,VR Iyer,4,0,4,139,18,31,16,4,6,-,16,,0,,,field,West Indies,1,"Eden Gardens, Kolkata",2022,02,India_West Indies_2022-02-18,India,India,West Indies,186
102,VR Iyer,JO Holder,RR Pant,2,0,2,141,16,17,8,4,1,-,17,,0,,,field,West Indies,1,"Eden Gardens, Kolkata",2022,02,India_West Indies_2022-02-18,India,India,West Indies,186
103,VR Iyer,JO Holder,RR Pant,0,0,0,141,16,17,9,4,2,-,17,,0,,,field,West Indies,1,"Eden Gardens, Kolkata",2022,02,India_West Indies_2022-02-18,India,India,West Indies,186
104,VR Iyer,JO Holder,RR Pant,0,1,1,142,15,17,10,4,3,legbyes,17,,0,,,field,West Indies,1,"Eden Gardens, Kolkata",2022,02,India_West Indies_2022-02-18,India,India,West Indies,186
105,RR Pant,JO Holder,VR Iyer,1,0,1,143,14,32,17,4,4,-,17,,0,,,field,West Indies,1,"Eden Gardens, Kolkata",2022,02,India_West Indies_2022-02-18,India,India,West Indies,186
106,VR Iyer,JO Holder,RR Pant,6,0,6,149,8,23,11,4,5,-,17,,0,,,field,West Indies,1,"Eden Gardens, Kolkata",2022,02,India_West Indies_2022-02-18,India,India,West Indies,186
107,VR Iyer,JO Holder,RR Pant,0,2,2,151,6,23,12,4,6,wides,17,,0,,,field,West Indies,1,"Eden Gardens, Kolkata",2022,02,India_West Indies_2022-02-18,India,India,West Indies,186
108,RR Pant,JO Holder,VR Iyer,1,0,1,152,5,33,18,4,7,-,17,,0,,,field,West Indies,1,"Eden Gardens, Kolkata",2022,02,India_West Indies_2022-02-18,India,India,West Indies,186
109,RR Pant,R Shepherd,VR Iyer,1,0,1,153,4,34,19,4,1,-,18,,0,,,field,West Indies,1,"Eden Gardens, Kolkata",2022,02,India_West Indies_2022-02-18,India,India,West Indies,186
110,VR Iyer,R Shepherd,RR Pant,3,0,3,156,1,26,13,4,2,-,18,,0,,,field,West Indies,1,"Eden Gardens, Kolkata",2022,02,India_West Indies_2022-02-18,India,India,West Indies,186
111,RR Pant,R Shepherd,VR Iyer,2,0,2,158,-1,36,20,4,3,-,18,,0,,,field,West Indies,1,"Eden Gardens, Kolkata",2022,02,India_West Indies_2022-02-18,India,India,West Indies,186
112,RR Pant,R Shepherd,VR Iyer,0,1,1,159,-2,36,21,4,4,wides,18,,0,,,field,West Indies,1,"Eden Gardens, Kolkata",2022,02,India_West Indies_2022-02-18,India,India,West Indies,186
113,RR Pant,R Shepherd,VR Iyer,1,0,1,160,-3,37,22,4,5,-,18,,0,,,field,West Indies,1,"Eden Gardens, Kolkata",2022,02,India_West Indies_2022-02-18,India,India,West Indies,186
114,VR Iyer,R Shepherd,RR Pant,4,0,4,164,-7,30,14,4,6,-,18,,0,,,field,West Indies,1,"Eden Gardens, Kolkata",2022,02,India_West Indies_2022-02-18,India,India,West Indies,186
115,VR Iyer,R Shepherd,RR Pant,0,0,0,164,-7,30,15,4,7,-,18,,0,,,field,West Indies,1,"Eden Gardens, Kolkata",2022,02,India_West Indies_2022-02-18,India,India,West Indies,186
116,RR Pant,JO Holder,VR Iyer,6,0,6,170,-13,43,23,4,1,-,19,,0,,,field,West Indies,1,"Eden Gardens, Kolkata",2022,02,India_West Indies_2022-02-18,India,India,West Indies,186
117,RR Pant,JO Holder,VR Iyer,1,0,1,171,-14,44,24,4,2,-,19,,0,,,field,West Indies,1,"Eden Gardens, Kolkata",2022,02,India_West Indies_2022-02-18,India,India,West Indies,186
118,VR Iyer,JO Holder,RR Pant,1,0,1,172,-15,31,16,4,3,-,19,,0,,,field,West Indies,1,"Eden Gardens, Kolkata",2022,02,India_West Indies_2022-02-18,India,India,West Indies,186
119,RR Pant,JO Holder,VR Iyer,4,0,4,176,-19,48,25,4,4,-,19,,0,,,field,West Indies,1,"Eden Gardens, Kolkata",2022,02,India_West Indies_2022-02-18,India,India,West Indies,186
120,RR Pant,JO Holder,VR Iyer,0,1,1,177,-20,48,26,4,5,byes,19,,0,,,field,West Indies,1,"Eden Gardens, Kolkata",2022,02,India_West Indies_2022-02-18,India,India,West Indies,186
121,VR Iyer,JO Holder,RR Pant,0,1,1,178,-21,31,17,4,6,wides,19,,0,,,field,West Indies,1,"Eden Gardens, Kolkata",2022,02,India_West Indies_2022-02-18,India,India,West Indies,186
122,VR Iyer,JO Holder,RR Pant,1,0,1,179,-22,32,18,4,7,-,19,,0,,,field,West Indies,1,"Eden Gardens, Kolkata",2022,02,India_West Indies_2022-02-18,India,India,West Indies,186
123,VR Iyer,R Shepherd,RR Pant,1,0,1,180,-23,33,19,4,1,-,20,,0,,,field,West Indies,1,"Eden Gardens, Kolkata",2022,02,India_West Indies_2022-02-18,India,India,West Indies,186
124,RR Pant,R Shepherd,VR Iyer,1,0,1,181,-24,49,27,4,2,-,20,,0,,,field,West Indies,1,"Eden Gardens, Kolkata",2022,02,India_West Indies_2022-02-18,India,India,West Indies,186
125,VR Iyer,R Shepherd,RR Pant,0,1,1,182,-25,33,20,4,3,wides,20,,0,,,field,West Indies,1,"Eden Gardens, Kolkata",2022,02,India_West Indies_2022-02-18,India,India,West Indies,186
126,VR Iyer,R Shepherd,RR Pant,0,0,0,182,-25,33,21,5,4,-,20,,bowled,VR Iyer,,field,West Indies,1,"Eden Gardens, Kolkata",2022,02,India_West Indies_2022-02-18,India,India,West Indies,186
127,HV Patel,R Shepherd,RR Pant,1,0,1,183,-26,1,1,5,5,-,20,,0,,,field,West Indies,1,"Eden Gardens, Kolkata",2022,02,India_West Indies_2022-02-18,India,India,West Indies,186
128,RR Pant,R Shepherd,HV Patel,2,0,2,185,-28,51,28,5,6,-,20,,0,,,field,West Indies,1,"Eden Gardens, Kolkata",2022,02,India_West Indies_2022-02-18,India,India,West Indies,186
129,RR Pant,R Shepherd,HV Patel,1,0,1,186,-29,52,29,5,7,-,20,,0,,,field,West Indies,1,"Eden Gardens, Kolkata",2022,02,India_West Indies_2022-02-18,India,India,West Indies,186
