,batter,bowler,non_striker,review,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,wicket_type,player_out,fielder,over,extra_type,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,final_team_total
46,AK Markram,AU Rashid,RR Hendricks,,1,0,1,63,144,2,3,2,4,0,,,7,-,field,England,1,"The Rose Bowl, Southampton",2022,07,South Africa_England_2022-07-31,South Africa,South Africa,England,191
47,RR Hendricks,AU Rashid,AK Markram,,0,0,0,63,144,28,23,2,5,0,,,7,-,field,England,1,"The Rose Bowl, Southampton",2022,07,South Africa_England_2022-07-31,South Africa,South Africa,England,191
48,RR Hendricks,AU Rashid,AK Markram,,1,0,1,64,143,29,24,2,6,0,,,7,-,field,England,1,"The Rose Bowl, Southampton",2022,07,South Africa_England_2022-07-31,South Africa,South Africa,England,191
49,RR Hendricks,SM Curran,AK Markram,,2,0,2,66,141,31,25,2,1,0,,,8,-,field,England,1,"The Rose Bowl, Southampton",2022,07,South Africa_England_2022-07-31,South Africa,South Africa,England,191
50,RR Hendricks,SM Curran,AK Markram,,1,0,1,67,140,32,26,2,2,0,,,8,-,field,England,1,"The Rose Bowl, Southampton",2022,07,South Africa_England_2022-07-31,South Africa,South Africa,England,191
51,AK Markram,SM Curran,RR Hendricks,,1,0,1,68,139,3,4,2,3,0,,,8,-,field,England,1,"The Rose Bowl, Southampton",2022,07,South Africa_England_2022-07-31,South Africa,South Africa,England,191
52,RR Hendricks,SM Curran,AK Markram,,0,0,0,68,139,32,27,2,4,0,,,8,-,field,England,1,"The Rose Bowl, Southampton",2022,07,South Africa_England_2022-07-31,South Africa,South Africa,England,191
53,RR Hendricks,SM Curran,AK Markram,,0,1,1,69,138,32,28,2,5,0,,,8,wides,field,England,1,"The Rose Bowl, Southampton",2022,07,South Africa_England_2022-07-31,South Africa,South Africa,England,191
54,RR Hendricks,SM Curran,AK Markram,,1,0,1,70,137,33,29,2,6,0,,,8,-,field,England,1,"The Rose Bowl, Southampton",2022,07,South Africa_England_2022-07-31,South Africa,South Africa,England,191
55,AK Markram,SM Curran,RR Hendricks,,2,0,2,72,135,5,5,2,7,0,,,8,-,field,England,1,"The Rose Bowl, Southampton",2022,07,South Africa_England_2022-07-31,South Africa,South Africa,England,191
56,RR Hendricks,AU Rashid,AK Markram,,1,0,1,73,134,34,30,2,1,0,,,9,-,field,England,1,"The Rose Bowl, Southampton",2022,07,South Africa_England_2022-07-31,South Africa,South Africa,England,191
57,AK Markram,AU Rashid,RR Hendricks,,1,0,1,74,133,6,6,2,2,0,,,9,-,field,England,1,"The Rose Bowl, Southampton",2022,07,South Africa_England_2022-07-31,South Africa,South Africa,England,191
58,RR Hendricks,AU Rashid,AK Markram,,1,0,1,75,132,35,31,2,3,0,,,9,-,field,England,1,"The Rose Bowl, Southampton",2022,07,South Africa_England_2022-07-31,South Africa,South Africa,England,191
59,AK Markram,AU Rashid,RR Hendricks,,2,0,2,77,130,8,7,2,4,0,,,9,-,field,England,1,"The Rose Bowl, Southampton",2022,07,South Africa_England_2022-07-31,South Africa,South Africa,England,191
60,AK Markram,AU Rashid,RR Hendricks,,2,0,2,79,128,10,8,2,5,0,,,9,-,field,England,1,"The Rose Bowl, Southampton",2022,07,South Africa_England_2022-07-31,South Africa,South Africa,England,191
61,AK Markram,AU Rashid,RR Hendricks,,1,0,1,80,127,11,9,2,6,0,,,9,-,field,England,1,"The Rose Bowl, Southampton",2022,07,South Africa_England_2022-07-31,South Africa,South Africa,England,191
62,AK Markram,SM Curran,RR Hendricks,,1,0,1,81,126,12,10,2,1,0,,,10,-,field,England,1,"The Rose Bowl, Southampton",2022,07,South Africa_England_2022-07-31,South Africa,South Africa,England,191
63,RR Hendricks,SM Curran,AK Markram,,1,0,1,82,125,36,32,2,2,0,,,10,-,field,England,1,"The Rose Bowl, Southampton",2022,07,South Africa_England_2022-07-31,South Africa,South Africa,England,191
64,AK Markram,SM Curran,RR Hendricks,,1,0,1,83,124,13,11,2,3,0,,,10,-,field,England,1,"The Rose Bowl, Southampton",2022,07,South Africa_England_2022-07-31,South Africa,South Africa,England,191
65,RR Hendricks,SM Curran,AK Markram,,1,0,1,84,123,37,33,2,4,0,,,10,-,field,England,1,"The Rose Bowl, Southampton",2022,07,South Africa_England_2022-07-31,South Africa,South Africa,England,191
66,AK Markram,SM Curran,RR Hendricks,,1,0,1,85,122,14,12,2,5,0,,,10,-,field,England,1,"The Rose Bowl, Southampton",2022,07,South Africa_England_2022-07-31,South Africa,South Africa,England,191
67,RR Hendricks,SM Curran,AK Markram,,0,1,1,86,121,37,34,2,6,0,,,10,wides,field,England,1,"The Rose Bowl, Southampton",2022,07,South Africa_England_2022-07-31,South Africa,South Africa,England,191
68,RR Hendricks,SM Curran,AK Markram,,1,0,1,87,120,38,35,2,7,0,,,10,-,field,England,1,"The Rose Bowl, Southampton",2022,07,South Africa_England_2022-07-31,South Africa,South Africa,England,191
69,RR Hendricks,AU Rashid,AK Markram,,1,0,1,88,119,39,36,2,1,0,,,11,-,field,England,1,"The Rose Bowl, Southampton",2022,07,South Africa_England_2022-07-31,South Africa,South Africa,England,191
