,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,over,wicket_type,player_out,fielder,extra_type,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,team_final
32,Mohammad Hafeez,TG Southee,Mohammad Rizwan,1,0,1,33,120,3,8,2,3,6,0,,,-,bat,Pakistan,1,Seddon Park,2020,12,Pakistan_New Zealand_2020-12-20,New Zealand,Pakistan,New Zealand,163
33,Mohammad Rizwan,TG Southee,Mohammad Hafeez,0,0,0,33,120,22,20,3,4,6,caught,Mohammad Rizwan,TL Seifert,-,bat,Pakistan,1,Seddon Park,2020,12,Pakistan_New Zealand_2020-12-20,New Zealand,Pakistan,New Zealand,163
34,Shadab Khan,TG Southee,Mohammad Hafeez,0,0,0,33,120,0,1,3,5,6,0,,,-,bat,Pakistan,1,Seddon Park,2020,12,Pakistan_New Zealand_2020-12-20,New Zealand,Pakistan,New Zealand,163
35,Shadab Khan,TG Southee,Mohammad Hafeez,0,0,0,33,120,0,2,3,6,6,0,,,-,bat,Pakistan,1,Seddon Park,2020,12,Pakistan_New Zealand_2020-12-20,New Zealand,Pakistan,New Zealand,163
36,Mohammad Hafeez,KA Jamieson,Shadab Khan,0,0,0,33,120,3,9,3,1,7,0,,,-,bat,Pakistan,1,Seddon Park,2020,12,Pakistan_New Zealand_2020-12-20,New Zealand,Pakistan,New Zealand,163
37,Mohammad Hafeez,KA Jamieson,Shadab Khan,4,0,4,37,116,7,10,3,2,7,0,,,-,bat,Pakistan,1,Seddon Park,2020,12,Pakistan_New Zealand_2020-12-20,New Zealand,Pakistan,New Zealand,163
38,Mohammad Hafeez,KA Jamieson,Shadab Khan,4,0,4,41,112,11,11,3,3,7,0,,,-,bat,Pakistan,1,Seddon Park,2020,12,Pakistan_New Zealand_2020-12-20,New Zealand,Pakistan,New Zealand,163
39,Mohammad Hafeez,KA Jamieson,Shadab Khan,1,0,1,42,111,12,12,3,4,7,0,,,-,bat,Pakistan,1,Seddon Park,2020,12,Pakistan_New Zealand_2020-12-20,New Zealand,Pakistan,New Zealand,163
40,Shadab Khan,KA Jamieson,Mohammad Hafeez,4,0,4,46,107,4,3,3,5,7,0,,,-,bat,Pakistan,1,Seddon Park,2020,12,Pakistan_New Zealand_2020-12-20,New Zealand,Pakistan,New Zealand,163
41,Shadab Khan,KA Jamieson,Mohammad Hafeez,0,0,0,46,107,4,4,3,6,7,0,,,-,bat,Pakistan,1,Seddon Park,2020,12,Pakistan_New Zealand_2020-12-20,New Zealand,Pakistan,New Zealand,163
42,Mohammad Hafeez,SC Kuggeleijn,Shadab Khan,0,0,0,46,107,12,13,3,1,8,0,,,-,bat,Pakistan,1,Seddon Park,2020,12,Pakistan_New Zealand_2020-12-20,New Zealand,Pakistan,New Zealand,163
43,Mohammad Hafeez,SC Kuggeleijn,Shadab Khan,4,0,4,50,103,16,14,3,2,8,0,,,-,bat,Pakistan,1,Seddon Park,2020,12,Pakistan_New Zealand_2020-12-20,New Zealand,Pakistan,New Zealand,163
44,Mohammad Hafeez,SC Kuggeleijn,Shadab Khan,4,0,4,54,99,20,15,3,3,8,0,,,-,bat,Pakistan,1,Seddon Park,2020,12,Pakistan_New Zealand_2020-12-20,New Zealand,Pakistan,New Zealand,163
45,Mohammad Hafeez,SC Kuggeleijn,Shadab Khan,1,0,1,55,98,21,16,3,4,8,0,,,-,bat,Pakistan,1,Seddon Park,2020,12,Pakistan_New Zealand_2020-12-20,New Zealand,Pakistan,New Zealand,163
46,Shadab Khan,SC Kuggeleijn,Mohammad Hafeez,0,0,0,55,98,4,5,3,5,8,0,,,-,bat,Pakistan,1,Seddon Park,2020,12,Pakistan_New Zealand_2020-12-20,New Zealand,Pakistan,New Zealand,163
47,Shadab Khan,SC Kuggeleijn,Mohammad Hafeez,0,0,0,55,98,4,6,3,6,8,0,,,-,bat,Pakistan,1,Seddon Park,2020,12,Pakistan_New Zealand_2020-12-20,New Zealand,Pakistan,New Zealand,163
48,Mohammad Hafeez,JDS Neesham,Shadab Khan,1,0,1,56,97,22,17,3,1,9,0,,,-,bat,Pakistan,1,Seddon Park,2020,12,Pakistan_New Zealand_2020-12-20,New Zealand,Pakistan,New Zealand,163
49,Shadab Khan,JDS Neesham,Mohammad Hafeez,0,0,0,56,97,4,7,4,2,9,caught,Shadab Khan,TG Southee,-,bat,Pakistan,1,Seddon Park,2020,12,Pakistan_New Zealand_2020-12-20,New Zealand,Pakistan,New Zealand,163
50,Khushdil Shah,JDS Neesham,Mohammad Hafeez,0,0,0,56,97,0,1,4,3,9,0,,,-,bat,Pakistan,1,Seddon Park,2020,12,Pakistan_New Zealand_2020-12-20,New Zealand,Pakistan,New Zealand,163
51,Khushdil Shah,JDS Neesham,Mohammad Hafeez,1,0,1,57,96,1,2,4,4,9,0,,,-,bat,Pakistan,1,Seddon Park,2020,12,Pakistan_New Zealand_2020-12-20,New Zealand,Pakistan,New Zealand,163
52,Mohammad Hafeez,JDS Neesham,Khushdil Shah,1,0,1,58,95,23,18,4,5,9,0,,,-,bat,Pakistan,1,Seddon Park,2020,12,Pakistan_New Zealand_2020-12-20,New Zealand,Pakistan,New Zealand,163
53,Khushdil Shah,JDS Neesham,Mohammad Hafeez,0,0,0,58,95,1,3,4,6,9,0,,,-,bat,Pakistan,1,Seddon Park,2020,12,Pakistan_New Zealand_2020-12-20,New Zealand,Pakistan,New Zealand,163
54,Mohammad Hafeez,SC Kuggeleijn,Khushdil Shah,4,0,4,62,91,27,19,4,1,10,0,,,-,bat,Pakistan,1,Seddon Park,2020,12,Pakistan_New Zealand_2020-12-20,New Zealand,Pakistan,New Zealand,163
55,Mohammad Hafeez,SC Kuggeleijn,Khushdil Shah,1,0,1,63,90,28,20,4,2,10,0,,,-,bat,Pakistan,1,Seddon Park,2020,12,Pakistan_New Zealand_2020-12-20,New Zealand,Pakistan,New Zealand,163
56,Khushdil Shah,SC Kuggeleijn,Mohammad Hafeez,0,0,0,63,90,1,4,4,3,10,0,,,-,bat,Pakistan,1,Seddon Park,2020,12,Pakistan_New Zealand_2020-12-20,New Zealand,Pakistan,New Zealand,163
57,Khushdil Shah,SC Kuggeleijn,Mohammad Hafeez,0,0,0,63,90,1,5,4,4,10,0,,,-,bat,Pakistan,1,Seddon Park,2020,12,Pakistan_New Zealand_2020-12-20,New Zealand,Pakistan,New Zealand,163
58,Khushdil Shah,SC Kuggeleijn,Mohammad Hafeez,1,0,1,64,89,2,6,4,5,10,0,,,-,bat,Pakistan,1,Seddon Park,2020,12,Pakistan_New Zealand_2020-12-20,New Zealand,Pakistan,New Zealand,163
59,Mohammad Hafeez,SC Kuggeleijn,Khushdil Shah,1,0,1,65,88,29,21,4,6,10,0,,,-,bat,Pakistan,1,Seddon Park,2020,12,Pakistan_New Zealand_2020-12-20,New Zealand,Pakistan,New Zealand,163
60,Mohammad Hafeez,JDS Neesham,Khushdil Shah,1,0,1,66,87,30,22,4,1,11,0,,,-,bat,Pakistan,1,Seddon Park,2020,12,Pakistan_New Zealand_2020-12-20,New Zealand,Pakistan,New Zealand,163
61,Khushdil Shah,JDS Neesham,Mohammad Hafeez,0,1,1,67,86,2,7,4,2,11,0,,,legbyes,bat,Pakistan,1,Seddon Park,2020,12,Pakistan_New Zealand_2020-12-20,New Zealand,Pakistan,New Zealand,163
62,Mohammad Hafeez,JDS Neesham,Khushdil Shah,4,0,4,71,82,34,23,4,3,11,0,,,-,bat,Pakistan,1,Seddon Park,2020,12,Pakistan_New Zealand_2020-12-20,New Zealand,Pakistan,New Zealand,163
63,Mohammad Hafeez,JDS Neesham,Khushdil Shah,0,0,0,71,82,34,24,4,4,11,0,,,-,bat,Pakistan,1,Seddon Park,2020,12,Pakistan_New Zealand_2020-12-20,New Zealand,Pakistan,New Zealand,163
64,Mohammad Hafeez,JDS Neesham,Khushdil Shah,0,0,0,71,82,34,25,4,5,11,0,,,-,bat,Pakistan,1,Seddon Park,2020,12,Pakistan_New Zealand_2020-12-20,New Zealand,Pakistan,New Zealand,163
65,Mohammad Hafeez,JDS Neesham,Khushdil Shah,2,0,2,73,80,36,26,4,6,11,0,,,-,bat,Pakistan,1,Seddon Park,2020,12,Pakistan_New Zealand_2020-12-20,New Zealand,Pakistan,New Zealand,163
