,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,batter_runs,balls_faced,delivery,over,extra_type,review,wicket_type,player_out,fielder,toss_decision,toss_winner,innings,venue,date,winning_team,batting_team,bowling_team
75,Azmatullah Omarzai,A Dananjaya,Rahmanullah Gurbaz,1,0,1,130,8,6,3,13,-,,0,,,bat,Afghanistan,1,Rangiri Dambulla International Stadium,2024-02-21,Afghanistan,Afghanistan,Sri Lanka
76,Rahmanullah Gurbaz,A Dananjaya,Azmatullah Omarzai,2,0,2,132,64,39,4,13,-,,0,,,bat,Afghanistan,1,Rangiri Dambulla International Stadium,2024-02-21,Afghanistan,Afghanistan,Sri Lanka
77,Rahmanullah Gurbaz,A Dananjaya,Azmatullah Omarzai,1,0,1,133,65,40,5,13,-,,0,,,bat,Afghanistan,1,Rangiri Dambulla International Stadium,2024-02-21,Afghanistan,Afghanistan,Sri Lanka
78,Azmatullah Omarzai,A Dananjaya,Rahmanullah Gurbaz,1,0,1,134,9,7,6,13,-,,0,,,bat,Afghanistan,1,Rangiri Dambulla International Stadium,2024-02-21,Afghanistan,Afghanistan,Sri Lanka
79,Azmatullah Omarzai,PWH de Silva,Rahmanullah Gurbaz,1,0,1,135,10,8,1,14,-,,0,,,bat,Afghanistan,1,Rangiri Dambulla International Stadium,2024-02-21,Afghanistan,Afghanistan,Sri Lanka
80,Rahmanullah Gurbaz,PWH de Silva,Azmatullah Omarzai,4,0,4,139,69,41,2,14,-,,0,,,bat,Afghanistan,1,Rangiri Dambulla International Stadium,2024-02-21,Afghanistan,Afghanistan,Sri Lanka
81,Rahmanullah Gurbaz,PWH de Silva,Azmatullah Omarzai,1,0,1,140,70,42,3,14,-,,0,,,bat,Afghanistan,1,Rangiri Dambulla International Stadium,2024-02-21,Afghanistan,Afghanistan,Sri Lanka
82,Azmatullah Omarzai,PWH de Silva,Rahmanullah Gurbaz,1,0,1,141,11,9,4,14,-,,0,,,bat,Afghanistan,1,Rangiri Dambulla International Stadium,2024-02-21,Afghanistan,Afghanistan,Sri Lanka
83,Rahmanullah Gurbaz,PWH de Silva,Azmatullah Omarzai,0,0,0,141,70,43,5,14,-,,caught,Rahmanullah Gurbaz,S Samarawickrama,bat,Afghanistan,1,Rangiri Dambulla International Stadium,2024-02-21,Afghanistan,Afghanistan,Sri Lanka
84,Mohammad Nabi,PWH de Silva,Azmatullah Omarzai,1,0,1,142,1,1,6,14,-,,0,,,bat,Afghanistan,1,Rangiri Dambulla International Stadium,2024-02-21,Afghanistan,Afghanistan,Sri Lanka
85,Mohammad Nabi,M Pathirana,Azmatullah Omarzai,0,1,1,143,1,2,1,15,legbyes,,0,,,bat,Afghanistan,1,Rangiri Dambulla International Stadium,2024-02-21,Afghanistan,Afghanistan,Sri Lanka
86,Azmatullah Omarzai,M Pathirana,Mohammad Nabi,0,0,0,143,11,10,2,15,-,,0,,,bat,Afghanistan,1,Rangiri Dambulla International Stadium,2024-02-21,Afghanistan,Afghanistan,Sri Lanka
87,Azmatullah Omarzai,M Pathirana,Mohammad Nabi,0,5,5,148,11,11,3,15,wides,,0,,,bat,Afghanistan,1,Rangiri Dambulla International Stadium,2024-02-21,Afghanistan,Afghanistan,Sri Lanka
88,Azmatullah Omarzai,M Pathirana,Mohammad Nabi,1,0,1,149,12,12,4,15,-,,0,,,bat,Afghanistan,1,Rangiri Dambulla International Stadium,2024-02-21,Afghanistan,Afghanistan,Sri Lanka
89,Mohammad Nabi,M Pathirana,Azmatullah Omarzai,1,0,1,150,2,3,5,15,-,,0,,,bat,Afghanistan,1,Rangiri Dambulla International Stadium,2024-02-21,Afghanistan,Afghanistan,Sri Lanka
