,batter,bowler,non_striker,extras,runs_by_bat,extra_runs,total,team_total,batter_runs,balls_faced,delivery,extra_type,over,review,wicket_type,player_out,fielder,toss_decision,toss_winner,innings,venue,date,batting_team,bowling_team
44,MS Chapman,Shadab Khan,TWM Latham,,4,0,4,38,7,10,1,-,8,,0,,,bat,Pakistan,2,"Gaddafi Stadium, Lahore",2023-04-14,New Zealand,Pakistan
45,MS Chapman,Shadab Khan,TWM Latham,,4,0,4,42,11,11,2,-,8,,0,,,bat,Pakistan,2,"Gaddafi Stadium, Lahore",2023-04-14,New Zealand,Pakistan
46,MS Chapman,Shadab Khan,TWM Latham,,0,0,0,42,11,12,3,-,8,,0,,,bat,Pakistan,2,"Gaddafi Stadium, Lahore",2023-04-14,New Zealand,Pakistan
47,MS Chapman,Shadab Khan,TWM Latham,,0,0,0,42,11,13,4,-,8,,0,,,bat,Pakistan,2,"Gaddafi Stadium, Lahore",2023-04-14,New Zealand,Pakistan
48,MS Chapman,Shadab Khan,TWM Latham,,0,0,0,42,11,14,5,-,8,,0,,,bat,Pakistan,2,"Gaddafi Stadium, Lahore",2023-04-14,New Zealand,Pakistan
49,MS Chapman,Shadab Khan,TWM Latham,,1,0,1,43,12,15,6,-,8,,0,,,bat,Pakistan,2,"Gaddafi Stadium, Lahore",2023-04-14,New Zealand,Pakistan
50,MS Chapman,Iftikhar Ahmed,TWM Latham,,0,0,0,43,12,16,1,-,9,,0,,,bat,Pakistan,2,"Gaddafi Stadium, Lahore",2023-04-14,New Zealand,Pakistan
51,MS Chapman,Iftikhar Ahmed,TWM Latham,,0,0,0,43,12,17,2,-,9,,0,,,bat,Pakistan,2,"Gaddafi Stadium, Lahore",2023-04-14,New Zealand,Pakistan
52,MS Chapman,Iftikhar Ahmed,TWM Latham,,1,0,1,44,13,18,3,-,9,,0,,,bat,Pakistan,2,"Gaddafi Stadium, Lahore",2023-04-14,New Zealand,Pakistan
53,TWM Latham,Iftikhar Ahmed,MS Chapman,,1,0,1,45,16,18,4,-,9,,0,,,bat,Pakistan,2,"Gaddafi Stadium, Lahore",2023-04-14,New Zealand,Pakistan
54,MS Chapman,Iftikhar Ahmed,TWM Latham,,2,0,2,47,15,19,5,-,9,,0,,,bat,Pakistan,2,"Gaddafi Stadium, Lahore",2023-04-14,New Zealand,Pakistan
55,MS Chapman,Iftikhar Ahmed,TWM Latham,,2,0,2,49,17,20,6,-,9,,0,,,bat,Pakistan,2,"Gaddafi Stadium, Lahore",2023-04-14,New Zealand,Pakistan
56,TWM Latham,Shadab Khan,MS Chapman,,0,0,0,49,16,19,1,-,10,,0,,,bat,Pakistan,2,"Gaddafi Stadium, Lahore",2023-04-14,New Zealand,Pakistan
57,TWM Latham,Shadab Khan,MS Chapman,,0,0,0,49,16,20,2,-,10,,0,,,bat,Pakistan,2,"Gaddafi Stadium, Lahore",2023-04-14,New Zealand,Pakistan
58,TWM Latham,Shadab Khan,MS Chapman,,1,0,1,50,17,21,3,-,10,,0,,,bat,Pakistan,2,"Gaddafi Stadium, Lahore",2023-04-14,New Zealand,Pakistan
59,MS Chapman,Shadab Khan,TWM Latham,,2,0,2,52,19,21,4,-,10,,0,,,bat,Pakistan,2,"Gaddafi Stadium, Lahore",2023-04-14,New Zealand,Pakistan
60,MS Chapman,Shadab Khan,TWM Latham,,1,0,1,53,20,22,5,-,10,,0,,,bat,Pakistan,2,"Gaddafi Stadium, Lahore",2023-04-14,New Zealand,Pakistan
61,TWM Latham,Shadab Khan,MS Chapman,,1,0,1,54,18,22,6,-,10,,0,,,bat,Pakistan,2,"Gaddafi Stadium, Lahore",2023-04-14,New Zealand,Pakistan
62,TWM Latham,Haris Rauf,MS Chapman,,0,0,0,54,18,23,1,-,11,,0,,,bat,Pakistan,2,"Gaddafi Stadium, Lahore",2023-04-14,New Zealand,Pakistan
63,TWM Latham,Haris Rauf,MS Chapman,,2,0,2,56,20,24,2,-,11,,0,,,bat,Pakistan,2,"Gaddafi Stadium, Lahore",2023-04-14,New Zealand,Pakistan
64,TWM Latham,Haris Rauf,MS Chapman,,0,0,0,56,20,25,3,-,11,"{'by': 'New Zealand', 'umpire': 'Faisal Afridi', 'batter': 'TWM Latham', 'decision': 'struck down', 'type': 'wicket'}",lbw,TWM Latham,,bat,Pakistan,2,"Gaddafi Stadium, Lahore",2023-04-14,New Zealand,Pakistan
65,JDS Neesham,Haris Rauf,MS Chapman,,0,0,0,56,0,1,4,-,11,,0,,,bat,Pakistan,2,"Gaddafi Stadium, Lahore",2023-04-14,New Zealand,Pakistan
66,JDS Neesham,Haris Rauf,MS Chapman,,0,0,0,56,0,2,5,-,11,,0,,,bat,Pakistan,2,"Gaddafi Stadium, Lahore",2023-04-14,New Zealand,Pakistan
67,JDS Neesham,Haris Rauf,MS Chapman,{'wides': 1},0,1,1,57,0,3,6,wides,11,,0,,,bat,Pakistan,2,"Gaddafi Stadium, Lahore",2023-04-14,New Zealand,Pakistan
68,JDS Neesham,Haris Rauf,MS Chapman,,4,0,4,61,4,4,7,-,11,,0,,,bat,Pakistan,2,"Gaddafi Stadium, Lahore",2023-04-14,New Zealand,Pakistan
69,MS Chapman,Shadab Khan,JDS Neesham,,4,0,4,65,24,23,1,-,12,,0,,,bat,Pakistan,2,"Gaddafi Stadium, Lahore",2023-04-14,New Zealand,Pakistan
70,MS Chapman,Shadab Khan,JDS Neesham,,4,0,4,69,28,24,2,-,12,,0,,,bat,Pakistan,2,"Gaddafi Stadium, Lahore",2023-04-14,New Zealand,Pakistan
71,MS Chapman,Shadab Khan,JDS Neesham,,0,0,0,69,28,25,3,-,12,,0,,,bat,Pakistan,2,"Gaddafi Stadium, Lahore",2023-04-14,New Zealand,Pakistan
72,MS Chapman,Shadab Khan,JDS Neesham,,6,0,6,75,34,26,4,-,12,,0,,,bat,Pakistan,2,"Gaddafi Stadium, Lahore",2023-04-14,New Zealand,Pakistan
73,MS Chapman,Shadab Khan,JDS Neesham,,0,0,0,75,34,27,5,-,12,,caught,MS Chapman,Zaman Khan,bat,Pakistan,2,"Gaddafi Stadium, Lahore",2023-04-14,New Zealand,Pakistan
74,R Ravindra,Shadab Khan,JDS Neesham,,1,0,1,76,1,1,6,-,12,,0,,,bat,Pakistan,2,"Gaddafi Stadium, Lahore",2023-04-14,New Zealand,Pakistan
75,R Ravindra,Faheem Ashraf,JDS Neesham,,0,0,0,76,1,2,1,-,13,,0,,,bat,Pakistan,2,"Gaddafi Stadium, Lahore",2023-04-14,New Zealand,Pakistan
76,R Ravindra,Faheem Ashraf,JDS Neesham,,0,0,0,76,1,3,2,-,13,,0,,,bat,Pakistan,2,"Gaddafi Stadium, Lahore",2023-04-14,New Zealand,Pakistan
77,R Ravindra,Faheem Ashraf,JDS Neesham,,1,0,1,77,2,4,3,-,13,,0,,,bat,Pakistan,2,"Gaddafi Stadium, Lahore",2023-04-14,New Zealand,Pakistan
78,JDS Neesham,Faheem Ashraf,R Ravindra,,4,0,4,81,8,5,4,-,13,,0,,,bat,Pakistan,2,"Gaddafi Stadium, Lahore",2023-04-14,New Zealand,Pakistan
79,JDS Neesham,Faheem Ashraf,R Ravindra,,0,0,0,81,8,6,5,-,13,,0,,,bat,Pakistan,2,"Gaddafi Stadium, Lahore",2023-04-14,New Zealand,Pakistan
80,JDS Neesham,Faheem Ashraf,R Ravindra,,1,0,1,82,9,7,6,-,13,,0,,,bat,Pakistan,2,"Gaddafi Stadium, Lahore",2023-04-14,New Zealand,Pakistan
81,JDS Neesham,Haris Rauf,R Ravindra,,6,0,6,88,15,8,1,-,14,,0,,,bat,Pakistan,2,"Gaddafi Stadium, Lahore",2023-04-14,New Zealand,Pakistan
82,JDS Neesham,Haris Rauf,R Ravindra,,0,0,0,88,15,9,2,-,14,,caught,JDS Neesham,Shan Masood,bat,Pakistan,2,"Gaddafi Stadium, Lahore",2023-04-14,New Zealand,Pakistan
83,AF Milne,Haris Rauf,R Ravindra,,0,0,0,88,0,1,3,-,14,,0,,,bat,Pakistan,2,"Gaddafi Stadium, Lahore",2023-04-14,New Zealand,Pakistan
84,AF Milne,Haris Rauf,R Ravindra,,1,0,1,89,1,2,4,-,14,,0,,,bat,Pakistan,2,"Gaddafi Stadium, Lahore",2023-04-14,New Zealand,Pakistan
85,R Ravindra,Haris Rauf,AF Milne,,0,0,0,89,2,5,5,-,14,,bowled,R Ravindra,,bat,Pakistan,2,"Gaddafi Stadium, Lahore",2023-04-14,New Zealand,Pakistan
86,IS Sodhi,Haris Rauf,AF Milne,,0,0,0,89,0,1,6,-,14,,0,,,bat,Pakistan,2,"Gaddafi Stadium, Lahore",2023-04-14,New Zealand,Pakistan
87,AF Milne,Imad Wasim,IS Sodhi,,0,0,0,89,1,3,1,-,15,,0,,,bat,Pakistan,2,"Gaddafi Stadium, Lahore",2023-04-14,New Zealand,Pakistan
88,AF Milne,Imad Wasim,IS Sodhi,,2,0,2,91,3,4,2,-,15,,0,,,bat,Pakistan,2,"Gaddafi Stadium, Lahore",2023-04-14,New Zealand,Pakistan
89,AF Milne,Imad Wasim,IS Sodhi,,0,0,0,91,3,5,3,-,15,,caught,AF Milne,Iftikhar Ahmed,bat,Pakistan,2,"Gaddafi Stadium, Lahore",2023-04-14,New Zealand,Pakistan
90,MJ Henry,Imad Wasim,IS Sodhi,,0,0,0,91,0,1,4,-,15,"{'by': 'New Zealand', 'umpire': 'Faisal Afridi', 'batter': 'MJ Henry', 'decision': 'struck down', 'type': 'wicket'}",caught,MJ Henry,Mohammad Rizwan,bat,Pakistan,2,"Gaddafi Stadium, Lahore",2023-04-14,New Zealand,Pakistan
91,BG Lister,Imad Wasim,IS Sodhi,,0,0,0,91,0,1,5,-,15,,0,,,bat,Pakistan,2,"Gaddafi Stadium, Lahore",2023-04-14,New Zealand,Pakistan
92,BG Lister,Imad Wasim,IS Sodhi,,0,0,0,91,0,2,6,-,15,,0,,,bat,Pakistan,2,"Gaddafi Stadium, Lahore",2023-04-14,New Zealand,Pakistan
93,IS Sodhi,Haris Rauf,BG Lister,,2,0,2,93,2,2,1,-,16,,0,,,bat,Pakistan,2,"Gaddafi Stadium, Lahore",2023-04-14,New Zealand,Pakistan
94,IS Sodhi,Haris Rauf,BG Lister,,1,0,1,94,3,3,2,-,16,,0,,,bat,Pakistan,2,"Gaddafi Stadium, Lahore",2023-04-14,New Zealand,Pakistan
95,BG Lister,Haris Rauf,IS Sodhi,,0,0,0,94,0,3,3,-,16,,bowled,BG Lister,,bat,Pakistan,2,"Gaddafi Stadium, Lahore",2023-04-14,New Zealand,Pakistan
