,batter,bowler,non_striker,review,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,extra_type,wicket_type,player_out,fielder,over,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,final_team_total
13,Mohammad Hafeez,Shafiul Islam,Ahsan Ali,,0,0,0,15,126,13,10,1,1,-,0,,,2,bat,Bangladesh,2,Gaddafi Stadium,2020,01,Pakistan_Bangladesh_2020-01-24,Pakistan,Pakistan,Bangladesh,142
14,Mohammad Hafeez,Shafiul Islam,Ahsan Ali,,1,0,1,16,125,14,11,1,2,-,0,,,2,bat,Bangladesh,2,Gaddafi Stadium,2020,01,Pakistan_Bangladesh_2020-01-24,Pakistan,Pakistan,Bangladesh,142
15,Ahsan Ali,Shafiul Islam,Mohammad Hafeez,,4,0,4,20,121,4,3,1,3,-,0,,,2,bat,Bangladesh,2,Gaddafi Stadium,2020,01,Pakistan_Bangladesh_2020-01-24,Pakistan,Pakistan,Bangladesh,142
16,Ahsan Ali,Shafiul Islam,Mohammad Hafeez,,0,0,0,20,121,4,4,1,4,-,0,,,2,bat,Bangladesh,2,Gaddafi Stadium,2020,01,Pakistan_Bangladesh_2020-01-24,Pakistan,Pakistan,Bangladesh,142
17,Ahsan Ali,Shafiul Islam,Mohammad Hafeez,,1,0,1,21,120,5,5,1,5,-,0,,,2,bat,Bangladesh,2,Gaddafi Stadium,2020,01,Pakistan_Bangladesh_2020-01-24,Pakistan,Pakistan,Bangladesh,142
18,Mohammad Hafeez,Shafiul Islam,Ahsan Ali,,0,0,0,21,120,14,12,1,6,-,0,,,2,bat,Bangladesh,2,Gaddafi Stadium,2020,01,Pakistan_Bangladesh_2020-01-24,Pakistan,Pakistan,Bangladesh,142
19,Ahsan Ali,Al-Amin Hossain,Mohammad Hafeez,,1,0,1,22,119,6,6,1,1,-,0,,,3,bat,Bangladesh,2,Gaddafi Stadium,2020,01,Pakistan_Bangladesh_2020-01-24,Pakistan,Pakistan,Bangladesh,142
20,Mohammad Hafeez,Al-Amin Hossain,Ahsan Ali,,0,0,0,22,119,14,13,1,2,-,0,,,3,bat,Bangladesh,2,Gaddafi Stadium,2020,01,Pakistan_Bangladesh_2020-01-24,Pakistan,Pakistan,Bangladesh,142
21,Mohammad Hafeez,Al-Amin Hossain,Ahsan Ali,,0,0,0,22,119,14,14,1,3,-,0,,,3,bat,Bangladesh,2,Gaddafi Stadium,2020,01,Pakistan_Bangladesh_2020-01-24,Pakistan,Pakistan,Bangladesh,142
22,Mohammad Hafeez,Al-Amin Hossain,Ahsan Ali,,1,0,1,23,118,15,15,1,4,-,0,,,3,bat,Bangladesh,2,Gaddafi Stadium,2020,01,Pakistan_Bangladesh_2020-01-24,Pakistan,Pakistan,Bangladesh,142
23,Ahsan Ali,Al-Amin Hossain,Mohammad Hafeez,,0,0,0,23,118,6,7,1,5,-,0,,,3,bat,Bangladesh,2,Gaddafi Stadium,2020,01,Pakistan_Bangladesh_2020-01-24,Pakistan,Pakistan,Bangladesh,142
24,Ahsan Ali,Al-Amin Hossain,Mohammad Hafeez,,1,0,1,24,117,7,8,1,6,-,0,,,3,bat,Bangladesh,2,Gaddafi Stadium,2020,01,Pakistan_Bangladesh_2020-01-24,Pakistan,Pakistan,Bangladesh,142
25,Ahsan Ali,Mustafizur Rahman,Mohammad Hafeez,,4,0,4,28,113,11,9,1,1,-,0,,,4,bat,Bangladesh,2,Gaddafi Stadium,2020,01,Pakistan_Bangladesh_2020-01-24,Pakistan,Pakistan,Bangladesh,142
26,Ahsan Ali,Mustafizur Rahman,Mohammad Hafeez,,4,0,4,32,109,15,10,1,2,-,0,,,4,bat,Bangladesh,2,Gaddafi Stadium,2020,01,Pakistan_Bangladesh_2020-01-24,Pakistan,Pakistan,Bangladesh,142
27,Ahsan Ali,Mustafizur Rahman,Mohammad Hafeez,,0,0,0,32,109,15,11,1,3,-,0,,,4,bat,Bangladesh,2,Gaddafi Stadium,2020,01,Pakistan_Bangladesh_2020-01-24,Pakistan,Pakistan,Bangladesh,142
28,Ahsan Ali,Mustafizur Rahman,Mohammad Hafeez,,1,0,1,33,108,16,12,1,4,-,0,,,4,bat,Bangladesh,2,Gaddafi Stadium,2020,01,Pakistan_Bangladesh_2020-01-24,Pakistan,Pakistan,Bangladesh,142
29,Mohammad Hafeez,Mustafizur Rahman,Ahsan Ali,,2,0,2,35,106,17,16,1,5,-,0,,,4,bat,Bangladesh,2,Gaddafi Stadium,2020,01,Pakistan_Bangladesh_2020-01-24,Pakistan,Pakistan,Bangladesh,142
30,Mohammad Hafeez,Mustafizur Rahman,Ahsan Ali,,0,0,0,35,106,17,17,2,6,-,caught,Mohammad Hafeez,Aminul Islam,4,bat,Bangladesh,2,Gaddafi Stadium,2020,01,Pakistan_Bangladesh_2020-01-24,Pakistan,Pakistan,Bangladesh,142
31,Ahsan Ali,Al-Amin Hossain,Shoaib Malik,,0,0,0,35,106,16,13,2,1,-,0,,,5,bat,Bangladesh,2,Gaddafi Stadium,2020,01,Pakistan_Bangladesh_2020-01-24,Pakistan,Pakistan,Bangladesh,142
32,Ahsan Ali,Al-Amin Hossain,Shoaib Malik,,0,0,0,35,106,16,14,2,2,-,0,,,5,bat,Bangladesh,2,Gaddafi Stadium,2020,01,Pakistan_Bangladesh_2020-01-24,Pakistan,Pakistan,Bangladesh,142
33,Ahsan Ali,Al-Amin Hossain,Shoaib Malik,,1,0,1,36,105,17,15,2,3,-,0,,,5,bat,Bangladesh,2,Gaddafi Stadium,2020,01,Pakistan_Bangladesh_2020-01-24,Pakistan,Pakistan,Bangladesh,142
34,Shoaib Malik,Al-Amin Hossain,Ahsan Ali,"{'by': 'Bangladesh', 'umpire': 'Shozab Raza', 'batter': 'Shoaib Malik', 'decision': 'struck down'}",0,0,0,36,105,0,1,2,4,-,0,,,5,bat,Bangladesh,2,Gaddafi Stadium,2020,01,Pakistan_Bangladesh_2020-01-24,Pakistan,Pakistan,Bangladesh,142
35,Shoaib Malik,Al-Amin Hossain,Ahsan Ali,,0,0,0,36,105,0,2,2,5,-,0,,,5,bat,Bangladesh,2,Gaddafi Stadium,2020,01,Pakistan_Bangladesh_2020-01-24,Pakistan,Pakistan,Bangladesh,142
36,Shoaib Malik,Al-Amin Hossain,Ahsan Ali,,0,0,0,36,105,0,3,2,6,-,0,,,5,bat,Bangladesh,2,Gaddafi Stadium,2020,01,Pakistan_Bangladesh_2020-01-24,Pakistan,Pakistan,Bangladesh,142
37,Ahsan Ali,Soumya Sarkar,Shoaib Malik,,1,0,1,37,104,18,16,2,1,-,0,,,6,bat,Bangladesh,2,Gaddafi Stadium,2020,01,Pakistan_Bangladesh_2020-01-24,Pakistan,Pakistan,Bangladesh,142
38,Shoaib Malik,Soumya Sarkar,Ahsan Ali,,4,0,4,41,100,4,4,2,2,-,0,,,6,bat,Bangladesh,2,Gaddafi Stadium,2020,01,Pakistan_Bangladesh_2020-01-24,Pakistan,Pakistan,Bangladesh,142
39,Shoaib Malik,Soumya Sarkar,Ahsan Ali,,0,0,0,41,100,4,5,2,3,-,0,,,6,bat,Bangladesh,2,Gaddafi Stadium,2020,01,Pakistan_Bangladesh_2020-01-24,Pakistan,Pakistan,Bangladesh,142
40,Shoaib Malik,Soumya Sarkar,Ahsan Ali,,4,0,4,45,96,8,6,2,4,-,0,,,6,bat,Bangladesh,2,Gaddafi Stadium,2020,01,Pakistan_Bangladesh_2020-01-24,Pakistan,Pakistan,Bangladesh,142
41,Shoaib Malik,Soumya Sarkar,Ahsan Ali,,1,0,1,46,95,9,7,2,5,-,0,,,6,bat,Bangladesh,2,Gaddafi Stadium,2020,01,Pakistan_Bangladesh_2020-01-24,Pakistan,Pakistan,Bangladesh,142
42,Ahsan Ali,Soumya Sarkar,Shoaib Malik,,1,0,1,47,94,19,17,2,6,-,0,,,6,bat,Bangladesh,2,Gaddafi Stadium,2020,01,Pakistan_Bangladesh_2020-01-24,Pakistan,Pakistan,Bangladesh,142
43,Ahsan Ali,Aminul Islam,Shoaib Malik,,1,0,1,48,93,20,18,2,1,-,0,,,7,bat,Bangladesh,2,Gaddafi Stadium,2020,01,Pakistan_Bangladesh_2020-01-24,Pakistan,Pakistan,Bangladesh,142
44,Shoaib Malik,Aminul Islam,Ahsan Ali,,1,0,1,49,92,10,8,2,2,-,0,,,7,bat,Bangladesh,2,Gaddafi Stadium,2020,01,Pakistan_Bangladesh_2020-01-24,Pakistan,Pakistan,Bangladesh,142
45,Ahsan Ali,Aminul Islam,Shoaib Malik,,1,0,1,50,91,21,19,2,3,-,0,,,7,bat,Bangladesh,2,Gaddafi Stadium,2020,01,Pakistan_Bangladesh_2020-01-24,Pakistan,Pakistan,Bangladesh,142
46,Shoaib Malik,Aminul Islam,Ahsan Ali,,1,0,1,51,90,11,9,2,4,-,0,,,7,bat,Bangladesh,2,Gaddafi Stadium,2020,01,Pakistan_Bangladesh_2020-01-24,Pakistan,Pakistan,Bangladesh,142
47,Ahsan Ali,Aminul Islam,Shoaib Malik,,1,0,1,52,89,22,20,2,5,-,0,,,7,bat,Bangladesh,2,Gaddafi Stadium,2020,01,Pakistan_Bangladesh_2020-01-24,Pakistan,Pakistan,Bangladesh,142
48,Shoaib Malik,Aminul Islam,Ahsan Ali,,1,0,1,53,88,12,10,2,6,-,0,,,7,bat,Bangladesh,2,Gaddafi Stadium,2020,01,Pakistan_Bangladesh_2020-01-24,Pakistan,Pakistan,Bangladesh,142
49,Shoaib Malik,Afif Hossain,Ahsan Ali,,1,0,1,54,87,13,11,2,1,-,0,,,8,bat,Bangladesh,2,Gaddafi Stadium,2020,01,Pakistan_Bangladesh_2020-01-24,Pakistan,Pakistan,Bangladesh,142
50,Ahsan Ali,Afif Hossain,Shoaib Malik,,1,0,1,55,86,23,21,2,2,-,0,,,8,bat,Bangladesh,2,Gaddafi Stadium,2020,01,Pakistan_Bangladesh_2020-01-24,Pakistan,Pakistan,Bangladesh,142
51,Shoaib Malik,Afif Hossain,Ahsan Ali,,1,0,1,56,85,14,12,2,3,-,0,,,8,bat,Bangladesh,2,Gaddafi Stadium,2020,01,Pakistan_Bangladesh_2020-01-24,Pakistan,Pakistan,Bangladesh,142
52,Ahsan Ali,Afif Hossain,Shoaib Malik,,1,0,1,57,84,24,22,2,4,-,0,,,8,bat,Bangladesh,2,Gaddafi Stadium,2020,01,Pakistan_Bangladesh_2020-01-24,Pakistan,Pakistan,Bangladesh,142
53,Shoaib Malik,Afif Hossain,Ahsan Ali,,1,0,1,58,83,15,13,2,5,-,0,,,8,bat,Bangladesh,2,Gaddafi Stadium,2020,01,Pakistan_Bangladesh_2020-01-24,Pakistan,Pakistan,Bangladesh,142
54,Ahsan Ali,Afif Hossain,Shoaib Malik,,1,0,1,59,82,25,23,2,6,-,0,,,8,bat,Bangladesh,2,Gaddafi Stadium,2020,01,Pakistan_Bangladesh_2020-01-24,Pakistan,Pakistan,Bangladesh,142
55,Ahsan Ali,Aminul Islam,Shoaib Malik,,1,0,1,60,81,26,24,2,1,-,0,,,9,bat,Bangladesh,2,Gaddafi Stadium,2020,01,Pakistan_Bangladesh_2020-01-24,Pakistan,Pakistan,Bangladesh,142
56,Shoaib Malik,Aminul Islam,Ahsan Ali,,1,0,1,61,80,16,14,2,2,-,0,,,9,bat,Bangladesh,2,Gaddafi Stadium,2020,01,Pakistan_Bangladesh_2020-01-24,Pakistan,Pakistan,Bangladesh,142
57,Ahsan Ali,Aminul Islam,Shoaib Malik,,4,0,4,65,76,30,25,2,3,-,0,,,9,bat,Bangladesh,2,Gaddafi Stadium,2020,01,Pakistan_Bangladesh_2020-01-24,Pakistan,Pakistan,Bangladesh,142
58,Ahsan Ali,Aminul Islam,Shoaib Malik,,1,0,1,66,75,31,26,2,4,-,0,,,9,bat,Bangladesh,2,Gaddafi Stadium,2020,01,Pakistan_Bangladesh_2020-01-24,Pakistan,Pakistan,Bangladesh,142
59,Shoaib Malik,Aminul Islam,Ahsan Ali,,1,0,1,67,74,17,15,2,5,-,0,,,9,bat,Bangladesh,2,Gaddafi Stadium,2020,01,Pakistan_Bangladesh_2020-01-24,Pakistan,Pakistan,Bangladesh,142
60,Ahsan Ali,Aminul Islam,Shoaib Malik,,1,0,1,68,73,32,27,2,6,-,0,,,9,bat,Bangladesh,2,Gaddafi Stadium,2020,01,Pakistan_Bangladesh_2020-01-24,Pakistan,Pakistan,Bangladesh,142
61,Ahsan Ali,Soumya Sarkar,Shoaib Malik,,1,0,1,69,72,33,28,2,1,-,0,,,10,bat,Bangladesh,2,Gaddafi Stadium,2020,01,Pakistan_Bangladesh_2020-01-24,Pakistan,Pakistan,Bangladesh,142
62,Shoaib Malik,Soumya Sarkar,Ahsan Ali,,1,0,1,70,71,18,16,2,2,-,0,,,10,bat,Bangladesh,2,Gaddafi Stadium,2020,01,Pakistan_Bangladesh_2020-01-24,Pakistan,Pakistan,Bangladesh,142
63,Ahsan Ali,Soumya Sarkar,Shoaib Malik,,1,0,1,71,70,34,29,2,3,-,0,,,10,bat,Bangladesh,2,Gaddafi Stadium,2020,01,Pakistan_Bangladesh_2020-01-24,Pakistan,Pakistan,Bangladesh,142
64,Shoaib Malik,Soumya Sarkar,Ahsan Ali,,1,0,1,72,69,19,17,2,4,-,0,,,10,bat,Bangladesh,2,Gaddafi Stadium,2020,01,Pakistan_Bangladesh_2020-01-24,Pakistan,Pakistan,Bangladesh,142
65,Ahsan Ali,Soumya Sarkar,Shoaib Malik,,1,0,1,73,68,35,30,2,5,-,0,,,10,bat,Bangladesh,2,Gaddafi Stadium,2020,01,Pakistan_Bangladesh_2020-01-24,Pakistan,Pakistan,Bangladesh,142
66,Shoaib Malik,Soumya Sarkar,Ahsan Ali,,1,0,1,74,67,20,18,2,6,-,0,,,10,bat,Bangladesh,2,Gaddafi Stadium,2020,01,Pakistan_Bangladesh_2020-01-24,Pakistan,Pakistan,Bangladesh,142
67,Shoaib Malik,Aminul Islam,Ahsan Ali,,1,0,1,75,66,21,19,2,1,-,0,,,11,bat,Bangladesh,2,Gaddafi Stadium,2020,01,Pakistan_Bangladesh_2020-01-24,Pakistan,Pakistan,Bangladesh,142
68,Ahsan Ali,Aminul Islam,Shoaib Malik,,1,0,1,76,65,36,31,2,2,-,0,,,11,bat,Bangladesh,2,Gaddafi Stadium,2020,01,Pakistan_Bangladesh_2020-01-24,Pakistan,Pakistan,Bangladesh,142
69,Shoaib Malik,Aminul Islam,Ahsan Ali,,4,0,4,80,61,25,20,2,3,-,0,,,11,bat,Bangladesh,2,Gaddafi Stadium,2020,01,Pakistan_Bangladesh_2020-01-24,Pakistan,Pakistan,Bangladesh,142
70,Shoaib Malik,Aminul Islam,Ahsan Ali,,1,0,1,81,60,26,21,2,4,-,0,,,11,bat,Bangladesh,2,Gaddafi Stadium,2020,01,Pakistan_Bangladesh_2020-01-24,Pakistan,Pakistan,Bangladesh,142
71,Ahsan Ali,Aminul Islam,Shoaib Malik,,0,0,0,81,60,36,32,3,5,-,caught,Ahsan Ali,Nazmul Hossain Shanto,11,bat,Bangladesh,2,Gaddafi Stadium,2020,01,Pakistan_Bangladesh_2020-01-24,Pakistan,Pakistan,Bangladesh,142
72,Shoaib Malik,Aminul Islam,Iftikhar Ahmed,,1,0,1,82,59,27,22,3,6,-,0,,,11,bat,Bangladesh,2,Gaddafi Stadium,2020,01,Pakistan_Bangladesh_2020-01-24,Pakistan,Pakistan,Bangladesh,142
73,Shoaib Malik,Mustafizur Rahman,Iftikhar Ahmed,,1,0,1,83,58,28,23,3,1,-,0,,,12,bat,Bangladesh,2,Gaddafi Stadium,2020,01,Pakistan_Bangladesh_2020-01-24,Pakistan,Pakistan,Bangladesh,142
74,Iftikhar Ahmed,Mustafizur Rahman,Shoaib Malik,,4,0,4,87,54,4,1,3,2,-,0,,,12,bat,Bangladesh,2,Gaddafi Stadium,2020,01,Pakistan_Bangladesh_2020-01-24,Pakistan,Pakistan,Bangladesh,142
75,Iftikhar Ahmed,Mustafizur Rahman,Shoaib Malik,,1,0,1,88,53,5,2,3,3,-,0,,,12,bat,Bangladesh,2,Gaddafi Stadium,2020,01,Pakistan_Bangladesh_2020-01-24,Pakistan,Pakistan,Bangladesh,142
76,Shoaib Malik,Mustafizur Rahman,Iftikhar Ahmed,,2,0,2,90,51,30,24,3,4,-,0,,,12,bat,Bangladesh,2,Gaddafi Stadium,2020,01,Pakistan_Bangladesh_2020-01-24,Pakistan,Pakistan,Bangladesh,142
77,Shoaib Malik,Mustafizur Rahman,Iftikhar Ahmed,,0,1,1,91,50,30,25,3,5,wides,0,,,12,bat,Bangladesh,2,Gaddafi Stadium,2020,01,Pakistan_Bangladesh_2020-01-24,Pakistan,Pakistan,Bangladesh,142
78,Shoaib Malik,Mustafizur Rahman,Iftikhar Ahmed,,0,0,0,91,50,30,26,3,6,-,0,,,12,bat,Bangladesh,2,Gaddafi Stadium,2020,01,Pakistan_Bangladesh_2020-01-24,Pakistan,Pakistan,Bangladesh,142
79,Shoaib Malik,Mustafizur Rahman,Iftikhar Ahmed,,1,0,1,92,49,31,27,3,7,-,0,,,12,bat,Bangladesh,2,Gaddafi Stadium,2020,01,Pakistan_Bangladesh_2020-01-24,Pakistan,Pakistan,Bangladesh,142
80,Shoaib Malik,Aminul Islam,Iftikhar Ahmed,,1,0,1,93,48,32,28,3,1,-,0,,,13,bat,Bangladesh,2,Gaddafi Stadium,2020,01,Pakistan_Bangladesh_2020-01-24,Pakistan,Pakistan,Bangladesh,142
81,Iftikhar Ahmed,Aminul Islam,Shoaib Malik,,1,0,1,94,47,6,3,3,2,-,0,,,13,bat,Bangladesh,2,Gaddafi Stadium,2020,01,Pakistan_Bangladesh_2020-01-24,Pakistan,Pakistan,Bangladesh,142
82,Shoaib Malik,Aminul Islam,Iftikhar Ahmed,,1,0,1,95,46,33,29,3,3,-,0,,,13,bat,Bangladesh,2,Gaddafi Stadium,2020,01,Pakistan_Bangladesh_2020-01-24,Pakistan,Pakistan,Bangladesh,142
83,Iftikhar Ahmed,Aminul Islam,Shoaib Malik,,1,0,1,96,45,7,4,3,4,-,0,,,13,bat,Bangladesh,2,Gaddafi Stadium,2020,01,Pakistan_Bangladesh_2020-01-24,Pakistan,Pakistan,Bangladesh,142
84,Shoaib Malik,Aminul Islam,Iftikhar Ahmed,,0,0,0,96,45,33,30,3,5,-,0,,,13,bat,Bangladesh,2,Gaddafi Stadium,2020,01,Pakistan_Bangladesh_2020-01-24,Pakistan,Pakistan,Bangladesh,142
85,Shoaib Malik,Aminul Islam,Iftikhar Ahmed,,1,0,1,97,44,34,31,3,6,-,0,,,13,bat,Bangladesh,2,Gaddafi Stadium,2020,01,Pakistan_Bangladesh_2020-01-24,Pakistan,Pakistan,Bangladesh,142
86,Shoaib Malik,Shafiul Islam,Iftikhar Ahmed,,1,0,1,98,43,35,32,3,1,-,0,,,14,bat,Bangladesh,2,Gaddafi Stadium,2020,01,Pakistan_Bangladesh_2020-01-24,Pakistan,Pakistan,Bangladesh,142
87,Iftikhar Ahmed,Shafiul Islam,Shoaib Malik,,0,1,1,99,42,7,5,3,2,wides,0,,,14,bat,Bangladesh,2,Gaddafi Stadium,2020,01,Pakistan_Bangladesh_2020-01-24,Pakistan,Pakistan,Bangladesh,142
88,Iftikhar Ahmed,Shafiul Islam,Shoaib Malik,,4,0,4,103,38,11,6,3,3,-,0,,,14,bat,Bangladesh,2,Gaddafi Stadium,2020,01,Pakistan_Bangladesh_2020-01-24,Pakistan,Pakistan,Bangladesh,142
89,Iftikhar Ahmed,Shafiul Islam,Shoaib Malik,,0,0,0,103,38,11,7,3,4,-,0,,,14,bat,Bangladesh,2,Gaddafi Stadium,2020,01,Pakistan_Bangladesh_2020-01-24,Pakistan,Pakistan,Bangladesh,142
90,Iftikhar Ahmed,Shafiul Islam,Shoaib Malik,,2,0,2,105,36,13,8,3,5,-,0,,,14,bat,Bangladesh,2,Gaddafi Stadium,2020,01,Pakistan_Bangladesh_2020-01-24,Pakistan,Pakistan,Bangladesh,142
91,Iftikhar Ahmed,Shafiul Islam,Shoaib Malik,,0,0,0,105,36,13,9,3,6,-,0,,,14,bat,Bangladesh,2,Gaddafi Stadium,2020,01,Pakistan_Bangladesh_2020-01-24,Pakistan,Pakistan,Bangladesh,142
92,Iftikhar Ahmed,Shafiul Islam,Shoaib Malik,,1,0,1,106,35,14,10,3,7,-,0,,,14,bat,Bangladesh,2,Gaddafi Stadium,2020,01,Pakistan_Bangladesh_2020-01-24,Pakistan,Pakistan,Bangladesh,142
93,Iftikhar Ahmed,Al-Amin Hossain,Shoaib Malik,,1,0,1,107,34,15,11,3,1,-,0,,,15,bat,Bangladesh,2,Gaddafi Stadium,2020,01,Pakistan_Bangladesh_2020-01-24,Pakistan,Pakistan,Bangladesh,142
94,Shoaib Malik,Al-Amin Hossain,Iftikhar Ahmed,,4,0,4,111,30,39,33,3,2,-,0,,,15,bat,Bangladesh,2,Gaddafi Stadium,2020,01,Pakistan_Bangladesh_2020-01-24,Pakistan,Pakistan,Bangladesh,142
95,Shoaib Malik,Al-Amin Hossain,Iftikhar Ahmed,,1,0,1,112,29,40,34,3,3,-,0,,,15,bat,Bangladesh,2,Gaddafi Stadium,2020,01,Pakistan_Bangladesh_2020-01-24,Pakistan,Pakistan,Bangladesh,142
96,Iftikhar Ahmed,Al-Amin Hossain,Shoaib Malik,,1,0,1,113,28,16,12,3,4,-,0,,,15,bat,Bangladesh,2,Gaddafi Stadium,2020,01,Pakistan_Bangladesh_2020-01-24,Pakistan,Pakistan,Bangladesh,142
97,Shoaib Malik,Al-Amin Hossain,Iftikhar Ahmed,,2,0,2,115,26,42,35,3,5,-,0,,,15,bat,Bangladesh,2,Gaddafi Stadium,2020,01,Pakistan_Bangladesh_2020-01-24,Pakistan,Pakistan,Bangladesh,142
98,Shoaib Malik,Al-Amin Hossain,Iftikhar Ahmed,,1,0,1,116,25,43,36,3,6,-,0,,,15,bat,Bangladesh,2,Gaddafi Stadium,2020,01,Pakistan_Bangladesh_2020-01-24,Pakistan,Pakistan,Bangladesh,142
99,Shoaib Malik,Shafiul Islam,Iftikhar Ahmed,,1,0,1,117,24,44,37,3,1,-,0,,,16,bat,Bangladesh,2,Gaddafi Stadium,2020,01,Pakistan_Bangladesh_2020-01-24,Pakistan,Pakistan,Bangladesh,142
100,Iftikhar Ahmed,Shafiul Islam,Shoaib Malik,,0,0,0,117,24,16,13,3,2,-,0,,,16,bat,Bangladesh,2,Gaddafi Stadium,2020,01,Pakistan_Bangladesh_2020-01-24,Pakistan,Pakistan,Bangladesh,142
101,Iftikhar Ahmed,Shafiul Islam,Shoaib Malik,,0,0,0,117,24,16,14,4,3,-,caught,Iftikhar Ahmed,Liton Das,16,bat,Bangladesh,2,Gaddafi Stadium,2020,01,Pakistan_Bangladesh_2020-01-24,Pakistan,Pakistan,Bangladesh,142
102,Imad Wasim,Shafiul Islam,Shoaib Malik,,4,0,4,121,20,4,1,4,4,-,0,,,16,bat,Bangladesh,2,Gaddafi Stadium,2020,01,Pakistan_Bangladesh_2020-01-24,Pakistan,Pakistan,Bangladesh,142
103,Imad Wasim,Shafiul Islam,Shoaib Malik,,1,0,1,122,19,5,2,4,5,-,0,,,16,bat,Bangladesh,2,Gaddafi Stadium,2020,01,Pakistan_Bangladesh_2020-01-24,Pakistan,Pakistan,Bangladesh,142
104,Shoaib Malik,Shafiul Islam,Imad Wasim,,1,0,1,123,18,45,38,4,6,-,0,,,16,bat,Bangladesh,2,Gaddafi Stadium,2020,01,Pakistan_Bangladesh_2020-01-24,Pakistan,Pakistan,Bangladesh,142
105,Shoaib Malik,Mustafizur Rahman,Imad Wasim,,2,0,2,125,16,47,39,4,1,-,0,,,17,bat,Bangladesh,2,Gaddafi Stadium,2020,01,Pakistan_Bangladesh_2020-01-24,Pakistan,Pakistan,Bangladesh,142
