,batter,bowler,non_striker,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,extra_type,wicket_type,player_out,fielder,over,review,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,final_team_final
20,TM Head,L Ngidi,MR Marsh,6,0,6,31,159,16,9,1,2,-,0,,,4,,bat,South Africa,2,"Kingsmead, Durban",2023,09,South Africa_Australia_2023-09-03,Australia,Australia,South Africa,191
21,TM Head,L Ngidi,MR Marsh,6,0,6,37,153,22,10,1,3,-,0,,,4,,bat,South Africa,2,"Kingsmead, Durban",2023,09,South Africa_Australia_2023-09-03,Australia,Australia,South Africa,191
22,TM Head,L Ngidi,MR Marsh,4,0,4,41,149,26,11,1,4,-,0,,,4,,bat,South Africa,2,"Kingsmead, Durban",2023,09,South Africa_Australia_2023-09-03,Australia,Australia,South Africa,191
23,TM Head,L Ngidi,MR Marsh,1,0,1,42,148,27,12,1,5,-,0,,,4,,bat,South Africa,2,"Kingsmead, Durban",2023,09,South Africa_Australia_2023-09-03,Australia,Australia,South Africa,191
24,MR Marsh,L Ngidi,TM Head,1,0,1,43,147,15,12,1,6,-,0,,,4,,bat,South Africa,2,"Kingsmead, Durban",2023,09,South Africa_Australia_2023-09-03,Australia,Australia,South Africa,191
25,MR Marsh,G Coetzee,TM Head,0,0,0,43,147,15,13,2,1,-,caught,MR Marsh,BC Fortuin,5,,bat,South Africa,2,"Kingsmead, Durban",2023,09,South Africa_Australia_2023-09-03,Australia,Australia,South Africa,191
26,JP Inglis,G Coetzee,TM Head,1,0,1,44,146,1,1,2,2,-,0,,,5,,bat,South Africa,2,"Kingsmead, Durban",2023,09,South Africa_Australia_2023-09-03,Australia,Australia,South Africa,191
27,TM Head,G Coetzee,JP Inglis,0,0,0,44,146,27,13,2,3,-,0,,,5,,bat,South Africa,2,"Kingsmead, Durban",2023,09,South Africa_Australia_2023-09-03,Australia,Australia,South Africa,191
28,TM Head,G Coetzee,JP Inglis,1,0,1,45,145,28,14,2,4,-,0,,,5,,bat,South Africa,2,"Kingsmead, Durban",2023,09,South Africa_Australia_2023-09-03,Australia,Australia,South Africa,191
29,JP Inglis,G Coetzee,TM Head,6,0,6,51,139,7,2,2,5,-,0,,,5,,bat,South Africa,2,"Kingsmead, Durban",2023,09,South Africa_Australia_2023-09-03,Australia,Australia,South Africa,191
30,JP Inglis,G Coetzee,TM Head,1,0,1,52,138,8,3,2,6,-,0,,,5,,bat,South Africa,2,"Kingsmead, Durban",2023,09,South Africa_Australia_2023-09-03,Australia,Australia,South Africa,191
31,JP Inglis,LB Williams,TM Head,0,0,0,52,138,8,4,2,1,-,0,,,6,,bat,South Africa,2,"Kingsmead, Durban",2023,09,South Africa_Australia_2023-09-03,Australia,Australia,South Africa,191
32,JP Inglis,LB Williams,TM Head,1,0,1,53,137,9,5,2,2,-,0,,,6,,bat,South Africa,2,"Kingsmead, Durban",2023,09,South Africa_Australia_2023-09-03,Australia,Australia,South Africa,191
33,TM Head,LB Williams,JP Inglis,2,0,2,55,135,30,15,2,3,-,0,,,6,,bat,South Africa,2,"Kingsmead, Durban",2023,09,South Africa_Australia_2023-09-03,Australia,Australia,South Africa,191
34,TM Head,LB Williams,JP Inglis,4,0,4,59,131,34,16,2,4,-,0,,,6,,bat,South Africa,2,"Kingsmead, Durban",2023,09,South Africa_Australia_2023-09-03,Australia,Australia,South Africa,191
35,TM Head,LB Williams,JP Inglis,0,0,0,59,131,34,17,2,5,-,0,,,6,,bat,South Africa,2,"Kingsmead, Durban",2023,09,South Africa_Australia_2023-09-03,Australia,Australia,South Africa,191
36,TM Head,LB Williams,JP Inglis,4,0,4,63,127,38,18,2,6,-,0,,,6,,bat,South Africa,2,"Kingsmead, Durban",2023,09,South Africa_Australia_2023-09-03,Australia,Australia,South Africa,191
37,JP Inglis,BC Fortuin,TM Head,2,0,2,65,125,11,6,2,1,-,0,,,7,,bat,South Africa,2,"Kingsmead, Durban",2023,09,South Africa_Australia_2023-09-03,Australia,Australia,South Africa,191
38,JP Inglis,BC Fortuin,TM Head,1,0,1,66,124,12,7,2,2,-,0,,,7,,bat,South Africa,2,"Kingsmead, Durban",2023,09,South Africa_Australia_2023-09-03,Australia,Australia,South Africa,191
39,TM Head,BC Fortuin,JP Inglis,0,0,0,66,124,38,19,2,3,-,0,,,7,,bat,South Africa,2,"Kingsmead, Durban",2023,09,South Africa_Australia_2023-09-03,Australia,Australia,South Africa,191
40,TM Head,BC Fortuin,JP Inglis,6,0,6,72,118,44,20,2,4,-,0,,,7,,bat,South Africa,2,"Kingsmead, Durban",2023,09,South Africa_Australia_2023-09-03,Australia,Australia,South Africa,191
41,TM Head,BC Fortuin,JP Inglis,0,0,0,72,118,44,21,2,5,-,0,,,7,,bat,South Africa,2,"Kingsmead, Durban",2023,09,South Africa_Australia_2023-09-03,Australia,Australia,South Africa,191
42,TM Head,BC Fortuin,JP Inglis,4,0,4,76,114,48,22,2,6,-,0,,,7,,bat,South Africa,2,"Kingsmead, Durban",2023,09,South Africa_Australia_2023-09-03,Australia,Australia,South Africa,191
43,JP Inglis,KA Maharaj,TM Head,0,0,0,76,114,12,8,2,1,-,0,,,8,,bat,South Africa,2,"Kingsmead, Durban",2023,09,South Africa_Australia_2023-09-03,Australia,Australia,South Africa,191
44,JP Inglis,KA Maharaj,TM Head,3,0,3,79,111,15,9,2,2,-,0,,,8,,bat,South Africa,2,"Kingsmead, Durban",2023,09,South Africa_Australia_2023-09-03,Australia,Australia,South Africa,191
45,TM Head,KA Maharaj,JP Inglis,0,0,0,79,111,48,23,2,3,-,0,,,8,,bat,South Africa,2,"Kingsmead, Durban",2023,09,South Africa_Australia_2023-09-03,Australia,Australia,South Africa,191
46,TM Head,KA Maharaj,JP Inglis,4,0,4,83,107,52,24,2,4,-,0,,,8,,bat,South Africa,2,"Kingsmead, Durban",2023,09,South Africa_Australia_2023-09-03,Australia,Australia,South Africa,191
47,TM Head,KA Maharaj,JP Inglis,0,1,1,84,106,52,25,2,5,wides,0,,,8,,bat,South Africa,2,"Kingsmead, Durban",2023,09,South Africa_Australia_2023-09-03,Australia,Australia,South Africa,191
48,TM Head,KA Maharaj,JP Inglis,1,1,2,86,104,53,26,2,6,noballs,0,,,8,,bat,South Africa,2,"Kingsmead, Durban",2023,09,South Africa_Australia_2023-09-03,Australia,Australia,South Africa,191
49,JP Inglis,KA Maharaj,TM Head,6,0,6,92,98,21,10,2,7,-,0,,,8,,bat,South Africa,2,"Kingsmead, Durban",2023,09,South Africa_Australia_2023-09-03,Australia,Australia,South Africa,191
50,JP Inglis,KA Maharaj,TM Head,4,0,4,96,94,25,11,2,8,-,0,,,8,,bat,South Africa,2,"Kingsmead, Durban",2023,09,South Africa_Australia_2023-09-03,Australia,Australia,South Africa,191
51,TM Head,AK Markram,JP Inglis,1,0,1,97,93,54,27,2,1,-,0,,,9,,bat,South Africa,2,"Kingsmead, Durban",2023,09,South Africa_Australia_2023-09-03,Australia,Australia,South Africa,191
52,JP Inglis,AK Markram,TM Head,0,0,0,97,93,25,12,2,2,-,0,,,9,,bat,South Africa,2,"Kingsmead, Durban",2023,09,South Africa_Australia_2023-09-03,Australia,Australia,South Africa,191
53,JP Inglis,AK Markram,TM Head,1,0,1,98,92,26,13,2,3,-,0,,,9,,bat,South Africa,2,"Kingsmead, Durban",2023,09,South Africa_Australia_2023-09-03,Australia,Australia,South Africa,191
54,TM Head,AK Markram,JP Inglis,1,0,1,99,91,55,28,2,4,-,0,,,9,,bat,South Africa,2,"Kingsmead, Durban",2023,09,South Africa_Australia_2023-09-03,Australia,Australia,South Africa,191
55,JP Inglis,AK Markram,TM Head,0,0,0,99,91,26,14,2,5,-,0,,,9,,bat,South Africa,2,"Kingsmead, Durban",2023,09,South Africa_Australia_2023-09-03,Australia,Australia,South Africa,191
56,JP Inglis,AK Markram,TM Head,6,0,6,105,85,32,15,2,6,-,0,,,9,,bat,South Africa,2,"Kingsmead, Durban",2023,09,South Africa_Australia_2023-09-03,Australia,Australia,South Africa,191
57,TM Head,G Coetzee,JP Inglis,1,0,1,106,84,56,29,2,1,-,0,,,10,,bat,South Africa,2,"Kingsmead, Durban",2023,09,South Africa_Australia_2023-09-03,Australia,Australia,South Africa,191
58,JP Inglis,G Coetzee,TM Head,1,0,1,107,83,33,16,2,2,-,0,,,10,,bat,South Africa,2,"Kingsmead, Durban",2023,09,South Africa_Australia_2023-09-03,Australia,Australia,South Africa,191
59,TM Head,G Coetzee,JP Inglis,1,0,1,108,82,57,30,2,3,-,0,,,10,,bat,South Africa,2,"Kingsmead, Durban",2023,09,South Africa_Australia_2023-09-03,Australia,Australia,South Africa,191
60,JP Inglis,G Coetzee,TM Head,1,0,1,109,81,34,17,2,4,-,0,,,10,,bat,South Africa,2,"Kingsmead, Durban",2023,09,South Africa_Australia_2023-09-03,Australia,Australia,South Africa,191
61,TM Head,G Coetzee,JP Inglis,4,0,4,113,77,61,31,2,5,-,0,,,10,,bat,South Africa,2,"Kingsmead, Durban",2023,09,South Africa_Australia_2023-09-03,Australia,Australia,South Africa,191
62,TM Head,G Coetzee,JP Inglis,4,0,4,117,73,65,32,2,6,-,0,,,10,,bat,South Africa,2,"Kingsmead, Durban",2023,09,South Africa_Australia_2023-09-03,Australia,Australia,South Africa,191
63,JP Inglis,AK Markram,TM Head,6,0,6,123,67,40,18,2,1,-,0,,,11,,bat,South Africa,2,"Kingsmead, Durban",2023,09,South Africa_Australia_2023-09-03,Australia,Australia,South Africa,191
64,JP Inglis,AK Markram,TM Head,0,0,0,123,67,40,19,2,2,-,0,,,11,,bat,South Africa,2,"Kingsmead, Durban",2023,09,South Africa_Australia_2023-09-03,Australia,Australia,South Africa,191
65,JP Inglis,AK Markram,TM Head,1,0,1,124,66,41,20,2,3,-,0,,,11,,bat,South Africa,2,"Kingsmead, Durban",2023,09,South Africa_Australia_2023-09-03,Australia,Australia,South Africa,191
66,TM Head,AK Markram,JP Inglis,2,0,2,126,64,67,33,2,4,-,0,,,11,,bat,South Africa,2,"Kingsmead, Durban",2023,09,South Africa_Australia_2023-09-03,Australia,Australia,South Africa,191
67,TM Head,AK Markram,JP Inglis,1,0,1,127,63,68,34,2,5,-,0,,,11,,bat,South Africa,2,"Kingsmead, Durban",2023,09,South Africa_Australia_2023-09-03,Australia,Australia,South Africa,191
68,JP Inglis,AK Markram,TM Head,1,0,1,128,62,42,21,2,6,-,0,,,11,,bat,South Africa,2,"Kingsmead, Durban",2023,09,South Africa_Australia_2023-09-03,Australia,Australia,South Africa,191
69,JP Inglis,BC Fortuin,TM Head,0,0,0,128,62,42,22,3,1,-,caught,JP Inglis,G Coetzee,12,,bat,South Africa,2,"Kingsmead, Durban",2023,09,South Africa_Australia_2023-09-03,Australia,Australia,South Africa,191
70,MP Stoinis,BC Fortuin,TM Head,1,0,1,129,61,1,1,3,2,-,0,,,12,,bat,South Africa,2,"Kingsmead, Durban",2023,09,South Africa_Australia_2023-09-03,Australia,Australia,South Africa,191
71,TM Head,BC Fortuin,MP Stoinis,0,0,0,129,61,68,35,3,3,-,0,,,12,,bat,South Africa,2,"Kingsmead, Durban",2023,09,South Africa_Australia_2023-09-03,Australia,Australia,South Africa,191
72,TM Head,BC Fortuin,MP Stoinis,1,0,1,130,60,69,36,3,4,-,0,,,12,,bat,South Africa,2,"Kingsmead, Durban",2023,09,South Africa_Australia_2023-09-03,Australia,Australia,South Africa,191
73,MP Stoinis,BC Fortuin,TM Head,0,0,0,130,60,1,2,3,5,-,0,,,12,,bat,South Africa,2,"Kingsmead, Durban",2023,09,South Africa_Australia_2023-09-03,Australia,Australia,South Africa,191
74,MP Stoinis,BC Fortuin,TM Head,1,0,1,131,59,2,3,3,6,-,0,,,12,,bat,South Africa,2,"Kingsmead, Durban",2023,09,South Africa_Australia_2023-09-03,Australia,Australia,South Africa,191
75,MP Stoinis,KA Maharaj,TM Head,0,0,0,131,59,2,4,3,1,-,0,,,13,,bat,South Africa,2,"Kingsmead, Durban",2023,09,South Africa_Australia_2023-09-03,Australia,Australia,South Africa,191
76,MP Stoinis,KA Maharaj,TM Head,0,0,0,131,59,2,5,3,2,-,0,,,13,,bat,South Africa,2,"Kingsmead, Durban",2023,09,South Africa_Australia_2023-09-03,Australia,Australia,South Africa,191
77,MP Stoinis,KA Maharaj,TM Head,0,0,0,131,59,2,6,3,3,-,0,,,13,,bat,South Africa,2,"Kingsmead, Durban",2023,09,South Africa_Australia_2023-09-03,Australia,Australia,South Africa,191
78,MP Stoinis,KA Maharaj,TM Head,1,0,1,132,58,3,7,3,4,-,0,,,13,,bat,South Africa,2,"Kingsmead, Durban",2023,09,South Africa_Australia_2023-09-03,Australia,Australia,South Africa,191
79,TM Head,KA Maharaj,MP Stoinis,1,0,1,133,57,70,37,3,5,-,0,,,13,,bat,South Africa,2,"Kingsmead, Durban",2023,09,South Africa_Australia_2023-09-03,Australia,Australia,South Africa,191
80,MP Stoinis,KA Maharaj,TM Head,4,0,4,137,53,7,8,3,6,-,0,,,13,,bat,South Africa,2,"Kingsmead, Durban",2023,09,South Africa_Australia_2023-09-03,Australia,Australia,South Africa,191
81,TM Head,AK Markram,MP Stoinis,0,0,0,137,53,70,38,3,1,-,0,,,14,,bat,South Africa,2,"Kingsmead, Durban",2023,09,South Africa_Australia_2023-09-03,Australia,Australia,South Africa,191
82,TM Head,AK Markram,MP Stoinis,1,0,1,138,52,71,39,3,2,-,0,,,14,,bat,South Africa,2,"Kingsmead, Durban",2023,09,South Africa_Australia_2023-09-03,Australia,Australia,South Africa,191
83,MP Stoinis,AK Markram,TM Head,6,0,6,144,46,13,9,3,3,-,0,,,14,,bat,South Africa,2,"Kingsmead, Durban",2023,09,South Africa_Australia_2023-09-03,Australia,Australia,South Africa,191
84,MP Stoinis,AK Markram,TM Head,0,0,0,144,46,13,10,3,4,-,0,,,14,"{'by': 'South Africa', 'umpire': 'A Paleker', 'batter': 'MP Stoinis', 'decision': 'struck down', 'type': 'wicket', 'umpires_call': True}",bat,South Africa,2,"Kingsmead, Durban",2023,09,South Africa_Australia_2023-09-03,Australia,Australia,South Africa,191
85,MP Stoinis,AK Markram,TM Head,6,0,6,150,40,19,11,3,5,-,0,,,14,,bat,South Africa,2,"Kingsmead, Durban",2023,09,South Africa_Australia_2023-09-03,Australia,Australia,South Africa,191
86,MP Stoinis,AK Markram,TM Head,1,0,1,151,39,20,12,3,6,-,0,,,14,,bat,South Africa,2,"Kingsmead, Durban",2023,09,South Africa_Australia_2023-09-03,Australia,Australia,South Africa,191
87,MP Stoinis,KA Maharaj,TM Head,0,0,0,151,39,20,13,3,1,-,0,,,15,,bat,South Africa,2,"Kingsmead, Durban",2023,09,South Africa_Australia_2023-09-03,Australia,Australia,South Africa,191
88,MP Stoinis,KA Maharaj,TM Head,6,0,6,157,33,26,14,3,2,-,0,,,15,,bat,South Africa,2,"Kingsmead, Durban",2023,09,South Africa_Australia_2023-09-03,Australia,Australia,South Africa,191
89,MP Stoinis,KA Maharaj,TM Head,1,0,1,158,32,27,15,3,3,-,0,,,15,,bat,South Africa,2,"Kingsmead, Durban",2023,09,South Africa_Australia_2023-09-03,Australia,Australia,South Africa,191
90,TM Head,KA Maharaj,MP Stoinis,0,0,0,158,32,71,40,3,4,-,0,,,15,,bat,South Africa,2,"Kingsmead, Durban",2023,09,South Africa_Australia_2023-09-03,Australia,Australia,South Africa,191
91,TM Head,KA Maharaj,MP Stoinis,6,0,6,164,26,77,41,3,5,-,0,,,15,,bat,South Africa,2,"Kingsmead, Durban",2023,09,South Africa_Australia_2023-09-03,Australia,Australia,South Africa,191
92,TM Head,KA Maharaj,MP Stoinis,1,0,1,165,25,78,42,3,6,-,0,,,15,,bat,South Africa,2,"Kingsmead, Durban",2023,09,South Africa_Australia_2023-09-03,Australia,Australia,South Africa,191
93,TM Head,G Coetzee,MP Stoinis,4,0,4,169,21,82,43,3,1,-,0,,,16,,bat,South Africa,2,"Kingsmead, Durban",2023,09,South Africa_Australia_2023-09-03,Australia,Australia,South Africa,191
94,TM Head,G Coetzee,MP Stoinis,1,0,1,170,20,83,44,3,2,-,0,,,16,,bat,South Africa,2,"Kingsmead, Durban",2023,09,South Africa_Australia_2023-09-03,Australia,Australia,South Africa,191
95,MP Stoinis,G Coetzee,TM Head,4,0,4,174,16,31,16,3,3,-,0,,,16,,bat,South Africa,2,"Kingsmead, Durban",2023,09,South Africa_Australia_2023-09-03,Australia,Australia,South Africa,191
96,MP Stoinis,G Coetzee,TM Head,1,0,1,175,15,32,17,3,4,-,0,,,16,,bat,South Africa,2,"Kingsmead, Durban",2023,09,South Africa_Australia_2023-09-03,Australia,Australia,South Africa,191
97,TM Head,G Coetzee,MP Stoinis,0,0,0,175,15,83,45,3,5,-,0,,,16,,bat,South Africa,2,"Kingsmead, Durban",2023,09,South Africa_Australia_2023-09-03,Australia,Australia,South Africa,191
98,TM Head,G Coetzee,MP Stoinis,1,0,1,176,14,84,46,3,6,-,0,,,16,,bat,South Africa,2,"Kingsmead, Durban",2023,09,South Africa_Australia_2023-09-03,Australia,Australia,South Africa,191
99,TM Head,BC Fortuin,MP Stoinis,1,0,1,177,13,85,47,3,1,-,0,,,17,,bat,South Africa,2,"Kingsmead, Durban",2023,09,South Africa_Australia_2023-09-03,Australia,Australia,South Africa,191
100,MP Stoinis,BC Fortuin,TM Head,2,0,2,179,11,34,18,3,2,-,0,,,17,,bat,South Africa,2,"Kingsmead, Durban",2023,09,South Africa_Australia_2023-09-03,Australia,Australia,South Africa,191
101,MP Stoinis,BC Fortuin,TM Head,1,0,1,180,10,35,19,3,3,-,0,,,17,,bat,South Africa,2,"Kingsmead, Durban",2023,09,South Africa_Australia_2023-09-03,Australia,Australia,South Africa,191
102,TM Head,BC Fortuin,MP Stoinis,6,0,6,186,4,91,48,3,4,-,0,,,17,,bat,South Africa,2,"Kingsmead, Durban",2023,09,South Africa_Australia_2023-09-03,Australia,Australia,South Africa,191
103,TM Head,BC Fortuin,MP Stoinis,0,0,0,186,4,91,49,4,5,-,caught,TM Head,T Bavuma,17,,bat,South Africa,2,"Kingsmead, Durban",2023,09,South Africa_Australia_2023-09-03,Australia,Australia,South Africa,191
104,TH David,BC Fortuin,MP Stoinis,1,0,1,187,3,1,1,4,6,-,0,,,17,,bat,South Africa,2,"Kingsmead, Durban",2023,09,South Africa_Australia_2023-09-03,Australia,Australia,South Africa,191
105,TH David,G Coetzee,MP Stoinis,0,0,0,187,3,1,2,5,1,-,caught,TH David,D Ferreira,18,,bat,South Africa,2,"Kingsmead, Durban",2023,09,South Africa_Australia_2023-09-03,Australia,Australia,South Africa,191
106,AJ Turner,G Coetzee,MP Stoinis,1,0,1,188,2,1,1,5,2,-,0,,,18,,bat,South Africa,2,"Kingsmead, Durban",2023,09,South Africa_Australia_2023-09-03,Australia,Australia,South Africa,191
107,MP Stoinis,G Coetzee,AJ Turner,1,0,1,189,1,36,20,5,3,-,0,,,18,,bat,South Africa,2,"Kingsmead, Durban",2023,09,South Africa_Australia_2023-09-03,Australia,Australia,South Africa,191
108,AJ Turner,G Coetzee,MP Stoinis,1,0,1,190,0,2,2,5,4,-,0,,,18,,bat,South Africa,2,"Kingsmead, Durban",2023,09,South Africa_Australia_2023-09-03,Australia,Australia,South Africa,191
109,MP Stoinis,G Coetzee,AJ Turner,1,0,1,191,-1,37,21,5,5,-,0,,,18,,bat,South Africa,2,"Kingsmead, Durban",2023,09,South Africa_Australia_2023-09-03,Australia,Australia,South Africa,191
