,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,extra_type,over,review,wicket_type,player_out,fielder,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team
11,PD Salt,Taskin Ahmed,JC Buttler,1,0,1,18,216,8,7,0,6,-,2,,0,,,field,Bangladesh,1,"Zahur Ahmed Chowdhury Stadium, Chattogram",2023,03,England_Bangladesh_2023-03-09,Bangladesh,England,Bangladesh
12,PD Salt,Mustafizur Rahman,JC Buttler,0,0,0,18,216,8,8,0,1,-,3,,0,,,field,Bangladesh,1,"Zahur Ahmed Chowdhury Stadium, Chattogram",2023,03,England_Bangladesh_2023-03-09,Bangladesh,England,Bangladesh
13,PD Salt,Mustafizur Rahman,JC Buttler,4,0,4,22,212,12,9,0,2,-,3,,0,,,field,Bangladesh,1,"Zahur Ahmed Chowdhury Stadium, Chattogram",2023,03,England_Bangladesh_2023-03-09,Bangladesh,England,Bangladesh
14,PD Salt,Mustafizur Rahman,JC Buttler,0,0,0,22,212,12,10,0,3,-,3,,0,,,field,Bangladesh,1,"Zahur Ahmed Chowdhury Stadium, Chattogram",2023,03,England_Bangladesh_2023-03-09,Bangladesh,England,Bangladesh
15,PD Salt,Mustafizur Rahman,JC Buttler,0,0,0,22,212,12,11,0,4,-,3,,0,,,field,Bangladesh,1,"Zahur Ahmed Chowdhury Stadium, Chattogram",2023,03,England_Bangladesh_2023-03-09,Bangladesh,England,Bangladesh
16,PD Salt,Mustafizur Rahman,JC Buttler,0,1,1,23,211,12,12,0,5,wides,3,,0,,,field,Bangladesh,1,"Zahur Ahmed Chowdhury Stadium, Chattogram",2023,03,England_Bangladesh_2023-03-09,Bangladesh,England,Bangladesh
17,PD Salt,Mustafizur Rahman,JC Buttler,0,0,0,23,211,12,13,0,6,-,3,,0,,,field,Bangladesh,1,"Zahur Ahmed Chowdhury Stadium, Chattogram",2023,03,England_Bangladesh_2023-03-09,Bangladesh,England,Bangladesh
18,PD Salt,Mustafizur Rahman,JC Buttler,0,0,0,23,211,12,14,0,7,-,3,,0,,,field,Bangladesh,1,"Zahur Ahmed Chowdhury Stadium, Chattogram",2023,03,England_Bangladesh_2023-03-09,Bangladesh,England,Bangladesh
19,JC Buttler,Taskin Ahmed,PD Salt,4,0,4,27,207,10,6,0,1,-,4,,0,,,field,Bangladesh,1,"Zahur Ahmed Chowdhury Stadium, Chattogram",2023,03,England_Bangladesh_2023-03-09,Bangladesh,England,Bangladesh
20,JC Buttler,Taskin Ahmed,PD Salt,1,0,1,28,206,11,7,0,2,-,4,,0,,,field,Bangladesh,1,"Zahur Ahmed Chowdhury Stadium, Chattogram",2023,03,England_Bangladesh_2023-03-09,Bangladesh,England,Bangladesh
21,PD Salt,Taskin Ahmed,JC Buttler,1,0,1,29,205,13,15,0,3,-,4,,0,,,field,Bangladesh,1,"Zahur Ahmed Chowdhury Stadium, Chattogram",2023,03,England_Bangladesh_2023-03-09,Bangladesh,England,Bangladesh
22,JC Buttler,Taskin Ahmed,PD Salt,0,0,0,29,205,11,8,0,4,-,4,,0,,,field,Bangladesh,1,"Zahur Ahmed Chowdhury Stadium, Chattogram",2023,03,England_Bangladesh_2023-03-09,Bangladesh,England,Bangladesh
23,JC Buttler,Taskin Ahmed,PD Salt,1,0,1,30,204,12,9,0,5,-,4,,0,,,field,Bangladesh,1,"Zahur Ahmed Chowdhury Stadium, Chattogram",2023,03,England_Bangladesh_2023-03-09,Bangladesh,England,Bangladesh
24,PD Salt,Taskin Ahmed,JC Buttler,1,0,1,31,203,14,16,0,6,-,4,,0,,,field,Bangladesh,1,"Zahur Ahmed Chowdhury Stadium, Chattogram",2023,03,England_Bangladesh_2023-03-09,Bangladesh,England,Bangladesh
25,PD Salt,Mustafizur Rahman,JC Buttler,4,0,4,35,199,18,17,0,1,-,5,,0,,,field,Bangladesh,1,"Zahur Ahmed Chowdhury Stadium, Chattogram",2023,03,England_Bangladesh_2023-03-09,Bangladesh,England,Bangladesh
26,PD Salt,Mustafizur Rahman,JC Buttler,1,0,1,36,198,19,18,0,2,-,5,,0,,,field,Bangladesh,1,"Zahur Ahmed Chowdhury Stadium, Chattogram",2023,03,England_Bangladesh_2023-03-09,Bangladesh,England,Bangladesh
27,JC Buttler,Mustafizur Rahman,PD Salt,0,0,0,36,198,12,10,0,3,-,5,,0,,,field,Bangladesh,1,"Zahur Ahmed Chowdhury Stadium, Chattogram",2023,03,England_Bangladesh_2023-03-09,Bangladesh,England,Bangladesh
28,JC Buttler,Mustafizur Rahman,PD Salt,1,0,1,37,197,13,11,0,4,-,5,,0,,,field,Bangladesh,1,"Zahur Ahmed Chowdhury Stadium, Chattogram",2023,03,England_Bangladesh_2023-03-09,Bangladesh,England,Bangladesh
29,PD Salt,Mustafizur Rahman,JC Buttler,1,0,1,38,196,20,19,0,5,-,5,,0,,,field,Bangladesh,1,"Zahur Ahmed Chowdhury Stadium, Chattogram",2023,03,England_Bangladesh_2023-03-09,Bangladesh,England,Bangladesh
30,JC Buttler,Mustafizur Rahman,PD Salt,6,0,6,44,190,19,12,0,6,-,5,,0,,,field,Bangladesh,1,"Zahur Ahmed Chowdhury Stadium, Chattogram",2023,03,England_Bangladesh_2023-03-09,Bangladesh,England,Bangladesh
31,PD Salt,Nasum Ahmed,JC Buttler,0,0,0,44,190,20,20,0,1,-,6,,0,,,field,Bangladesh,1,"Zahur Ahmed Chowdhury Stadium, Chattogram",2023,03,England_Bangladesh_2023-03-09,Bangladesh,England,Bangladesh
32,PD Salt,Nasum Ahmed,JC Buttler,1,0,1,45,189,21,21,0,2,-,6,,0,,,field,Bangladesh,1,"Zahur Ahmed Chowdhury Stadium, Chattogram",2023,03,England_Bangladesh_2023-03-09,Bangladesh,England,Bangladesh
33,JC Buttler,Nasum Ahmed,PD Salt,0,0,0,45,189,19,13,0,3,-,6,,0,,,field,Bangladesh,1,"Zahur Ahmed Chowdhury Stadium, Chattogram",2023,03,England_Bangladesh_2023-03-09,Bangladesh,England,Bangladesh
34,JC Buttler,Nasum Ahmed,PD Salt,1,0,1,46,188,20,14,0,4,-,6,,0,,,field,Bangladesh,1,"Zahur Ahmed Chowdhury Stadium, Chattogram",2023,03,England_Bangladesh_2023-03-09,Bangladesh,England,Bangladesh
35,PD Salt,Nasum Ahmed,JC Buttler,4,0,4,50,184,25,22,0,5,-,6,,0,,,field,Bangladesh,1,"Zahur Ahmed Chowdhury Stadium, Chattogram",2023,03,England_Bangladesh_2023-03-09,Bangladesh,England,Bangladesh
36,PD Salt,Nasum Ahmed,JC Buttler,1,0,1,51,183,26,23,0,6,-,6,,0,,,field,Bangladesh,1,"Zahur Ahmed Chowdhury Stadium, Chattogram",2023,03,England_Bangladesh_2023-03-09,Bangladesh,England,Bangladesh
37,PD Salt,Shakib Al Hasan,JC Buttler,1,0,1,52,182,27,24,0,1,-,7,,0,,,field,Bangladesh,1,"Zahur Ahmed Chowdhury Stadium, Chattogram",2023,03,England_Bangladesh_2023-03-09,Bangladesh,England,Bangladesh
38,JC Buttler,Shakib Al Hasan,PD Salt,0,0,0,52,182,20,15,0,2,-,7,,0,,,field,Bangladesh,1,"Zahur Ahmed Chowdhury Stadium, Chattogram",2023,03,England_Bangladesh_2023-03-09,Bangladesh,England,Bangladesh
39,JC Buttler,Shakib Al Hasan,PD Salt,1,0,1,53,181,21,16,0,3,-,7,,0,,,field,Bangladesh,1,"Zahur Ahmed Chowdhury Stadium, Chattogram",2023,03,England_Bangladesh_2023-03-09,Bangladesh,England,Bangladesh
40,PD Salt,Shakib Al Hasan,JC Buttler,0,0,0,53,181,27,25,0,4,-,7,,0,,,field,Bangladesh,1,"Zahur Ahmed Chowdhury Stadium, Chattogram",2023,03,England_Bangladesh_2023-03-09,Bangladesh,England,Bangladesh
41,PD Salt,Shakib Al Hasan,JC Buttler,1,0,1,54,180,28,26,0,5,-,7,,0,,,field,Bangladesh,1,"Zahur Ahmed Chowdhury Stadium, Chattogram",2023,03,England_Bangladesh_2023-03-09,Bangladesh,England,Bangladesh
42,JC Buttler,Shakib Al Hasan,PD Salt,1,0,1,55,179,22,17,0,6,-,7,,0,,,field,Bangladesh,1,"Zahur Ahmed Chowdhury Stadium, Chattogram",2023,03,England_Bangladesh_2023-03-09,Bangladesh,England,Bangladesh
43,JC Buttler,Nasum Ahmed,PD Salt,0,0,0,55,179,22,18,0,1,-,8,,0,,,field,Bangladesh,1,"Zahur Ahmed Chowdhury Stadium, Chattogram",2023,03,England_Bangladesh_2023-03-09,Bangladesh,England,Bangladesh
44,JC Buttler,Nasum Ahmed,PD Salt,1,0,1,56,178,23,19,0,2,-,8,,0,,,field,Bangladesh,1,"Zahur Ahmed Chowdhury Stadium, Chattogram",2023,03,England_Bangladesh_2023-03-09,Bangladesh,England,Bangladesh
45,PD Salt,Nasum Ahmed,JC Buttler,1,0,1,57,177,29,27,0,3,-,8,,0,,,field,Bangladesh,1,"Zahur Ahmed Chowdhury Stadium, Chattogram",2023,03,England_Bangladesh_2023-03-09,Bangladesh,England,Bangladesh
46,JC Buttler,Nasum Ahmed,PD Salt,1,0,1,58,176,24,20,0,4,-,8,,0,,,field,Bangladesh,1,"Zahur Ahmed Chowdhury Stadium, Chattogram",2023,03,England_Bangladesh_2023-03-09,Bangladesh,England,Bangladesh
47,PD Salt,Nasum Ahmed,JC Buttler,1,0,1,59,175,30,28,0,5,-,8,,0,,,field,Bangladesh,1,"Zahur Ahmed Chowdhury Stadium, Chattogram",2023,03,England_Bangladesh_2023-03-09,Bangladesh,England,Bangladesh
48,JC Buttler,Nasum Ahmed,PD Salt,1,0,1,60,174,25,21,0,6,-,8,,0,,,field,Bangladesh,1,"Zahur Ahmed Chowdhury Stadium, Chattogram",2023,03,England_Bangladesh_2023-03-09,Bangladesh,England,Bangladesh
49,JC Buttler,Shakib Al Hasan,PD Salt,1,0,1,61,173,26,22,0,1,-,9,,0,,,field,Bangladesh,1,"Zahur Ahmed Chowdhury Stadium, Chattogram",2023,03,England_Bangladesh_2023-03-09,Bangladesh,England,Bangladesh
50,PD Salt,Shakib Al Hasan,JC Buttler,0,0,0,61,173,30,29,0,2,-,9,,0,,,field,Bangladesh,1,"Zahur Ahmed Chowdhury Stadium, Chattogram",2023,03,England_Bangladesh_2023-03-09,Bangladesh,England,Bangladesh
51,PD Salt,Shakib Al Hasan,JC Buttler,0,0,0,61,173,30,30,0,3,-,9,,0,,,field,Bangladesh,1,"Zahur Ahmed Chowdhury Stadium, Chattogram",2023,03,England_Bangladesh_2023-03-09,Bangladesh,England,Bangladesh
52,PD Salt,Shakib Al Hasan,JC Buttler,0,0,0,61,173,30,31,0,4,-,9,,0,,,field,Bangladesh,1,"Zahur Ahmed Chowdhury Stadium, Chattogram",2023,03,England_Bangladesh_2023-03-09,Bangladesh,England,Bangladesh
53,PD Salt,Shakib Al Hasan,JC Buttler,1,0,1,62,172,31,32,0,5,-,9,,0,,,field,Bangladesh,1,"Zahur Ahmed Chowdhury Stadium, Chattogram",2023,03,England_Bangladesh_2023-03-09,Bangladesh,England,Bangladesh
54,JC Buttler,Shakib Al Hasan,PD Salt,6,0,6,68,166,32,23,0,6,-,9,,0,,,field,Bangladesh,1,"Zahur Ahmed Chowdhury Stadium, Chattogram",2023,03,England_Bangladesh_2023-03-09,Bangladesh,England,Bangladesh
55,PD Salt,Nasum Ahmed,JC Buttler,1,0,1,69,165,32,33,0,1,-,10,,0,,,field,Bangladesh,1,"Zahur Ahmed Chowdhury Stadium, Chattogram",2023,03,England_Bangladesh_2023-03-09,Bangladesh,England,Bangladesh
56,JC Buttler,Nasum Ahmed,PD Salt,4,0,4,73,161,36,24,0,2,-,10,,0,,,field,Bangladesh,1,"Zahur Ahmed Chowdhury Stadium, Chattogram",2023,03,England_Bangladesh_2023-03-09,Bangladesh,England,Bangladesh
57,JC Buttler,Nasum Ahmed,PD Salt,1,0,1,74,160,37,25,0,3,-,10,,0,,,field,Bangladesh,1,"Zahur Ahmed Chowdhury Stadium, Chattogram",2023,03,England_Bangladesh_2023-03-09,Bangladesh,England,Bangladesh
58,PD Salt,Nasum Ahmed,JC Buttler,6,0,6,80,154,38,34,0,4,-,10,,0,,,field,Bangladesh,1,"Zahur Ahmed Chowdhury Stadium, Chattogram",2023,03,England_Bangladesh_2023-03-09,Bangladesh,England,Bangladesh
59,PD Salt,Nasum Ahmed,JC Buttler,0,0,0,80,154,38,35,0,5,-,10,,0,,,field,Bangladesh,1,"Zahur Ahmed Chowdhury Stadium, Chattogram",2023,03,England_Bangladesh_2023-03-09,Bangladesh,England,Bangladesh
60,PD Salt,Nasum Ahmed,JC Buttler,0,0,0,80,154,38,36,1,6,-,10,"{'by': 'England', 'umpire': 'Masudur Rahman', 'batter': 'PD Salt', 'decision': 'struck down'}",caught,PD Salt,Liton Das,field,Bangladesh,1,"Zahur Ahmed Chowdhury Stadium, Chattogram",2023,03,England_Bangladesh_2023-03-09,Bangladesh,England,Bangladesh
61,JC Buttler,Hasan Mahmud,DJ Malan,1,0,1,81,153,38,26,1,1,-,11,,0,,,field,Bangladesh,1,"Zahur Ahmed Chowdhury Stadium, Chattogram",2023,03,England_Bangladesh_2023-03-09,Bangladesh,England,Bangladesh
62,DJ Malan,Hasan Mahmud,JC Buttler,0,0,0,81,153,0,1,1,2,-,11,,0,,,field,Bangladesh,1,"Zahur Ahmed Chowdhury Stadium, Chattogram",2023,03,England_Bangladesh_2023-03-09,Bangladesh,England,Bangladesh
63,DJ Malan,Hasan Mahmud,JC Buttler,1,0,1,82,152,1,2,1,3,-,11,,0,,,field,Bangladesh,1,"Zahur Ahmed Chowdhury Stadium, Chattogram",2023,03,England_Bangladesh_2023-03-09,Bangladesh,England,Bangladesh
64,JC Buttler,Hasan Mahmud,DJ Malan,1,0,1,83,151,39,27,1,4,-,11,,0,,,field,Bangladesh,1,"Zahur Ahmed Chowdhury Stadium, Chattogram",2023,03,England_Bangladesh_2023-03-09,Bangladesh,England,Bangladesh
65,DJ Malan,Hasan Mahmud,JC Buttler,0,0,0,83,151,1,3,1,5,-,11,,0,,,field,Bangladesh,1,"Zahur Ahmed Chowdhury Stadium, Chattogram",2023,03,England_Bangladesh_2023-03-09,Bangladesh,England,Bangladesh
66,DJ Malan,Hasan Mahmud,JC Buttler,1,0,1,84,150,2,4,1,6,-,11,,0,,,field,Bangladesh,1,"Zahur Ahmed Chowdhury Stadium, Chattogram",2023,03,England_Bangladesh_2023-03-09,Bangladesh,England,Bangladesh
67,DJ Malan,Shakib Al Hasan,JC Buttler,1,0,1,85,149,3,5,1,1,-,12,,0,,,field,Bangladesh,1,"Zahur Ahmed Chowdhury Stadium, Chattogram",2023,03,England_Bangladesh_2023-03-09,Bangladesh,England,Bangladesh
68,JC Buttler,Shakib Al Hasan,DJ Malan,1,0,1,86,148,40,28,1,2,-,12,,0,,,field,Bangladesh,1,"Zahur Ahmed Chowdhury Stadium, Chattogram",2023,03,England_Bangladesh_2023-03-09,Bangladesh,England,Bangladesh
69,DJ Malan,Shakib Al Hasan,JC Buttler,1,0,1,87,147,4,6,1,3,-,12,,0,,,field,Bangladesh,1,"Zahur Ahmed Chowdhury Stadium, Chattogram",2023,03,England_Bangladesh_2023-03-09,Bangladesh,England,Bangladesh
70,JC Buttler,Shakib Al Hasan,DJ Malan,1,0,1,88,146,41,29,1,4,-,12,,0,,,field,Bangladesh,1,"Zahur Ahmed Chowdhury Stadium, Chattogram",2023,03,England_Bangladesh_2023-03-09,Bangladesh,England,Bangladesh
71,DJ Malan,Shakib Al Hasan,JC Buttler,0,0,0,88,146,4,7,2,5,-,12,,caught,DJ Malan,Nazmul Hossain Shanto,field,Bangladesh,1,"Zahur Ahmed Chowdhury Stadium, Chattogram",2023,03,England_Bangladesh_2023-03-09,Bangladesh,England,Bangladesh
72,BM Duckett,Shakib Al Hasan,JC Buttler,1,0,1,89,145,1,1,2,6,-,12,,0,,,field,Bangladesh,1,"Zahur Ahmed Chowdhury Stadium, Chattogram",2023,03,England_Bangladesh_2023-03-09,Bangladesh,England,Bangladesh
73,BM Duckett,Hasan Mahmud,JC Buttler,1,0,1,90,144,2,2,2,1,-,13,,0,,,field,Bangladesh,1,"Zahur Ahmed Chowdhury Stadium, Chattogram",2023,03,England_Bangladesh_2023-03-09,Bangladesh,England,Bangladesh
74,JC Buttler,Hasan Mahmud,BM Duckett,1,0,1,91,143,42,30,2,2,-,13,,0,,,field,Bangladesh,1,"Zahur Ahmed Chowdhury Stadium, Chattogram",2023,03,England_Bangladesh_2023-03-09,Bangladesh,England,Bangladesh
75,BM Duckett,Hasan Mahmud,JC Buttler,1,0,1,92,142,3,3,2,3,-,13,,0,,,field,Bangladesh,1,"Zahur Ahmed Chowdhury Stadium, Chattogram",2023,03,England_Bangladesh_2023-03-09,Bangladesh,England,Bangladesh
76,JC Buttler,Hasan Mahmud,BM Duckett,2,0,2,94,140,44,31,2,4,-,13,,0,,,field,Bangladesh,1,"Zahur Ahmed Chowdhury Stadium, Chattogram",2023,03,England_Bangladesh_2023-03-09,Bangladesh,England,Bangladesh
77,JC Buttler,Hasan Mahmud,BM Duckett,6,0,6,100,134,50,32,2,5,-,13,,0,,,field,Bangladesh,1,"Zahur Ahmed Chowdhury Stadium, Chattogram",2023,03,England_Bangladesh_2023-03-09,Bangladesh,England,Bangladesh
78,JC Buttler,Hasan Mahmud,BM Duckett,6,0,6,106,128,56,33,2,6,-,13,,0,,,field,Bangladesh,1,"Zahur Ahmed Chowdhury Stadium, Chattogram",2023,03,England_Bangladesh_2023-03-09,Bangladesh,England,Bangladesh
79,BM Duckett,Shakib Al Hasan,JC Buttler,1,0,1,107,127,4,4,2,1,-,14,,0,,,field,Bangladesh,1,"Zahur Ahmed Chowdhury Stadium, Chattogram",2023,03,England_Bangladesh_2023-03-09,Bangladesh,England,Bangladesh
80,JC Buttler,Shakib Al Hasan,BM Duckett,2,0,2,109,125,58,34,2,2,-,14,,0,,,field,Bangladesh,1,"Zahur Ahmed Chowdhury Stadium, Chattogram",2023,03,England_Bangladesh_2023-03-09,Bangladesh,England,Bangladesh
81,JC Buttler,Shakib Al Hasan,BM Duckett,0,0,0,109,125,58,35,2,3,-,14,,0,,,field,Bangladesh,1,"Zahur Ahmed Chowdhury Stadium, Chattogram",2023,03,England_Bangladesh_2023-03-09,Bangladesh,England,Bangladesh
82,JC Buttler,Shakib Al Hasan,BM Duckett,1,0,1,110,124,59,36,2,4,-,14,,0,,,field,Bangladesh,1,"Zahur Ahmed Chowdhury Stadium, Chattogram",2023,03,England_Bangladesh_2023-03-09,Bangladesh,England,Bangladesh
83,BM Duckett,Shakib Al Hasan,JC Buttler,4,0,4,114,120,8,5,2,5,-,14,,0,,,field,Bangladesh,1,"Zahur Ahmed Chowdhury Stadium, Chattogram",2023,03,England_Bangladesh_2023-03-09,Bangladesh,England,Bangladesh
84,BM Duckett,Shakib Al Hasan,JC Buttler,1,0,1,115,119,9,6,2,6,-,14,,0,,,field,Bangladesh,1,"Zahur Ahmed Chowdhury Stadium, Chattogram",2023,03,England_Bangladesh_2023-03-09,Bangladesh,England,Bangladesh
85,BM Duckett,Taskin Ahmed,JC Buttler,4,0,4,119,115,13,7,2,1,-,15,,0,,,field,Bangladesh,1,"Zahur Ahmed Chowdhury Stadium, Chattogram",2023,03,England_Bangladesh_2023-03-09,Bangladesh,England,Bangladesh
86,BM Duckett,Taskin Ahmed,JC Buttler,1,0,1,120,114,14,8,2,2,-,15,,0,,,field,Bangladesh,1,"Zahur Ahmed Chowdhury Stadium, Chattogram",2023,03,England_Bangladesh_2023-03-09,Bangladesh,England,Bangladesh
87,JC Buttler,Taskin Ahmed,BM Duckett,4,0,4,124,110,63,37,2,3,-,15,,0,,,field,Bangladesh,1,"Zahur Ahmed Chowdhury Stadium, Chattogram",2023,03,England_Bangladesh_2023-03-09,Bangladesh,England,Bangladesh
88,JC Buttler,Taskin Ahmed,BM Duckett,1,0,1,125,109,64,38,2,4,-,15,,0,,,field,Bangladesh,1,"Zahur Ahmed Chowdhury Stadium, Chattogram",2023,03,England_Bangladesh_2023-03-09,Bangladesh,England,Bangladesh
89,BM Duckett,Taskin Ahmed,JC Buttler,1,0,1,126,108,15,9,2,5,-,15,,0,,,field,Bangladesh,1,"Zahur Ahmed Chowdhury Stadium, Chattogram",2023,03,England_Bangladesh_2023-03-09,Bangladesh,England,Bangladesh
90,JC Buttler,Taskin Ahmed,BM Duckett,0,0,0,126,108,64,39,2,6,-,15,,0,,,field,Bangladesh,1,"Zahur Ahmed Chowdhury Stadium, Chattogram",2023,03,England_Bangladesh_2023-03-09,Bangladesh,England,Bangladesh
91,BM Duckett,Mustafizur Rahman,JC Buttler,0,0,0,126,108,15,10,2,1,-,16,,0,,,field,Bangladesh,1,"Zahur Ahmed Chowdhury Stadium, Chattogram",2023,03,England_Bangladesh_2023-03-09,Bangladesh,England,Bangladesh
92,BM Duckett,Mustafizur Rahman,JC Buttler,4,0,4,130,104,19,11,2,2,-,16,,0,,,field,Bangladesh,1,"Zahur Ahmed Chowdhury Stadium, Chattogram",2023,03,England_Bangladesh_2023-03-09,Bangladesh,England,Bangladesh
93,BM Duckett,Mustafizur Rahman,JC Buttler,1,0,1,131,103,20,12,2,3,-,16,,0,,,field,Bangladesh,1,"Zahur Ahmed Chowdhury Stadium, Chattogram",2023,03,England_Bangladesh_2023-03-09,Bangladesh,England,Bangladesh
94,JC Buttler,Mustafizur Rahman,BM Duckett,2,0,2,133,101,66,40,2,4,-,16,,0,,,field,Bangladesh,1,"Zahur Ahmed Chowdhury Stadium, Chattogram",2023,03,England_Bangladesh_2023-03-09,Bangladesh,England,Bangladesh
95,JC Buttler,Mustafizur Rahman,BM Duckett,1,0,1,134,100,67,41,2,5,-,16,,0,,,field,Bangladesh,1,"Zahur Ahmed Chowdhury Stadium, Chattogram",2023,03,England_Bangladesh_2023-03-09,Bangladesh,England,Bangladesh
96,BM Duckett,Mustafizur Rahman,JC Buttler,0,1,1,135,99,20,13,2,6,wides,16,,0,,,field,Bangladesh,1,"Zahur Ahmed Chowdhury Stadium, Chattogram",2023,03,England_Bangladesh_2023-03-09,Bangladesh,England,Bangladesh
97,BM Duckett,Mustafizur Rahman,JC Buttler,0,0,0,135,99,20,14,3,7,-,16,,bowled,BM Duckett,,field,Bangladesh,1,"Zahur Ahmed Chowdhury Stadium, Chattogram",2023,03,England_Bangladesh_2023-03-09,Bangladesh,England,Bangladesh
98,JC Buttler,Hasan Mahmud,MM Ali,0,0,0,135,99,67,42,4,1,-,17,,caught,JC Buttler,Nazmul Hossain Shanto,field,Bangladesh,1,"Zahur Ahmed Chowdhury Stadium, Chattogram",2023,03,England_Bangladesh_2023-03-09,Bangladesh,England,Bangladesh
99,SM Curran,Hasan Mahmud,MM Ali,0,0,0,135,99,0,1,4,2,-,17,,0,,,field,Bangladesh,1,"Zahur Ahmed Chowdhury Stadium, Chattogram",2023,03,England_Bangladesh_2023-03-09,Bangladesh,England,Bangladesh
100,SM Curran,Hasan Mahmud,MM Ali,0,0,0,135,99,0,2,4,3,-,17,,0,,,field,Bangladesh,1,"Zahur Ahmed Chowdhury Stadium, Chattogram",2023,03,England_Bangladesh_2023-03-09,Bangladesh,England,Bangladesh
101,SM Curran,Hasan Mahmud,MM Ali,0,0,0,135,99,0,3,4,4,-,17,,0,,,field,Bangladesh,1,"Zahur Ahmed Chowdhury Stadium, Chattogram",2023,03,England_Bangladesh_2023-03-09,Bangladesh,England,Bangladesh
102,SM Curran,Hasan Mahmud,MM Ali,0,0,0,135,99,0,4,4,5,-,17,,0,,,field,Bangladesh,1,"Zahur Ahmed Chowdhury Stadium, Chattogram",2023,03,England_Bangladesh_2023-03-09,Bangladesh,England,Bangladesh
103,SM Curran,Hasan Mahmud,MM Ali,1,0,1,136,98,1,5,4,6,-,17,,0,,,field,Bangladesh,1,"Zahur Ahmed Chowdhury Stadium, Chattogram",2023,03,England_Bangladesh_2023-03-09,Bangladesh,England,Bangladesh
104,SM Curran,Mustafizur Rahman,MM Ali,0,1,1,137,97,1,6,4,1,wides,18,,0,,,field,Bangladesh,1,"Zahur Ahmed Chowdhury Stadium, Chattogram",2023,03,England_Bangladesh_2023-03-09,Bangladesh,England,Bangladesh
105,SM Curran,Mustafizur Rahman,MM Ali,1,0,1,138,96,2,7,4,2,-,18,,0,,,field,Bangladesh,1,"Zahur Ahmed Chowdhury Stadium, Chattogram",2023,03,England_Bangladesh_2023-03-09,Bangladesh,England,Bangladesh
