,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,batter_runs,balls_faced,delivery,over,review,extra_type,wicket_type,player_out,fielder,toss_decision,toss_winner,innings,venue,date,batting_team,bowling_team
50,L Tucker,MJ Santner,PR Stirling,0,0,0,68,0,1,2,9,,-,0,,,field,Ireland,2,Adelaide Oval,2022-11-04,Ireland,New Zealand
51,L Tucker,MJ Santner,PR Stirling,0,0,0,68,0,2,3,9,,-,0,,,field,Ireland,2,Adelaide Oval,2022-11-04,Ireland,New Zealand
52,L Tucker,MJ Santner,PR Stirling,1,0,1,69,1,3,4,9,,-,0,,,field,Ireland,2,Adelaide Oval,2022-11-04,Ireland,New Zealand
53,PR Stirling,MJ Santner,L Tucker,0,0,0,69,36,25,5,9,,-,0,,,field,Ireland,2,Adelaide Oval,2022-11-04,Ireland,New Zealand
54,PR Stirling,MJ Santner,L Tucker,1,0,1,70,37,26,6,9,,-,0,,,field,Ireland,2,Adelaide Oval,2022-11-04,Ireland,New Zealand
55,PR Stirling,IS Sodhi,L Tucker,0,0,0,70,37,27,1,10,,-,bowled,PR Stirling,,field,Ireland,2,Adelaide Oval,2022-11-04,Ireland,New Zealand
56,HT Tector,IS Sodhi,L Tucker,0,0,0,70,0,1,2,10,,-,0,,,field,Ireland,2,Adelaide Oval,2022-11-04,Ireland,New Zealand
57,HT Tector,IS Sodhi,L Tucker,1,0,1,71,1,2,3,10,,-,0,,,field,Ireland,2,Adelaide Oval,2022-11-04,Ireland,New Zealand
58,L Tucker,IS Sodhi,HT Tector,1,0,1,72,2,4,4,10,,-,0,,,field,Ireland,2,Adelaide Oval,2022-11-04,Ireland,New Zealand
59,HT Tector,IS Sodhi,L Tucker,0,0,0,72,1,3,5,10,,-,0,,,field,Ireland,2,Adelaide Oval,2022-11-04,Ireland,New Zealand
60,HT Tector,IS Sodhi,L Tucker,1,0,1,73,2,4,6,10,,-,0,,,field,Ireland,2,Adelaide Oval,2022-11-04,Ireland,New Zealand
61,HT Tector,MJ Santner,L Tucker,0,0,0,73,2,5,1,11,,-,0,,,field,Ireland,2,Adelaide Oval,2022-11-04,Ireland,New Zealand
62,HT Tector,MJ Santner,L Tucker,0,0,0,73,2,6,2,11,,-,0,,,field,Ireland,2,Adelaide Oval,2022-11-04,Ireland,New Zealand
63,HT Tector,MJ Santner,L Tucker,0,0,0,73,2,7,3,11,,-,caught,HT Tector,TG Southee,field,Ireland,2,Adelaide Oval,2022-11-04,Ireland,New Zealand
64,GJ Delany,MJ Santner,L Tucker,4,0,4,77,4,1,4,11,,-,0,,,field,Ireland,2,Adelaide Oval,2022-11-04,Ireland,New Zealand
65,GJ Delany,MJ Santner,L Tucker,1,0,1,78,5,2,5,11,,-,0,,,field,Ireland,2,Adelaide Oval,2022-11-04,Ireland,New Zealand
66,L Tucker,MJ Santner,GJ Delany,1,0,1,79,3,5,6,11,,-,0,,,field,Ireland,2,Adelaide Oval,2022-11-04,Ireland,New Zealand
67,L Tucker,IS Sodhi,GJ Delany,2,0,2,81,5,6,1,12,,-,0,,,field,Ireland,2,Adelaide Oval,2022-11-04,Ireland,New Zealand
68,L Tucker,IS Sodhi,GJ Delany,2,0,2,83,7,7,2,12,,-,0,,,field,Ireland,2,Adelaide Oval,2022-11-04,Ireland,New Zealand
69,L Tucker,IS Sodhi,GJ Delany,0,1,1,84,7,8,3,12,,legbyes,0,,,field,Ireland,2,Adelaide Oval,2022-11-04,Ireland,New Zealand
70,GJ Delany,IS Sodhi,L Tucker,0,1,1,85,5,3,4,12,,legbyes,0,,,field,Ireland,2,Adelaide Oval,2022-11-04,Ireland,New Zealand
71,L Tucker,IS Sodhi,GJ Delany,2,0,2,87,9,9,5,12,,-,0,,,field,Ireland,2,Adelaide Oval,2022-11-04,Ireland,New Zealand
72,L Tucker,IS Sodhi,GJ Delany,2,0,2,89,11,10,6,12,,-,0,,,field,Ireland,2,Adelaide Oval,2022-11-04,Ireland,New Zealand
73,GJ Delany,MJ Santner,L Tucker,0,0,0,89,5,4,1,13,,-,0,,,field,Ireland,2,Adelaide Oval,2022-11-04,Ireland,New Zealand
74,GJ Delany,MJ Santner,L Tucker,0,0,0,89,5,5,2,13,,-,0,,,field,Ireland,2,Adelaide Oval,2022-11-04,Ireland,New Zealand
75,GJ Delany,MJ Santner,L Tucker,4,0,4,93,9,6,3,13,,-,0,,,field,Ireland,2,Adelaide Oval,2022-11-04,Ireland,New Zealand
76,GJ Delany,MJ Santner,L Tucker,1,0,1,94,10,7,4,13,,-,0,,,field,Ireland,2,Adelaide Oval,2022-11-04,Ireland,New Zealand
77,L Tucker,MJ Santner,GJ Delany,0,0,0,94,11,11,5,13,,-,0,,,field,Ireland,2,Adelaide Oval,2022-11-04,Ireland,New Zealand
78,L Tucker,MJ Santner,GJ Delany,0,0,0,94,11,12,6,13,,-,0,,,field,Ireland,2,Adelaide Oval,2022-11-04,Ireland,New Zealand
79,GJ Delany,LH Ferguson,L Tucker,0,0,0,94,10,8,1,14,,-,caught,GJ Delany,DP Conway,field,Ireland,2,Adelaide Oval,2022-11-04,Ireland,New Zealand
80,GH Dockrell,LH Ferguson,L Tucker,0,0,0,94,0,1,2,14,,-,0,,,field,Ireland,2,Adelaide Oval,2022-11-04,Ireland,New Zealand
81,GH Dockrell,LH Ferguson,L Tucker,2,0,2,96,2,2,3,14,,-,0,,,field,Ireland,2,Adelaide Oval,2022-11-04,Ireland,New Zealand
82,GH Dockrell,LH Ferguson,L Tucker,0,0,0,96,2,3,4,14,,-,0,,,field,Ireland,2,Adelaide Oval,2022-11-04,Ireland,New Zealand
83,GH Dockrell,LH Ferguson,L Tucker,2,0,2,98,4,4,5,14,,-,0,,,field,Ireland,2,Adelaide Oval,2022-11-04,Ireland,New Zealand
84,GH Dockrell,LH Ferguson,L Tucker,1,0,1,99,5,5,6,14,,-,0,,,field,Ireland,2,Adelaide Oval,2022-11-04,Ireland,New Zealand
85,GH Dockrell,IS Sodhi,L Tucker,0,0,0,99,5,6,1,15,,-,0,,,field,Ireland,2,Adelaide Oval,2022-11-04,Ireland,New Zealand
86,GH Dockrell,IS Sodhi,L Tucker,1,0,1,100,6,7,2,15,,-,0,,,field,Ireland,2,Adelaide Oval,2022-11-04,Ireland,New Zealand
87,L Tucker,IS Sodhi,GH Dockrell,2,0,2,102,13,13,3,15,,-,0,,,field,Ireland,2,Adelaide Oval,2022-11-04,Ireland,New Zealand
