,batter,bowler,non_striker,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,extra_type,delivery,over,wicket_type,player_out,fielder,review,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,won,final_team_total,batter_type,non_striker_type,bowler_type
45,JC Buttler,M Theekshana,EJG Morgan,1,0,1,39,,19,21,3,-,2.0,7,0,,,,field,Sri Lanka,1,Sharjah Cricket Stadium,2021,11,England_Sri Lanka_2021-11-01,England,England,Sri Lanka,True,163,,Left hand Bat,Right arm Offbreak
46,EJG Morgan,M Theekshana,JC Buttler,0,0,0,39,,3,9,3,-,3.0,7,0,,,,field,Sri Lanka,1,Sharjah Cricket Stadium,2021,11,England_Sri Lanka_2021-11-01,England,England,Sri Lanka,True,163,Left hand Bat,,Right arm Offbreak
47,EJG Morgan,M Theekshana,JC Buttler,1,0,1,40,,4,10,3,-,4.0,7,0,,,,field,Sri Lanka,1,Sharjah Cricket Stadium,2021,11,England_Sri Lanka_2021-11-01,England,England,Sri Lanka,True,163,Left hand Bat,,Right arm Offbreak
48,JC Buttler,M Theekshana,EJG Morgan,0,0,0,40,,19,22,3,-,5.0,7,0,,,,field,Sri Lanka,1,Sharjah Cricket Stadium,2021,11,England_Sri Lanka_2021-11-01,England,England,Sri Lanka,True,163,,Left hand Bat,Right arm Offbreak
49,JC Buttler,M Theekshana,EJG Morgan,1,0,1,41,,20,23,3,-,6.0,7,0,,,,field,Sri Lanka,1,Sharjah Cricket Stadium,2021,11,England_Sri Lanka_2021-11-01,England,England,Sri Lanka,True,163,,Left hand Bat,Right arm Offbreak
50,JC Buttler,C Karunaratne,EJG Morgan,0,0,0,41,,20,24,3,-,1.0,8,0,,,,field,Sri Lanka,1,Sharjah Cricket Stadium,2021,11,England_Sri Lanka_2021-11-01,England,England,Sri Lanka,True,163,,Left hand Bat,Right arm Medium
51,JC Buttler,C Karunaratne,EJG Morgan,1,0,1,42,,21,25,3,-,2.0,8,0,,,,field,Sri Lanka,1,Sharjah Cricket Stadium,2021,11,England_Sri Lanka_2021-11-01,England,England,Sri Lanka,True,163,,Left hand Bat,Right arm Medium
52,EJG Morgan,C Karunaratne,JC Buttler,1,0,1,43,,5,11,3,-,3.0,8,0,,,,field,Sri Lanka,1,Sharjah Cricket Stadium,2021,11,England_Sri Lanka_2021-11-01,England,England,Sri Lanka,True,163,Left hand Bat,,Right arm Medium
53,JC Buttler,C Karunaratne,EJG Morgan,0,0,0,43,,21,26,3,-,4.0,8,0,,,"{'by': 'Sri Lanka', 'umpire': 'RJ Tucker', 'batter': 'JC Buttler', 'decision': 'struck down'}",field,Sri Lanka,1,Sharjah Cricket Stadium,2021,11,England_Sri Lanka_2021-11-01,England,England,Sri Lanka,True,163,,Left hand Bat,Right arm Medium
54,JC Buttler,C Karunaratne,EJG Morgan,1,0,1,44,,22,27,3,-,5.0,8,0,,,,field,Sri Lanka,1,Sharjah Cricket Stadium,2021,11,England_Sri Lanka_2021-11-01,England,England,Sri Lanka,True,163,,Left hand Bat,Right arm Medium
