,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,over,extra_type,review,wicket_type,player_out,fielder,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,team_final
46,Soumya Sarkar,MG Bracewell,Shakib Al Hasan,4,0,4,72,136,15,11,2,4,8,-,,0,,,field,Bangladesh,2,"Hagley Oval, Christchurch",2022,10,New Zealand_Bangladesh_2022-10-12,New Zealand,Bangladesh,New Zealand,160
47,Soumya Sarkar,MG Bracewell,Shakib Al Hasan,1,0,1,73,135,16,12,2,5,8,-,,0,,,field,Bangladesh,2,"Hagley Oval, Christchurch",2022,10,New Zealand_Bangladesh_2022-10-12,New Zealand,Bangladesh,New Zealand,160
48,Shakib Al Hasan,MG Bracewell,Soumya Sarkar,3,0,3,76,132,19,8,2,6,8,-,,0,,,field,Bangladesh,2,"Hagley Oval, Christchurch",2022,10,New Zealand_Bangladesh_2022-10-12,New Zealand,Bangladesh,New Zealand,160
49,Shakib Al Hasan,IS Sodhi,Soumya Sarkar,1,0,1,77,131,20,9,2,1,9,-,,0,,,field,Bangladesh,2,"Hagley Oval, Christchurch",2022,10,New Zealand_Bangladesh_2022-10-12,New Zealand,Bangladesh,New Zealand,160
50,Soumya Sarkar,IS Sodhi,Shakib Al Hasan,4,0,4,81,127,20,13,2,2,9,-,,0,,,field,Bangladesh,2,"Hagley Oval, Christchurch",2022,10,New Zealand_Bangladesh_2022-10-12,New Zealand,Bangladesh,New Zealand,160
51,Soumya Sarkar,IS Sodhi,Shakib Al Hasan,1,0,1,82,126,21,14,2,3,9,-,,0,,,field,Bangladesh,2,"Hagley Oval, Christchurch",2022,10,New Zealand_Bangladesh_2022-10-12,New Zealand,Bangladesh,New Zealand,160
52,Shakib Al Hasan,IS Sodhi,Soumya Sarkar,1,0,1,83,125,21,10,2,4,9,-,,0,,,field,Bangladesh,2,"Hagley Oval, Christchurch",2022,10,New Zealand_Bangladesh_2022-10-12,New Zealand,Bangladesh,New Zealand,160
53,Soumya Sarkar,IS Sodhi,Shakib Al Hasan,1,0,1,84,124,22,15,2,5,9,-,,0,,,field,Bangladesh,2,"Hagley Oval, Christchurch",2022,10,New Zealand_Bangladesh_2022-10-12,New Zealand,Bangladesh,New Zealand,160
54,Shakib Al Hasan,IS Sodhi,Soumya Sarkar,2,0,2,86,122,23,11,2,6,9,-,,0,,,field,Bangladesh,2,"Hagley Oval, Christchurch",2022,10,New Zealand_Bangladesh_2022-10-12,New Zealand,Bangladesh,New Zealand,160
55,Soumya Sarkar,AF Milne,Shakib Al Hasan,1,0,1,87,121,23,16,2,1,10,-,,0,,,field,Bangladesh,2,"Hagley Oval, Christchurch",2022,10,New Zealand_Bangladesh_2022-10-12,New Zealand,Bangladesh,New Zealand,160
56,Shakib Al Hasan,AF Milne,Soumya Sarkar,0,0,0,87,121,23,12,2,2,10,-,,0,,,field,Bangladesh,2,"Hagley Oval, Christchurch",2022,10,New Zealand_Bangladesh_2022-10-12,New Zealand,Bangladesh,New Zealand,160
57,Shakib Al Hasan,AF Milne,Soumya Sarkar,2,0,2,89,119,25,13,2,3,10,-,,0,,,field,Bangladesh,2,"Hagley Oval, Christchurch",2022,10,New Zealand_Bangladesh_2022-10-12,New Zealand,Bangladesh,New Zealand,160
58,Shakib Al Hasan,AF Milne,Soumya Sarkar,0,0,0,89,119,25,14,2,4,10,-,,0,,,field,Bangladesh,2,"Hagley Oval, Christchurch",2022,10,New Zealand_Bangladesh_2022-10-12,New Zealand,Bangladesh,New Zealand,160
59,Shakib Al Hasan,AF Milne,Soumya Sarkar,1,0,1,90,118,26,15,2,5,10,-,,0,,,field,Bangladesh,2,"Hagley Oval, Christchurch",2022,10,New Zealand_Bangladesh_2022-10-12,New Zealand,Bangladesh,New Zealand,160
60,Soumya Sarkar,AF Milne,Shakib Al Hasan,0,0,0,90,118,23,17,3,6,10,-,,caught,Soumya Sarkar,TA Boult,field,Bangladesh,2,"Hagley Oval, Christchurch",2022,10,New Zealand_Bangladesh_2022-10-12,New Zealand,Bangladesh,New Zealand,160
61,Shakib Al Hasan,IS Sodhi,Afif Hossain,1,0,1,91,117,27,16,3,1,11,-,,0,,,field,Bangladesh,2,"Hagley Oval, Christchurch",2022,10,New Zealand_Bangladesh_2022-10-12,New Zealand,Bangladesh,New Zealand,160
62,Afif Hossain,IS Sodhi,Shakib Al Hasan,1,0,1,92,116,1,1,3,2,11,-,,0,,,field,Bangladesh,2,"Hagley Oval, Christchurch",2022,10,New Zealand_Bangladesh_2022-10-12,New Zealand,Bangladesh,New Zealand,160
63,Shakib Al Hasan,IS Sodhi,Afif Hossain,1,0,1,93,115,28,17,3,3,11,-,,0,,,field,Bangladesh,2,"Hagley Oval, Christchurch",2022,10,New Zealand_Bangladesh_2022-10-12,New Zealand,Bangladesh,New Zealand,160
64,Afif Hossain,IS Sodhi,Shakib Al Hasan,1,0,1,94,114,2,2,3,4,11,-,,0,,,field,Bangladesh,2,"Hagley Oval, Christchurch",2022,10,New Zealand_Bangladesh_2022-10-12,New Zealand,Bangladesh,New Zealand,160
65,Shakib Al Hasan,IS Sodhi,Afif Hossain,1,0,1,95,113,29,18,3,5,11,-,,0,,,field,Bangladesh,2,"Hagley Oval, Christchurch",2022,10,New Zealand_Bangladesh_2022-10-12,New Zealand,Bangladesh,New Zealand,160
66,Afif Hossain,IS Sodhi,Shakib Al Hasan,2,0,2,97,111,4,3,3,6,11,-,,0,,,field,Bangladesh,2,"Hagley Oval, Christchurch",2022,10,New Zealand_Bangladesh_2022-10-12,New Zealand,Bangladesh,New Zealand,160
67,Shakib Al Hasan,MG Bracewell,Afif Hossain,1,0,1,98,110,30,19,3,1,12,-,,0,,,field,Bangladesh,2,"Hagley Oval, Christchurch",2022,10,New Zealand_Bangladesh_2022-10-12,New Zealand,Bangladesh,New Zealand,160
68,Afif Hossain,MG Bracewell,Shakib Al Hasan,0,0,0,98,110,4,4,4,2,12,-,,bowled,Afif Hossain,,field,Bangladesh,2,"Hagley Oval, Christchurch",2022,10,New Zealand_Bangladesh_2022-10-12,New Zealand,Bangladesh,New Zealand,160
69,Nurul Hasan,MG Bracewell,Shakib Al Hasan,1,0,1,99,109,1,1,4,3,12,-,,0,,,field,Bangladesh,2,"Hagley Oval, Christchurch",2022,10,New Zealand_Bangladesh_2022-10-12,New Zealand,Bangladesh,New Zealand,160
70,Shakib Al Hasan,MG Bracewell,Nurul Hasan,0,0,0,99,109,30,20,4,4,12,-,,0,,,field,Bangladesh,2,"Hagley Oval, Christchurch",2022,10,New Zealand_Bangladesh_2022-10-12,New Zealand,Bangladesh,New Zealand,160
71,Shakib Al Hasan,MG Bracewell,Nurul Hasan,1,0,1,100,108,31,21,4,5,12,-,,0,,,field,Bangladesh,2,"Hagley Oval, Christchurch",2022,10,New Zealand_Bangladesh_2022-10-12,New Zealand,Bangladesh,New Zealand,160
72,Nurul Hasan,MG Bracewell,Shakib Al Hasan,0,0,0,100,108,1,2,4,6,12,-,,0,,,field,Bangladesh,2,"Hagley Oval, Christchurch",2022,10,New Zealand_Bangladesh_2022-10-12,New Zealand,Bangladesh,New Zealand,160
73,Shakib Al Hasan,IS Sodhi,Nurul Hasan,0,0,0,100,108,31,22,4,1,13,-,,0,,,field,Bangladesh,2,"Hagley Oval, Christchurch",2022,10,New Zealand_Bangladesh_2022-10-12,New Zealand,Bangladesh,New Zealand,160
74,Shakib Al Hasan,IS Sodhi,Nurul Hasan,4,0,4,104,104,35,23,4,2,13,-,,0,,,field,Bangladesh,2,"Hagley Oval, Christchurch",2022,10,New Zealand_Bangladesh_2022-10-12,New Zealand,Bangladesh,New Zealand,160
75,Shakib Al Hasan,IS Sodhi,Nurul Hasan,4,0,4,108,100,39,24,4,3,13,-,,0,,,field,Bangladesh,2,"Hagley Oval, Christchurch",2022,10,New Zealand_Bangladesh_2022-10-12,New Zealand,Bangladesh,New Zealand,160
