,batter,bowler,non_striker,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,extra_type,delivery,over,wicket_type,player_out,fielder,review,replacements,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,won,final_team_total,batter_type,non_striker_type,bowler_type
10,ADS Fletcher,KA Jamieson,BA King,0,1,1,9,,5,8,0,wides,1.0,1,0,,,,,field,New Zealand,1,Eden Park,2020,11,West Indies_New Zealand_2020-11-27,New Zealand,West Indies,New Zealand,False,180,Right hand Bat,,Right arm Fast
11,ADS Fletcher,KA Jamieson,BA King,6,0,6,15,,11,9,0,-,2.0,1,0,,,,,field,New Zealand,1,Eden Park,2020,11,West Indies_New Zealand_2020-11-27,New Zealand,West Indies,New Zealand,False,180,Right hand Bat,,Right arm Fast
12,ADS Fletcher,KA Jamieson,BA King,6,0,6,21,,17,10,0,-,3.0,1,0,,,,,field,New Zealand,1,Eden Park,2020,11,West Indies_New Zealand_2020-11-27,New Zealand,West Indies,New Zealand,False,180,Right hand Bat,,Right arm Fast
13,ADS Fletcher,KA Jamieson,BA King,1,0,1,22,,18,11,0,-,4.0,1,0,,,,,field,New Zealand,1,Eden Park,2020,11,West Indies_New Zealand_2020-11-27,New Zealand,West Indies,New Zealand,False,180,Right hand Bat,,Right arm Fast
14,BA King,KA Jamieson,ADS Fletcher,0,0,0,22,,0,4,0,-,5.0,1,0,,,,,field,New Zealand,1,Eden Park,2020,11,West Indies_New Zealand_2020-11-27,New Zealand,West Indies,New Zealand,False,180,,Right hand Bat,Right arm Fast
15,BA King,KA Jamieson,ADS Fletcher,4,0,4,26,,4,5,0,-,6.0,1,0,,,,,field,New Zealand,1,Eden Park,2020,11,West Indies_New Zealand_2020-11-27,New Zealand,West Indies,New Zealand,False,180,,Right hand Bat,Right arm Fast
16,ADS Fletcher,HK Bennett,BA King,1,0,1,27,,19,12,0,-,1.0,2,0,,,,,field,New Zealand,1,Eden Park,2020,11,West Indies_New Zealand_2020-11-27,New Zealand,West Indies,New Zealand,False,180,Right hand Bat,,Right arm Medium
17,BA King,HK Bennett,ADS Fletcher,0,5,5,32,,4,6,0,wides,1.0,2,0,,,,,field,New Zealand,1,Eden Park,2020,11,West Indies_New Zealand_2020-11-27,New Zealand,West Indies,New Zealand,False,180,,Right hand Bat,Right arm Medium
18,BA King,HK Bennett,ADS Fletcher,4,0,4,36,,8,7,0,-,2.0,2,0,,,,,field,New Zealand,1,Eden Park,2020,11,West Indies_New Zealand_2020-11-27,New Zealand,West Indies,New Zealand,False,180,,Right hand Bat,Right arm Medium
19,BA King,HK Bennett,ADS Fletcher,1,0,1,37,,9,8,0,-,3.0,2,0,,,,,field,New Zealand,1,Eden Park,2020,11,West Indies_New Zealand_2020-11-27,New Zealand,West Indies,New Zealand,False,180,,Right hand Bat,Right arm Medium
20,ADS Fletcher,HK Bennett,BA King,6,0,6,43,,25,13,0,-,4.0,2,0,,,,,field,New Zealand,1,Eden Park,2020,11,West Indies_New Zealand_2020-11-27,New Zealand,West Indies,New Zealand,False,180,Right hand Bat,,Right arm Medium
21,ADS Fletcher,HK Bennett,BA King,1,0,1,44,,26,14,0,-,5.0,2,0,,,,,field,New Zealand,1,Eden Park,2020,11,West Indies_New Zealand_2020-11-27,New Zealand,West Indies,New Zealand,False,180,Right hand Bat,,Right arm Medium
22,BA King,HK Bennett,ADS Fletcher,1,1,2,46,,10,9,0,noballs,5.0,2,0,,,,,field,New Zealand,1,Eden Park,2020,11,West Indies_New Zealand_2020-11-27,New Zealand,West Indies,New Zealand,False,180,,Right hand Bat,Right arm Medium
23,ADS Fletcher,HK Bennett,BA King,4,1,5,51,,30,15,0,noballs,5.0,2,0,,,,,field,New Zealand,1,Eden Park,2020,11,West Indies_New Zealand_2020-11-27,New Zealand,West Indies,New Zealand,False,180,Right hand Bat,,Right arm Medium
24,ADS Fletcher,HK Bennett,BA King,4,0,4,55,,34,16,0,-,6.0,2,0,,,,,field,New Zealand,1,Eden Park,2020,11,West Indies_New Zealand_2020-11-27,New Zealand,West Indies,New Zealand,False,180,Right hand Bat,,Right arm Medium
25,BA King,LH Ferguson,ADS Fletcher,3,0,3,58,,13,10,0,-,1.0,3,0,,,,,field,New Zealand,1,Eden Park,2020,11,West Indies_New Zealand_2020-11-27,New Zealand,West Indies,New Zealand,False,180,,Right hand Bat,Right arm Fast
26,ADS Fletcher,LH Ferguson,BA King,0,0,0,58,,34,17,1,-,2.0,3,bowled,ADS Fletcher,,,,field,New Zealand,1,Eden Park,2020,11,West Indies_New Zealand_2020-11-27,New Zealand,West Indies,New Zealand,False,180,Right hand Bat,,Right arm Fast
27,SO Hetmyer,LH Ferguson,BA King,0,0,0,58,,0,1,1,-,3.0,3,0,,,,,field,New Zealand,1,Eden Park,2020,11,West Indies_New Zealand_2020-11-27,New Zealand,West Indies,New Zealand,False,180,,,Right arm Fast
28,SO Hetmyer,LH Ferguson,BA King,0,0,0,58,,0,2,1,-,4.0,3,0,,,,,field,New Zealand,1,Eden Park,2020,11,West Indies_New Zealand_2020-11-27,New Zealand,West Indies,New Zealand,False,180,,,Right arm Fast
29,SO Hetmyer,LH Ferguson,BA King,0,0,0,58,,0,3,1,-,5.0,3,0,,,,,field,New Zealand,1,Eden Park,2020,11,West Indies_New Zealand_2020-11-27,New Zealand,West Indies,New Zealand,False,180,,,Right arm Fast
30,SO Hetmyer,LH Ferguson,BA King,0,0,0,58,,0,4,2,-,6.0,3,caught,SO Hetmyer,TL Seifert,,,field,New Zealand,1,Eden Park,2020,11,West Indies_New Zealand_2020-11-27,New Zealand,West Indies,New Zealand,False,180,,,Right arm Fast
31,BA King,TG Southee,N Pooran,0,0,0,58,,13,11,2,-,1.0,4,0,,,,,field,New Zealand,1,Eden Park,2020,11,West Indies_New Zealand_2020-11-27,New Zealand,West Indies,New Zealand,False,180,,Left hand Bat,Right arm Medium
32,BA King,TG Southee,N Pooran,0,0,0,58,,13,12,3,-,2.0,4,caught,BA King,JDS Neesham,,,field,New Zealand,1,Eden Park,2020,11,West Indies_New Zealand_2020-11-27,New Zealand,West Indies,New Zealand,False,180,,Left hand Bat,Right arm Medium
33,R Powell,TG Southee,N Pooran,0,0,0,58,,0,1,3,-,3.0,4,0,,,,,field,New Zealand,1,Eden Park,2020,11,West Indies_New Zealand_2020-11-27,New Zealand,West Indies,New Zealand,False,180,Right hand Bat,Left hand Bat,Right arm Medium
34,R Powell,TG Southee,N Pooran,0,0,0,58,,0,2,3,-,4.0,4,0,,,,,field,New Zealand,1,Eden Park,2020,11,West Indies_New Zealand_2020-11-27,New Zealand,West Indies,New Zealand,False,180,Right hand Bat,Left hand Bat,Right arm Medium
35,R Powell,TG Southee,N Pooran,0,0,0,58,,0,3,4,-,5.0,4,caught,R Powell,LH Ferguson,,,field,New Zealand,1,Eden Park,2020,11,West Indies_New Zealand_2020-11-27,New Zealand,West Indies,New Zealand,False,180,Right hand Bat,Left hand Bat,Right arm Medium
36,N Pooran,TG Southee,KA Pollard,1,0,1,59,,1,1,4,-,6.0,4,0,,,,,field,New Zealand,1,Eden Park,2020,11,West Indies_New Zealand_2020-11-27,New Zealand,West Indies,New Zealand,False,180,Left hand Bat,Right hand Bat,Right arm Medium
37,N Pooran,LH Ferguson,KA Pollard,0,0,0,59,,1,2,5,-,1.0,5,lbw,N Pooran,,"{'by': 'West Indies', 'umpire': 'WR Knights', 'batter': 'N Pooran', 'decision': 'struck down', 'umpires_call': True}",,field,New Zealand,1,Eden Park,2020,11,West Indies_New Zealand_2020-11-27,New Zealand,West Indies,New Zealand,False,180,Left hand Bat,Right hand Bat,Right arm Fast
38,FA Allen,LH Ferguson,KA Pollard,0,0,0,59,,0,1,5,-,2.0,5,0,,,,,field,New Zealand,1,Eden Park,2020,11,West Indies_New Zealand_2020-11-27,New Zealand,West Indies,New Zealand,False,180,Right hand Bat,Right hand Bat,Right arm Fast
39,FA Allen,LH Ferguson,KA Pollard,0,0,0,59,,0,2,5,-,3.0,5,0,,,,,field,New Zealand,1,Eden Park,2020,11,West Indies_New Zealand_2020-11-27,New Zealand,West Indies,New Zealand,False,180,Right hand Bat,Right hand Bat,Right arm Fast
40,FA Allen,LH Ferguson,KA Pollard,1,0,1,60,,1,3,5,-,4.0,5,0,,,,,field,New Zealand,1,Eden Park,2020,11,West Indies_New Zealand_2020-11-27,New Zealand,West Indies,New Zealand,False,180,Right hand Bat,Right hand Bat,Right arm Fast
41,KA Pollard,LH Ferguson,FA Allen,0,0,0,60,,0,1,5,-,5.0,5,0,,,,,field,New Zealand,1,Eden Park,2020,11,West Indies_New Zealand_2020-11-27,New Zealand,West Indies,New Zealand,False,180,Right hand Bat,Right hand Bat,Right arm Fast
42,KA Pollard,LH Ferguson,FA Allen,0,0,0,60,,0,2,5,-,6.0,5,0,,,,,field,New Zealand,1,Eden Park,2020,11,West Indies_New Zealand_2020-11-27,New Zealand,West Indies,New Zealand,False,180,Right hand Bat,Right hand Bat,Right arm Fast
43,FA Allen,TG Southee,KA Pollard,1,0,1,61,,2,4,5,-,1.0,6,0,,,,,field,New Zealand,1,Eden Park,2020,11,West Indies_New Zealand_2020-11-27,New Zealand,West Indies,New Zealand,False,180,Right hand Bat,Right hand Bat,Right arm Medium
44,KA Pollard,TG Southee,FA Allen,2,0,2,63,,2,3,5,-,2.0,6,0,,,,,field,New Zealand,1,Eden Park,2020,11,West Indies_New Zealand_2020-11-27,New Zealand,West Indies,New Zealand,False,180,Right hand Bat,Right hand Bat,Right arm Medium
45,KA Pollard,TG Southee,FA Allen,0,0,0,63,,2,4,5,-,3.0,6,0,,,,,field,New Zealand,1,Eden Park,2020,11,West Indies_New Zealand_2020-11-27,New Zealand,West Indies,New Zealand,False,180,Right hand Bat,Right hand Bat,Right arm Medium
46,KA Pollard,TG Southee,FA Allen,4,0,4,67,,6,5,5,-,4.0,6,0,,,,,field,New Zealand,1,Eden Park,2020,11,West Indies_New Zealand_2020-11-27,New Zealand,West Indies,New Zealand,False,180,Right hand Bat,Right hand Bat,Right arm Medium
47,KA Pollard,TG Southee,FA Allen,2,0,2,69,,8,6,5,-,5.0,6,0,,,,,field,New Zealand,1,Eden Park,2020,11,West Indies_New Zealand_2020-11-27,New Zealand,West Indies,New Zealand,False,180,Right hand Bat,Right hand Bat,Right arm Medium
48,KA Pollard,TG Southee,FA Allen,4,0,4,73,,12,7,5,-,6.0,6,0,,,,,field,New Zealand,1,Eden Park,2020,11,West Indies_New Zealand_2020-11-27,New Zealand,West Indies,New Zealand,False,180,Right hand Bat,Right hand Bat,Right arm Medium
49,FA Allen,LH Ferguson,KA Pollard,0,0,0,73,,2,5,5,-,1.0,7,0,,,,,field,New Zealand,1,Eden Park,2020,11,West Indies_New Zealand_2020-11-27,New Zealand,West Indies,New Zealand,False,180,Right hand Bat,Right hand Bat,Right arm Fast
50,FA Allen,LH Ferguson,KA Pollard,0,0,0,73,,2,6,5,-,2.0,7,0,,,,,field,New Zealand,1,Eden Park,2020,11,West Indies_New Zealand_2020-11-27,New Zealand,West Indies,New Zealand,False,180,Right hand Bat,Right hand Bat,Right arm Fast
51,FA Allen,LH Ferguson,KA Pollard,4,0,4,77,,6,7,5,-,3.0,7,0,,,,,field,New Zealand,1,Eden Park,2020,11,West Indies_New Zealand_2020-11-27,New Zealand,West Indies,New Zealand,False,180,Right hand Bat,Right hand Bat,Right arm Fast
52,FA Allen,LH Ferguson,KA Pollard,0,4,4,81,,6,8,5,legbyes,4.0,7,0,,,,,field,New Zealand,1,Eden Park,2020,11,West Indies_New Zealand_2020-11-27,New Zealand,West Indies,New Zealand,False,180,Right hand Bat,Right hand Bat,Right arm Fast
53,FA Allen,LH Ferguson,KA Pollard,0,0,0,81,,6,9,5,-,5.0,7,0,,,,,field,New Zealand,1,Eden Park,2020,11,West Indies_New Zealand_2020-11-27,New Zealand,West Indies,New Zealand,False,180,Right hand Bat,Right hand Bat,Right arm Fast
54,FA Allen,LH Ferguson,KA Pollard,0,0,0,81,,6,10,5,-,6.0,7,0,,,,,field,New Zealand,1,Eden Park,2020,11,West Indies_New Zealand_2020-11-27,New Zealand,West Indies,New Zealand,False,180,Right hand Bat,Right hand Bat,Right arm Fast
55,KA Pollard,HK Bennett,FA Allen,0,0,0,81,,12,8,5,-,1.0,8,0,,,"{'by': 'West Indies', 'umpire': 'CM Brown', 'batter': 'KA Pollard', 'decision': 'upheld'}",,field,New Zealand,1,Eden Park,2020,11,West Indies_New Zealand_2020-11-27,New Zealand,West Indies,New Zealand,False,180,Right hand Bat,Right hand Bat,Right arm Medium
56,KA Pollard,HK Bennett,FA Allen,6,0,6,87,,18,9,5,-,2.0,8,0,,,,,field,New Zealand,1,Eden Park,2020,11,West Indies_New Zealand_2020-11-27,New Zealand,West Indies,New Zealand,False,180,Right hand Bat,Right hand Bat,Right arm Medium
57,KA Pollard,HK Bennett,FA Allen,0,0,0,87,,18,10,5,-,3.0,8,0,,,,,field,New Zealand,1,Eden Park,2020,11,West Indies_New Zealand_2020-11-27,New Zealand,West Indies,New Zealand,False,180,Right hand Bat,Right hand Bat,Right arm Medium
58,KA Pollard,HK Bennett,FA Allen,0,2,2,89,,18,11,5,legbyes,4.0,8,0,,,,,field,New Zealand,1,Eden Park,2020,11,West Indies_New Zealand_2020-11-27,New Zealand,West Indies,New Zealand,False,180,Right hand Bat,Right hand Bat,Right arm Medium
59,KA Pollard,HK Bennett,FA Allen,1,0,1,90,,19,12,5,-,5.0,8,0,,,,,field,New Zealand,1,Eden Park,2020,11,West Indies_New Zealand_2020-11-27,New Zealand,West Indies,New Zealand,False,180,Right hand Bat,Right hand Bat,Right arm Medium
60,FA Allen,HK Bennett,KA Pollard,0,0,0,90,,6,11,5,-,6.0,8,0,,,,,field,New Zealand,1,Eden Park,2020,11,West Indies_New Zealand_2020-11-27,New Zealand,West Indies,New Zealand,False,180,Right hand Bat,Right hand Bat,Right arm Medium
61,KA Pollard,KA Jamieson,FA Allen,0,1,1,91,,19,13,5,wides,0.0,9,0,,,,,field,New Zealand,1,Eden Park,2020,11,West Indies_New Zealand_2020-11-27,New Zealand,West Indies,New Zealand,False,180,Right hand Bat,Right hand Bat,Right arm Fast
62,KA Pollard,KA Jamieson,FA Allen,1,0,1,92,,20,14,5,-,1.0,9,0,,,,,field,New Zealand,1,Eden Park,2020,11,West Indies_New Zealand_2020-11-27,New Zealand,West Indies,New Zealand,False,180,Right hand Bat,Right hand Bat,Right arm Fast
63,FA Allen,KA Jamieson,KA Pollard,0,1,1,93,,6,12,5,wides,1.0,9,0,,,,,field,New Zealand,1,Eden Park,2020,11,West Indies_New Zealand_2020-11-27,New Zealand,West Indies,New Zealand,False,180,Right hand Bat,Right hand Bat,Right arm Fast
64,FA Allen,KA Jamieson,KA Pollard,1,0,1,94,,7,13,5,-,2.0,9,0,,,,,field,New Zealand,1,Eden Park,2020,11,West Indies_New Zealand_2020-11-27,New Zealand,West Indies,New Zealand,False,180,Right hand Bat,Right hand Bat,Right arm Fast
65,KA Pollard,KA Jamieson,FA Allen,0,0,0,94,,20,15,5,-,3.0,9,0,,,,,field,New Zealand,1,Eden Park,2020,11,West Indies_New Zealand_2020-11-27,New Zealand,West Indies,New Zealand,False,180,Right hand Bat,Right hand Bat,Right arm Fast
66,KA Pollard,KA Jamieson,FA Allen,1,0,1,95,,21,16,5,-,4.0,9,0,,,,,field,New Zealand,1,Eden Park,2020,11,West Indies_New Zealand_2020-11-27,New Zealand,West Indies,New Zealand,False,180,Right hand Bat,Right hand Bat,Right arm Fast
67,FA Allen,KA Jamieson,KA Pollard,1,0,1,96,,8,14,5,-,5.0,9,0,,,,,field,New Zealand,1,Eden Park,2020,11,West Indies_New Zealand_2020-11-27,New Zealand,West Indies,New Zealand,False,180,Right hand Bat,Right hand Bat,Right arm Fast
68,KA Pollard,KA Jamieson,FA Allen,0,0,0,96,,21,17,5,-,6.0,9,0,,,,,field,New Zealand,1,Eden Park,2020,11,West Indies_New Zealand_2020-11-27,New Zealand,West Indies,New Zealand,False,180,Right hand Bat,Right hand Bat,Right arm Fast
69,FA Allen,MJ Santner,KA Pollard,1,0,1,97,,9,15,5,-,1.0,10,0,,,,,field,New Zealand,1,Eden Park,2020,11,West Indies_New Zealand_2020-11-27,New Zealand,West Indies,New Zealand,False,180,Right hand Bat,Right hand Bat,Left arm Orthodox
70,KA Pollard,MJ Santner,FA Allen,1,0,1,98,,22,18,5,-,2.0,10,0,,,,,field,New Zealand,1,Eden Park,2020,11,West Indies_New Zealand_2020-11-27,New Zealand,West Indies,New Zealand,False,180,Right hand Bat,Right hand Bat,Left arm Orthodox
71,FA Allen,MJ Santner,KA Pollard,2,0,2,100,,11,16,5,-,3.0,10,0,,,,,field,New Zealand,1,Eden Park,2020,11,West Indies_New Zealand_2020-11-27,New Zealand,West Indies,New Zealand,False,180,Right hand Bat,Right hand Bat,Left arm Orthodox
72,FA Allen,MJ Santner,KA Pollard,0,0,0,100,,11,17,5,-,4.0,10,0,,,,,field,New Zealand,1,Eden Park,2020,11,West Indies_New Zealand_2020-11-27,New Zealand,West Indies,New Zealand,False,180,Right hand Bat,Right hand Bat,Left arm Orthodox
73,FA Allen,MJ Santner,KA Pollard,4,0,4,104,,15,18,5,-,5.0,10,0,,,,,field,New Zealand,1,Eden Park,2020,11,West Indies_New Zealand_2020-11-27,New Zealand,West Indies,New Zealand,False,180,Right hand Bat,Right hand Bat,Left arm Orthodox
74,FA Allen,MJ Santner,KA Pollard,4,0,4,108,,19,19,5,-,6.0,10,0,,,,,field,New Zealand,1,Eden Park,2020,11,West Indies_New Zealand_2020-11-27,New Zealand,West Indies,New Zealand,False,180,Right hand Bat,Right hand Bat,Left arm Orthodox
75,KA Pollard,JDS Neesham,FA Allen,6,0,6,114,,28,19,5,-,1.0,11,0,,,,,field,New Zealand,1,Eden Park,2020,11,West Indies_New Zealand_2020-11-27,New Zealand,West Indies,New Zealand,False,180,Right hand Bat,Right hand Bat,Right arm Medium
76,KA Pollard,JDS Neesham,FA Allen,6,0,6,120,,34,20,5,-,2.0,11,0,,,,,field,New Zealand,1,Eden Park,2020,11,West Indies_New Zealand_2020-11-27,New Zealand,West Indies,New Zealand,False,180,Right hand Bat,Right hand Bat,Right arm Medium
77,KA Pollard,JDS Neesham,FA Allen,4,0,4,124,,38,21,5,-,3.0,11,0,,,,,field,New Zealand,1,Eden Park,2020,11,West Indies_New Zealand_2020-11-27,New Zealand,West Indies,New Zealand,False,180,Right hand Bat,Right hand Bat,Right arm Medium
78,KA Pollard,JDS Neesham,FA Allen,6,0,6,130,,44,22,5,-,4.0,11,0,,,,,field,New Zealand,1,Eden Park,2020,11,West Indies_New Zealand_2020-11-27,New Zealand,West Indies,New Zealand,False,180,Right hand Bat,Right hand Bat,Right arm Medium
79,KA Pollard,JDS Neesham,FA Allen,0,0,0,130,,44,23,5,-,5.0,11,0,,,,,field,New Zealand,1,Eden Park,2020,11,West Indies_New Zealand_2020-11-27,New Zealand,West Indies,New Zealand,False,180,Right hand Bat,Right hand Bat,Right arm Medium
80,KA Pollard,JDS Neesham,FA Allen,1,0,1,131,,45,24,5,-,6.0,11,0,,,,,field,New Zealand,1,Eden Park,2020,11,West Indies_New Zealand_2020-11-27,New Zealand,West Indies,New Zealand,False,180,Right hand Bat,Right hand Bat,Right arm Medium
81,KA Pollard,KA Jamieson,FA Allen,1,0,1,132,,46,25,5,-,1.0,12,0,,,,,field,New Zealand,1,Eden Park,2020,11,West Indies_New Zealand_2020-11-27,New Zealand,West Indies,New Zealand,False,180,Right hand Bat,Right hand Bat,Right arm Fast
82,FA Allen,KA Jamieson,KA Pollard,0,0,0,132,,19,20,5,-,2.0,12,0,,,,,field,New Zealand,1,Eden Park,2020,11,West Indies_New Zealand_2020-11-27,New Zealand,West Indies,New Zealand,False,180,Right hand Bat,Right hand Bat,Right arm Fast
83,FA Allen,KA Jamieson,KA Pollard,0,0,0,132,,19,21,5,-,3.0,12,0,,,,,field,New Zealand,1,Eden Park,2020,11,West Indies_New Zealand_2020-11-27,New Zealand,West Indies,New Zealand,False,180,Right hand Bat,Right hand Bat,Right arm Fast
84,FA Allen,KA Jamieson,KA Pollard,0,0,0,132,,19,22,5,-,4.0,12,0,,,,,field,New Zealand,1,Eden Park,2020,11,West Indies_New Zealand_2020-11-27,New Zealand,West Indies,New Zealand,False,180,Right hand Bat,Right hand Bat,Right arm Fast
85,FA Allen,KA Jamieson,KA Pollard,0,0,0,132,,19,23,5,-,5.0,12,0,,,,,field,New Zealand,1,Eden Park,2020,11,West Indies_New Zealand_2020-11-27,New Zealand,West Indies,New Zealand,False,180,Right hand Bat,Right hand Bat,Right arm Fast
86,FA Allen,KA Jamieson,KA Pollard,1,0,1,133,,20,24,5,-,6.0,12,0,,,,,field,New Zealand,1,Eden Park,2020,11,West Indies_New Zealand_2020-11-27,New Zealand,West Indies,New Zealand,False,180,Right hand Bat,Right hand Bat,Right arm Fast
87,FA Allen,LH Ferguson,KA Pollard,6,0,6,139,,26,25,5,-,1.0,13,0,,,,,field,New Zealand,1,Eden Park,2020,11,West Indies_New Zealand_2020-11-27,New Zealand,West Indies,New Zealand,False,180,Right hand Bat,Right hand Bat,Right arm Fast
88,FA Allen,LH Ferguson,KA Pollard,4,0,4,143,,30,26,5,-,2.0,13,0,,,,,field,New Zealand,1,Eden Park,2020,11,West Indies_New Zealand_2020-11-27,New Zealand,West Indies,New Zealand,False,180,Right hand Bat,Right hand Bat,Right arm Fast
89,FA Allen,LH Ferguson,KA Pollard,0,0,0,143,,30,27,6,-,3.0,13,caught,FA Allen,TL Seifert,,,field,New Zealand,1,Eden Park,2020,11,West Indies_New Zealand_2020-11-27,New Zealand,West Indies,New Zealand,False,180,Right hand Bat,Right hand Bat,Right arm Fast
90,KMA Paul,LH Ferguson,KA Pollard,0,0,0,143,,0,1,6,-,4.0,13,0,,,,,field,New Zealand,1,Eden Park,2020,11,West Indies_New Zealand_2020-11-27,New Zealand,West Indies,New Zealand,False,180,Right hand Bat,Right hand Bat,Right arm Fast
91,KMA Paul,LH Ferguson,KA Pollard,0,3,3,146,,0,2,6,wides,4.0,13,0,,,,,field,New Zealand,1,Eden Park,2020,11,West Indies_New Zealand_2020-11-27,New Zealand,West Indies,New Zealand,False,180,Right hand Bat,Right hand Bat,Right arm Fast
92,KMA Paul,LH Ferguson,KA Pollard,0,0,0,146,,0,3,7,-,5.0,13,caught,KMA Paul,TL Seifert,,,field,New Zealand,1,Eden Park,2020,11,West Indies_New Zealand_2020-11-27,New Zealand,West Indies,New Zealand,False,180,Right hand Bat,Right hand Bat,Right arm Fast
93,SS Cottrell,LH Ferguson,KA Pollard,0,0,0,146,,0,1,7,-,6.0,13,0,,,,,field,New Zealand,1,Eden Park,2020,11,West Indies_New Zealand_2020-11-27,New Zealand,West Indies,New Zealand,False,180,Right hand Bat,Right hand Bat,Right arm Fast
94,KA Pollard,MJ Santner,SS Cottrell,0,0,0,146,,46,26,7,-,1.0,14,0,,,,,field,New Zealand,1,Eden Park,2020,11,West Indies_New Zealand_2020-11-27,New Zealand,West Indies,New Zealand,False,180,Right hand Bat,Right hand Bat,Left arm Orthodox
95,KA Pollard,MJ Santner,SS Cottrell,0,0,0,146,,46,27,7,-,2.0,14,0,,,,,field,New Zealand,1,Eden Park,2020,11,West Indies_New Zealand_2020-11-27,New Zealand,West Indies,New Zealand,False,180,Right hand Bat,Right hand Bat,Left arm Orthodox
96,KA Pollard,MJ Santner,SS Cottrell,0,0,0,146,,46,28,7,-,3.0,14,0,,,,,field,New Zealand,1,Eden Park,2020,11,West Indies_New Zealand_2020-11-27,New Zealand,West Indies,New Zealand,False,180,Right hand Bat,Right hand Bat,Left arm Orthodox
97,KA Pollard,MJ Santner,SS Cottrell,0,1,1,147,,46,29,7,noballs,3.0,14,0,,,,,field,New Zealand,1,Eden Park,2020,11,West Indies_New Zealand_2020-11-27,New Zealand,West Indies,New Zealand,False,180,Right hand Bat,Right hand Bat,Left arm Orthodox
98,KA Pollard,MJ Santner,SS Cottrell,0,0,0,147,,46,30,7,-,4.0,14,0,,,,,field,New Zealand,1,Eden Park,2020,11,West Indies_New Zealand_2020-11-27,New Zealand,West Indies,New Zealand,False,180,Right hand Bat,Right hand Bat,Left arm Orthodox
99,KA Pollard,MJ Santner,SS Cottrell,4,0,4,151,,50,31,7,-,5.0,14,0,,,,,field,New Zealand,1,Eden Park,2020,11,West Indies_New Zealand_2020-11-27,New Zealand,West Indies,New Zealand,False,180,Right hand Bat,Right hand Bat,Left arm Orthodox
100,KA Pollard,MJ Santner,SS Cottrell,6,0,6,157,,56,32,7,-,6.0,14,0,,,,,field,New Zealand,1,Eden Park,2020,11,West Indies_New Zealand_2020-11-27,New Zealand,West Indies,New Zealand,False,180,Right hand Bat,Right hand Bat,Left arm Orthodox
