,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,batter_runs,balls_faced,delivery,wicket_type,player_out,fielder,over,extra_type,review,toss_decision,toss_winner,innings,venue,date,batting_team,bowling_team
73,MD Shanaka,KW Richardson,PWH de Silva,2,0,2,59,9,8,1,0,,,13,-,,field,Sri Lanka,2,Adelaide Oval,2019-10-27,Sri Lanka,Australia
74,MD Shanaka,KW Richardson,PWH de Silva,0,0,0,59,9,9,2,0,,,13,-,,field,Sri Lanka,2,Adelaide Oval,2019-10-27,Sri Lanka,Australia
75,MD Shanaka,KW Richardson,PWH de Silva,0,0,0,59,9,10,3,0,,,13,-,,field,Sri Lanka,2,Adelaide Oval,2019-10-27,Sri Lanka,Australia
76,MD Shanaka,KW Richardson,PWH de Silva,6,1,7,66,15,11,4,0,,,13,noballs,,field,Sri Lanka,2,Adelaide Oval,2019-10-27,Sri Lanka,Australia
77,MD Shanaka,KW Richardson,PWH de Silva,0,0,0,66,15,12,5,0,,,13,-,,field,Sri Lanka,2,Adelaide Oval,2019-10-27,Sri Lanka,Australia
78,MD Shanaka,KW Richardson,PWH de Silva,0,0,0,66,15,13,6,0,,,13,-,,field,Sri Lanka,2,Adelaide Oval,2019-10-27,Sri Lanka,Australia
79,MD Shanaka,KW Richardson,PWH de Silva,0,0,0,66,15,14,7,0,,,13,-,,field,Sri Lanka,2,Adelaide Oval,2019-10-27,Sri Lanka,Australia
80,PWH de Silva,AC Agar,MD Shanaka,1,0,1,67,3,7,1,0,,,14,-,,field,Sri Lanka,2,Adelaide Oval,2019-10-27,Sri Lanka,Australia
81,MD Shanaka,AC Agar,PWH de Silva,1,0,1,68,16,15,2,0,,,14,-,,field,Sri Lanka,2,Adelaide Oval,2019-10-27,Sri Lanka,Australia
82,PWH de Silva,AC Agar,MD Shanaka,1,0,1,69,4,8,3,0,,,14,-,,field,Sri Lanka,2,Adelaide Oval,2019-10-27,Sri Lanka,Australia
83,MD Shanaka,AC Agar,PWH de Silva,1,0,1,70,17,16,4,0,,,14,-,,field,Sri Lanka,2,Adelaide Oval,2019-10-27,Sri Lanka,Australia
84,PWH de Silva,AC Agar,MD Shanaka,0,0,0,70,4,9,5,0,,,14,-,,field,Sri Lanka,2,Adelaide Oval,2019-10-27,Sri Lanka,Australia
85,PWH de Silva,AC Agar,MD Shanaka,1,0,1,71,5,10,6,run out,PWH de Silva,,14,-,,field,Sri Lanka,2,Adelaide Oval,2019-10-27,Sri Lanka,Australia
86,MD Shanaka,A Zampa,PADLR Sandakan,0,0,0,71,17,17,1,0,,,15,-,,field,Sri Lanka,2,Adelaide Oval,2019-10-27,Sri Lanka,Australia
87,MD Shanaka,A Zampa,PADLR Sandakan,0,0,0,71,17,18,2,caught,MD Shanaka,KW Richardson,15,-,,field,Sri Lanka,2,Adelaide Oval,2019-10-27,Sri Lanka,Australia
88,SL Malinga,A Zampa,PADLR Sandakan,0,1,1,72,0,1,3,0,,,15,legbyes,,field,Sri Lanka,2,Adelaide Oval,2019-10-27,Sri Lanka,Australia
89,PADLR Sandakan,A Zampa,SL Malinga,0,0,0,72,0,1,4,0,,,15,-,,field,Sri Lanka,2,Adelaide Oval,2019-10-27,Sri Lanka,Australia
90,PADLR Sandakan,A Zampa,SL Malinga,1,0,1,73,1,2,5,0,,,15,-,,field,Sri Lanka,2,Adelaide Oval,2019-10-27,Sri Lanka,Australia
91,SL Malinga,A Zampa,PADLR Sandakan,1,0,1,74,1,2,6,0,,,15,-,,field,Sri Lanka,2,Adelaide Oval,2019-10-27,Sri Lanka,Australia
92,SL Malinga,PJ Cummins,PADLR Sandakan,1,0,1,75,2,3,1,0,,,16,-,,field,Sri Lanka,2,Adelaide Oval,2019-10-27,Sri Lanka,Australia
93,PADLR Sandakan,PJ Cummins,SL Malinga,4,0,4,79,5,3,2,0,,,16,-,,field,Sri Lanka,2,Adelaide Oval,2019-10-27,Sri Lanka,Australia
94,PADLR Sandakan,PJ Cummins,SL Malinga,1,0,1,80,6,4,3,0,,,16,-,,field,Sri Lanka,2,Adelaide Oval,2019-10-27,Sri Lanka,Australia
95,SL Malinga,PJ Cummins,PADLR Sandakan,1,0,1,81,3,4,4,0,,,16,-,,field,Sri Lanka,2,Adelaide Oval,2019-10-27,Sri Lanka,Australia
96,PADLR Sandakan,PJ Cummins,SL Malinga,0,0,0,81,6,5,5,0,,,16,-,,field,Sri Lanka,2,Adelaide Oval,2019-10-27,Sri Lanka,Australia
97,PADLR Sandakan,PJ Cummins,SL Malinga,0,0,0,81,6,6,6,0,,,16,-,,field,Sri Lanka,2,Adelaide Oval,2019-10-27,Sri Lanka,Australia
98,SL Malinga,A Zampa,PADLR Sandakan,0,0,0,81,3,5,1,0,,,17,-,,field,Sri Lanka,2,Adelaide Oval,2019-10-27,Sri Lanka,Australia
99,SL Malinga,A Zampa,PADLR Sandakan,1,0,1,82,4,6,2,0,,,17,-,,field,Sri Lanka,2,Adelaide Oval,2019-10-27,Sri Lanka,Australia
100,PADLR Sandakan,A Zampa,SL Malinga,0,0,0,82,6,7,3,caught,PADLR Sandakan,AC Agar,17,-,,field,Sri Lanka,2,Adelaide Oval,2019-10-27,Sri Lanka,Australia
101,SL Malinga,A Zampa,CAK Rajitha,1,0,1,83,5,7,4,0,,,17,-,,field,Sri Lanka,2,Adelaide Oval,2019-10-27,Sri Lanka,Australia
102,CAK Rajitha,A Zampa,SL Malinga,0,0,0,83,0,1,5,0,,,17,-,"{'by': 'Sri Lanka', 'umpire': 'P Wilson', 'batter': 'CAK Rajitha', 'decision': 'upheld'}",field,Sri Lanka,2,Adelaide Oval,2019-10-27,Sri Lanka,Australia
103,CAK Rajitha,A Zampa,SL Malinga,0,0,0,83,0,2,6,stumped,CAK Rajitha,AT Carey,17,-,,field,Sri Lanka,2,Adelaide Oval,2019-10-27,Sri Lanka,Australia
104,SL Malinga,MA Starc,N Pradeep,1,0,1,84,6,8,1,0,,,18,-,,field,Sri Lanka,2,Adelaide Oval,2019-10-27,Sri Lanka,Australia
105,N Pradeep,MA Starc,SL Malinga,2,0,2,86,2,1,2,0,,,18,-,,field,Sri Lanka,2,Adelaide Oval,2019-10-27,Sri Lanka,Australia
106,N Pradeep,MA Starc,SL Malinga,0,0,0,86,2,2,3,0,,,18,-,,field,Sri Lanka,2,Adelaide Oval,2019-10-27,Sri Lanka,Australia
107,N Pradeep,MA Starc,SL Malinga,1,0,1,87,3,3,4,0,,,18,-,,field,Sri Lanka,2,Adelaide Oval,2019-10-27,Sri Lanka,Australia
108,SL Malinga,MA Starc,N Pradeep,0,0,0,87,6,9,5,0,,,18,-,,field,Sri Lanka,2,Adelaide Oval,2019-10-27,Sri Lanka,Australia
109,SL Malinga,MA Starc,N Pradeep,0,0,0,87,6,10,6,0,,,18,-,,field,Sri Lanka,2,Adelaide Oval,2019-10-27,Sri Lanka,Australia
110,N Pradeep,KW Richardson,SL Malinga,0,0,0,87,3,4,1,0,,,19,-,,field,Sri Lanka,2,Adelaide Oval,2019-10-27,Sri Lanka,Australia
111,N Pradeep,KW Richardson,SL Malinga,4,0,4,91,7,5,2,0,,,19,-,,field,Sri Lanka,2,Adelaide Oval,2019-10-27,Sri Lanka,Australia
112,N Pradeep,KW Richardson,SL Malinga,1,0,1,92,8,6,3,0,,,19,-,,field,Sri Lanka,2,Adelaide Oval,2019-10-27,Sri Lanka,Australia
113,SL Malinga,KW Richardson,N Pradeep,0,0,0,92,6,11,4,0,,,19,-,,field,Sri Lanka,2,Adelaide Oval,2019-10-27,Sri Lanka,Australia
114,SL Malinga,KW Richardson,N Pradeep,0,0,0,92,6,12,5,0,,,19,-,,field,Sri Lanka,2,Adelaide Oval,2019-10-27,Sri Lanka,Australia
115,SL Malinga,KW Richardson,N Pradeep,1,0,1,93,7,13,6,0,,,19,-,,field,Sri Lanka,2,Adelaide Oval,2019-10-27,Sri Lanka,Australia
116,SL Malinga,PJ Cummins,N Pradeep,0,0,0,93,7,14,1,0,,,20,-,,field,Sri Lanka,2,Adelaide Oval,2019-10-27,Sri Lanka,Australia
117,SL Malinga,PJ Cummins,N Pradeep,0,0,0,93,7,15,2,0,,,20,-,,field,Sri Lanka,2,Adelaide Oval,2019-10-27,Sri Lanka,Australia
118,SL Malinga,PJ Cummins,N Pradeep,0,0,0,93,7,16,3,0,,,20,-,,field,Sri Lanka,2,Adelaide Oval,2019-10-27,Sri Lanka,Australia
119,SL Malinga,PJ Cummins,N Pradeep,4,0,4,97,11,17,4,0,,,20,-,,field,Sri Lanka,2,Adelaide Oval,2019-10-27,Sri Lanka,Australia
120,SL Malinga,PJ Cummins,N Pradeep,0,0,0,97,11,18,5,0,,,20,-,,field,Sri Lanka,2,Adelaide Oval,2019-10-27,Sri Lanka,Australia
121,SL Malinga,PJ Cummins,N Pradeep,2,0,2,99,13,19,6,0,,,20,-,,field,Sri Lanka,2,Adelaide Oval,2019-10-27,Sri Lanka,Australia
