,batter,bowler,non_striker,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,over,review,wicket_type,player_out,fielder,extra_type,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,final_team_final
15,Hazratullah,Nasum Ahmed,Usman Ghani,4,0,4,13,102,9,9,1,4,3,,0,,,-,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2022,03,Bangladesh_Afghanistan_2022-03-05,Afghanistan,Afghanistan,Bangladesh,121
16,Hazratullah,Nasum Ahmed,Usman Ghani,1,0,1,14,101,10,10,1,5,3,,0,,,-,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2022,03,Bangladesh_Afghanistan_2022-03-05,Afghanistan,Afghanistan,Bangladesh,121
17,Usman Ghani,Nasum Ahmed,Hazratullah,2,0,2,16,99,3,3,1,6,3,,0,,,-,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2022,03,Bangladesh_Afghanistan_2022-03-05,Afghanistan,Afghanistan,Bangladesh,121
18,Hazratullah,Mahedi Hasan,Usman Ghani,0,0,0,16,99,10,11,1,1,4,,0,,,-,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2022,03,Bangladesh_Afghanistan_2022-03-05,Afghanistan,Afghanistan,Bangladesh,121
19,Hazratullah,Mahedi Hasan,Usman Ghani,0,0,0,16,99,10,12,1,2,4,,0,,,-,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2022,03,Bangladesh_Afghanistan_2022-03-05,Afghanistan,Afghanistan,Bangladesh,121
20,Hazratullah,Mahedi Hasan,Usman Ghani,1,0,1,17,98,11,13,1,3,4,,0,,,-,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2022,03,Bangladesh_Afghanistan_2022-03-05,Afghanistan,Afghanistan,Bangladesh,121
21,Usman Ghani,Mahedi Hasan,Hazratullah,0,0,0,17,98,3,4,1,4,4,,0,,,-,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2022,03,Bangladesh_Afghanistan_2022-03-05,Afghanistan,Afghanistan,Bangladesh,121
22,Usman Ghani,Mahedi Hasan,Hazratullah,0,0,0,17,98,3,5,1,5,4,,0,,,-,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2022,03,Bangladesh_Afghanistan_2022-03-05,Afghanistan,Afghanistan,Bangladesh,121
23,Usman Ghani,Mahedi Hasan,Hazratullah,1,0,1,18,97,4,6,1,6,4,,0,,,-,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2022,03,Bangladesh_Afghanistan_2022-03-05,Afghanistan,Afghanistan,Bangladesh,121
24,Usman Ghani,Nasum Ahmed,Hazratullah,6,0,6,24,91,10,7,1,1,5,,0,,,-,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2022,03,Bangladesh_Afghanistan_2022-03-05,Afghanistan,Afghanistan,Bangladesh,121
25,Usman Ghani,Nasum Ahmed,Hazratullah,4,0,4,28,87,14,8,1,2,5,,0,,,-,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2022,03,Bangladesh_Afghanistan_2022-03-05,Afghanistan,Afghanistan,Bangladesh,121
26,Usman Ghani,Nasum Ahmed,Hazratullah,0,0,0,28,87,14,9,1,3,5,,0,,,-,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2022,03,Bangladesh_Afghanistan_2022-03-05,Afghanistan,Afghanistan,Bangladesh,121
27,Usman Ghani,Nasum Ahmed,Hazratullah,0,0,0,28,87,14,10,1,4,5,"{'by': 'Bangladesh', 'umpire': 'Masudur Rahman', 'batter': 'Usman Ghani', 'decision': 'struck down', 'umpires_call': True}",0,,,-,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2022,03,Bangladesh_Afghanistan_2022-03-05,Afghanistan,Afghanistan,Bangladesh,121
28,Usman Ghani,Nasum Ahmed,Hazratullah,0,0,0,28,87,14,11,1,5,5,,0,,,-,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2022,03,Bangladesh_Afghanistan_2022-03-05,Afghanistan,Afghanistan,Bangladesh,121
29,Usman Ghani,Nasum Ahmed,Hazratullah,1,0,1,29,86,15,12,1,6,5,,0,,,-,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2022,03,Bangladesh_Afghanistan_2022-03-05,Afghanistan,Afghanistan,Bangladesh,121
30,Usman Ghani,Shoriful Islam,Hazratullah,0,0,0,29,86,15,13,1,1,6,,0,,,-,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2022,03,Bangladesh_Afghanistan_2022-03-05,Afghanistan,Afghanistan,Bangladesh,121
31,Usman Ghani,Shoriful Islam,Hazratullah,1,0,1,30,85,16,14,1,2,6,,0,,,-,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2022,03,Bangladesh_Afghanistan_2022-03-05,Afghanistan,Afghanistan,Bangladesh,121
32,Hazratullah,Shoriful Islam,Usman Ghani,0,0,0,30,85,11,14,1,3,6,,0,,,-,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2022,03,Bangladesh_Afghanistan_2022-03-05,Afghanistan,Afghanistan,Bangladesh,121
33,Hazratullah,Shoriful Islam,Usman Ghani,0,0,0,30,85,11,15,1,4,6,,0,,,-,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2022,03,Bangladesh_Afghanistan_2022-03-05,Afghanistan,Afghanistan,Bangladesh,121
34,Hazratullah,Shoriful Islam,Usman Ghani,4,0,4,34,81,15,16,1,5,6,,0,,,-,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2022,03,Bangladesh_Afghanistan_2022-03-05,Afghanistan,Afghanistan,Bangladesh,121
35,Hazratullah,Shoriful Islam,Usman Ghani,0,0,0,34,81,15,17,1,6,6,,0,,,-,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2022,03,Bangladesh_Afghanistan_2022-03-05,Afghanistan,Afghanistan,Bangladesh,121
36,Usman Ghani,Shakib Al Hasan,Hazratullah,0,0,0,34,81,16,15,1,1,7,,0,,,-,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2022,03,Bangladesh_Afghanistan_2022-03-05,Afghanistan,Afghanistan,Bangladesh,121
37,Usman Ghani,Shakib Al Hasan,Hazratullah,0,0,0,34,81,16,16,1,2,7,,0,,,-,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2022,03,Bangladesh_Afghanistan_2022-03-05,Afghanistan,Afghanistan,Bangladesh,121
38,Usman Ghani,Shakib Al Hasan,Hazratullah,0,0,0,34,81,16,17,1,3,7,,0,,,-,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2022,03,Bangladesh_Afghanistan_2022-03-05,Afghanistan,Afghanistan,Bangladesh,121
39,Usman Ghani,Shakib Al Hasan,Hazratullah,0,0,0,34,81,16,18,1,4,7,,0,,,-,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2022,03,Bangladesh_Afghanistan_2022-03-05,Afghanistan,Afghanistan,Bangladesh,121
40,Usman Ghani,Shakib Al Hasan,Hazratullah,1,0,1,35,80,17,19,1,5,7,,0,,,-,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2022,03,Bangladesh_Afghanistan_2022-03-05,Afghanistan,Afghanistan,Bangladesh,121
41,Hazratullah,Shakib Al Hasan,Usman Ghani,0,0,0,35,80,15,18,1,6,7,,0,,,-,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2022,03,Bangladesh_Afghanistan_2022-03-05,Afghanistan,Afghanistan,Bangladesh,121
42,Usman Ghani,Mustafizur Rahman,Hazratullah,1,0,1,36,79,18,20,1,1,8,,0,,,-,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2022,03,Bangladesh_Afghanistan_2022-03-05,Afghanistan,Afghanistan,Bangladesh,121
43,Hazratullah,Mustafizur Rahman,Usman Ghani,1,0,1,37,78,16,19,1,2,8,,0,,,-,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2022,03,Bangladesh_Afghanistan_2022-03-05,Afghanistan,Afghanistan,Bangladesh,121
44,Usman Ghani,Mustafizur Rahman,Hazratullah,1,0,1,38,77,19,21,1,3,8,,0,,,-,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2022,03,Bangladesh_Afghanistan_2022-03-05,Afghanistan,Afghanistan,Bangladesh,121
45,Hazratullah,Mustafizur Rahman,Usman Ghani,1,0,1,39,76,17,20,1,4,8,,0,,,-,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2022,03,Bangladesh_Afghanistan_2022-03-05,Afghanistan,Afghanistan,Bangladesh,121
46,Usman Ghani,Mustafizur Rahman,Hazratullah,0,0,0,39,76,19,22,1,5,8,,0,,,-,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2022,03,Bangladesh_Afghanistan_2022-03-05,Afghanistan,Afghanistan,Bangladesh,121
47,Usman Ghani,Mustafizur Rahman,Hazratullah,1,0,1,40,75,20,23,1,6,8,,0,,,-,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2022,03,Bangladesh_Afghanistan_2022-03-05,Afghanistan,Afghanistan,Bangladesh,121
48,Usman Ghani,Shakib Al Hasan,Hazratullah,1,0,1,41,74,21,24,1,1,9,,0,,,-,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2022,03,Bangladesh_Afghanistan_2022-03-05,Afghanistan,Afghanistan,Bangladesh,121
49,Hazratullah,Shakib Al Hasan,Usman Ghani,1,0,1,42,73,18,21,1,2,9,,0,,,-,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2022,03,Bangladesh_Afghanistan_2022-03-05,Afghanistan,Afghanistan,Bangladesh,121
50,Usman Ghani,Shakib Al Hasan,Hazratullah,2,0,2,44,71,23,25,1,3,9,,0,,,-,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2022,03,Bangladesh_Afghanistan_2022-03-05,Afghanistan,Afghanistan,Bangladesh,121
51,Usman Ghani,Shakib Al Hasan,Hazratullah,1,0,1,45,70,24,26,1,4,9,,0,,,-,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2022,03,Bangladesh_Afghanistan_2022-03-05,Afghanistan,Afghanistan,Bangladesh,121
52,Hazratullah,Shakib Al Hasan,Usman Ghani,6,0,6,51,64,24,22,1,5,9,,0,,,-,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2022,03,Bangladesh_Afghanistan_2022-03-05,Afghanistan,Afghanistan,Bangladesh,121
53,Hazratullah,Shakib Al Hasan,Usman Ghani,6,0,6,57,58,30,23,1,6,9,,0,,,-,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2022,03,Bangladesh_Afghanistan_2022-03-05,Afghanistan,Afghanistan,Bangladesh,121
54,Usman Ghani,Shoriful Islam,Hazratullah,0,0,0,57,58,24,27,1,1,10,,0,,,-,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2022,03,Bangladesh_Afghanistan_2022-03-05,Afghanistan,Afghanistan,Bangladesh,121
55,Usman Ghani,Shoriful Islam,Hazratullah,0,1,1,58,57,24,28,1,2,10,,0,,,wides,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2022,03,Bangladesh_Afghanistan_2022-03-05,Afghanistan,Afghanistan,Bangladesh,121
56,Usman Ghani,Shoriful Islam,Hazratullah,1,0,1,59,56,25,29,1,3,10,,0,,,-,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2022,03,Bangladesh_Afghanistan_2022-03-05,Afghanistan,Afghanistan,Bangladesh,121
57,Hazratullah,Shoriful Islam,Usman Ghani,1,0,1,60,55,31,24,1,4,10,,0,,,-,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2022,03,Bangladesh_Afghanistan_2022-03-05,Afghanistan,Afghanistan,Bangladesh,121
58,Usman Ghani,Shoriful Islam,Hazratullah,4,0,4,64,51,29,30,1,5,10,,0,,,-,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2022,03,Bangladesh_Afghanistan_2022-03-05,Afghanistan,Afghanistan,Bangladesh,121
59,Usman Ghani,Shoriful Islam,Hazratullah,4,0,4,68,47,33,31,1,6,10,,0,,,-,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2022,03,Bangladesh_Afghanistan_2022-03-05,Afghanistan,Afghanistan,Bangladesh,121
60,Usman Ghani,Shoriful Islam,Hazratullah,0,0,0,68,47,33,32,1,7,10,,0,,,-,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2022,03,Bangladesh_Afghanistan_2022-03-05,Afghanistan,Afghanistan,Bangladesh,121
61,Hazratullah,Mustafizur Rahman,Usman Ghani,1,0,1,69,46,32,25,1,1,11,,0,,,-,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2022,03,Bangladesh_Afghanistan_2022-03-05,Afghanistan,Afghanistan,Bangladesh,121
62,Usman Ghani,Mustafizur Rahman,Hazratullah,1,0,1,70,45,34,33,1,2,11,,0,,,-,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2022,03,Bangladesh_Afghanistan_2022-03-05,Afghanistan,Afghanistan,Bangladesh,121
63,Hazratullah,Mustafizur Rahman,Usman Ghani,1,0,1,71,44,33,26,1,3,11,,0,,,-,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2022,03,Bangladesh_Afghanistan_2022-03-05,Afghanistan,Afghanistan,Bangladesh,121
64,Usman Ghani,Mustafizur Rahman,Hazratullah,0,1,1,72,43,34,34,1,4,11,,0,,,wides,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2022,03,Bangladesh_Afghanistan_2022-03-05,Afghanistan,Afghanistan,Bangladesh,121
65,Usman Ghani,Mustafizur Rahman,Hazratullah,0,0,0,72,43,34,35,1,5,11,,0,,,-,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2022,03,Bangladesh_Afghanistan_2022-03-05,Afghanistan,Afghanistan,Bangladesh,121
66,Usman Ghani,Mustafizur Rahman,Hazratullah,1,0,1,73,42,35,36,1,6,11,,0,,,-,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2022,03,Bangladesh_Afghanistan_2022-03-05,Afghanistan,Afghanistan,Bangladesh,121
67,Hazratullah,Mustafizur Rahman,Usman Ghani,0,0,0,73,42,33,27,1,7,11,,0,,,-,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2022,03,Bangladesh_Afghanistan_2022-03-05,Afghanistan,Afghanistan,Bangladesh,121
68,Usman Ghani,Mahedi Hasan,Hazratullah,4,0,4,77,38,39,37,1,1,12,,0,,,-,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2022,03,Bangladesh_Afghanistan_2022-03-05,Afghanistan,Afghanistan,Bangladesh,121
69,Usman Ghani,Mahedi Hasan,Hazratullah,0,0,0,77,38,39,38,1,2,12,,0,,,-,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2022,03,Bangladesh_Afghanistan_2022-03-05,Afghanistan,Afghanistan,Bangladesh,121
70,Usman Ghani,Mahedi Hasan,Hazratullah,0,0,0,77,38,39,39,1,3,12,,0,,,-,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2022,03,Bangladesh_Afghanistan_2022-03-05,Afghanistan,Afghanistan,Bangladesh,121
71,Usman Ghani,Mahedi Hasan,Hazratullah,0,0,0,77,38,39,40,1,4,12,,0,,,-,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2022,03,Bangladesh_Afghanistan_2022-03-05,Afghanistan,Afghanistan,Bangladesh,121
72,Usman Ghani,Mahedi Hasan,Hazratullah,1,0,1,78,37,40,41,1,5,12,,0,,,-,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2022,03,Bangladesh_Afghanistan_2022-03-05,Afghanistan,Afghanistan,Bangladesh,121
73,Hazratullah,Mahedi Hasan,Usman Ghani,1,0,1,79,36,34,28,1,6,12,,0,,,-,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2022,03,Bangladesh_Afghanistan_2022-03-05,Afghanistan,Afghanistan,Bangladesh,121
74,Hazratullah,Mustafizur Rahman,Usman Ghani,1,0,1,80,35,35,29,1,1,13,,0,,,-,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2022,03,Bangladesh_Afghanistan_2022-03-05,Afghanistan,Afghanistan,Bangladesh,121
75,Usman Ghani,Mustafizur Rahman,Hazratullah,0,0,0,80,35,40,42,1,2,13,,0,,,-,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2022,03,Bangladesh_Afghanistan_2022-03-05,Afghanistan,Afghanistan,Bangladesh,121
76,Usman Ghani,Mustafizur Rahman,Hazratullah,1,0,1,81,34,41,43,1,3,13,,0,,,-,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2022,03,Bangladesh_Afghanistan_2022-03-05,Afghanistan,Afghanistan,Bangladesh,121
77,Hazratullah,Mustafizur Rahman,Usman Ghani,1,0,1,82,33,36,30,1,4,13,,0,,,-,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2022,03,Bangladesh_Afghanistan_2022-03-05,Afghanistan,Afghanistan,Bangladesh,121
78,Usman Ghani,Mustafizur Rahman,Hazratullah,0,0,0,82,33,41,44,1,5,13,,0,,,-,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2022,03,Bangladesh_Afghanistan_2022-03-05,Afghanistan,Afghanistan,Bangladesh,121
79,Usman Ghani,Mustafizur Rahman,Hazratullah,0,0,0,82,33,41,45,1,6,13,,0,,,-,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2022,03,Bangladesh_Afghanistan_2022-03-05,Afghanistan,Afghanistan,Bangladesh,121
80,Hazratullah,Mahedi Hasan,Usman Ghani,1,0,1,83,32,37,31,1,1,14,,0,,,-,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2022,03,Bangladesh_Afghanistan_2022-03-05,Afghanistan,Afghanistan,Bangladesh,121
81,Usman Ghani,Mahedi Hasan,Hazratullah,0,0,0,83,32,41,46,1,2,14,,0,,,-,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2022,03,Bangladesh_Afghanistan_2022-03-05,Afghanistan,Afghanistan,Bangladesh,121
82,Usman Ghani,Mahedi Hasan,Hazratullah,4,0,4,87,28,45,47,1,3,14,,0,,,-,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2022,03,Bangladesh_Afghanistan_2022-03-05,Afghanistan,Afghanistan,Bangladesh,121
83,Usman Ghani,Mahedi Hasan,Hazratullah,1,0,1,88,27,46,48,1,4,14,,0,,,-,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2022,03,Bangladesh_Afghanistan_2022-03-05,Afghanistan,Afghanistan,Bangladesh,121
84,Hazratullah,Mahedi Hasan,Usman Ghani,0,0,0,88,27,37,32,1,5,14,,0,,,-,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2022,03,Bangladesh_Afghanistan_2022-03-05,Afghanistan,Afghanistan,Bangladesh,121
85,Hazratullah,Mahedi Hasan,Usman Ghani,1,0,1,89,26,38,33,1,6,14,,0,,,-,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2022,03,Bangladesh_Afghanistan_2022-03-05,Afghanistan,Afghanistan,Bangladesh,121
86,Hazratullah,Shakib Al Hasan,Usman Ghani,0,0,0,89,26,38,34,1,1,15,,0,,,-,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2022,03,Bangladesh_Afghanistan_2022-03-05,Afghanistan,Afghanistan,Bangladesh,121
87,Hazratullah,Shakib Al Hasan,Usman Ghani,6,0,6,95,20,44,35,1,2,15,,0,,,-,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2022,03,Bangladesh_Afghanistan_2022-03-05,Afghanistan,Afghanistan,Bangladesh,121
88,Hazratullah,Shakib Al Hasan,Usman Ghani,1,0,1,96,19,45,36,1,3,15,,0,,,-,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2022,03,Bangladesh_Afghanistan_2022-03-05,Afghanistan,Afghanistan,Bangladesh,121
89,Usman Ghani,Shakib Al Hasan,Hazratullah,1,0,1,97,18,47,49,1,4,15,,0,,,-,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2022,03,Bangladesh_Afghanistan_2022-03-05,Afghanistan,Afghanistan,Bangladesh,121
90,Hazratullah,Shakib Al Hasan,Usman Ghani,6,0,6,103,12,51,37,1,5,15,,0,,,-,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2022,03,Bangladesh_Afghanistan_2022-03-05,Afghanistan,Afghanistan,Bangladesh,121
91,Hazratullah,Shakib Al Hasan,Usman Ghani,0,0,0,103,12,51,38,1,6,15,,0,,,-,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2022,03,Bangladesh_Afghanistan_2022-03-05,Afghanistan,Afghanistan,Bangladesh,121
92,Usman Ghani,Mahmudullah,Hazratullah,0,0,0,103,12,47,50,2,1,16,,caught,Usman Ghani,Liton Das,-,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2022,03,Bangladesh_Afghanistan_2022-03-05,Afghanistan,Afghanistan,Bangladesh,121
93,Darwish Rasooli,Mahmudullah,Hazratullah,0,0,0,103,12,0,1,2,2,16,,0,,,-,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2022,03,Bangladesh_Afghanistan_2022-03-05,Afghanistan,Afghanistan,Bangladesh,121
94,Darwish Rasooli,Mahmudullah,Hazratullah,1,0,1,104,11,1,2,2,3,16,,0,,,-,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2022,03,Bangladesh_Afghanistan_2022-03-05,Afghanistan,Afghanistan,Bangladesh,121
95,Hazratullah,Mahmudullah,Darwish Rasooli,0,0,0,104,11,51,39,2,4,16,,0,,,-,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2022,03,Bangladesh_Afghanistan_2022-03-05,Afghanistan,Afghanistan,Bangladesh,121
96,Hazratullah,Mahmudullah,Darwish Rasooli,0,0,0,104,11,51,40,2,5,16,,0,,,-,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2022,03,Bangladesh_Afghanistan_2022-03-05,Afghanistan,Afghanistan,Bangladesh,121
97,Hazratullah,Mahmudullah,Darwish Rasooli,1,0,1,105,10,52,41,2,6,16,,0,,,-,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2022,03,Bangladesh_Afghanistan_2022-03-05,Afghanistan,Afghanistan,Bangladesh,121
98,Hazratullah,Shoriful Islam,Darwish Rasooli,0,1,1,106,9,52,42,2,1,17,"{'by': 'Bangladesh', 'umpire': 'Masudur Rahman', 'batter': 'Hazratullah', 'decision': 'struck down'}",0,,,legbyes,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2022,03,Bangladesh_Afghanistan_2022-03-05,Afghanistan,Afghanistan,Bangladesh,121
