,batter,bowler,non_striker,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,extra_type,delivery,over,replacements,wicket_type,player_out,fielder,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,won,final_team_total,batter_type,non_striker_type,bowler_type
20,HK Matthews,SIP Fernando,Q Joseph,0,0,0,10,,1,5,0,-,1.0,3,,0,,,field,Sri Lanka,1,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa, Hambantota",2024,06,West Indies_Sri Lanka_2024-06-24,Sri Lanka,West Indies,Sri Lanka,False,134,Right hand Bat,Left hand Bat,Right arm Offbreak
21,HK Matthews,SIP Fernando,Q Joseph,0,0,0,10,,1,6,0,-,2.0,3,,0,,,field,Sri Lanka,1,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa, Hambantota",2024,06,West Indies_Sri Lanka_2024-06-24,Sri Lanka,West Indies,Sri Lanka,False,134,Right hand Bat,Left hand Bat,Right arm Offbreak
22,HK Matthews,SIP Fernando,Q Joseph,4,0,4,14,,5,7,0,-,3.0,3,,0,,,field,Sri Lanka,1,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa, Hambantota",2024,06,West Indies_Sri Lanka_2024-06-24,Sri Lanka,West Indies,Sri Lanka,False,134,Right hand Bat,Left hand Bat,Right arm Offbreak
23,HK Matthews,SIP Fernando,Q Joseph,4,0,4,18,,9,8,0,-,4.0,3,,0,,,field,Sri Lanka,1,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa, Hambantota",2024,06,West Indies_Sri Lanka_2024-06-24,Sri Lanka,West Indies,Sri Lanka,False,134,Right hand Bat,Left hand Bat,Right arm Offbreak
24,HK Matthews,SIP Fernando,Q Joseph,0,0,0,18,,9,9,0,-,5.0,3,,0,,,field,Sri Lanka,1,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa, Hambantota",2024,06,West Indies_Sri Lanka_2024-06-24,Sri Lanka,West Indies,Sri Lanka,False,134,Right hand Bat,Left hand Bat,Right arm Offbreak
25,HK Matthews,SIP Fernando,Q Joseph,0,0,0,18,,9,10,0,-,6.0,3,,0,,,field,Sri Lanka,1,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa, Hambantota",2024,06,West Indies_Sri Lanka_2024-06-24,Sri Lanka,West Indies,Sri Lanka,False,134,Right hand Bat,Left hand Bat,Right arm Offbreak
26,Q Joseph,BMSM Kumari,HK Matthews,4,0,4,22,,4,6,0,-,1.0,4,,0,,,field,Sri Lanka,1,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa, Hambantota",2024,06,West Indies_Sri Lanka_2024-06-24,Sri Lanka,West Indies,Sri Lanka,False,134,Left hand Bat,Right hand Bat,Left arm Orthodox
27,Q Joseph,BMSM Kumari,HK Matthews,4,0,4,26,,8,7,0,-,2.0,4,,0,,,field,Sri Lanka,1,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa, Hambantota",2024,06,West Indies_Sri Lanka_2024-06-24,Sri Lanka,West Indies,Sri Lanka,False,134,Left hand Bat,Right hand Bat,Left arm Orthodox
28,Q Joseph,BMSM Kumari,HK Matthews,1,0,1,27,,9,8,0,-,3.0,4,,0,,,field,Sri Lanka,1,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa, Hambantota",2024,06,West Indies_Sri Lanka_2024-06-24,Sri Lanka,West Indies,Sri Lanka,False,134,Left hand Bat,Right hand Bat,Left arm Orthodox
29,HK Matthews,BMSM Kumari,Q Joseph,1,0,1,28,,10,11,0,-,4.0,4,,0,,,field,Sri Lanka,1,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa, Hambantota",2024,06,West Indies_Sri Lanka_2024-06-24,Sri Lanka,West Indies,Sri Lanka,False,134,Right hand Bat,Left hand Bat,Left arm Orthodox
30,Q Joseph,BMSM Kumari,HK Matthews,4,0,4,32,,13,9,0,-,5.0,4,,0,,,field,Sri Lanka,1,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa, Hambantota",2024,06,West Indies_Sri Lanka_2024-06-24,Sri Lanka,West Indies,Sri Lanka,False,134,Left hand Bat,Right hand Bat,Left arm Orthodox
31,Q Joseph,BMSM Kumari,HK Matthews,0,0,0,32,,13,10,0,-,6.0,4,,0,,,field,Sri Lanka,1,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa, Hambantota",2024,06,West Indies_Sri Lanka_2024-06-24,Sri Lanka,West Indies,Sri Lanka,False,134,Left hand Bat,Right hand Bat,Left arm Orthodox
32,HK Matthews,K Kavindi,Q Joseph,1,0,1,33,,11,12,0,-,1.0,5,,0,,,field,Sri Lanka,1,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa, Hambantota",2024,06,West Indies_Sri Lanka_2024-06-24,Sri Lanka,West Indies,Sri Lanka,False,134,Right hand Bat,Left hand Bat,Right arm Medium
33,Q Joseph,K Kavindi,HK Matthews,0,0,0,33,,13,11,0,-,2.0,5,,0,,,field,Sri Lanka,1,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa, Hambantota",2024,06,West Indies_Sri Lanka_2024-06-24,Sri Lanka,West Indies,Sri Lanka,False,134,Left hand Bat,Right hand Bat,Right arm Medium
34,Q Joseph,K Kavindi,HK Matthews,0,0,0,33,,13,12,0,-,3.0,5,,0,,,field,Sri Lanka,1,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa, Hambantota",2024,06,West Indies_Sri Lanka_2024-06-24,Sri Lanka,West Indies,Sri Lanka,False,134,Left hand Bat,Right hand Bat,Right arm Medium
