,batter,bowler,non_striker,review,runs_by_bat,extra_runs,total,team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,over,wicket_type,player_out,fielder,extra_type,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team
78,Faheem Ashraf,Mohammad Nabi,Imad Wasim,,0,0,0,63,61,1,5,6,1,14,0,,,-,bat,Pakistan,1,Sharjah Cricket Stadium,2023,03,Pakistan_Afghanistan_2023-03-24,Afghanistan,Pakistan,Afghanistan
79,Faheem Ashraf,Mohammad Nabi,Imad Wasim,,1,0,1,64,60,2,6,6,2,14,0,,,-,bat,Pakistan,1,Sharjah Cricket Stadium,2023,03,Pakistan_Afghanistan_2023-03-24,Afghanistan,Pakistan,Afghanistan
80,Imad Wasim,Mohammad Nabi,Faheem Ashraf,,1,0,1,65,59,11,18,6,3,14,0,,,-,bat,Pakistan,1,Sharjah Cricket Stadium,2023,03,Pakistan_Afghanistan_2023-03-24,Afghanistan,Pakistan,Afghanistan
81,Faheem Ashraf,Mohammad Nabi,Imad Wasim,,0,0,0,65,59,2,7,6,4,14,0,,,-,bat,Pakistan,1,Sharjah Cricket Stadium,2023,03,Pakistan_Afghanistan_2023-03-24,Afghanistan,Pakistan,Afghanistan
82,Faheem Ashraf,Mohammad Nabi,Imad Wasim,,0,0,0,65,59,2,8,7,5,14,caught,Faheem Ashraf,Rashid Khan,-,bat,Pakistan,1,Sharjah Cricket Stadium,2023,03,Pakistan_Afghanistan_2023-03-24,Afghanistan,Pakistan,Afghanistan
83,Naseem Shah,Mohammad Nabi,Imad Wasim,,0,0,0,65,59,0,1,7,6,14,0,,,-,bat,Pakistan,1,Sharjah Cricket Stadium,2023,03,Pakistan_Afghanistan_2023-03-24,Afghanistan,Pakistan,Afghanistan
84,Imad Wasim,Rashid Khan,Naseem Shah,,1,0,1,66,58,12,19,7,1,15,0,,,-,bat,Pakistan,1,Sharjah Cricket Stadium,2023,03,Pakistan_Afghanistan_2023-03-24,Afghanistan,Pakistan,Afghanistan
85,Naseem Shah,Rashid Khan,Imad Wasim,,1,0,1,67,57,1,2,7,2,15,0,,,-,bat,Pakistan,1,Sharjah Cricket Stadium,2023,03,Pakistan_Afghanistan_2023-03-24,Afghanistan,Pakistan,Afghanistan
86,Imad Wasim,Rashid Khan,Naseem Shah,,1,0,1,68,56,13,20,7,3,15,0,,,-,bat,Pakistan,1,Sharjah Cricket Stadium,2023,03,Pakistan_Afghanistan_2023-03-24,Afghanistan,Pakistan,Afghanistan
87,Naseem Shah,Rashid Khan,Imad Wasim,,0,0,0,68,56,1,3,7,4,15,0,,,-,bat,Pakistan,1,Sharjah Cricket Stadium,2023,03,Pakistan_Afghanistan_2023-03-24,Afghanistan,Pakistan,Afghanistan
