,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,batter_runs,balls_faced,delivery,wicket_type,player_out,fielder,over,review,extra_type,toss_decision,toss_winner,innings,venue,date,batting_team,bowling_team
10,K Mishara,JJ Bumrah,J Liyanage,0,0,0,10,9,7,5,0,,,2,,-,field,Sri Lanka,2,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2022-02-24,Sri Lanka,India
11,K Mishara,JJ Bumrah,J Liyanage,2,0,2,12,11,8,6,0,,,2,,-,field,Sri Lanka,2,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2022-02-24,Sri Lanka,India
12,J Liyanage,B Kumar,K Mishara,0,0,0,12,1,4,1,0,,,3,,-,field,Sri Lanka,2,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2022-02-24,Sri Lanka,India
13,J Liyanage,B Kumar,K Mishara,1,0,1,13,2,5,2,0,,,3,,-,field,Sri Lanka,2,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2022-02-24,Sri Lanka,India
14,K Mishara,B Kumar,J Liyanage,0,0,0,13,11,9,3,0,,,3,,-,field,Sri Lanka,2,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2022-02-24,Sri Lanka,India
15,K Mishara,B Kumar,J Liyanage,2,0,2,15,13,10,4,0,,,3,,-,field,Sri Lanka,2,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2022-02-24,Sri Lanka,India
16,K Mishara,B Kumar,J Liyanage,0,0,0,15,13,11,5,0,,,3,,-,field,Sri Lanka,2,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2022-02-24,Sri Lanka,India
17,K Mishara,B Kumar,J Liyanage,0,0,0,15,13,12,6,caught,K Mishara,RG Sharma,3,,-,field,Sri Lanka,2,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2022-02-24,Sri Lanka,India
18,J Liyanage,JJ Bumrah,KIC Asalanka,1,0,1,16,3,6,1,0,,,4,,-,field,Sri Lanka,2,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2022-02-24,Sri Lanka,India
19,KIC Asalanka,JJ Bumrah,J Liyanage,1,0,1,17,1,1,2,0,,,4,,-,field,Sri Lanka,2,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2022-02-24,Sri Lanka,India
20,J Liyanage,JJ Bumrah,KIC Asalanka,0,0,0,17,3,7,3,0,,,4,,-,field,Sri Lanka,2,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2022-02-24,Sri Lanka,India
21,J Liyanage,JJ Bumrah,KIC Asalanka,1,0,1,18,4,8,4,0,,,4,,-,field,Sri Lanka,2,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2022-02-24,Sri Lanka,India
22,KIC Asalanka,JJ Bumrah,J Liyanage,0,0,0,18,1,2,5,0,,,4,,-,field,Sri Lanka,2,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2022-02-24,Sri Lanka,India
23,KIC Asalanka,JJ Bumrah,J Liyanage,4,0,4,22,5,3,6,0,,,4,,-,field,Sri Lanka,2,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2022-02-24,Sri Lanka,India
24,J Liyanage,HV Patel,KIC Asalanka,0,0,0,22,4,9,1,0,,,5,,-,field,Sri Lanka,2,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2022-02-24,Sri Lanka,India
25,J Liyanage,HV Patel,KIC Asalanka,1,0,1,23,5,10,2,0,,,5,,-,field,Sri Lanka,2,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2022-02-24,Sri Lanka,India
26,KIC Asalanka,HV Patel,J Liyanage,0,0,0,23,5,4,3,0,,,5,,-,field,Sri Lanka,2,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2022-02-24,Sri Lanka,India
27,KIC Asalanka,HV Patel,J Liyanage,1,0,1,24,6,5,4,0,,,5,,-,field,Sri Lanka,2,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2022-02-24,Sri Lanka,India
28,J Liyanage,HV Patel,KIC Asalanka,0,0,0,24,5,11,5,0,,,5,,-,field,Sri Lanka,2,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2022-02-24,Sri Lanka,India
29,J Liyanage,HV Patel,KIC Asalanka,2,0,2,26,7,12,6,0,,,5,,-,field,Sri Lanka,2,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2022-02-24,Sri Lanka,India
30,KIC Asalanka,YS Chahal,J Liyanage,0,0,0,26,6,6,1,0,,,6,,-,field,Sri Lanka,2,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2022-02-24,Sri Lanka,India
31,KIC Asalanka,YS Chahal,J Liyanage,1,0,1,27,7,7,2,0,,,6,,-,field,Sri Lanka,2,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2022-02-24,Sri Lanka,India
32,J Liyanage,YS Chahal,KIC Asalanka,1,0,1,28,8,13,3,0,,,6,,-,field,Sri Lanka,2,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2022-02-24,Sri Lanka,India
33,KIC Asalanka,YS Chahal,J Liyanage,0,0,0,28,7,8,4,0,,,6,"{'by': 'Sri Lanka', 'umpire': 'VK Sharma', 'batter': 'KIC Asalanka', 'decision': 'upheld'}",-,field,Sri Lanka,2,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2022-02-24,Sri Lanka,India
34,KIC Asalanka,YS Chahal,J Liyanage,1,0,1,29,8,9,5,0,,,6,,-,field,Sri Lanka,2,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2022-02-24,Sri Lanka,India
35,J Liyanage,YS Chahal,KIC Asalanka,0,0,0,29,8,14,6,0,,,6,,-,field,Sri Lanka,2,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2022-02-24,Sri Lanka,India
36,KIC Asalanka,VR Iyer,J Liyanage,1,0,1,30,9,10,1,0,,,7,,-,field,Sri Lanka,2,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2022-02-24,Sri Lanka,India
37,J Liyanage,VR Iyer,KIC Asalanka,1,0,1,31,9,15,2,0,,,7,,-,field,Sri Lanka,2,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2022-02-24,Sri Lanka,India
38,KIC Asalanka,VR Iyer,J Liyanage,2,0,2,33,11,11,3,0,,,7,,-,field,Sri Lanka,2,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2022-02-24,Sri Lanka,India
39,KIC Asalanka,VR Iyer,J Liyanage,1,0,1,34,12,12,4,0,,,7,,-,field,Sri Lanka,2,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2022-02-24,Sri Lanka,India
40,J Liyanage,VR Iyer,KIC Asalanka,2,0,2,36,11,16,5,0,,,7,,-,field,Sri Lanka,2,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2022-02-24,Sri Lanka,India
41,J Liyanage,VR Iyer,KIC Asalanka,0,0,0,36,11,17,6,caught,J Liyanage,SV Samson,7,,-,field,Sri Lanka,2,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2022-02-24,Sri Lanka,India
42,KIC Asalanka,RA Jadeja,LD Chandimal,1,0,1,37,13,13,1,0,,,8,,-,field,Sri Lanka,2,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2022-02-24,Sri Lanka,India
43,LD Chandimal,RA Jadeja,KIC Asalanka,0,0,0,37,0,1,2,0,,,8,,-,field,Sri Lanka,2,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2022-02-24,Sri Lanka,India
44,LD Chandimal,RA Jadeja,KIC Asalanka,2,0,2,39,2,2,3,0,,,8,,-,field,Sri Lanka,2,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2022-02-24,Sri Lanka,India
45,LD Chandimal,RA Jadeja,KIC Asalanka,6,0,6,45,8,3,4,0,,,8,,-,field,Sri Lanka,2,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2022-02-24,Sri Lanka,India
46,LD Chandimal,RA Jadeja,KIC Asalanka,0,0,0,45,8,4,5,0,,,8,,-,field,Sri Lanka,2,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2022-02-24,Sri Lanka,India
47,LD Chandimal,RA Jadeja,KIC Asalanka,0,0,0,45,8,5,6,0,,,8,,-,field,Sri Lanka,2,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2022-02-24,Sri Lanka,India
48,KIC Asalanka,YS Chahal,LD Chandimal,1,0,1,46,14,14,1,0,,,9,,-,field,Sri Lanka,2,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2022-02-24,Sri Lanka,India
49,LD Chandimal,YS Chahal,KIC Asalanka,0,0,0,46,8,6,2,0,,,9,,-,field,Sri Lanka,2,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2022-02-24,Sri Lanka,India
50,LD Chandimal,YS Chahal,KIC Asalanka,1,0,1,47,9,7,3,0,,,9,,-,field,Sri Lanka,2,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2022-02-24,Sri Lanka,India
51,KIC Asalanka,YS Chahal,LD Chandimal,1,0,1,48,15,15,4,0,,,9,,-,field,Sri Lanka,2,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2022-02-24,Sri Lanka,India
52,LD Chandimal,YS Chahal,KIC Asalanka,1,0,1,49,10,8,5,0,,,9,,-,field,Sri Lanka,2,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2022-02-24,Sri Lanka,India
53,KIC Asalanka,YS Chahal,LD Chandimal,1,0,1,50,16,16,6,0,,,9,,-,field,Sri Lanka,2,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2022-02-24,Sri Lanka,India
54,KIC Asalanka,RA Jadeja,LD Chandimal,1,0,1,51,17,17,1,0,,,10,,-,field,Sri Lanka,2,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2022-02-24,Sri Lanka,India
55,LD Chandimal,RA Jadeja,KIC Asalanka,0,0,0,51,10,9,2,stumped,LD Chandimal,Ishan Kishan,10,,-,field,Sri Lanka,2,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2022-02-24,Sri Lanka,India
56,MD Shanaka,RA Jadeja,KIC Asalanka,1,0,1,52,1,1,3,0,,,10,,-,field,Sri Lanka,2,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2022-02-24,Sri Lanka,India
57,KIC Asalanka,RA Jadeja,MD Shanaka,4,0,4,56,21,18,4,0,,,10,,-,field,Sri Lanka,2,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2022-02-24,Sri Lanka,India
58,KIC Asalanka,RA Jadeja,MD Shanaka,1,0,1,57,22,19,5,0,,,10,,-,field,Sri Lanka,2,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2022-02-24,Sri Lanka,India
59,MD Shanaka,RA Jadeja,KIC Asalanka,0,0,0,57,1,2,6,0,,,10,,-,field,Sri Lanka,2,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2022-02-24,Sri Lanka,India
60,KIC Asalanka,YS Chahal,MD Shanaka,1,0,1,58,23,20,1,0,,,11,,-,field,Sri Lanka,2,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2022-02-24,Sri Lanka,India
61,MD Shanaka,YS Chahal,KIC Asalanka,0,0,0,58,1,3,2,0,,,11,,-,field,Sri Lanka,2,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2022-02-24,Sri Lanka,India
62,MD Shanaka,YS Chahal,KIC Asalanka,0,0,0,58,1,4,3,0,,,11,,-,field,Sri Lanka,2,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2022-02-24,Sri Lanka,India
63,MD Shanaka,YS Chahal,KIC Asalanka,2,0,2,60,3,5,4,0,,,11,,-,field,Sri Lanka,2,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2022-02-24,Sri Lanka,India
64,MD Shanaka,YS Chahal,KIC Asalanka,0,0,0,60,3,6,5,caught,MD Shanaka,B Kumar,11,,-,field,Sri Lanka,2,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2022-02-24,Sri Lanka,India
65,C Karunaratne,YS Chahal,KIC Asalanka,0,0,0,60,0,1,6,0,,,11,,-,field,Sri Lanka,2,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2022-02-24,Sri Lanka,India
66,KIC Asalanka,RA Jadeja,C Karunaratne,0,0,0,60,23,21,1,0,,,12,,-,field,Sri Lanka,2,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2022-02-24,Sri Lanka,India
67,KIC Asalanka,RA Jadeja,C Karunaratne,1,0,1,61,24,22,2,0,,,12,,-,field,Sri Lanka,2,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2022-02-24,Sri Lanka,India
68,C Karunaratne,RA Jadeja,KIC Asalanka,1,0,1,62,1,2,3,0,,,12,,-,field,Sri Lanka,2,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2022-02-24,Sri Lanka,India
69,KIC Asalanka,RA Jadeja,C Karunaratne,0,0,0,62,24,23,4,0,,,12,,-,field,Sri Lanka,2,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2022-02-24,Sri Lanka,India
70,KIC Asalanka,RA Jadeja,C Karunaratne,1,0,1,63,25,24,5,0,,,12,,-,field,Sri Lanka,2,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2022-02-24,Sri Lanka,India
71,C Karunaratne,RA Jadeja,KIC Asalanka,0,0,0,63,1,3,6,0,,,12,,-,field,Sri Lanka,2,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2022-02-24,Sri Lanka,India
72,KIC Asalanka,DJ Hooda,C Karunaratne,0,0,0,63,25,25,1,0,,,13,,-,field,Sri Lanka,2,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2022-02-24,Sri Lanka,India
73,KIC Asalanka,DJ Hooda,C Karunaratne,1,0,1,64,26,26,2,0,,,13,,-,field,Sri Lanka,2,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2022-02-24,Sri Lanka,India
74,C Karunaratne,DJ Hooda,KIC Asalanka,2,0,2,66,3,4,3,0,,,13,,-,field,Sri Lanka,2,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2022-02-24,Sri Lanka,India
75,C Karunaratne,DJ Hooda,KIC Asalanka,1,0,1,67,4,5,4,0,,,13,,-,field,Sri Lanka,2,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2022-02-24,Sri Lanka,India
76,KIC Asalanka,DJ Hooda,C Karunaratne,0,0,0,67,26,27,5,0,,,13,,-,field,Sri Lanka,2,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2022-02-24,Sri Lanka,India
77,KIC Asalanka,DJ Hooda,C Karunaratne,0,0,0,67,26,28,6,0,,,13,,-,field,Sri Lanka,2,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2022-02-24,Sri Lanka,India
78,C Karunaratne,RA Jadeja,KIC Asalanka,0,0,0,67,4,6,1,0,,,14,,-,field,Sri Lanka,2,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2022-02-24,Sri Lanka,India
79,C Karunaratne,RA Jadeja,KIC Asalanka,1,0,1,68,5,7,2,0,,,14,,-,field,Sri Lanka,2,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2022-02-24,Sri Lanka,India
80,KIC Asalanka,RA Jadeja,C Karunaratne,2,0,2,70,28,29,3,0,,,14,,-,field,Sri Lanka,2,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2022-02-24,Sri Lanka,India
81,KIC Asalanka,RA Jadeja,C Karunaratne,4,0,4,74,32,30,4,0,,,14,,-,field,Sri Lanka,2,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2022-02-24,Sri Lanka,India
82,KIC Asalanka,RA Jadeja,C Karunaratne,1,0,1,75,33,31,5,0,,,14,,-,field,Sri Lanka,2,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2022-02-24,Sri Lanka,India
83,C Karunaratne,RA Jadeja,KIC Asalanka,1,0,1,76,6,8,6,0,,,14,,-,field,Sri Lanka,2,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2022-02-24,Sri Lanka,India
84,C Karunaratne,DJ Hooda,KIC Asalanka,0,0,0,76,6,9,1,0,,,15,,-,field,Sri Lanka,2,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2022-02-24,Sri Lanka,India
85,C Karunaratne,DJ Hooda,KIC Asalanka,6,0,6,82,12,10,2,0,,,15,,-,field,Sri Lanka,2,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2022-02-24,Sri Lanka,India
86,C Karunaratne,DJ Hooda,KIC Asalanka,1,0,1,83,13,11,3,0,,,15,,-,field,Sri Lanka,2,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2022-02-24,Sri Lanka,India
87,KIC Asalanka,DJ Hooda,C Karunaratne,4,0,4,87,37,32,4,0,,,15,,-,field,Sri Lanka,2,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2022-02-24,Sri Lanka,India
88,KIC Asalanka,DJ Hooda,C Karunaratne,1,0,1,88,38,33,5,0,,,15,,-,field,Sri Lanka,2,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2022-02-24,Sri Lanka,India
89,C Karunaratne,DJ Hooda,KIC Asalanka,2,0,2,90,15,12,6,0,,,15,,-,field,Sri Lanka,2,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2022-02-24,Sri Lanka,India
90,KIC Asalanka,VR Iyer,C Karunaratne,0,0,0,90,38,34,1,0,,,16,,-,field,Sri Lanka,2,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2022-02-24,Sri Lanka,India
91,KIC Asalanka,VR Iyer,C Karunaratne,1,0,1,91,39,35,2,0,,,16,,-,field,Sri Lanka,2,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2022-02-24,Sri Lanka,India
92,C Karunaratne,VR Iyer,KIC Asalanka,6,0,6,97,21,13,3,0,,,16,,-,field,Sri Lanka,2,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2022-02-24,Sri Lanka,India
93,C Karunaratne,VR Iyer,KIC Asalanka,0,0,0,97,21,14,4,caught,C Karunaratne,Ishan Kishan,16,,-,field,Sri Lanka,2,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2022-02-24,Sri Lanka,India
94,PVD Chameera,VR Iyer,KIC Asalanka,1,0,1,98,1,1,5,0,,,16,,-,field,Sri Lanka,2,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2022-02-24,Sri Lanka,India
95,KIC Asalanka,VR Iyer,PVD Chameera,0,0,0,98,39,36,6,0,,,16,,-,field,Sri Lanka,2,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2022-02-24,Sri Lanka,India
96,PVD Chameera,DJ Hooda,KIC Asalanka,0,1,1,99,1,2,1,0,,,17,,wides,field,Sri Lanka,2,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2022-02-24,Sri Lanka,India
97,PVD Chameera,DJ Hooda,KIC Asalanka,0,0,0,99,1,3,2,0,,,17,,-,field,Sri Lanka,2,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2022-02-24,Sri Lanka,India
98,PVD Chameera,DJ Hooda,KIC Asalanka,1,0,1,100,2,4,3,0,,,17,,-,field,Sri Lanka,2,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2022-02-24,Sri Lanka,India
99,KIC Asalanka,DJ Hooda,PVD Chameera,2,0,2,102,41,37,4,0,,,17,,-,field,Sri Lanka,2,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2022-02-24,Sri Lanka,India
100,KIC Asalanka,DJ Hooda,PVD Chameera,1,0,1,103,42,38,5,0,,,17,,-,field,Sri Lanka,2,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2022-02-24,Sri Lanka,India
101,PVD Chameera,DJ Hooda,KIC Asalanka,0,0,0,103,2,5,6,0,,,17,,-,field,Sri Lanka,2,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2022-02-24,Sri Lanka,India
102,PVD Chameera,DJ Hooda,KIC Asalanka,1,0,1,104,3,6,7,0,,,17,,-,field,Sri Lanka,2,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2022-02-24,Sri Lanka,India
103,PVD Chameera,VR Iyer,KIC Asalanka,1,0,1,105,4,7,1,0,,,18,,-,field,Sri Lanka,2,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2022-02-24,Sri Lanka,India
104,KIC Asalanka,VR Iyer,PVD Chameera,4,0,4,109,46,39,2,0,,,18,,-,field,Sri Lanka,2,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2022-02-24,Sri Lanka,India
105,KIC Asalanka,VR Iyer,PVD Chameera,1,0,1,110,47,40,3,0,,,18,,-,field,Sri Lanka,2,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2022-02-24,Sri Lanka,India
106,PVD Chameera,VR Iyer,KIC Asalanka,6,0,6,116,10,8,4,0,,,18,,-,field,Sri Lanka,2,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2022-02-24,Sri Lanka,India
107,PVD Chameera,VR Iyer,KIC Asalanka,0,1,1,117,10,9,5,0,,,18,,wides,field,Sri Lanka,2,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2022-02-24,Sri Lanka,India
108,PVD Chameera,VR Iyer,KIC Asalanka,4,0,4,121,14,10,6,0,,,18,,-,field,Sri Lanka,2,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2022-02-24,Sri Lanka,India
109,PVD Chameera,VR Iyer,KIC Asalanka,4,0,4,125,18,11,7,0,,,18,,-,field,Sri Lanka,2,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2022-02-24,Sri Lanka,India
110,KIC Asalanka,JJ Bumrah,PVD Chameera,1,0,1,126,48,41,1,0,,,19,,-,field,Sri Lanka,2,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2022-02-24,Sri Lanka,India
111,PVD Chameera,JJ Bumrah,KIC Asalanka,1,0,1,127,19,12,2,0,,,19,,-,field,Sri Lanka,2,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2022-02-24,Sri Lanka,India
