,batter,bowler,non_striker,review,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,over,extra_type,wicket_type,player_out,fielder,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,final_team_total
10,RR Hendricks,Haris Rauf,JN Malan,,0,1,1,11,158,0,3,0,5,1,wides,0,,,field,South Africa,2,Gaddafi Stadium,2021,02,Pakistan_South Africa_2021-02-11,Pakistan,South Africa,Pakistan,166
11,RR Hendricks,Haris Rauf,JN Malan,,4,0,4,15,154,4,4,0,6,1,-,0,,,field,South Africa,2,Gaddafi Stadium,2021,02,Pakistan_South Africa_2021-02-11,Pakistan,South Africa,Pakistan,166
12,RR Hendricks,Haris Rauf,JN Malan,,0,0,0,15,154,4,5,0,7,1,-,0,,,field,South Africa,2,Gaddafi Stadium,2021,02,Pakistan_South Africa_2021-02-11,Pakistan,South Africa,Pakistan,166
13,JN Malan,Mohammad Nawaz (3),RR Hendricks,,0,0,0,15,154,10,9,0,1,2,-,0,,,field,South Africa,2,Gaddafi Stadium,2021,02,Pakistan_South Africa_2021-02-11,Pakistan,South Africa,Pakistan,166
14,JN Malan,Mohammad Nawaz (3),RR Hendricks,,0,0,0,15,154,10,10,0,2,2,-,0,,,field,South Africa,2,Gaddafi Stadium,2021,02,Pakistan_South Africa_2021-02-11,Pakistan,South Africa,Pakistan,166
15,JN Malan,Mohammad Nawaz (3),RR Hendricks,,1,0,1,16,153,11,11,0,3,2,-,0,,,field,South Africa,2,Gaddafi Stadium,2021,02,Pakistan_South Africa_2021-02-11,Pakistan,South Africa,Pakistan,166
16,RR Hendricks,Mohammad Nawaz (3),JN Malan,,1,0,1,17,152,5,6,0,4,2,-,0,,,field,South Africa,2,Gaddafi Stadium,2021,02,Pakistan_South Africa_2021-02-11,Pakistan,South Africa,Pakistan,166
17,JN Malan,Mohammad Nawaz (3),RR Hendricks,,0,0,0,17,152,11,12,0,5,2,-,0,,,field,South Africa,2,Gaddafi Stadium,2021,02,Pakistan_South Africa_2021-02-11,Pakistan,South Africa,Pakistan,166
18,JN Malan,Mohammad Nawaz (3),RR Hendricks,,0,0,0,17,152,11,13,0,6,2,-,0,,,field,South Africa,2,Gaddafi Stadium,2021,02,Pakistan_South Africa_2021-02-11,Pakistan,South Africa,Pakistan,166
19,RR Hendricks,Shaheen Shah Afridi,JN Malan,,0,0,0,17,152,5,7,0,1,3,-,0,,,field,South Africa,2,Gaddafi Stadium,2021,02,Pakistan_South Africa_2021-02-11,Pakistan,South Africa,Pakistan,166
20,RR Hendricks,Shaheen Shah Afridi,JN Malan,,0,0,0,17,152,5,8,0,2,3,-,0,,,field,South Africa,2,Gaddafi Stadium,2021,02,Pakistan_South Africa_2021-02-11,Pakistan,South Africa,Pakistan,166
21,RR Hendricks,Shaheen Shah Afridi,JN Malan,,1,0,1,18,151,6,9,0,3,3,-,0,,,field,South Africa,2,Gaddafi Stadium,2021,02,Pakistan_South Africa_2021-02-11,Pakistan,South Africa,Pakistan,166
22,JN Malan,Shaheen Shah Afridi,RR Hendricks,,4,0,4,22,147,15,14,0,4,3,-,0,,,field,South Africa,2,Gaddafi Stadium,2021,02,Pakistan_South Africa_2021-02-11,Pakistan,South Africa,Pakistan,166
23,JN Malan,Shaheen Shah Afridi,RR Hendricks,,0,0,0,22,147,15,15,0,5,3,-,0,,,field,South Africa,2,Gaddafi Stadium,2021,02,Pakistan_South Africa_2021-02-11,Pakistan,South Africa,Pakistan,166
24,JN Malan,Shaheen Shah Afridi,RR Hendricks,,4,0,4,26,143,19,16,0,6,3,-,0,,,field,South Africa,2,Gaddafi Stadium,2021,02,Pakistan_South Africa_2021-02-11,Pakistan,South Africa,Pakistan,166
25,RR Hendricks,Haris Rauf,JN Malan,,1,0,1,27,142,7,10,0,1,4,-,0,,,field,South Africa,2,Gaddafi Stadium,2021,02,Pakistan_South Africa_2021-02-11,Pakistan,South Africa,Pakistan,166
26,JN Malan,Haris Rauf,RR Hendricks,,4,0,4,31,138,23,17,0,2,4,-,0,,,field,South Africa,2,Gaddafi Stadium,2021,02,Pakistan_South Africa_2021-02-11,Pakistan,South Africa,Pakistan,166
27,JN Malan,Haris Rauf,RR Hendricks,,4,0,4,35,134,27,18,0,3,4,-,0,,,field,South Africa,2,Gaddafi Stadium,2021,02,Pakistan_South Africa_2021-02-11,Pakistan,South Africa,Pakistan,166
28,JN Malan,Haris Rauf,RR Hendricks,,4,0,4,39,130,31,19,0,4,4,-,0,,,field,South Africa,2,Gaddafi Stadium,2021,02,Pakistan_South Africa_2021-02-11,Pakistan,South Africa,Pakistan,166
29,JN Malan,Haris Rauf,RR Hendricks,,4,0,4,43,126,35,20,0,5,4,-,0,,,field,South Africa,2,Gaddafi Stadium,2021,02,Pakistan_South Africa_2021-02-11,Pakistan,South Africa,Pakistan,166
30,JN Malan,Haris Rauf,RR Hendricks,,1,0,1,44,125,36,21,0,6,4,-,0,,,field,South Africa,2,Gaddafi Stadium,2021,02,Pakistan_South Africa_2021-02-11,Pakistan,South Africa,Pakistan,166
31,JN Malan,Shaheen Shah Afridi,RR Hendricks,,6,0,6,50,119,42,22,0,1,5,-,0,,,field,South Africa,2,Gaddafi Stadium,2021,02,Pakistan_South Africa_2021-02-11,Pakistan,South Africa,Pakistan,166
32,JN Malan,Shaheen Shah Afridi,RR Hendricks,,0,0,0,50,119,42,23,0,2,5,-,0,,,field,South Africa,2,Gaddafi Stadium,2021,02,Pakistan_South Africa_2021-02-11,Pakistan,South Africa,Pakistan,166
33,JN Malan,Shaheen Shah Afridi,RR Hendricks,,0,0,0,50,119,42,24,0,3,5,-,0,,,field,South Africa,2,Gaddafi Stadium,2021,02,Pakistan_South Africa_2021-02-11,Pakistan,South Africa,Pakistan,166
34,JN Malan,Shaheen Shah Afridi,RR Hendricks,,1,0,1,51,118,43,25,0,4,5,-,0,,,field,South Africa,2,Gaddafi Stadium,2021,02,Pakistan_South Africa_2021-02-11,Pakistan,South Africa,Pakistan,166
35,RR Hendricks,Shaheen Shah Afridi,JN Malan,,0,0,0,51,118,7,11,0,5,5,-,0,,,field,South Africa,2,Gaddafi Stadium,2021,02,Pakistan_South Africa_2021-02-11,Pakistan,South Africa,Pakistan,166
36,RR Hendricks,Shaheen Shah Afridi,JN Malan,,0,0,0,51,118,7,12,0,6,5,-,0,,,field,South Africa,2,Gaddafi Stadium,2021,02,Pakistan_South Africa_2021-02-11,Pakistan,South Africa,Pakistan,166
37,JN Malan,Usman Qadir,RR Hendricks,,1,0,1,52,117,44,26,0,1,6,-,0,,,field,South Africa,2,Gaddafi Stadium,2021,02,Pakistan_South Africa_2021-02-11,Pakistan,South Africa,Pakistan,166
38,RR Hendricks,Usman Qadir,JN Malan,,1,0,1,53,116,8,13,0,2,6,-,0,,,field,South Africa,2,Gaddafi Stadium,2021,02,Pakistan_South Africa_2021-02-11,Pakistan,South Africa,Pakistan,166
39,JN Malan,Usman Qadir,RR Hendricks,,0,0,0,53,116,44,27,0,3,6,-,0,,,field,South Africa,2,Gaddafi Stadium,2021,02,Pakistan_South Africa_2021-02-11,Pakistan,South Africa,Pakistan,166
40,JN Malan,Usman Qadir,RR Hendricks,,0,0,0,53,116,44,28,0,4,6,-,0,,,field,South Africa,2,Gaddafi Stadium,2021,02,Pakistan_South Africa_2021-02-11,Pakistan,South Africa,Pakistan,166
41,JN Malan,Usman Qadir,RR Hendricks,,0,0,0,53,116,44,29,1,5,6,-,bowled,JN Malan,,field,South Africa,2,Gaddafi Stadium,2021,02,Pakistan_South Africa_2021-02-11,Pakistan,South Africa,Pakistan,166
42,GJ Snyman,Usman Qadir,RR Hendricks,,0,0,0,53,116,0,1,1,6,6,-,0,,,field,South Africa,2,Gaddafi Stadium,2021,02,Pakistan_South Africa_2021-02-11,Pakistan,South Africa,Pakistan,166
43,RR Hendricks,Khushdil Shah,GJ Snyman,,0,0,0,53,116,8,14,1,1,7,-,0,,,field,South Africa,2,Gaddafi Stadium,2021,02,Pakistan_South Africa_2021-02-11,Pakistan,South Africa,Pakistan,166
44,RR Hendricks,Khushdil Shah,GJ Snyman,,0,0,0,53,116,8,15,1,2,7,-,0,,,field,South Africa,2,Gaddafi Stadium,2021,02,Pakistan_South Africa_2021-02-11,Pakistan,South Africa,Pakistan,166
45,RR Hendricks,Khushdil Shah,GJ Snyman,,4,0,4,57,112,12,16,1,3,7,-,0,,,field,South Africa,2,Gaddafi Stadium,2021,02,Pakistan_South Africa_2021-02-11,Pakistan,South Africa,Pakistan,166
46,RR Hendricks,Khushdil Shah,GJ Snyman,,1,0,1,58,111,13,17,1,4,7,-,0,,,field,South Africa,2,Gaddafi Stadium,2021,02,Pakistan_South Africa_2021-02-11,Pakistan,South Africa,Pakistan,166
47,GJ Snyman,Khushdil Shah,RR Hendricks,,1,0,1,59,110,1,2,1,5,7,-,0,,,field,South Africa,2,Gaddafi Stadium,2021,02,Pakistan_South Africa_2021-02-11,Pakistan,South Africa,Pakistan,166
48,RR Hendricks,Khushdil Shah,GJ Snyman,,0,0,0,59,110,13,18,1,6,7,-,0,,,field,South Africa,2,Gaddafi Stadium,2021,02,Pakistan_South Africa_2021-02-11,Pakistan,South Africa,Pakistan,166
49,GJ Snyman,Usman Qadir,RR Hendricks,,0,0,0,59,110,1,3,1,1,8,-,0,,,field,South Africa,2,Gaddafi Stadium,2021,02,Pakistan_South Africa_2021-02-11,Pakistan,South Africa,Pakistan,166
50,GJ Snyman,Usman Qadir,RR Hendricks,,0,0,0,59,110,1,4,1,2,8,-,0,,,field,South Africa,2,Gaddafi Stadium,2021,02,Pakistan_South Africa_2021-02-11,Pakistan,South Africa,Pakistan,166
51,GJ Snyman,Usman Qadir,RR Hendricks,,1,0,1,60,109,2,5,1,3,8,-,0,,,field,South Africa,2,Gaddafi Stadium,2021,02,Pakistan_South Africa_2021-02-11,Pakistan,South Africa,Pakistan,166
52,RR Hendricks,Usman Qadir,GJ Snyman,,0,0,0,60,109,13,19,1,4,8,-,0,,,field,South Africa,2,Gaddafi Stadium,2021,02,Pakistan_South Africa_2021-02-11,Pakistan,South Africa,Pakistan,166
53,RR Hendricks,Usman Qadir,GJ Snyman,,1,0,1,61,108,14,20,1,5,8,-,0,,,field,South Africa,2,Gaddafi Stadium,2021,02,Pakistan_South Africa_2021-02-11,Pakistan,South Africa,Pakistan,166
54,GJ Snyman,Usman Qadir,RR Hendricks,,0,0,0,61,108,2,6,2,6,8,-,bowled,GJ Snyman,,field,South Africa,2,Gaddafi Stadium,2021,02,Pakistan_South Africa_2021-02-11,Pakistan,South Africa,Pakistan,166
55,RR Hendricks,Mohammad Nawaz (3),DA Miller,,1,0,1,62,107,15,21,2,1,9,-,0,,,field,South Africa,2,Gaddafi Stadium,2021,02,Pakistan_South Africa_2021-02-11,Pakistan,South Africa,Pakistan,166
56,DA Miller,Mohammad Nawaz (3),RR Hendricks,,0,0,0,62,107,0,1,2,2,9,-,0,,,field,South Africa,2,Gaddafi Stadium,2021,02,Pakistan_South Africa_2021-02-11,Pakistan,South Africa,Pakistan,166
57,DA Miller,Mohammad Nawaz (3),RR Hendricks,,1,0,1,63,106,1,2,2,3,9,-,0,,,field,South Africa,2,Gaddafi Stadium,2021,02,Pakistan_South Africa_2021-02-11,Pakistan,South Africa,Pakistan,166
58,RR Hendricks,Mohammad Nawaz (3),DA Miller,,1,0,1,64,105,16,22,2,4,9,-,0,,,field,South Africa,2,Gaddafi Stadium,2021,02,Pakistan_South Africa_2021-02-11,Pakistan,South Africa,Pakistan,166
59,DA Miller,Mohammad Nawaz (3),RR Hendricks,,0,1,1,65,104,1,3,2,5,9,wides,0,,,field,South Africa,2,Gaddafi Stadium,2021,02,Pakistan_South Africa_2021-02-11,Pakistan,South Africa,Pakistan,166
60,DA Miller,Mohammad Nawaz (3),RR Hendricks,,0,0,0,65,104,1,4,2,6,9,-,0,,,field,South Africa,2,Gaddafi Stadium,2021,02,Pakistan_South Africa_2021-02-11,Pakistan,South Africa,Pakistan,166
61,DA Miller,Mohammad Nawaz (3),RR Hendricks,,1,0,1,66,103,2,5,2,7,9,-,0,,,field,South Africa,2,Gaddafi Stadium,2021,02,Pakistan_South Africa_2021-02-11,Pakistan,South Africa,Pakistan,166
62,DA Miller,Usman Qadir,RR Hendricks,,0,0,0,66,103,2,6,2,1,10,-,0,,,field,South Africa,2,Gaddafi Stadium,2021,02,Pakistan_South Africa_2021-02-11,Pakistan,South Africa,Pakistan,166
63,DA Miller,Usman Qadir,RR Hendricks,,1,0,1,67,102,3,7,2,2,10,-,0,,,field,South Africa,2,Gaddafi Stadium,2021,02,Pakistan_South Africa_2021-02-11,Pakistan,South Africa,Pakistan,166
64,RR Hendricks,Usman Qadir,DA Miller,,4,0,4,71,98,20,23,2,3,10,-,0,,,field,South Africa,2,Gaddafi Stadium,2021,02,Pakistan_South Africa_2021-02-11,Pakistan,South Africa,Pakistan,166
65,RR Hendricks,Usman Qadir,DA Miller,,1,0,1,72,97,21,24,2,4,10,-,0,,,field,South Africa,2,Gaddafi Stadium,2021,02,Pakistan_South Africa_2021-02-11,Pakistan,South Africa,Pakistan,166
66,DA Miller,Usman Qadir,RR Hendricks,,1,0,1,73,96,4,8,2,5,10,-,0,,,field,South Africa,2,Gaddafi Stadium,2021,02,Pakistan_South Africa_2021-02-11,Pakistan,South Africa,Pakistan,166
67,RR Hendricks,Usman Qadir,DA Miller,,4,0,4,77,92,25,25,2,6,10,-,0,,,field,South Africa,2,Gaddafi Stadium,2021,02,Pakistan_South Africa_2021-02-11,Pakistan,South Africa,Pakistan,166
68,DA Miller,Faheem Ashraf,RR Hendricks,,1,0,1,78,91,5,9,2,1,11,-,0,,,field,South Africa,2,Gaddafi Stadium,2021,02,Pakistan_South Africa_2021-02-11,Pakistan,South Africa,Pakistan,166
69,RR Hendricks,Faheem Ashraf,DA Miller,,1,0,1,79,90,26,26,2,2,11,-,0,,,field,South Africa,2,Gaddafi Stadium,2021,02,Pakistan_South Africa_2021-02-11,Pakistan,South Africa,Pakistan,166
70,DA Miller,Faheem Ashraf,RR Hendricks,,1,0,1,80,89,6,10,2,3,11,-,0,,,field,South Africa,2,Gaddafi Stadium,2021,02,Pakistan_South Africa_2021-02-11,Pakistan,South Africa,Pakistan,166
71,RR Hendricks,Faheem Ashraf,DA Miller,,2,0,2,82,87,28,27,2,4,11,-,0,,,field,South Africa,2,Gaddafi Stadium,2021,02,Pakistan_South Africa_2021-02-11,Pakistan,South Africa,Pakistan,166
72,RR Hendricks,Faheem Ashraf,DA Miller,,1,0,1,83,86,29,28,2,5,11,-,0,,,field,South Africa,2,Gaddafi Stadium,2021,02,Pakistan_South Africa_2021-02-11,Pakistan,South Africa,Pakistan,166
73,DA Miller,Faheem Ashraf,RR Hendricks,,0,0,0,83,86,6,11,3,6,11,-,caught,DA Miller,Mohammad Rizwan,field,South Africa,2,Gaddafi Stadium,2021,02,Pakistan_South Africa_2021-02-11,Pakistan,South Africa,Pakistan,166
74,RR Hendricks,Mohammad Nawaz (3),H Klaasen,,1,0,1,84,85,30,29,3,1,12,-,0,,,field,South Africa,2,Gaddafi Stadium,2021,02,Pakistan_South Africa_2021-02-11,Pakistan,South Africa,Pakistan,166
75,H Klaasen,Mohammad Nawaz (3),RR Hendricks,,1,0,1,85,84,1,1,3,2,12,-,0,,,field,South Africa,2,Gaddafi Stadium,2021,02,Pakistan_South Africa_2021-02-11,Pakistan,South Africa,Pakistan,166
76,RR Hendricks,Mohammad Nawaz (3),H Klaasen,,1,0,1,86,83,31,30,3,3,12,-,0,,,field,South Africa,2,Gaddafi Stadium,2021,02,Pakistan_South Africa_2021-02-11,Pakistan,South Africa,Pakistan,166
77,H Klaasen,Mohammad Nawaz (3),RR Hendricks,,1,0,1,87,82,2,2,3,4,12,-,0,,,field,South Africa,2,Gaddafi Stadium,2021,02,Pakistan_South Africa_2021-02-11,Pakistan,South Africa,Pakistan,166
78,RR Hendricks,Mohammad Nawaz (3),H Klaasen,,1,0,1,88,81,32,31,3,5,12,-,0,,,field,South Africa,2,Gaddafi Stadium,2021,02,Pakistan_South Africa_2021-02-11,Pakistan,South Africa,Pakistan,166
79,H Klaasen,Mohammad Nawaz (3),RR Hendricks,,4,0,4,92,77,6,3,3,6,12,-,0,,,field,South Africa,2,Gaddafi Stadium,2021,02,Pakistan_South Africa_2021-02-11,Pakistan,South Africa,Pakistan,166
80,RR Hendricks,Faheem Ashraf,H Klaasen,,1,0,1,93,76,33,32,3,1,13,-,0,,,field,South Africa,2,Gaddafi Stadium,2021,02,Pakistan_South Africa_2021-02-11,Pakistan,South Africa,Pakistan,166
81,H Klaasen,Faheem Ashraf,RR Hendricks,,1,0,1,94,75,7,4,3,2,13,-,0,,,field,South Africa,2,Gaddafi Stadium,2021,02,Pakistan_South Africa_2021-02-11,Pakistan,South Africa,Pakistan,166
82,RR Hendricks,Faheem Ashraf,H Klaasen,,2,0,2,96,73,35,33,3,3,13,-,0,,,field,South Africa,2,Gaddafi Stadium,2021,02,Pakistan_South Africa_2021-02-11,Pakistan,South Africa,Pakistan,166
83,RR Hendricks,Faheem Ashraf,H Klaasen,,4,0,4,100,69,39,34,3,4,13,-,0,,,field,South Africa,2,Gaddafi Stadium,2021,02,Pakistan_South Africa_2021-02-11,Pakistan,South Africa,Pakistan,166
84,RR Hendricks,Faheem Ashraf,H Klaasen,,4,0,4,104,65,43,35,3,5,13,-,0,,,field,South Africa,2,Gaddafi Stadium,2021,02,Pakistan_South Africa_2021-02-11,Pakistan,South Africa,Pakistan,166
85,RR Hendricks,Faheem Ashraf,H Klaasen,,4,0,4,108,61,47,36,3,6,13,-,0,,,field,South Africa,2,Gaddafi Stadium,2021,02,Pakistan_South Africa_2021-02-11,Pakistan,South Africa,Pakistan,166
86,H Klaasen,Usman Qadir,RR Hendricks,"{'by': 'South Africa', 'umpire': 'Aleem Dar', 'batter': 'H Klaasen', 'decision': 'upheld'}",0,0,0,108,61,7,5,3,1,14,-,0,,,field,South Africa,2,Gaddafi Stadium,2021,02,Pakistan_South Africa_2021-02-11,Pakistan,South Africa,Pakistan,166
87,H Klaasen,Usman Qadir,RR Hendricks,,1,0,1,109,60,8,6,3,2,14,-,0,,,field,South Africa,2,Gaddafi Stadium,2021,02,Pakistan_South Africa_2021-02-11,Pakistan,South Africa,Pakistan,166
88,RR Hendricks,Usman Qadir,H Klaasen,,1,0,1,110,59,48,37,3,3,14,-,0,,,field,South Africa,2,Gaddafi Stadium,2021,02,Pakistan_South Africa_2021-02-11,Pakistan,South Africa,Pakistan,166
89,H Klaasen,Usman Qadir,RR Hendricks,,4,0,4,114,55,12,7,3,4,14,-,0,,,field,South Africa,2,Gaddafi Stadium,2021,02,Pakistan_South Africa_2021-02-11,Pakistan,South Africa,Pakistan,166
90,H Klaasen,Usman Qadir,RR Hendricks,,0,0,0,114,55,12,8,3,5,14,-,0,,,field,South Africa,2,Gaddafi Stadium,2021,02,Pakistan_South Africa_2021-02-11,Pakistan,South Africa,Pakistan,166
91,H Klaasen,Usman Qadir,RR Hendricks,"{'by': 'Pakistan', 'umpire': 'Aleem Dar', 'batter': 'H Klaasen', 'decision': 'struck down'}",0,0,0,114,55,12,9,3,6,14,-,0,,,field,South Africa,2,Gaddafi Stadium,2021,02,Pakistan_South Africa_2021-02-11,Pakistan,South Africa,Pakistan,166
92,RR Hendricks,Haris Rauf,H Klaasen,,1,0,1,115,54,49,38,3,1,15,-,0,,,field,South Africa,2,Gaddafi Stadium,2021,02,Pakistan_South Africa_2021-02-11,Pakistan,South Africa,Pakistan,166
93,H Klaasen,Haris Rauf,RR Hendricks,,0,0,0,115,54,12,10,4,2,15,-,caught,H Klaasen,Hussain Talat,field,South Africa,2,Gaddafi Stadium,2021,02,Pakistan_South Africa_2021-02-11,Pakistan,South Africa,Pakistan,166
94,AL Phehlukwayo,Haris Rauf,RR Hendricks,,1,0,1,116,53,1,1,4,3,15,-,0,,,field,South Africa,2,Gaddafi Stadium,2021,02,Pakistan_South Africa_2021-02-11,Pakistan,South Africa,Pakistan,166
95,RR Hendricks,Haris Rauf,AL Phehlukwayo,,1,0,1,117,52,50,39,4,4,15,-,0,,,field,South Africa,2,Gaddafi Stadium,2021,02,Pakistan_South Africa_2021-02-11,Pakistan,South Africa,Pakistan,166
96,AL Phehlukwayo,Haris Rauf,RR Hendricks,,4,0,4,121,48,5,2,4,5,15,-,0,,,field,South Africa,2,Gaddafi Stadium,2021,02,Pakistan_South Africa_2021-02-11,Pakistan,South Africa,Pakistan,166
97,AL Phehlukwayo,Haris Rauf,RR Hendricks,,1,0,1,122,47,6,3,4,6,15,-,0,,,field,South Africa,2,Gaddafi Stadium,2021,02,Pakistan_South Africa_2021-02-11,Pakistan,South Africa,Pakistan,166
98,AL Phehlukwayo,Shaheen Shah Afridi,RR Hendricks,,0,0,0,122,47,6,4,4,1,16,-,0,,,field,South Africa,2,Gaddafi Stadium,2021,02,Pakistan_South Africa_2021-02-11,Pakistan,South Africa,Pakistan,166
99,AL Phehlukwayo,Shaheen Shah Afridi,RR Hendricks,,6,0,6,128,41,12,5,4,2,16,-,0,,,field,South Africa,2,Gaddafi Stadium,2021,02,Pakistan_South Africa_2021-02-11,Pakistan,South Africa,Pakistan,166
100,AL Phehlukwayo,Shaheen Shah Afridi,RR Hendricks,,1,0,1,129,40,13,6,4,3,16,-,0,,,field,South Africa,2,Gaddafi Stadium,2021,02,Pakistan_South Africa_2021-02-11,Pakistan,South Africa,Pakistan,166
101,RR Hendricks,Shaheen Shah Afridi,AL Phehlukwayo,,0,0,0,129,40,50,40,4,4,16,-,0,,,field,South Africa,2,Gaddafi Stadium,2021,02,Pakistan_South Africa_2021-02-11,Pakistan,South Africa,Pakistan,166
102,RR Hendricks,Shaheen Shah Afridi,AL Phehlukwayo,,4,0,4,133,36,54,41,4,5,16,-,0,,,field,South Africa,2,Gaddafi Stadium,2021,02,Pakistan_South Africa_2021-02-11,Pakistan,South Africa,Pakistan,166
103,RR Hendricks,Shaheen Shah Afridi,AL Phehlukwayo,,0,0,0,133,36,54,42,4,6,16,-,0,,,field,South Africa,2,Gaddafi Stadium,2021,02,Pakistan_South Africa_2021-02-11,Pakistan,South Africa,Pakistan,166
104,AL Phehlukwayo,Haris Rauf,RR Hendricks,,1,0,1,134,35,14,7,4,1,17,-,0,,,field,South Africa,2,Gaddafi Stadium,2021,02,Pakistan_South Africa_2021-02-11,Pakistan,South Africa,Pakistan,166
105,RR Hendricks,Haris Rauf,AL Phehlukwayo,,0,0,0,134,35,54,43,5,2,17,-,run out,RR Hendricks,,field,South Africa,2,Gaddafi Stadium,2021,02,Pakistan_South Africa_2021-02-11,Pakistan,South Africa,Pakistan,166
106,D Pretorius,Haris Rauf,AL Phehlukwayo,,4,0,4,138,31,4,1,5,3,17,-,0,,,field,South Africa,2,Gaddafi Stadium,2021,02,Pakistan_South Africa_2021-02-11,Pakistan,South Africa,Pakistan,166
107,D Pretorius,Haris Rauf,AL Phehlukwayo,,1,0,1,139,30,5,2,5,4,17,-,0,,,field,South Africa,2,Gaddafi Stadium,2021,02,Pakistan_South Africa_2021-02-11,Pakistan,South Africa,Pakistan,166
108,AL Phehlukwayo,Haris Rauf,D Pretorius,,0,0,0,139,30,14,8,6,5,17,-,caught,AL Phehlukwayo,Haider Ali,field,South Africa,2,Gaddafi Stadium,2021,02,Pakistan_South Africa_2021-02-11,Pakistan,South Africa,Pakistan,166
109,D Pretorius,Haris Rauf,BC Fortuin,,2,0,2,141,28,7,3,6,6,17,-,0,,,field,South Africa,2,Gaddafi Stadium,2021,02,Pakistan_South Africa_2021-02-11,Pakistan,South Africa,Pakistan,166
110,BC Fortuin,Shaheen Shah Afridi,D Pretorius,,0,0,0,141,28,0,1,6,1,18,-,0,,,field,South Africa,2,Gaddafi Stadium,2021,02,Pakistan_South Africa_2021-02-11,Pakistan,South Africa,Pakistan,166
111,BC Fortuin,Shaheen Shah Afridi,D Pretorius,,4,0,4,145,24,4,2,6,2,18,-,0,,,field,South Africa,2,Gaddafi Stadium,2021,02,Pakistan_South Africa_2021-02-11,Pakistan,South Africa,Pakistan,166
112,BC Fortuin,Shaheen Shah Afridi,D Pretorius,,0,0,0,145,24,4,3,6,3,18,-,0,,,field,South Africa,2,Gaddafi Stadium,2021,02,Pakistan_South Africa_2021-02-11,Pakistan,South Africa,Pakistan,166
113,BC Fortuin,Shaheen Shah Afridi,D Pretorius,,0,0,0,145,24,4,4,6,4,18,-,0,,,field,South Africa,2,Gaddafi Stadium,2021,02,Pakistan_South Africa_2021-02-11,Pakistan,South Africa,Pakistan,166
114,BC Fortuin,Shaheen Shah Afridi,D Pretorius,,4,0,4,149,20,8,5,6,5,18,-,0,,,field,South Africa,2,Gaddafi Stadium,2021,02,Pakistan_South Africa_2021-02-11,Pakistan,South Africa,Pakistan,166
