,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,batter_runs,balls_faced,delivery,extra_type,wicket_type,player_out,fielder,over,review,toss_decision,toss_winner,innings,venue,date,batting_team,bowling_team
41,KA Pollard,Navdeep Saini,CR Brathwaite,0,0,0,33,3,12,4,-,0,,,7,,field,India,1,Central Broward Regional Park Stadium Turf Ground,2019-08-03,West Indies,India
42,KA Pollard,Navdeep Saini,CR Brathwaite,0,0,0,33,3,13,5,-,0,,,7,,field,India,1,Central Broward Regional Park Stadium Turf Ground,2019-08-03,West Indies,India
43,KA Pollard,Navdeep Saini,CR Brathwaite,0,1,1,34,3,14,6,wides,0,,,7,,field,India,1,Central Broward Regional Park Stadium Turf Ground,2019-08-03,West Indies,India
44,KA Pollard,Navdeep Saini,CR Brathwaite,0,0,0,34,3,15,7,-,0,,,7,,field,India,1,Central Broward Regional Park Stadium Turf Ground,2019-08-03,West Indies,India
45,CR Brathwaite,KK Ahmed,KA Pollard,0,0,0,34,0,1,1,-,0,,,8,,field,India,1,Central Broward Regional Park Stadium Turf Ground,2019-08-03,West Indies,India
46,CR Brathwaite,KK Ahmed,KA Pollard,1,0,1,35,1,2,2,-,0,,,8,,field,India,1,Central Broward Regional Park Stadium Turf Ground,2019-08-03,West Indies,India
47,KA Pollard,KK Ahmed,CR Brathwaite,1,0,1,36,4,16,3,-,0,,,8,,field,India,1,Central Broward Regional Park Stadium Turf Ground,2019-08-03,West Indies,India
48,CR Brathwaite,KK Ahmed,KA Pollard,1,0,1,37,2,3,4,-,0,,,8,,field,India,1,Central Broward Regional Park Stadium Turf Ground,2019-08-03,West Indies,India
49,KA Pollard,KK Ahmed,CR Brathwaite,0,0,0,37,4,17,5,-,0,,,8,,field,India,1,Central Broward Regional Park Stadium Turf Ground,2019-08-03,West Indies,India
50,KA Pollard,KK Ahmed,CR Brathwaite,0,0,0,37,4,18,6,-,0,,,8,,field,India,1,Central Broward Regional Park Stadium Turf Ground,2019-08-03,West Indies,India
51,CR Brathwaite,KH Pandya,KA Pollard,0,0,0,37,2,4,1,-,0,,,9,,field,India,1,Central Broward Regional Park Stadium Turf Ground,2019-08-03,West Indies,India
52,CR Brathwaite,KH Pandya,KA Pollard,0,0,0,37,2,5,2,-,0,,,9,,field,India,1,Central Broward Regional Park Stadium Turf Ground,2019-08-03,West Indies,India
53,CR Brathwaite,KH Pandya,KA Pollard,0,0,0,37,2,6,3,-,0,,,9,,field,India,1,Central Broward Regional Park Stadium Turf Ground,2019-08-03,West Indies,India
54,CR Brathwaite,KH Pandya,KA Pollard,1,0,1,38,3,7,4,-,0,,,9,,field,India,1,Central Broward Regional Park Stadium Turf Ground,2019-08-03,West Indies,India
55,KA Pollard,KH Pandya,CR Brathwaite,4,0,4,42,8,19,5,-,0,,,9,,field,India,1,Central Broward Regional Park Stadium Turf Ground,2019-08-03,West Indies,India
56,KA Pollard,KH Pandya,CR Brathwaite,1,0,1,43,9,20,6,-,0,,,9,,field,India,1,Central Broward Regional Park Stadium Turf Ground,2019-08-03,West Indies,India
57,KA Pollard,RA Jadeja,CR Brathwaite,0,0,0,43,9,21,1,-,0,,,10,,field,India,1,Central Broward Regional Park Stadium Turf Ground,2019-08-03,West Indies,India
58,KA Pollard,RA Jadeja,CR Brathwaite,1,0,1,44,10,22,2,-,0,,,10,,field,India,1,Central Broward Regional Park Stadium Turf Ground,2019-08-03,West Indies,India
59,CR Brathwaite,RA Jadeja,KA Pollard,0,0,0,44,3,8,3,-,0,,,10,,field,India,1,Central Broward Regional Park Stadium Turf Ground,2019-08-03,West Indies,India
60,CR Brathwaite,RA Jadeja,KA Pollard,0,0,0,44,3,9,4,-,0,,,10,,field,India,1,Central Broward Regional Park Stadium Turf Ground,2019-08-03,West Indies,India
61,CR Brathwaite,RA Jadeja,KA Pollard,0,0,0,44,3,10,5,-,0,,,10,,field,India,1,Central Broward Regional Park Stadium Turf Ground,2019-08-03,West Indies,India
62,CR Brathwaite,RA Jadeja,KA Pollard,1,0,1,45,4,11,6,-,0,,,10,,field,India,1,Central Broward Regional Park Stadium Turf Ground,2019-08-03,West Indies,India
63,CR Brathwaite,KH Pandya,KA Pollard,0,0,0,45,4,12,1,-,0,,,11,,field,India,1,Central Broward Regional Park Stadium Turf Ground,2019-08-03,West Indies,India
64,CR Brathwaite,KH Pandya,KA Pollard,0,0,0,45,4,13,2,-,0,,,11,,field,India,1,Central Broward Regional Park Stadium Turf Ground,2019-08-03,West Indies,India
65,CR Brathwaite,KH Pandya,KA Pollard,0,0,0,45,4,14,3,-,0,,,11,,field,India,1,Central Broward Regional Park Stadium Turf Ground,2019-08-03,West Indies,India
66,CR Brathwaite,KH Pandya,KA Pollard,0,0,0,45,4,15,4,-,0,,,11,,field,India,1,Central Broward Regional Park Stadium Turf Ground,2019-08-03,West Indies,India
67,CR Brathwaite,KH Pandya,KA Pollard,0,0,0,45,4,16,5,-,0,,,11,,field,India,1,Central Broward Regional Park Stadium Turf Ground,2019-08-03,West Indies,India
68,CR Brathwaite,KH Pandya,KA Pollard,0,0,0,45,4,17,6,-,0,,,11,,field,India,1,Central Broward Regional Park Stadium Turf Ground,2019-08-03,West Indies,India
69,KA Pollard,RA Jadeja,CR Brathwaite,1,0,1,46,11,23,1,-,0,,,12,,field,India,1,Central Broward Regional Park Stadium Turf Ground,2019-08-03,West Indies,India
70,CR Brathwaite,RA Jadeja,KA Pollard,1,0,1,47,5,18,2,-,0,,,12,,field,India,1,Central Broward Regional Park Stadium Turf Ground,2019-08-03,West Indies,India
71,KA Pollard,RA Jadeja,CR Brathwaite,0,0,0,47,11,24,3,-,0,,,12,,field,India,1,Central Broward Regional Park Stadium Turf Ground,2019-08-03,West Indies,India
72,KA Pollard,RA Jadeja,CR Brathwaite,6,0,6,53,17,25,4,-,0,,,12,,field,India,1,Central Broward Regional Park Stadium Turf Ground,2019-08-03,West Indies,India
73,KA Pollard,RA Jadeja,CR Brathwaite,1,0,1,54,18,26,5,-,0,,,12,,field,India,1,Central Broward Regional Park Stadium Turf Ground,2019-08-03,West Indies,India
