,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,wicket_type,player_out,fielder,over,extra_type,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,team_final
10,RG Sharma,K Santokie,V Kohli,0,0,0,5,124,2,4,1,5,0,,,2,-,field,India,2,Shere Bangla National Stadium,2014,03,India_West Indies_2014-03-23,India,India,West Indies,130
11,RG Sharma,K Santokie,V Kohli,0,0,0,5,124,2,5,1,6,0,,,2,-,field,India,2,Shere Bangla National Stadium,2014,03,India_West Indies_2014-03-23,India,India,West Indies,130
12,V Kohli,S Badree,RG Sharma,4,0,4,9,120,7,5,1,1,0,,,3,-,field,India,2,Shere Bangla National Stadium,2014,03,India_West Indies_2014-03-23,India,India,West Indies,130
13,V Kohli,S Badree,RG Sharma,6,0,6,15,114,13,6,1,2,0,,,3,-,field,India,2,Shere Bangla National Stadium,2014,03,India_West Indies_2014-03-23,India,India,West Indies,130
14,V Kohli,S Badree,RG Sharma,0,0,0,15,114,13,7,1,3,0,,,3,-,field,India,2,Shere Bangla National Stadium,2014,03,India_West Indies_2014-03-23,India,India,West Indies,130
15,V Kohli,S Badree,RG Sharma,0,0,0,15,114,13,8,1,4,0,,,3,-,field,India,2,Shere Bangla National Stadium,2014,03,India_West Indies_2014-03-23,India,India,West Indies,130
16,V Kohli,S Badree,RG Sharma,1,0,1,16,113,14,9,1,5,0,,,3,-,field,India,2,Shere Bangla National Stadium,2014,03,India_West Indies_2014-03-23,India,India,West Indies,130
17,RG Sharma,S Badree,V Kohli,1,0,1,17,112,3,6,1,6,0,,,3,-,field,India,2,Shere Bangla National Stadium,2014,03,India_West Indies_2014-03-23,India,India,West Indies,130
18,RG Sharma,K Santokie,V Kohli,0,0,0,17,112,3,7,1,1,0,,,4,-,field,India,2,Shere Bangla National Stadium,2014,03,India_West Indies_2014-03-23,India,India,West Indies,130
19,RG Sharma,K Santokie,V Kohli,1,0,1,18,111,4,8,1,2,0,,,4,-,field,India,2,Shere Bangla National Stadium,2014,03,India_West Indies_2014-03-23,India,India,West Indies,130
20,V Kohli,K Santokie,RG Sharma,2,0,2,20,109,16,10,1,3,0,,,4,-,field,India,2,Shere Bangla National Stadium,2014,03,India_West Indies_2014-03-23,India,India,West Indies,130
21,V Kohli,K Santokie,RG Sharma,4,0,4,24,105,20,11,1,4,0,,,4,-,field,India,2,Shere Bangla National Stadium,2014,03,India_West Indies_2014-03-23,India,India,West Indies,130
22,V Kohli,K Santokie,RG Sharma,4,0,4,28,101,24,12,1,5,0,,,4,-,field,India,2,Shere Bangla National Stadium,2014,03,India_West Indies_2014-03-23,India,India,West Indies,130
23,V Kohli,K Santokie,RG Sharma,0,0,0,28,101,24,13,1,6,0,,,4,-,field,India,2,Shere Bangla National Stadium,2014,03,India_West Indies_2014-03-23,India,India,West Indies,130
24,RG Sharma,S Badree,V Kohli,0,0,0,28,101,4,9,1,1,0,,,5,-,field,India,2,Shere Bangla National Stadium,2014,03,India_West Indies_2014-03-23,India,India,West Indies,130
25,RG Sharma,S Badree,V Kohli,0,0,0,28,101,4,10,1,2,0,,,5,-,field,India,2,Shere Bangla National Stadium,2014,03,India_West Indies_2014-03-23,India,India,West Indies,130
26,RG Sharma,S Badree,V Kohli,4,0,4,32,97,8,11,1,3,0,,,5,-,field,India,2,Shere Bangla National Stadium,2014,03,India_West Indies_2014-03-23,India,India,West Indies,130
27,RG Sharma,S Badree,V Kohli,4,0,4,36,93,12,12,1,4,0,,,5,-,field,India,2,Shere Bangla National Stadium,2014,03,India_West Indies_2014-03-23,India,India,West Indies,130
28,RG Sharma,S Badree,V Kohli,1,0,1,37,92,13,13,1,5,0,,,5,-,field,India,2,Shere Bangla National Stadium,2014,03,India_West Indies_2014-03-23,India,India,West Indies,130
29,V Kohli,S Badree,RG Sharma,1,0,1,38,91,25,14,1,6,0,,,5,-,field,India,2,Shere Bangla National Stadium,2014,03,India_West Indies_2014-03-23,India,India,West Indies,130
30,V Kohli,SP Narine,RG Sharma,1,1,2,40,89,26,15,1,1,0,,,6,noballs,field,India,2,Shere Bangla National Stadium,2014,03,India_West Indies_2014-03-23,India,India,West Indies,130
31,RG Sharma,SP Narine,V Kohli,6,0,6,46,83,19,14,1,2,0,,,6,-,field,India,2,Shere Bangla National Stadium,2014,03,India_West Indies_2014-03-23,India,India,West Indies,130
32,RG Sharma,SP Narine,V Kohli,1,0,1,47,82,20,15,1,3,0,,,6,-,field,India,2,Shere Bangla National Stadium,2014,03,India_West Indies_2014-03-23,India,India,West Indies,130
33,V Kohli,SP Narine,RG Sharma,1,0,1,48,81,27,16,1,4,0,,,6,-,field,India,2,Shere Bangla National Stadium,2014,03,India_West Indies_2014-03-23,India,India,West Indies,130
34,RG Sharma,SP Narine,V Kohli,0,0,0,48,81,20,16,1,5,0,,,6,-,field,India,2,Shere Bangla National Stadium,2014,03,India_West Indies_2014-03-23,India,India,West Indies,130
35,RG Sharma,SP Narine,V Kohli,0,0,0,48,81,20,17,1,6,0,,,6,-,field,India,2,Shere Bangla National Stadium,2014,03,India_West Indies_2014-03-23,India,India,West Indies,130
