,batter,bowler,extras,non_striker,runs_by_bat,extra_runs,total,team_total,batter_runs,balls_faced,delivery,extra_type,wicket_type,player_out,fielder,over,toss_decision,toss_winner,innings,venue,date,batting_team,bowling_team
28,GJ Maxwell,JJ Bumrah,,DJM Short,0,0,0,29,2,2,2,-,0,,,5,field,India,1,Melbourne Cricket Ground,2018-11-23,Australia,
29,GJ Maxwell,JJ Bumrah,,DJM Short,1,0,1,30,3,3,3,-,0,,,5,field,India,1,Melbourne Cricket Ground,2018-11-23,Australia,
30,DJM Short,JJ Bumrah,,GJ Maxwell,0,0,0,30,10,11,4,-,0,,,5,field,India,1,Melbourne Cricket Ground,2018-11-23,Australia,
31,DJM Short,JJ Bumrah,,GJ Maxwell,0,0,0,30,10,12,5,-,0,,,5,field,India,1,Melbourne Cricket Ground,2018-11-23,Australia,
32,DJM Short,JJ Bumrah,,GJ Maxwell,4,0,4,34,14,13,6,-,0,,,5,field,India,1,Melbourne Cricket Ground,2018-11-23,Australia,
33,GJ Maxwell,KK Ahmed,,DJM Short,1,0,1,35,4,4,1,-,0,,,6,field,India,1,Melbourne Cricket Ground,2018-11-23,Australia,
34,DJM Short,KK Ahmed,,GJ Maxwell,0,0,0,35,14,14,2,-,0,,,6,field,India,1,Melbourne Cricket Ground,2018-11-23,Australia,
35,DJM Short,KK Ahmed,,GJ Maxwell,0,0,0,35,14,15,3,-,bowled,DJM Short,,6,field,India,1,Melbourne Cricket Ground,2018-11-23,Australia,
36,MP Stoinis,KK Ahmed,{'wides': 1},GJ Maxwell,0,1,1,36,0,1,4,wides,0,,,6,field,India,1,Melbourne Cricket Ground,2018-11-23,Australia,
37,MP Stoinis,KK Ahmed,,GJ Maxwell,0,0,0,36,0,2,5,-,0,,,6,field,India,1,Melbourne Cricket Ground,2018-11-23,Australia,
38,MP Stoinis,KK Ahmed,,GJ Maxwell,4,0,4,40,4,3,6,-,0,,,6,field,India,1,Melbourne Cricket Ground,2018-11-23,Australia,
39,MP Stoinis,KK Ahmed,,GJ Maxwell,0,0,0,40,4,4,7,-,0,,,6,field,India,1,Melbourne Cricket Ground,2018-11-23,Australia,
40,GJ Maxwell,JJ Bumrah,,MP Stoinis,1,0,1,41,5,5,1,-,0,,,7,field,India,1,Melbourne Cricket Ground,2018-11-23,Australia,
41,MP Stoinis,JJ Bumrah,,GJ Maxwell,0,0,0,41,4,5,2,-,0,,,7,field,India,1,Melbourne Cricket Ground,2018-11-23,Australia,
42,MP Stoinis,JJ Bumrah,,GJ Maxwell,0,0,0,41,4,6,3,-,caught,MP Stoinis,KD Karthik,7,field,India,1,Melbourne Cricket Ground,2018-11-23,Australia,
43,GJ Maxwell,JJ Bumrah,,BR McDermott,0,0,0,41,5,6,4,-,0,,,7,field,India,1,Melbourne Cricket Ground,2018-11-23,Australia,
44,GJ Maxwell,JJ Bumrah,,BR McDermott,0,0,0,41,5,7,5,-,0,,,7,field,India,1,Melbourne Cricket Ground,2018-11-23,Australia,
45,GJ Maxwell,JJ Bumrah,,BR McDermott,0,0,0,41,5,8,6,-,0,,,7,field,India,1,Melbourne Cricket Ground,2018-11-23,Australia,
46,BR McDermott,Kuldeep Yadav,,GJ Maxwell,1,0,1,42,1,1,1,-,0,,,8,field,India,1,Melbourne Cricket Ground,2018-11-23,Australia,
47,GJ Maxwell,Kuldeep Yadav,,BR McDermott,0,0,0,42,5,9,2,-,0,,,8,field,India,1,Melbourne Cricket Ground,2018-11-23,Australia,
48,GJ Maxwell,Kuldeep Yadav,,BR McDermott,0,0,0,42,5,10,3,-,0,,,8,field,India,1,Melbourne Cricket Ground,2018-11-23,Australia,
49,GJ Maxwell,Kuldeep Yadav,,BR McDermott,3,0,3,45,8,11,4,-,0,,,8,field,India,1,Melbourne Cricket Ground,2018-11-23,Australia,
50,BR McDermott,Kuldeep Yadav,,GJ Maxwell,0,0,0,45,1,2,5,-,0,,,8,field,India,1,Melbourne Cricket Ground,2018-11-23,Australia,
51,BR McDermott,Kuldeep Yadav,,GJ Maxwell,1,0,1,46,2,3,6,-,0,,,8,field,India,1,Melbourne Cricket Ground,2018-11-23,Australia,
52,BR McDermott,KH Pandya,,GJ Maxwell,1,0,1,47,3,4,1,-,0,,,9,field,India,1,Melbourne Cricket Ground,2018-11-23,Australia,
53,GJ Maxwell,KH Pandya,{'wides': 1},BR McDermott,0,1,1,48,8,12,2,wides,0,,,9,field,India,1,Melbourne Cricket Ground,2018-11-23,Australia,
54,GJ Maxwell,KH Pandya,,BR McDermott,1,0,1,49,9,13,3,-,0,,,9,field,India,1,Melbourne Cricket Ground,2018-11-23,Australia,
55,BR McDermott,KH Pandya,,GJ Maxwell,1,0,1,50,4,5,4,-,0,,,9,field,India,1,Melbourne Cricket Ground,2018-11-23,Australia,
56,GJ Maxwell,KH Pandya,,BR McDermott,1,0,1,51,10,14,5,-,0,,,9,field,India,1,Melbourne Cricket Ground,2018-11-23,Australia,
57,BR McDermott,KH Pandya,,GJ Maxwell,1,0,1,52,5,6,6,-,0,,,9,field,India,1,Melbourne Cricket Ground,2018-11-23,Australia,
58,GJ Maxwell,KH Pandya,,BR McDermott,0,0,0,52,10,15,7,-,0,,,9,field,India,1,Melbourne Cricket Ground,2018-11-23,Australia,
59,BR McDermott,Kuldeep Yadav,,GJ Maxwell,1,0,1,53,6,7,1,-,0,,,10,field,India,1,Melbourne Cricket Ground,2018-11-23,Australia,
60,GJ Maxwell,Kuldeep Yadav,,BR McDermott,0,0,0,53,10,16,2,-,0,,,10,field,India,1,Melbourne Cricket Ground,2018-11-23,Australia,
61,GJ Maxwell,Kuldeep Yadav,,BR McDermott,1,0,1,54,11,17,3,-,0,,,10,field,India,1,Melbourne Cricket Ground,2018-11-23,Australia,
62,BR McDermott,Kuldeep Yadav,,GJ Maxwell,0,0,0,54,6,8,4,-,0,,,10,field,India,1,Melbourne Cricket Ground,2018-11-23,Australia,
63,BR McDermott,Kuldeep Yadav,,GJ Maxwell,0,0,0,54,6,9,5,-,0,,,10,field,India,1,Melbourne Cricket Ground,2018-11-23,Australia,
64,BR McDermott,Kuldeep Yadav,,GJ Maxwell,0,0,0,54,6,10,6,-,0,,,10,field,India,1,Melbourne Cricket Ground,2018-11-23,Australia,
65,GJ Maxwell,KH Pandya,,BR McDermott,2,0,2,56,13,18,1,-,0,,,11,field,India,1,Melbourne Cricket Ground,2018-11-23,Australia,
66,GJ Maxwell,KH Pandya,,BR McDermott,2,0,2,58,15,19,2,-,0,,,11,field,India,1,Melbourne Cricket Ground,2018-11-23,Australia,
67,GJ Maxwell,KH Pandya,,BR McDermott,4,0,4,62,19,20,3,-,0,,,11,field,India,1,Melbourne Cricket Ground,2018-11-23,Australia,
68,GJ Maxwell,KH Pandya,,BR McDermott,0,0,0,62,19,21,4,-,0,,,11,field,India,1,Melbourne Cricket Ground,2018-11-23,Australia,
69,GJ Maxwell,KH Pandya,,BR McDermott,0,0,0,62,19,22,5,-,0,,,11,field,India,1,Melbourne Cricket Ground,2018-11-23,Australia,
70,GJ Maxwell,KH Pandya,,BR McDermott,0,0,0,62,19,23,6,-,bowled,GJ Maxwell,,11,field,India,1,Melbourne Cricket Ground,2018-11-23,Australia,
71,BR McDermott,Kuldeep Yadav,,AT Carey,1,0,1,63,7,11,1,-,0,,,12,field,India,1,Melbourne Cricket Ground,2018-11-23,Australia,
72,AT Carey,Kuldeep Yadav,,BR McDermott,0,0,0,63,0,1,2,-,0,,,12,field,India,1,Melbourne Cricket Ground,2018-11-23,Australia,
73,AT Carey,Kuldeep Yadav,,BR McDermott,1,0,1,64,1,2,3,-,0,,,12,field,India,1,Melbourne Cricket Ground,2018-11-23,Australia,
74,BR McDermott,Kuldeep Yadav,,AT Carey,0,0,0,64,7,12,4,-,0,,,12,field,India,1,Melbourne Cricket Ground,2018-11-23,Australia,
75,BR McDermott,Kuldeep Yadav,{'wides': 1},AT Carey,0,1,1,65,7,13,5,wides,0,,,12,field,India,1,Melbourne Cricket Ground,2018-11-23,Australia,
76,BR McDermott,Kuldeep Yadav,,AT Carey,0,0,0,65,7,14,6,-,0,,,12,field,India,1,Melbourne Cricket Ground,2018-11-23,Australia,
77,BR McDermott,Kuldeep Yadav,,AT Carey,4,0,4,69,11,15,7,-,0,,,12,field,India,1,Melbourne Cricket Ground,2018-11-23,Australia,
78,AT Carey,KH Pandya,,BR McDermott,1,0,1,70,2,3,1,-,0,,,13,field,India,1,Melbourne Cricket Ground,2018-11-23,Australia,
79,BR McDermott,KH Pandya,,AT Carey,0,0,0,70,11,16,2,-,0,,,13,field,India,1,Melbourne Cricket Ground,2018-11-23,Australia,
80,BR McDermott,KH Pandya,,AT Carey,1,0,1,71,12,17,3,-,0,,,13,field,India,1,Melbourne Cricket Ground,2018-11-23,Australia,
81,AT Carey,KH Pandya,,BR McDermott,1,0,1,72,3,4,4,-,0,,,13,field,India,1,Melbourne Cricket Ground,2018-11-23,Australia,
82,BR McDermott,KH Pandya,,AT Carey,1,0,1,73,13,18,5,-,0,,,13,field,India,1,Melbourne Cricket Ground,2018-11-23,Australia,
83,AT Carey,KH Pandya,,BR McDermott,1,0,1,74,4,5,6,-,0,,,13,field,India,1,Melbourne Cricket Ground,2018-11-23,Australia,
84,AT Carey,Kuldeep Yadav,,BR McDermott,0,0,0,74,4,6,1,-,caught,AT Carey,KH Pandya,14,field,India,1,Melbourne Cricket Ground,2018-11-23,Australia,
85,BR McDermott,Kuldeep Yadav,,NM Coulter-Nile,1,0,1,75,14,19,2,-,0,,,14,field,India,1,Melbourne Cricket Ground,2018-11-23,Australia,
86,NM Coulter-Nile,Kuldeep Yadav,,BR McDermott,6,0,6,81,6,1,3,-,0,,,14,field,India,1,Melbourne Cricket Ground,2018-11-23,Australia,
87,NM Coulter-Nile,Kuldeep Yadav,,BR McDermott,0,0,0,81,6,2,4,-,0,,,14,field,India,1,Melbourne Cricket Ground,2018-11-23,Australia,
88,NM Coulter-Nile,Kuldeep Yadav,,BR McDermott,1,0,1,82,7,3,5,-,0,,,14,field,India,1,Melbourne Cricket Ground,2018-11-23,Australia,
89,BR McDermott,Kuldeep Yadav,,NM Coulter-Nile,1,0,1,83,15,20,6,-,0,,,14,field,India,1,Melbourne Cricket Ground,2018-11-23,Australia,
90,BR McDermott,KH Pandya,,NM Coulter-Nile,1,0,1,84,16,21,1,-,0,,,15,field,India,1,Melbourne Cricket Ground,2018-11-23,Australia,
91,NM Coulter-Nile,KH Pandya,{'legbyes': 2},BR McDermott,0,2,2,86,7,4,2,legbyes,0,,,15,field,India,1,Melbourne Cricket Ground,2018-11-23,Australia,
92,NM Coulter-Nile,KH Pandya,,BR McDermott,0,0,0,86,7,5,3,-,0,,,15,field,India,1,Melbourne Cricket Ground,2018-11-23,Australia,
93,NM Coulter-Nile,KH Pandya,,BR McDermott,4,0,4,90,11,6,4,-,0,,,15,field,India,1,Melbourne Cricket Ground,2018-11-23,Australia,
94,NM Coulter-Nile,KH Pandya,,BR McDermott,1,0,1,91,12,7,5,-,0,,,15,field,India,1,Melbourne Cricket Ground,2018-11-23,Australia,
95,BR McDermott,KH Pandya,,NM Coulter-Nile,1,0,1,92,17,22,6,-,0,,,15,field,India,1,Melbourne Cricket Ground,2018-11-23,Australia,
96,BR McDermott,B Kumar,,NM Coulter-Nile,0,0,0,92,17,23,1,-,0,,,16,field,India,1,Melbourne Cricket Ground,2018-11-23,Australia,
97,BR McDermott,B Kumar,,NM Coulter-Nile,0,0,0,92,17,24,2,-,0,,,16,field,India,1,Melbourne Cricket Ground,2018-11-23,Australia,
98,BR McDermott,B Kumar,,NM Coulter-Nile,2,0,2,94,19,25,3,-,0,,,16,field,India,1,Melbourne Cricket Ground,2018-11-23,Australia,
99,BR McDermott,B Kumar,,NM Coulter-Nile,1,0,1,95,20,26,4,-,0,,,16,field,India,1,Melbourne Cricket Ground,2018-11-23,Australia,
100,NM Coulter-Nile,B Kumar,,BR McDermott,6,0,6,101,18,8,5,-,0,,,16,field,India,1,Melbourne Cricket Ground,2018-11-23,Australia,
101,NM Coulter-Nile,B Kumar,,BR McDermott,0,0,0,101,18,9,6,-,caught,NM Coulter-Nile,MK Pandey,16,field,India,1,Melbourne Cricket Ground,2018-11-23,Australia,
102,AJ Tye,JJ Bumrah,,BR McDermott,0,0,0,101,0,1,1,-,0,,,17,field,India,1,Melbourne Cricket Ground,2018-11-23,Australia,
103,AJ Tye,JJ Bumrah,,BR McDermott,0,0,0,101,0,2,2,-,0,,,17,field,India,1,Melbourne Cricket Ground,2018-11-23,Australia,
104,AJ Tye,JJ Bumrah,,BR McDermott,0,0,0,101,0,3,3,-,0,,,17,field,India,1,Melbourne Cricket Ground,2018-11-23,Australia,
105,AJ Tye,JJ Bumrah,,BR McDermott,1,0,1,102,1,4,4,-,0,,,17,field,India,1,Melbourne Cricket Ground,2018-11-23,Australia,
106,BR McDermott,JJ Bumrah,,AJ Tye,1,0,1,103,21,27,5,-,0,,,17,field,India,1,Melbourne Cricket Ground,2018-11-23,Australia,
107,AJ Tye,JJ Bumrah,,BR McDermott,0,0,0,103,1,5,6,-,0,,,17,field,India,1,Melbourne Cricket Ground,2018-11-23,Australia,
108,BR McDermott,KK Ahmed,,AJ Tye,1,0,1,104,22,28,1,-,0,,,18,field,India,1,Melbourne Cricket Ground,2018-11-23,Australia,
109,AJ Tye,KK Ahmed,{'wides': 1},BR McDermott,0,1,1,105,1,6,2,wides,0,,,18,field,India,1,Melbourne Cricket Ground,2018-11-23,Australia,
110,AJ Tye,KK Ahmed,,BR McDermott,4,0,4,109,5,7,3,-,0,,,18,field,India,1,Melbourne Cricket Ground,2018-11-23,Australia,
111,AJ Tye,KK Ahmed,,BR McDermott,4,0,4,113,9,8,4,-,0,,,18,field,India,1,Melbourne Cricket Ground,2018-11-23,Australia,
112,AJ Tye,KK Ahmed,,BR McDermott,2,0,2,115,11,9,5,-,0,,,18,field,India,1,Melbourne Cricket Ground,2018-11-23,Australia,
113,AJ Tye,KK Ahmed,{'byes': 1},BR McDermott,0,1,1,116,11,10,6,byes,0,,,18,field,India,1,Melbourne Cricket Ground,2018-11-23,Australia,
114,BR McDermott,KK Ahmed,,AJ Tye,6,0,6,122,28,29,7,-,0,,,18,field,India,1,Melbourne Cricket Ground,2018-11-23,Australia,
115,AJ Tye,JJ Bumrah,{'wides': 5},BR McDermott,0,5,5,127,11,11,1,wides,0,,,19,field,India,1,Melbourne Cricket Ground,2018-11-23,Australia,
116,AJ Tye,JJ Bumrah,,BR McDermott,0,0,0,127,11,12,2,-,0,,,19,field,India,1,Melbourne Cricket Ground,2018-11-23,Australia,
117,AJ Tye,JJ Bumrah,,BR McDermott,0,0,0,127,11,13,3,-,0,,,19,field,India,1,Melbourne Cricket Ground,2018-11-23,Australia,
118,AJ Tye,JJ Bumrah,,BR McDermott,0,0,0,127,11,14,4,-,0,,,19,field,India,1,Melbourne Cricket Ground,2018-11-23,Australia,
119,AJ Tye,JJ Bumrah,,BR McDermott,1,0,1,128,12,15,5,-,0,,,19,field,India,1,Melbourne Cricket Ground,2018-11-23,Australia,
120,BR McDermott,JJ Bumrah,,AJ Tye,0,0,0,128,28,30,6,-,0,,,19,field,India,1,Melbourne Cricket Ground,2018-11-23,Australia,
121,BR McDermott,JJ Bumrah,,AJ Tye,4,0,4,132,32,31,7,-,0,,,19,field,India,1,Melbourne Cricket Ground,2018-11-23,Australia,
