,batter,bowler,non_striker,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,extra_type,delivery,over,wicket_type,player_out,fielder,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,won,final_team_total,batter_type,non_striker_type,bowler_type
33,HM Amla,CJ Jordan,Q de Kock,0,0,0,43,,31,21,0,-,2.0,5,0,,,field,England,1,Zahur Ahmed Chowdhury Stadium,2014,03,England_South Africa_2014-03-29,South Africa,South Africa,England,True,196,Right hand Bat,,Right arm Fast
34,HM Amla,CJ Jordan,Q de Kock,4,0,4,47,,35,22,0,-,3.0,5,0,,,field,England,1,Zahur Ahmed Chowdhury Stadium,2014,03,England_South Africa_2014-03-29,South Africa,South Africa,England,True,196,Right hand Bat,,Right arm Fast
35,HM Amla,CJ Jordan,Q de Kock,1,0,1,48,,36,23,0,-,4.0,5,0,,,field,England,1,Zahur Ahmed Chowdhury Stadium,2014,03,England_South Africa_2014-03-29,South Africa,South Africa,England,True,196,Right hand Bat,,Right arm Fast
36,Q de Kock,CJ Jordan,HM Amla,0,1,1,49,,10,14,0,wides,4.0,5,0,,,field,England,1,Zahur Ahmed Chowdhury Stadium,2014,03,England_South Africa_2014-03-29,South Africa,South Africa,England,True,196,,Right hand Bat,Right arm Fast
37,Q de Kock,CJ Jordan,HM Amla,1,0,1,50,,11,15,0,-,5.0,5,0,,,field,England,1,Zahur Ahmed Chowdhury Stadium,2014,03,England_South Africa_2014-03-29,South Africa,South Africa,England,True,196,,Right hand Bat,Right arm Fast
38,HM Amla,CJ Jordan,Q de Kock,2,0,2,52,,38,24,0,-,6.0,5,0,,,field,England,1,Zahur Ahmed Chowdhury Stadium,2014,03,England_South Africa_2014-03-29,South Africa,South Africa,England,True,196,Right hand Bat,,Right arm Fast
39,Q de Kock,JC Tredwell,HM Amla,1,0,1,53,,12,16,0,-,1.0,6,0,,,field,England,1,Zahur Ahmed Chowdhury Stadium,2014,03,England_South Africa_2014-03-29,South Africa,South Africa,England,True,196,,Right hand Bat,Right arm Offbreak
40,HM Amla,JC Tredwell,Q de Kock,1,0,1,54,,39,25,0,-,2.0,6,0,,,field,England,1,Zahur Ahmed Chowdhury Stadium,2014,03,England_South Africa_2014-03-29,South Africa,South Africa,England,True,196,Right hand Bat,,Right arm Offbreak
41,Q de Kock,JC Tredwell,HM Amla,0,0,0,54,,12,17,0,-,3.0,6,0,,,field,England,1,Zahur Ahmed Chowdhury Stadium,2014,03,England_South Africa_2014-03-29,South Africa,South Africa,England,True,196,,Right hand Bat,Right arm Offbreak
42,Q de Kock,JC Tredwell,HM Amla,4,0,4,58,,16,18,0,-,4.0,6,0,,,field,England,1,Zahur Ahmed Chowdhury Stadium,2014,03,England_South Africa_2014-03-29,South Africa,South Africa,England,True,196,,Right hand Bat,Right arm Offbreak
43,Q de Kock,JC Tredwell,HM Amla,2,0,2,60,,18,19,0,-,5.0,6,0,,,field,England,1,Zahur Ahmed Chowdhury Stadium,2014,03,England_South Africa_2014-03-29,South Africa,South Africa,England,True,196,,Right hand Bat,Right arm Offbreak
44,Q de Kock,JC Tredwell,HM Amla,0,0,0,60,,18,20,0,-,6.0,6,0,,,field,England,1,Zahur Ahmed Chowdhury Stadium,2014,03,England_South Africa_2014-03-29,South Africa,South Africa,England,True,196,,Right hand Bat,Right arm Offbreak
45,HM Amla,SCJ Broad,Q de Kock,1,0,1,61,,40,26,0,-,1.0,7,0,,,field,England,1,Zahur Ahmed Chowdhury Stadium,2014,03,England_South Africa_2014-03-29,South Africa,South Africa,England,True,196,Right hand Bat,,Right arm Fast
46,Q de Kock,SCJ Broad,HM Amla,0,0,0,61,,18,21,0,-,2.0,7,0,,,field,England,1,Zahur Ahmed Chowdhury Stadium,2014,03,England_South Africa_2014-03-29,South Africa,South Africa,England,True,196,,Right hand Bat,Right arm Fast
47,Q de Kock,SCJ Broad,HM Amla,1,0,1,62,,19,22,0,-,3.0,7,0,,,field,England,1,Zahur Ahmed Chowdhury Stadium,2014,03,England_South Africa_2014-03-29,South Africa,South Africa,England,True,196,,Right hand Bat,Right arm Fast
48,HM Amla,SCJ Broad,Q de Kock,2,0,2,64,,42,27,0,-,4.0,7,0,,,field,England,1,Zahur Ahmed Chowdhury Stadium,2014,03,England_South Africa_2014-03-29,South Africa,South Africa,England,True,196,Right hand Bat,,Right arm Fast
49,HM Amla,SCJ Broad,Q de Kock,0,0,0,64,,42,28,0,-,5.0,7,0,,,field,England,1,Zahur Ahmed Chowdhury Stadium,2014,03,England_South Africa_2014-03-29,South Africa,South Africa,England,True,196,Right hand Bat,,Right arm Fast
50,HM Amla,SCJ Broad,Q de Kock,4,0,4,68,,46,29,0,-,6.0,7,0,,,field,England,1,Zahur Ahmed Chowdhury Stadium,2014,03,England_South Africa_2014-03-29,South Africa,South Africa,England,True,196,Right hand Bat,,Right arm Fast
51,Q de Kock,JC Tredwell,HM Amla,1,0,1,69,,20,23,0,-,1.0,8,0,,,field,England,1,Zahur Ahmed Chowdhury Stadium,2014,03,England_South Africa_2014-03-29,South Africa,South Africa,England,True,196,,Right hand Bat,Right arm Offbreak
52,HM Amla,JC Tredwell,Q de Kock,1,0,1,70,,47,30,0,-,2.0,8,0,,,field,England,1,Zahur Ahmed Chowdhury Stadium,2014,03,England_South Africa_2014-03-29,South Africa,South Africa,England,True,196,Right hand Bat,,Right arm Offbreak
53,Q de Kock,JC Tredwell,HM Amla,0,0,0,70,,20,24,0,-,3.0,8,0,,,field,England,1,Zahur Ahmed Chowdhury Stadium,2014,03,England_South Africa_2014-03-29,South Africa,South Africa,England,True,196,,Right hand Bat,Right arm Offbreak
54,Q de Kock,JC Tredwell,HM Amla,1,0,1,71,,21,25,0,-,4.0,8,0,,,field,England,1,Zahur Ahmed Chowdhury Stadium,2014,03,England_South Africa_2014-03-29,South Africa,South Africa,England,True,196,,Right hand Bat,Right arm Offbreak
55,HM Amla,JC Tredwell,Q de Kock,2,0,2,73,,49,31,0,-,5.0,8,0,,,field,England,1,Zahur Ahmed Chowdhury Stadium,2014,03,England_South Africa_2014-03-29,South Africa,South Africa,England,True,196,Right hand Bat,,Right arm Offbreak
56,HM Amla,JC Tredwell,Q de Kock,1,0,1,74,,50,32,0,-,6.0,8,0,,,field,England,1,Zahur Ahmed Chowdhury Stadium,2014,03,England_South Africa_2014-03-29,South Africa,South Africa,England,True,196,Right hand Bat,,Right arm Offbreak
57,HM Amla,RS Bopara,Q de Kock,1,0,1,75,,51,33,0,-,1.0,9,0,,,field,England,1,Zahur Ahmed Chowdhury Stadium,2014,03,England_South Africa_2014-03-29,South Africa,South Africa,England,True,196,Right hand Bat,,Right arm Medium
58,Q de Kock,RS Bopara,HM Amla,1,0,1,76,,22,26,0,-,2.0,9,0,,,field,England,1,Zahur Ahmed Chowdhury Stadium,2014,03,England_South Africa_2014-03-29,South Africa,South Africa,England,True,196,,Right hand Bat,Right arm Medium
59,HM Amla,RS Bopara,Q de Kock,0,4,4,80,,51,34,0,byes,3.0,9,0,,,field,England,1,Zahur Ahmed Chowdhury Stadium,2014,03,England_South Africa_2014-03-29,South Africa,South Africa,England,True,196,Right hand Bat,,Right arm Medium
60,HM Amla,RS Bopara,Q de Kock,0,1,1,81,,51,35,0,legbyes,4.0,9,0,,,field,England,1,Zahur Ahmed Chowdhury Stadium,2014,03,England_South Africa_2014-03-29,South Africa,South Africa,England,True,196,Right hand Bat,,Right arm Medium
61,Q de Kock,RS Bopara,HM Amla,1,0,1,82,,23,27,0,-,5.0,9,0,,,field,England,1,Zahur Ahmed Chowdhury Stadium,2014,03,England_South Africa_2014-03-29,South Africa,South Africa,England,True,196,,Right hand Bat,Right arm Medium
62,HM Amla,RS Bopara,Q de Kock,0,1,1,83,,51,36,0,wides,5.0,9,0,,,field,England,1,Zahur Ahmed Chowdhury Stadium,2014,03,England_South Africa_2014-03-29,South Africa,South Africa,England,True,196,Right hand Bat,,Right arm Medium
63,HM Amla,RS Bopara,Q de Kock,2,0,2,85,,53,37,0,-,6.0,9,0,,,field,England,1,Zahur Ahmed Chowdhury Stadium,2014,03,England_South Africa_2014-03-29,South Africa,South Africa,England,True,196,Right hand Bat,,Right arm Medium
64,Q de Kock,SCJ Broad,HM Amla,1,0,1,86,,24,28,0,-,1.0,10,0,,,field,England,1,Zahur Ahmed Chowdhury Stadium,2014,03,England_South Africa_2014-03-29,South Africa,South Africa,England,True,196,,Right hand Bat,Right arm Fast
65,HM Amla,SCJ Broad,Q de Kock,1,0,1,87,,54,38,0,-,2.0,10,0,,,field,England,1,Zahur Ahmed Chowdhury Stadium,2014,03,England_South Africa_2014-03-29,South Africa,South Africa,England,True,196,Right hand Bat,,Right arm Fast
66,Q de Kock,SCJ Broad,HM Amla,1,0,1,88,,25,29,0,-,3.0,10,0,,,field,England,1,Zahur Ahmed Chowdhury Stadium,2014,03,England_South Africa_2014-03-29,South Africa,South Africa,England,True,196,,Right hand Bat,Right arm Fast
67,HM Amla,SCJ Broad,Q de Kock,2,0,2,90,,56,39,0,-,4.0,10,0,,,field,England,1,Zahur Ahmed Chowdhury Stadium,2014,03,England_South Africa_2014-03-29,South Africa,South Africa,England,True,196,Right hand Bat,,Right arm Fast
68,HM Amla,SCJ Broad,Q de Kock,0,0,0,90,,56,40,1,-,5.0,10,caught,HM Amla,AD Hales,field,England,1,Zahur Ahmed Chowdhury Stadium,2014,03,England_South Africa_2014-03-29,South Africa,South Africa,England,True,196,Right hand Bat,,Right arm Fast
69,Q de Kock,SCJ Broad,AB de Villiers,0,0,0,90,,25,30,1,-,6.0,10,0,,,field,England,1,Zahur Ahmed Chowdhury Stadium,2014,03,England_South Africa_2014-03-29,South Africa,South Africa,England,True,196,,Right hand Bat,Right arm Fast
70,AB de Villiers,RS Bopara,Q de Kock,1,0,1,91,,1,1,1,-,1.0,11,0,,,field,England,1,Zahur Ahmed Chowdhury Stadium,2014,03,England_South Africa_2014-03-29,South Africa,South Africa,England,True,196,Right hand Bat,,Right arm Medium
71,Q de Kock,RS Bopara,AB de Villiers,1,0,1,92,,26,31,1,-,2.0,11,0,,,field,England,1,Zahur Ahmed Chowdhury Stadium,2014,03,England_South Africa_2014-03-29,South Africa,South Africa,England,True,196,,Right hand Bat,Right arm Medium
72,AB de Villiers,RS Bopara,Q de Kock,1,0,1,93,,2,2,1,-,3.0,11,0,,,field,England,1,Zahur Ahmed Chowdhury Stadium,2014,03,England_South Africa_2014-03-29,South Africa,South Africa,England,True,196,Right hand Bat,,Right arm Medium
73,Q de Kock,RS Bopara,AB de Villiers,2,0,2,95,,28,32,1,-,4.0,11,0,,,field,England,1,Zahur Ahmed Chowdhury Stadium,2014,03,England_South Africa_2014-03-29,South Africa,South Africa,England,True,196,,Right hand Bat,Right arm Medium
74,Q de Kock,RS Bopara,AB de Villiers,1,0,1,96,,29,33,1,-,5.0,11,0,,,field,England,1,Zahur Ahmed Chowdhury Stadium,2014,03,England_South Africa_2014-03-29,South Africa,South Africa,England,True,196,,Right hand Bat,Right arm Medium
75,AB de Villiers,RS Bopara,Q de Kock,1,0,1,97,,3,3,1,-,6.0,11,0,,,field,England,1,Zahur Ahmed Chowdhury Stadium,2014,03,England_South Africa_2014-03-29,South Africa,South Africa,England,True,196,Right hand Bat,,Right arm Medium
76,AB de Villiers,JC Tredwell,Q de Kock,1,0,1,98,,4,4,1,-,1.0,12,0,,,field,England,1,Zahur Ahmed Chowdhury Stadium,2014,03,England_South Africa_2014-03-29,South Africa,South Africa,England,True,196,Right hand Bat,,Right arm Offbreak
77,Q de Kock,JC Tredwell,AB de Villiers,0,0,0,98,,29,34,2,-,2.0,12,stumped,Q de Kock,JC Buttler,field,England,1,Zahur Ahmed Chowdhury Stadium,2014,03,England_South Africa_2014-03-29,South Africa,South Africa,England,True,196,,Right hand Bat,Right arm Offbreak
78,JP Duminy,JC Tredwell,AB de Villiers,1,0,1,99,,1,1,2,-,3.0,12,0,,,field,England,1,Zahur Ahmed Chowdhury Stadium,2014,03,England_South Africa_2014-03-29,South Africa,South Africa,England,True,196,Left hand Bat,Right hand Bat,Right arm Offbreak
79,AB de Villiers,JC Tredwell,JP Duminy,4,0,4,103,,8,5,2,-,4.0,12,0,,,field,England,1,Zahur Ahmed Chowdhury Stadium,2014,03,England_South Africa_2014-03-29,South Africa,South Africa,England,True,196,Right hand Bat,Left hand Bat,Right arm Offbreak
80,AB de Villiers,JC Tredwell,JP Duminy,4,0,4,107,,12,6,2,-,5.0,12,0,,,field,England,1,Zahur Ahmed Chowdhury Stadium,2014,03,England_South Africa_2014-03-29,South Africa,South Africa,England,True,196,Right hand Bat,Left hand Bat,Right arm Offbreak
81,AB de Villiers,JC Tredwell,JP Duminy,1,0,1,108,,13,7,2,-,6.0,12,0,,,field,England,1,Zahur Ahmed Chowdhury Stadium,2014,03,England_South Africa_2014-03-29,South Africa,South Africa,England,True,196,Right hand Bat,Left hand Bat,Right arm Offbreak
82,AB de Villiers,SCJ Broad,JP Duminy,4,0,4,112,,17,8,2,-,1.0,13,0,,,field,England,1,Zahur Ahmed Chowdhury Stadium,2014,03,England_South Africa_2014-03-29,South Africa,South Africa,England,True,196,Right hand Bat,Left hand Bat,Right arm Fast
83,AB de Villiers,SCJ Broad,JP Duminy,1,0,1,113,,18,9,2,-,2.0,13,0,,,field,England,1,Zahur Ahmed Chowdhury Stadium,2014,03,England_South Africa_2014-03-29,South Africa,South Africa,England,True,196,Right hand Bat,Left hand Bat,Right arm Fast
84,JP Duminy,SCJ Broad,AB de Villiers,1,0,1,114,,2,2,2,-,3.0,13,0,,,field,England,1,Zahur Ahmed Chowdhury Stadium,2014,03,England_South Africa_2014-03-29,South Africa,South Africa,England,True,196,Left hand Bat,Right hand Bat,Right arm Fast
85,AB de Villiers,SCJ Broad,JP Duminy,0,0,0,114,,18,10,2,-,4.0,13,0,,,field,England,1,Zahur Ahmed Chowdhury Stadium,2014,03,England_South Africa_2014-03-29,South Africa,South Africa,England,True,196,Right hand Bat,Left hand Bat,Right arm Fast
86,AB de Villiers,SCJ Broad,JP Duminy,2,0,2,116,,20,11,2,-,5.0,13,0,,,field,England,1,Zahur Ahmed Chowdhury Stadium,2014,03,England_South Africa_2014-03-29,South Africa,South Africa,England,True,196,Right hand Bat,Left hand Bat,Right arm Fast
87,AB de Villiers,SCJ Broad,JP Duminy,0,0,0,116,,20,12,2,-,6.0,13,0,,,field,England,1,Zahur Ahmed Chowdhury Stadium,2014,03,England_South Africa_2014-03-29,South Africa,South Africa,England,True,196,Right hand Bat,Left hand Bat,Right arm Fast
88,JP Duminy,CJ Jordan,AB de Villiers,0,1,1,117,,2,3,2,wides,0.0,14,0,,,field,England,1,Zahur Ahmed Chowdhury Stadium,2014,03,England_South Africa_2014-03-29,South Africa,South Africa,England,True,196,Left hand Bat,Right hand Bat,Right arm Fast
89,JP Duminy,CJ Jordan,AB de Villiers,0,0,0,117,,2,4,2,-,1.0,14,0,,,field,England,1,Zahur Ahmed Chowdhury Stadium,2014,03,England_South Africa_2014-03-29,South Africa,South Africa,England,True,196,Left hand Bat,Right hand Bat,Right arm Fast
90,JP Duminy,CJ Jordan,AB de Villiers,2,0,2,119,,4,5,2,-,2.0,14,0,,,field,England,1,Zahur Ahmed Chowdhury Stadium,2014,03,England_South Africa_2014-03-29,South Africa,South Africa,England,True,196,Left hand Bat,Right hand Bat,Right arm Fast
91,JP Duminy,CJ Jordan,AB de Villiers,1,0,1,120,,5,6,3,-,3.0,14,run out,JP Duminy,RS Bopara;JC Buttler,field,England,1,Zahur Ahmed Chowdhury Stadium,2014,03,England_South Africa_2014-03-29,South Africa,South Africa,England,True,196,Left hand Bat,Right hand Bat,Right arm Fast
92,DA Miller,CJ Jordan,AB de Villiers,0,0,0,120,,0,1,3,-,4.0,14,0,,,field,England,1,Zahur Ahmed Chowdhury Stadium,2014,03,England_South Africa_2014-03-29,South Africa,South Africa,England,True,196,Left hand Bat,Right hand Bat,Right arm Fast
93,DA Miller,CJ Jordan,AB de Villiers,0,0,0,120,,0,2,3,-,5.0,14,0,,,field,England,1,Zahur Ahmed Chowdhury Stadium,2014,03,England_South Africa_2014-03-29,South Africa,South Africa,England,True,196,Left hand Bat,Right hand Bat,Right arm Fast
94,DA Miller,CJ Jordan,AB de Villiers,1,0,1,121,,1,3,3,-,6.0,14,0,,,field,England,1,Zahur Ahmed Chowdhury Stadium,2014,03,England_South Africa_2014-03-29,South Africa,South Africa,England,True,196,Left hand Bat,Right hand Bat,Right arm Fast
95,DA Miller,TT Bresnan,AB de Villiers,0,0,0,121,,1,4,3,-,1.0,15,0,,,field,England,1,Zahur Ahmed Chowdhury Stadium,2014,03,England_South Africa_2014-03-29,South Africa,South Africa,England,True,196,Left hand Bat,Right hand Bat,Right arm Medium
96,DA Miller,TT Bresnan,AB de Villiers,1,0,1,122,,2,5,3,-,2.0,15,0,,,field,England,1,Zahur Ahmed Chowdhury Stadium,2014,03,England_South Africa_2014-03-29,South Africa,South Africa,England,True,196,Left hand Bat,Right hand Bat,Right arm Medium
97,AB de Villiers,TT Bresnan,DA Miller,0,0,0,122,,20,13,3,-,3.0,15,0,,,field,England,1,Zahur Ahmed Chowdhury Stadium,2014,03,England_South Africa_2014-03-29,South Africa,South Africa,England,True,196,Right hand Bat,Left hand Bat,Right arm Medium
98,AB de Villiers,TT Bresnan,DA Miller,1,0,1,123,,21,14,3,-,4.0,15,0,,,field,England,1,Zahur Ahmed Chowdhury Stadium,2014,03,England_South Africa_2014-03-29,South Africa,South Africa,England,True,196,Right hand Bat,Left hand Bat,Right arm Medium
99,DA Miller,TT Bresnan,AB de Villiers,1,0,1,124,,3,6,3,-,5.0,15,0,,,field,England,1,Zahur Ahmed Chowdhury Stadium,2014,03,England_South Africa_2014-03-29,South Africa,South Africa,England,True,196,Left hand Bat,Right hand Bat,Right arm Medium
100,AB de Villiers,TT Bresnan,DA Miller,4,0,4,128,,25,15,3,-,6.0,15,0,,,field,England,1,Zahur Ahmed Chowdhury Stadium,2014,03,England_South Africa_2014-03-29,South Africa,South Africa,England,True,196,Right hand Bat,Left hand Bat,Right arm Medium
101,DA Miller,SCJ Broad,AB de Villiers,0,1,1,129,,3,7,3,legbyes,1.0,16,0,,,field,England,1,Zahur Ahmed Chowdhury Stadium,2014,03,England_South Africa_2014-03-29,South Africa,South Africa,England,True,196,Left hand Bat,Right hand Bat,Right arm Fast
102,AB de Villiers,SCJ Broad,DA Miller,2,0,2,131,,27,16,3,-,2.0,16,0,,,field,England,1,Zahur Ahmed Chowdhury Stadium,2014,03,England_South Africa_2014-03-29,South Africa,South Africa,England,True,196,Right hand Bat,Left hand Bat,Right arm Fast
