,batter,bowler,non_striker,review,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,extra_type,delivery,wicket_type,player_out,fielder,over,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,won,final_team_total
61,SS Iyer,Aminul Islam,S Dhawan,,0,0,0,70,,22,13,3,-,2.0,caught,SS Iyer,Mohammad Naim,10,field,Bangladesh,1,Arun Jaitley Stadium,2019,11,India_Bangladesh_2019-11-03,Bangladesh,India,Bangladesh,False,148
62,S Dhawan,Aminul Islam,RR Pant,,1,0,1,71,,25,28,3,-,3.0,0,,,10,field,Bangladesh,1,Arun Jaitley Stadium,2019,11,India_Bangladesh_2019-11-03,Bangladesh,India,Bangladesh,False,148
63,RR Pant,Aminul Islam,S Dhawan,,1,0,1,72,,1,1,3,-,4.0,0,,,10,field,Bangladesh,1,Arun Jaitley Stadium,2019,11,India_Bangladesh_2019-11-03,Bangladesh,India,Bangladesh,False,148
64,S Dhawan,Aminul Islam,RR Pant,,1,0,1,73,,26,29,3,-,5.0,0,,,10,field,Bangladesh,1,Arun Jaitley Stadium,2019,11,India_Bangladesh_2019-11-03,Bangladesh,India,Bangladesh,False,148
65,RR Pant,Aminul Islam,S Dhawan,,0,0,0,73,,1,2,3,-,6.0,0,,,10,field,Bangladesh,1,Arun Jaitley Stadium,2019,11,India_Bangladesh_2019-11-03,Bangladesh,India,Bangladesh,False,148
66,S Dhawan,Afif Hossain,RR Pant,,0,0,0,73,,26,30,3,-,1.0,0,,,11,field,Bangladesh,1,Arun Jaitley Stadium,2019,11,India_Bangladesh_2019-11-03,Bangladesh,India,Bangladesh,False,148
67,S Dhawan,Afif Hossain,RR Pant,,0,0,0,73,,26,31,3,-,2.0,0,,,11,field,Bangladesh,1,Arun Jaitley Stadium,2019,11,India_Bangladesh_2019-11-03,Bangladesh,India,Bangladesh,False,148
68,S Dhawan,Afif Hossain,RR Pant,,1,0,1,74,,27,32,3,-,3.0,0,,,11,field,Bangladesh,1,Arun Jaitley Stadium,2019,11,India_Bangladesh_2019-11-03,Bangladesh,India,Bangladesh,False,148
69,RR Pant,Afif Hossain,S Dhawan,,1,0,1,75,,2,3,3,-,4.0,0,,,11,field,Bangladesh,1,Arun Jaitley Stadium,2019,11,India_Bangladesh_2019-11-03,Bangladesh,India,Bangladesh,False,148
70,S Dhawan,Afif Hossain,RR Pant,,0,0,0,75,,27,33,3,-,5.0,0,,,11,field,Bangladesh,1,Arun Jaitley Stadium,2019,11,India_Bangladesh_2019-11-03,Bangladesh,India,Bangladesh,False,148
71,S Dhawan,Afif Hossain,RR Pant,,0,0,0,75,,27,34,3,-,6.0,0,,,11,field,Bangladesh,1,Arun Jaitley Stadium,2019,11,India_Bangladesh_2019-11-03,Bangladesh,India,Bangladesh,False,148
72,RR Pant,Mosaddek Hossain,S Dhawan,,0,0,0,75,,2,4,3,-,1.0,0,,,12,field,Bangladesh,1,Arun Jaitley Stadium,2019,11,India_Bangladesh_2019-11-03,Bangladesh,India,Bangladesh,False,148
73,RR Pant,Mosaddek Hossain,S Dhawan,,1,0,1,76,,3,5,3,-,2.0,0,,,12,field,Bangladesh,1,Arun Jaitley Stadium,2019,11,India_Bangladesh_2019-11-03,Bangladesh,India,Bangladesh,False,148
74,S Dhawan,Mosaddek Hossain,RR Pant,,4,0,4,80,,31,35,3,-,3.0,0,,,12,field,Bangladesh,1,Arun Jaitley Stadium,2019,11,India_Bangladesh_2019-11-03,Bangladesh,India,Bangladesh,False,148
75,S Dhawan,Mosaddek Hossain,RR Pant,,1,0,1,81,,32,36,3,-,4.0,0,,,12,field,Bangladesh,1,Arun Jaitley Stadium,2019,11,India_Bangladesh_2019-11-03,Bangladesh,India,Bangladesh,False,148
76,RR Pant,Mosaddek Hossain,S Dhawan,,1,0,1,82,,4,6,3,-,5.0,0,,,12,field,Bangladesh,1,Arun Jaitley Stadium,2019,11,India_Bangladesh_2019-11-03,Bangladesh,India,Bangladesh,False,148
77,S Dhawan,Mosaddek Hossain,RR Pant,,1,0,1,83,,33,37,3,-,6.0,0,,,12,field,Bangladesh,1,Arun Jaitley Stadium,2019,11,India_Bangladesh_2019-11-03,Bangladesh,India,Bangladesh,False,148
78,S Dhawan,Afif Hossain,RR Pant,,1,0,1,84,,34,38,3,-,1.0,0,,,13,field,Bangladesh,1,Arun Jaitley Stadium,2019,11,India_Bangladesh_2019-11-03,Bangladesh,India,Bangladesh,False,148
79,RR Pant,Afif Hossain,S Dhawan,,0,0,0,84,,4,7,3,-,2.0,0,,,13,field,Bangladesh,1,Arun Jaitley Stadium,2019,11,India_Bangladesh_2019-11-03,Bangladesh,India,Bangladesh,False,148
80,RR Pant,Afif Hossain,S Dhawan,,0,0,0,84,,4,8,3,-,3.0,0,,,13,field,Bangladesh,1,Arun Jaitley Stadium,2019,11,India_Bangladesh_2019-11-03,Bangladesh,India,Bangladesh,False,148
