,batter,bowler,non_striker,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,over,extra_type,wicket_type,player_out,fielder,replacements,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,final_team_total
98,Mohammad Nabi,J Little,Najibullah Zadran,1,0,1,97,35,27,25,5,2,15,-,0,,,,bat,Ireland,2,"Rajiv Gandhi International Cricket Stadium, Dehradun",2019,02,Afghanistan_Ireland_2019-02-21,Afghanistan,Afghanistan,Ireland,136
99,Najibullah Zadran,J Little,Mohammad Nabi,4,0,4,101,31,27,30,5,3,15,-,0,,,,bat,Ireland,2,"Rajiv Gandhi International Cricket Stadium, Dehradun",2019,02,Afghanistan_Ireland_2019-02-21,Afghanistan,Afghanistan,Ireland,136
100,Najibullah Zadran,J Little,Mohammad Nabi,0,0,0,101,31,27,31,5,4,15,-,0,,,,bat,Ireland,2,"Rajiv Gandhi International Cricket Stadium, Dehradun",2019,02,Afghanistan_Ireland_2019-02-21,Afghanistan,Afghanistan,Ireland,136
101,Najibullah Zadran,J Little,Mohammad Nabi,0,0,0,101,31,27,32,5,5,15,-,0,,,,bat,Ireland,2,"Rajiv Gandhi International Cricket Stadium, Dehradun",2019,02,Afghanistan_Ireland_2019-02-21,Afghanistan,Afghanistan,Ireland,136
102,Najibullah Zadran,J Little,Mohammad Nabi,6,0,6,107,25,33,33,5,6,15,-,0,,,,bat,Ireland,2,"Rajiv Gandhi International Cricket Stadium, Dehradun",2019,02,Afghanistan_Ireland_2019-02-21,Afghanistan,Afghanistan,Ireland,136
103,Mohammad Nabi,WB Rankin,Najibullah Zadran,2,0,2,109,23,29,26,5,1,16,-,0,,,,bat,Ireland,2,"Rajiv Gandhi International Cricket Stadium, Dehradun",2019,02,Afghanistan_Ireland_2019-02-21,Afghanistan,Afghanistan,Ireland,136
104,Mohammad Nabi,WB Rankin,Najibullah Zadran,2,0,2,111,21,31,27,5,2,16,-,0,,,,bat,Ireland,2,"Rajiv Gandhi International Cricket Stadium, Dehradun",2019,02,Afghanistan_Ireland_2019-02-21,Afghanistan,Afghanistan,Ireland,136
105,Mohammad Nabi,WB Rankin,Najibullah Zadran,4,0,4,115,17,35,28,5,3,16,-,0,,,,bat,Ireland,2,"Rajiv Gandhi International Cricket Stadium, Dehradun",2019,02,Afghanistan_Ireland_2019-02-21,Afghanistan,Afghanistan,Ireland,136
106,Mohammad Nabi,WB Rankin,Najibullah Zadran,0,0,0,115,17,35,29,5,4,16,-,0,,,,bat,Ireland,2,"Rajiv Gandhi International Cricket Stadium, Dehradun",2019,02,Afghanistan_Ireland_2019-02-21,Afghanistan,Afghanistan,Ireland,136
107,Mohammad Nabi,WB Rankin,Najibullah Zadran,0,0,0,115,17,35,30,5,5,16,-,0,,,,bat,Ireland,2,"Rajiv Gandhi International Cricket Stadium, Dehradun",2019,02,Afghanistan_Ireland_2019-02-21,Afghanistan,Afghanistan,Ireland,136
108,Mohammad Nabi,WB Rankin,Najibullah Zadran,2,0,2,117,15,37,31,5,6,16,-,0,,,,bat,Ireland,2,"Rajiv Gandhi International Cricket Stadium, Dehradun",2019,02,Afghanistan_Ireland_2019-02-21,Afghanistan,Afghanistan,Ireland,136
109,Najibullah Zadran,J Little,Mohammad Nabi,0,0,0,117,15,33,34,5,1,17,-,0,,,,bat,Ireland,2,"Rajiv Gandhi International Cricket Stadium, Dehradun",2019,02,Afghanistan_Ireland_2019-02-21,Afghanistan,Afghanistan,Ireland,136
110,Najibullah Zadran,J Little,Mohammad Nabi,4,0,4,121,11,37,35,5,2,17,-,0,,,,bat,Ireland,2,"Rajiv Gandhi International Cricket Stadium, Dehradun",2019,02,Afghanistan_Ireland_2019-02-21,Afghanistan,Afghanistan,Ireland,136
111,Najibullah Zadran,J Little,Mohammad Nabi,1,0,1,122,10,38,36,5,3,17,-,0,,,,bat,Ireland,2,"Rajiv Gandhi International Cricket Stadium, Dehradun",2019,02,Afghanistan_Ireland_2019-02-21,Afghanistan,Afghanistan,Ireland,136
112,Mohammad Nabi,J Little,Najibullah Zadran,1,0,1,123,9,38,32,5,4,17,-,0,,,,bat,Ireland,2,"Rajiv Gandhi International Cricket Stadium, Dehradun",2019,02,Afghanistan_Ireland_2019-02-21,Afghanistan,Afghanistan,Ireland,136
113,Najibullah Zadran,J Little,Mohammad Nabi,1,0,1,124,8,39,37,5,5,17,-,0,,,,bat,Ireland,2,"Rajiv Gandhi International Cricket Stadium, Dehradun",2019,02,Afghanistan_Ireland_2019-02-21,Afghanistan,Afghanistan,Ireland,136
114,Mohammad Nabi,J Little,Najibullah Zadran,0,0,0,124,8,38,33,5,6,17,-,0,,,,bat,Ireland,2,"Rajiv Gandhi International Cricket Stadium, Dehradun",2019,02,Afghanistan_Ireland_2019-02-21,Afghanistan,Afghanistan,Ireland,136
115,Najibullah Zadran,WB Rankin,Mohammad Nabi,1,0,1,125,7,40,38,5,1,18,-,0,,,,bat,Ireland,2,"Rajiv Gandhi International Cricket Stadium, Dehradun",2019,02,Afghanistan_Ireland_2019-02-21,Afghanistan,Afghanistan,Ireland,136
116,Mohammad Nabi,WB Rankin,Najibullah Zadran,0,0,0,125,7,38,34,5,2,18,-,0,,,,bat,Ireland,2,"Rajiv Gandhi International Cricket Stadium, Dehradun",2019,02,Afghanistan_Ireland_2019-02-21,Afghanistan,Afghanistan,Ireland,136
117,Mohammad Nabi,WB Rankin,Najibullah Zadran,0,0,0,125,7,38,35,5,3,18,-,0,,,,bat,Ireland,2,"Rajiv Gandhi International Cricket Stadium, Dehradun",2019,02,Afghanistan_Ireland_2019-02-21,Afghanistan,Afghanistan,Ireland,136
118,Mohammad Nabi,WB Rankin,Najibullah Zadran,6,0,6,131,1,44,36,5,4,18,-,0,,,,bat,Ireland,2,"Rajiv Gandhi International Cricket Stadium, Dehradun",2019,02,Afghanistan_Ireland_2019-02-21,Afghanistan,Afghanistan,Ireland,136
119,Mohammad Nabi,WB Rankin,Najibullah Zadran,0,0,0,131,1,44,37,5,5,18,-,0,,,,bat,Ireland,2,"Rajiv Gandhi International Cricket Stadium, Dehradun",2019,02,Afghanistan_Ireland_2019-02-21,Afghanistan,Afghanistan,Ireland,136
120,Mohammad Nabi,WB Rankin,Najibullah Zadran,1,0,1,132,0,45,38,5,6,18,-,0,,,,bat,Ireland,2,"Rajiv Gandhi International Cricket Stadium, Dehradun",2019,02,Afghanistan_Ireland_2019-02-21,Afghanistan,Afghanistan,Ireland,136
121,Mohammad Nabi,PKD Chase,Najibullah Zadran,0,0,0,132,0,45,39,5,1,19,-,0,,,,bat,Ireland,2,"Rajiv Gandhi International Cricket Stadium, Dehradun",2019,02,Afghanistan_Ireland_2019-02-21,Afghanistan,Afghanistan,Ireland,136
122,Mohammad Nabi,PKD Chase,Najibullah Zadran,4,0,4,136,-4,49,40,5,2,19,-,0,,,,bat,Ireland,2,"Rajiv Gandhi International Cricket Stadium, Dehradun",2019,02,Afghanistan_Ireland_2019-02-21,Afghanistan,Afghanistan,Ireland,136
