,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,batter_runs,balls_faced,delivery,over,review,extra_type,wicket_type,player_out,fielder,toss_decision,toss_winner,innings,venue,date,winning_team,batting_team,bowling_team
42,Iftikhar Ahmed,B Stanlake,Haris Sohail,0,0,0,41,18,10,5,7,,-,0,,,field,Australia,1,Perth Stadium,2019-11-08,Australia,Pakistan,Australia
43,Iftikhar Ahmed,B Stanlake,Haris Sohail,0,0,0,41,18,11,6,7,,-,0,,,field,Australia,1,Perth Stadium,2019-11-08,Australia,Pakistan,Australia
44,Haris Sohail,AC Agar,Iftikhar Ahmed,2,0,2,43,3,9,1,8,,-,0,,,field,Australia,1,Perth Stadium,2019-11-08,Australia,Pakistan,Australia
45,Haris Sohail,AC Agar,Iftikhar Ahmed,1,0,1,44,4,10,2,8,,-,0,,,field,Australia,1,Perth Stadium,2019-11-08,Australia,Pakistan,Australia
46,Iftikhar Ahmed,AC Agar,Haris Sohail,2,0,2,46,20,12,3,8,,-,0,,,field,Australia,1,Perth Stadium,2019-11-08,Australia,Pakistan,Australia
47,Iftikhar Ahmed,AC Agar,Haris Sohail,1,0,1,47,21,13,4,8,,-,0,,,field,Australia,1,Perth Stadium,2019-11-08,Australia,Pakistan,Australia
48,Haris Sohail,AC Agar,Iftikhar Ahmed,1,0,1,48,5,11,5,8,,-,0,,,field,Australia,1,Perth Stadium,2019-11-08,Australia,Pakistan,Australia
49,Iftikhar Ahmed,AC Agar,Haris Sohail,0,0,0,48,21,14,6,8,,-,0,,,field,Australia,1,Perth Stadium,2019-11-08,Australia,Pakistan,Australia
50,Haris Sohail,B Stanlake,Iftikhar Ahmed,1,0,1,49,6,12,1,9,,-,0,,,field,Australia,1,Perth Stadium,2019-11-08,Australia,Pakistan,Australia
51,Iftikhar Ahmed,B Stanlake,Haris Sohail,1,0,1,50,22,15,2,9,,-,0,,,field,Australia,1,Perth Stadium,2019-11-08,Australia,Pakistan,Australia
52,Haris Sohail,B Stanlake,Iftikhar Ahmed,0,0,0,50,6,13,3,9,,-,0,,,field,Australia,1,Perth Stadium,2019-11-08,Australia,Pakistan,Australia
53,Haris Sohail,B Stanlake,Iftikhar Ahmed,0,1,1,51,6,14,4,9,,wides,0,,,field,Australia,1,Perth Stadium,2019-11-08,Australia,Pakistan,Australia
54,Haris Sohail,B Stanlake,Iftikhar Ahmed,1,0,1,52,7,15,5,9,,-,0,,,field,Australia,1,Perth Stadium,2019-11-08,Australia,Pakistan,Australia
55,Iftikhar Ahmed,B Stanlake,Haris Sohail,1,0,1,53,23,16,6,9,,-,0,,,field,Australia,1,Perth Stadium,2019-11-08,Australia,Pakistan,Australia
56,Haris Sohail,B Stanlake,Iftikhar Ahmed,1,0,1,54,8,16,7,9,,-,0,,,field,Australia,1,Perth Stadium,2019-11-08,Australia,Pakistan,Australia
57,Haris Sohail,AC Agar,Iftikhar Ahmed,0,0,0,54,8,17,1,10,,-,caught,Haris Sohail,KW Richardson,field,Australia,1,Perth Stadium,2019-11-08,Australia,Pakistan,Australia
58,Khushdil Shah,AC Agar,Iftikhar Ahmed,1,0,1,55,1,1,2,10,,-,0,,,field,Australia,1,Perth Stadium,2019-11-08,Australia,Pakistan,Australia
59,Iftikhar Ahmed,AC Agar,Khushdil Shah,1,0,1,56,24,17,3,10,,-,0,,,field,Australia,1,Perth Stadium,2019-11-08,Australia,Pakistan,Australia
60,Khushdil Shah,AC Agar,Iftikhar Ahmed,1,0,1,57,2,2,4,10,,-,0,,,field,Australia,1,Perth Stadium,2019-11-08,Australia,Pakistan,Australia
61,Iftikhar Ahmed,AC Agar,Khushdil Shah,1,0,1,58,25,18,5,10,,-,0,,,field,Australia,1,Perth Stadium,2019-11-08,Australia,Pakistan,Australia
62,Khushdil Shah,AC Agar,Iftikhar Ahmed,1,0,1,59,3,3,6,10,,-,0,,,field,Australia,1,Perth Stadium,2019-11-08,Australia,Pakistan,Australia
63,Khushdil Shah,B Stanlake,Iftikhar Ahmed,0,1,1,60,3,4,1,11,,legbyes,0,,,field,Australia,1,Perth Stadium,2019-11-08,Australia,Pakistan,Australia
64,Iftikhar Ahmed,B Stanlake,Khushdil Shah,0,0,0,60,25,19,2,11,,-,0,,,field,Australia,1,Perth Stadium,2019-11-08,Australia,Pakistan,Australia
65,Iftikhar Ahmed,B Stanlake,Khushdil Shah,1,0,1,61,26,20,3,11,,-,0,,,field,Australia,1,Perth Stadium,2019-11-08,Australia,Pakistan,Australia
66,Khushdil Shah,B Stanlake,Iftikhar Ahmed,1,0,1,62,4,5,4,11,,-,0,,,field,Australia,1,Perth Stadium,2019-11-08,Australia,Pakistan,Australia
67,Iftikhar Ahmed,B Stanlake,Khushdil Shah,1,0,1,63,27,21,5,11,,-,0,,,field,Australia,1,Perth Stadium,2019-11-08,Australia,Pakistan,Australia
68,Khushdil Shah,B Stanlake,Iftikhar Ahmed,0,0,0,63,4,6,6,11,,-,0,,,field,Australia,1,Perth Stadium,2019-11-08,Australia,Pakistan,Australia
69,Iftikhar Ahmed,AC Agar,Khushdil Shah,1,0,1,64,28,22,1,12,,-,0,,,field,Australia,1,Perth Stadium,2019-11-08,Australia,Pakistan,Australia
70,Khushdil Shah,AC Agar,Iftikhar Ahmed,0,0,0,64,4,7,2,12,,-,0,,,field,Australia,1,Perth Stadium,2019-11-08,Australia,Pakistan,Australia
71,Khushdil Shah,AC Agar,Iftikhar Ahmed,2,0,2,66,6,8,3,12,,-,0,,,field,Australia,1,Perth Stadium,2019-11-08,Australia,Pakistan,Australia
72,Khushdil Shah,AC Agar,Iftikhar Ahmed,1,0,1,67,7,9,4,12,,-,0,,,field,Australia,1,Perth Stadium,2019-11-08,Australia,Pakistan,Australia
73,Iftikhar Ahmed,AC Agar,Khushdil Shah,1,0,1,68,29,23,5,12,,-,0,,,field,Australia,1,Perth Stadium,2019-11-08,Australia,Pakistan,Australia
74,Khushdil Shah,AC Agar,Iftikhar Ahmed,1,0,1,69,8,10,6,12,,-,0,,,field,Australia,1,Perth Stadium,2019-11-08,Australia,Pakistan,Australia
75,Khushdil Shah,KW Richardson,Iftikhar Ahmed,0,0,0,69,8,11,1,13,,-,caught,Khushdil Shah,MA Starc,field,Australia,1,Perth Stadium,2019-11-08,Australia,Pakistan,Australia
76,Iftikhar Ahmed,KW Richardson,Imad Wasim,4,0,4,73,33,24,2,13,,-,0,,,field,Australia,1,Perth Stadium,2019-11-08,Australia,Pakistan,Australia
77,Iftikhar Ahmed,KW Richardson,Imad Wasim,0,0,0,73,33,25,3,13,,-,0,,,field,Australia,1,Perth Stadium,2019-11-08,Australia,Pakistan,Australia
78,Iftikhar Ahmed,KW Richardson,Imad Wasim,2,0,2,75,35,26,4,13,,-,0,,,field,Australia,1,Perth Stadium,2019-11-08,Australia,Pakistan,Australia
79,Iftikhar Ahmed,KW Richardson,Imad Wasim,0,0,0,75,35,27,5,13,,-,0,,,field,Australia,1,Perth Stadium,2019-11-08,Australia,Pakistan,Australia
80,Iftikhar Ahmed,KW Richardson,Imad Wasim,4,0,4,79,39,28,6,13,,-,0,,,field,Australia,1,Perth Stadium,2019-11-08,Australia,Pakistan,Australia
81,Imad Wasim,AC Agar,Iftikhar Ahmed,1,0,1,80,1,1,1,14,,-,0,,,field,Australia,1,Perth Stadium,2019-11-08,Australia,Pakistan,Australia
82,Iftikhar Ahmed,AC Agar,Imad Wasim,1,0,1,81,40,29,2,14,,-,0,,,field,Australia,1,Perth Stadium,2019-11-08,Australia,Pakistan,Australia
83,Imad Wasim,AC Agar,Iftikhar Ahmed,2,0,2,83,3,2,3,14,,-,0,,,field,Australia,1,Perth Stadium,2019-11-08,Australia,Pakistan,Australia
84,Imad Wasim,AC Agar,Iftikhar Ahmed,1,0,1,84,4,3,4,14,,-,0,,,field,Australia,1,Perth Stadium,2019-11-08,Australia,Pakistan,Australia
85,Iftikhar Ahmed,AC Agar,Imad Wasim,1,0,1,85,41,30,5,14,,-,0,,,field,Australia,1,Perth Stadium,2019-11-08,Australia,Pakistan,Australia
86,Imad Wasim,AC Agar,Iftikhar Ahmed,1,0,1,86,5,4,6,14,,-,0,,,field,Australia,1,Perth Stadium,2019-11-08,Australia,Pakistan,Australia
87,Imad Wasim,SA Abbott,Iftikhar Ahmed,1,0,1,87,6,5,1,15,,-,0,,,field,Australia,1,Perth Stadium,2019-11-08,Australia,Pakistan,Australia
88,Iftikhar Ahmed,SA Abbott,Imad Wasim,1,0,1,88,42,31,2,15,,-,0,,,field,Australia,1,Perth Stadium,2019-11-08,Australia,Pakistan,Australia
89,Imad Wasim,SA Abbott,Iftikhar Ahmed,0,0,0,88,6,6,3,15,,-,caught,Imad Wasim,AC Agar,field,Australia,1,Perth Stadium,2019-11-08,Australia,Pakistan,Australia
90,Iftikhar Ahmed,SA Abbott,Shadab Khan,0,0,0,88,42,32,4,15,,-,0,,,field,Australia,1,Perth Stadium,2019-11-08,Australia,Pakistan,Australia
91,Iftikhar Ahmed,SA Abbott,Shadab Khan,1,0,1,89,43,33,5,15,,-,0,,,field,Australia,1,Perth Stadium,2019-11-08,Australia,Pakistan,Australia
92,Shadab Khan,SA Abbott,Iftikhar Ahmed,0,0,0,89,0,1,6,15,,-,0,,,field,Australia,1,Perth Stadium,2019-11-08,Australia,Pakistan,Australia
93,Iftikhar Ahmed,B Stanlake,Shadab Khan,1,0,1,90,44,34,1,16,,-,0,,,field,Australia,1,Perth Stadium,2019-11-08,Australia,Pakistan,Australia
94,Shadab Khan,B Stanlake,Iftikhar Ahmed,0,0,0,90,0,2,2,16,,-,0,,,field,Australia,1,Perth Stadium,2019-11-08,Australia,Pakistan,Australia
95,Shadab Khan,B Stanlake,Iftikhar Ahmed,1,0,1,91,1,3,3,16,,-,0,,,field,Australia,1,Perth Stadium,2019-11-08,Australia,Pakistan,Australia
96,Iftikhar Ahmed,B Stanlake,Shadab Khan,0,0,0,91,44,35,4,16,,-,0,,,field,Australia,1,Perth Stadium,2019-11-08,Australia,Pakistan,Australia
97,Iftikhar Ahmed,B Stanlake,Shadab Khan,1,0,1,92,45,36,5,16,,-,0,,,field,Australia,1,Perth Stadium,2019-11-08,Australia,Pakistan,Australia
98,Shadab Khan,B Stanlake,Iftikhar Ahmed,0,0,0,92,1,4,6,16,,-,0,,,field,Australia,1,Perth Stadium,2019-11-08,Australia,Pakistan,Australia
99,Iftikhar Ahmed,KW Richardson,Shadab Khan,0,0,0,92,45,37,1,17,,-,caught,Iftikhar Ahmed,MA Starc,field,Australia,1,Perth Stadium,2019-11-08,Australia,Pakistan,Australia
100,Shadab Khan,KW Richardson,Mohammad Amir,0,0,0,92,1,5,2,17,,-,0,,,field,Australia,1,Perth Stadium,2019-11-08,Australia,Pakistan,Australia
101,Shadab Khan,KW Richardson,Mohammad Amir,0,0,0,92,1,6,3,17,,-,0,,,field,Australia,1,Perth Stadium,2019-11-08,Australia,Pakistan,Australia
102,Shadab Khan,KW Richardson,Mohammad Amir,0,0,0,92,1,7,4,17,,-,0,,,field,Australia,1,Perth Stadium,2019-11-08,Australia,Pakistan,Australia
103,Shadab Khan,KW Richardson,Mohammad Amir,0,0,0,92,1,8,5,17,,-,caught,Shadab Khan,AJ Finch,field,Australia,1,Perth Stadium,2019-11-08,Australia,Pakistan,Australia
104,Mohammad Hasnain,KW Richardson,Mohammad Amir,4,0,4,96,4,1,6,17,,-,0,,,field,Australia,1,Perth Stadium,2019-11-08,Australia,Pakistan,Australia
105,Mohammad Amir,MA Starc,Mohammad Hasnain,0,1,1,97,0,1,1,18,,wides,0,,,field,Australia,1,Perth Stadium,2019-11-08,Australia,Pakistan,Australia
106,Mohammad Amir,MA Starc,Mohammad Hasnain,0,0,0,97,0,2,2,18,,-,0,,,field,Australia,1,Perth Stadium,2019-11-08,Australia,Pakistan,Australia
107,Mohammad Amir,MA Starc,Mohammad Hasnain,6,0,6,103,6,3,3,18,,-,0,,,field,Australia,1,Perth Stadium,2019-11-08,Australia,Pakistan,Australia
108,Mohammad Amir,MA Starc,Mohammad Hasnain,0,0,0,103,6,4,4,18,,-,0,,,field,Australia,1,Perth Stadium,2019-11-08,Australia,Pakistan,Australia
109,Mohammad Amir,MA Starc,Mohammad Hasnain,1,0,1,104,7,5,5,18,,-,0,,,field,Australia,1,Perth Stadium,2019-11-08,Australia,Pakistan,Australia
110,Mohammad Hasnain,MA Starc,Mohammad Amir,0,0,0,104,4,2,6,18,,-,0,,,field,Australia,1,Perth Stadium,2019-11-08,Australia,Pakistan,Australia
111,Mohammad Hasnain,MA Starc,Mohammad Amir,0,0,0,104,4,3,7,18,,-,0,,,field,Australia,1,Perth Stadium,2019-11-08,Australia,Pakistan,Australia
112,Mohammad Amir,KW Richardson,Mohammad Hasnain,1,0,1,105,8,6,1,19,,-,0,,,field,Australia,1,Perth Stadium,2019-11-08,Australia,Pakistan,Australia
113,Mohammad Hasnain,KW Richardson,Mohammad Amir,0,0,0,105,4,4,2,19,,-,0,,,field,Australia,1,Perth Stadium,2019-11-08,Australia,Pakistan,Australia
114,Mohammad Hasnain,KW Richardson,Mohammad Amir,0,0,0,105,4,5,3,19,,-,0,,,field,Australia,1,Perth Stadium,2019-11-08,Australia,Pakistan,Australia
115,Mohammad Hasnain,KW Richardson,Mohammad Amir,0,0,0,105,4,6,4,19,,-,0,,,field,Australia,1,Perth Stadium,2019-11-08,Australia,Pakistan,Australia
116,Mohammad Hasnain,KW Richardson,Mohammad Amir,0,0,0,105,4,7,5,19,,-,0,,,field,Australia,1,Perth Stadium,2019-11-08,Australia,Pakistan,Australia
117,Mohammad Hasnain,KW Richardson,Mohammad Amir,0,0,0,105,4,8,6,19,,-,0,,,field,Australia,1,Perth Stadium,2019-11-08,Australia,Pakistan,Australia
118,Mohammad Amir,SA Abbott,Mohammad Hasnain,0,0,0,105,8,7,1,20,,-,0,,,field,Australia,1,Perth Stadium,2019-11-08,Australia,Pakistan,Australia
119,Mohammad Amir,SA Abbott,Mohammad Hasnain,0,0,0,105,8,8,2,20,,-,0,,,field,Australia,1,Perth Stadium,2019-11-08,Australia,Pakistan,Australia
120,Mohammad Amir,SA Abbott,Mohammad Hasnain,0,0,0,105,8,9,3,20,,-,0,,,field,Australia,1,Perth Stadium,2019-11-08,Australia,Pakistan,Australia
121,Mohammad Amir,SA Abbott,Mohammad Hasnain,1,0,1,106,9,10,4,20,,-,0,,,field,Australia,1,Perth Stadium,2019-11-08,Australia,Pakistan,Australia
122,Mohammad Hasnain,SA Abbott,Mohammad Amir,0,0,0,106,4,9,5,20,,-,0,,,field,Australia,1,Perth Stadium,2019-11-08,Australia,Pakistan,Australia
123,Mohammad Hasnain,SA Abbott,Mohammad Amir,0,0,0,106,4,10,6,20,,-,0,,,field,Australia,1,Perth Stadium,2019-11-08,Australia,Pakistan,Australia
