,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,over,review,wicket_type,player_out,fielder,extra_type,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,team_final
10,E Lewis,K Rabada,LMP Simmons,4,0,4,20,148,17,6,0,5,2,,0,,,-,bat,South Africa,2,"National Cricket Stadium, St George's, Grenada",2021,07,South Africa_West Indies_2021-07-03,South Africa,West Indies,South Africa,143
11,E Lewis,K Rabada,LMP Simmons,0,0,0,20,148,17,7,0,6,2,,0,,,-,bat,South Africa,2,"National Cricket Stadium, St George's, Grenada",2021,07,South Africa_West Indies_2021-07-03,South Africa,West Indies,South Africa,143
12,LMP Simmons,GF Linde,E Lewis,0,0,0,20,148,3,6,1,1,3,"{'by': 'West Indies', 'umpire': 'JS Wilson', 'batter': 'LMP Simmons', 'decision': 'struck down'}",lbw,LMP Simmons,,-,bat,South Africa,2,"National Cricket Stadium, St George's, Grenada",2021,07,South Africa_West Indies_2021-07-03,South Africa,West Indies,South Africa,143
13,CH Gayle,GF Linde,E Lewis,1,0,1,21,147,1,1,1,2,3,,0,,,-,bat,South Africa,2,"National Cricket Stadium, St George's, Grenada",2021,07,South Africa_West Indies_2021-07-03,South Africa,West Indies,South Africa,143
14,E Lewis,GF Linde,CH Gayle,1,0,1,22,146,18,8,1,3,3,,0,,,-,bat,South Africa,2,"National Cricket Stadium, St George's, Grenada",2021,07,South Africa_West Indies_2021-07-03,South Africa,West Indies,South Africa,143
15,CH Gayle,GF Linde,E Lewis,1,0,1,23,145,2,2,1,4,3,,0,,,-,bat,South Africa,2,"National Cricket Stadium, St George's, Grenada",2021,07,South Africa_West Indies_2021-07-03,South Africa,West Indies,South Africa,143
16,E Lewis,GF Linde,CH Gayle,1,0,1,24,144,19,9,1,5,3,,0,,,-,bat,South Africa,2,"National Cricket Stadium, St George's, Grenada",2021,07,South Africa_West Indies_2021-07-03,South Africa,West Indies,South Africa,143
17,CH Gayle,GF Linde,E Lewis,0,0,0,24,144,2,3,1,6,3,,0,,,-,bat,South Africa,2,"National Cricket Stadium, St George's, Grenada",2021,07,South Africa_West Indies_2021-07-03,South Africa,West Indies,South Africa,143
18,E Lewis,K Rabada,CH Gayle,0,1,1,25,143,19,10,1,1,4,,0,,,noballs,bat,South Africa,2,"National Cricket Stadium, St George's, Grenada",2021,07,South Africa_West Indies_2021-07-03,South Africa,West Indies,South Africa,143
19,E Lewis,K Rabada,CH Gayle,4,0,4,29,139,23,11,1,2,4,,0,,,-,bat,South Africa,2,"National Cricket Stadium, St George's, Grenada",2021,07,South Africa_West Indies_2021-07-03,South Africa,West Indies,South Africa,143
20,E Lewis,K Rabada,CH Gayle,0,0,0,29,139,23,12,1,3,4,,0,,,-,bat,South Africa,2,"National Cricket Stadium, St George's, Grenada",2021,07,South Africa_West Indies_2021-07-03,South Africa,West Indies,South Africa,143
21,E Lewis,K Rabada,CH Gayle,2,0,2,31,137,25,13,1,4,4,,0,,,-,bat,South Africa,2,"National Cricket Stadium, St George's, Grenada",2021,07,South Africa_West Indies_2021-07-03,South Africa,West Indies,South Africa,143
22,E Lewis,K Rabada,CH Gayle,0,0,0,31,137,25,14,1,5,4,,0,,,-,bat,South Africa,2,"National Cricket Stadium, St George's, Grenada",2021,07,South Africa_West Indies_2021-07-03,South Africa,West Indies,South Africa,143
23,E Lewis,K Rabada,CH Gayle,0,0,0,31,137,25,15,1,6,4,,0,,,-,bat,South Africa,2,"National Cricket Stadium, St George's, Grenada",2021,07,South Africa_West Indies_2021-07-03,South Africa,West Indies,South Africa,143
24,E Lewis,K Rabada,CH Gayle,1,0,1,32,136,26,16,1,7,4,,0,,,-,bat,South Africa,2,"National Cricket Stadium, St George's, Grenada",2021,07,South Africa_West Indies_2021-07-03,South Africa,West Indies,South Africa,143
25,E Lewis,L Ngidi,CH Gayle,0,0,0,32,136,26,17,1,1,5,,0,,,-,bat,South Africa,2,"National Cricket Stadium, St George's, Grenada",2021,07,South Africa_West Indies_2021-07-03,South Africa,West Indies,South Africa,143
26,E Lewis,L Ngidi,CH Gayle,2,0,2,34,134,28,18,1,2,5,,0,,,-,bat,South Africa,2,"National Cricket Stadium, St George's, Grenada",2021,07,South Africa_West Indies_2021-07-03,South Africa,West Indies,South Africa,143
27,E Lewis,L Ngidi,CH Gayle,0,1,1,35,133,28,19,1,3,5,,0,,,wides,bat,South Africa,2,"National Cricket Stadium, St George's, Grenada",2021,07,South Africa_West Indies_2021-07-03,South Africa,West Indies,South Africa,143
28,E Lewis,L Ngidi,CH Gayle,6,0,6,41,127,34,20,1,4,5,,0,,,-,bat,South Africa,2,"National Cricket Stadium, St George's, Grenada",2021,07,South Africa_West Indies_2021-07-03,South Africa,West Indies,South Africa,143
29,E Lewis,L Ngidi,CH Gayle,0,0,0,41,127,34,21,1,5,5,,0,,,-,bat,South Africa,2,"National Cricket Stadium, St George's, Grenada",2021,07,South Africa_West Indies_2021-07-03,South Africa,West Indies,South Africa,143
30,E Lewis,L Ngidi,CH Gayle,4,0,4,45,123,38,22,1,6,5,,0,,,-,bat,South Africa,2,"National Cricket Stadium, St George's, Grenada",2021,07,South Africa_West Indies_2021-07-03,South Africa,West Indies,South Africa,143
31,E Lewis,L Ngidi,CH Gayle,0,0,0,45,123,38,23,1,7,5,,0,,,-,bat,South Africa,2,"National Cricket Stadium, St George's, Grenada",2021,07,South Africa_West Indies_2021-07-03,South Africa,West Indies,South Africa,143
32,CH Gayle,T Shamsi,E Lewis,0,0,0,45,123,2,4,1,1,6,,0,,,-,bat,South Africa,2,"National Cricket Stadium, St George's, Grenada",2021,07,South Africa_West Indies_2021-07-03,South Africa,West Indies,South Africa,143
33,CH Gayle,T Shamsi,E Lewis,1,0,1,46,122,3,5,1,2,6,,0,,,-,bat,South Africa,2,"National Cricket Stadium, St George's, Grenada",2021,07,South Africa_West Indies_2021-07-03,South Africa,West Indies,South Africa,143
34,E Lewis,T Shamsi,CH Gayle,0,0,0,46,122,38,24,1,3,6,,0,,,-,bat,South Africa,2,"National Cricket Stadium, St George's, Grenada",2021,07,South Africa_West Indies_2021-07-03,South Africa,West Indies,South Africa,143
35,E Lewis,T Shamsi,CH Gayle,4,0,4,50,118,42,25,1,4,6,,0,,,-,bat,South Africa,2,"National Cricket Stadium, St George's, Grenada",2021,07,South Africa_West Indies_2021-07-03,South Africa,West Indies,South Africa,143
36,E Lewis,T Shamsi,CH Gayle,0,0,0,50,118,42,26,1,5,6,,0,,,-,bat,South Africa,2,"National Cricket Stadium, St George's, Grenada",2021,07,South Africa_West Indies_2021-07-03,South Africa,West Indies,South Africa,143
37,E Lewis,T Shamsi,CH Gayle,0,0,0,50,118,42,27,1,6,6,,0,,,-,bat,South Africa,2,"National Cricket Stadium, St George's, Grenada",2021,07,South Africa_West Indies_2021-07-03,South Africa,West Indies,South Africa,143
38,CH Gayle,GF Linde,E Lewis,1,0,1,51,117,4,6,1,1,7,,0,,,-,bat,South Africa,2,"National Cricket Stadium, St George's, Grenada",2021,07,South Africa_West Indies_2021-07-03,South Africa,West Indies,South Africa,143
39,E Lewis,GF Linde,CH Gayle,6,0,6,57,111,48,28,1,2,7,,0,,,-,bat,South Africa,2,"National Cricket Stadium, St George's, Grenada",2021,07,South Africa_West Indies_2021-07-03,South Africa,West Indies,South Africa,143
40,E Lewis,GF Linde,CH Gayle,0,0,0,57,111,48,29,1,3,7,,0,,,-,bat,South Africa,2,"National Cricket Stadium, St George's, Grenada",2021,07,South Africa_West Indies_2021-07-03,South Africa,West Indies,South Africa,143
41,E Lewis,GF Linde,CH Gayle,1,0,1,58,110,49,30,1,4,7,,0,,,-,bat,South Africa,2,"National Cricket Stadium, St George's, Grenada",2021,07,South Africa_West Indies_2021-07-03,South Africa,West Indies,South Africa,143
42,CH Gayle,GF Linde,E Lewis,6,0,6,64,104,10,7,1,5,7,,0,,,-,bat,South Africa,2,"National Cricket Stadium, St George's, Grenada",2021,07,South Africa_West Indies_2021-07-03,South Africa,West Indies,South Africa,143
43,CH Gayle,GF Linde,E Lewis,1,0,1,65,103,11,8,1,6,7,,0,,,-,bat,South Africa,2,"National Cricket Stadium, St George's, Grenada",2021,07,South Africa_West Indies_2021-07-03,South Africa,West Indies,South Africa,143
44,CH Gayle,T Shamsi,E Lewis,0,0,0,65,103,11,9,2,1,8,,caught,CH Gayle,Q de Kock,-,bat,South Africa,2,"National Cricket Stadium, St George's, Grenada",2021,07,South Africa_West Indies_2021-07-03,South Africa,West Indies,South Africa,143
45,SO Hetmyer,T Shamsi,E Lewis,1,0,1,66,102,1,1,2,2,8,,0,,,-,bat,South Africa,2,"National Cricket Stadium, St George's, Grenada",2021,07,South Africa_West Indies_2021-07-03,South Africa,West Indies,South Africa,143
46,E Lewis,T Shamsi,SO Hetmyer,1,0,1,67,101,50,31,2,3,8,,0,,,-,bat,South Africa,2,"National Cricket Stadium, St George's, Grenada",2021,07,South Africa_West Indies_2021-07-03,South Africa,West Indies,South Africa,143
47,SO Hetmyer,T Shamsi,E Lewis,0,0,0,67,101,1,2,2,4,8,,0,,,-,bat,South Africa,2,"National Cricket Stadium, St George's, Grenada",2021,07,South Africa_West Indies_2021-07-03,South Africa,West Indies,South Africa,143
48,SO Hetmyer,T Shamsi,E Lewis,0,0,0,67,101,1,3,2,5,8,,0,,,-,bat,South Africa,2,"National Cricket Stadium, St George's, Grenada",2021,07,South Africa_West Indies_2021-07-03,South Africa,West Indies,South Africa,143
49,SO Hetmyer,T Shamsi,E Lewis,1,0,1,68,100,2,4,2,6,8,,0,,,-,bat,South Africa,2,"National Cricket Stadium, St George's, Grenada",2021,07,South Africa_West Indies_2021-07-03,South Africa,West Indies,South Africa,143
50,SO Hetmyer,PWA Mulder,E Lewis,1,0,1,69,99,3,5,2,1,9,,0,,,-,bat,South Africa,2,"National Cricket Stadium, St George's, Grenada",2021,07,South Africa_West Indies_2021-07-03,South Africa,West Indies,South Africa,143
51,E Lewis,PWA Mulder,SO Hetmyer,0,1,1,70,98,50,32,2,2,9,,0,,,wides,bat,South Africa,2,"National Cricket Stadium, St George's, Grenada",2021,07,South Africa_West Indies_2021-07-03,South Africa,West Indies,South Africa,143
52,E Lewis,PWA Mulder,SO Hetmyer,1,0,1,71,97,51,33,2,3,9,,0,,,-,bat,South Africa,2,"National Cricket Stadium, St George's, Grenada",2021,07,South Africa_West Indies_2021-07-03,South Africa,West Indies,South Africa,143
53,SO Hetmyer,PWA Mulder,E Lewis,1,0,1,72,96,4,6,2,4,9,,0,,,-,bat,South Africa,2,"National Cricket Stadium, St George's, Grenada",2021,07,South Africa_West Indies_2021-07-03,South Africa,West Indies,South Africa,143
54,E Lewis,PWA Mulder,SO Hetmyer,1,0,1,73,95,52,34,2,5,9,,0,,,-,bat,South Africa,2,"National Cricket Stadium, St George's, Grenada",2021,07,South Africa_West Indies_2021-07-03,South Africa,West Indies,South Africa,143
55,SO Hetmyer,PWA Mulder,E Lewis,0,0,0,73,95,4,7,2,6,9,,0,,,-,bat,South Africa,2,"National Cricket Stadium, St George's, Grenada",2021,07,South Africa_West Indies_2021-07-03,South Africa,West Indies,South Africa,143
56,SO Hetmyer,PWA Mulder,E Lewis,1,0,1,74,94,5,8,2,7,9,,0,,,-,bat,South Africa,2,"National Cricket Stadium, St George's, Grenada",2021,07,South Africa_West Indies_2021-07-03,South Africa,West Indies,South Africa,143
57,SO Hetmyer,L Ngidi,E Lewis,1,0,1,75,93,6,9,2,1,10,,0,,,-,bat,South Africa,2,"National Cricket Stadium, St George's, Grenada",2021,07,South Africa_West Indies_2021-07-03,South Africa,West Indies,South Africa,143
58,E Lewis,L Ngidi,SO Hetmyer,0,0,0,75,93,52,35,2,2,10,,0,,,-,bat,South Africa,2,"National Cricket Stadium, St George's, Grenada",2021,07,South Africa_West Indies_2021-07-03,South Africa,West Indies,South Africa,143
59,E Lewis,L Ngidi,SO Hetmyer,0,0,0,75,93,52,36,3,3,10,,caught,E Lewis,AK Markram,-,bat,South Africa,2,"National Cricket Stadium, St George's, Grenada",2021,07,South Africa_West Indies_2021-07-03,South Africa,West Indies,South Africa,143
60,KA Pollard,L Ngidi,SO Hetmyer,1,0,1,76,92,1,1,3,4,10,,0,,,-,bat,South Africa,2,"National Cricket Stadium, St George's, Grenada",2021,07,South Africa_West Indies_2021-07-03,South Africa,West Indies,South Africa,143
61,SO Hetmyer,L Ngidi,KA Pollard,0,0,0,76,92,6,10,3,5,10,,0,,,-,bat,South Africa,2,"National Cricket Stadium, St George's, Grenada",2021,07,South Africa_West Indies_2021-07-03,South Africa,West Indies,South Africa,143
62,SO Hetmyer,L Ngidi,KA Pollard,1,0,1,77,91,7,11,3,6,10,,0,,,-,bat,South Africa,2,"National Cricket Stadium, St George's, Grenada",2021,07,South Africa_West Indies_2021-07-03,South Africa,West Indies,South Africa,143
63,SO Hetmyer,PWA Mulder,KA Pollard,1,0,1,78,90,8,12,3,1,11,,0,,,-,bat,South Africa,2,"National Cricket Stadium, St George's, Grenada",2021,07,South Africa_West Indies_2021-07-03,South Africa,West Indies,South Africa,143
64,KA Pollard,PWA Mulder,SO Hetmyer,0,0,0,78,90,1,2,3,2,11,,0,,,-,bat,South Africa,2,"National Cricket Stadium, St George's, Grenada",2021,07,South Africa_West Indies_2021-07-03,South Africa,West Indies,South Africa,143
65,KA Pollard,PWA Mulder,SO Hetmyer,0,1,1,79,89,1,3,3,3,11,,0,,,wides,bat,South Africa,2,"National Cricket Stadium, St George's, Grenada",2021,07,South Africa_West Indies_2021-07-03,South Africa,West Indies,South Africa,143
66,KA Pollard,PWA Mulder,SO Hetmyer,1,0,1,80,88,2,4,3,4,11,,0,,,-,bat,South Africa,2,"National Cricket Stadium, St George's, Grenada",2021,07,South Africa_West Indies_2021-07-03,South Africa,West Indies,South Africa,143
67,SO Hetmyer,PWA Mulder,KA Pollard,0,1,1,81,87,8,13,3,5,11,,0,,,wides,bat,South Africa,2,"National Cricket Stadium, St George's, Grenada",2021,07,South Africa_West Indies_2021-07-03,South Africa,West Indies,South Africa,143
68,SO Hetmyer,PWA Mulder,KA Pollard,0,0,0,81,87,8,14,3,6,11,,0,,,-,bat,South Africa,2,"National Cricket Stadium, St George's, Grenada",2021,07,South Africa_West Indies_2021-07-03,South Africa,West Indies,South Africa,143
69,SO Hetmyer,PWA Mulder,KA Pollard,1,0,1,82,86,9,15,3,7,11,,0,,,-,bat,South Africa,2,"National Cricket Stadium, St George's, Grenada",2021,07,South Africa_West Indies_2021-07-03,South Africa,West Indies,South Africa,143
70,KA Pollard,PWA Mulder,SO Hetmyer,1,0,1,83,85,3,5,3,8,11,,0,,,-,bat,South Africa,2,"National Cricket Stadium, St George's, Grenada",2021,07,South Africa_West Indies_2021-07-03,South Africa,West Indies,South Africa,143
71,KA Pollard,T Shamsi,SO Hetmyer,0,0,0,83,85,3,6,3,1,12,,0,,,-,bat,South Africa,2,"National Cricket Stadium, St George's, Grenada",2021,07,South Africa_West Indies_2021-07-03,South Africa,West Indies,South Africa,143
72,KA Pollard,T Shamsi,SO Hetmyer,0,0,0,83,85,3,7,3,2,12,,0,,,-,bat,South Africa,2,"National Cricket Stadium, St George's, Grenada",2021,07,South Africa_West Indies_2021-07-03,South Africa,West Indies,South Africa,143
73,KA Pollard,T Shamsi,SO Hetmyer,1,0,1,84,84,4,8,3,3,12,,0,,,-,bat,South Africa,2,"National Cricket Stadium, St George's, Grenada",2021,07,South Africa_West Indies_2021-07-03,South Africa,West Indies,South Africa,143
74,SO Hetmyer,T Shamsi,KA Pollard,0,0,0,84,84,9,16,3,4,12,,0,,,-,bat,South Africa,2,"National Cricket Stadium, St George's, Grenada",2021,07,South Africa_West Indies_2021-07-03,South Africa,West Indies,South Africa,143
75,SO Hetmyer,T Shamsi,KA Pollard,0,0,0,84,84,9,17,3,5,12,,0,,,-,bat,South Africa,2,"National Cricket Stadium, St George's, Grenada",2021,07,South Africa_West Indies_2021-07-03,South Africa,West Indies,South Africa,143
76,SO Hetmyer,T Shamsi,KA Pollard,0,0,0,84,84,9,18,3,6,12,,0,,,-,bat,South Africa,2,"National Cricket Stadium, St George's, Grenada",2021,07,South Africa_West Indies_2021-07-03,South Africa,West Indies,South Africa,143
77,KA Pollard,GF Linde,SO Hetmyer,6,0,6,90,78,10,9,3,1,13,,0,,,-,bat,South Africa,2,"National Cricket Stadium, St George's, Grenada",2021,07,South Africa_West Indies_2021-07-03,South Africa,West Indies,South Africa,143
78,KA Pollard,GF Linde,SO Hetmyer,0,0,0,90,78,10,10,3,2,13,,0,,,-,bat,South Africa,2,"National Cricket Stadium, St George's, Grenada",2021,07,South Africa_West Indies_2021-07-03,South Africa,West Indies,South Africa,143
79,KA Pollard,GF Linde,SO Hetmyer,1,0,1,91,77,11,11,3,3,13,,0,,,-,bat,South Africa,2,"National Cricket Stadium, St George's, Grenada",2021,07,South Africa_West Indies_2021-07-03,South Africa,West Indies,South Africa,143
80,SO Hetmyer,GF Linde,KA Pollard,6,0,6,97,71,15,19,3,4,13,,0,,,-,bat,South Africa,2,"National Cricket Stadium, St George's, Grenada",2021,07,South Africa_West Indies_2021-07-03,South Africa,West Indies,South Africa,143
81,SO Hetmyer,GF Linde,KA Pollard,1,0,1,98,70,16,20,3,5,13,,0,,,-,bat,South Africa,2,"National Cricket Stadium, St George's, Grenada",2021,07,South Africa_West Indies_2021-07-03,South Africa,West Indies,South Africa,143
82,KA Pollard,GF Linde,SO Hetmyer,0,1,1,99,69,11,12,3,6,13,,0,,,legbyes,bat,South Africa,2,"National Cricket Stadium, St George's, Grenada",2021,07,South Africa_West Indies_2021-07-03,South Africa,West Indies,South Africa,143
83,KA Pollard,K Rabada,SO Hetmyer,1,0,1,100,68,12,13,3,1,14,,0,,,-,bat,South Africa,2,"National Cricket Stadium, St George's, Grenada",2021,07,South Africa_West Indies_2021-07-03,South Africa,West Indies,South Africa,143
84,SO Hetmyer,K Rabada,KA Pollard,1,0,1,101,67,17,21,3,2,14,,0,,,-,bat,South Africa,2,"National Cricket Stadium, St George's, Grenada",2021,07,South Africa_West Indies_2021-07-03,South Africa,West Indies,South Africa,143
85,KA Pollard,K Rabada,SO Hetmyer,0,0,0,101,67,12,14,3,3,14,,0,,,-,bat,South Africa,2,"National Cricket Stadium, St George's, Grenada",2021,07,South Africa_West Indies_2021-07-03,South Africa,West Indies,South Africa,143
86,KA Pollard,K Rabada,SO Hetmyer,1,0,1,102,66,13,15,3,4,14,,0,,,-,bat,South Africa,2,"National Cricket Stadium, St George's, Grenada",2021,07,South Africa_West Indies_2021-07-03,South Africa,West Indies,South Africa,143
87,SO Hetmyer,K Rabada,KA Pollard,0,0,0,102,66,17,22,3,5,14,,0,,,-,bat,South Africa,2,"National Cricket Stadium, St George's, Grenada",2021,07,South Africa_West Indies_2021-07-03,South Africa,West Indies,South Africa,143
88,SO Hetmyer,K Rabada,KA Pollard,1,0,1,103,65,18,23,3,6,14,,0,,,-,bat,South Africa,2,"National Cricket Stadium, St George's, Grenada",2021,07,South Africa_West Indies_2021-07-03,South Africa,West Indies,South Africa,143
89,SO Hetmyer,PWA Mulder,KA Pollard,6,0,6,109,59,24,24,3,1,15,,0,,,-,bat,South Africa,2,"National Cricket Stadium, St George's, Grenada",2021,07,South Africa_West Indies_2021-07-03,South Africa,West Indies,South Africa,143
90,SO Hetmyer,PWA Mulder,KA Pollard,1,0,1,110,58,25,25,3,2,15,,0,,,-,bat,South Africa,2,"National Cricket Stadium, St George's, Grenada",2021,07,South Africa_West Indies_2021-07-03,South Africa,West Indies,South Africa,143
91,KA Pollard,PWA Mulder,SO Hetmyer,0,0,0,110,58,13,16,4,3,15,,caught,KA Pollard,AK Markram,-,bat,South Africa,2,"National Cricket Stadium, St George's, Grenada",2021,07,South Africa_West Indies_2021-07-03,South Africa,West Indies,South Africa,143
92,AD Russell,PWA Mulder,SO Hetmyer,0,0,0,110,58,0,1,5,4,15,,caught,AD Russell,L Ngidi,-,bat,South Africa,2,"National Cricket Stadium, St George's, Grenada",2021,07,South Africa_West Indies_2021-07-03,South Africa,West Indies,South Africa,143
93,N Pooran,PWA Mulder,SO Hetmyer,1,0,1,111,57,1,1,5,5,15,,0,,,-,bat,South Africa,2,"National Cricket Stadium, St George's, Grenada",2021,07,South Africa_West Indies_2021-07-03,South Africa,West Indies,South Africa,143
94,SO Hetmyer,PWA Mulder,N Pooran,1,0,1,112,56,26,26,5,6,15,,0,,,-,bat,South Africa,2,"National Cricket Stadium, St George's, Grenada",2021,07,South Africa_West Indies_2021-07-03,South Africa,West Indies,South Africa,143
95,SO Hetmyer,T Shamsi,N Pooran,1,0,1,113,55,27,27,5,1,16,,0,,,-,bat,South Africa,2,"National Cricket Stadium, St George's, Grenada",2021,07,South Africa_West Indies_2021-07-03,South Africa,West Indies,South Africa,143
96,N Pooran,T Shamsi,SO Hetmyer,0,0,0,113,55,1,2,5,2,16,,0,,,-,bat,South Africa,2,"National Cricket Stadium, St George's, Grenada",2021,07,South Africa_West Indies_2021-07-03,South Africa,West Indies,South Africa,143
97,N Pooran,T Shamsi,SO Hetmyer,0,0,0,113,55,1,3,5,3,16,,0,,,-,bat,South Africa,2,"National Cricket Stadium, St George's, Grenada",2021,07,South Africa_West Indies_2021-07-03,South Africa,West Indies,South Africa,143
98,N Pooran,T Shamsi,SO Hetmyer,0,0,0,113,55,1,4,5,4,16,,0,,,-,bat,South Africa,2,"National Cricket Stadium, St George's, Grenada",2021,07,South Africa_West Indies_2021-07-03,South Africa,West Indies,South Africa,143
99,N Pooran,T Shamsi,SO Hetmyer,1,0,1,114,54,2,5,5,5,16,,0,,,-,bat,South Africa,2,"National Cricket Stadium, St George's, Grenada",2021,07,South Africa_West Indies_2021-07-03,South Africa,West Indies,South Africa,143
100,SO Hetmyer,T Shamsi,N Pooran,0,0,0,114,54,27,28,5,6,16,,0,,,-,bat,South Africa,2,"National Cricket Stadium, St George's, Grenada",2021,07,South Africa_West Indies_2021-07-03,South Africa,West Indies,South Africa,143
101,N Pooran,PWA Mulder,SO Hetmyer,1,0,1,115,53,3,6,5,1,17,,0,,,-,bat,South Africa,2,"National Cricket Stadium, St George's, Grenada",2021,07,South Africa_West Indies_2021-07-03,South Africa,West Indies,South Africa,143
102,SO Hetmyer,PWA Mulder,N Pooran,1,0,1,116,52,28,29,5,2,17,,0,,,-,bat,South Africa,2,"National Cricket Stadium, St George's, Grenada",2021,07,South Africa_West Indies_2021-07-03,South Africa,West Indies,South Africa,143
103,N Pooran,PWA Mulder,SO Hetmyer,1,0,1,117,51,4,7,5,3,17,,0,,,-,bat,South Africa,2,"National Cricket Stadium, St George's, Grenada",2021,07,South Africa_West Indies_2021-07-03,South Africa,West Indies,South Africa,143
104,SO Hetmyer,PWA Mulder,N Pooran,4,0,4,121,47,32,30,5,4,17,,0,,,-,bat,South Africa,2,"National Cricket Stadium, St George's, Grenada",2021,07,South Africa_West Indies_2021-07-03,South Africa,West Indies,South Africa,143
105,SO Hetmyer,PWA Mulder,N Pooran,1,0,1,122,46,33,31,5,5,17,,0,,,-,bat,South Africa,2,"National Cricket Stadium, St George's, Grenada",2021,07,South Africa_West Indies_2021-07-03,South Africa,West Indies,South Africa,143
106,N Pooran,PWA Mulder,SO Hetmyer,0,1,1,123,45,4,8,5,6,17,,0,,,wides,bat,South Africa,2,"National Cricket Stadium, St George's, Grenada",2021,07,South Africa_West Indies_2021-07-03,South Africa,West Indies,South Africa,143
107,N Pooran,PWA Mulder,SO Hetmyer,1,0,1,124,44,5,9,5,7,17,,0,,,-,bat,South Africa,2,"National Cricket Stadium, St George's, Grenada",2021,07,South Africa_West Indies_2021-07-03,South Africa,West Indies,South Africa,143
108,N Pooran,L Ngidi,SO Hetmyer,1,0,1,125,43,6,10,5,1,18,,0,,,-,bat,South Africa,2,"National Cricket Stadium, St George's, Grenada",2021,07,South Africa_West Indies_2021-07-03,South Africa,West Indies,South Africa,143
109,SO Hetmyer,L Ngidi,N Pooran,0,0,0,125,43,33,32,6,2,18,,caught,SO Hetmyer,DA Miller,-,bat,South Africa,2,"National Cricket Stadium, St George's, Grenada",2021,07,South Africa_West Indies_2021-07-03,South Africa,West Indies,South Africa,143
110,DJ Bravo,L Ngidi,N Pooran,1,0,1,126,42,1,1,6,3,18,,0,,,-,bat,South Africa,2,"National Cricket Stadium, St George's, Grenada",2021,07,South Africa_West Indies_2021-07-03,South Africa,West Indies,South Africa,143
111,N Pooran,L Ngidi,DJ Bravo,6,0,6,132,36,12,11,6,4,18,,0,,,-,bat,South Africa,2,"National Cricket Stadium, St George's, Grenada",2021,07,South Africa_West Indies_2021-07-03,South Africa,West Indies,South Africa,143
112,N Pooran,L Ngidi,DJ Bravo,6,0,6,138,30,18,12,6,5,18,,0,,,-,bat,South Africa,2,"National Cricket Stadium, St George's, Grenada",2021,07,South Africa_West Indies_2021-07-03,South Africa,West Indies,South Africa,143
