,batter,bowler,non_striker,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,extra_type,over,wicket_type,player_out,fielder,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,final_team_final
18,Mohammad Rizwan,PJ Cummins,Babar Azam,0,1,1,22,144,5,8,0,1,wides,4,0,,,field,Australia,1,Dubai International Cricket Stadium,2021,11,Pakistan_Australia_2021-11-11,Australia,Pakistan,Australia,176
19,Mohammad Rizwan,PJ Cummins,Babar Azam,1,0,1,23,143,6,9,0,2,-,4,0,,,field,Australia,1,Dubai International Cricket Stadium,2021,11,Pakistan_Australia_2021-11-11,Australia,Pakistan,Australia,176
20,Babar Azam,PJ Cummins,Mohammad Rizwan,4,0,4,27,139,19,12,0,3,-,4,0,,,field,Australia,1,Dubai International Cricket Stadium,2021,11,Pakistan_Australia_2021-11-11,Australia,Pakistan,Australia,176
21,Babar Azam,PJ Cummins,Mohammad Rizwan,1,0,1,28,138,20,13,0,4,-,4,0,,,field,Australia,1,Dubai International Cricket Stadium,2021,11,Pakistan_Australia_2021-11-11,Australia,Pakistan,Australia,176
22,Mohammad Rizwan,PJ Cummins,Babar Azam,1,0,1,29,137,7,10,0,5,-,4,0,,,field,Australia,1,Dubai International Cricket Stadium,2021,11,Pakistan_Australia_2021-11-11,Australia,Pakistan,Australia,176
23,Babar Azam,PJ Cummins,Mohammad Rizwan,0,0,0,29,137,20,14,0,6,-,4,0,,,field,Australia,1,Dubai International Cricket Stadium,2021,11,Pakistan_Australia_2021-11-11,Australia,Pakistan,Australia,176
24,Babar Azam,PJ Cummins,Mohammad Rizwan,0,0,0,29,137,20,15,0,7,-,4,0,,,field,Australia,1,Dubai International Cricket Stadium,2021,11,Pakistan_Australia_2021-11-11,Australia,Pakistan,Australia,176
25,Mohammad Rizwan,JR Hazlewood,Babar Azam,6,0,6,35,131,13,11,0,1,-,5,0,,,field,Australia,1,Dubai International Cricket Stadium,2021,11,Pakistan_Australia_2021-11-11,Australia,Pakistan,Australia,176
26,Mohammad Rizwan,JR Hazlewood,Babar Azam,1,0,1,36,130,14,12,0,2,-,5,0,,,field,Australia,1,Dubai International Cricket Stadium,2021,11,Pakistan_Australia_2021-11-11,Australia,Pakistan,Australia,176
27,Babar Azam,JR Hazlewood,Mohammad Rizwan,1,0,1,37,129,21,16,0,3,-,5,0,,,field,Australia,1,Dubai International Cricket Stadium,2021,11,Pakistan_Australia_2021-11-11,Australia,Pakistan,Australia,176
28,Mohammad Rizwan,JR Hazlewood,Babar Azam,0,0,0,37,129,14,13,0,4,-,5,0,,,field,Australia,1,Dubai International Cricket Stadium,2021,11,Pakistan_Australia_2021-11-11,Australia,Pakistan,Australia,176
29,Mohammad Rizwan,JR Hazlewood,Babar Azam,1,0,1,38,128,15,14,0,5,-,5,0,,,field,Australia,1,Dubai International Cricket Stadium,2021,11,Pakistan_Australia_2021-11-11,Australia,Pakistan,Australia,176
