,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,wicket_type,player_out,fielder,over,review,extra_type,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,team_final
74,Karim Janat,MD Shanaka,Najibullah Zadran,0,1,1,85,102,16,20,6,4,0,,,12,,wides,field,Afghanistan,2,Rangiri Dambulla International Stadium,2024,02,Sri Lanka_Afghanistan_2024-02-19,Sri Lanka,Afghanistan,Sri Lanka,115
75,Karim Janat,MD Shanaka,Najibullah Zadran,1,0,1,86,101,17,21,6,5,0,,,12,,-,field,Afghanistan,2,Rangiri Dambulla International Stadium,2024,02,Sri Lanka_Afghanistan_2024-02-19,Sri Lanka,Afghanistan,Sri Lanka,115
76,Najibullah Zadran,MD Shanaka,Karim Janat,1,0,1,87,100,7,12,6,6,0,,,12,,-,field,Afghanistan,2,Rangiri Dambulla International Stadium,2024,02,Sri Lanka_Afghanistan_2024-02-19,Sri Lanka,Afghanistan,Sri Lanka,115
77,Karim Janat,MD Shanaka,Najibullah Zadran,4,0,4,91,96,21,22,6,7,0,,,12,,-,field,Afghanistan,2,Rangiri Dambulla International Stadium,2024,02,Sri Lanka_Afghanistan_2024-02-19,Sri Lanka,Afghanistan,Sri Lanka,115
78,Najibullah Zadran,M Theekshana,Karim Janat,1,0,1,92,95,8,13,6,1,0,,,13,,-,field,Afghanistan,2,Rangiri Dambulla International Stadium,2024,02,Sri Lanka_Afghanistan_2024-02-19,Sri Lanka,Afghanistan,Sri Lanka,115
79,Karim Janat,M Theekshana,Najibullah Zadran,0,0,0,92,95,21,23,6,2,0,,,13,,-,field,Afghanistan,2,Rangiri Dambulla International Stadium,2024,02,Sri Lanka_Afghanistan_2024-02-19,Sri Lanka,Afghanistan,Sri Lanka,115
80,Karim Janat,M Theekshana,Najibullah Zadran,0,0,0,92,95,21,24,6,3,0,,,13,,-,field,Afghanistan,2,Rangiri Dambulla International Stadium,2024,02,Sri Lanka_Afghanistan_2024-02-19,Sri Lanka,Afghanistan,Sri Lanka,115
81,Karim Janat,M Theekshana,Najibullah Zadran,6,0,6,98,89,27,25,6,4,0,,,13,,-,field,Afghanistan,2,Rangiri Dambulla International Stadium,2024,02,Sri Lanka_Afghanistan_2024-02-19,Sri Lanka,Afghanistan,Sri Lanka,115
82,Karim Janat,M Theekshana,Najibullah Zadran,1,0,1,99,88,28,26,6,5,0,,,13,,-,field,Afghanistan,2,Rangiri Dambulla International Stadium,2024,02,Sri Lanka_Afghanistan_2024-02-19,Sri Lanka,Afghanistan,Sri Lanka,115
83,Najibullah Zadran,M Theekshana,Karim Janat,1,0,1,100,87,9,14,6,6,0,,,13,,-,field,Afghanistan,2,Rangiri Dambulla International Stadium,2024,02,Sri Lanka_Afghanistan_2024-02-19,Sri Lanka,Afghanistan,Sri Lanka,115
84,Najibullah Zadran,PWH de Silva,Karim Janat,0,0,0,100,87,9,15,6,1,0,,,14,,-,field,Afghanistan,2,Rangiri Dambulla International Stadium,2024,02,Sri Lanka_Afghanistan_2024-02-19,Sri Lanka,Afghanistan,Sri Lanka,115
85,Najibullah Zadran,PWH de Silva,Karim Janat,0,0,0,100,87,9,16,7,2,bowled,Najibullah Zadran,,14,,-,field,Afghanistan,2,Rangiri Dambulla International Stadium,2024,02,Sri Lanka_Afghanistan_2024-02-19,Sri Lanka,Afghanistan,Sri Lanka,115
86,Noor Ahmad,PWH de Silva,Karim Janat,1,0,1,101,86,1,1,7,3,0,,,14,,-,field,Afghanistan,2,Rangiri Dambulla International Stadium,2024,02,Sri Lanka_Afghanistan_2024-02-19,Sri Lanka,Afghanistan,Sri Lanka,115
87,Karim Janat,PWH de Silva,Noor Ahmad,0,0,0,101,86,28,27,8,4,caught,Karim Janat,MD Shanaka,14,,-,field,Afghanistan,2,Rangiri Dambulla International Stadium,2024,02,Sri Lanka_Afghanistan_2024-02-19,Sri Lanka,Afghanistan,Sri Lanka,115
88,Naveen-ul-Haq,PWH de Silva,Noor Ahmad,0,0,0,101,86,0,1,8,5,0,,,14,,-,field,Afghanistan,2,Rangiri Dambulla International Stadium,2024,02,Sri Lanka_Afghanistan_2024-02-19,Sri Lanka,Afghanistan,Sri Lanka,115
89,Naveen-ul-Haq,PWH de Silva,Noor Ahmad,0,0,0,101,86,0,2,8,6,0,,,14,,-,field,Afghanistan,2,Rangiri Dambulla International Stadium,2024,02,Sri Lanka_Afghanistan_2024-02-19,Sri Lanka,Afghanistan,Sri Lanka,115
90,Noor Ahmad,M Theekshana,Naveen-ul-Haq,0,0,0,101,86,1,2,8,1,0,,,15,,-,field,Afghanistan,2,Rangiri Dambulla International Stadium,2024,02,Sri Lanka_Afghanistan_2024-02-19,Sri Lanka,Afghanistan,Sri Lanka,115
91,Noor Ahmad,M Theekshana,Naveen-ul-Haq,0,0,0,101,86,1,3,8,2,0,,,15,,-,field,Afghanistan,2,Rangiri Dambulla International Stadium,2024,02,Sri Lanka_Afghanistan_2024-02-19,Sri Lanka,Afghanistan,Sri Lanka,115
92,Noor Ahmad,M Theekshana,Naveen-ul-Haq,1,0,1,102,85,2,4,8,3,0,,,15,,-,field,Afghanistan,2,Rangiri Dambulla International Stadium,2024,02,Sri Lanka_Afghanistan_2024-02-19,Sri Lanka,Afghanistan,Sri Lanka,115
93,Naveen-ul-Haq,M Theekshana,Noor Ahmad,4,0,4,106,81,4,3,8,4,0,,,15,,-,field,Afghanistan,2,Rangiri Dambulla International Stadium,2024,02,Sri Lanka_Afghanistan_2024-02-19,Sri Lanka,Afghanistan,Sri Lanka,115
94,Naveen-ul-Haq,M Theekshana,Noor Ahmad,0,0,0,106,81,4,4,8,5,0,,,15,,-,field,Afghanistan,2,Rangiri Dambulla International Stadium,2024,02,Sri Lanka_Afghanistan_2024-02-19,Sri Lanka,Afghanistan,Sri Lanka,115
95,Naveen-ul-Haq,M Theekshana,Noor Ahmad,0,1,1,107,80,4,5,8,6,0,,,15,,wides,field,Afghanistan,2,Rangiri Dambulla International Stadium,2024,02,Sri Lanka_Afghanistan_2024-02-19,Sri Lanka,Afghanistan,Sri Lanka,115
96,Naveen-ul-Haq,M Theekshana,Noor Ahmad,0,0,0,107,80,4,6,8,7,0,,,15,,-,field,Afghanistan,2,Rangiri Dambulla International Stadium,2024,02,Sri Lanka_Afghanistan_2024-02-19,Sri Lanka,Afghanistan,Sri Lanka,115
97,Noor Ahmad,PWH de Silva,Naveen-ul-Haq,1,0,1,108,79,3,5,8,1,0,,,16,,-,field,Afghanistan,2,Rangiri Dambulla International Stadium,2024,02,Sri Lanka_Afghanistan_2024-02-19,Sri Lanka,Afghanistan,Sri Lanka,115
98,Naveen-ul-Haq,PWH de Silva,Noor Ahmad,0,0,0,108,79,4,7,8,2,0,,,16,,-,field,Afghanistan,2,Rangiri Dambulla International Stadium,2024,02,Sri Lanka_Afghanistan_2024-02-19,Sri Lanka,Afghanistan,Sri Lanka,115
