,batter,bowler,non_striker,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,extra_type,over,wicket_type,player_out,fielder,replacements,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,final_team_final
63,JA Morkel,SR Tendulkar,JM Kemp,0,0,0,57,58,1,3,4,6,-,10,0,,,,bat,South Africa,1,New Wanderers Stadium,2006,12,South Africa_India_2006-12-01,India,South Africa,India,126
64,JM Kemp,IK Pathan,JA Morkel,0,0,0,57,58,17,19,4,1,-,11,0,,,,bat,South Africa,1,New Wanderers Stadium,2006,12,South Africa_India_2006-12-01,India,South Africa,India,126
65,JM Kemp,IK Pathan,JA Morkel,2,0,2,59,56,19,20,4,2,-,11,0,,,,bat,South Africa,1,New Wanderers Stadium,2006,12,South Africa_India_2006-12-01,India,South Africa,India,126
66,JM Kemp,IK Pathan,JA Morkel,0,0,0,59,56,19,21,4,3,-,11,0,,,,bat,South Africa,1,New Wanderers Stadium,2006,12,South Africa_India_2006-12-01,India,South Africa,India,126
67,JM Kemp,IK Pathan,JA Morkel,1,0,1,60,55,20,22,4,4,-,11,0,,,,bat,South Africa,1,New Wanderers Stadium,2006,12,South Africa_India_2006-12-01,India,South Africa,India,126
68,JA Morkel,IK Pathan,JM Kemp,1,0,1,61,54,2,4,4,5,-,11,0,,,,bat,South Africa,1,New Wanderers Stadium,2006,12,South Africa_India_2006-12-01,India,South Africa,India,126
69,JM Kemp,IK Pathan,JA Morkel,1,0,1,62,53,21,23,4,6,-,11,0,,,,bat,South Africa,1,New Wanderers Stadium,2006,12,South Africa_India_2006-12-01,India,South Africa,India,126
70,JM Kemp,SR Tendulkar,JA Morkel,1,0,1,63,52,22,24,4,1,-,12,0,,,,bat,South Africa,1,New Wanderers Stadium,2006,12,South Africa_India_2006-12-01,India,South Africa,India,126
71,JA Morkel,SR Tendulkar,JM Kemp,0,0,0,63,52,2,5,4,2,-,12,0,,,,bat,South Africa,1,New Wanderers Stadium,2006,12,South Africa_India_2006-12-01,India,South Africa,India,126
72,JA Morkel,SR Tendulkar,JM Kemp,0,0,0,63,52,2,6,4,3,-,12,0,,,,bat,South Africa,1,New Wanderers Stadium,2006,12,South Africa_India_2006-12-01,India,South Africa,India,126
73,JA Morkel,SR Tendulkar,JM Kemp,1,0,1,64,51,3,7,4,4,-,12,0,,,,bat,South Africa,1,New Wanderers Stadium,2006,12,South Africa_India_2006-12-01,India,South Africa,India,126
74,JM Kemp,SR Tendulkar,JA Morkel,0,0,0,64,51,22,25,5,5,-,12,lbw,JM Kemp,,,bat,South Africa,1,New Wanderers Stadium,2006,12,South Africa_India_2006-12-01,India,South Africa,India,126
75,JJ van der Wath,SR Tendulkar,JA Morkel,0,0,0,64,51,0,1,5,6,-,12,0,,,,bat,South Africa,1,New Wanderers Stadium,2006,12,South Africa_India_2006-12-01,India,South Africa,India,126
76,JA Morkel,IK Pathan,JJ van der Wath,0,0,0,64,51,3,8,5,1,-,13,0,,,,bat,South Africa,1,New Wanderers Stadium,2006,12,South Africa_India_2006-12-01,India,South Africa,India,126
77,JA Morkel,IK Pathan,JJ van der Wath,0,0,0,64,51,3,9,5,2,-,13,0,,,,bat,South Africa,1,New Wanderers Stadium,2006,12,South Africa_India_2006-12-01,India,South Africa,India,126
78,JA Morkel,IK Pathan,JJ van der Wath,4,0,4,68,47,7,10,5,3,-,13,0,,,,bat,South Africa,1,New Wanderers Stadium,2006,12,South Africa_India_2006-12-01,India,South Africa,India,126
79,JA Morkel,IK Pathan,JJ van der Wath,6,0,6,74,41,13,11,5,4,-,13,0,,,,bat,South Africa,1,New Wanderers Stadium,2006,12,South Africa_India_2006-12-01,India,South Africa,India,126
80,JA Morkel,IK Pathan,JJ van der Wath,1,0,1,75,40,14,12,5,5,-,13,0,,,,bat,South Africa,1,New Wanderers Stadium,2006,12,South Africa_India_2006-12-01,India,South Africa,India,126
