,batter,bowler,extras,non_striker,runs_by_bat,extra_runs,total,team_total,batter_runs,balls_faced,delivery,extra_type,wicket_type,player_out,fielder,over,toss_decision,toss_winner,innings,venue,date,batting_team,bowling_team
48,CH Gayle,MM Ali,,D Ramdin,1,0,1,64,21,17,2,-,0,,,8,field,West Indies,2,Wankhede Stadium,2016-03-16,West Indies,England
49,D Ramdin,MM Ali,,CH Gayle,1,0,1,65,2,2,3,-,0,,,8,field,West Indies,2,Wankhede Stadium,2016-03-16,West Indies,England
50,CH Gayle,MM Ali,,D Ramdin,1,0,1,66,22,18,4,-,0,,,8,field,West Indies,2,Wankhede Stadium,2016-03-16,West Indies,England
51,D Ramdin,MM Ali,,CH Gayle,0,0,0,66,2,3,5,-,0,,,8,field,West Indies,2,Wankhede Stadium,2016-03-16,West Indies,England
52,D Ramdin,MM Ali,,CH Gayle,1,0,1,67,3,4,6,-,0,,,8,field,West Indies,2,Wankhede Stadium,2016-03-16,West Indies,England
53,D Ramdin,AU Rashid,,CH Gayle,0,0,0,67,3,5,1,-,0,,,9,field,West Indies,2,Wankhede Stadium,2016-03-16,West Indies,England
54,D Ramdin,AU Rashid,,CH Gayle,2,0,2,69,5,6,2,-,0,,,9,field,West Indies,2,Wankhede Stadium,2016-03-16,West Indies,England
55,D Ramdin,AU Rashid,,CH Gayle,1,0,1,70,6,7,3,-,0,,,9,field,West Indies,2,Wankhede Stadium,2016-03-16,West Indies,England
56,CH Gayle,AU Rashid,,D Ramdin,6,0,6,76,28,19,4,-,0,,,9,field,West Indies,2,Wankhede Stadium,2016-03-16,West Indies,England
57,CH Gayle,AU Rashid,,D Ramdin,6,0,6,82,34,20,5,-,0,,,9,field,West Indies,2,Wankhede Stadium,2016-03-16,West Indies,England
58,CH Gayle,AU Rashid,,D Ramdin,1,0,1,83,35,21,6,-,0,,,9,field,West Indies,2,Wankhede Stadium,2016-03-16,West Indies,England
59,CH Gayle,MM Ali,,D Ramdin,0,0,0,83,35,22,1,-,0,,,10,field,West Indies,2,Wankhede Stadium,2016-03-16,West Indies,England
60,CH Gayle,MM Ali,,D Ramdin,1,0,1,84,36,23,2,-,0,,,10,field,West Indies,2,Wankhede Stadium,2016-03-16,West Indies,England
61,D Ramdin,MM Ali,,CH Gayle,0,0,0,84,6,8,3,-,0,,,10,field,West Indies,2,Wankhede Stadium,2016-03-16,West Indies,England
62,D Ramdin,MM Ali,,CH Gayle,0,0,0,84,6,9,4,-,0,,,10,field,West Indies,2,Wankhede Stadium,2016-03-16,West Indies,England
63,D Ramdin,MM Ali,,CH Gayle,0,0,0,84,6,10,5,-,0,,,10,field,West Indies,2,Wankhede Stadium,2016-03-16,West Indies,England
64,D Ramdin,MM Ali,,CH Gayle,1,0,1,85,7,11,6,-,0,,,10,field,West Indies,2,Wankhede Stadium,2016-03-16,West Indies,England
65,D Ramdin,BA Stokes,,CH Gayle,4,0,4,89,11,12,1,-,0,,,11,field,West Indies,2,Wankhede Stadium,2016-03-16,West Indies,England
66,D Ramdin,BA Stokes,,CH Gayle,1,0,1,90,12,13,2,-,0,,,11,field,West Indies,2,Wankhede Stadium,2016-03-16,West Indies,England
67,CH Gayle,BA Stokes,,D Ramdin,0,0,0,90,36,24,3,-,0,,,11,field,West Indies,2,Wankhede Stadium,2016-03-16,West Indies,England
68,CH Gayle,BA Stokes,{'wides': 1},D Ramdin,0,1,1,91,36,25,4,wides,0,,,11,field,West Indies,2,Wankhede Stadium,2016-03-16,West Indies,England
69,CH Gayle,BA Stokes,,D Ramdin,0,0,0,91,36,26,5,-,0,,,11,field,West Indies,2,Wankhede Stadium,2016-03-16,West Indies,England
70,CH Gayle,BA Stokes,,D Ramdin,6,0,6,97,42,27,6,-,0,,,11,field,West Indies,2,Wankhede Stadium,2016-03-16,West Indies,England
71,CH Gayle,BA Stokes,,D Ramdin,6,0,6,103,48,28,7,-,0,,,11,field,West Indies,2,Wankhede Stadium,2016-03-16,West Indies,England
72,D Ramdin,MM Ali,,CH Gayle,0,0,0,103,12,14,1,-,caught,D Ramdin,AU Rashid,12,field,West Indies,2,Wankhede Stadium,2016-03-16,West Indies,England
73,CH Gayle,MM Ali,,DJ Bravo,1,0,1,104,49,29,2,-,0,,,12,field,West Indies,2,Wankhede Stadium,2016-03-16,West Indies,England
74,DJ Bravo,MM Ali,,CH Gayle,1,0,1,105,1,1,3,-,0,,,12,field,West Indies,2,Wankhede Stadium,2016-03-16,West Indies,England
75,CH Gayle,MM Ali,,DJ Bravo,1,0,1,106,50,30,4,-,0,,,12,field,West Indies,2,Wankhede Stadium,2016-03-16,West Indies,England
76,DJ Bravo,MM Ali,,CH Gayle,1,0,1,107,2,2,5,-,0,,,12,field,West Indies,2,Wankhede Stadium,2016-03-16,West Indies,England
77,CH Gayle,MM Ali,,DJ Bravo,6,0,6,113,56,31,6,-,0,,,12,field,West Indies,2,Wankhede Stadium,2016-03-16,West Indies,England
78,DJ Bravo,RJW Topley,,CH Gayle,0,0,0,113,2,3,1,-,0,,,13,field,West Indies,2,Wankhede Stadium,2016-03-16,West Indies,England
79,DJ Bravo,RJW Topley,,CH Gayle,0,0,0,113,2,4,2,-,caught,DJ Bravo,AD Hales,13,field,West Indies,2,Wankhede Stadium,2016-03-16,West Indies,England
80,CH Gayle,RJW Topley,,AD Russell,4,0,4,117,60,32,3,-,0,,,13,field,West Indies,2,Wankhede Stadium,2016-03-16,West Indies,England
81,CH Gayle,RJW Topley,{'wides': 1},AD Russell,0,1,1,118,60,33,4,wides,0,,,13,field,West Indies,2,Wankhede Stadium,2016-03-16,West Indies,England
82,CH Gayle,RJW Topley,,AD Russell,1,0,1,119,61,34,5,-,0,,,13,field,West Indies,2,Wankhede Stadium,2016-03-16,West Indies,England
83,AD Russell,RJW Topley,,CH Gayle,0,0,0,119,0,1,6,-,0,,,13,field,West Indies,2,Wankhede Stadium,2016-03-16,West Indies,England
84,AD Russell,RJW Topley,{'wides': 1},CH Gayle,0,1,1,120,0,2,7,wides,0,,,13,field,West Indies,2,Wankhede Stadium,2016-03-16,West Indies,England
85,AD Russell,RJW Topley,,CH Gayle,4,0,4,124,4,3,8,-,0,,,13,field,West Indies,2,Wankhede Stadium,2016-03-16,West Indies,England
86,CH Gayle,MM Ali,,AD Russell,0,0,0,124,61,35,1,-,0,,,14,field,West Indies,2,Wankhede Stadium,2016-03-16,West Indies,England
87,CH Gayle,MM Ali,{'legbyes': 4},AD Russell,0,4,4,128,61,36,2,legbyes,0,,,14,field,West Indies,2,Wankhede Stadium,2016-03-16,West Indies,England
88,CH Gayle,MM Ali,,AD Russell,0,0,0,128,61,37,3,-,0,,,14,field,West Indies,2,Wankhede Stadium,2016-03-16,West Indies,England
89,CH Gayle,MM Ali,,AD Russell,6,0,6,134,67,38,4,-,0,,,14,field,West Indies,2,Wankhede Stadium,2016-03-16,West Indies,England
90,CH Gayle,MM Ali,,AD Russell,6,0,6,140,73,39,5,-,0,,,14,field,West Indies,2,Wankhede Stadium,2016-03-16,West Indies,England
91,CH Gayle,MM Ali,,AD Russell,6,0,6,146,79,40,6,-,0,,,14,field,West Indies,2,Wankhede Stadium,2016-03-16,West Indies,England
92,AD Russell,CJ Jordan,,CH Gayle,0,0,0,146,4,4,1,-,0,,,15,field,West Indies,2,Wankhede Stadium,2016-03-16,West Indies,England
93,AD Russell,CJ Jordan,,CH Gayle,0,0,0,146,4,5,2,-,0,,,15,field,West Indies,2,Wankhede Stadium,2016-03-16,West Indies,England
94,AD Russell,CJ Jordan,,CH Gayle,1,0,1,147,5,6,3,-,0,,,15,field,West Indies,2,Wankhede Stadium,2016-03-16,West Indies,England
95,CH Gayle,CJ Jordan,,AD Russell,1,0,1,148,80,41,4,-,0,,,15,field,West Indies,2,Wankhede Stadium,2016-03-16,West Indies,England
96,AD Russell,CJ Jordan,{'wides': 1},CH Gayle,0,1,1,149,5,7,5,wides,0,,,15,field,West Indies,2,Wankhede Stadium,2016-03-16,West Indies,England
97,AD Russell,CJ Jordan,,CH Gayle,1,0,1,150,6,8,6,-,0,,,15,field,West Indies,2,Wankhede Stadium,2016-03-16,West Indies,England
98,CH Gayle,CJ Jordan,{'wides': 1},AD Russell,0,1,1,151,80,42,7,wides,0,,,15,field,West Indies,2,Wankhede Stadium,2016-03-16,West Indies,England
99,CH Gayle,CJ Jordan,,AD Russell,0,0,0,151,80,43,8,-,0,,,15,field,West Indies,2,Wankhede Stadium,2016-03-16,West Indies,England
100,AD Russell,DJ Willey,,CH Gayle,1,0,1,152,7,9,1,-,0,,,16,field,West Indies,2,Wankhede Stadium,2016-03-16,West Indies,England
101,CH Gayle,DJ Willey,,AD Russell,4,0,4,156,84,44,2,-,0,,,16,field,West Indies,2,Wankhede Stadium,2016-03-16,West Indies,England
102,CH Gayle,DJ Willey,,AD Russell,6,0,6,162,90,45,3,-,0,,,16,field,West Indies,2,Wankhede Stadium,2016-03-16,West Indies,England
103,CH Gayle,DJ Willey,,AD Russell,0,0,0,162,90,46,4,-,0,,,16,field,West Indies,2,Wankhede Stadium,2016-03-16,West Indies,England
104,CH Gayle,DJ Willey,,AD Russell,6,0,6,168,96,47,5,-,0,,,16,field,West Indies,2,Wankhede Stadium,2016-03-16,West Indies,England
105,CH Gayle,DJ Willey,,AD Russell,1,0,1,169,97,48,6,-,0,,,16,field,West Indies,2,Wankhede Stadium,2016-03-16,West Indies,England
106,CH Gayle,CJ Jordan,,AD Russell,1,0,1,170,98,49,1,-,0,,,17,field,West Indies,2,Wankhede Stadium,2016-03-16,West Indies,England
107,AD Russell,CJ Jordan,,CH Gayle,1,0,1,171,8,10,2,-,0,,,17,field,West Indies,2,Wankhede Stadium,2016-03-16,West Indies,England
108,CH Gayle,CJ Jordan,,AD Russell,0,0,0,171,98,50,3,-,0,,,17,field,West Indies,2,Wankhede Stadium,2016-03-16,West Indies,England
109,CH Gayle,CJ Jordan,,AD Russell,1,0,1,172,99,51,4,-,0,,,17,field,West Indies,2,Wankhede Stadium,2016-03-16,West Indies,England
110,AD Russell,CJ Jordan,,CH Gayle,0,0,0,172,8,11,5,-,0,,,17,field,West Indies,2,Wankhede Stadium,2016-03-16,West Indies,England
111,AD Russell,CJ Jordan,,CH Gayle,0,0,0,172,8,12,6,-,0,,,17,field,West Indies,2,Wankhede Stadium,2016-03-16,West Indies,England
112,CH Gayle,BA Stokes,,AD Russell,1,0,1,173,100,52,1,-,0,,,18,field,West Indies,2,Wankhede Stadium,2016-03-16,West Indies,England
113,AD Russell,BA Stokes,{'noballs': 1},CH Gayle,4,1,5,178,12,13,2,noballs,0,,,18,field,West Indies,2,Wankhede Stadium,2016-03-16,West Indies,England
114,AD Russell,BA Stokes,,CH Gayle,0,0,0,178,12,14,3,-,0,,,18,field,West Indies,2,Wankhede Stadium,2016-03-16,West Indies,England
115,AD Russell,BA Stokes,,CH Gayle,0,0,0,178,12,15,4,-,0,,,18,field,West Indies,2,Wankhede Stadium,2016-03-16,West Indies,England
116,AD Russell,BA Stokes,,CH Gayle,2,0,2,180,14,16,5,-,0,,,18,field,West Indies,2,Wankhede Stadium,2016-03-16,West Indies,England
117,AD Russell,BA Stokes,{'wides': 1},CH Gayle,0,1,1,181,14,17,6,wides,0,,,18,field,West Indies,2,Wankhede Stadium,2016-03-16,West Indies,England
118,AD Russell,BA Stokes,,CH Gayle,1,0,1,182,15,18,7,-,0,,,18,field,West Indies,2,Wankhede Stadium,2016-03-16,West Indies,England
119,CH Gayle,BA Stokes,,AD Russell,0,0,0,182,100,53,8,-,0,,,18,field,West Indies,2,Wankhede Stadium,2016-03-16,West Indies,England
120,AD Russell,RJW Topley,,CH Gayle,1,0,1,183,16,19,1,-,0,,,19,field,West Indies,2,Wankhede Stadium,2016-03-16,West Indies,England
