,batter,bowler,non_striker,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,extra_type,delivery,over,wicket_type,player_out,fielder,review,replacements,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,won,final_team_total
10,Fakhar Zaman,KMA Paul,Babar Azam,0,0,0,18,,17,11,0,-,4.0,1,0,,,,,field,West Indies,1,National Stadium,2018,04,Pakistan_West Indies_2018-04-01,Pakistan,Pakistan,West Indies,True,203
11,Fakhar Zaman,KMA Paul,Babar Azam,0,1,1,19,,17,12,0,legbyes,5.0,1,0,,,,,field,West Indies,1,National Stadium,2018,04,Pakistan_West Indies_2018-04-01,Pakistan,Pakistan,West Indies,True,203
12,Babar Azam,KMA Paul,Fakhar Zaman,0,0,0,19,,0,1,0,-,6.0,1,0,,,,,field,West Indies,1,National Stadium,2018,04,Pakistan_West Indies_2018-04-01,Pakistan,Pakistan,West Indies,True,203
13,Fakhar Zaman,RR Emrit,Babar Azam,0,0,0,19,,17,13,0,-,1.0,2,0,,,,,field,West Indies,1,National Stadium,2018,04,Pakistan_West Indies_2018-04-01,Pakistan,Pakistan,West Indies,True,203
14,Fakhar Zaman,RR Emrit,Babar Azam,2,0,2,21,,19,14,0,-,2.0,2,0,,,,,field,West Indies,1,National Stadium,2018,04,Pakistan_West Indies_2018-04-01,Pakistan,Pakistan,West Indies,True,203
15,Fakhar Zaman,RR Emrit,Babar Azam,4,0,4,25,,23,15,0,-,3.0,2,0,,,,,field,West Indies,1,National Stadium,2018,04,Pakistan_West Indies_2018-04-01,Pakistan,Pakistan,West Indies,True,203
16,Fakhar Zaman,RR Emrit,Babar Azam,1,0,1,26,,24,16,0,-,4.0,2,0,,,,,field,West Indies,1,National Stadium,2018,04,Pakistan_West Indies_2018-04-01,Pakistan,Pakistan,West Indies,True,203
17,Babar Azam,RR Emrit,Fakhar Zaman,1,0,1,27,,1,2,0,-,5.0,2,0,,,,,field,West Indies,1,National Stadium,2018,04,Pakistan_West Indies_2018-04-01,Pakistan,Pakistan,West Indies,True,203
18,Fakhar Zaman,RR Emrit,Babar Azam,2,0,2,29,,26,17,0,-,6.0,2,0,,,,,field,West Indies,1,National Stadium,2018,04,Pakistan_West Indies_2018-04-01,Pakistan,Pakistan,West Indies,True,203
19,Babar Azam,KMA Paul,Fakhar Zaman,0,0,0,29,,1,3,0,-,1.0,3,0,,,,,field,West Indies,1,National Stadium,2018,04,Pakistan_West Indies_2018-04-01,Pakistan,Pakistan,West Indies,True,203
20,Babar Azam,KMA Paul,Fakhar Zaman,2,0,2,31,,3,4,0,-,2.0,3,0,,,,,field,West Indies,1,National Stadium,2018,04,Pakistan_West Indies_2018-04-01,Pakistan,Pakistan,West Indies,True,203
21,Babar Azam,KMA Paul,Fakhar Zaman,4,0,4,35,,7,5,0,-,3.0,3,0,,,,,field,West Indies,1,National Stadium,2018,04,Pakistan_West Indies_2018-04-01,Pakistan,Pakistan,West Indies,True,203
22,Babar Azam,KMA Paul,Fakhar Zaman,4,0,4,39,,11,6,0,-,4.0,3,0,,,,,field,West Indies,1,National Stadium,2018,04,Pakistan_West Indies_2018-04-01,Pakistan,Pakistan,West Indies,True,203
23,Babar Azam,KMA Paul,Fakhar Zaman,0,0,0,39,,11,7,0,-,5.0,3,0,,,,,field,West Indies,1,National Stadium,2018,04,Pakistan_West Indies_2018-04-01,Pakistan,Pakistan,West Indies,True,203
24,Babar Azam,KMA Paul,Fakhar Zaman,1,0,1,40,,12,8,0,-,6.0,3,0,,,,,field,West Indies,1,National Stadium,2018,04,Pakistan_West Indies_2018-04-01,Pakistan,Pakistan,West Indies,True,203
25,Babar Azam,RR Emrit,Fakhar Zaman,1,0,1,41,,13,9,0,-,1.0,4,0,,,,,field,West Indies,1,National Stadium,2018,04,Pakistan_West Indies_2018-04-01,Pakistan,Pakistan,West Indies,True,203
26,Fakhar Zaman,RR Emrit,Babar Azam,1,0,1,42,,27,18,0,-,2.0,4,0,,,,,field,West Indies,1,National Stadium,2018,04,Pakistan_West Indies_2018-04-01,Pakistan,Pakistan,West Indies,True,203
27,Babar Azam,RR Emrit,Fakhar Zaman,0,0,0,42,,13,10,0,-,3.0,4,0,,,,,field,West Indies,1,National Stadium,2018,04,Pakistan_West Indies_2018-04-01,Pakistan,Pakistan,West Indies,True,203
28,Babar Azam,RR Emrit,Fakhar Zaman,4,0,4,46,,17,11,0,-,4.0,4,0,,,,,field,West Indies,1,National Stadium,2018,04,Pakistan_West Indies_2018-04-01,Pakistan,Pakistan,West Indies,True,203
29,Babar Azam,RR Emrit,Fakhar Zaman,0,0,0,46,,17,12,0,-,5.0,4,0,,,,,field,West Indies,1,National Stadium,2018,04,Pakistan_West Indies_2018-04-01,Pakistan,Pakistan,West Indies,True,203
30,Babar Azam,RR Emrit,Fakhar Zaman,0,0,0,46,,17,13,1,-,6.0,4,lbw,Babar Azam,,,,field,West Indies,1,National Stadium,2018,04,Pakistan_West Indies_2018-04-01,Pakistan,Pakistan,West Indies,True,203
31,Fakhar Zaman,KOK Williams,Hussain Talat,0,0,0,46,,27,19,1,-,1.0,5,0,,,,,field,West Indies,1,National Stadium,2018,04,Pakistan_West Indies_2018-04-01,Pakistan,Pakistan,West Indies,True,203
32,Fakhar Zaman,KOK Williams,Hussain Talat,4,0,4,50,,31,20,1,-,2.0,5,0,,,,,field,West Indies,1,National Stadium,2018,04,Pakistan_West Indies_2018-04-01,Pakistan,Pakistan,West Indies,True,203
33,Fakhar Zaman,KOK Williams,Hussain Talat,1,0,1,51,,32,21,1,-,3.0,5,0,,,,,field,West Indies,1,National Stadium,2018,04,Pakistan_West Indies_2018-04-01,Pakistan,Pakistan,West Indies,True,203
34,Hussain Talat,KOK Williams,Fakhar Zaman,0,0,0,51,,0,1,1,-,4.0,5,0,,,,,field,West Indies,1,National Stadium,2018,04,Pakistan_West Indies_2018-04-01,Pakistan,Pakistan,West Indies,True,203
35,Hussain Talat,KOK Williams,Fakhar Zaman,4,0,4,55,,4,2,1,-,5.0,5,0,,,,,field,West Indies,1,National Stadium,2018,04,Pakistan_West Indies_2018-04-01,Pakistan,Pakistan,West Indies,True,203
36,Hussain Talat,KOK Williams,Fakhar Zaman,1,0,1,56,,5,3,1,-,6.0,5,0,,,,,field,West Indies,1,National Stadium,2018,04,Pakistan_West Indies_2018-04-01,Pakistan,Pakistan,West Indies,True,203
37,Hussain Talat,S Badree,Fakhar Zaman,0,0,0,56,,5,4,1,-,1.0,6,0,,,,,field,West Indies,1,National Stadium,2018,04,Pakistan_West Indies_2018-04-01,Pakistan,Pakistan,West Indies,True,203
38,Hussain Talat,S Badree,Fakhar Zaman,1,0,1,57,,6,5,1,-,2.0,6,0,,,,,field,West Indies,1,National Stadium,2018,04,Pakistan_West Indies_2018-04-01,Pakistan,Pakistan,West Indies,True,203
39,Fakhar Zaman,S Badree,Hussain Talat,1,0,1,58,,33,22,1,-,3.0,6,0,,,,,field,West Indies,1,National Stadium,2018,04,Pakistan_West Indies_2018-04-01,Pakistan,Pakistan,West Indies,True,203
40,Hussain Talat,S Badree,Fakhar Zaman,1,0,1,59,,7,6,1,-,4.0,6,0,,,,,field,West Indies,1,National Stadium,2018,04,Pakistan_West Indies_2018-04-01,Pakistan,Pakistan,West Indies,True,203
41,Fakhar Zaman,S Badree,Hussain Talat,6,0,6,65,,39,23,1,-,5.0,6,0,,,,,field,West Indies,1,National Stadium,2018,04,Pakistan_West Indies_2018-04-01,Pakistan,Pakistan,West Indies,True,203
42,Fakhar Zaman,S Badree,Hussain Talat,0,0,0,65,,39,24,1,-,6.0,6,0,,,,,field,West Indies,1,National Stadium,2018,04,Pakistan_West Indies_2018-04-01,Pakistan,Pakistan,West Indies,True,203
43,Hussain Talat,KOK Williams,Fakhar Zaman,0,0,0,65,,7,7,2,-,1.0,7,run out,Fakhar Zaman,,,,field,West Indies,1,National Stadium,2018,04,Pakistan_West Indies_2018-04-01,Pakistan,Pakistan,West Indies,True,203
44,Hussain Talat,KOK Williams,Sarfraz Ahmed,1,0,1,66,,8,8,2,-,2.0,7,0,,,,,field,West Indies,1,National Stadium,2018,04,Pakistan_West Indies_2018-04-01,Pakistan,Pakistan,West Indies,True,203
45,Sarfraz Ahmed,KOK Williams,Hussain Talat,1,0,1,67,,1,1,2,-,3.0,7,0,,,,,field,West Indies,1,National Stadium,2018,04,Pakistan_West Indies_2018-04-01,Pakistan,Pakistan,West Indies,True,203
46,Hussain Talat,KOK Williams,Sarfraz Ahmed,0,0,0,67,,8,9,2,-,4.0,7,0,,,,,field,West Indies,1,National Stadium,2018,04,Pakistan_West Indies_2018-04-01,Pakistan,Pakistan,West Indies,True,203
47,Hussain Talat,KOK Williams,Sarfraz Ahmed,1,0,1,68,,9,10,2,-,5.0,7,0,,,,,field,West Indies,1,National Stadium,2018,04,Pakistan_West Indies_2018-04-01,Pakistan,Pakistan,West Indies,True,203
48,Sarfraz Ahmed,KOK Williams,Hussain Talat,4,0,4,72,,5,2,2,-,6.0,7,0,,,,,field,West Indies,1,National Stadium,2018,04,Pakistan_West Indies_2018-04-01,Pakistan,Pakistan,West Indies,True,203
49,Hussain Talat,S Badree,Sarfraz Ahmed,1,0,1,73,,10,11,2,-,1.0,8,0,,,,,field,West Indies,1,National Stadium,2018,04,Pakistan_West Indies_2018-04-01,Pakistan,Pakistan,West Indies,True,203
50,Sarfraz Ahmed,S Badree,Hussain Talat,0,1,1,74,,5,3,2,legbyes,2.0,8,0,,,"{'by': 'West Indies', 'batter': 'Sarfraz Ahmed', 'decision': 'struck down', 'umpires_call': True}",,field,West Indies,1,National Stadium,2018,04,Pakistan_West Indies_2018-04-01,Pakistan,Pakistan,West Indies,True,203
51,Hussain Talat,S Badree,Sarfraz Ahmed,1,0,1,75,,11,12,2,-,3.0,8,0,,,,,field,West Indies,1,National Stadium,2018,04,Pakistan_West Indies_2018-04-01,Pakistan,Pakistan,West Indies,True,203
52,Sarfraz Ahmed,S Badree,Hussain Talat,1,0,1,76,,6,4,2,-,4.0,8,0,,,,,field,West Indies,1,National Stadium,2018,04,Pakistan_West Indies_2018-04-01,Pakistan,Pakistan,West Indies,True,203
53,Hussain Talat,S Badree,Sarfraz Ahmed,2,0,2,78,,13,13,2,-,5.0,8,0,,,,,field,West Indies,1,National Stadium,2018,04,Pakistan_West Indies_2018-04-01,Pakistan,Pakistan,West Indies,True,203
54,Hussain Talat,S Badree,Sarfraz Ahmed,1,0,1,79,,14,14,2,-,6.0,8,0,,,,,field,West Indies,1,National Stadium,2018,04,Pakistan_West Indies_2018-04-01,Pakistan,Pakistan,West Indies,True,203
55,Hussain Talat,V Permaul,Sarfraz Ahmed,0,1,1,80,,14,15,2,wides,0.0,9,0,,,,,field,West Indies,1,National Stadium,2018,04,Pakistan_West Indies_2018-04-01,Pakistan,Pakistan,West Indies,True,203
56,Hussain Talat,V Permaul,Sarfraz Ahmed,2,0,2,82,,16,16,2,-,1.0,9,0,,,,,field,West Indies,1,National Stadium,2018,04,Pakistan_West Indies_2018-04-01,Pakistan,Pakistan,West Indies,True,203
57,Hussain Talat,V Permaul,Sarfraz Ahmed,0,1,1,83,,16,17,2,wides,1.0,9,0,,,,,field,West Indies,1,National Stadium,2018,04,Pakistan_West Indies_2018-04-01,Pakistan,Pakistan,West Indies,True,203
58,Hussain Talat,V Permaul,Sarfraz Ahmed,0,0,0,83,,16,18,2,-,2.0,9,0,,,,,field,West Indies,1,National Stadium,2018,04,Pakistan_West Indies_2018-04-01,Pakistan,Pakistan,West Indies,True,203
59,Hussain Talat,V Permaul,Sarfraz Ahmed,4,0,4,87,,20,19,2,-,3.0,9,0,,,,,field,West Indies,1,National Stadium,2018,04,Pakistan_West Indies_2018-04-01,Pakistan,Pakistan,West Indies,True,203
60,Hussain Talat,MN Samuels,Sarfraz Ahmed,0,0,0,87,,20,20,2,-,4.0,9,0,,,,"{'role': [{'in': 'MN Samuels', 'out': 'V Permaul', 'reason': 'injury', 'role': 'bowler'}]}",field,West Indies,1,National Stadium,2018,04,Pakistan_West Indies_2018-04-01,Pakistan,Pakistan,West Indies,True,203
61,Hussain Talat,MN Samuels,Sarfraz Ahmed,6,0,6,93,,26,21,2,-,5.0,9,0,,,,,field,West Indies,1,National Stadium,2018,04,Pakistan_West Indies_2018-04-01,Pakistan,Pakistan,West Indies,True,203
62,Hussain Talat,MN Samuels,Sarfraz Ahmed,1,0,1,94,,27,22,2,-,6.0,9,0,,,,,field,West Indies,1,National Stadium,2018,04,Pakistan_West Indies_2018-04-01,Pakistan,Pakistan,West Indies,True,203
63,Hussain Talat,S Badree,Sarfraz Ahmed,0,0,0,94,,27,23,2,-,1.0,10,0,,,,,field,West Indies,1,National Stadium,2018,04,Pakistan_West Indies_2018-04-01,Pakistan,Pakistan,West Indies,True,203
64,Hussain Talat,S Badree,Sarfraz Ahmed,0,0,0,94,,27,24,2,-,2.0,10,0,,,,,field,West Indies,1,National Stadium,2018,04,Pakistan_West Indies_2018-04-01,Pakistan,Pakistan,West Indies,True,203
65,Hussain Talat,S Badree,Sarfraz Ahmed,1,0,1,95,,28,25,2,-,3.0,10,0,,,,,field,West Indies,1,National Stadium,2018,04,Pakistan_West Indies_2018-04-01,Pakistan,Pakistan,West Indies,True,203
66,Sarfraz Ahmed,S Badree,Hussain Talat,0,5,5,100,,6,5,2,wides,3.0,10,0,,,,,field,West Indies,1,National Stadium,2018,04,Pakistan_West Indies_2018-04-01,Pakistan,Pakistan,West Indies,True,203
67,Sarfraz Ahmed,S Badree,Hussain Talat,1,0,1,101,,7,6,2,-,4.0,10,0,,,,,field,West Indies,1,National Stadium,2018,04,Pakistan_West Indies_2018-04-01,Pakistan,Pakistan,West Indies,True,203
68,Hussain Talat,S Badree,Sarfraz Ahmed,0,0,0,101,,28,26,2,-,5.0,10,0,,,,,field,West Indies,1,National Stadium,2018,04,Pakistan_West Indies_2018-04-01,Pakistan,Pakistan,West Indies,True,203
69,Hussain Talat,S Badree,Sarfraz Ahmed,2,0,2,103,,30,27,2,-,6.0,10,0,,,,,field,West Indies,1,National Stadium,2018,04,Pakistan_West Indies_2018-04-01,Pakistan,Pakistan,West Indies,True,203
70,Sarfraz Ahmed,KMA Paul,Hussain Talat,1,0,1,104,,8,7,2,-,1.0,11,0,,,,,field,West Indies,1,National Stadium,2018,04,Pakistan_West Indies_2018-04-01,Pakistan,Pakistan,West Indies,True,203
71,Hussain Talat,KMA Paul,Sarfraz Ahmed,2,0,2,106,,32,28,2,-,2.0,11,0,,,,,field,West Indies,1,National Stadium,2018,04,Pakistan_West Indies_2018-04-01,Pakistan,Pakistan,West Indies,True,203
72,Hussain Talat,KMA Paul,Sarfraz Ahmed,0,0,0,106,,32,29,2,-,3.0,11,0,,,,,field,West Indies,1,National Stadium,2018,04,Pakistan_West Indies_2018-04-01,Pakistan,Pakistan,West Indies,True,203
73,Hussain Talat,KMA Paul,Sarfraz Ahmed,2,0,2,108,,34,30,2,-,4.0,11,0,,,,,field,West Indies,1,National Stadium,2018,04,Pakistan_West Indies_2018-04-01,Pakistan,Pakistan,West Indies,True,203
74,Hussain Talat,KMA Paul,Sarfraz Ahmed,1,0,1,109,,35,31,2,-,5.0,11,0,,,,,field,West Indies,1,National Stadium,2018,04,Pakistan_West Indies_2018-04-01,Pakistan,Pakistan,West Indies,True,203
75,Sarfraz Ahmed,KMA Paul,Hussain Talat,1,0,1,110,,9,8,2,-,6.0,11,0,,,,,field,West Indies,1,National Stadium,2018,04,Pakistan_West Indies_2018-04-01,Pakistan,Pakistan,West Indies,True,203
76,Sarfraz Ahmed,R Powell,Hussain Talat,4,0,4,114,,13,9,2,-,1.0,12,0,,,,,field,West Indies,1,National Stadium,2018,04,Pakistan_West Indies_2018-04-01,Pakistan,Pakistan,West Indies,True,203
77,Sarfraz Ahmed,R Powell,Hussain Talat,1,0,1,115,,14,10,2,-,2.0,12,0,,,,,field,West Indies,1,National Stadium,2018,04,Pakistan_West Indies_2018-04-01,Pakistan,Pakistan,West Indies,True,203
78,Hussain Talat,R Powell,Sarfraz Ahmed,1,0,1,116,,36,32,2,-,3.0,12,0,,,,,field,West Indies,1,National Stadium,2018,04,Pakistan_West Indies_2018-04-01,Pakistan,Pakistan,West Indies,True,203
79,Sarfraz Ahmed,R Powell,Hussain Talat,1,0,1,117,,15,11,2,-,4.0,12,0,,,,,field,West Indies,1,National Stadium,2018,04,Pakistan_West Indies_2018-04-01,Pakistan,Pakistan,West Indies,True,203
80,Hussain Talat,R Powell,Sarfraz Ahmed,1,0,1,118,,37,33,2,-,5.0,12,0,,,,,field,West Indies,1,National Stadium,2018,04,Pakistan_West Indies_2018-04-01,Pakistan,Pakistan,West Indies,True,203
81,Sarfraz Ahmed,R Powell,Hussain Talat,4,0,4,122,,19,12,2,-,6.0,12,0,,,,,field,West Indies,1,National Stadium,2018,04,Pakistan_West Indies_2018-04-01,Pakistan,Pakistan,West Indies,True,203
82,Hussain Talat,RR Emrit,Sarfraz Ahmed,1,0,1,123,,38,34,2,-,1.0,13,0,,,,,field,West Indies,1,National Stadium,2018,04,Pakistan_West Indies_2018-04-01,Pakistan,Pakistan,West Indies,True,203
83,Sarfraz Ahmed,RR Emrit,Hussain Talat,1,0,1,124,,20,13,2,-,2.0,13,0,,,,,field,West Indies,1,National Stadium,2018,04,Pakistan_West Indies_2018-04-01,Pakistan,Pakistan,West Indies,True,203
84,Hussain Talat,RR Emrit,Sarfraz Ahmed,0,0,0,124,,38,35,2,-,3.0,13,0,,,,,field,West Indies,1,National Stadium,2018,04,Pakistan_West Indies_2018-04-01,Pakistan,Pakistan,West Indies,True,203
85,Hussain Talat,RR Emrit,Sarfraz Ahmed,1,0,1,125,,39,36,2,-,4.0,13,0,,,,,field,West Indies,1,National Stadium,2018,04,Pakistan_West Indies_2018-04-01,Pakistan,Pakistan,West Indies,True,203
86,Sarfraz Ahmed,RR Emrit,Hussain Talat,1,0,1,126,,21,14,2,-,5.0,13,0,,,,,field,West Indies,1,National Stadium,2018,04,Pakistan_West Indies_2018-04-01,Pakistan,Pakistan,West Indies,True,203
87,Hussain Talat,RR Emrit,Sarfraz Ahmed,0,0,0,126,,39,37,2,-,6.0,13,0,,,,,field,West Indies,1,National Stadium,2018,04,Pakistan_West Indies_2018-04-01,Pakistan,Pakistan,West Indies,True,203
88,Sarfraz Ahmed,R Powell,Hussain Talat,1,0,1,127,,22,15,2,-,1.0,14,0,,,,,field,West Indies,1,National Stadium,2018,04,Pakistan_West Indies_2018-04-01,Pakistan,Pakistan,West Indies,True,203
89,Hussain Talat,R Powell,Sarfraz Ahmed,1,0,1,128,,40,38,2,-,2.0,14,0,,,,,field,West Indies,1,National Stadium,2018,04,Pakistan_West Indies_2018-04-01,Pakistan,Pakistan,West Indies,True,203
90,Sarfraz Ahmed,R Powell,Hussain Talat,6,0,6,134,,28,16,2,-,3.0,14,0,,,,,field,West Indies,1,National Stadium,2018,04,Pakistan_West Indies_2018-04-01,Pakistan,Pakistan,West Indies,True,203
91,Sarfraz Ahmed,R Powell,Hussain Talat,1,0,1,135,,29,17,2,-,4.0,14,0,,,,,field,West Indies,1,National Stadium,2018,04,Pakistan_West Indies_2018-04-01,Pakistan,Pakistan,West Indies,True,203
92,Hussain Talat,R Powell,Sarfraz Ahmed,1,0,1,136,,41,39,2,-,5.0,14,0,,,,,field,West Indies,1,National Stadium,2018,04,Pakistan_West Indies_2018-04-01,Pakistan,Pakistan,West Indies,True,203
93,Sarfraz Ahmed,R Powell,Hussain Talat,1,0,1,137,,30,18,2,-,6.0,14,0,,,,,field,West Indies,1,National Stadium,2018,04,Pakistan_West Indies_2018-04-01,Pakistan,Pakistan,West Indies,True,203
94,Sarfraz Ahmed,KOK Williams,Hussain Talat,2,0,2,139,,32,19,2,-,1.0,15,0,,,,,field,West Indies,1,National Stadium,2018,04,Pakistan_West Indies_2018-04-01,Pakistan,Pakistan,West Indies,True,203
95,Sarfraz Ahmed,KOK Williams,Hussain Talat,1,0,1,140,,33,20,3,-,2.0,15,run out,Hussain Talat,,,,field,West Indies,1,National Stadium,2018,04,Pakistan_West Indies_2018-04-01,Pakistan,Pakistan,West Indies,True,203
96,Shoaib Malik,KOK Williams,Sarfraz Ahmed,2,0,2,142,,2,1,3,-,3.0,15,0,,,,,field,West Indies,1,National Stadium,2018,04,Pakistan_West Indies_2018-04-01,Pakistan,Pakistan,West Indies,True,203
97,Shoaib Malik,KOK Williams,Sarfraz Ahmed,1,0,1,143,,3,2,3,-,4.0,15,0,,,,,field,West Indies,1,National Stadium,2018,04,Pakistan_West Indies_2018-04-01,Pakistan,Pakistan,West Indies,True,203
98,Sarfraz Ahmed,KOK Williams,Shoaib Malik,1,0,1,144,,34,21,3,-,5.0,15,0,,,,,field,West Indies,1,National Stadium,2018,04,Pakistan_West Indies_2018-04-01,Pakistan,Pakistan,West Indies,True,203
99,Shoaib Malik,KOK Williams,Sarfraz Ahmed,1,0,1,145,,4,3,3,-,6.0,15,0,,,,,field,West Indies,1,National Stadium,2018,04,Pakistan_West Indies_2018-04-01,Pakistan,Pakistan,West Indies,True,203
100,Shoaib Malik,R Powell,Sarfraz Ahmed,1,0,1,146,,5,4,3,-,1.0,16,0,,,,,field,West Indies,1,National Stadium,2018,04,Pakistan_West Indies_2018-04-01,Pakistan,Pakistan,West Indies,True,203
101,Sarfraz Ahmed,R Powell,Shoaib Malik,4,0,4,150,,38,22,3,-,2.0,16,0,,,,,field,West Indies,1,National Stadium,2018,04,Pakistan_West Indies_2018-04-01,Pakistan,Pakistan,West Indies,True,203
102,Sarfraz Ahmed,R Powell,Shoaib Malik,0,0,0,150,,38,23,4,-,3.0,16,caught,Sarfraz Ahmed,ADS Fletcher,,,field,West Indies,1,National Stadium,2018,04,Pakistan_West Indies_2018-04-01,Pakistan,Pakistan,West Indies,True,203
103,Shoaib Malik,R Powell,Asif Ali,4,0,4,154,,9,5,4,-,4.0,16,0,,,,,field,West Indies,1,National Stadium,2018,04,Pakistan_West Indies_2018-04-01,Pakistan,Pakistan,West Indies,True,203
104,Shoaib Malik,R Powell,Asif Ali,1,0,1,155,,10,6,4,-,5.0,16,0,,,,,field,West Indies,1,National Stadium,2018,04,Pakistan_West Indies_2018-04-01,Pakistan,Pakistan,West Indies,True,203
105,Asif Ali,R Powell,Shoaib Malik,1,0,1,156,,1,1,4,-,6.0,16,0,,,,,field,West Indies,1,National Stadium,2018,04,Pakistan_West Indies_2018-04-01,Pakistan,Pakistan,West Indies,True,203
106,Asif Ali,KMA Paul,Shoaib Malik,0,0,0,156,,1,2,5,-,1.0,17,bowled,Asif Ali,,,,field,West Indies,1,National Stadium,2018,04,Pakistan_West Indies_2018-04-01,Pakistan,Pakistan,West Indies,True,203
107,Faheem Ashraf,KMA Paul,Shoaib Malik,0,0,0,156,,0,1,5,-,2.0,17,0,,,,,field,West Indies,1,National Stadium,2018,04,Pakistan_West Indies_2018-04-01,Pakistan,Pakistan,West Indies,True,203
108,Faheem Ashraf,KMA Paul,Shoaib Malik,1,0,1,157,,1,2,5,-,3.0,17,0,,,,,field,West Indies,1,National Stadium,2018,04,Pakistan_West Indies_2018-04-01,Pakistan,Pakistan,West Indies,True,203
109,Shoaib Malik,KMA Paul,Faheem Ashraf,0,0,0,157,,10,7,5,-,4.0,17,0,,,,,field,West Indies,1,National Stadium,2018,04,Pakistan_West Indies_2018-04-01,Pakistan,Pakistan,West Indies,True,203
110,Shoaib Malik,KMA Paul,Faheem Ashraf,1,0,1,158,,11,8,5,-,5.0,17,0,,,,,field,West Indies,1,National Stadium,2018,04,Pakistan_West Indies_2018-04-01,Pakistan,Pakistan,West Indies,True,203
111,Faheem Ashraf,KMA Paul,Shoaib Malik,1,0,1,159,,2,3,5,-,6.0,17,0,,,,,field,West Indies,1,National Stadium,2018,04,Pakistan_West Indies_2018-04-01,Pakistan,Pakistan,West Indies,True,203
112,Faheem Ashraf,RR Emrit,Shoaib Malik,2,0,2,161,,4,4,5,-,1.0,18,0,,,,,field,West Indies,1,National Stadium,2018,04,Pakistan_West Indies_2018-04-01,Pakistan,Pakistan,West Indies,True,203
113,Faheem Ashraf,RR Emrit,Shoaib Malik,1,0,1,162,,5,5,5,-,2.0,18,0,,,,,field,West Indies,1,National Stadium,2018,04,Pakistan_West Indies_2018-04-01,Pakistan,Pakistan,West Indies,True,203
114,Shoaib Malik,RR Emrit,Faheem Ashraf,4,0,4,166,,15,9,5,-,3.0,18,0,,,,,field,West Indies,1,National Stadium,2018,04,Pakistan_West Indies_2018-04-01,Pakistan,Pakistan,West Indies,True,203
115,Shoaib Malik,RR Emrit,Faheem Ashraf,6,0,6,172,,21,10,5,-,4.0,18,0,,,,,field,West Indies,1,National Stadium,2018,04,Pakistan_West Indies_2018-04-01,Pakistan,Pakistan,West Indies,True,203
116,Shoaib Malik,RR Emrit,Faheem Ashraf,4,0,4,176,,25,11,5,-,5.0,18,0,,,,,field,West Indies,1,National Stadium,2018,04,Pakistan_West Indies_2018-04-01,Pakistan,Pakistan,West Indies,True,203
