,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,wicket_type,player_out,fielder,over,extra_type,review,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,team_final
24,TWM Latham,PM Liyanagamage,DJ Mitchell,1,0,1,36,160,12,8,2,1,0,,,5,-,,field,New Zealand,2,"Eden Park, Auckland",2023,04,Sri Lanka_New Zealand_2023-04-02,tie,New Zealand,Sri Lanka,196
25,DJ Mitchell,PM Liyanagamage,TWM Latham,1,0,1,37,159,23,12,2,2,0,,,5,-,,field,New Zealand,2,"Eden Park, Auckland",2023,04,Sri Lanka_New Zealand_2023-04-02,tie,New Zealand,Sri Lanka,196
26,TWM Latham,PM Liyanagamage,DJ Mitchell,4,0,4,41,155,16,9,2,3,0,,,5,-,,field,New Zealand,2,"Eden Park, Auckland",2023,04,Sri Lanka_New Zealand_2023-04-02,tie,New Zealand,Sri Lanka,196
27,TWM Latham,PM Liyanagamage,DJ Mitchell,1,0,1,42,154,17,10,2,4,0,,,5,-,,field,New Zealand,2,"Eden Park, Auckland",2023,04,Sri Lanka_New Zealand_2023-04-02,tie,New Zealand,Sri Lanka,196
28,DJ Mitchell,PM Liyanagamage,TWM Latham,1,0,1,43,153,24,13,2,5,0,,,5,-,,field,New Zealand,2,"Eden Park, Auckland",2023,04,Sri Lanka_New Zealand_2023-04-02,tie,New Zealand,Sri Lanka,196
29,TWM Latham,PM Liyanagamage,DJ Mitchell,4,0,4,47,149,21,11,2,6,0,,,5,-,,field,New Zealand,2,"Eden Park, Auckland",2023,04,Sri Lanka_New Zealand_2023-04-02,tie,New Zealand,Sri Lanka,196
30,DJ Mitchell,C Karunaratne,TWM Latham,1,0,1,48,148,25,14,2,1,0,,,6,-,,field,New Zealand,2,"Eden Park, Auckland",2023,04,Sri Lanka_New Zealand_2023-04-02,tie,New Zealand,Sri Lanka,196
31,TWM Latham,C Karunaratne,DJ Mitchell,1,0,1,49,147,22,12,2,2,0,,,6,-,,field,New Zealand,2,"Eden Park, Auckland",2023,04,Sri Lanka_New Zealand_2023-04-02,tie,New Zealand,Sri Lanka,196
32,DJ Mitchell,C Karunaratne,TWM Latham,4,0,4,53,143,29,15,2,3,0,,,6,-,,field,New Zealand,2,"Eden Park, Auckland",2023,04,Sri Lanka_New Zealand_2023-04-02,tie,New Zealand,Sri Lanka,196
33,DJ Mitchell,C Karunaratne,TWM Latham,1,0,1,54,142,30,16,2,4,0,,,6,-,,field,New Zealand,2,"Eden Park, Auckland",2023,04,Sri Lanka_New Zealand_2023-04-02,tie,New Zealand,Sri Lanka,196
34,TWM Latham,C Karunaratne,DJ Mitchell,0,0,0,54,142,22,13,2,5,0,,,6,-,,field,New Zealand,2,"Eden Park, Auckland",2023,04,Sri Lanka_New Zealand_2023-04-02,tie,New Zealand,Sri Lanka,196
